"Dstat 1.1.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dool/sys_lock_vm-adv_vm_socket_page_disk.csv --sys --lock --vm-adv --vm --socket --page --disk 1 600",,,,"Date:","23 Mar 2023 13:42:08 -03"
"system",,"file locks",,,,"advanced virtual memory",,,,,"virtual memory",,,,"sockets",,,,,"paging",,"dsk/total",
2566,5737,83,12,13,82,0,0,0,0,0,0,636,1111,1437,1204,26,33,0,0,0,0,0,0
2540,5776,83,12,13,82,0,0,0,0,0,0,195,659,1195,1204,26,33,0,0,0,0,0,0
2816,8581,83,12,13,82,0,0,0,0,0,0,8665,11252,11069,1204,26,33,0,0,0,0,0,6053888
2508,5727,83,12,13,82,0,0,0,0,0,0,244,740,720,1204,26,33,0,0,0,0,0,0
2738,6899,83,12,13,82,0,0,0,0,0,0,2803,3803,7118,1204,26,33,0,0,0,0,0,0
2355,6060,83,12,13,82,0,0,0,0,0,0,278,1071,1062,1204,26,33,0,0,0,0,0,0
2602,6154,83,12,13,82,0,0,0,0,0,0,1247,2335,2148,1204,26,33,0,0,0,0,0,409600
2961,9766,83,12,13,82,0,0,0,0,0,0,4134,6395,6039,1204,26,33,0,0,0,0,0,12181504
2634,5850,83,12,13,82,0,0,0,0,0,0,837,1331,2309,1204,26,33,0,0,0,0,0,0
2691,6856,83,12,13,82,0,0,0,0,0,0,1253,2330,1907,1204,26,33,0,0,0,0,0,0
2504,6435,83,12,13,82,0,0,0,0,0,1,6613,8174,6950,1204,26,33,0,0,0,0,8192,0
2577,6720,83,12,13,82,0,0,0,0,0,0,1613,2804,11295,1203,26,33,0,0,0,0,0,811008
2842,8953,83,12,13,82,0,0,0,0,0,0,2861,4379,4890,1203,26,33,0,0,0,0,0,4235264
2674,5770,83,12,13,82,0,0,0,0,0,0,202,1192,5993,1203,26,33,0,0,0,0,0,0
2660,6892,83,12,13,82,0,0,0,0,0,0,976,1892,4746,1204,27,33,0,0,0,0,0,0
2535,5753,83,12,13,82,0,0,0,0,0,0,276,1262,2180,1204,27,33,0,0,0,0,0,0
2582,5831,83,12,13,82,0,0,0,0,0,0,288,825,778,1204,27,33,0,0,0,0,0,409600
2962,8094,83,12,13,82,0,0,0,0,0,0,9111,11576,8211,1204,27,33,0,0,0,0,0,4997120
2696,7146,83,12,13,82,0,0,0,0,0,0,1069,1820,1071,1204,27,33,0,0,0,0,0,0
2660,6469,83,12,13,82,0,0,0,0,0,0,179,1247,649,1204,27,33,0,0,0,0,0,0
2577,6518,83,12,13,82,0,0,0,0,0,0,264,843,17770,1204,27,33,0,0,0,0,0,0
2596,5797,83,12,13,82,0,0,0,0,0,0,249,846,862,1204,27,33,0,0,0,0,0,663552
2788,7475,83,12,13,82,0,0,0,0,0,0,2503,3816,3853,1204,27,33,0,0,0,0,0,7979008
2595,6916,83,12,13,82,0,0,0,0,0,0,924,1708,9905,1204,27,33,0,0,0,0,0,0
2613,5847,83,12,13,82,0,0,0,0,0,0,593,1018,983,1204,27,33,0,0,0,0,0,0
2797,8104,83,12,13,82,0,0,0,0,0,0,7615,10050,10187,1204,27,33,0,0,0,0,0,2269184
2639,6422,83,12,13,82,0,0,0,0,0,0,388,1321,654,1204,27,33,0,0,0,0,0,0
4267,12566,83,12,13,82,0,0,0,0,0,0,2035,4237,4042,1204,27,33,0,0,0,0,0,13287424
2644,7018,83,12,13,82,0,0,0,0,0,0,1602,2188,3194,1204,27,33,0,0,0,0,0,0
2395,5649,83,12,13,82,0,0,0,0,0,0,359,980,749,1204,27,33,0,0,0,0,0,0
2585,5789,83,12,13,82,0,0,0,0,0,0,354,953,1500,1204,27,33,0,0,0,0,0,1368064
2618,6635,83,12,13,82,0,0,0,0,0,0,414,1189,1239,1204,27,33,0,0,0,0,0,0
4599,37353,83,12,13,82,0,0,0,0,0,0,44677,68733,33551,1204,27,33,0,0,0,0,0,9117696
2668,7577,83,12,13,82,0,0,0,0,0,0,1568,2881,2778,1204,27,33,0,0,0,0,0,0
2558,5925,83,12,13,82,0,0,0,0,0,0,922,961,1135,1204,27,33,0,0,0,0,0,0
2570,5831,83,12,13,82,0,0,0,0,0,0,227,1086,1218,1204,27,33,0,0,0,0,0,2834432
2807,6272,83,12,13,82,0,0,0,0,0,0,226,839,1285,1204,27,33,0,0,0,0,0,0
2696,7027,83,12,13,82,0,0,0,0,0,0,1949,2568,2160,1203,27,33,0,0,0,0,0,368640
2642,7042,83,12,13,82,0,0,0,0,0,0,1653,2799,3262,1203,27,33,0,0,0,0,0,5185536
2586,6524,83,12,13,82,0,0,0,0,0,0,1728,2423,11959,1203,27,33,0,0,0,0,0,0
2854,6999,83,12,13,82,0,0,0,0,0,0,6133,8482,5008,1203,27,33,0,0,0,0,0,0
2541,5850,83,12,13,82,0,0,0,0,0,0,248,746,1033,1203,27,33,0,0,0,0,0,0
2788,7902,83,12,13,82,0,0,0,0,0,0,1663,2308,3611,1203,27,33,0,0,0,0,0,696320
3325,11967,83,12,13,82,0,0,0,0,0,0,1571,3822,9193,1203,27,33,0,0,0,0,1710080,11919360
3023,9679,83,12,13,82,0,0,0,0,0,0,884,1621,1162,1203,27,33,0,0,0,0,2052096,40960
2863,9372,83,12,13,82,0,0,0,0,0,0,272,1067,1349,1203,27,33,0,0,0,0,1372160,851968
3385,11492,83,12,13,82,0,0,0,0,0,0,1873,2600,4796,1206,28,33,0,0,0,0,2390016,57344
3441,15781,83,12,13,82,0,0,0,0,0,0,7777,10617,5956,1203,27,33,0,0,0,0,3762176,90112
3153,11566,83,12,13,82,0,0,0,0,0,0,2017,3363,2793,1203,27,33,0,0,0,0,1026048,3268608
3166,10474,83,12,13,82,0,0,0,0,0,0,408,1375,1830,1203,27,33,0,0,0,0,1026048,24576
2899,9376,83,12,13,82,0,0,0,0,0,0,228,1018,1716,1203,27,33,0,0,0,0,1710080,999424
2963,12150,83,12,13,82,0,0,0,0,0,0,409,1195,1478,1207,27,33,0,0,0,0,1368064,32768
2935,8983,83,12,13,82,0,0,0,0,0,0,1542,3735,3568,1206,28,33,0,0,0,0,342016,8192
3068,10792,83,12,13,82,0,0,0,0,0,0,3288,7690,28479,1207,28,36,0,0,0,0,1710080,4980736
3176,13986,83,12,13,82,0,0,0,0,0,0,870,2264,1401,1207,28,36,0,0,0,0,3078144,73728
3317,12140,83,12,13,82,0,0,0,0,0,0,6372,8175,5647,1207,28,36,0,0,0,0,2052096,720896
3072,10272,83,12,13,82,0,0,0,0,0,0,7237,7938,1328,1209,28,36,0,0,0,0,1710080,40960
2655,7987,83,12,13,82,0,0,0,0,0,0,1892,2540,3245,1207,28,36,0,0,0,0,0,0
2865,7787,83,12,13,82,0,0,0,0,0,0,1732,3211,3249,1204,28,33,0,0,0,0,0,8052736
2623,6488,83,12,13,82,0,0,0,0,0,1,1716,2640,7412,1204,28,33,0,0,0,0,8192,0
2601,6891,83,12,13,82,0,0,0,0,0,0,1610,2449,1375,1204,28,33,0,0,0,0,0,1024000
2641,6658,83,12,13,82,0,0,0,0,0,0,398,1493,3005,1204,28,33,0,0,0,0,0,0
2809,7429,83,12,13,82,0,0,0,0,0,0,7366,9360,5073,1206,28,33,0,0,0,0,0,1818624
4313,14854,83,12,13,82,0,0,0,0,0,0,1697,4769,6634,1204,28,33,0,0,0,0,0,18382848
2969,9051,83,12,13,82,0,0,0,0,0,0,1115,1883,2642,1204,28,33,0,0,0,0,1371136,1769472
2530,5769,83,12,13,82,0,0,0,0,0,0,217,1411,1504,1204,28,33,0,0,0,0,0,0
2799,6233,83,12,13,82,0,0,0,0,0,0,1169,6023,2455,1204,28,33,0,0,0,0,0,0
2760,7569,83,12,13,82,0,0,0,0,0,0,2361,4969,6366,1204,28,33,0,0,0,0,0,0
2916,9265,83,12,13,82,0,0,0,0,0,0,1674,3944,2999,1204,28,33,0,0,0,0,0,1597440
2668,5961,83,12,13,82,0,0,0,0,0,0,1468,2053,2060,1204,28,33,0,0,0,0,0,532480
3552,36108,83,12,13,82,0,0,0,0,0,0,41802,64592,36787,1204,28,33,0,0,0,0,0,0
2544,5745,83,12,13,82,0,0,0,0,0,0,765,840,4490,1204,28,33,0,0,0,0,0,0
2673,6880,83,12,13,82,0,0,0,0,0,0,1570,2129,2254,1206,28,33,0,0,0,0,0,0
2668,7133,83,12,13,82,0,0,0,0,0,0,1521,3121,3570,1204,28,33,0,0,0,0,0,8404992
2623,6525,83,12,13,82,0,0,0,0,0,0,2376,4169,3039,1204,28,33,0,0,0,0,0,3694592
2457,6464,83,12,13,82,0,0,0,0,0,0,459,1545,998,1204,28,33,0,0,0,0,0,0
2508,5884,83,12,13,82,0,0,0,0,0,0,257,1546,1504,1204,28,33,0,0,0,0,0,0
2632,7380,83,12,13,82,0,0,0,0,0,0,7254,9809,6002,1204,28,33,0,0,0,0,0,0
2917,8123,83,12,13,82,0,0,0,0,0,0,2509,4691,5359,1204,28,33,0,0,0,0,0,11698176
2698,6897,83,12,13,82,0,0,0,0,0,0,855,1555,1424,1203,27,33,0,0,0,0,0,892928
2553,5821,83,12,13,82,0,0,0,0,0,0,747,1201,1215,1203,27,33,0,0,0,0,0,0
2733,6548,83,12,13,82,0,0,0,0,0,0,2386,3720,3934,1203,26,33,0,0,0,0,0,409600
2669,7028,83,12,13,82,0,0,0,0,0,0,1761,2976,2552,1203,26,33,0,0,0,0,0,0
2880,7888,83,12,13,82,0,0,0,0,0,0,1877,2299,4078,1203,26,33,0,0,0,0,0,0
2544,5927,83,12,13,82,0,0,0,0,0,0,486,1107,1107,1203,26,33,0,0,0,0,0,835584
2911,7030,83,12,13,82,0,0,0,0,0,0,6064,7860,17617,1203,26,33,0,0,0,0,0,0
2494,5954,83,12,13,82,0,0,0,0,0,0,216,751,1153,1203,26,33,0,0,0,0,0,0
2477,5595,83,12,13,82,0,0,0,0,0,0,653,1575,909,1203,26,33,0,0,0,0,0,696320
2748,8656,83,12,13,82,0,0,0,0,0,0,4330,5225,5607,1203,26,33,0,0,0,0,0,0
2718,7081,83,12,13,82,0,0,0,0,0,0,1081,3198,2627,1203,26,33,0,0,0,0,0,8609792
2621,6671,83,12,13,82,0,0,0,0,0,0,183,717,669,1203,26,33,0,0,0,0,0,0
2534,5779,83,12,13,82,0,0,0,0,0,0,527,1100,1677,1203,26,33,0,0,0,0,0,0
2603,6343,83,12,13,82,0,0,0,0,0,0,1310,3076,2210,1205,26,33,0,0,0,0,0,1228800
2612,8050,83,12,13,82,0,0,0,0,0,0,2930,3675,6135,1203,26,33,0,0,0,0,0,0
2620,6075,83,12,13,82,0,0,0,0,0,0,322,1881,1865,1203,26,33,0,0,0,0,0,8028160
2588,6127,83,12,13,82,0,0,0,0,0,1,1200,1690,1547,1203,26,33,0,0,0,0,40960,0
2775,7045,83,12,13,82,0,0,0,0,0,0,580,1762,894,1203,26,33,0,0,0,0,0,1056768
2550,5983,83,12,13,82,0,0,0,0,0,0,291,830,840,1203,26,33,0,0,0,0,0,180224
2700,8074,83,12,13,82,0,0,0,0,0,0,2797,3614,3455,1203,26,33,0,0,0,0,0,0
2571,5902,83,12,13,82,0,0,0,0,0,0,955,2062,32449,1203,26,33,0,0,0,0,0,5537792
2705,6950,83,12,13,82,0,0,0,0,0,0,6822,8486,1982,1203,26,33,0,0,0,0,0,0
2539,5865,83,12,13,82,0,0,0,0,0,0,350,863,1239,1203,26,33,0,0,0,0,0,0
2480,6114,83,12,13,82,0,0,0,0,0,0,1194,2293,1674,1203,26,33,0,0,0,0,0,1720320
2867,9152,83,12,13,82,0,0,0,0,0,0,3113,4203,3668,1203,26,33,0,0,0,0,0,0
4224,11506,83,12,13,82,0,0,0,0,0,0,882,3078,2928,1203,26,33,0,0,0,0,0,14581760
2480,5680,83,12,13,82,0,0,0,0,0,0,258,779,831,1203,26,33,0,0,0,0,0,0
2543,5800,83,12,13,82,0,0,0,0,0,0,200,1074,1257,1203,26,33,0,0,0,0,0,0
2608,6287,83,12,13,82,0,0,0,0,0,0,5984,7762,4676,1203,26,33,0,0,0,0,0,1794048
3867,37529,83,12,13,82,0,0,0,0,0,0,39833,61179,32350,1203,26,33,0,0,0,0,0,0
2723,6792,83,12,13,82,0,0,0,0,0,0,1807,3520,2750,1203,26,33,0,0,0,0,0,8151040
2547,6797,83,12,13,82,0,0,0,0,0,0,330,1535,1504,1203,26,33,0,0,0,0,0,0
2717,6772,83,12,13,82,0,0,0,0,0,0,502,932,1190,1203,26,33,0,0,0,0,0,0
2562,5981,83,12,13,82,0,0,0,0,0,0,235,1008,1098,1205,26,33,0,0,0,0,0,2301952
2639,7008,83,12,13,82,0,0,0,0,0,0,1468,2031,2879,1203,26,33,0,0,0,0,0,0
2803,7709,83,12,13,82,0,0,0,0,0,0,1669,3528,3980,1203,26,33,0,0,0,0,0,9027584
2724,9010,83,12,13,82,0,0,0,0,0,0,9297,10624,10518,1203,26,33,0,0,0,0,0,0
2625,6198,83,12,13,82,0,0,0,0,0,0,2184,2910,1893,1203,26,33,0,0,0,0,0,0
2604,6806,83,12,13,82,0,0,0,0,0,0,802,1965,768,1203,26,33,0,0,0,0,0,663552
2631,7074,83,12,13,82,0,0,0,0,0,0,8088,8685,2835,1203,26,33,0,0,0,0,0,0
2669,6997,83,12,13,82,0,0,0,0,0,0,1195,2808,4016,1203,26,33,0,0,0,0,0,8069120
2527,5750,83,12,13,82,0,0,0,0,0,1,529,900,1802,1203,26,33,0,0,0,0,139264,0
2496,5821,83,12,13,82,0,0,0,0,0,0,203,712,1042,1203,26,33,0,0,0,0,0,0
2853,7560,83,12,13,82,0,0,0,0,0,0,5636,8046,10930,1205,26,33,0,0,0,0,0,729088
2710,7236,83,12,13,82,0,0,0,0,0,0,2384,3159,12222,1206,27,33,0,0,0,0,0,0
2722,8056,83,12,13,82,0,0,0,0,0,0,2359,3728,2614,1206,27,33,0,0,0,0,0,0
2392,5713,83,12,13,82,0,0,0,0,0,0,232,1114,1163,1206,27,33,0,0,0,0,0,3203072
2590,5966,83,12,13,82,0,0,0,0,0,0,278,949,2793,1206,27,33,0,0,0,0,0,0
2670,6157,83,12,13,82,0,0,0,0,0,0,800,1317,1087,1206,27,33,0,0,0,0,0,819200
2767,7511,83,12,13,82,0,0,0,0,0,0,2643,3757,3585,1206,27,33,0,0,0,0,0,0
2827,7152,83,12,13,82,0,0,0,0,0,0,2209,2843,3037,1206,27,33,0,0,0,0,0,0
2717,6815,83,12,13,82,0,0,0,0,0,0,7175,10413,32440,1206,27,33,0,0,0,0,0,4923392
2605,7052,83,12,13,82,0,0,0,0,0,0,515,1490,1176,1206,27,33,0,0,0,0,0,0
2751,6625,83,12,13,82,0,0,0,0,0,0,570,1070,1523,1206,27,33,0,0,0,0,0,778240
2642,7133,83,12,13,82,0,0,0,0,0,0,1870,2550,2623,1206,27,33,0,0,0,0,0,0
2650,7182,83,12,13,82,0,0,0,0,0,0,1586,3166,3186,1209,28,33,0,0,0,0,0,0
2725,6071,83,12,13,82,0,0,0,0,0,0,361,1858,2072,1206,27,33,0,0,0,0,0,8749056
2624,5960,83,12,13,82,0,0,0,0,0,0,292,1262,1730,1206,27,33,0,0,0,0,0,0
2687,6357,83,12,13,82,0,0,0,0,0,0,2340,4646,6981,1206,27,33,0,0,0,0,0,2129920
2857,8277,83,12,13,82,0,0,0,0,0,0,1717,2922,2506,1206,27,33,0,0,0,0,0,0
2706,7054,83,12,13,82,0,0,0,0,0,0,1921,2402,2463,1206,27,33,0,0,0,0,0,0
3933,11319,83,12,13,82,0,0,0,0,0,0,242,3097,3679,1206,27,33,0,0,0,0,0,19308544
2623,5921,83,12,13,82,0,0,0,0,0,0,175,1224,1071,1206,27,33,0,0,0,0,0,0
2589,5936,83,12,13,82,0,0,0,0,0,0,194,1620,2283,1208,27,33,0,0,0,0,0,1662976
2711,8687,83,12,13,82,0,0,0,0,0,0,2046,2930,2475,1203,26,33,0,0,0,0,0,0
2724,7384,83,12,13,82,0,0,0,0,0,0,3234,3830,4404,1203,26,33,0,0,0,0,0,245760
3652,35953,83,12,13,82,0,0,0,0,0,0,39039,61537,23567,1203,26,33,0,0,0,0,0,3694592
2598,6620,83,12,13,82,0,0,0,0,0,0,1885,3690,1212,1203,26,33,0,0,0,0,0,0
2629,5842,83,12,13,82,0,0,0,0,0,0,287,634,720,1203,26,33,0,0,0,0,0,0
2622,6870,83,12,13,82,0,0,0,0,0,0,1565,2137,2926,1203,26,33,0,0,0,0,0,0
2662,7173,83,12,13,82,0,0,0,0,0,0,1999,3055,2680,1203,26,33,0,0,0,0,0,2875392
2532,5895,83,12,13,82,0,0,0,0,0,0,4407,6038,1860,1203,26,33,0,0,0,0,0,9216000
2582,5919,83,12,13,82,0,0,0,0,0,0,2400,2999,4691,1203,26,33,0,0,0,0,0,0
2797,7650,83,12,13,82,0,0,0,0,0,0,6622,8890,3783,1203,26,33,0,0,0,0,0,475136
2590,6953,83,12,13,82,0,0,0,0,0,0,2275,3055,13287,1203,26,33,0,0,0,0,0,0
2649,7892,83,12,13,82,0,0,0,0,0,0,1627,2277,6286,1203,26,33,0,0,0,0,0,0
2636,5934,83,12,13,82,0,0,0,0,0,0,365,1809,7710,1203,26,33,0,0,0,0,0,8069120
2654,5968,83,12,13,82,0,0,0,0,0,0,784,1313,2488,1203,26,33,0,0,0,0,0,0
2532,6042,83,12,13,82,0,0,0,0,0,0,529,1079,920,1203,26,33,0,0,0,0,0,819200
2576,7029,83,12,13,82,0,0,0,0,0,0,2639,3547,14214,1203,26,33,0,0,0,0,0,204800
2718,8335,83,12,13,82,0,0,0,0,0,0,2852,3872,2771,1203,26,33,0,0,0,0,0,0
2532,6155,83,12,13,82,0,0,0,0,0,0,2164,4231,14381,1203,26,33,0,0,0,0,0,3162112
2503,5889,83,12,13,82,0,0,0,0,0,0,254,880,744,1203,26,33,0,0,0,0,0,0
3358,8175,83,12,13,82,0,0,0,0,0,0,8994,13138,5486,1209,26,33,0,0,0,0,0,0
2654,6970,83,12,13,82,0,0,0,0,0,0,1716,2321,2724,1207,26,33,0,0,0,0,0,827392
2720,7128,83,12,13,82,0,0,0,0,0,0,1819,2370,4808,1207,26,33,0,0,0,0,0,98304
2701,6633,83,12,13,82,0,0,0,0,0,0,1102,2675,2970,1207,26,33,0,0,0,0,0,5160960
2603,7532,83,12,13,82,0,0,0,0,0,0,732,1805,1285,1208,26,33,0,0,0,0,0,0
2657,6130,83,12,13,82,0,0,0,0,0,0,1017,2531,4408,1208,26,33,0,0,0,0,0,0
2698,6975,83,12,13,82,0,0,0,0,0,0,1858,2467,2285,1208,26,33,0,0,0,0,0,0
4422,19962,84,12,13,83,0,0,0,0,0,0,44151,46064,30533,1234,26,42,0,0,0,0,0,1105920
9737,12607,84,12,13,83,0,0,0,0,0,0,28387,35791,36842,1226,26,33,0,0,0,0,0,9920512
2783,6229,84,12,13,83,0,0,0,0,0,0,447,2056,2727,1226,26,33,0,0,0,0,0,9256960
2615,6516,84,12,13,83,0,0,0,0,0,0,3294,4326,2575,1227,26,33,0,0,0,0,0,0
5238,12924,84,12,13,83,0,0,0,0,0,0,27653,31742,33002,1230,26,36,0,0,0,0,0,3989504
2789,7628,84,12,13,83,0,0,0,0,0,0,2427,4967,4804,1230,26,36,0,0,0,0,0,0
3149,9087,84,12,13,83,0,0,0,0,0,1,8705,10200,10217,1230,26,36,0,0,0,0,8192,0
3050,9635,84,12,13,83,0,0,0,0,0,0,236,3468,4384,1230,26,36,0,0,0,0,0,19341312
2474,5677,84,12,13,83,0,0,0,0,0,0,799,1311,3755,1230,26,36,0,0,0,0,0,0
2591,6765,84,12,13,83,0,0,0,0,0,0,1353,2231,2129,1227,26,33,0,0,0,0,0,2809856
2681,7120,84,12,13,83,0,0,0,0,0,0,2167,2811,3206,1227,26,33,0,0,0,0,0,647168
2751,7256,84,12,13,83,0,0,0,0,0,0,1290,2610,3666,1227,26,33,0,0,0,0,0,0
2515,5803,84,12,13,83,0,0,0,0,0,0,712,1333,1273,1227,26,33,0,0,0,0,0,122880
2809,6104,84,12,13,83,0,0,0,0,0,0,6028,7644,10611,1229,26,33,0,0,0,0,0,0
3502,35525,84,12,13,83,0,0,0,0,0,0,43621,65724,27437,1227,26,33,0,0,0,0,0,1286144
2893,8305,84,12,13,83,0,0,0,0,0,0,3606,4693,4933,1227,26,33,0,0,0,0,0,2834432
2571,5839,84,12,13,83,0,0,0,0,0,0,600,1765,1577,1227,26,33,0,0,0,0,0,0
2866,7383,84,12,13,83,0,0,0,0,0,0,353,3145,8317,1227,26,33,0,0,0,0,0,13107200
