"Dstat 1.1.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dool/all_with_default_time.csv --bytes --cpu --disk --page --int --load --mem --net --proc --io --swap --sys --aio --fs --ipc --lock --raw --socket --tcp --udp --unix --vm --vm-adv --zones 1 600",,,,"Date:","23 Mar 2023 13:32:03 -03"
"total cpu usage",,,,,"dsk/total",,"paging",,"interrupts",,,"load avg",,,"memory usage",,,,"net/total",,"procs",,,"io/total",,"swap",,"system",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"raw","sockets",,,,,"tcp sockets",,,,,"udp",,"unix sockets",,,,"virtual memory",,,,"advanced virtual memory",,,,,"zones memory",,,
12.811,3.234,83.831,0.124,0,0,0,0,0,0,117,0,1.050,0.990,1.220,5294534656,2823950336,7856386048,11119501312,6184,7646,1,0,8,0,0,108527616,914878464,3342,9464,0,14080,179704,0,0,5,84,12,13,83,0,1210,25,33,0,0,7,23,0,6,2,25,16,56,979,55,924,0,3856,5237,4228,0,0,0,0,0,159314,3141,526799,22688
12.159,4.839,83.002,0,0,0,13049856,0,0,0,173,0,1.050,0.990,1.220,5297360896,2816684032,7860826112,11112071168,7696,11112,7,0,8,0,1718,108527616,914878464,4503,14698,0,14080,179724,0,0,5,84,12,13,83,0,1210,25,33,0,0,7,23,0,7,2,25,16,56,979,55,924,0,2795,5770,3846,0,0,0,0,0,159314,3141,525031,22688
12.129,3.094,84.653,0.124,0,0,0,0,0,0,141,0,1.050,0.990,1.220,5289914368,2828525568,7856431104,11123781632,22528,10692,1,0,0,0,0,108527616,914878464,2874,7218,0,14112,179723,0,0,5,84,12,13,83,0,1210,25,33,0,0,7,23,0,7,2,25,16,56,979,55,924,0,212,770,3367,0,0,0,0,0,159314,3141,527796,22688
11.568,7.455,80.848,0.129,0,0,2539520,0,0,0,118,0,1.130,1.010,1.230,5293166592,2827485184,7854219264,11120525312,6184,7788,1,0,20,0,20,108527616,914878464,5096,306876,0,14176,179743,0,0,5,84,12,13,83,0,1210,25,33,0,0,7,23,0,7,2,25,16,56,979,55,924,0,4953,29316,29826,0,0,0,0,0,159314,3141,527662,22688
10.243,12.932,76.825,0,0,8192,516096,0,0,0,123,0,1.130,1.010,1.230,5308850176,2812547072,7853473792,11104325632,6616,7989,2,0,424,2,44,108527616,914878464,6279,333295,0,14240,179725,0,0,5,86,12,15,83,0,1216,25,33,0,0,7,23,0,7,2,25,16,56,985,55,930,1,112780,111082,107322,0,0,0,0,0,159314,3141,524015,22688
11.646,6.962,81.266,0.127,0,306176,212992,0,0,0,119,0,1.130,1.010,1.230,5287538688,2832879616,7854452736,11128569856,6461,9851,1,0,95,14,8,108527616,914878464,7340,186412,0,14208,179730,0,0,5,86,12,15,83,0,1216,25,33,0,0,7,23,0,7,2,25,16,56,985,55,930,3,30680,33922,33854,0,0,0,0,0,159314,3141,528919,22688
11.111,4.494,84.395,0,0,0,7692288,0,0,0,133,0,1.130,1.010,1.230,5295415296,2825560064,7853895680,11121262592,8050,11734,1,0,23,0,156,108527616,914878464,3178,12630,0,14208,179728,0,0,5,86,12,15,83,0,1214,25,33,0,0,7,23,0,7,2,25,16,56,983,55,928,0,4313,5884,6280,0,0,0,0,0,159314,3141,527192,22688
16.332,2.764,80.779,0.126,0,0,0,0,0,0,152,0,1.130,1.010,1.230,5295693824,2818404352,7860772864,11121266688,6294,7703,0,0,0,0,0,108527616,914878464,3528,11120,0,14208,179764,0,0,5,86,12,15,83,0,1214,25,33,0,0,7,23,0,7,2,25,16,56,983,55,928,0,2144,4674,2403,0,0,0,0,0,159314,3141,525385,22688
12.968,4.364,82.544,0.125,0,0,1302528,0,0,0,122,0,1.120,1.010,1.230,5310717952,2803355648,7860797440,11106787328,6859,15562,5,0,1,0,78,108527616,914878464,4341,23733,0,15456,180824,0,0,5,86,12,15,83,0,1214,25,33,0,0,7,23,0,7,2,25,16,56,983,55,928,0,15130,34569,24972,0,0,0,0,0,159314,3141,515975,22688
25.567,6.675,67.632,0.126,0,65536,2588672,0,0,0,306,0,1.120,1.010,1.230,5319716864,2775449600,7879704576,11083796480,507062,45582,1,0,1,16,106,108527616,914878464,7272,86886,0,14208,180864,0,0,5,86,12,15,83,0,1218,25,33,0,0,7,24,0,6,2,25,17,56,985,55,930,0,28450,49382,49349,0,0,0,0,0,159314,3141,514958,22688
11.278,2.757,85.965,0,0,0,0,0,0,0,168,0,1.120,1.010,1.230,5323354112,2773000192,7878516736,11081355264,81792,16731,2,0,8,0,0,108527616,914878464,3317,11087,0,14208,180862,0,0,5,86,12,15,83,0,1218,25,33,0,0,7,24,0,7,2,25,17,56,985,55,930,0,2437,3806,4185,0,0,0,0,0,159314,3141,514360,22688
12.035,3.226,84.615,0.124,0,0,4816896,0,0,0,132,0,1.120,1.010,1.230,5321928704,2776477696,7876464640,11069288448,23072,10258,5,0,8,0,36,108527616,914878464,3135,9244,0,14240,180872,0,0,5,86,12,15,83,0,1218,25,33,0,0,7,24,0,6,2,25,17,56,985,55,930,0,7467,9865,10490,0,0,0,0,0,159314,3141,515209,22688
13.060,2.861,83.955,0.124,0,0,811008,0,0,0,154,6,1.120,1.010,1.230,5323894784,2775121920,7875854336,11067891712,24916,15556,0,0,0,0,28,108527616,914878464,3073,8222,0,14208,180870,0,0,5,86,12,15,83,0,1218,25,33,0,0,7,24,0,7,2,25,17,56,985,55,930,0,1342,2579,2594,0,0,0,0,0,159314,3141,514878,22688
11.567,3.109,85.323,0,0,0,0,0,0,0,172,0,1.110,1.010,1.230,5325987840,2775883776,7872999424,11067363328,8673,13223,1,0,0,0,0,108527616,914878464,3003,7251,0,14208,180869,0,0,5,86,12,15,83,0,1218,25,33,0,0,7,24,0,7,2,25,17,56,985,55,930,0,908,2640,3330,0,0,0,0,0,159314,3141,515064,22688
13.308,2.363,84.204,0.124,0,0,0,0,0,0,124,0,1.110,1.010,1.230,5323571200,2775998464,7875301376,11072913408,6616,8126,2,0,0,0,0,108527616,914878464,2974,7929,0,14240,180895,0,0,5,86,12,15,83,0,1218,25,33,0,0,7,24,0,7,2,25,17,56,985,55,930,0,1010,2343,2257,0,0,0,0,0,159314,3141,515092,22688
11.714,3.453,84.834,0,0,0,0,0,0,0,121,0,1.110,1.010,1.230,5324845056,2776875008,7873150976,11073798144,6424,7840,1,0,9,0,0,108527616,914878464,3049,8481,0,14208,180893,0,0,5,86,12,15,83,0,1218,25,33,0,0,7,24,0,7,2,25,17,56,985,55,930,0,1682,2255,2789,0,0,0,0,0,159314,3141,515243,22688
11.414,3.846,84.491,0.248,0,0,5521408,0,0,0,124,0,1.110,1.010,1.230,5323767808,2777849856,7873253376,11079979008,6608,7646,6,0,11,0,96,108527616,914878464,3108,8236,0,14208,180903,0,0,5,86,12,15,83,0,1218,25,33,0,0,7,24,0,7,2,25,17,56,985,55,930,0,2373,3428,4437,0,0,0,0,0,159314,3141,515544,22688
12.080,3.861,84.060,0,0,0,0,0,0,0,122,0,1.110,1.010,1.230,5325664256,2777554944,7871651840,11078356992,6437,8081,1,0,24,0,0,108527616,914878464,3106,10395,0,14240,180898,0,0,5,86,12,15,83,0,1218,25,33,0,0,7,24,0,7,2,25,17,56,985,55,930,0,3175,3314,4380,0,0,0,0,0,159314,3141,515472,22688
14.076,4.039,81.763,0.122,0,0,0,0,0,0,129,0,1.100,1,1.220,5324439552,2781065216,7869366272,11079626752,6690,8286,1,0,0,0,0,108527616,914878464,3117,8025,0,14240,180865,0,0,5,86,12,15,83,0,1218,25,33,0,0,7,24,0,7,2,25,17,56,985,55,930,0,328,1034,1914,0,0,0,0,0,159314,3141,516329,22688
13.896,3.722,82.258,0.124,0,0,1441792,0,0,0,206,0,1.100,1,1.220,5316337664,2787655680,7870877696,11119022080,370005,17604,3,0,0,0,58,108527616,914878464,3329,9880,0,14240,180913,0,0,5,86,12,15,83,0,1219,26,33,0,0,7,26,0,6,1,25,17,56,985,55,930,0,4828,7452,8618,0,0,0,0,0,159314,3141,517938,22688
12.698,4.274,82.906,0.122,0,0,0,0,0,0,137,0,1.100,1,1.220,5315915776,2788335616,7870619648,11119710208,11865,11963,4,0,8,0,0,108527616,914878464,3035,9335,0,14272,180912,0,0,5,86,12,15,83,0,1220,26,33,0,0,7,26,0,6,1,25,18,56,985,55,930,0,1400,2683,2770,0,0,0,0,0,159314,3141,518104,22688
14.746,2.602,82.528,0.124,0,0,360448,0,0,0,122,0,1.100,1,1.220,5314908160,2785628160,7874334720,11118780416,6573,8738,1,0,8,0,18,108527616,914878464,3084,10541,0,14240,180942,0,0,5,86,12,15,83,0,1219,26,33,0,0,7,26,0,6,1,25,17,56,985,55,930,0,2942,5028,2836,0,0,0,0,0,159314,3141,517595,22688
11.276,3.594,85.006,0.124,0,0,2654208,0,0,0,119,0,1.100,1,1.220,5314371584,2787483648,7873015808,11120648192,8307,7696,2,0,0,0,404,108527616,914878464,2941,7645,0,14208,180940,0,0,5,86,12,15,83,0,1219,26,33,0,0,7,26,0,6,1,25,17,56,985,55,930,0,489,1102,1224,0,0,0,0,0,159314,3141,517896,22688
11.911,3.350,84.615,0.124,0,0,0,0,0,0,156,0,1.010,0.990,1.220,5270986752,2831179776,7872704512,11115601920,23581,13873,2,0,0,0,0,108527616,914878464,3011,8334,0,14208,180944,0,0,5,86,12,15,83,0,1219,26,33,0,0,7,26,0,7,1,25,17,56,985,55,930,0,1018,1775,14172,0,0,0,0,0,159314,3141,528564,22688
11.679,4.745,83.455,0.122,0,0,0,0,0,0,128,0,1.010,0.990,1.220,5271269376,2830540800,7873060864,11115233280,6616,8244,1,0,0,0,0,108527616,914878464,3039,8187,0,14208,180950,0,0,5,86,12,15,83,0,1219,26,33,0,0,7,26,0,7,1,25,17,56,985,55,930,0,310,969,767,0,0,0,0,0,159314,3141,528478,22688
11.386,4.827,83.787,0,0,0,0,0,0,0,147,0,1.010,0.990,1.220,5268078592,2811121664,7895670784,11093585920,6351,7833,3,0,9,0,0,108527616,914878464,3273,10300,0,14208,180942,0,0,5,86,12,15,83,0,1219,26,33,0,0,7,26,0,7,1,25,17,56,985,55,930,0,1787,8525,2954,0,0,0,0,0,159314,3141,523667,22688
12.985,4.976,81.917,0.121,0,0,417792,0,0,0,122,0,1.010,0.990,1.220,5283934208,2794987520,7895949312,11078537216,6294,7840,2,0,8,0,20,108527616,914878464,3213,9993,0,14208,180982,0,0,5,86,12,15,83,0,1219,26,33,0,0,7,26,0,7,1,25,17,56,985,55,930,0,7208,9144,3951,0,0,0,0,0,159314,3141,519728,22688
15.706,5.276,78.896,0.123,0,0,5677056,0,0,0,125,0,1.010,0.990,1.220,5285093376,2793377792,7896399872,11078373376,6314,8146,1,0,1,0,70,108527616,914878464,3754,9100,0,14240,180983,0,0,5,86,12,15,83,0,1219,26,33,0,0,7,26,0,7,1,25,17,56,985,55,930,0,833,2188,2597,0,0,0,0,0,159314,3141,519276,22688
12.956,2.516,84.403,0.126,0,0,0,0,0,0,116,0,1.010,0.990,1.220,5280829440,2795544576,7898497024,11080355840,6184,7646,2,0,2,0,0,108527616,914878464,3358,9026,0,14208,181009,0,0,5,86,12,15,83,0,1219,26,33,0,0,7,26,0,7,1,25,17,56,985,55,930,0,3055,4172,2254,0,0,0,0,0,159314,3141,519864,22688
11.728,3.951,84.321,0,0,0,131072,0,0,0,153,0,1.010,0.990,1.220,5284761600,2791346176,7898763264,11076435968,353875,11732,1,0,2,0,4,108527616,914878464,3031,8824,0,14208,181008,0,0,5,86,12,15,83,0,1219,26,33,0,0,7,26,0,7,1,25,17,56,985,55,930,0,1492,2425,2149,0,0,0,0,0,159314,3141,518783,22688
11.816,3.607,84.453,0.124,0,24576,974848,0,0,0,121,0,1.010,0.990,1.220,5288251392,2787819520,7898800128,11072991232,6314,7646,2,0,24,6,32,108527616,914878464,3213,12073,0,14240,181010,0,0,5,86,12,15,83,0,1219,26,33,0,0,7,26,0,7,1,25,17,56,985,55,930,2,5181,5497,5242,0,0,0,0,0,159314,3141,517978,22688
11.290,3.722,84.864,0.124,0,0,245760,0,0,0,157,0,1.010,0.990,1.220,5291560960,2786615296,7896694784,11069792256,6573,8440,1,0,8,0,32,108527616,914878464,3004,8266,0,14208,180991,0,0,5,86,12,15,83,0,1219,26,33,0,0,7,26,0,6,1,25,17,56,985,55,930,0,1556,2188,3003,0,0,0,0,0,159314,3141,517568,22688
11.056,3.727,85.093,0.124,0,0,11526144,0,0,0,139,0,1.010,0.990,1.220,5295591424,2782584832,7896694784,11065655296,8095,78555,1,0,0,0,562,108527616,914878464,3055,7757,0,14208,180990,0,0,5,86,12,15,83,0,1219,26,33,0,0,7,26,0,6,1,25,17,56,985,55,930,0,904,2886,2089,0,0,0,0,0,159314,3141,516700,22688
12.330,3.576,83.970,0.123,0,0,0,0,0,0,155,0,0.930,0.970,1.210,5296930816,2781179904,7896760320,11064250368,10509,27489,2,0,0,0,0,108527616,914878464,2976,7971,0,14208,180992,0,0,5,86,12,15,83,0,1219,26,33,0,0,7,26,0,7,1,25,17,56,985,55,930,0,518,1615,1677,0,0,0,0,0,159314,3141,516357,22688
10.973,3.990,85.037,0,0,0,0,0,0,0,138,0,0.930,0.970,1.210,5306114048,2770776064,7897980928,11053633536,22698,11028,3,0,2,0,0,108527616,914878464,3666,8132,0,14240,181039,0,0,5,86,12,15,83,0,1219,26,33,0,0,7,26,0,7,1,25,17,56,985,55,930,0,5940,7369,3327,0,0,0,0,0,159314,3141,513757,22688
14.589,2.743,82.419,0.249,0,0,1089536,0,0,0,122,0,0.930,0.970,1.210,5285785600,2797768704,7891316736,11083493376,6356,8137,1,0,13,0,124,108527616,914878464,3208,10522,0,14208,180998,0,0,5,84,12,13,83,0,1213,26,33,0,0,7,26,0,7,1,25,17,56,979,55,924,0,3108,4351,8996,0,0,0,0,0,159314,3141,520347,22688
10.237,4.120,85.518,0.125,0,0,327680,0,0,0,125,0,0.930,0.970,1.210,5290450944,2798432256,7885987840,11094065152,6591,8145,2,0,8,0,48,108527616,914878464,3016,8274,0,14176,179888,0,0,5,84,12,13,83,0,1213,26,33,0,0,7,26,0,7,1,25,17,56,979,55,924,0,1546,2184,4057,0,0,0,0,0,159314,3141,520569,22688
11.553,3.851,84.472,0.124,0,0,1204224,0,0,0,164,0,0.930,0.970,1.210,5291343872,2797539328,7885987840,11093172224,6184,7867,2,0,0,0,128,108527616,914878464,3195,7758,0,14144,179887,0,0,5,84,12,13,83,0,1213,26,33,0,0,7,26,0,7,1,25,17,56,979,55,924,0,546,1357,1689,0,0,0,0,0,159314,3141,520351,22688
11.860,3.745,84.395,0,0,0,0,0,0,0,122,0,0.850,0.950,1.200,5295112192,2796146688,7883612160,11089518592,6747,8487,1,0,0,0,0,108527616,914878464,3005,7586,0,14144,179856,0,0,5,84,12,13,83,0,1211,26,33,0,0,7,26,0,7,1,25,15,56,979,55,924,0,841,1449,1869,0,0,0,0,0,159314,3141,520011,22688
12.174,3.230,84.472,0.124,0,0,1712128,0,0,0,174,0,0.850,0.950,1.200,5294313472,2796011520,7884546048,11089498112,414175,16772,2,0,2,0,90,108527616,914878464,3165,11184,0,14144,179867,0,0,5,84,12,13,83,0,1211,26,33,0,0,7,26,0,7,1,25,15,56,979,55,924,0,2751,4569,4295,0,0,0,0,0,159314,3141,520041,22688
11.304,3.975,84.596,0.124,0,0,0,0,0,0,124,0,0.850,0.950,1.200,5295144960,2793541632,7886184448,11087036416,6254,7646,1,0,11,0,0,108527616,914878464,3083,8738,0,14144,179862,0,0,5,84,12,13,83,0,1211,26,33,0,0,7,26,0,7,1,25,15,56,979,55,924,0,2829,3226,3038,0,0,0,0,0,159314,3141,519378,22688
10.540,3.262,86.073,0.125,0,0,278528,0,0,0,128,0,0.850,0.950,1.200,5313298432,2774302720,7887269888,11068903424,7017,8270,1,0,9,0,22,108527616,914878464,2960,8877,0,14176,179908,0,0,5,84,12,13,83,0,1211,26,33,0,0,7,26,0,6,1,25,15,56,979,55,924,0,7340,8845,3031,0,0,0,0,0,159314,3141,514678,22688
14.446,2.740,82.690,0.125,0,0,17227776,0,0,0,121,0,0.850,0.950,1.200,5322645504,2765418496,7886692352,11088535552,6294,7958,3,0,0,0,146,108527616,914878464,3165,11472,0,14208,179851,0,0,5,84,12,13,83,0,1211,26,33,0,0,7,26,0,6,1,25,15,56,979,55,924,0,2754,6404,4908,0,0,0,0,0,159314,3141,512509,22688
10.585,3.362,85.928,0.125,0,0,2056192,0,0,0,162,0,1.270,1.040,1.230,5324070912,2764226560,7886458880,11086893056,6184,8004,1,0,0,0,26,108527616,914878464,2906,7158,0,14208,179848,0,0,5,84,12,13,83,0,1211,26,33,0,0,7,26,0,6,1,25,15,56,979,55,924,0,351,1150,1303,0,0,0,0,0,159314,3141,512158,22688
15.166,3.699,81.134,0,0,0,0,0,0,0,149,0,1.270,1.040,1.230,5322842112,2765455360,7886458880,11088121856,22397,13174,1,0,0,0,0,108527616,914878464,3087,7920,0,14208,179849,0,0,5,84,12,13,83,0,1211,26,33,0,0,7,26,0,7,1,25,15,56,979,55,924,0,1126,1693,2317,0,0,0,0,0,159314,3141,512518,22688
12.438,3.856,83.582,0.124,0,0,0,0,0,0,124,0,1.270,1.040,1.230,5322629120,2761732096,7890395136,11084402688,7588,8530,1,0,10,0,0,108527616,914878464,3197,8568,0,14208,179850,0,0,5,84,12,13,83,0,1211,26,33,0,0,7,26,0,7,1,25,15,56,979,55,924,0,3381,4552,3415,0,0,0,0,0,159314,3141,511505,22688
11.567,4.851,83.458,0.124,0,8192,270336,0,0,0,123,0,1.270,1.040,1.230,5424721920,2654109696,7895928832,10993704960,6400,7752,6,0,11,2,20,108527616,914878464,4320,39198,0,14176,180893,0,0,5,84,12,13,83,0,1211,26,33,0,0,7,26,0,7,1,25,15,56,979,55,924,0,36031,58649,30402,0,0,0,0,0,159314,3141,485338,22688
11.400,3.594,84.882,0.124,0,0,4915200,0,0,0,121,0,1.270,1.040,1.230,5422080000,2663075840,7889604608,11002728448,6334,7998,2,0,0,0,50,108527616,914878464,2704,6933,0,14208,180889,0,0,5,84,12,13,83,0,1211,26,33,0,0,7,26,0,7,1,25,15,56,979,55,924,0,254,1580,2805,0,0,0,0,0,159314,3141,487271,22688
10.959,3.985,85.056,0,0,0,0,0,0,0,121,0,1.160,1.020,1.220,5427740672,2671124480,7875895296,11010781184,6184,8004,3,0,0,0,0,108527616,914878464,2874,7054,0,14176,180891,0,0,5,84,12,13,83,0,1211,26,33,0,0,7,26,0,7,1,25,15,56,979,55,924,0,254,4471,8843,0,0,0,0,0,159314,3141,489488,22688
14.037,4.720,81.118,0.124,0,0,3014656,0,0,0,192,0,1.160,1.020,1.220,5415940096,2680012800,7878799360,10991116288,352806,12356,2,0,21,0,62,108527616,914878464,3609,14859,0,14176,180963,0,0,5,84,12,13,83,0,1210,26,33,0,0,7,26,0,7,1,25,14,56,979,55,924,0,12287,15052,17497,0,0,0,0,0,159314,3141,491658,22688
10.087,3.736,86.177,0,0,0,0,0,0,0,123,0,1.160,1.020,1.220,5416710144,2679205888,7878836224,10990313472,6294,8114,2,0,8,0,0,108527616,914878464,2914,8475,0,14176,180954,0,0,5,84,12,13,83,0,1210,26,33,0,0,7,26,0,7,1,25,14,56,979,55,924,0,1630,2294,2310,0,0,0,0,0,159314,3141,491466,22688
13.168,4.099,82.609,0.124,0,0,352256,0,0,0,123,0,1.160,1.020,1.220,5418319872,2676961280,7879471104,10988089344,6463,8246,2,0,24,0,32,108527616,914878464,3242,12364,0,14144,180955,0,0,5,84,12,13,83,0,1210,26,33,0,0,7,26,0,7,1,25,14,56,979,55,924,0,5105,5450,5106,0,0,0,0,0,159314,3141,490913,22688
11.867,3.708,84.302,0.124,0,0,7241728,0,0,0,125,0,1.160,1.020,1.220,5420310528,2675499008,7878938624,10986631168,6294,7845,2,0,1,0,82,108527616,914878464,2893,7216,0,14144,180954,0,0,5,84,12,13,83,0,1210,26,33,0,0,7,26,0,6,1,25,14,56,979,55,924,0,991,2193,2238,0,0,0,0,0,159314,3141,490556,22688
9.963,3.238,86.800,0,0,0,0,0,0,0,125,0,1.150,1.020,1.220,5418696704,2679496704,7876554752,11077738496,6563,8088,4,0,0,0,0,108527616,914878464,2805,6921,0,14144,180926,0,0,5,84,12,13,83,0,1210,26,33,0,0,7,26,0,6,1,25,14,56,979,55,924,0,1033,1559,3005,0,0,0,0,0,159314,3141,491532,22688
11.208,2.117,86.550,0.125,0,0,0,0,0,0,126,0,1.150,1.020,1.220,5419675648,2678546432,7876526080,11076759552,6999,8777,1,0,0,0,0,108527616,914878464,2837,6963,0,14144,180936,0,0,5,84,12,13,83,0,1210,26,33,0,0,7,26,0,6,1,25,14,56,979,55,924,0,1180,1730,641,0,0,0,0,0,159314,3141,491300,22688
10.100,4.738,85.162,0,0,0,0,0,0,0,177,0,1.150,1.020,1.220,5419999232,2678218752,7876530176,11076435968,23443,13476,1,0,8,0,0,108527616,914878464,3112,9178,0,14144,180936,0,0,5,84,12,13,83,0,1210,26,33,0,0,7,26,0,7,1,25,14,56,979,55,924,0,1530,2165,2247,0,0,0,0,0,159314,3141,491164,22688
13.733,3.371,82.772,0.125,0,0,655360,0,0,0,123,0,1.150,1.020,1.220,5415424000,2680455168,7878868992,11075076096,6609,7939,5,0,8,0,24,108527616,914878464,3110,9605,0,14144,180974,0,0,5,84,12,13,83,0,1210,26,33,0,0,7,26,0,7,1,25,14,56,979,55,924,0,3606,5130,5505,0,0,0,0,0,159314,3141,491708,22688
11.429,2.733,85.714,0.124,0,0,2826240,0,0,0,122,0,1.150,1.020,1.220,5416050688,2679791616,7878905856,11072909312,6184,7764,1,0,0,0,44,108527616,914878464,2713,7065,0,14144,180974,0,0,5,84,12,13,83,0,1212,26,33,0,0,7,26,0,7,1,25,14,56,981,55,926,0,209,1099,1851,0,0,0,0,0,159314,3141,491604,22688
10.323,3.109,86.443,0.124,0,0,0,0,0,0,145,0,1.140,1.020,1.220,5416128512,2679476224,7879143424,11072598016,18499,13234,3,0,0,0,0,108527616,914878464,2895,7686,0,14144,180974,0,0,5,84,12,13,83,0,1210,26,33,0,0,7,26,0,7,1,25,14,56,979,55,924,0,1193,2207,1858,0,0,0,0,0,159314,3141,491527,22688
13.217,3.367,83.416,0,0,0,0,0,0,0,182,0,1.140,1.020,1.220,5416747008,2678702080,7879299072,11072147456,362915,24095,0,0,0,0,0,108527616,914878464,3194,8951,0,14144,180976,0,0,5,84,12,13,83,0,1211,26,33,0,0,7,26,0,7,1,25,15,56,979,55,924,0,2141,3856,3298,0,0,0,0,0,159314,3141,492248,22688
13.027,3.970,82.878,0.124,0,0,0,0,0,0,132,0,1.140,1.020,1.220,5415579648,2678968320,7880200192,11070033920,9259,8471,2,0,10,0,0,108527616,914878464,3172,9008,0,14144,180951,0,0,5,84,12,13,83,0,1211,26,33,0,0,7,26,0,7,1,25,15,56,979,55,924,0,3238,4431,4886,0,0,0,0,0,159314,3141,491403,22688
