"Dstat 1.1.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dool/zones_sys_proc_fs_tcp_time_ipc_socket_net_lock.csv --zones --sys --proc --fs --tcp --time --ipc --socket --net --lock 1 600",,,,"Date:","22 Mar 2023 21:32:08 -03"
"zones memory",,,,"system",,"procs",,,"filesystem",,"tcp sockets",,,,,"system","sysv ipc",,,"sockets",,,,,"net/total",,"file locks",,,
305914,3141,174453,22176,769,1864,2,0,4,13152,349791,7,13,0,6,1,Mar-22 21:32:19,0,0,6,1076,19,22,0,0,86,464,56,12,10,58
305914,3141,173700,22176,773,1825,0,0,4,13184,349794,7,13,0,6,1,Mar-22 21:32:20,0,0,6,1073,19,19,0,0,0,0,56,12,10,58
305914,3141,173640,22176,747,1175,1,0,0,13184,349813,7,13,0,6,1,Mar-22 21:32:21,0,0,6,1073,19,19,0,0,424,0,56,12,10,58
305914,3141,173320,22176,1713,5369,2,0,0,13184,349813,7,13,0,6,1,Mar-22 21:32:22,0,0,6,1073,19,19,0,0,0,0,56,12,10,58
305914,3141,173261,22176,928,2427,1,0,8,13216,349812,7,13,0,6,1,Mar-22 21:32:23,0,0,6,1073,19,19,0,0,0,0,56,12,10,58
305914,3141,172955,22176,742,1266,1,0,0,13216,349812,7,13,0,6,1,Mar-22 21:32:24,0,0,6,1073,19,19,0,0,327,1724,56,12,10,58
305914,3141,172657,22176,951,3456,0,0,9,13216,349815,7,15,0,6,0,Mar-22 21:32:25,0,0,6,1074,20,19,0,0,8151,10759,56,12,10,58
305914,3141,172657,22176,663,1214,0,0,0,13216,349814,7,15,0,6,0,Mar-22 21:32:26,0,0,6,1074,20,19,0,0,0,0,56,12,10,58
305914,3141,172657,22176,936,2124,3,0,0,13216,349823,7,15,0,6,0,Mar-22 21:32:27,0,0,6,1074,20,19,0,0,15817,4742,56,12,10,58
305914,3141,172531,22176,949,2539,3,0,8,13216,349833,7,15,0,6,0,Mar-22 21:32:28,0,0,6,1074,20,19,0,0,1404,1158,56,12,10,58
305914,3141,172531,22176,739,1364,3,0,0,13216,349836,7,15,0,6,0,Mar-22 21:32:29,0,0,6,1076,20,19,0,0,167,187,56,12,10,58
305914,3141,172531,22176,987,2455,0,0,9,13216,349833,7,15,0,6,0,Mar-22 21:32:30,0,0,6,1074,20,19,0,0,0,358,56,12,10,58
305914,3141,172345,22176,734,1291,1,0,0,13216,349833,7,15,0,6,0,Mar-22 21:32:31,0,0,6,1074,20,19,0,0,86,106,56,12,10,58
305914,3141,172345,22176,723,1225,1,0,0,13216,349772,7,15,0,6,0,Mar-22 21:32:32,0,0,6,1074,20,19,0,0,0,0,56,12,10,58
305914,3141,172282,22176,973,2636,1,0,8,13216,349772,7,15,0,6,0,Mar-22 21:32:33,0,0,6,1074,20,19,0,0,0,0,56,12,10,58
305914,3141,172282,22176,749,1305,0,0,0,13216,349783,7,15,0,6,0,Mar-22 21:32:34,0,0,6,1074,20,19,0,0,396,446,56,12,10,58
305914,3141,172033,22176,896,2443,2,0,8,13216,349784,7,15,0,6,0,Mar-22 21:32:35,0,0,6,1074,20,19,0,0,0,358,56,12,10,58
305914,3141,172033,22176,771,1372,0,0,0,13216,349792,7,15,0,6,0,Mar-22 21:32:36,0,0,6,1074,20,19,0,0,0,0,56,12,10,58
305914,3141,171850,22176,879,1935,1,0,0,13216,349793,7,15,0,5,0,Mar-22 21:32:37,0,0,6,1074,20,19,0,0,0,0,56,12,10,58
305914,3141,172238,22176,1339,3584,2,0,8,13216,349794,7,15,0,6,0,Mar-22 21:32:38,0,0,6,1074,20,19,0,0,1741,4490,56,12,10,58
305914,3141,172244,22176,850,1408,2,0,0,13216,349793,7,15,0,6,0,Mar-22 21:32:39,0,0,6,1074,20,19,0,0,15602,1450,56,12,10,58
305914,3141,172250,22176,926,2570,1,0,8,13248,349794,7,15,0,6,0,Mar-22 21:32:40,0,0,6,1075,20,20,0,0,0,702,56,12,10,58
305914,3141,177554,22176,1491,2930,1,0,0,13216,349816,7,15,1,5,0,Mar-22 21:32:41,0,0,6,1077,21,19,0,0,756,206,56,12,10,58
305914,3141,177554,22176,1695,2914,3,0,1,13216,349815,7,15,1,5,0,Mar-22 21:32:42,0,0,6,1077,21,19,0,0,0,206,56,12,10,58
307234,3141,177499,22176,2064,5089,2,0,8,13216,348717,7,15,1,5,0,Mar-22 21:32:43,0,0,6,1077,21,19,0,0,1249,3192,56,12,10,58
307234,3141,177376,22176,1751,3012,2,0,0,13216,348717,7,15,1,5,0,Mar-22 21:32:44,0,0,6,1077,21,19,0,0,30512,4455,56,12,10,58
307234,3141,177462,22176,1993,4291,1,0,8,13216,348715,7,15,1,5,0,Mar-22 21:32:45,0,0,6,1077,21,19,0,0,56,74,56,12,10,58
307234,3141,177462,22176,1698,2899,1,0,0,13216,348716,7,15,1,5,0,Mar-22 21:32:46,0,0,6,1077,21,19,0,0,424,358,56,12,10,58
307234,3141,177472,22176,1587,2774,1,0,0,13216,348716,7,15,1,4,0,Mar-22 21:32:47,0,0,6,1077,21,19,0,0,0,0,56,12,10,58
307234,3141,177557,22176,2174,4939,3,0,8,13216,348725,7,15,1,4,0,Mar-22 21:32:48,0,0,6,1077,21,19,0,0,0,206,56,12,10,58
307234,3141,177469,22176,1962,3893,2,0,0,13216,348727,7,15,1,5,0,Mar-22 21:32:49,0,0,6,1077,21,19,0,0,15984,5496,56,12,10,58
307234,3141,177356,22176,1892,4141,3,0,8,13216,348726,7,15,1,5,0,Mar-22 21:32:50,0,0,6,1077,21,19,0,0,1404,631,56,12,10,58
307234,3141,177296,22176,1738,2831,3,0,0,13216,348735,7,15,1,5,0,Mar-22 21:32:51,0,0,6,1077,21,19,0,0,0,358,56,12,10,58
307234,3141,177127,22176,1659,2860,2,0,0,13216,348736,7,15,1,5,0,Mar-22 21:32:52,0,0,6,1077,21,19,0,0,0,0,56,12,10,58
307234,3141,177069,22176,1976,4229,2,0,8,13184,348734,7,15,1,5,0,Mar-22 21:32:53,0,0,6,1077,21,19,0,0,0,0,56,12,10,58
307234,3141,176585,22176,1655,2844,2,0,0,13184,348736,7,15,1,5,0,Mar-22 21:32:54,0,0,6,1077,21,19,0,0,396,446,56,12,10,58
307234,3141,176161,22176,1975,4289,2,0,9,13184,348747,7,15,1,5,0,Mar-22 21:32:55,0,0,6,1077,21,19,0,0,0,0,56,12,10,58
307234,3141,176363,22176,1686,2795,1,0,0,13184,348746,7,15,1,5,0,Mar-22 21:32:56,0,0,6,1077,21,19,0,0,0,564,56,12,10,58
307234,3141,176125,22176,1578,2787,1,0,0,13184,348746,7,15,1,5,0,Mar-22 21:32:57,0,0,6,1077,21,19,0,0,0,0,56,12,10,58
307234,3141,174994,22176,2649,8829,3,0,8,14144,349716,7,15,1,5,0,Mar-22 21:32:58,0,0,6,1077,21,19,0,0,167,187,56,12,10,58
307234,3141,126665,22176,2580,30727,0,0,0,13152,349815,7,15,1,5,0,Mar-22 21:32:59,0,0,6,1077,21,19,0,0,0,0,56,12,10,58
307234,3141,126434,22176,1982,4918,1,0,8,13184,349813,7,15,0,6,0,Mar-22 21:33:00,0,0,6,1074,20,19,0,0,15857,5309,56,12,10,58
307234,3141,126140,22176,1044,3605,3,0,8,13216,349814,7,15,0,6,0,Mar-22 21:33:01,0,0,6,1074,20,19,0,0,1446,631,56,12,10,58
307234,3141,126205,22176,709,1264,0,0,0,13216,349824,7,15,0,6,0,Mar-22 21:33:02,0,0,6,1074,20,19,0,0,46,358,56,12,10,58
307234,3141,126159,22176,974,2549,1,0,8,13216,349822,7,15,0,6,0,Mar-22 21:33:03,0,0,6,1074,20,19,0,0,0,0,56,12,10,58
307234,3141,126096,22176,721,1220,2,0,0,13216,349822,7,15,0,6,0,Mar-22 21:33:04,0,0,6,1074,20,19,0,0,86,106,56,12,10,58
307234,3141,125970,22176,884,2464,0,0,8,13216,349822,7,15,0,6,0,Mar-22 21:33:05,0,0,6,1074,20,19,0,0,0,0,56,12,10,58
304399,3141,124484,22176,876,1952,0,0,0,13216,349818,7,15,0,6,0,Mar-22 21:33:06,0,0,6,1074,20,19,0,0,46,0,56,12,10,58
304399,3141,124358,22176,796,1309,2,0,1,13216,349817,7,15,0,6,0,Mar-22 21:33:07,0,0,6,1074,20,19,0,0,0,358,56,12,10,58
304399,3141,124044,22176,985,2628,0,0,8,13216,349818,7,15,0,6,0,Mar-22 21:33:08,0,0,6,1074,20,19,0,0,0,0,56,12,10,58
304399,3141,123201,22176,1901,5881,1,0,0,13216,349827,7,15,0,6,0,Mar-22 21:33:09,0,0,6,1074,20,19,0,0,458,480,56,12,10,58
304399,3141,123305,22176,925,2519,0,0,8,13216,349828,7,15,0,6,0,Mar-22 21:33:10,0,0,6,1074,20,19,0,0,174,0,56,12,10,58
304399,3141,123126,22176,998,2144,2,0,0,13216,349829,7,15,0,7,0,Mar-22 21:33:11,0,0,6,1074,20,19,0,0,13827,5226,56,12,10,58
304399,3141,123136,22176,741,1323,2,0,0,13216,349828,7,15,0,7,0,Mar-22 21:33:12,0,0,6,1074,20,19,0,0,6282,1550,56,12,10,58
304399,3141,123136,22176,1026,2631,1,0,10,13216,349802,7,15,1,7,0,Mar-22 21:33:13,0,0,6,1077,21,19,0,0,1350,466,56,12,10,58
304399,3141,123404,22176,1059,1773,0,0,0,13216,349808,7,15,0,8,0,Mar-22 21:33:14,0,0,6,1074,20,19,0,0,815,963,56,12,10,58
304399,3141,123546,22176,974,2621,1,0,8,13216,349806,7,15,0,8,0,Mar-22 21:33:15,0,0,6,1074,20,19,0,0,0,0,56,12,10,58
304399,3141,123468,22176,877,1757,0,0,0,13216,349828,7,15,0,7,0,Mar-22 21:33:16,0,0,6,1074,20,19,0,0,86,106,56,12,10,58
304399,3141,123408,22176,643,1124,0,0,0,13216,349828,7,15,0,7,0,Mar-22 21:33:17,0,0,6,1074,20,19,0,0,0,0,56,12,10,58
304399,3141,123424,22176,992,2641,3,0,8,13216,349826,7,13,0,7,1,Mar-22 21:33:18,0,0,6,1073,19,19,0,0,326,610,56,12,10,58
304399,3141,123328,22176,928,1581,0,0,1,13216,349827,7,13,0,7,1,Mar-22 21:33:19,0,0,6,1073,19,19,0,0,496,1620,56,12,10,58
304399,3141,123265,22176,897,2455,3,0,8,13216,349827,7,13,0,7,1,Mar-22 21:33:20,0,0,6,1073,19,19,0,0,1752,1560,56,12,10,58
304399,3141,123397,22176,818,1224,1,0,0,13184,349845,7,13,0,7,1,Mar-22 21:33:21,0,0,6,1073,19,19,0,0,0,0,56,12,10,58
304399,3141,123310,22176,720,1311,2,0,0,13184,349846,7,13,0,7,1,Mar-22 21:33:22,0,0,6,1073,19,19,0,0,0,0,56,12,10,58
304399,3141,123237,22176,1204,3705,2,0,8,13184,349856,7,13,0,8,1,Mar-22 21:33:23,0,0,6,1073,19,19,0,0,16345,6132,56,12,10,58
304399,3141,122929,22176,720,1292,0,0,0,13184,349856,7,13,0,8,1,Mar-22 21:33:24,0,0,6,1073,19,19,0,0,963,1386,56,12,10,58
304399,3141,122764,22176,918,2451,1,0,8,13184,349856,7,13,0,8,1,Mar-22 21:33:25,0,0,6,1073,19,19,0,0,0,0,56,12,10,58
304399,3141,122529,22176,658,1180,2,0,0,13184,349856,7,13,0,8,1,Mar-22 21:33:26,0,0,6,1073,19,19,0,0,0,0,56,12,10,58
305632,3141,122599,22176,720,1171,3,0,0,13184,348736,7,13,0,8,1,Mar-22 21:33:27,0,0,6,1073,19,19,0,0,0,0,56,12,10,58
305632,3141,122465,22176,883,2632,0,0,8,13184,348735,7,13,0,7,1,Mar-22 21:33:28,0,0,6,1073,19,19,0,0,0,358,56,12,10,58
306763,3141,122788,22176,710,1175,2,0,0,13184,348745,7,13,0,7,1,Mar-22 21:33:29,0,0,6,1073,19,19,0,0,167,187,56,12,10,58
307027,3141,122571,22176,1195,3612,1,0,8,13184,348755,7,11,0,7,2,Mar-22 21:33:30,0,0,6,1072,18,19,0,0,482,350,56,12,10,58
307027,3141,122423,22176,804,1379,0,0,1,13152,348755,7,11,0,7,2,Mar-22 21:33:31,0,0,6,1072,18,19,0,0,0,0,56,12,10,58
307027,3141,122423,22176,671,1192,1,0,0,13152,348754,7,11,0,7,2,Mar-22 21:33:32,0,0,6,1072,18,19,0,0,0,0,56,12,10,58
307027,3141,122317,22176,912,2509,0,0,8,13152,348755,7,11,0,7,2,Mar-22 21:33:33,0,0,6,1072,18,19,0,0,0,0,56,12,10,58
307027,3141,122261,22176,1019,2271,1,0,0,13152,348756,7,11,0,8,2,Mar-22 21:33:34,0,0,6,1072,18,19,0,0,16930,6829,56,12,10,58
307027,3141,122401,22176,889,2475,0,0,8,13152,348754,7,11,0,8,2,Mar-22 21:33:35,0,0,6,1072,18,19,0,0,916,126,56,12,10,58
308662,3141,123041,22176,778,1238,0,0,0,13152,348765,7,11,0,8,2,Mar-22 21:33:36,0,0,6,1072,18,19,0,0,876,968,56,12,10,58
308662,3141,123047,22176,778,1234,2,0,0,13152,348775,7,11,0,8,2,Mar-22 21:33:37,0,0,6,1072,18,19,0,0,0,0,56,12,10,58
308662,3141,122893,22176,993,2564,1,0,8,13152,348775,7,11,0,8,2,Mar-22 21:33:38,0,0,6,1072,18,19,0,0,0,0,56,12,10,58
308662,3141,122783,22176,773,1353,2,0,0,13152,348776,7,11,0,7,2,Mar-22 21:33:39,0,0,6,1072,18,19,0,0,0,358,56,12,10,58
308662,3141,122747,22176,917,2438,0,0,8,13152,348776,7,11,0,7,2,Mar-22 21:33:40,0,0,6,1072,18,19,0,0,0,0,56,12,10,58
308662,3141,123140,22176,700,1110,1,0,0,13152,348715,7,11,0,7,2,Mar-22 21:33:41,0,0,6,1072,18,19,0,0,382,243,56,12,10,58
308662,3141,123080,22176,736,1242,0,0,0,13152,348716,7,11,0,7,2,Mar-22 21:33:42,0,0,6,1072,18,19,0,0,0,0,56,12,10,58
308662,3141,123041,22176,997,2459,1,0,8,13152,348716,7,11,0,7,2,Mar-22 21:33:43,0,0,6,1072,18,19,0,0,0,0,56,12,10,58
278674,3141,124017,22176,1823,35816,4,0,1,13184,349796,7,11,0,8,2,Mar-22 21:33:44,0,0,6,1072,18,19,0,0,1619,4848,56,12,10,58
278674,3141,123258,22176,2595,8894,1,0,8,13184,349743,7,9,0,9,2,Mar-22 21:33:45,0,0,6,1070,16,19,0,0,43961,6796,56,12,10,58
278674,3141,123275,22176,785,1329,2,0,0,13184,349744,7,9,0,9,2,Mar-22 21:33:46,0,0,6,1070,16,19,0,0,112,148,56,12,10,58
278674,3141,123281,22176,714,1276,0,0,0,13184,349743,7,9,0,9,2,Mar-22 21:33:47,0,0,6,1070,16,19,0,0,4598,1198,56,12,10,58
278674,3141,123284,22176,1002,2635,1,0,8,13184,349744,7,9,0,9,2,Mar-22 21:33:48,0,0,6,1070,16,19,0,0,0,0,56,12,10,58
278674,3141,123042,22176,740,1244,2,0,0,13184,349744,7,9,0,9,2,Mar-22 21:33:49,0,0,6,1070,16,19,0,0,253,651,56,12,10,58
278674,3141,123048,22176,829,2389,1,0,8,13216,349743,7,9,0,9,2,Mar-22 21:33:50,0,0,6,1070,16,19,0,0,0,0,56,12,10,58
278674,3141,158483,22176,884,1696,2,0,0,13216,349784,7,9,0,8,2,Mar-22 21:33:51,0,0,6,1070,16,19,0,0,0,0,56,12,10,58
278674,3141,158301,22176,710,1341,0,0,0,13216,349784,7,9,0,8,2,Mar-22 21:33:52,0,0,6,1070,16,19,0,0,0,0,56,12,10,58
278674,3141,158247,22176,917,2549,1,0,8,13216,349782,7,9,0,8,2,Mar-22 21:33:53,0,0,6,1070,16,19,0,0,0,0,56,12,10,58
278674,3141,157877,22176,748,1316,2,0,0,13216,349784,7,9,0,8,2,Mar-22 21:33:54,0,0,6,1070,16,19,0,0,474,552,56,12,10,58
278674,3141,157842,22176,932,2644,1,0,8,13248,349784,7,9,0,8,2,Mar-22 21:33:55,0,0,6,1070,16,19,0,0,0,0,56,12,10,58
278674,3141,157659,22176,796,1424,0,0,1,13248,349783,7,9,0,8,2,Mar-22 21:33:56,0,0,6,1070,16,19,0,0,82,0,56,12,10,58
278674,3141,157542,22176,891,2149,3,0,0,13216,349784,7,9,0,9,2,Mar-22 21:33:57,0,0,6,1070,16,19,0,0,1659,4592,56,12,10,58
278674,3141,157615,22176,924,2386,2,0,7,13216,349810,7,9,0,9,2,Mar-22 21:33:58,0,0,6,1070,16,19,0,0,15602,1450,56,12,10,58
278674,3141,157181,22176,772,1439,0,0,1,13216,349814,7,9,0,9,2,Mar-22 21:33:59,0,0,6,1070,16,19,0,0,0,0,56,12,10,58
278674,3141,157326,22176,1028,2719,1,0,8,13216,349812,7,9,0,9,2,Mar-22 21:34:00,0,0,6,1070,16,19,0,0,0,0,56,12,10,58
278674,3141,157021,22176,995,3603,3,0,8,13184,349816,7,9,0,8,2,Mar-22 21:34:01,0,0,6,1070,16,19,0,0,954,352,56,12,10,58
278674,3141,156961,22176,719,1177,2,0,0,13184,349816,7,9,0,8,2,Mar-22 21:34:02,0,0,6,1070,16,19,0,0,0,0,56,12,10,58
278674,3141,157226,22176,772,1367,0,0,0,13184,349815,7,9,0,8,2,Mar-22 21:34:03,0,0,6,1070,16,19,0,0,0,0,56,12,10,58
278674,3141,157041,22176,859,2430,1,0,8,13184,349813,7,9,0,8,2,Mar-22 21:34:04,0,0,6,1070,16,19,0,0,87,1260,56,12,10,58
278674,3141,157698,22176,934,2455,1,0,8,13184,349822,7,9,0,8,2,Mar-22 21:34:05,0,0,6,1070,16,19,0,0,0,0,56,12,10,58
278674,3141,157450,22176,996,2156,2,0,0,13184,349832,7,9,0,8,2,Mar-22 21:34:06,0,0,6,1070,16,19,0,0,0,0,56,12,10,58
278674,3141,157528,22176,755,1303,2,0,0,13184,349832,7,9,0,8,2,Mar-22 21:34:07,0,0,6,1070,16,19,0,0,0,0,56,12,10,58
278674,3141,157283,22176,1060,2350,0,0,1,13184,349833,7,9,0,9,2,Mar-22 21:34:08,0,0,6,1070,16,19,0,0,15777,5016,56,12,10,58
278674,3141,157346,22176,887,2310,1,0,8,13184,349831,7,9,0,9,2,Mar-22 21:34:09,0,0,6,1070,16,19,0,0,1571,1071,56,12,10,58
278674,3141,156968,22176,825,2623,0,0,8,13184,349832,7,9,0,9,2,Mar-22 21:34:10,0,0,6,1070,16,19,0,0,167,187,56,12,10,58
280258,3141,157939,22176,726,1152,2,0,0,13184,348712,7,9,0,8,2,Mar-22 21:34:11,0,0,6,1070,16,19,0,0,244,0,56,12,10,58
280258,3141,157890,22176,745,1210,1,0,0,13184,348721,7,9,0,8,2,Mar-22 21:34:12,0,0,6,1070,16,19,0,0,524,0,56,12,10,58
280258,3141,157959,22176,757,1282,1,0,0,13184,348722,7,9,0,8,2,Mar-22 21:34:13,0,0,6,1070,16,19,0,0,0,0,56,12,10,58
280258,3141,157967,22176,961,2347,1,0,8,13184,348732,7,9,0,8,2,Mar-22 21:34:14,0,0,6,1070,16,19,0,0,396,446,56,12,10,58
280258,3141,158044,22176,809,2017,3,0,4,13184,348680,7,9,0,7,2,Mar-22 21:34:15,0,0,6,1073,16,22,0,0,0,1278,56,12,10,58
280258,3141,157690,22176,967,2538,1,0,4,13184,348677,7,9,0,7,2,Mar-22 21:34:16,0,0,6,1073,16,22,0,0,0,920,56,12,10,58
280258,3141,157696,22176,692,1180,2,0,0,13184,348677,7,9,0,7,2,Mar-22 21:34:17,0,0,6,1073,16,22,0,0,0,920,56,12,10,58
280258,3141,158137,22176,686,1188,3,0,0,13184,348677,7,9,0,7,2,Mar-22 21:34:18,0,0,6,1073,16,22,0,0,0,920,56,12,10,58
280258,3141,158017,22176,1185,3377,1,0,8,13184,348688,7,9,0,8,2,Mar-22 21:34:19,0,0,6,1073,16,22,0,0,15817,5309,56,12,10,58
280258,3141,157968,22176,841,1446,2,0,1,13184,348684,7,9,0,8,2,Mar-22 21:34:20,0,0,6,1070,16,19,0,0,1404,631,56,12,10,58
280258,3141,157858,22176,1213,2405,1,0,8,13184,348694,7,9,0,8,2,Mar-22 21:34:21,0,0,6,1070,16,19,0,0,0,358,56,12,10,58
280258,3141,157858,22176,758,1227,1,0,0,13184,348694,7,9,0,8,2,Mar-22 21:34:22,0,0,6,1070,16,19,0,0,0,0,56,12,10,58
280258,3141,158239,22176,753,1282,2,0,0,13184,348694,7,9,0,8,2,Mar-22 21:34:23,0,0,6,1070,16,19,0,0,0,0,56,12,10,58
280258,3141,158117,22176,911,2480,0,0,8,13216,348694,7,9,0,7,2,Mar-22 21:34:24,0,0,6,1070,16,19,0,0,87,1260,56,12,10,58
280258,3141,158071,22176,974,2265,1,0,0,13216,348696,7,11,0,7,1,Mar-22 21:34:25,0,0,6,1071,17,19,0,0,1680,4652,56,12,10,58
280258,3141,158081,22176,1103,2881,1,0,8,13216,348714,7,11,0,7,1,Mar-22 21:34:26,0,0,6,1071,17,19,0,0,16138,3294,56,12,10,58
280258,3141,158021,22176,801,1578,1,0,0,13216,348715,7,11,0,7,1,Mar-22 21:34:27,0,0,6,1071,17,19,0,0,0,0,56,12,10,58
280258,3141,154761,22176,923,1886,2,0,0,13216,348760,7,11,0,7,1,Mar-22 21:34:28,0,0,6,1071,17,19,0,0,167,187,56,12,10,58
290026,3141,162385,22176,2091,35513,3,0,8,13216,349830,7,11,0,7,1,Mar-22 21:34:29,0,0,6,1071,17,19,0,0,167,187,56,12,10,58
290026,3141,162013,22176,1011,2363,1,0,0,13216,349832,7,11,0,8,1,Mar-22 21:34:30,0,0,6,1071,17,19,0,0,16305,5734,56,12,10,58
290026,3141,161638,22176,965,2456,1,0,8,13184,349831,7,11,0,8,1,Mar-22 21:34:31,0,0,6,1071,17,19,0,0,876,126,56,12,10,58
290026,3141,161518,22176,735,1311,1,0,0,13184,349829,7,11,0,8,1,Mar-22 21:34:32,0,0,6,1071,17,19,0,0,0,358,56,12,10,58
290026,3141,161150,22176,775,1383,1,0,1,13184,349840,7,11,0,8,1,Mar-22 21:34:33,0,0,6,1071,17,19,0,0,0,0,56,12,10,58
290026,3141,161103,22176,958,2499,1,0,8,13184,349840,7,11,0,7,1,Mar-22 21:34:34,0,0,6,1071,17,19,0,0,396,446,56,12,10,58
290026,3141,160983,22176,729,1182,2,0,0,13184,349839,7,11,0,7,1,Mar-22 21:34:35,0,0,6,1071,17,19,0,0,0,0,56,12,10,58
290026,3141,165088,22176,1008,2545,1,0,8,13184,349860,7,11,0,7,1,Mar-22 21:34:36,0,0,6,1071,17,19,0,0,86,106,56,12,10,58
290026,3141,164486,22176,2238,6926,1,0,0,13184,349860,7,11,0,7,1,Mar-22 21:34:37,0,0,6,1071,17,19,0,0,0,358,56,12,10,58
290026,3141,164639,22176,776,1354,0,0,0,13184,349859,7,11,0,7,1,Mar-22 21:34:38,0,0,6,1071,17,19,0,0,0,0,56,12,10,58
290026,3141,164586,22176,1043,2720,1,0,8,13184,349865,7,13,0,7,1,Mar-22 21:34:39,0,0,6,1075,19,19,0,0,11882,5152,56,12,10,58
290026,3141,164781,22176,815,1365,0,0,0,13184,349871,7,11,0,7,1,Mar-22 21:34:40,0,0,6,1071,17,19,0,0,1301,1357,56,12,10,58
290026,3141,164532,22176,1067,3329,1,0,8,13184,349869,7,11,0,8,1,Mar-22 21:34:41,0,0,6,1071,17,19,0,0,12701,4848,56,12,10,58
290026,3141,164413,22176,719,1269,0,0,0,13184,349870,7,11,0,8,1,Mar-22 21:34:42,0,0,6,1071,17,19,0,0,0,358,56,12,10,58
290026,3141,164362,22176,786,1326,1,0,0,13184,349870,7,11,0,8,1,Mar-22 21:34:43,0,0,6,1071,17,19,0,0,7325,1505,56,12,10,58
290026,3141,210038,22176,1008,2422,3,0,8,13184,349879,7,11,0,8,1,Mar-22 21:34:44,0,0,6,1071,17,19,0,0,0,0,56,12,10,58
290026,3141,209547,22176,1113,2444,2,0,1,13184,349882,7,13,0,8,1,Mar-22 21:34:45,0,0,6,1073,19,19,0,0,15929,5381,56,12,10,58
290026,3141,209432,22176,1022,2648,1,0,8,13184,349881,7,13,0,5,1,Mar-22 21:34:46,0,0,6,1073,19,19,0,0,15958,1464,56,12,10,58
290026,3141,209375,22176,682,1203,2,0,0,13184,349891,7,13,0,5,1,Mar-22 21:34:47,0,0,6,1073,19,19,0,0,56,432,56,12,10,58
290026,3141,209252,22176,809,1508,0,0,0,13184,349892,7,13,0,5,1,Mar-22 21:34:48,0,0,6,1073,19,19,0,0,56,181,56,12,10,58
290026,3141,209088,22176,1019,2583,0,0,8,13184,349892,7,13,0,5,1,Mar-22 21:34:49,0,0,6,1073,19,19,0,0,167,187,56,12,10,58
290026,3141,209539,22176,710,1221,1,0,0,13184,349831,7,13,0,5,1,Mar-22 21:34:50,0,0,6,1073,19,19,0,0,78,106,56,12,10,58
290026,3141,208743,22176,905,2430,0,0,8,13184,349833,7,13,0,5,1,Mar-22 21:34:51,0,0,6,1073,19,19,0,0,424,0,56,12,10,58
