"Dstat 1.1.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dool/vm_page_aio_unix.csv --vm --page --aio --unix 1 600",,,,"Date:","22 Mar 2023 21:32:08 -03"
"virtual memory",,,,"paging",,"async","unix sockets",,,
0,512,1219,1518,0,0,0,56,870,54,816
0,1574,2748,2471,0,0,0,56,870,54,816
0,79,915,1100,0,0,0,56,870,54,816
0,304,1048,892,0,0,0,56,870,54,816
0,15151,34055,21856,0,0,0,56,870,54,816
0,37711,43014,3919,0,0,0,56,870,54,816
0,1414,2503,2356,0,0,0,56,868,54,814
0,1841,1378,1471,0,0,0,56,868,54,814
0,402,614,304,0,0,0,56,868,54,814
0,1387,1451,1765,0,0,0,56,868,54,814
0,495,888,532,0,0,0,56,868,54,814
0,1551,1376,1734,0,0,0,56,868,54,814
0,4709,5947,1049,0,0,0,56,868,54,814
0,492,650,538,0,0,0,56,868,54,814
0,1370,1377,1492,0,0,0,56,868,54,814
0,164,2493,2709,0,0,0,56,868,54,814
0,1571,1515,1653,0,0,0,56,868,54,814
0,25,638,509,0,0,0,56,868,54,814
0,116,417,429,0,0,0,56,868,54,814
0,1584,1885,1835,0,0,0,56,870,54,816
0,283,316,799,0,0,0,56,868,54,814
0,1290,1795,1659,0,0,0,56,868,54,814
0,1281,1456,750,0,0,0,56,868,54,814
0,8,81,204,0,0,0,56,868,54,814
0,1600,1606,1442,0,0,0,56,868,54,814
0,476,274,524,0,0,0,56,868,54,814
0,1364,1630,1783,0,0,0,56,868,54,814
0,193,451,116,0,0,0,56,868,54,814
0,281,90,98,0,0,0,56,868,54,814
0,1488,1628,2133,0,0,0,56,868,54,814
0,113,516,124,0,0,0,56,868,54,814
0,1275,1630,1625,0,0,0,56,868,54,814
0,278,91,211,0,0,0,56,868,54,814
0,39,259,2001,0,0,0,56,868,54,814
0,1389,1571,1941,0,0,0,56,868,54,814
0,690,1092,1872,0,0,0,56,868,54,814
0,1810,2457,3058,0,0,0,56,868,54,814
0,460,517,380,0,0,0,56,868,54,814
0,85,86,102,0,0,0,56,868,54,814
0,1324,1529,1491,0,0,0,56,868,54,814
0,319,235,352,0,0,0,56,868,54,814
0,1284,1645,1663,0,0,0,56,868,54,814
0,217,394,2541,0,0,0,56,868,54,814
0,137,268,232,0,0,0,56,868,54,814
0,1576,1367,1527,0,0,0,56,868,54,814
0,14,274,138,0,0,0,56,868,54,814
0,1357,1631,1779,0,0,0,56,868,54,814
0,14,97,151,0,0,0,56,868,54,814
0,303,268,129,0,0,0,56,868,54,814
0,1599,1512,1651,0,0,0,56,868,54,814
0,47742,69808,39964,0,0,0,56,868,54,814
0,1316,3669,3673,0,0,0,56,868,54,814
0,285,397,506,0,0,0,56,868,54,814
0,19,98,104,0,0,0,56,868,54,814
0,1405,1539,1652,0,0,0,56,868,54,814
0,8,370,236,0,0,0,56,868,54,814
0,1571,1659,1860,0,0,0,56,868,54,814
0,1099,1624,35212,0,0,0,56,868,54,814
0,90,97,237,0,0,0,56,868,54,814
0,1303,1544,1727,0,0,0,56,868,54,814
0,316,407,113,0,0,0,56,868,54,814
0,1318,1419,1756,0,0,0,56,868,54,814
0,782,976,596,0,0,0,56,868,54,814
0,349,428,682,0,0,0,56,868,54,814
0,1789,2031,1995,0,0,0,56,868,54,814
0,291,661,503,0,0,0,56,868,54,814
0,1325,1581,1447,0,0,0,56,868,54,814
0,1613,1376,1345,0,0,0,56,868,54,814
0,283,102,474,0,0,0,56,868,54,814
0,1165,1690,1103,0,0,0,56,868,54,814
0,170,486,709,0,0,0,56,868,54,814
0,1349,1370,24653,0,0,0,56,868,54,814
0,447,1093,2021,0,0,0,56,868,54,814
0,17,120,930,0,0,0,56,868,54,814
0,469,559,447,0,0,0,56,868,54,814
0,1392,1877,1718,0,0,0,56,868,54,814
0,1564,1357,1356,0,0,0,56,868,54,814
0,55,154,2735,0,0,0,56,868,54,814
0,259,489,568,0,0,0,56,868,54,814
0,87,373,105,0,0,0,56,868,54,814
0,1720,1799,1762,0,0,0,56,868,54,814
0,1286,1744,1620,0,0,0,56,868,54,814
0,13,452,460,0,0,0,56,868,54,814
0,74,86,470,0,0,0,56,868,54,814
0,309,521,108,0,0,0,56,868,54,814
0,1349,1730,1756,0,0,0,56,868,54,814
0,1080,782,717,0,0,0,56,868,54,814
0,1290,1630,1532,0,0,0,56,868,54,814
0,278,84,337,0,0,0,56,868,54,814
0,11,352,222,0,0,0,56,868,54,814
0,1330,1798,1663,0,0,0,56,868,54,814
0,73,183,308,0,0,0,56,868,54,814
0,2445,2444,1709,0,0,0,56,868,54,814
0,9,507,644,0,0,0,56,868,54,814
0,4450,5635,946,0,0,0,56,868,54,814
0,52966,75065,91430,0,0,0,56,868,54,814
0,313,322,247,0,0,0,56,868,54,814
0,1284,1700,1860,0,0,0,56,868,54,814
0,482,532,525,0,0,0,56,868,54,814
0,292,462,471,0,0,0,56,868,54,814
0,1589,1390,1482,0,0,0,56,868,54,814
0,5,90,342,0,0,0,56,868,54,814
0,1461,2075,5378,0,0,0,56,868,54,814
0,96,2384,2496,0,0,0,56,868,54,814
0,282,217,84,0,0,0,56,868,54,814
0,1296,1393,1384,0,0,0,56,870,54,816
0,488,531,1059,0,0,0,56,868,54,814
0,1347,1848,1463,0,0,0,56,868,54,814
0,276,546,541,0,0,0,56,868,54,814
0,30,117,256,0,0,0,56,868,54,814
0,1430,1759,65320,0,0,0,56,868,54,814
0,549,317,576,0,0,0,56,868,54,814
0,1580,1644,1497,0,0,0,56,868,54,814
0,119,617,462,0,0,0,56,868,54,814
0,248,349,234,0,0,0,56,868,54,814
0,1389,1678,1742,0,0,0,56,868,54,814
0,523,338,496,0,0,0,56,868,54,814
0,1408,1937,1780,0,0,0,56,868,54,814
0,18,86,101,0,0,0,56,868,54,814
0,72,154,421,0,0,0,56,868,54,814
0,1738,1745,1707,0,0,0,56,868,54,814
0,32,381,223,0,0,0,56,868,54,814
0,1285,1717,29349,0,0,0,56,868,54,814
0,389,404,259,0,0,0,56,868,54,814
0,306,500,595,0,0,0,56,868,54,814
0,1423,1726,1862,0,0,0,56,868,54,814
0,46,543,381,0,0,0,56,868,54,814
0,4644,4719,4227,0,0,0,56,868,54,814
0,276,89,84,0,0,0,56,868,54,814
0,7,231,91,0,0,0,56,868,54,814
0,1330,1487,1895,0,0,0,56,868,54,814
0,72,360,97,0,0,0,56,868,54,814
0,1554,1788,1688,0,0,0,56,868,54,814
0,510,638,590,0,0,0,56,868,54,814
0,216,705,808,0,0,0,56,868,54,814
0,1822,2517,2649,0,0,0,56,868,54,814
0,318,645,693,0,0,0,56,868,54,814
0,1285,1628,1629,0,0,0,56,868,54,814
0,19,224,118,0,0,0,56,868,54,814
0,111,156,244,0,0,0,56,868,54,814
0,53396,74759,21974,0,0,0,56,868,54,814
0,221,792,241,0,0,0,56,868,54,814
0,1296,1669,4363,0,0,0,56,868,54,814
0,74,106,102,0,0,0,56,868,54,814
0,280,508,367,0,0,0,56,868,54,814
0,1325,3702,3795,0,0,0,56,868,54,814
0,21,220,108,0,0,0,56,868,54,814
0,6385,7009,5128,0,0,0,56,868,54,814
0,496,344,1560,0,0,0,56,868,54,814
0,6,219,101,0,0,0,56,868,54,814
0,1313,1843,1951,0,0,0,56,868,54,814
0,95,119,288,0,0,0,56,868,54,814
0,1544,1772,1638,0,0,0,56,868,54,814
0,5,147,148,0,0,0,56,868,54,814
0,19,243,45223,0,0,0,56,868,54,814
0,1687,1967,2294,0,0,0,56,868,54,814
0,288,372,221,0,0,0,56,870,54,816
0,1300,1669,1771,0,0,0,56,868,54,814
0,20,224,118,0,0,0,56,868,54,814
0,71,105,99,0,0,0,56,868,54,814
0,1890,1827,1928,0,0,0,56,868,54,814
0,9,819,673,0,0,0,56,868,54,814
0,2461,2738,2241,0,0,0,56,868,54,814
0,230,269,365,0,0,0,56,868,54,814
0,316,547,161,0,0,0,56,868,54,814
0,1299,1714,1832,0,0,0,56,868,54,814
0,23,108,117,0,0,0,56,868,54,814
0,1496,1664,1476,0,0,0,56,868,54,814
0,793,750,931,0,0,0,56,868,54,814
0,567,1061,10686,0,0,0,56,868,54,814
0,1454,1531,1880,0,0,0,56,868,54,814
0,76,502,501,0,0,0,56,868,54,814
0,2027,1750,2125,0,0,0,56,868,54,814
0,6,355,95,0,0,0,56,868,54,814
0,20,252,115,0,0,0,56,868,54,814
0,1388,1478,1844,0,0,0,56,868,54,814
0,157,989,877,0,0,0,56,868,54,814
0,1555,1846,1711,0,0,0,56,868,54,814
0,299,391,428,0,0,0,56,868,54,814
0,74,220,83,0,0,0,56,868,54,814
0,1293,1384,1626,0,0,0,56,868,54,814
0,304,380,221,0,0,0,56,868,54,814
0,17342,22613,11235,0,0,0,56,884,54,830
0,556,2572,2893,0,0,0,56,884,54,830
0,499,347,499,0,0,0,56,884,54,830
0,51434,73616,26638,0,0,0,56,884,54,830
0,1117,2971,278,0,0,0,56,884,54,830
0,2933,3010,3153,0,0,0,56,884,54,830
0,5,231,118,0,0,0,56,884,54,830
0,201,413,673,0,0,0,56,884,54,830
0,1507,1569,1689,0,0,0,56,884,54,830
0,73,504,115,0,0,0,56,884,54,830
0,1802,2194,2229,0,0,0,56,884,54,830
0,621,569,20534,0,0,0,56,884,54,830
0,18,492,429,0,0,0,56,884,54,830
0,698,974,891,0,0,0,56,884,54,830
0,1030,950,1342,0,0,0,56,884,54,830
0,27150,27797,17755,0,0,0,56,884,54,830
0,30317,33869,29650,0,0,0,56,884,54,830
0,7560,9537,7542,0,0,0,56,884,54,830
0,119,669,3252,0,0,0,56,884,54,830
0,17316,19067,22740,0,0,0,56,884,54,830
0,96,237,232,0,0,0,56,884,54,830
0,1348,1513,1610,0,0,0,56,884,54,830
0,5,379,232,0,0,0,56,884,54,830
0,109,534,665,0,0,0,56,884,54,830
0,1308,1391,1402,0,0,0,56,884,54,830
0,90,629,747,0,0,0,56,884,54,830
0,2252,2640,29699,0,0,0,56,884,54,830
0,688,558,333,0,0,0,56,884,54,830
0,16,357,509,0,0,0,56,884,54,830
0,1495,1706,1582,0,0,0,56,884,54,830
0,455,812,10601,0,0,0,56,884,54,830
0,2075,2044,3512,0,0,0,56,884,54,830
0,20,498,2016,0,0,0,56,884,54,830
0,409,912,552,0,0,0,56,884,54,830
0,1436,1450,4597,0,0,0,56,878,54,824
0,295,1119,6690,0,0,0,56,868,54,814
0,1459,1557,1792,0,0,0,56,868,54,814
0,73,395,961,0,0,0,56,868,54,814
0,115,615,411,0,0,0,56,868,54,814
0,1995,1676,1838,0,0,0,56,868,54,814
0,335,832,679,0,0,0,56,868,54,814
0,1842,1912,2006,0,0,0,56,870,54,816
0,42,269,103,0,0,0,56,868,54,814
0,345,296,881,0,0,0,56,868,54,814
0,1317,1686,1437,0,0,0,56,868,54,814
0,479,1166,775,0,0,0,56,868,54,814
0,1283,1390,2050,0,0,0,56,868,54,814
0,207,118,156,0,0,0,56,868,54,814
0,349,578,805,0,0,0,56,868,54,814
0,52512,74698,22406,0,0,0,56,868,54,814
0,862,1492,949,0,0,0,56,868,54,814
0,1757,1644,1508,0,0,0,56,868,54,814
0,17,87,234,0,0,0,56,868,54,814
0,94,131,355,0,0,0,56,868,54,814
0,1304,1781,1395,0,0,0,56,868,54,814
0,4795,5902,2176,0,0,0,56,868,54,814
0,1605,1844,2074,0,0,0,56,868,54,814
0,171,191,84,0,0,0,56,868,54,814
0,2,113,12375,0,0,0,56,868,54,814
0,1504,1816,3671,0,0,0,56,868,54,814
0,33,467,494,0,0,0,56,868,54,814
0,1346,1375,1496,0,0,0,56,868,54,814
0,28,258,465,0,0,0,56,868,54,814
0,575,241,498,0,0,0,56,868,54,814
0,1700,2120,1623,0,0,0,56,868,54,814
0,1644,1962,39166,0,0,0,56,868,54,814
0,1275,3918,3892,0,0,0,56,868,54,814
0,258,87,227,0,0,0,56,868,54,814
0,23,434,576,0,0,0,56,868,54,814
0,1363,1652,1503,0,0,0,56,868,54,814
0,8,382,916,0,0,0,56,870,54,816
0,2974,3081,2097,0,0,0,56,868,54,814
0,19,80,240,0,0,0,56,868,54,814
0,72,123,375,0,0,0,56,868,54,814
0,1340,1802,1397,0,0,0,56,868,54,814
0,263,347,469,0,0,0,56,868,54,814
0,1746,1520,1613,0,0,0,56,868,54,814
0,374,532,245,0,0,0,56,868,54,814
0,41,199,3478,0,0,0,56,868,54,814
0,1736,1827,1418,0,0,0,56,868,54,814
0,104,754,571,0,0,0,56,868,54,814
0,1345,1424,1609,0,0,0,56,868,54,814
0,3,102,98,0,0,0,56,868,54,814
0,283,258,355,0,0,0,56,868,54,814
0,1317,1631,1517,0,0,0,56,868,54,814
0,423,805,1011,0,0,0,56,868,54,814
0,1748,2168,1662,0,0,0,56,868,54,814
0,258,722,1123,0,0,0,56,868,54,814
0,483,230,504,0,0,0,56,868,54,814
0,1393,1807,1396,0,0,0,56,868,54,814
0,10,361,493,0,0,0,56,868,54,814
0,1747,1787,1546,0,0,0,56,868,54,814
0,301,733,1282,0,0,0,56,868,54,814
0,420,448,411,0,0,0,56,868,54,814
0,54068,75837,23168,0,0,0,56,868,54,814
0,302,527,630,0,0,0,56,868,54,814
0,1289,1640,1405,0,0,0,56,868,54,814
0,74,362,486,0,0,0,56,868,54,814
0,28,2205,2053,0,0,0,56,868,54,814
0,1675,1516,1378,0,0,0,56,868,54,814
0,511,297,1096,0,0,0,56,868,54,814
0,1670,2288,1575,0,0,0,56,868,54,814
0,60,468,407,0,0,0,56,868,54,814
0,292,159,283,0,0,0,56,868,54,814
0,1314,1514,1457,0,0,0,56,870,54,816
0,72,867,1112,0,0,0,56,870,54,816
0,1399,2547,2304,0,0,0,56,870,54,816
0,286,1334,1206,0,0,0,56,870,54,816
0,18,869,1015,0,0,0,56,870,54,816
0,1505,2340,2271,0,0,0,56,870,54,816
0,30,1040,1204,0,0,0,56,870,54,816
0,1530,2436,2368,0,0,0,56,870,54,816
0,333,1337,1329,0,0,0,56,870,54,816
0,287,1339,1291,0,0,0,56,870,54,816
0,1301,2704,2810,0,0,0,56,870,54,816
0,263,888,1139,0,0,0,56,870,54,816
0,1663,2984,2432,0,0,0,56,870,54,816
0,73,1132,1258,0,0,0,56,870,54,816
0,2,926,928,0,0,0,56,870,54,816
0,1426,2234,1868,0,0,0,56,870,54,816
0,167,964,1576,0,0,0,56,870,54,816
0,2436,3739,5435,0,0,0,56,870,54,816
0,39,1523,1507,0,0,0,56,870,54,816
0,276,882,1005,0,0,0,56,870,54,816
0,103,1233,1423,0,0,0,56,868,54,814
0,3393,2867,2866,0,0,0,56,868,54,814
0,1119,1107,1044,0,0,0,56,868,54,814
0,420,486,804,0,0,0,56,868,54,814
0,246,647,230,0,0,0,56,868,54,814
0,75,348,469,0,0,0,56,868,54,814
0,1307,2033,1901,0,0,0,56,868,54,814
0,516,370,119,0,0,0,56,868,54,814
0,1302,1378,1784,0,0,0,56,868,54,814
0,75,557,172,0,0,0,56,868,54,814
0,40,377,362,0,0,0,56,868,54,814
0,1563,1382,1611,0,0,0,56,868,54,814
0,19,290,212,0,0,0,56,868,54,814
0,1762,1578,1808,0,0,0,56,870,54,816
0,90,545,405,0,0,0,56,868,54,814
0,52231,74135,25960,0,0,0,56,868,54,814
0,1308,1366,1370,0,0,0,56,868,54,814
0,4,86,229,0,0,0,56,868,54,814
0,1454,1888,1768,0,0,0,56,868,54,814
0,290,532,629,0,0,0,56,868,54,814
0,237,701,581,0,0,0,56,868,54,814
0,5518,8575,6897,0,0,0,56,868,54,814
0,657,1113,3266,0,0,0,56,868,54,814
0,1574,1643,1732,0,0,0,56,868,54,814
0,20,115,263,0,0,0,56,868,54,814
0,637,594,523,0,0,0,56,868,54,814
0,1366,1614,1523,0,0,0,56,868,54,814
0,259,354,364,0,0,0,56,868,54,814
0,1317,1529,1445,0,0,0,56,868,54,814
0,3,94,213,0,0,0,56,868,54,814
0,369,449,615,0,0,0,56,868,54,814
1,96144,106110,100712,0,0,0,56,874,54,820
5,50009,65144,64337,0,0,0,56,874,54,820
0,1974,1478,1704,0,0,0,56,874,54,820
0,128,76,197,0,0,0,56,874,54,820
0,4385,3469,3458,0,0,0,56,874,54,820
0,1321,1633,1525,0,0,0,56,874,54,820
0,573,489,437,0,0,0,56,874,54,820
0,1349,1349,1311,0,0,0,56,874,54,820
0,3339,4118,2374,0,0,0,56,874,54,820
0,7060,5102,5120,0,0,0,56,874,54,820
0,1906,1702,3263,0,0,0,56,874,54,820
0,2536,2659,2638,0,0,0,56,874,54,820
0,1621,1590,1660,0,0,0,56,874,54,820
0,30,328,71820,0,0,0,56,874,54,820
0,206,372,301,0,0,0,56,874,54,820
0,1628,1688,1520,0,0,0,56,874,54,820
0,81,320,331,0,0,0,56,874,54,820
0,1487,1334,29764,0,0,0,56,874,54,820
0,42,238,79,0,0,0,56,874,54,820
0,529,562,455,0,0,0,56,874,54,820
0,1329,1402,1643,0,0,0,56,874,54,820
0,312,131,124,0,0,0,56,874,54,820
0,2413,2986,2034,0,0,0,56,874,54,820
0,85,59,69,0,0,0,56,874,54,820
0,25,69,59,0,0,0,56,874,54,820
0,1581,1483,1374,0,0,0,56,874,54,820
0,45,195,324,0,0,0,56,874,54,820
0,1373,1458,1505,0,0,0,56,874,54,820
0,30,151,147,0,0,0,56,874,54,820
0,51799,73554,53459,0,0,0,56,874,54,820
0,2867,2715,2798,0,0,0,56,874,54,820
0,660,230,3749,0,0,0,56,868,54,814
0,1286,1965,1703,0,0,0,56,868,54,814
0,318,2339,2579,0,0,0,56,868,54,814
0,12,49,46,0,0,0,56,868,54,814
0,1491,1615,4226,0,0,0,56,868,54,814
0,965,1235,429,0,0,0,56,868,54,814
0,1682,1605,1480,0,0,0,56,868,54,814
0,18,124,122,0,0,0,56,868,54,814
0,117,137,406,0,0,0,56,868,54,814
0,1312,1334,1335,0,0,0,56,868,54,814
0,279,204,97,0,0,0,56,868,54,814
0,1445,1506,1407,0,0,0,56,868,54,814
0,1758,2117,1834,0,0,0,56,868,54,814
0,129,260,208,0,0,0,56,868,54,814
0,1946,1736,1659,0,0,0,56,868,54,814
0,181,248,259,0,0,0,56,868,54,814
0,1562,1586,2300,0,0,0,56,868,54,814
0,15,144,143,0,0,0,56,868,54,814
0,277,55,79,0,0,0,56,868,54,814
0,1524,1629,2403,0,0,0,56,868,54,814
0,3431,3119,3024,0,0,0,56,868,54,814
0,1455,1508,1338,0,0,0,56,868,54,814
0,583,465,758,0,0,0,56,868,54,814
0,162,262,217,0,0,0,56,868,54,814
0,2931,2800,2827,0,0,0,56,868,54,814
0,2791,2356,2353,0,0,0,56,868,54,814
0,2014,1705,3770,0,0,0,56,868,54,814
0,536,576,566,0,0,0,56,868,54,814
0,231,1090,1053,0,0,0,56,868,54,814
0,1320,1457,1504,0,0,0,56,868,54,814
0,286,172,256,0,0,0,56,868,54,814
0,1279,1440,1426,0,0,0,56,868,54,814
0,102,256,239,0,0,0,56,868,54,814
0,262,339,243,0,0,0,56,868,54,814
0,9272,8317,6147,0,0,0,56,876,54,822
0,78451,81583,2390,0,0,0,56,878,54,824
0,2587,21625,20000,0,0,0,56,878,54,824
0,450,2883,4714,0,0,0,56,878,54,824
0,309,408,25767,0,0,0,56,880,54,826
0,1344,1773,1646,0,0,0,56,878,54,824
0,882,1283,578,0,0,0,56,878,54,824
0,4112,5300,6098,0,0,0,56,878,54,824
0,1329,1250,1645,0,0,0,56,878,54,824
0,46601,66784,21284,0,0,0,56,878,54,824
0,4527,7907,2560,0,0,0,56,878,54,824
0,697,831,1037,0,0,0,56,878,54,824
0,1550,1488,1369,0,0,0,56,878,54,824
0,194,617,995,0,0,0,56,878,54,824
0,85,332,1392,0,0,0,56,878,54,824
0,519,381,43562,0,0,0,56,878,54,824
0,1602,1452,1452,0,0,0,56,878,54,824
0,1025,1153,6196,0,0,0,56,878,54,824
0,754,1013,1203,0,0,0,56,878,54,824
0,17,188,86,0,0,0,56,878,54,824
0,296,102,900,0,0,0,56,878,54,824
0,1389,1397,1371,0,0,0,56,878,54,824
0,109,228,198,0,0,0,56,878,54,824
0,1291,1366,1446,0,0,0,56,878,54,824
0,427,667,17483,0,0,0,56,878,54,824
0,1528,2064,1934,0,0,0,56,878,54,824
0,1379,1507,1761,0,0,0,56,878,54,824
0,707,477,733,0,0,0,56,878,54,824
0,1577,1413,1432,0,0,0,56,878,54,824
0,21,193,168,0,0,0,56,878,54,824
0,92,181,164,0,0,0,56,878,54,824
0,1329,1401,7163,0,0,0,56,880,54,826
0,447,472,27492,0,0,0,56,878,54,824
0,1286,1971,1891,0,0,0,56,878,54,824
0,298,1057,1223,0,0,0,56,878,54,824
0,14,114,124,0,0,0,56,878,54,824
0,1572,1401,1420,0,0,0,56,878,54,824
0,51,79,94,0,0,0,56,878,54,824
0,1392,1419,3158,0,0,0,56,878,54,824
0,456,1175,581,0,0,0,56,878,54,824
0,308,191,385,0,0,0,56,878,54,824
0,2810,7554,44557,0,0,0,56,868,54,814
0,182,141,28557,0,0,0,56,868,54,814
0,1374,1518,1518,0,0,0,56,868,54,814
0,449,284,461,0,0,0,56,868,54,814
0,792,872,882,0,0,0,56,868,54,814
0,18341,19016,6327,0,0,0,56,878,54,824
0,67411,70825,2222,0,0,0,56,878,54,824
0,1744,4004,19225,0,0,0,56,878,54,824
0,43,525,13130,0,0,0,56,878,54,824
0,109,19791,6181,0,0,0,56,878,54,824
0,1388,1778,15520,0,0,0,56,878,54,824
0,732,733,1669,0,0,0,56,878,54,824
0,1286,1438,1456,0,0,0,56,878,54,824
0,75,112,2465,0,0,0,56,878,54,824
0,51917,74062,21605,0,0,0,56,878,54,824
0,1566,1328,1397,0,0,0,56,878,54,824
0,455,81,191,0,0,0,56,878,54,824
0,1497,1519,1480,0,0,0,56,878,54,824
0,61,148,109,0,0,0,56,878,54,824
0,5042,5708,1051,0,0,0,56,878,54,824
0,1418,3831,4273,0,0,0,56,878,54,824
0,487,710,18324,0,0,0,56,878,54,824
0,1366,1617,1621,0,0,0,56,878,54,824
0,788,279,411,0,0,0,56,878,54,824
0,68,242,311,0,0,0,56,878,54,824
0,1398,1580,1663,0,0,0,56,878,54,824
0,32,74,234,0,0,0,56,878,54,824
0,1568,1340,1349,0,0,0,56,878,54,824
0,47,404,5796,0,0,0,56,878,54,824
0,313,270,244,0,0,0,56,878,54,824
0,1342,1467,1440,0,0,0,56,878,54,824
0,316,57,77,0,0,0,56,878,54,824
0,1295,1357,1355,0,0,0,56,878,54,824
0,116,222,174,0,0,0,56,878,54,824
0,27,492,214,0,0,0,56,878,54,824
0,3228,3267,4224,0,0,0,56,878,54,824
0,239,2817,1085,0,0,0,56,878,54,824
0,1850,6753,37829,0,0,0,56,868,54,814
0,169,3186,14556,0,0,0,56,868,54,814
0,13660,19860,12235,0,0,0,56,884,54,830
0,1310,1492,31329,0,0,0,56,884,54,830
0,168,437,392,0,0,0,56,884,54,830
0,1923,4150,5989,0,0,0,56,884,54,830
0,346,575,536,0,0,0,56,884,54,830
0,1818,2334,2095,0,0,0,56,884,54,830
0,1533,1571,1661,0,0,0,56,884,54,830
0,13,1229,1098,0,0,0,56,884,54,830
0,2006,1634,1912,0,0,0,56,884,54,830
0,49,107,99,0,0,0,56,884,54,830
0,555,1083,1542,0,0,0,56,884,54,830
0,1641,1377,1501,0,0,0,56,884,54,830
0,381,390,376,0,0,0,56,884,54,830
0,1292,1451,1715,0,0,0,56,884,54,830
0,90,357,229,0,0,0,56,884,54,830
0,266,671,18588,0,0,0,56,868,54,814
0,1502,1369,3932,0,0,0,56,868,54,814
0,27,125,248,0,0,0,56,868,54,814
0,1441,1571,1671,0,0,0,56,868,54,814
0,12,367,102,0,0,0,56,868,54,814
0,50397,72832,61505,0,0,0,56,868,54,814
0,1813,1673,1499,0,0,0,56,868,54,814
0,84,90,212,0,0,0,56,868,54,814
0,1673,2058,2063,0,0,0,56,868,54,814
0,234,764,459,0,0,0,56,868,54,814
0,356,692,5357,0,0,0,56,868,54,814
0,1380,1391,1408,0,0,0,56,868,54,814
0,203,438,134,0,0,0,56,868,54,814
0,1305,3668,4086,0,0,0,56,868,54,814
0,208,743,348,0,0,0,56,868,54,814
0,152,219,1044,0,0,0,56,868,54,814
0,2338,2871,11623,0,0,0,56,868,54,814
0,25,493,155,0,0,0,56,868,54,814
0,1951,1826,2181,0,0,0,56,868,54,814
0,77,155,532,0,0,0,56,868,54,814
0,444,709,467,0,0,0,56,868,54,814
0,1314,1410,1794,0,0,0,56,868,54,814
0,282,362,264,0,0,0,56,868,54,814
0,1564,2009,1882,0,0,0,56,868,54,814
0,32,110,206,0,0,0,56,868,54,814
0,13,97,94,0,0,0,56,868,54,814
0,1570,1511,1645,0,0,0,56,870,54,816
0,246,559,251,0,0,0,56,870,54,816
0,1276,1653,1642,0,0,0,56,868,54,814
0,15,227,96,0,0,0,56,868,54,814
0,639,314,432,0,0,0,56,868,54,814
