"Dstat 1.1.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dool/mem_socket_vm_tcp_net_load_raw_fs_io_swap.csv --mem --socket --vm --tcp --net --load --raw --fs --io --swap 1 600",,,,"Date:","23 Mar 2023 13:42:08 -03"
"memory usage",,,,"sockets",,,,,"virtual memory",,,,"tcp sockets",,,,,"net/total",,"load avg",,,"raw","filesystem",,"io/total",,"swap",
5236523008,2793783296,7944581120,11180290048,1204,26,33,0,0,0,1780,3321,3783,7,22,0,7,3,6294,7958,1.110,1.210,1.250,0,14080,181311,0,0,108527616,914878464
5241413632,2790359040,7943098368,11174768640,1204,26,33,0,0,0,1562,4563,4982,7,22,0,7,3,6314,7646,1.110,1.210,1.250,0,14080,181283,0,1090,108527616,914878464
5241372672,2790674432,7942823936,11174875136,1204,26,33,0,0,0,1581,2131,2491,7,22,0,6,3,6184,7925,1.110,1.210,1.250,0,14080,181283,0,0,108527616,914878464
5231398912,2801172480,7942299648,11173576704,1204,26,33,0,0,0,257,816,3809,7,22,0,6,3,6294,8061,1.110,1.210,1.250,0,14048,181282,0,0,108527616,914878464
5237612544,2794958848,7942299648,11167375360,1204,26,33,0,0,0,1335,2964,2325,7,22,0,6,3,9171,14711,1.020,1.190,1.240,0,14048,181283,0,22,108527616,914878464
5229555712,2801537024,7943778304,11169431552,1203,26,33,0,0,0,2803,4005,4245,7,22,0,7,3,7787,11832,1.020,1.190,1.240,0,14080,181307,0,0,108527616,914878464
5228994560,2800824320,7945052160,11169931264,1203,26,33,0,0,0,2255,3247,3139,7,22,0,7,3,22416,10193,1.020,1.190,1.240,0,14112,181310,0,226,108527616,914878464
5361295360,2662486016,7951089664,11032829952,1203,26,33,0,0,0,43194,66091,26768,7,22,0,7,3,6184,7509,1.020,1.190,1.240,0,14048,182381,0,0,108527616,914878464
5363769344,2661031936,7950069760,11031191552,1203,26,33,0,0,0,528,940,1504,7,22,0,7,3,6294,8458,1.020,1.190,1.240,0,14048,182380,0,0,108527616,914878464
5365985280,2660466688,7948423168,11027177472,1203,26,33,0,0,0,758,1703,2224,7,22,0,7,3,6783,8313,0.940,1.170,1.230,0,14048,182353,0,48,108527616,914878464
5366493184,2660245504,7948136448,11025416192,1203,26,33,0,0,0,243,722,1243,7,22,0,7,3,6314,7646,0.940,1.170,1.230,0,14016,182352,0,0,108527616,914878464
5369774080,2657484800,7947616256,11022663680,1203,26,33,0,0,1,1928,3176,3296,7,22,0,7,3,6732,8442,0.940,1.170,1.230,0,14048,182351,0,64,108527616,914878464
5370527744,2655059968,7949287424,11031392256,1203,26,33,0,0,0,2587,3680,3398,7,22,0,6,3,6848,8614,0.940,1.170,1.230,0,14080,182376,0,0,108527616,914878464
5371019264,2653151232,7950704640,11030835200,1203,26,33,0,0,0,223,1052,742,7,22,0,6,3,6351,8263,0.940,1.170,1.230,0,14080,182381,0,0,108527616,914878464
5371404288,2653319168,7950151680,11031072768,1203,26,33,0,0,0,289,969,1117,7,22,0,6,3,35853,14061,0.870,1.150,1.230,0,14048,182381,0,82,108527616,914878464
5380829184,2643468288,7950577664,11022159872,1203,26,33,0,0,0,6375,8107,4879,7,22,0,6,3,8239,7868,0.870,1.150,1.230,0,14080,182391,0,28,108527616,914878464
5381267456,2642735104,7950872576,11021164544,1203,26,33,0,0,0,1490,2992,2659,7,22,0,7,3,21188,13259,0.870,1.150,1.230,0,14016,182396,0,214,108527616,914878464
5361729536,2664394752,7948750848,11023142912,1203,26,33,0,0,0,3111,4001,9235,7,22,0,7,3,9883,9486,0.870,1.150,1.230,0,14048,182365,0,0,108527616,914878464
5363425280,2663682048,7947767808,11022065664,1203,26,33,0,0,0,1268,2368,2717,7,22,0,7,3,11299,10619,0.870,1.150,1.230,0,14016,182364,0,36,108527616,914878464
5361111040,2664615936,7949148160,11067613184,1203,26,33,0,0,0,1619,3131,2367,7,22,0,7,3,8272,10183,1.040,1.180,1.240,0,14048,182387,0,0,108527616,914878464
5362434048,2661474304,7950966784,11065606144,1203,26,33,0,0,0,475,1293,835,7,22,0,7,3,6184,8107,1.040,1.180,1.240,0,14016,182393,0,0,108527616,914878464
5364355072,2659553280,7950966784,11063709696,1203,26,33,0,0,0,372,1423,1255,7,22,0,7,3,6739,8329,1.040,1.180,1.240,0,14016,182393,0,468,108527616,914878464
5371490304,2652450816,7950934016,11078144000,1203,26,33,0,0,0,4170,5902,5059,7,22,0,7,3,6235,7777,1.040,1.180,1.240,0,14048,182402,0,0,108527616,914878464
5372256256,2654154752,7948464128,11101163520,1203,26,33,0,0,0,482,977,1559,7,22,0,6,3,6351,8309,1.040,1.180,1.240,0,14048,182376,0,38,108527616,914878464
5372747776,2653384704,7948750848,11100319744,1203,26,33,0,0,0,341,830,723,7,22,0,6,3,6424,7840,0.950,1.160,1.230,0,14048,182376,0,0,108527616,914878464
5372907520,2652233728,7949742080,11099164672,1203,26,33,0,0,0,234,983,694,7,22,0,6,3,6444,7752,0.950,1.160,1.230,0,14048,182377,0,0,108527616,914878464
5332480000,2692894720,7949508608,11158269952,1203,26,33,0,0,0,1138,2864,12943,7,22,0,6,3,6987,8128,0.950,1.160,1.230,0,14080,182399,0,64,108527616,914878464
5332025344,2691788800,7951069184,11159695360,1203,26,33,0,0,0,2974,4757,4336,7,22,0,7,3,23492,14725,0.950,1.160,1.230,0,14080,182403,0,0,108527616,914878464
5332992000,2690842624,7951048704,11158749184,1203,26,33,0,0,0,552,1140,1330,7,22,0,7,3,7628,8570,0.950,1.160,1.230,0,14080,182403,0,44,108527616,914878464
5333463040,2690109440,7951310848,11158016000,1203,26,33,0,0,0,370,843,1033,7,22,0,7,3,7240,8858,0.880,1.140,1.220,0,14048,182403,0,0,108527616,914878464
5353615360,2672660480,7948607488,11137683456,1203,26,33,0,0,0,5696,7284,2652,7,22,0,7,3,6380,7840,0.880,1.140,1.220,0,14048,182384,0,0,108527616,914878464
5356400640,2669772800,7948709888,11134881792,1203,26,33,0,0,0,222,1729,1705,7,22,0,7,3,6437,7951,0.880,1.140,1.220,0,14048,182386,0,82,108527616,914878464
5356396544,2668851200,7949635584,11133730816,1204,26,33,0,0,0,3700,4333,4242,7,22,0,7,3,12460,15920,0.880,1.140,1.220,0,14016,182390,0,0,108527616,914878464
5307064320,2718433280,7949385728,11129143296,1204,26,33,0,0,0,4548,5918,15214,7,22,0,7,3,9842,10624,0.880,1.140,1.220,0,14016,182412,0,0,108527616,914878464
5306327040,2717323264,7951237120,11130224640,1204,26,33,0,0,0,860,2075,1087,7,22,0,7,3,6666,8370,0.810,1.120,1.220,0,14048,182416,0,112,108527616,914878464
5299363840,2729672704,7945850880,11132153856,1204,26,33,0,0,0,586,954,5981,7,22,0,6,3,8813,10413,0.810,1.120,1.220,0,14048,181305,0,0,108527616,914878464
5300760576,2728005632,7946121216,11130494976,1204,26,33,0,0,0,1057,2225,1936,7,22,0,6,3,6866,8128,0.810,1.120,1.220,0,14048,181306,0,48,108527616,914878464
5317156864,2713456640,7944273920,11112685568,1204,26,33,0,0,0,8797,10852,8524,7,22,0,6,3,6710,8219,0.810,1.120,1.220,0,14016,181288,0,38,108527616,914878464
5317783552,2713354240,7943749632,11116306432,1204,26,33,0,0,0,262,786,1526,7,22,0,7,3,23415,13320,0.810,1.120,1.220,0,14048,181288,0,0,108527616,914878464
5318123520,2713006080,7943757824,11115905024,1204,26,33,0,0,0,723,1181,1054,7,22,0,7,3,6832,8126,0.740,1.100,1.210,0,14048,181288,0,0,108527616,914878464
5259825152,2769895424,7945166848,11132067840,1204,26,33,0,0,0,613,1758,14658,7,21,0,7,4,6461,8169,0.740,1.100,1.210,0,14080,181314,0,0,108527616,914878464
5257293824,2769756160,7947837440,11134410752,1204,26,33,0,0,0,236,1340,1078,7,21,0,8,4,15156,11894,0.740,1.100,1.210,0,14112,181319,0,8,108527616,914878464
5259419648,2769256448,7946194944,11133939712,1204,26,33,0,0,0,2828,5491,6233,7,21,0,8,4,6290,7873,0.740,1.100,1.210,0,14048,181315,0,1570,108527616,914878464
5260042240,2768482304,7946346496,11130191872,1204,26,33,0,0,0,2042,2795,3129,7,21,0,8,4,6294,7958,0.740,1.100,1.210,0,14048,181316,0,16,108527616,914878464
5261553664,2768056320,7945261056,11127427072,1204,26,33,0,0,0,471,1256,1604,7,21,0,8,4,6466,7975,0.920,1.130,1.220,0,14048,181290,0,0,108527616,914878464
5392420864,2630664192,7951785984,10988589056,1204,26,33,0,0,0,42669,65086,27087,7,21,0,7,4,6714,8204,0.920,1.130,1.220,0,14048,182409,0,0,108527616,914878464
5397282816,2628456448,7949131776,11010273280,1204,26,33,0,0,0,735,1736,2684,7,21,0,7,4,11314,95238,0.920,1.130,1.220,0,14080,182361,0,0,108527616,914878464
5391757312,2633998336,7949115392,11018211328,1204,26,33,0,0,0,3969,6364,6767,7,21,0,7,4,6184,7788,0.920,1.130,1.220,0,14080,182372,0,260,108527616,914878464
5391687680,2631331840,7951851520,11020861440,1205,27,33,0,0,1,832,1735,1921,7,20,1,7,5,6860,9458,0.920,1.130,1.220,0,14112,182380,2,0,108527616,914878464
5392592896,2630168576,7952109568,11019698176,1204,26,33,0,0,0,723,1215,715,7,21,0,8,4,23488,12556,0.850,1.110,1.210,0,14080,182380,0,0,108527616,914878464
5393899520,2629451776,7951519744,11018678272,1204,26,33,0,0,0,630,1107,1215,7,21,0,8,4,6294,7711,0.850,1.110,1.210,0,14080,182378,0,0,108527616,914878464
5395906560,2629795840,7949168640,11016671232,1204,26,33,0,0,0,243,721,1505,7,21,0,8,4,6506,8369,0.850,1.110,1.210,0,14048,182350,0,0,108527616,914878464
5392175104,2632867840,7949828096,11020185600,1204,26,33,0,0,0,8468,10867,10428,7,21,0,8,4,6184,7646,0.850,1.110,1.210,0,14080,182367,0,122,108527616,914878464
5393596416,2631323648,7949950976,11018866688,1204,26,33,0,0,0,402,1062,1271,7,21,0,8,4,6535,7962,0.850,1.110,1.210,0,14048,182360,0,0,108527616,914878464
5372551168,2652766208,7949553664,11062571008,1204,26,33,0,0,0,1891,2648,6952,7,21,0,8,4,6413,8093,0.780,1.100,1.210,0,14080,182383,0,0,108527616,914878464
5374947328,2647965696,7951958016,11059126272,1204,26,33,0,0,0,1227,2296,1326,7,21,0,7,4,6314,8004,0.780,1.100,1.210,0,14112,182388,0,0,108527616,914878464
5376180224,2646474752,7952216064,11057639424,1204,26,33,0,0,0,816,1364,1043,7,21,0,7,4,7653,13189,0.780,1.100,1.210,0,14112,182388,0,26,108527616,914878464
5384081408,2638598144,7952191488,11049779200,1204,26,33,0,0,0,3251,5935,5679,7,21,0,7,4,17172,9959,0.780,1.100,1.210,0,14080,182388,0,478,108527616,914878464
5386805248,2638508032,7949553664,11047346176,1204,26,33,0,0,0,2143,2744,3658,7,21,0,7,4,6565,8252,0.780,1.100,1.210,0,14080,182359,0,0,108527616,914878464
5384470528,2640769024,7949627392,11049615360,1204,26,33,0,0,0,1285,2375,2035,7,21,0,8,4,24971,15529,0.800,1.090,1.200,0,14048,182361,0,0,108527616,914878464
5386506240,2638065664,7950295040,11041955840,1204,26,33,0,0,1,6438,8079,6805,7,21,0,8,4,7714,8570,0.800,1.090,1.200,0,14048,182372,2,0,108527616,914878464
5351907328,2672562176,7950397440,11140943872,1203,26,33,0,0,0,1472,2288,11186,7,21,0,8,4,6824,8562,0.800,1.090,1.200,0,14080,182394,0,14,108527616,914878464
5352558592,2669993984,7952314368,11141349376,1203,26,33,0,0,0,1839,3515,3622,7,21,0,8,4,6738,7646,0.800,1.090,1.200,0,14048,182395,0,190,108527616,914878464
5331689472,2689884160,7953293312,11139981312,1203,26,33,0,0,0,1512,2453,7415,7,21,0,8,4,6184,7783,0.800,1.090,1.200,0,14048,182395,0,0,108527616,914878464
5318049792,2702929920,7953887232,11139567616,1204,27,33,0,0,0,824,2017,4720,7,23,0,8,3,15904,23076,0.730,1.080,1.200,0,14016,182399,0,0,108527616,914878464
5319258112,2705424384,7950184448,11139940352,1204,27,33,0,0,0,378,1245,2196,7,23,0,8,3,8375,13005,0.730,1.080,1.200,0,14016,182369,0,0,108527616,914878464
5320417280,2704478208,7949971456,11138772992,1204,27,33,0,0,0,278,764,745,7,23,0,7,2,6724,8804,0.730,1.080,1.200,0,14016,182369,0,0,108527616,914878464
5335502848,2689261568,7950102528,11141464064,1204,27,33,0,0,0,7900,10324,6943,7,23,0,7,2,6294,7840,0.730,1.080,1.200,0,14016,182378,0,100,108527616,914878464
5335752704,2688405504,7950708736,11140526080,1204,27,33,0,0,0,2117,3057,2389,7,23,0,7,2,6184,7490,0.730,1.080,1.200,0,14016,182401,0,0,108527616,914878464
5333520384,2688233472,7953113088,11142578176,1204,27,33,0,0,0,450,1436,725,7,23,0,7,2,6893,8786,0.680,1.060,1.190,0,14048,182406,0,0,108527616,914878464
5269917696,2752356352,7952592896,11161362432,1204,27,33,0,0,0,254,826,17774,7,23,0,8,2,19979,12276,0.680,1.060,1.190,0,14048,182406,0,0,108527616,914878464
5270044672,2752159744,7952662528,11161165824,1204,27,33,0,0,0,213,710,691,7,23,0,8,2,9632,9328,0.680,1.060,1.190,0,14048,182407,0,0,108527616,914878464
5273415680,2748256256,7953195008,11157286912,1204,27,33,0,0,0,1780,3421,3624,7,23,0,8,2,6294,7840,0.680,1.060,1.190,0,14080,182407,0,126,108527616,914878464
5248397312,2780954624,7945510912,11175428096,1204,27,33,0,0,0,1618,2152,10183,7,23,0,8,2,6417,8023,0.680,1.060,1.190,0,14048,181269,0,0,108527616,914878464
5249110016,2780766208,7944986624,11175239680,1204,27,33,0,0,0,649,1103,1102,7,23,0,7,2,6413,7833,0.860,1.090,1.200,0,14080,181268,0,0,108527616,914878464
5236948992,2792583168,7945330688,11165204480,1204,27,33,0,0,0,7299,9722,9964,7,23,0,8,2,37753,14056,0.860,1.090,1.200,0,14080,181303,0,90,108527616,914878464
5235478528,2791198720,7948185600,11166797824,1204,27,33,0,0,0,558,1636,861,7,23,0,8,2,6505,8604,0.860,1.090,1.200,0,14048,181308,0,0,108527616,914878464
5240520704,2786725888,7947616256,11162345472,1204,27,33,0,0,0,2179,4261,4104,7,23,0,8,2,6424,7840,0.860,1.090,1.200,0,14048,181306,0,1916,108527616,914878464
5240807424,2786369536,7947685888,11173318656,1204,27,33,0,0,0,1531,2095,2994,7,23,0,7,2,6270,7889,0.860,1.090,1.200,0,14080,181306,0,0,108527616,914878464
5241970688,2785267712,7947624448,11172220928,1204,27,33,0,0,0,370,849,802,7,23,0,7,2,6616,8131,0.790,1.070,1.190,0,14080,181305,0,0,108527616,914878464
5243674624,2785169408,7946018816,11169996800,1204,27,33,0,0,0,242,1085,1497,7,23,0,7,2,6676,8220,0.790,1.070,1.190,0,14112,181280,0,30,108527616,914878464
5244370944,2784821248,7945670656,11169435648,1204,27,33,0,0,0,518,920,898,7,23,0,8,2,22027,12952,0.790,1.070,1.190,0,14112,181280,0,0,108527616,914878464
5278334976,2749878272,7946649600,11115216896,1204,27,33,0,0,0,27626,48324,31257,7,23,0,8,2,7628,8707,0.790,1.070,1.190,0,15616,182366,0,0,108527616,914878464
5354532864,2667143168,7953186816,11039379456,1204,27,33,0,0,0,18632,23559,5378,7,23,0,8,2,6536,7851,0.790,1.070,1.190,0,14016,182376,0,338,108527616,914878464
5355155456,2666196992,7953510400,11038855168,1204,27,33,0,0,0,786,965,1190,7,23,0,8,2,6184,7764,0.730,1.050,1.190,0,14016,182377,0,0,108527616,914878464
5356384256,2665234432,7953244160,11037892608,1204,27,33,0,0,0,361,726,852,7,23,0,8,2,6461,8169,0.730,1.050,1.190,0,13984,182376,0,32,108527616,914878464
5360455680,2663772160,7950635008,11034079232,1204,27,33,0,0,0,253,1113,1703,7,23,0,8,2,6955,8486,0.730,1.050,1.190,0,13984,182348,0,8,108527616,914878464
5361868800,2661822464,7951171584,11032162304,1203,27,33,0,0,0,1962,2713,2145,7,22,0,9,2,7059,7858,0.730,1.050,1.190,0,14048,182348,0,48,108527616,914878464
5364105216,2660110336,7950647296,11085099008,1203,27,33,0,0,0,1491,2719,3167,7,22,0,8,2,6424,7840,0.730,1.050,1.190,0,14048,182347,0,60,108527616,914878464
5321707520,2702458880,7950696448,11088801792,1203,27,33,0,0,0,1729,2309,12006,7,22,0,8,2,6869,8455,0.830,1.070,1.190,0,14080,182370,0,0,108527616,914878464
5328351232,2691788800,7954722816,11097358336,1203,27,33,0,0,0,6242,8618,5009,7,22,0,8,2,6270,7646,0.830,1.070,1.190,0,14080,182431,0,0,108527616,914878464
5329989632,2691072000,7953801216,11095437312,1203,27,33,0,0,0,254,744,1044,7,22,0,8,2,6547,8503,0.830,1.070,1.190,0,14080,182385,0,0,108527616,914878464
5331914752,2689654784,7953293312,11095625728,1203,27,33,0,0,0,1542,2292,3569,7,22,0,9,2,37958,13746,0.830,1.070,1.190,0,14112,182384,0,24,108527616,914878464
5319647232,2704261120,7950954496,11090481152,1203,27,33,0,0,0,1681,3744,9083,7,22,0,9,2,9264,8361,0.830,1.070,1.190,0,14112,182356,282,482,108527616,914878464
5318680576,2704957440,7951224832,11091058688,1203,27,33,0,0,0,851,1654,1292,7,22,0,9,2,6580,8228,0.920,1.090,1.200,0,14112,182357,564,12,108527616,914878464
5319208960,2704166912,7951486976,11090288640,1203,27,33,0,0,0,349,1139,1385,7,22,0,9,2,6184,7509,0.920,1.090,1.200,0,14112,182356,470,74,108527616,914878464
5313273856,2710548480,7951040512,11171487744,1203,27,33,0,0,0,1259,2164,4550,7,22,0,9,2,6643,8322,0.920,1.090,1.200,0,14080,182378,470,10,108527616,914878464
5325836288,2695368704,7953657856,11154800640,1203,27,33,0,0,0,8367,10947,6079,7,22,0,10,2,7207,9213,0.920,1.090,1.200,0,14080,182392,1129,24,108527616,914878464
5327101952,2693771264,7953989632,11153186816,1203,27,33,0,0,0,2008,3325,2743,7,22,0,9,2,6184,7509,0.920,1.090,1.200,0,14080,182395,469,96,108527616,914878464
5327294464,2692579328,7954989056,11151437824,1203,27,33,0,0,0,438,1520,2034,7,22,0,9,2,6800,8462,0.850,1.070,1.190,0,14080,182394,188,4,108527616,914878464
5326286848,2695725056,7952850944,11152470016,1203,27,33,0,0,0,250,1020,1704,7,22,0,9,2,6314,7646,0.850,1.070,1.190,0,14080,182365,433,88,108527616,914878464
5328171008,2695360512,7951331328,11151896576,1203,27,33,0,0,0,367,898,1165,7,22,0,9,2,6294,7958,0.850,1.070,1.190,0,14080,182365,401,8,108527616,914878464
5329817600,2693414912,7951630336,11149983744,1204,28,33,0,0,0,1570,3538,3365,7,24,0,8,1,7308,10076,0.850,1.070,1.190,0,14112,182371,200,6,108527616,914878464
5246533632,2776367104,7951962112,11148275712,1207,28,36,0,0,0,3208,8001,28828,7,24,0,8,1,22202,13828,0.850,1.070,1.190,0,14144,182898,170,50,108527616,914878464
5246472192,2774614016,7953776640,11150422016,1207,28,36,0,0,0,934,2428,1501,7,24,0,8,1,6294,8764,0.780,1.050,1.180,0,14112,182902,1052,24,108527616,914878464
5253746688,2767249408,7953866752,11138531328,1207,28,36,0,0,0,6349,7965,5575,7,24,0,8,1,6481,8899,0.780,1.050,1.180,0,14080,182918,470,140,108527616,914878464
5281406976,2738921472,7954534400,11109044224,1207,28,36,0,0,0,7235,8105,1361,7,24,0,8,1,6463,9170,0.780,1.050,1.180,0,14080,182920,564,12,108527616,914878464
5282836480,2740273152,7951720448,11107860480,1207,28,36,0,0,0,1932,2583,3394,7,23,1,9,1,7747,10214,0.780,1.050,1.180,0,14112,182889,94,2,108527616,914878464
5281591296,2741379072,7951859712,11109105664,1204,28,33,0,0,0,1553,3176,3109,7,24,0,9,1,21966,12842,0.780,1.050,1.180,0,14080,182887,0,162,108527616,914878464
5267075072,2755592192,7952162816,11123322880,1204,28,33,0,0,1,1838,2656,7449,7,24,0,8,1,11721,95992,0.800,1.050,1.180,0,14112,182890,2,0,108527616,914878464
5267189760,2755252224,7952371712,11122999296,1204,28,33,0,0,0,1361,2173,1326,7,24,0,8,1,6184,7372,0.800,1.050,1.180,0,14080,182912,0,18,108527616,914878464
5259603968,2766299136,7948922880,11131568128,1204,28,33,0,0,0,649,1766,3032,7,24,0,8,1,7183,8437,0.800,1.050,1.180,0,14080,181806,0,0,108527616,914878464
5273092096,2752843776,7948890112,11150331904,1204,28,33,0,0,0,6739,8711,4237,7,24,0,8,1,6400,7703,0.800,1.050,1.180,0,14080,181818,0,66,108527616,914878464
5272276992,2753277952,7949271040,11150798848,1204,28,33,0,0,0,2311,5408,7467,7,24,0,8,1,6351,8542,0.800,1.050,1.180,0,14048,181817,0,1996,108527616,914878464
5274136576,2753441792,7947247616,11148619776,1204,28,33,0,0,0,376,970,1722,7,24,0,8,1,6413,7951,0.740,1.030,1.170,0,14048,181789,288,8,108527616,914878464
5274791936,2753327104,7946706944,11148566528,1204,28,33,0,0,0,1021,2197,2333,7,24,0,8,1,6294,7840,0.740,1.030,1.170,0,14048,181789,94,30,108527616,914878464
5273636864,2741071872,7960018944,11136409600,1204,28,33,0,0,0,1120,5873,2185,7,24,0,8,1,7152,9263,0.740,1.030,1.170,0,14048,182031,0,0,108527616,914878464
5267103744,2750259200,7957348352,11164454912,1204,28,33,0,0,0,868,3013,4723,7,24,0,8,1,8241,9155,0.740,1.030,1.170,0,14080,182050,0,0,108527616,914878464
5267943424,2745696256,7961055232,11162316800,1204,28,33,0,0,0,3215,6249,5064,7,24,0,9,1,28047,384116,0.740,1.030,1.170,0,14112,182043,0,328,108527616,914878464
5267554304,2746605568,7960535040,11163230208,1204,28,33,0,0,0,1431,1988,1635,7,24,0,9,1,12656,302252,0.680,1.010,1.170,0,14144,182037,0,20,108527616,914878464
5370523648,2642051072,7962120192,11025305600,1204,28,33,0,0,0,41858,64562,37286,7,24,0,9,1,6294,7840,0.680,1.010,1.170,0,14080,183079,0,0,108527616,914878464
5379751936,2640666624,7954276352,11023171584,1204,28,33,0,0,0,763,939,3060,7,24,0,8,1,6314,7788,0.680,1.010,1.170,0,14080,183075,0,0,108527616,914878464
5380648960,2640289792,7953756160,11020447744,1204,28,33,0,0,0,282,768,2263,7,24,0,8,1,6300,7902,0.680,1.010,1.170,0,14080,183074,0,0,108527616,914878464
5382696960,2638221312,7953776640,11018403840,1204,28,33,0,0,0,2809,4505,3918,7,24,0,8,1,6380,8110,0.680,1.010,1.170,0,14048,183074,0,0,108527616,914878464
5376491520,2644725760,7953477632,11030302720,1204,28,33,0,0,0,1600,3114,3768,7,24,0,8,1,7759,11362,0.620,1,1.160,0,14048,183096,0,122,108527616,914878464
5375176704,2642759680,7956758528,11032711168,1204,28,33,0,0,0,1205,2554,1236,7,24,0,8,1,6294,7703,0.620,1,1.160,0,14048,183103,0,32,108527616,914878464
5371940864,2645827584,7956926464,11035906048,1204,28,33,0,0,0,295,1444,1401,7,24,0,8,1,7468,11375,0.620,1,1.160,0,14080,183103,0,0,108527616,914878464
5381890048,2636267520,7956537344,11054055424,1204,28,33,0,0,0,5083,7634,4772,7,24,0,8,1,6351,7975,0.620,1,1.160,0,14112,183115,0,0,108527616,914878464
5384376320,2633822208,7956496384,11051794432,1204,28,33,0,0,0,3660,4462,3546,7,24,0,9,1,7527,10949,0.620,1,1.160,0,14112,183112,0,0,108527616,914878464
5391200256,2628820992,7954673664,11044442112,1203,27,33,0,0,0,1822,3942,4482,7,22,0,10,2,39496,17787,0.650,1,1.160,0,14080,183085,0,480,108527616,914878464
5392855040,2627162112,7954677760,11042799616,1203,27,33,0,0,0,743,1313,1309,7,22,0,10,2,8079,9219,0.650,1,1.160,0,14080,183085,0,26,108527616,914878464
5391253504,2629124096,7954317312,11060207616,1203,26,33,0,0,0,2162,3476,3940,7,22,0,9,1,9412,10572,0.650,1,1.160,0,14080,183106,0,28,108527616,914878464
5389471744,2628620288,7956602880,11061780480,1203,26,33,0,0,0,685,1826,1151,7,22,0,9,1,6184,7646,0.650,1,1.160,0,14112,183112,0,0,108527616,914878464
5388533760,2629033984,7957127168,11054243840,1203,26,33,0,0,0,3214,3754,5586,7,22,0,9,1,6461,8099,0.650,1,1.160,0,14048,183112,0,0,108527616,914878464
5389402112,2628153344,7957106688,11053453312,1203,26,33,0,0,0,436,1006,971,7,22,0,9,1,6413,8333,0.680,1,1.160,0,14048,183112,0,50,108527616,914878464
5352890368,2666057728,7955714048,11156684800,1204,27,33,0,0,0,6064,7834,17598,7,21,1,8,2,6814,8986,0.680,1,1.160,0,14080,183140,0,0,108527616,914878464
5354889216,2665373696,7954399232,11154685952,1203,26,33,0,0,0,275,872,1305,7,22,0,9,1,38072,13515,0.680,1,1.160,0,14048,183094,0,0,108527616,914878464
5355458560,2663157760,7956045824,11152470016,1203,26,33,0,0,0,638,1571,899,7,22,0,9,1,6290,7651,0.680,1,1.160,0,14048,183096,0,4,108527616,914878464
5351333888,2667339776,7955988480,11154272256,1203,26,33,0,0,0,3600,4445,5172,7,22,0,9,1,8417,8145,0.680,1,1.160,0,14112,183117,0,0,108527616,914878464
5348081664,2669723648,7956856832,11158351872,1203,26,33,0,0,0,1783,3915,2971,7,22,0,9,1,6616,8484,0.710,1,1.160,0,14080,183120,0,156,108527616,914878464
