"Dstat 1.1.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dool/net_mem_sys_fs_time_vm-adv_socket_aio.csv --net --mem --sys --fs --time --vm-adv --socket --aio 1 600",,,,"Date:","23 Mar 2023 13:42:08 -03"
"net/total",,"memory usage",,,,"system",,"filesystem",,"system","advanced virtual memory",,,,,"sockets",,,,,"async"
5839,7788,5241372672,2790674432,7942823936,11174875136,2600,6979,14080,181283,Mar-23 13:42:19,0,0,0,0,0,1204,26,33,0,0,0
6639,8198,5231169536,2801401856,7942299648,11173806080,2525,5815,14048,181282,Mar-23 13:42:20,0,0,0,0,0,1204,26,33,0,0,0
9171,14848,5237612544,2794958848,7942299648,11167375360,2605,6091,14048,181282,Mar-23 13:42:21,0,0,0,0,0,1204,26,33,0,0,0
7787,11832,5229555712,2801537024,7943778304,11169431552,2693,7326,14080,181308,Mar-23 13:42:22,0,0,0,0,0,1204,26,33,0,0,0
22249,9732,5228994560,2800824320,7945052160,11169931264,2828,7788,14112,181310,Mar-23 13:42:23,0,0,0,0,0,1203,26,33,0,0,0
6351,7970,5360795648,2662985728,7951089664,11033317376,3652,36676,14048,182381,Mar-23 13:42:24,0,0,0,0,0,1203,26,33,0,0,0
6294,8321,5363769344,2661031936,7950069760,11031191552,2620,5664,14048,182380,Mar-23 13:42:25,0,0,0,0,0,1203,26,33,0,0,0
6783,8313,5365985280,2660466688,7948423168,11027177472,2556,5949,14048,182353,Mar-23 13:42:26,0,0,0,0,0,1203,26,33,0,0,0
6314,7783,5366493184,2660245504,7948136448,11025416192,2656,5801,14016,182352,Mar-23 13:42:27,0,0,0,0,0,1203,26,33,0,0,0
6400,8179,5368745984,2658512896,7947616256,11023691776,2699,6771,14016,182356,Mar-23 13:42:28,0,0,0,0,0,1203,26,33,0,0,0
7180,8877,5370044416,2656075776,7948754944,11032408064,2789,8602,14048,182374,Mar-23 13:42:29,0,0,0,0,0,1203,26,33,0,0,0
6351,8263,5371019264,2653151232,7950704640,11030835200,2612,6233,14080,182381,Mar-23 13:42:30,0,0,0,0,0,1203,26,33,0,0,0
35853,14061,5371404288,2653319168,7950151680,11031072768,2734,6807,14048,182380,Mar-23 13:42:31,0,0,0,0,0,1203,26,33,0,0,0
8239,7731,5380317184,2643984384,7950573568,11022675968,2677,6412,14080,182391,Mar-23 13:42:32,0,0,0,0,0,1203,26,33,0,0,0
21188,13259,5381267456,2642735104,7950872576,11021164544,2863,6980,14016,182391,Mar-23 13:42:33,0,0,0,0,0,1203,26,33,0,0,0
9883,9486,5361377280,2664747008,7948750848,11023495168,2809,8260,14048,182365,Mar-23 13:42:34,0,0,0,0,0,1203,26,33,0,0,0
11132,10501,5362360320,2664513536,7948001280,11022897152,2726,6017,14016,182364,Mar-23 13:42:35,0,0,0,0,0,1203,26,33,0,0,0
7988,10438,5364658176,2661142528,7949074432,11064000512,2786,7001,14048,182387,Mar-23 13:42:36,0,0,0,0,0,1203,26,33,0,0,0
6635,7833,5361934336,2661974016,7950966784,11066105856,2518,6290,14016,182393,Mar-23 13:42:37,0,0,0,0,0,1203,26,33,0,0,0
6624,8466,5364355072,2659553280,7950966784,11063709696,2781,6587,14016,182393,Mar-23 13:42:38,0,0,0,0,0,1203,26,33,0,0,0
6350,7914,5371490304,2652450816,7950934016,11078139904,2752,8570,14048,182402,Mar-23 13:42:39,0,0,0,0,0,1203,26,33,0,0,0
6351,8309,5373247488,2653151232,7948476416,11100160000,2581,5788,14048,182376,Mar-23 13:42:40,0,0,0,0,0,1203,26,33,0,0,0
6424,7703,5372497920,2653900800,7948484608,11100835840,2485,5785,14048,182375,Mar-23 13:42:41,0,0,0,0,0,1203,26,33,0,0,0
6444,7889,5372702720,2653237248,7948943360,11100168192,2436,5640,14048,182376,Mar-23 13:42:42,0,0,0,0,0,1203,26,33,0,0,0
6987,8128,5332250624,2693124096,7949508608,11158499328,2680,6865,14080,182399,Mar-23 13:42:43,0,0,0,0,0,1203,26,33,0,0,0
9334,14199,5332025344,2691788800,7951069184,11159695360,2987,9821,14080,182403,Mar-23 13:42:44,0,0,0,0,0,1203,26,33,0,0,0
21786,9096,5332987904,2690842624,7951052800,11158749184,2608,5767,14080,182403,Mar-23 13:42:45,0,0,0,0,0,1203,26,33,0,0,0
7240,8858,5333463040,2690109440,7951310848,11158016000,2527,5788,14048,182403,Mar-23 13:42:46,0,0,0,0,0,1203,26,33,0,0,0
6380,7703,5353615360,2672660480,7948607488,11137683456,2655,6355,14048,182384,Mar-23 13:42:47,0,0,0,0,0,1203,26,33,0,0,0
6437,7951,5356183552,2669989888,7948709888,11135098880,2553,5892,14048,182386,Mar-23 13:42:48,0,0,0,0,0,1203,26,33,0,0,0
9105,13594,5356920832,2668851200,7949111296,11133730816,2761,8497,14016,182389,Mar-23 13:42:49,0,0,0,0,0,1204,26,33,0,0,0
13197,12950,5307064320,2718433280,7949385728,11129143296,2739,6732,14016,182411,Mar-23 13:42:50,0,0,0,0,0,1204,26,33,0,0,0
6666,8370,5306327040,2717323264,7951237120,11130224640,2659,6753,14048,182416,Mar-23 13:42:51,0,0,0,0,0,1204,26,33,0,0,0
8698,10276,5299363840,2729672704,7945850880,11132153856,2568,5822,14048,181305,Mar-23 13:42:52,0,0,0,0,0,1204,26,33,0,0,0
6875,8265,5299994624,2729037824,7945854976,11131527168,2665,5891,14048,181305,Mar-23 13:42:53,0,0,0,0,0,1204,26,33,0,0,0
6816,8162,5317156864,2713456640,7944273920,11112685568,2821,8578,14016,181288,Mar-23 13:42:54,0,0,0,0,0,1204,26,33,0,0,0
23415,13377,5317783552,2713354240,7943749632,11116306432,2595,6676,14048,181288,Mar-23 13:42:55,0,0,0,0,0,1204,26,33,0,0,0
6832,8126,5318123520,2713006080,7943757824,11115905024,2599,5889,14048,181288,Mar-23 13:42:56,0,0,0,0,0,1204,26,33,0,0,0
6461,8306,5259608064,2771443712,7943835648,11133616128,2613,6331,14080,181312,Mar-23 13:42:57,0,0,0,0,0,1204,26,33,0,0,0
15156,11894,5257293824,2769756160,7947837440,11134410752,2683,6937,14112,181319,Mar-23 13:42:58,0,0,0,0,0,1204,26,33,0,0,0
6290,7873,5258702848,2769960960,7946207232,11134644224,3793,11823,14048,181315,Mar-23 13:42:59,0,0,0,0,0,1204,26,33,0,0,0
6294,7958,5260042240,2768482304,7946346496,11130191872,2978,6111,14048,181316,Mar-23 13:43:00,0,0,0,0,0,1204,26,33,0,0,0
6466,7975,5262426112,2768515072,7943929856,11127885824,2517,5734,14048,181288,Mar-23 13:43:01,0,0,0,0,0,1204,26,33,0,0,0
6604,7736,5391441920,2631643136,7951785984,10989568000,3591,37884,14048,182409,Mar-23 13:43:02,0,0,0,0,0,1204,26,33,0,0,0
11424,95569,5397049344,2628689920,7949131776,11010506752,2574,5969,14080,182361,Mar-23 13:43:03,0,0,0,0,0,1204,26,33,0,0,0
6184,7646,5391757312,2633998336,7949115392,11018211328,2918,9028,14080,182372,Mar-23 13:43:04,0,0,0,0,0,1204,26,33,0,0,0
6860,9463,5391437824,2631847936,7951585280,11021377536,2637,7391,14112,182379,Mar-23 13:43:05,0,0,0,0,0,1205,27,33,0,0,0
23488,12693,5392592896,2630168576,7952109568,11019698176,2499,5941,14048,182380,Mar-23 13:43:06,0,0,0,0,0,1204,26,33,0,0,0
6294,7985,5393899520,2629451776,7951519744,11018678272,2483,5695,14080,182378,Mar-23 13:43:07,0,0,0,0,0,1204,26,33,0,0,0
6506,7958,5395906560,2629795840,7949168640,11016671232,2578,5804,14080,182350,Mar-23 13:43:08,0,0,0,0,0,1204,26,33,0,0,0
6184,7646,5391912960,2633383936,7949574144,11020701696,2722,7617,14080,182357,Mar-23 13:43:09,0,0,0,0,0,1204,26,33,0,0,0
6535,8099,5393604608,2631323648,7949942784,11018866688,2613,6679,14048,182360,Mar-23 13:43:10,0,0,0,0,0,1204,26,33,0,0,0
6413,8230,5372035072,2653282304,7949553664,11062820864,2715,6457,14080,182383,Mar-23 13:43:11,0,0,0,0,0,1204,26,33,0,0,0
6314,8004,5374701568,2648211456,7951958016,11059372032,2415,6529,14112,182388,Mar-23 13:43:12,0,0,0,0,0,1204,26,33,0,0,0
7653,13189,5375930368,2646990848,7951949824,11058155520,2530,6016,14112,182387,Mar-23 13:43:13,0,0,0,0,0,1204,26,33,0,0,0
17172,9959,5384081408,2638598144,7952191488,11049779200,2946,8669,14080,182388,Mar-23 13:43:14,0,0,0,0,0,1204,26,33,0,0,0
6565,8252,5386805248,2638508032,7949553664,11047346176,2661,6983,14080,182359,Mar-23 13:43:15,0,0,0,0,0,1204,26,33,0,0,0
10813,15003,5383970816,2641268736,7949627392,11050115072,2702,6900,14048,182361,Mar-23 13:43:16,0,0,0,0,0,1204,26,33,0,0,0
21872,8959,5386506240,2638065664,7950295040,11041955840,2557,6469,14048,182372,Mar-23 13:43:17,0,0,0,0,0,1204,26,33,0,0,0
6486,8316,5351854080,2672615424,7950397440,11140997120,2547,6308,14080,182394,Mar-23 13:43:18,0,0,0,0,0,1204,26,33,0,0,0
7076,7892,5352583168,2669969408,7952314368,11141324800,2729,8282,14048,182395,Mar-23 13:43:19,0,0,0,0,0,1203,26,33,0,0,0
6184,7646,5331689472,2689884160,7953293312,11139981312,2794,6845,14048,182395,Mar-23 13:43:20,0,0,0,0,0,1203,26,33,0,0,0
15904,23213,5318049792,2702929920,7953887232,11139567616,2677,6913,14016,182399,Mar-23 13:43:21,0,0,0,0,0,1204,27,33,0,0,0
8260,12868,5318414336,2706268160,7950184448,11140784128,2533,5762,14016,182369,Mar-23 13:43:22,0,0,0,0,0,1204,27,33,0,0,0
6839,8941,5320417280,2704478208,7949971456,11138772992,2582,5837,14016,182369,Mar-23 13:43:23,0,0,0,0,0,1204,27,33,0,0,0
6294,7703,5334786048,2689978368,7950102528,11142180864,2910,7578,14016,182378,Mar-23 13:43:24,0,0,0,0,0,1204,27,33,0,0,0
6184,7901,5335756800,2688405504,7950704640,11140526080,2674,7218,14016,182401,Mar-23 13:43:25,0,0,0,0,0,1204,27,33,0,0,0
6893,8512,5333528576,2688233472,7953104896,11142545408,2761,6915,14048,182406,Mar-23 13:43:26,0,0,0,0,0,1204,27,33,0,0,0
19979,12413,5269917696,2752356352,7952592896,11161362432,2588,6570,14048,182406,Mar-23 13:43:27,0,0,0,0,0,1204,27,33,0,0,0
9632,9328,5270044672,2752159744,7952662528,11161165824,2544,5762,14048,182407,Mar-23 13:43:28,0,0,0,0,0,1204,27,33,0,0,0
6294,7840,5273157632,2748514304,7953195008,11157544960,2807,7478,14080,182407,Mar-23 13:43:29,0,0,0,0,0,1204,27,33,0,0,0
6417,8023,5248397312,2780954624,7945510912,11175428096,2593,6900,14048,181269,Mar-23 13:43:30,0,0,0,0,0,1204,27,33,0,0,0
6413,7833,5249110016,2780766208,7944986624,11175239680,2561,5782,14080,181268,Mar-23 13:43:31,0,0,0,0,0,1204,27,33,0,0,0
37753,14056,5236682752,2793099264,7945080832,11165454336,2795,7715,14080,181302,Mar-23 13:43:32,0,0,0,0,0,1204,27,33,0,0,0
6505,8467,5235003392,2791673856,7948185600,11167272960,2693,6863,14048,181308,Mar-23 13:43:33,0,0,0,0,0,1204,27,33,0,0,0
6424,7840,5240549376,2786697216,7947616256,11162316800,4269,12587,14048,181305,Mar-23 13:43:34,0,0,0,0,0,1204,27,33,0,0,0
6270,7752,5240807424,2786369536,7947685888,11173318656,2620,6879,14080,181306,Mar-23 13:43:35,0,0,0,0,0,1204,27,33,0,0,0
6616,8268,5241970688,2785267712,7947624448,11172220928,2436,5810,14080,181305,Mar-23 13:43:36,0,0,0,0,0,1204,27,33,0,0,0
6676,8083,5241581568,2785128448,7948152832,11172085760,2539,5666,14112,181308,Mar-23 13:43:37,0,0,0,0,0,1204,27,33,0,0,0
7869,12563,5244370944,2784821248,7945670656,11169435648,2622,6655,14112,181280,Mar-23 13:43:38,0,0,0,0,0,1204,27,33,0,0,0
21786,9096,5239132160,2789081088,7946649600,11152556032,3807,14768,15296,182366,Mar-23 13:43:39,0,0,0,0,0,1204,27,33,0,0,0
6536,7988,5354283008,2667659264,7952920576,11039895552,3494,30218,14016,182375,Mar-23 13:43:40,0,0,0,0,0,1204,27,33,0,0,0
6184,7764,5355155456,2666196992,7953510400,11038855168,2539,5943,14016,182377,Mar-23 13:43:41,0,0,0,0,0,1204,27,33,0,0,0
6461,8169,5356384256,2665234432,7953244160,11037892608,2571,5789,13984,182376,Mar-23 13:43:42,0,0,0,0,0,1204,27,33,0,0,0
6849,8623,5360455680,2663772160,7950635008,11034075136,2761,6261,13984,182348,Mar-23 13:43:43,0,0,0,0,0,1204,27,33,0,0,0
7165,7858,5361868800,2661822464,7951171584,11032162304,2761,7074,14048,182348,Mar-23 13:43:44,0,0,0,0,0,1203,27,33,0,0,0
6424,7840,5364105216,2660110336,7950647296,11085099008,2654,7069,14048,182347,Mar-23 13:43:45,0,0,0,0,0,1203,27,33,0,0,0
6869,8455,5321248768,2702958592,7950655488,11089350656,2575,6100,14080,182370,Mar-23 13:43:46,0,0,0,0,0,1203,27,33,0,0,0
6270,7646,5327110144,2693296128,7954456576,11098599424,2857,7396,14080,182430,Mar-23 13:43:47,0,0,0,0,0,1203,27,33,0,0,0
6547,8008,5329989632,2691072000,7953801216,11095437312,2515,5830,14080,182385,Mar-23 13:43:48,0,0,0,0,0,1203,27,33,0,0,0
37958,14104,5331914752,2689654784,7953293312,11095625728,2759,7858,14112,182384,Mar-23 13:43:49,0,0,0,0,0,1203,27,33,0,0,0
9264,8361,5319647232,2704261120,7950954496,11090481152,3148,10287,14112,182356,Mar-23 13:43:50,0,0,0,0,0,1203,27,33,0,0,0
6580,8228,5318946816,2704957440,7950958592,11091058688,3152,10540,14112,182356,Mar-23 13:43:51,0,0,0,0,0,1203,27,33,0,0,0
6184,7646,5318995968,2704384000,7951482880,11090505728,2897,9445,14112,182355,Mar-23 13:43:52,0,0,0,0,0,1203,27,33,0,0,0
6643,8459,5312815104,2711007232,7951040512,11171946496,3247,9914,14080,182378,Mar-23 13:43:53,0,0,0,0,0,1203,27,33,0,0,0
7207,8802,5326098432,2695344128,7953420288,11154751488,3564,17235,14080,182392,Mar-23 13:43:54,0,0,0,0,0,1203,27,33,0,0,0
6184,7646,5326852096,2694287360,7953723392,11153702912,3072,10822,14080,182394,Mar-23 13:43:55,0,0,0,0,0,1203,27,33,0,0,0
6800,8599,5328093184,2692579328,7954190336,11151437824,3255,11374,14080,182393,Mar-23 13:43:56,0,0,0,0,0,1203,27,33,0,0,0
6314,7646,5327990784,2691891200,7954980864,11150766080,2888,8889,14080,182393,Mar-23 13:43:57,0,0,0,0,0,1203,27,33,0,0,0
6294,7958,5328171008,2695360512,7951331328,11151896576,2855,9187,14080,182365,Mar-23 13:43:58,0,0,0,0,0,1203,27,33,0,0,0
7308,10076,5329362944,2693869568,7951630336,11150438400,3097,13128,14112,182371,Mar-23 13:43:59,0,0,0,0,0,1204,28,33,0,0,0
22202,13828,5246533632,2776367104,7951962112,11147476992,2955,8895,14144,182898,Mar-23 13:44:00,0,0,0,0,0,1207,28,36,0,0,0
6294,8764,5246472192,2774614016,7953776640,11150422016,3203,15066,14112,182902,Mar-23 13:44:01,0,0,0,0,0,1207,28,36,0,0,0
6481,8899,5253505024,2767478784,7953879040,11138908160,3321,12119,14080,182918,Mar-23 13:44:02,0,0,0,0,0,1207,28,36,0,0,0
6463,9033,5281406976,2738921472,7954534400,11109044224,3038,10281,14080,182919,Mar-23 13:44:03,0,0,0,0,0,1207,28,36,0,0,0
7258,9748,5282836480,2740273152,7951720448,11107860480,2673,7629,14080,182896,Mar-23 13:44:04,0,0,0,0,0,1208,29,36,0,0,0
22685,13308,5281591296,2741379072,7951859712,11109105664,2931,8943,14080,182887,Mar-23 13:44:05,0,0,0,0,0,1204,28,33,0,0,0
11491,95855,5267095552,2755837952,7951896576,11123568640,2647,6505,14112,182889,Mar-23 13:44:06,0,0,0,0,0,1204,28,33,0,0,0
6184,7646,5267214336,2755268608,7952330752,11123027968,2482,5924,14080,182912,Mar-23 13:44:07,0,0,0,0,0,1204,28,33,0,0,0
7077,8300,5259890688,2766012416,7948922880,11131281408,2716,7661,14048,181806,Mar-23 13:44:08,0,0,0,0,0,1204,28,33,0,0,0
6506,7840,5272064000,2753830912,7948931072,11148922880,2695,6349,14080,181806,Mar-23 13:44:09,0,0,0,0,0,1204,28,33,0,0,0
6351,8405,5271781376,2754039808,7949004800,11151560704,4417,15644,14048,181815,Mar-23 13:44:10,0,0,0,0,0,1204,28,33,0,0,0
6413,7951,5274136576,2753441792,7947247616,11148619776,2876,8364,14048,181789,Mar-23 13:44:11,0,0,0,0,0,1204,28,33,0,0,0
6294,7840,5274791936,2753327104,7946706944,11148566528,2643,6711,14048,181788,Mar-23 13:44:12,0,0,0,0,0,1204,28,33,0,0,0
6818,9400,5273636864,2741071872,7960018944,11136409600,2758,6230,14048,182031,Mar-23 13:44:13,0,0,0,0,0,1204,28,33,0,0,0
8575,9155,5266993152,2750410752,7957307392,11164672000,2695,6143,14080,182050,Mar-23 13:44:14,0,0,0,0,0,1204,28,33,0,0,0
28047,372188,5267943424,2745696256,7961055232,11162316800,3018,10681,14112,182043,Mar-23 13:44:15,0,0,0,0,0,1204,28,33,0,0,0
12656,314180,5267595264,2746564608,7960535040,11163189248,2693,6003,14144,182037,Mar-23 13:44:16,0,0,0,0,0,1204,28,33,0,0,0
6294,7840,5370019840,2642554880,7962120192,11025809408,3585,36124,14080,183079,Mar-23 13:44:17,0,0,0,0,0,1204,28,33,0,0,0
6314,7651,5379252224,2641166336,7954276352,11023671296,2549,5762,14080,183075,Mar-23 13:44:18,0,0,0,0,0,1204,28,33,0,0,0
6258,7646,5380648960,2640289792,7953756160,11020447744,2524,5630,14080,183074,Mar-23 13:44:19,0,0,0,0,0,1204,28,33,0,0,0
6422,8366,5379842048,2641076224,7953776640,11021258752,2769,8115,14048,183074,Mar-23 13:44:20,0,0,0,0,0,1204,28,33,0,0,0
7759,11362,5376237568,2644983808,7953473536,11030560768,2622,6244,14048,183096,Mar-23 13:44:21,0,0,0,0,0,1204,28,33,0,0,0
6294,7840,5375176704,2642759680,7956758528,11032711168,2510,7063,14048,183103,Mar-23 13:44:22,0,0,0,0,0,1204,28,33,0,0,0
7468,11101,5371940864,2645827584,7956926464,11035906048,2474,5857,14080,183103,Mar-23 13:44:23,0,0,0,0,0,1204,28,33,0,0,0
6351,7975,5381513216,2636754944,7956426752,11054395392,2586,6176,14112,183114,Mar-23 13:44:24,0,0,0,0,0,1204,28,33,0,0,0
7527,11223,5384380416,2633822208,7956492288,11051794432,2773,8924,14112,183112,Mar-23 13:44:25,0,0,0,0,0,1204,28,33,0,0,0
38822,17180,5391200256,2628820992,7954673664,11044442112,2931,7281,14080,183085,Mar-23 13:44:26,0,0,0,0,0,1203,27,33,0,0,0
8643,9632,5392371712,2627645440,7954677760,11043282944,2542,5842,14080,183085,Mar-23 13:44:27,0,0,0,0,0,1203,27,33,0,0,0
9522,10766,5393379328,2626994176,7954321408,11040239616,2683,6082,14080,183083,Mar-23 13:44:28,0,0,0,0,0,1203,26,33,0,0,0
6184,7646,5389471744,2628620288,7956602880,11061780480,2687,7375,14112,183112,Mar-23 13:44:29,0,0,0,0,0,1203,26,33,0,0,0
6294,8099,5388750848,2628816896,7957127168,11054264320,2903,8014,14048,183112,Mar-23 13:44:30,0,0,0,0,0,1203,26,33,0,0,0
6580,8333,5389402112,2628153344,7957106688,11053453312,2510,5868,14048,183111,Mar-23 13:44:31,0,0,0,0,0,1203,26,33,0,0,0
6314,7646,5352890368,2666057728,7955714048,11156684800,2866,6282,14080,183139,Mar-23 13:44:32,0,0,0,0,0,1207,25,38,0,0,0
38466,14581,5354889216,2665373696,7954399232,11154685952,2568,6720,14048,183094,Mar-23 13:44:33,0,0,0,0,0,1203,26,33,0,0,0
6396,7788,5355458560,2663157760,7956045824,11152470016,2530,5664,14048,183096,Mar-23 13:44:34,0,0,0,0,0,1203,26,33,0,0,0
8417,8145,5356400640,2662273024,7955988480,11151601664,2646,8116,14080,183094,Mar-23 13:44:35,0,0,0,0,0,1203,26,33,0,0,0
6616,8484,5348081664,2669723648,7956856832,11158347776,2766,7543,14080,183120,Mar-23 13:44:36,0,0,0,0,0,1203,26,33,0,0,0
23535,13586,5348691968,2669113344,7956856832,11157741568,2601,6641,14080,183121,Mar-23 13:44:37,0,0,0,0,0,1203,26,33,0,0,0
6506,8213,5348732928,2668539904,7957389312,11157196800,2561,5851,14048,183122,Mar-23 13:44:38,0,0,0,0,0,1203,26,33,0,0,0
6351,7833,5348679680,2670821376,7955161088,11157680128,2636,6342,14048,183098,Mar-23 13:44:39,0,0,0,0,0,1203,26,33,0,0,0
6258,7788,5346066432,2673704960,7954874368,11159093248,2560,7454,14080,183111,Mar-23 13:44:40,0,0,0,0,0,1203,26,33,0,0,0
6350,8409,5346897920,2672861184,7954886656,11158249472,2624,6690,14080,183106,Mar-23 13:44:41,0,0,0,0,0,1203,26,33,0,0,0
6370,7701,5347786752,2671448064,7955410944,11156848640,2571,5668,14048,183107,Mar-23 13:44:42,0,0,0,0,0,1203,26,33,0,0,0
6573,8459,5345193984,2672070656,7957364736,11160055808,2784,7493,14016,183134,Mar-23 13:44:43,0,0,0,0,0,1203,26,33,0,0,0
6358,7646,5346451456,2670800896,7957377024,11158847488,2579,6039,14016,183134,Mar-23 13:44:44,0,0,0,0,0,1203,26,33,0,0,0
6708,7646,5347217408,2670084096,7957327872,11158147072,2583,6837,14048,183133,Mar-23 13:44:45,0,0,0,0,0,1203,26,33,0,0,0
6893,8649,5236051968,2788192256,7950376960,11153031168,2714,7093,14048,181996,Mar-23 13:44:46,0,0,0,0,0,1203,26,33,0,0,0
6612,9154,5259669504,2764853248,7950098432,11129614336,2671,6906,14016,182006,Mar-23 13:44:47,0,0,0,0,0,1204,27,33,0,0,0
23067,12537,5258690560,2766082048,7949848576,11132354560,2559,5851,14048,182006,Mar-23 13:44:48,0,0,0,0,0,1203,26,33,0,0,0
6294,7840,5259010048,2765766656,7949844480,11132051456,2410,5724,14016,182006,Mar-23 13:44:49,0,0,0,0,0,1203,26,33,0,0,0
6184,7905,5255364608,2766413824,7952842752,11159363584,2830,8369,14080,182034,Mar-23 13:44:50,0,0,0,0,0,1203,26,33,0,0,0
6857,8422,5251407872,2770956288,7952257024,11163910144,4300,12701,14080,182032,Mar-23 13:44:51,0,0,0,0,0,1203,26,33,0,0,0
6184,8264,5252022272,2770337792,7952261120,11163291648,2508,5712,14048,182032,Mar-23 13:44:52,0,0,0,0,0,1203,26,33,0,0,0
6916,8421,5254582272,2769088512,7950950400,11159687168,2562,5833,14016,182005,Mar-23 13:44:53,0,0,0,0,0,1203,26,33,0,0,0
6294,7840,5271310336,2751873024,7951437824,11142713344,2584,6256,14016,182006,Mar-23 13:44:54,0,0,0,0,0,1203,26,33,0,0,0
6270,7870,5371039744,2648612864,7954952192,11012009984,3651,36639,14080,183074,Mar-23 13:44:55,0,0,0,0,0,1203,26,33,0,0,0
6616,8126,5372465152,2647019520,7955120128,11010588672,2868,7183,14112,183074,Mar-23 13:44:56,0,0,0,0,0,1203,26,33,0,0,0
6424,7977,5370613760,2646421504,7957569536,11031564288,2624,7310,14080,183102,Mar-23 13:44:57,0,0,0,0,0,1203,26,33,0,0,0
7909,12136,5371424768,2645082112,7958097920,11030171648,2686,6683,14048,183102,Mar-23 13:44:58,0,0,0,0,0,1203,26,33,0,0,0
22214,9432,5371629568,2645143552,7957831680,11030233088,2576,6044,14080,183101,Mar-23 13:44:59,0,0,0,0,0,1203,26,33,0,0,0
6184,7646,5374263296,2645094400,7955247104,11044876288,2617,6964,14112,183072,Mar-23 13:45:00,0,0,0,0,0,1203,26,33,0,0,0
6184,7764,5374156800,2645233664,7955210240,11044806656,2686,7457,14080,183072,Mar-23 13:45:01,0,0,0,0,0,1203,26,33,0,0,0
6294,7840,5370187776,2648403968,7956008960,11049799680,2841,9328,14112,183087,Mar-23 13:45:02,0,0,0,0,0,1203,26,33,0,0,0
6593,7991,5371400192,2647277568,7955922944,11048742912,2588,5752,14080,183086,Mar-23 13:45:03,0,0,0,0,0,1203,26,33,0,0,0
6258,7764,5378183168,2638303232,7958114304,11044880384,2616,7124,14112,183114,Mar-23 13:45:04,0,0,0,0,0,1203,26,33,0,0,0
7334,8320,5392056320,2624425984,7958118400,11031080960,2642,7080,14048,183111,Mar-23 13:45:05,0,0,0,0,0,1203,26,33,0,0,0
7574,8642,5390733312,2625208320,7958659072,11031879680,2655,6942,14048,183112,Mar-23 13:45:06,0,0,0,0,0,1203,26,33,0,0,0
6591,8027,5394636800,2623754240,7956226048,11028299776,2495,5870,14048,183083,Mar-23 13:45:07,0,0,0,0,0,1203,26,33,0,0,0
6563,8088,5397204992,2622820352,7954575360,11026067456,2545,5823,14048,183036,Mar-23 13:45:08,0,0,0,0,0,1203,26,33,0,0,0
28844,101420,5379686400,2638782464,7956131840,11037044736,2883,7579,14048,183086,Mar-23 13:45:09,0,0,0,0,0,1203,26,33,0,0,0
6294,8424,5382328320,2635522048,7956750336,11034148864,2688,6892,14048,183097,Mar-23 13:45:10,0,0,0,0,0,1204,26,34,0,0,0
