"Dstat 1.1.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --bytes --output dstat/data/csv/dool/sys.csv --time --sys 1 600",,,,"Date:","22 Mar 2023 21:22:04 -03"
"system","system",
Mar-22 21:26:41,1955,4608
Mar-22 21:26:42,1412,2243
Mar-22 21:26:43,1544,2424
Mar-22 21:26:44,1543,3033
Mar-22 21:26:45,1662,2958
Mar-22 21:26:46,1830,3631
Mar-22 21:26:47,1604,2466
Mar-22 21:26:48,1675,2672
Mar-22 21:26:49,1566,2491
Mar-22 21:26:50,1659,3702
Mar-22 21:26:51,1815,4647
Mar-22 21:26:52,1853,3645
Mar-22 21:26:53,1636,2470
Mar-22 21:26:54,1436,2259
Mar-22 21:26:55,1670,3530
Mar-22 21:26:56,1723,3846
Mar-22 21:26:57,3311,35687
Mar-22 21:26:58,1584,2913
Mar-22 21:26:59,1609,2427
Mar-22 21:27:00,1822,3697
Mar-22 21:27:01,2015,5663
Mar-22 21:27:02,3237,9188
Mar-22 21:27:03,1737,2642
Mar-22 21:27:04,1478,2356
Mar-22 21:27:05,1748,3739
Mar-22 21:27:06,1729,3596
Mar-22 21:27:07,1600,2455
Mar-22 21:27:08,1523,2426
Mar-22 21:27:09,1594,2453
Mar-22 21:27:10,1657,3461
Mar-22 21:27:11,1537,2879
Mar-22 21:27:12,1572,3008
Mar-22 21:27:13,1653,3416
Mar-22 21:27:14,1676,2814
Mar-22 21:27:15,1613,3554
Mar-22 21:27:16,1422,2314
Mar-22 21:27:17,1629,3499
Mar-22 21:27:18,1565,2478
Mar-22 21:27:19,4067,20140
Mar-22 21:27:20,1707,3586
Mar-22 21:27:21,1450,2466
Mar-22 21:27:22,1717,3681
Mar-22 21:27:23,1579,2598
Mar-22 21:27:24,1814,3684
Mar-22 21:27:25,1876,4652
Mar-22 21:27:26,1665,2892
Mar-22 21:27:27,1611,3609
Mar-22 21:27:28,1656,2588
Mar-22 21:27:29,1490,2379
Mar-22 21:27:30,1658,3585
Mar-22 21:27:31,1527,2400
Mar-22 21:27:32,1689,3594
Mar-22 21:27:33,1694,2926
Mar-22 21:27:34,1534,2390
Mar-22 21:27:35,1843,4539
Mar-22 21:27:36,1703,2761
Mar-22 21:27:37,1791,4343
Mar-22 21:27:38,1652,2666
Mar-22 21:27:39,1423,2196
Mar-22 21:27:40,1713,3581
Mar-22 21:27:41,2206,3509
Mar-22 21:27:42,4026,38508
Mar-22 21:27:43,2732,4541
Mar-22 21:27:44,2459,3971
Mar-22 21:27:45,2699,5221
Mar-22 21:27:46,2857,5192
Mar-22 21:27:47,2576,5049
Mar-22 21:27:48,4274,10245
Mar-22 21:27:49,2615,4157
Mar-22 21:27:50,2523,5217
Mar-22 21:27:51,2503,4013
Mar-22 21:27:52,2647,5267
Mar-22 21:27:53,2562,4172
Mar-22 21:27:54,2407,3973
Mar-22 21:27:55,2695,5286
Mar-22 21:27:56,2611,4683
Mar-22 21:27:57,2654,5326
Mar-22 21:27:58,2664,4361
Mar-22 21:27:59,2565,4235
Mar-22 21:28:00,3083,6411
Mar-22 21:28:01,1901,7528
Mar-22 21:28:02,1836,3773
Mar-22 21:28:03,1532,2473
Mar-22 21:28:04,1718,3115
Mar-22 21:28:05,1653,3394
Mar-22 21:28:06,1347,2256
Mar-22 21:28:07,1620,3459
Mar-22 21:28:08,1787,3481
Mar-22 21:28:09,1426,2349
Mar-22 21:28:10,1734,3624
Mar-22 21:28:11,1393,2321
Mar-22 21:28:12,1653,3688
Mar-22 21:28:13,1697,2878
Mar-22 21:28:14,1685,2538
Mar-22 21:28:15,1733,3714
Mar-22 21:28:16,1486,2405
Mar-22 21:28:17,1747,3624
Mar-22 21:28:18,1454,2176
Mar-22 21:28:19,1639,3371
Mar-22 21:28:20,1672,3580
Mar-22 21:28:21,1547,2285
Mar-22 21:28:22,1726,3426
Mar-22 21:28:23,1416,2321
Mar-22 21:28:24,1429,2442
Mar-22 21:28:25,1539,2404
Mar-22 21:28:26,1644,3557
Mar-22 21:28:27,2855,36784
Mar-22 21:28:28,1657,2966
Mar-22 21:28:29,1492,2713
Mar-22 21:28:30,1701,3302
Mar-22 21:28:31,1792,3567
Mar-22 21:28:32,1659,3587
Mar-22 21:28:33,1483,2441
Mar-22 21:28:34,1446,2243
Mar-22 21:28:35,1443,2455
Mar-22 21:28:36,1851,4094
Mar-22 21:28:37,1748,3616
Mar-22 21:28:38,1773,3411
Mar-22 21:28:39,1592,2513
Mar-22 21:28:40,1542,2441
Mar-22 21:28:41,1640,4423
Mar-22 21:28:42,1649,3518
Mar-22 21:28:43,1725,2728
Mar-22 21:28:44,1387,2252
Mar-22 21:28:45,1381,2290
Mar-22 21:28:46,1726,3638
Mar-22 21:28:47,1477,2379
Mar-22 21:28:48,1674,3520
Mar-22 21:28:49,1558,2426
Mar-22 21:28:50,1664,2574
Mar-22 21:28:51,1671,3623
Mar-22 21:28:52,1611,3307
Mar-22 21:28:53,1948,4068
Mar-22 21:28:54,1485,2365
Mar-22 21:28:55,1532,2713
Mar-22 21:28:56,1743,3585
Mar-22 21:28:57,1543,2429
Mar-22 21:28:58,1682,3790
Mar-22 21:28:59,1406,2181
Mar-22 21:29:00,1528,2383
Mar-22 21:29:01,2868,10693
Mar-22 21:29:02,1524,2344
Mar-22 21:29:03,1879,4681
Mar-22 21:29:04,1455,2407
Mar-22 21:29:05,1417,2296
Mar-22 21:29:06,1547,3498
Mar-22 21:29:07,1536,2422
Mar-22 21:29:08,1756,3801
Mar-22 21:29:09,1518,2389
Mar-22 21:29:10,1615,2575
Mar-22 21:29:11,1731,4087
Mar-22 21:29:12,1767,3124
Mar-22 21:29:13,2503,36222
Mar-22 21:29:14,1870,3548
Mar-22 21:29:15,1511,2352
Mar-22 21:29:16,1710,3667
Mar-22 21:29:17,1435,2329
Mar-22 21:29:18,1763,3639
Mar-22 21:29:19,1460,2359
Mar-22 21:29:20,1403,2349
Mar-22 21:29:21,3524,10103
Mar-22 21:29:22,1570,2531
Mar-22 21:29:23,1700,3675
Mar-22 21:29:24,1593,3130
Mar-22 21:29:25,1663,2471
Mar-22 21:29:26,1571,3396
Mar-22 21:29:27,1526,2366
Mar-22 21:29:28,1761,3611
Mar-22 21:29:29,1520,2586
Mar-22 21:29:30,1522,2325
Mar-22 21:29:31,1721,3604
Mar-22 21:29:32,1529,2335
Mar-22 21:29:33,1521,3491
Mar-22 21:29:34,1547,2526
Mar-22 21:29:35,1505,2977
Mar-22 21:29:36,1831,3841
Mar-22 21:29:37,1640,2619
Mar-22 21:29:38,1718,3995
Mar-22 21:29:39,1723,3293
Mar-22 21:29:40,1529,2449
Mar-22 21:29:41,1642,3714
Mar-22 21:29:42,1634,2814
Mar-22 21:29:43,1651,3487
Mar-22 21:29:44,1559,2569
Mar-22 21:29:45,1339,2196
Mar-22 21:29:46,1785,4810
Mar-22 21:29:47,1573,2405
Mar-22 21:29:48,1695,3745
Mar-22 21:29:49,1697,2839
Mar-22 21:29:50,1756,2797
Mar-22 21:29:51,1661,3569
Mar-22 21:29:52,1556,2396
Mar-22 21:29:53,1682,3463
Mar-22 21:29:54,1613,2373
Mar-22 21:29:55,1479,2362
Mar-22 21:29:56,1655,3735
Mar-22 21:29:57,1633,3233
Mar-22 21:29:58,3140,37477
Mar-22 21:29:59,1696,3242
Mar-22 21:30:00,1638,2512
Mar-22 21:30:01,1919,5961
Mar-22 21:30:02,1548,2795
Mar-22 21:30:03,1774,3886
Mar-22 21:30:04,1475,2369
Mar-22 21:30:05,1436,2270
Mar-22 21:30:06,1486,2320
Mar-22 21:30:07,1770,3627
Mar-22 21:30:08,1981,4405
Mar-22 21:30:09,1521,2309
Mar-22 21:30:10,1627,2597
Mar-22 21:30:11,1604,3205
Mar-22 21:30:12,1669,3692
Mar-22 21:30:13,1543,3538
Mar-22 21:30:14,1673,2677
Mar-22 21:30:15,1497,2378
Mar-22 21:30:16,1677,2573
Mar-22 21:30:17,1532,3542
Mar-22 21:30:18,1666,3534
Mar-22 21:30:19,1962,4040
Mar-22 21:30:20,1597,2423
Mar-22 21:30:21,1586,2628
Mar-22 21:30:22,1610,3469
Mar-22 21:30:23,1595,2648
Mar-22 21:30:24,1697,3612
Mar-22 21:30:25,1477,2308
Mar-22 21:30:26,1456,2178
Mar-22 21:30:27,1729,3467
Mar-22 21:30:28,1637,2634
Mar-22 21:30:29,1710,3712
Mar-22 21:30:30,1605,3209
Mar-22 21:30:31,1574,2397
Mar-22 21:30:32,1606,3531
Mar-22 21:30:33,2772,7108
Mar-22 21:30:34,1718,3614
Mar-22 21:30:35,1454,2228
Mar-22 21:30:36,1443,2214
Mar-22 21:30:37,1808,3667
Mar-22 21:30:38,1464,2433
Mar-22 21:30:39,1663,3616
Mar-22 21:30:40,1638,2831
Mar-22 21:30:41,1734,4128
Mar-22 21:30:42,1643,3530
Mar-22 21:30:43,2500,43963
Mar-22 21:30:44,1778,3928
Mar-22 21:30:45,1352,2211
Mar-22 21:30:46,1534,2402
Mar-22 21:30:47,1559,3524
Mar-22 21:30:48,1694,2646
Mar-22 21:30:49,1652,3471
Mar-22 21:30:50,1508,2321
Mar-22 21:30:51,1694,3142
Mar-22 21:30:52,1750,3757
Mar-22 21:30:53,1491,2435
Mar-22 21:30:54,1733,3748
Mar-22 21:30:55,1575,2469
Mar-22 21:30:56,3408,15230
Mar-22 21:30:57,1783,3604
Mar-22 21:30:58,1565,2427
Mar-22 21:30:59,1923,4543
Mar-22 21:31:00,1590,2394
Mar-22 21:31:01,1766,4528
Mar-22 21:31:02,1559,3404
Mar-22 21:31:03,1567,2494
Mar-22 21:31:04,1918,4530
Mar-22 21:31:05,1539,2378
Mar-22 21:31:06,1580,2473
Mar-22 21:31:07,1765,3707
Mar-22 21:31:08,1567,2381
Mar-22 21:31:09,1696,3617
Mar-22 21:31:10,1506,2354
Mar-22 21:31:11,1628,2791
Mar-22 21:31:12,1762,3685
Mar-22 21:31:13,1455,2258
Mar-22 21:31:14,3239,9063
Mar-22 21:31:15,1657,3270
Mar-22 21:31:16,1443,2352
Mar-22 21:31:17,1814,3684
Mar-22 21:31:18,1477,2337
Mar-22 21:31:19,1774,3782
Mar-22 21:31:20,1483,2351
Mar-22 21:31:21,1380,2227
Mar-22 21:31:22,1829,3702
Mar-22 21:31:23,1469,2431
Mar-22 21:31:24,1716,3604
Mar-22 21:31:25,1718,3217
Mar-22 21:31:26,1805,3024
Mar-22 21:31:27,1724,3520
Mar-22 21:31:28,2626,35999
Mar-22 21:31:29,1860,4738
Mar-22 21:31:30,1470,2326
Mar-22 21:31:31,1591,2678
Mar-22 21:31:32,1642,3579
Mar-22 21:31:33,1510,2437
Mar-22 21:31:34,3473,9820
Mar-22 21:31:35,1504,2260
Mar-22 21:31:36,1695,3321
Mar-22 21:31:37,1797,3638
Mar-22 21:31:38,1522,2364
Mar-22 21:31:39,1777,3711
Mar-22 21:31:40,1590,2394
Mar-22 21:31:41,1441,2291
Mar-22 21:31:42,1599,3583
Mar-22 21:31:43,2129,3412
Mar-22 21:31:44,1639,3700
Mar-22 21:31:45,1435,2210
Mar-22 21:31:46,1566,2410
Mar-22 21:31:47,1663,3348
Mar-22 21:31:48,1810,3785
Mar-22 21:31:49,1938,4987
Mar-22 21:31:50,2018,7855
Mar-22 21:31:51,2182,8112
Mar-22 21:31:52,2146,7057
Mar-22 21:31:53,2336,10285
Mar-22 21:31:54,2434,8508
Mar-22 21:31:55,2289,8975
Mar-22 21:31:56,2328,8229
Mar-22 21:31:57,2146,8034
Mar-22 21:31:58,2451,9246
Mar-22 21:31:59,2148,7727
Mar-22 21:32:00,2410,8505
Mar-22 21:32:01,2408,11536
Mar-22 21:32:02,2159,8114
Mar-22 21:32:03,2786,10045
