"Dstat 1.1.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dool/udp_proc_unix_disk.csv --udp --proc --unix --disk 1 600",,,,"Date:","23 Mar 2023 13:42:08 -03"
"udp",,"procs",,,"unix sockets",,,,"dsk/total",
25,13,0,0,0,56,977,55,922,0,2129920
25,13,1,0,8,56,977,55,922,0,0
25,13,2,0,8,56,977,55,922,0,0
25,13,3,0,0,56,977,55,922,0,19308544
25,13,2,0,0,56,977,55,922,0,0
25,13,1,0,0,56,977,55,922,0,1662976
25,13,2,0,8,56,977,55,922,0,0
25,13,3,0,8,56,975,55,920,0,245760
25,13,1,0,1,56,975,55,920,0,3694592
25,13,1,0,0,56,975,55,920,0,0
25,13,1,0,0,56,975,55,920,0,0
25,13,1,0,8,56,975,55,920,0,0
25,13,3,0,8,56,975,55,920,0,2875392
25,13,1,0,0,56,975,55,920,0,9216000
25,13,1,0,0,56,975,55,920,0,0
25,13,0,0,0,56,975,55,920,0,475136
25,13,1,0,8,56,975,55,920,0,0
25,13,1,0,8,56,975,55,920,0,0
25,13,2,0,0,56,975,55,920,0,8069120
25,13,2,0,0,56,975,55,920,0,0
25,13,2,0,1,56,975,55,920,0,819200
25,13,0,0,8,56,975,55,920,0,204800
25,13,2,0,8,56,975,55,920,0,0
25,13,1,0,0,56,975,55,920,0,0
25,13,2,0,0,56,975,55,920,0,3162112
25,13,3,0,20,56,979,55,924,0,0
25,13,2,0,4,56,979,55,924,0,827392
25,13,2,0,12,56,979,55,924,0,0
25,13,1,0,0,56,979,55,924,0,98304
25,13,2,0,0,56,979,55,924,0,5160960
25,14,0,0,0,56,979,55,924,0,0
25,14,2,0,0,56,979,55,924,0,0
25,15,1,0,58,56,995,55,940,0,901120
25,16,1,0,2,56,995,55,940,0,6873088
25,16,1,0,0,56,995,55,940,0,12509184
25,17,3,0,1,56,995,55,940,0,0
28,17,2,0,0,56,995,55,940,0,3989504
28,17,5,0,16,56,995,55,940,0,0
28,17,1,0,8,56,995,55,940,8192,0
28,17,1,0,0,56,995,55,940,0,19341312
28,17,2,0,0,56,995,55,940,0,0
25,17,1,0,0,56,995,55,940,0,2809856
25,17,1,0,16,56,995,55,940,0,647168
25,17,1,0,0,56,995,55,940,0,0
25,17,2,0,1,56,995,55,940,0,122880
25,17,0,0,0,56,995,55,940,0,0
25,17,1,0,0,56,995,55,940,0,1286144
25,17,0,0,17,56,995,55,940,0,0
25,17,2,0,0,56,995,55,940,0,2834432
25,17,1,0,0,56,995,55,940,0,13107200
25,17,1,0,0,56,995,55,940,0,925696
25,17,2,0,0,56,995,55,940,0,0
25,17,0,0,16,56,979,55,924,0,0
25,17,2,0,0,56,979,55,924,0,0
25,17,2,0,0,56,979,55,924,0,8110080
25,17,3,0,0,56,975,55,920,0,1228800
25,17,3,0,0,56,975,55,920,0,0
25,17,1,0,13,56,975,55,920,0,0
25,17,1,0,4,56,975,55,920,0,1654784
25,16,1,0,0,56,975,55,920,0,5005312
25,16,0,0,0,56,975,55,920,0,0
25,15,2,0,0,56,975,55,920,0,0
25,15,2,0,9,56,975,55,920,0,1212416
25,15,2,0,8,56,975,55,920,0,0
25,15,1,0,0,56,975,55,920,0,2793472
25,13,1,0,0,56,975,55,920,0,2113536
25,13,1,0,0,56,975,55,920,0,0
25,13,2,0,8,56,975,55,920,0,606208
25,13,2,0,8,56,975,55,920,0,0
25,13,2,0,1,56,975,55,920,0,1359872
25,13,2,0,0,56,975,55,920,0,8306688
25,13,2,0,0,56,975,55,920,0,0
25,13,2,0,8,56,975,55,920,0,0
25,13,1,0,8,56,977,55,922,0,0
25,13,1,0,0,56,975,55,920,0,1728512
25,13,1,0,0,56,975,55,920,0,6070272
25,13,2,0,0,56,975,55,920,0,0
25,13,2,0,8,56,975,55,920,0,0
25,13,1,0,8,56,975,55,920,0,0
25,13,3,0,0,56,975,55,920,0,999424
25,13,3,0,0,56,975,55,920,0,13459456
25,13,2,0,1,56,975,55,920,81920,0
25,13,2,0,8,56,975,55,920,0,0
25,13,1,0,8,56,975,55,920,0,0
25,13,1,0,0,56,975,55,920,0,2605056
25,13,3,0,0,56,975,55,920,0,12140544
25,13,2,0,0,56,975,55,920,0,0
25,13,0,0,8,56,975,55,920,0,598016
25,13,3,0,8,56,975,55,920,0,0
25,13,2,0,0,56,975,55,920,0,0
25,14,1,0,0,56,975,55,920,0,5144576
25,14,0,0,0,56,975,55,920,0,0
25,14,0,0,8,56,975,55,920,0,745472
25,14,4,0,9,56,975,55,920,0,0
25,14,0,0,0,56,975,55,920,0,0
25,14,0,0,0,56,975,55,920,0,8716288
25,14,1,1,0,56,975,55,920,0,884736
25,14,3,0,8,56,975,55,920,0,0
25,14,2,0,18,56,975,55,920,0,1482752
25,14,2,0,0,56,975,55,920,0,0
25,14,2,0,0,56,975,55,920,0,3399680
25,14,1,0,0,56,975,55,920,0,0
25,14,2,0,8,56,975,55,920,0,0
25,14,1,0,8,56,975,55,920,0,811008
25,14,0,0,1,56,975,55,920,0,0
25,14,1,0,0,56,975,55,920,0,5177344
25,15,0,0,1,56,975,55,920,0,1400832
25,15,2,0,8,56,975,55,920,0,0
25,15,2,0,8,56,975,55,920,0,0
25,15,2,0,0,56,975,55,920,0,0
25,15,1,0,0,56,975,55,920,0,0
25,15,1,0,0,56,975,55,920,0,8740864
25,15,2,0,8,56,975,55,920,0,0
25,15,2,0,8,56,975,55,920,0,0
25,15,2,0,0,56,975,55,920,0,1785856
25,15,1,0,0,56,975,55,920,0,368640
25,15,2,0,0,56,975,55,920,0,21766144
25,15,0,0,8,56,975,55,920,0,0
25,15,1,0,9,56,975,55,920,0,0
25,14,1,0,0,56,975,55,920,0,761856
25,14,1,0,0,56,975,55,920,0,0
25,14,1,0,0,56,975,55,920,0,7020544
25,14,1,0,7,56,975,55,920,0,0
25,14,1,0,9,56,975,55,920,0,0
25,14,1,0,0,56,975,55,920,0,2686976
25,14,1,0,0,56,975,55,920,0,0
25,14,2,0,0,56,975,55,920,0,6356992
25,14,2,0,0,56,975,55,920,0,663552
25,14,2,0,16,56,975,55,920,0,0
25,14,2,0,0,56,975,55,920,0,2351104
25,14,4,0,1,56,975,55,920,32768,0
25,14,2,0,0,56,975,55,920,0,9068544
25,14,1,0,0,56,975,55,920,0,0
25,14,1,0,16,56,975,55,920,0,0
25,14,0,0,0,56,975,55,920,0,1032192
25,14,3,0,0,56,975,55,920,0,0
25,14,1,0,0,56,975,55,920,0,7946240
25,14,1,0,0,56,975,55,920,0,0
25,14,3,0,16,56,975,55,920,0,0
25,14,2,0,0,56,975,55,920,0,0
25,14,1,0,0,56,975,55,920,0,729088
25,14,1,0,0,56,975,55,920,0,409600
25,14,3,0,1,56,975,55,920,0,0
25,14,0,0,16,56,975,55,920,0,0
25,14,2,0,0,56,975,55,920,0,0
25,14,0,0,0,56,975,55,920,0,581632
25,14,1,0,0,56,975,55,920,0,8224768
25,14,1,0,0,56,975,55,920,0,0
25,13,0,0,16,56,975,55,920,0,0
25,13,1,0,0,56,975,55,920,0,0
25,13,4,0,0,56,975,55,920,0,573440
25,13,0,0,0,56,975,55,920,0,0
25,13,1,0,0,56,975,55,920,0,9216000
25,14,1,0,12,56,975,55,920,0,1892352
25,14,1,0,4,56,975,55,920,0,655360
25,14,0,0,1,56,975,55,920,0,0
28,14,0,0,0,56,975,55,920,0,0
28,14,3,0,0,56,975,55,920,0,14630912
28,14,2,0,16,56,975,55,920,0,0
28,14,0,0,8,56,975,55,920,0,1761280
28,14,1,0,0,56,975,55,920,0,0
25,14,3,0,0,56,975,55,920,0,0
25,14,0,0,0,56,975,55,920,0,8790016
25,14,3,0,8,56,975,55,920,0,0
25,14,1,0,8,56,975,55,920,0,3137536
25,14,5,0,0,56,975,55,920,0,0
25,14,1,0,0,56,975,55,920,0,0
25,14,0,0,1,56,975,55,920,81920,9306112
25,14,2,0,8,56,975,55,920,0,638976
25,14,1,0,8,56,975,55,920,0,0
25,14,1,0,0,56,975,55,920,0,0
25,14,4,0,0,56,977,55,922,0,0
25,14,1,0,0,56,975,55,920,0,4972544
25,14,4,0,9,56,975,55,920,0,524288
25,14,5,0,8,56,975,55,920,0,0
25,14,2,0,0,56,975,55,920,0,696320
25,14,0,0,0,56,975,55,920,0,0
25,14,1,0,1,56,975,55,920,0,3268608
25,14,1,0,8,56,975,55,920,0,1138688
25,14,1,0,9,56,975,55,920,0,0
25,14,2,0,0,56,975,55,920,0,0
25,14,2,0,0,56,975,55,920,0,0
25,14,3,0,0,56,975,55,920,0,8208384
25,14,0,0,8,56,975,55,920,0,1138688
25,14,2,0,8,56,975,55,920,0,0
25,14,2,0,0,56,975,55,920,0,0
25,14,2,0,0,56,975,55,920,0,0
25,14,2,0,0,56,975,55,920,0,6160384
25,14,1,0,8,56,975,55,920,0,1949696
25,14,2,0,8,56,975,55,920,0,237568
25,16,0,0,0,56,975,55,920,0,0
25,16,1,0,1,56,975,55,920,40960,0
25,16,3,1,0,56,975,55,920,0,8486912
25,16,2,0,8,56,975,55,920,0,14901248
25,17,2,0,21,56,983,55,928,0,1794048
25,17,2,0,5,56,975,55,920,0,0
25,19,1,0,1,56,975,55,920,0,0
25,18,0,0,0,56,975,55,920,0,860160
25,18,2,0,8,56,975,55,920,0,3604480
25,18,1,0,8,56,975,55,920,0,0
25,18,0,0,0,56,975,55,920,0,2965504
25,18,1,0,0,56,975,55,920,0,0
25,18,2,0,0,56,975,55,920,0,0
25,18,1,0,8,56,975,55,920,0,5537792
25,18,2,0,9,56,975,55,920,0,0
25,18,1,0,0,56,975,55,920,0,0
25,18,2,0,0,56,975,55,920,0,1351680
25,18,1,0,0,56,975,55,920,0,237568
25,18,1,0,8,56,975,55,920,0,8421376
25,18,2,0,8,56,975,55,920,0,688128
25,18,2,0,0,56,975,55,920,0,0
25,18,1,0,0,56,975,55,920,0,0
25,18,7,0,0,56,975,55,920,0,0
25,18,0,0,8,56,975,55,920,0,3383296
25,18,0,0,8,56,975,55,920,0,819200
25,18,2,0,0,56,975,55,920,0,270336
25,18,2,0,1,56,975,55,920,0,0
25,18,0,0,0,56,975,55,920,0,1138688
25,18,1,0,16,56,975,55,920,0,9273344
25,16,1,0,8,56,975,55,920,0,696320
25,16,1,0,0,56,975,55,920,0,475136
25,16,2,0,0,56,975,55,920,0,0
25,16,3,0,0,56,975,55,920,0,0
25,16,2,0,1,56,975,55,920,0,7856128
25,15,1,0,15,56,975,55,920,0,3383296
25,14,1,0,2,56,975,55,920,0,0
25,14,1,0,0,56,975,55,920,0,1597440
25,14,1,0,0,56,975,55,920,0,0
25,14,3,0,1,56,975,55,920,73728,23764992
25,14,2,0,16,56,975,55,920,0,0
25,14,3,0,0,56,975,55,920,0,0
25,14,3,0,0,56,975,55,920,0,1662976
25,14,1,0,0,56,975,55,920,0,0
25,14,1,0,0,56,975,55,920,0,3260416
25,14,1,0,16,56,975,55,920,0,0
25,14,3,0,0,56,975,55,920,0,0
25,14,1,0,0,56,975,55,920,0,3137536
25,14,1,0,0,56,975,55,920,0,0
25,14,1,0,0,56,975,55,920,0,0
25,14,1,0,16,56,975,55,920,0,5169152
25,14,1,0,1,56,975,55,920,0,0
25,14,2,0,0,56,975,55,920,0,737280
25,14,3,0,0,56,975,55,920,0,0
25,14,3,0,0,56,975,55,920,0,0
25,14,0,0,16,56,975,55,920,0,9609216
25,14,1,0,0,56,975,55,920,0,0
25,14,1,0,0,56,975,55,920,0,368640
25,14,1,0,0,56,975,55,920,0,0
25,14,3,0,0,56,975,55,920,0,0
25,14,3,0,12,56,975,55,920,0,8175616
25,14,3,0,4,56,975,55,920,0,0
25,14,2,0,0,56,975,55,920,0,802816
25,14,3,0,0,56,975,55,920,0,0
25,14,1,0,1,56,975,55,920,0,0
25,14,1,0,8,56,975,55,920,0,417792
25,13,2,0,8,56,975,55,920,0,0
25,13,5,0,0,56,975,55,920,0,679936
25,13,0,0,0,56,975,55,920,0,0
25,13,1,0,0,56,975,55,920,0,360448
25,13,2,0,8,56,975,55,920,0,10067968
25,13,1,0,8,56,975,55,920,0,868352
25,13,1,0,0,56,975,55,920,0,0
25,13,2,0,0,56,975,55,920,0,0
25,13,2,0,0,56,975,55,920,0,0
25,13,5,0,8,56,975,55,920,0,11657216
25,13,3,0,9,56,975,55,920,0,1769472
25,13,1,0,0,56,975,55,920,0,0
25,13,1,0,0,56,975,55,920,0,311296
25,13,1,0,0,56,975,55,920,0,1122304
25,13,2,0,8,56,975,55,920,0,10444800
25,13,0,0,8,56,975,55,920,0,0
25,13,3,0,0,56,975,55,920,0,0
25,13,2,0,0,56,975,55,920,0,0
25,13,1,0,0,56,975,55,920,0,2482176
25,13,1,0,8,56,975,55,920,0,8093696
25,13,1,0,8,56,975,55,920,0,0
28,13,1,0,1,56,975,55,920,0,0
28,13,1,0,1,56,975,55,920,0,0
28,13,3,0,8,56,975,55,920,0,745472
28,13,2,0,8,56,975,55,920,0,0
28,13,2,0,8,56,975,55,920,0,8126464
25,13,1,0,0,56,975,55,920,0,0
25,13,2,0,0,56,975,55,920,0,0
25,13,2,0,0,56,975,55,920,0,778240
25,13,1,0,8,56,975,55,920,0,0
25,13,2,0,9,56,975,55,920,0,5840896
25,14,1,0,0,56,975,55,920,0,0
25,13,0,0,0,56,977,55,922,0,0
25,13,1,0,0,56,977,55,922,0,843776
25,13,2,0,9,56,977,55,922,0,376832
25,13,1,0,8,56,977,55,922,0,3661824
25,13,2,0,0,56,977,55,922,0,0
25,13,0,0,0,56,977,55,922,0,0
25,13,1,0,0,56,977,55,922,0,0
25,13,1,0,8,56,977,55,922,0,761856
25,13,1,0,8,56,977,55,922,0,10412032
25,13,2,0,0,56,977,55,922,0,0
25,13,1,0,0,56,977,55,922,0,0
25,13,4,0,0,56,979,55,924,0,0
25,13,1,0,8,56,977,55,922,0,778240
25,13,1,0,8,56,977,55,922,0,10469376
25,13,2,0,0,56,977,55,922,0,0
25,13,1,0,1,56,977,55,922,0,0
25,13,3,0,0,56,977,55,922,0,0
25,13,0,0,8,56,977,55,922,0,0
25,13,5,0,8,56,977,55,922,0,20004864
25,13,6,0,0,56,977,55,922,0,0
25,13,2,0,0,56,975,55,920,0,434176
25,13,1,0,0,56,975,55,920,0,0
25,13,1,0,8,56,975,55,920,0,0
25,13,2,0,8,56,975,55,920,0,3350528
25,13,3,0,0,56,975,55,920,0,0
25,13,1,0,0,56,975,55,920,0,2686976
25,13,0,0,0,56,975,55,920,0,0
25,13,2,0,5,56,975,55,920,0,0
25,14,10,0,12,56,975,55,920,0,5668864
25,14,1,0,0,56,975,55,920,0,0
25,14,2,0,0,56,975,55,920,0,0
25,14,2,0,0,56,975,55,920,0,0
25,14,2,0,0,56,975,55,920,0,0
25,14,4,0,16,56,975,55,920,0,5300224
25,14,1,0,0,56,975,55,920,0,3932160
25,14,2,0,0,56,975,55,920,0,0
25,14,1,0,0,56,975,55,920,0,0
25,14,3,0,0,56,975,55,920,0,0
25,14,2,0,34,56,979,55,924,16384,1228800
25,14,1,0,1,56,979,55,924,196608,9101312
25,14,1,0,0,56,979,55,924,0,1015808
25,14,4,0,0,56,979,55,924,0,237568
25,14,2,0,0,56,979,55,924,0,0
25,15,1,0,16,56,979,55,924,0,0
25,15,1,0,0,56,979,55,924,0,7323648
25,17,2,0,39,56,993,55,938,0,966656
25,17,3,0,1,56,993,55,938,0,622592
25,17,2,0,0,56,993,55,938,0,0
25,17,1,0,16,56,995,55,940,0,0
25,17,2,0,0,56,993,55,938,0,6438912
25,17,2,0,0,56,993,55,938,0,0
25,17,2,0,9,56,993,55,938,0,581632
25,17,2,0,0,56,993,55,938,16384,0
25,17,1,0,17,56,993,55,938,0,0
25,17,3,0,0,56,993,55,938,0,18374656
25,17,1,0,0,56,993,55,938,0,3252224
25,17,2,0,0,56,993,55,938,0,0
25,16,1,0,0,56,993,55,938,0,0
25,16,2,0,12,56,993,55,938,0,0
25,16,1,0,4,56,993,55,938,0,3227648
25,16,1,0,0,56,993,55,938,0,917504
25,16,2,0,0,56,987,55,932,0,0
25,16,0,0,0,56,987,55,932,0,0
25,16,1,0,8,56,987,55,932,0,2433024
25,16,1,0,9,56,987,55,932,0,5619712
25,16,3,0,0,56,987,55,932,0,0
25,16,1,0,0,56,987,55,932,0,0
25,16,3,0,0,56,987,55,932,0,1138688
25,16,0,0,8,56,983,55,928,0,1089536
25,16,2,0,8,56,983,55,928,0,9699328
25,16,1,0,0,56,983,55,928,0,0
25,16,2,0,0,56,983,55,928,0,0
25,15,1,0,0,56,983,55,928,0,0
25,15,3,0,8,56,983,55,928,0,720896
25,14,3,0,8,56,983,55,928,0,8314880
25,13,1,0,3,56,983,55,928,0,1245184
25,13,2,0,1,56,975,55,920,0,0
25,13,1,0,0,56,975,55,920,0,0
25,13,1,0,8,56,975,55,920,0,0
25,13,1,0,8,56,975,55,920,0,0
25,13,4,0,0,56,975,55,920,0,5201920
25,13,2,0,0,56,975,55,920,0,0
25,13,3,0,0,56,975,55,920,0,0
25,13,2,0,8,56,975,55,920,0,0
25,13,3,0,8,56,975,55,920,0,761856
25,13,2,0,0,56,975,55,920,0,10010624
25,13,3,0,0,56,977,55,922,0,0
25,13,1,0,0,56,977,55,922,0,0
25,13,2,0,9,56,975,55,920,139264,991232
25,13,2,0,8,56,975,55,920,0,0
25,13,4,0,0,56,975,55,920,0,8273920
25,14,2,0,0,56,975,55,920,0,0
25,15,1,0,0,56,975,55,920,0,0
25,15,2,0,8,56,975,55,920,0,2039808
25,15,2,0,8,56,975,55,920,0,0
25,15,1,0,0,56,975,55,920,0,15548416
25,15,6,0,0,56,975,55,920,0,0
25,15,1,0,0,56,975,55,920,0,0
25,15,1,0,8,56,975,55,920,0,1982464
25,15,1,0,8,56,975,55,920,0,0
25,15,2,0,1,56,975,55,920,0,7135232
25,18,1,0,0,56,975,55,920,0,0
25,15,3,0,0,56,975,55,920,0,0
25,16,2,0,8,56,975,55,920,0,2678784
25,16,2,0,8,56,975,55,920,0,0
25,16,2,0,0,56,975,55,920,0,9052160
25,16,1,0,0,56,975,55,920,0,458752
25,16,2,0,0,56,975,55,920,0,0
25,16,3,0,8,56,975,55,920,0,0
