"Dstat 1.1.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dool/raw_aio_vm_disk_udp.csv --raw --aio --vm --disk --udp 1 600",,,,"Date:","22 Mar 2023 21:32:08 -03"
"raw","async","virtual memory",,,,"dsk/total",,"udp",
0,0,0,1414,2482,2335,0,0,17,6
0,0,0,1843,1369,1462,0,0,17,6
0,0,0,466,692,316,0,0,17,6
0,0,0,1319,1380,1762,0,0,17,6
0,0,0,494,891,537,0,925696,17,6
0,0,0,1553,1640,1736,0,0,17,6
0,0,0,4708,5680,1042,0,0,17,6
0,0,0,492,645,533,0,0,17,6
0,0,0,1370,1386,1501,0,0,17,6
0,0,0,438,2488,2704,0,17096704,17,6
0,0,0,1298,1773,1654,0,0,17,6
0,0,0,36,383,533,0,1736704,17,6
0,0,0,106,552,413,0,147456,17,6
0,0,0,1583,1769,1846,0,49152,17,6
0,0,0,285,297,779,0,0,17,6
0,0,0,1297,1787,1678,0,0,17,6
0,0,0,1272,1461,730,0,0,17,6
0,0,0,7,82,206,0,0,17,6
0,0,0,1600,1598,1434,0,458752,17,6
0,0,0,476,283,555,0,49152,17,6
0,0,0,1364,1627,1758,0,0,17,6
0,0,0,193,454,119,0,0,17,6
0,0,0,281,89,97,0,0,17,6
0,0,0,1488,1622,2127,0,229376,17,6
0,0,0,113,522,131,0,0,17,6
0,0,0,1275,1631,1624,0,0,17,6
0,0,0,280,88,207,0,0,17,6
0,0,0,42,268,2007,0,0,17,6
0,0,0,1385,1556,1929,0,1327104,17,6
0,0,0,690,1100,1881,0,0,17,6
0,0,0,1811,2726,3069,0,5193728,17,6
0,0,0,458,243,365,0,0,17,6
0,0,0,85,92,108,0,0,17,6
0,0,0,1324,1526,1486,0,0,17,6
0,0,0,319,238,357,0,557056,17,6
0,0,0,1284,1636,1653,0,0,17,6
0,0,0,217,397,2545,0,0,17,6
0,0,0,137,268,232,0,0,17,6
0,0,0,1575,1371,1532,0,0,17,6
0,0,0,15,268,131,0,221184,17,6
0,0,0,1357,1636,1783,0,0,17,6
0,0,0,14,88,144,0,0,17,6
0,0,0,303,279,139,0,0,17,6
0,0,0,1599,1512,1652,0,0,17,6
0,0,0,47743,69937,39968,0,0,17,6
0,0,0,1315,3541,3669,8192,14286848,17,6
0,0,0,285,399,507,0,2408448,17,6
0,0,0,20,223,102,0,0,17,6
0,0,0,1404,1410,1651,0,0,17,6
0,0,0,22,387,462,0,0,17,6
0,0,0,1559,1771,1633,0,0,17,6
0,0,0,1098,1488,35204,0,0,17,6
0,0,0,90,105,247,0,0,17,6
0,0,0,1303,1546,1728,0,286720,17,6
0,0,0,324,408,105,0,0,17,6
0,0,0,1410,1654,1772,0,0,17,6
0,0,0,750,735,583,0,0,17,6
0,0,0,384,538,793,0,270336,17,6
0,0,0,1685,1925,1889,0,0,17,6
0,0,0,291,658,500,0,0,17,6
0,0,0,1326,1580,1446,0,0,17,6
0,0,0,1612,1371,1340,0,0,17,6
0,0,0,284,379,500,0,0,17,6
0,0,0,1313,1548,1417,0,286720,17,6
0,0,0,21,353,371,0,0,17,6
0,0,0,1348,1374,24658,0,0,17,6
0,0,0,448,1089,2016,0,5242880,17,6
0,0,0,18,392,942,0,0,17,6
0,0,0,1545,1232,1242,0,0,17,6
0,0,0,316,933,911,0,458752,17,6
0,0,0,1564,1362,1361,0,0,17,6
0,0,0,56,155,2734,0,0,17,6
0,0,0,260,756,579,0,0,17,6
0,0,0,85,98,86,0,0,17,6
0,0,0,1720,1808,1772,0,0,17,6
0,0,0,1286,1736,1613,0,1343488,20,6
0,0,0,12,462,469,0,2867200,20,6
0,0,0,75,354,482,0,0,20,6
0,0,0,308,251,95,0,0,20,6
0,0,0,1349,1729,1756,0,0,20,6
0,0,0,1607,1447,1368,0,540672,17,6
0,0,0,762,962,880,0,0,17,6
0,0,0,280,351,346,0,0,17,6
0,0,0,10,81,207,0,0,17,6
0,0,0,1330,1804,1669,0,0,17,6
0,0,0,73,182,307,0,147456,17,6
0,0,0,2445,2440,1705,0,0,17,6
0,0,0,15,779,658,0,2236416,17,6
0,0,0,4445,5362,929,0,0,17,6
0,0,0,52966,75063,91429,0,0,17,6
0,0,0,313,331,256,0,0,17,6
0,0,0,1289,1695,1855,0,2433024,17,6
0,0,0,478,668,533,0,0,17,6
0,0,0,315,355,470,0,0,17,6
0,0,0,1565,1366,1479,0,0,17,6
0,0,0,11,489,357,0,0,17,6
0,0,0,1479,1691,5356,0,458752,17,6
0,0,0,71,2361,2498,0,16211968,17,6
0,0,0,282,224,90,0,0,17,6
0,0,0,1311,1407,1393,0,0,17,6
0,0,0,474,777,1053,0,0,17,6
0,0,0,1346,1587,1459,0,0,17,6
0,0,0,276,540,535,0,1499136,17,6
0,0,0,31,124,262,0,0,17,6
0,0,0,1429,1759,65321,0,0,17,6
0,0,0,550,575,576,0,0,17,6
0,0,0,1579,1388,1498,0,0,17,6
0,0,0,128,614,451,0,0,17,6
0,0,0,240,352,245,0,196608,17,6
0,0,0,1388,1673,1738,0,0,17,6
0,0,0,594,405,490,0,0,17,6
0,0,0,1338,1868,1783,0,0,17,6
0,0,0,18,100,114,0,0,17,6
0,0,0,72,146,414,0,0,17,6
0,0,0,1739,2000,1705,0,311296,17,6
0,0,0,32,132,230,0,0,17,6
0,0,0,1283,1716,29350,0,0,17,6
0,0,0,389,391,246,0,0,17,6
0,0,0,306,508,603,0,3227648,17,6
0,0,0,1424,1983,1862,0,1490944,17,6
0,0,0,45,285,380,0,0,17,6
0,0,0,4644,4716,4223,0,0,17,6
0,0,0,276,86,82,0,0,17,6
0,0,0,7,237,99,0,0,17,6
0,0,0,1331,1754,1903,0,483328,17,6
0,0,0,71,87,81,0,0,17,6
0,0,0,1573,1831,2068,0,0,17,6
0,0,0,491,600,215,0,0,17,6
0,0,0,216,699,802,0,3293184,17,6
0,0,0,1823,2789,2662,0,0,17,6
0,0,0,317,372,677,0,434176,17,6
0,0,0,1285,1636,1640,0,0,17,6
0,0,0,20,226,118,0,0,17,6
0,0,0,111,149,237,0,196608,17,6
0,0,0,53398,75163,21993,0,0,17,6
0,0,0,219,393,227,0,0,17,6
0,0,0,1296,1661,4355,0,0,17,6
0,0,0,74,250,119,0,0,17,6
0,0,0,279,363,351,0,2162688,17,6
0,0,0,1325,3714,3806,8192,15998976,17,6
0,0,0,21,218,106,0,0,17,6
0,0,0,6402,7024,5127,0,0,17,6
0,0,0,479,319,1563,0,0,17,6
0,0,0,6,231,98,0,0,17,6
0,0,0,1314,1834,1944,0,1540096,17,6
0,0,0,95,125,294,0,0,17,6
0,0,0,1543,1767,1634,0,0,17,6
0,0,0,6,155,155,0,0,17,6
0,0,0,19,238,45219,0,0,17,6
0,0,0,1689,2226,2294,0,319488,17,6
0,0,0,285,114,222,0,0,17,6
0,0,0,1300,1672,1774,0,0,17,6
0,0,0,20,215,109,0,0,17,6
0,0,0,73,112,104,0,0,17,6
0,0,0,1888,1826,1929,0,188416,17,6
0,0,0,9,815,669,0,4587520,17,6
0,0,0,2461,2740,2244,0,0,17,6
0,0,0,232,536,372,0,0,17,6
0,0,0,315,278,149,0,0,17,6
0,0,0,1298,1743,1864,0,589824,17,6
0,0,0,25,86,92,0,0,17,6
0,0,0,1562,1732,1478,0,0,17,6
0,0,0,725,681,929,0,0,17,6
0,0,0,567,1053,10679,0,0,17,6
0,0,0,1455,1660,1880,0,0,17,6
0,0,0,76,383,509,0,0,17,6
0,0,0,2028,2015,2135,0,1343488,17,6
0,0,0,6,226,92,0,0,17,6
0,0,0,19,114,107,0,0,17,6
0,0,0,1388,1466,1832,0,0,17,6
0,0,0,434,1138,898,0,3751936,17,6
0,0,0,1277,1701,1695,0,483328,17,6
0,0,0,299,399,436,0,0,17,6
0,0,0,74,217,81,0,0,17,6
0,0,0,1293,1382,1620,0,0,17,6
0,0,0,304,382,226,0,0,17,6
0,0,0,17342,22615,11237,0,540672,17,8
0,0,0,557,2567,2888,0,0,17,8
0,0,0,498,351,501,0,499712,17,8
0,0,0,51871,74309,26642,0,0,17,8
0,0,0,680,2280,352,0,0,17,8
0,0,0,2934,3010,3078,0,0,17,8
0,0,0,6,226,112,0,0,17,8
0,0,0,199,418,680,0,2359296,17,8
0,0,0,1509,1835,1697,0,0,17,8
0,0,0,71,230,99,0,0,17,8
0,0,0,1803,2201,2235,0,1384448,17,8
0,0,0,620,570,20536,0,0,17,8
0,0,0,19,487,423,0,0,17,8
0,0,0,1340,1643,1774,0,0,17,8
0,0,0,387,283,462,0,0,17,8
0,0,0,28258,29018,18946,0,19931136,17,9
0,0,0,30737,34212,28805,0,3538944,17,11
0,0,0,6032,7974,7197,0,3309568,17,11
0,0,0,119,672,3255,0,0,17,11
0,0,0,17316,19058,22731,0,3612672,20,11
0,0,0,700,830,482,0,253952,20,11
0,0,0,746,1193,1376,0,0,20,11
0,0,0,3,114,224,0,0,20,11
0,0,0,109,533,664,0,0,20,14
0,0,0,1308,1390,1401,0,237568,17,11
0,0,0,90,629,746,0,0,17,11
0,0,0,2253,2906,29709,0,0,17,11
0,0,0,687,287,319,0,0,17,11
0,0,0,16,364,517,0,0,17,11
0,0,0,1495,1705,1580,0,294912,17,11
0,0,0,455,813,10603,0,417792,17,11
0,0,0,2076,2306,3516,0,0,17,11
0,0,0,19,235,2009,0,0,17,10
0,0,0,409,901,544,0,1359872,17,10
0,0,0,1437,1450,4595,0,0,17,10
0,0,0,294,1128,6699,0,6307840,17,10
0,0,0,1460,1831,1807,0,0,17,10
0,0,0,75,115,938,0,0,17,10
0,0,0,179,692,423,0,0,17,10
0,0,0,1930,1738,1864,0,737280,17,10
0,0,0,334,702,651,0,0,17,10
0,0,0,1842,1915,2009,0,0,17,10
0,0,0,42,268,101,0,0,17,10
0,0,0,344,290,877,0,0,17,10
0,0,0,1317,1690,1441,0,417792,17,9
0,0,0,479,1160,769,0,1138688,17,8
0,0,0,1283,1397,2058,0,0,17,8
0,0,0,208,245,154,0,0,17,8
0,0,0,592,1269,1424,0,0,17,7
0,0,0,52268,73878,21786,0,2007040,17,7
0,0,0,863,1620,949,0,0,17,7
0,0,0,1756,1515,1507,0,0,17,7
0,0,0,16,86,232,0,0,17,7
0,0,0,96,267,364,0,0,17,7
0,0,0,1303,1645,1387,0,0,17,6
0,0,0,4795,5899,2173,0,212992,17,6
0,0,0,1605,1850,2080,0,0,17,6
0,0,0,171,191,84,0,0,17,6
0,0,0,3,104,12363,0,0,17,6
0,0,0,1504,1827,3684,0,0,17,6
0,0,0,33,456,482,0,368640,17,6
0,0,0,1346,1382,1504,0,0,17,6
0,0,0,28,259,466,0,0,17,6
0,0,0,575,235,492,0,0,17,6
0,0,0,1699,2125,1629,0,245760,17,6
0,0,0,1645,1962,39165,0,0,17,6
0,0,0,1274,3911,3886,0,19873792,17,6
0,0,0,258,94,234,0,0,17,6
0,0,0,24,701,586,0,1687552,17,6
0,0,0,1362,1387,1495,0,0,17,6
0,0,0,8,440,975,0,0,17,6
0,0,0,2974,3016,2031,0,0,17,6
0,0,0,19,87,247,0,0,17,6
0,0,0,73,389,383,0,172032,17,6
0,0,0,1339,1527,1380,0,0,17,6
0,0,0,263,355,477,0,0,17,6
0,0,0,1746,1518,1611,0,0,17,6
0,0,0,374,535,246,0,0,17,6
0,0,0,41,199,3480,0,0,17,6
0,0,0,1735,1821,1413,0,0,17,6
0,0,0,105,760,576,0,1540096,17,6
0,0,0,1345,1423,1609,0,0,17,6
0,0,0,3,94,89,0,0,17,6
0,0,0,283,264,361,0,0,17,6
0,0,0,1317,1625,1511,0,0,17,6
0,0,0,467,959,1299,0,57344,17,6
0,0,0,1705,2021,1380,0,0,17,6
0,0,0,258,719,1120,0,5013504,17,6
0,0,0,483,377,524,0,0,17,6
0,0,0,1393,1666,1382,0,0,17,6
0,0,0,13,358,487,0,0,17,6
0,0,0,1847,1886,1643,0,507904,17,6
0,0,0,197,629,1185,0,0,17,6
0,0,0,488,517,411,0,0,17,6
0,0,0,54000,75766,23165,0,0,17,6
0,0,0,303,801,641,0,2179072,17,6
0,0,0,1289,1374,1400,0,0,17,6
0,0,0,73,356,482,0,0,17,6
0,0,0,28,2208,2055,0,15835136,17,6
0,0,0,1675,1515,1375,0,0,17,6
0,0,0,513,568,1112,0,0,17,6
0,0,0,1668,2024,1567,0,1368064,17,6
0,0,0,61,461,401,0,327680,17,6
0,0,0,292,155,279,0,0,17,6
0,0,0,1314,1540,1483,0,0,17,6
0,0,0,71,859,1106,0,0,17,6
0,0,0,1399,2555,2311,0,0,17,6
0,0,0,286,1334,1206,0,229376,17,6
0,0,0,18,871,1017,0,0,17,6
0,0,0,1505,2341,2272,0,0,17,6
0,0,0,31,1296,1203,0,0,17,6
0,0,0,1529,2170,2358,0,0,17,6
0,0,0,333,1354,1387,0,344064,17,6
0,0,0,287,1324,1236,0,0,17,6
0,0,0,1301,2711,2815,0,3694592,17,6
0,0,0,263,888,1141,0,0,17,6
0,0,0,1663,2977,2424,0,0,17,6
0,0,0,73,1138,1264,0,0,17,6
0,0,0,4,1062,936,0,368640,17,6
0,0,0,1574,2201,2171,0,0,17,6
0,0,0,390,1312,1597,0,0,17,6
0,0,0,2065,3424,5108,0,0,17,6
0,0,0,38,1389,1504,0,1605632,17,6
0,0,0,274,879,1004,0,0,17,6
0,0,0,1234,2204,2180,0,0,17,6
0,0,0,2263,1866,2078,0,0,17,6
0,0,0,1280,1377,1507,0,0,17,6
0,0,0,283,571,413,0,0,17,6
0,0,0,222,305,171,0,483328,17,6
0,0,0,75,348,469,0,0,17,6
0,0,0,1307,2030,1898,0,4268032,17,6
0,0,0,1259,1097,825,0,0,17,6
0,0,0,560,912,1082,0,0,17,6
0,0,0,74,300,172,0,442368,17,6
0,0,0,41,374,356,0,0,17,6
0,0,0,1562,1383,1615,0,0,17,6
0,0,0,20,283,204,0,0,17,6
0,0,0,1832,1872,1844,0,0,17,6
0,0,0,20,253,371,0,188416,17,6
0,0,0,52230,74143,25967,0,0,20,6
0,0,0,1309,1366,1373,0,0,20,6
0,0,0,3,85,227,0,0,20,6
0,0,0,1454,1885,1765,0,0,20,6
0,0,0,293,530,624,0,2990080,20,6
0,0,0,339,811,589,0,0,17,6
0,0,0,5414,8470,6897,0,16711680,17,6
0,0,0,657,1112,3264,0,0,17,6
0,0,0,1574,1648,1737,0,1753088,17,6
0,0,0,19,108,257,0,0,17,6
0,0,0,639,855,525,0,163840,17,6
0,0,0,1364,1353,1521,0,0,17,6
0,0,0,259,356,366,0,0,17,6
0,0,0,1317,1521,1437,0,0,17,6
0,0,0,3,101,220,0,0,17,6
0,0,0,370,710,618,0,221184,17,6
0,0,1,99994,109050,103328,81920,466944,17,6
0,0,5,46158,61932,61707,528384,212992,17,6
0,0,0,1974,1481,1707,0,0,17,6
0,0,0,128,75,196,0,0,17,6
0,0,0,4387,3467,3455,0,0,17,6
0,0,0,1320,1634,1525,0,663552,17,6
0,0,0,580,519,438,0,0,17,6
0,0,0,1342,1322,1313,0,0,17,6
0,0,0,3339,4115,2373,0,16384,17,6
0,0,0,7060,5102,5118,0,0,17,6
0,0,0,1967,1799,3323,0,69632,17,6
0,0,0,2474,2561,2578,0,5623808,17,6
0,0,0,1621,1590,1661,0,0,17,6
0,0,0,30,338,71830,0,0,17,6
0,0,0,206,370,299,0,0,17,6
0,0,0,1628,1682,1514,0,0,17,6
0,0,0,268,318,328,0,1966080,17,6
0,0,0,1300,1336,29767,0,0,17,6
0,0,0,43,507,90,0,0,17,6
0,0,0,528,293,444,0,0,17,6
0,0,0,1330,1401,1640,0,0,17,6
0,0,0,312,133,127,0,0,17,6
0,0,0,2412,2986,2034,0,3416064,17,6
0,0,0,86,67,77,0,0,17,6
0,0,0,25,69,59,0,0,17,6
0,0,0,1581,1477,1368,0,0,17,6
0,0,0,44,191,321,0,0,17,6
0,0,0,1379,1467,1514,0,442368,17,6
0,0,0,25,143,138,0,0,17,6
0,0,0,51798,73556,53462,0,0,17,6
0,0,0,2867,2713,2796,0,0,17,6
0,0,0,660,232,3751,0,0,17,6
0,0,0,1287,1965,1702,0,2416640,17,6
0,0,0,316,2336,2578,0,18202624,17,6
0,0,0,13,56,52,0,0,17,6
0,0,0,1491,1610,4220,0,0,17,6
0,0,0,965,1234,429,0,0,17,6
0,0,0,1683,1605,1479,0,0,17,6
0,0,0,18,125,123,0,0,17,6
0,0,0,117,139,409,0,270336,17,6
0,0,0,1312,1340,1340,0,0,17,6
0,0,0,280,197,88,0,0,17,6
0,0,0,1460,1564,1475,0,0,17,6
0,0,0,1741,2061,1770,0,0,17,6
0,0,0,129,256,205,0,0,17,6
0,0,0,1946,1741,1664,0,237568,17,6
0,0,0,181,247,256,0,0,17,6
0,0,0,1563,1585,2300,0,0,17,6
0,0,0,15,142,140,0,0,17,6
0,0,0,276,54,80,0,0,17,6
0,0,0,1525,1632,2405,0,163840,17,6
0,0,0,3431,3115,3020,0,0,17,6
0,0,0,1455,1510,1340,0,0,17,6
0,0,0,582,464,758,0,663552,17,6
0,0,0,162,263,217,0,0,17,6
0,0,0,2931,2798,2826,0,0,17,6
0,0,0,2791,2358,2354,0,0,17,6
0,0,0,2014,1704,3770,0,0,17,6
0,0,0,536,578,568,0,1564672,17,6
0,0,0,231,1090,1097,0,6012928,17,6
0,0,0,1320,1456,1458,0,0,17,6
0,0,0,286,174,259,0,0,17,6
0,0,0,1279,1436,1422,0,0,17,6
0,0,0,102,260,242,0,753664,17,6
0,0,0,262,338,243,0,0,17,6
0,0,0,9716,8758,6144,0,0,17,6
0,0,0,78009,81395,2419,24576,1597440,17,6
0,0,0,2587,21383,19982,0,0,17,6
0,0,0,450,2920,4723,0,0,17,6
0,0,0,309,365,25756,0,0,17,6
0,0,0,1342,1768,1640,0,0,17,6
0,0,0,897,1574,816,0,368640,17,6
0,0,0,5151,6201,5859,0,204800,17,6
0,0,0,276,58,1645,0,0,17,6
0,0,0,49255,69433,21279,0,0,17,6
0,0,0,2555,6042,3564,0,16637952,17,6
0,0,0,14,46,36,0,0,17,6
0,0,0,1550,1488,1371,0,0,17,6
0,0,0,194,616,993,0,2736128,17,6
0,0,0,85,329,1389,0,0,17,6
0,0,0,997,747,43819,0,0,17,6
0,0,0,1124,1110,1204,0,0,17,6
0,0,0,1547,1759,6798,0,0,17,6
0,0,0,233,522,610,0,212992,17,6
0,0,0,16,51,71,0,0,17,6
0,0,0,296,106,902,0,0,17,6
0,0,0,1389,1395,1371,0,0,17,6
0,0,0,108,225,196,0,0,17,6
0,0,0,1293,1404,1467,0,122880,17,6
0,0,0,427,639,17481,0,0,17,6
0,0,0,1528,2056,1915,0,4808704,17,6
0,0,0,1379,1508,1762,0,0,17,6
0,0,0,707,478,734,0,0,17,6
0,0,0,1577,1411,1430,0,450560,17,6
0,0,0,23,194,166,0,0,17,6
0,0,0,97,179,166,0,0,17,6
0,0,0,1321,1401,7163,0,0,17,6
0,0,0,451,522,27521,0,0,17,6
0,0,0,1282,1921,1862,0,0,17,6
0,0,0,298,1055,1220,0,311296,17,6
0,0,0,14,117,127,0,0,17,6
0,0,0,1572,1404,1421,0,0,17,6
0,0,0,51,75,93,0,0,17,6
0,0,0,1392,1417,3155,0,0,17,6
0,0,0,456,1184,592,0,1474560,20,6
0,0,0,308,187,379,0,0,20,6
0,0,0,2810,7554,44558,0,1482752,20,6
0,0,0,182,140,28555,0,0,20,6
0,0,0,1374,1520,1518,0,0,20,6
0,0,0,449,281,461,0,0,17,6
0,0,0,792,872,881,0,0,17,6
0,0,0,18414,21252,6661,0,4636672,17,6
0,0,0,67340,69517,1918,16384,1900544,17,6
0,0,0,1743,3084,19203,0,0,17,6
0,0,0,41,519,13126,0,0,17,6
0,0,0,110,19795,6183,0,0,17,6
0,0,0,1389,1778,15518,0,0,17,6
0,0,0,732,728,1667,0,237568,17,6
0,0,0,1286,1437,1456,0,0,17,6
0,0,0,80,118,2535,0,0,17,6
0,0,0,51914,74057,21533,0,2211840,17,6
0,0,0,1563,1349,1404,0,0,17,6
0,0,0,455,58,183,0,0,17,6
0,0,0,1497,1535,1481,0,0,17,6
0,0,0,63,132,109,0,0,17,6
0,0,0,5040,5708,1051,0,0,17,6
0,0,0,1418,3853,4279,0,18604032,17,6
0,0,0,492,787,18425,0,0,17,6
0,0,0,1363,1521,1517,0,0,17,6
0,0,0,786,276,408,0,0,17,6
0,0,0,68,242,311,0,0,17,6
0,0,0,1399,1579,1660,0,1417216,17,6
0,0,0,31,75,236,0,0,17,6
0,0,0,1569,1344,1353,0,0,17,6
0,0,0,47,403,5795,0,0,17,6
0,0,0,337,291,241,0,0,17,6
0,0,0,1318,1444,1440,0,385024,17,6
0,0,0,315,56,78,0,0,17,6
0,0,0,1320,1382,1355,0,0,17,6
0,0,0,91,202,178,0,0,17,6
0,0,0,27,490,213,0,0,17,6
0,0,0,3252,3307,4520,0,0,17,6
0,0,0,216,2786,797,0,253952,17,6
0,0,0,1849,6743,37820,0,1474560,17,6
0,0,0,169,3195,14565,0,147456,17,6
0,0,0,13660,19852,12227,0,393216,17,7
0,0,0,1311,1767,31346,0,0,17,7
0,0,0,170,167,376,0,0,17,7
0,0,0,1921,4421,6007,0,0,17,8
0,0,0,346,447,537,0,0,17,8
0,0,0,1919,2301,2087,0,1843200,17,8
0,0,0,1431,1456,1649,0,0,17,8
0,0,0,13,1235,1104,0,7340032,17,8
0,0,0,2007,1629,1907,0,794624,17,8
0,0,0,49,249,113,0,0,17,8
0,0,0,555,947,1533,0,663552,17,8
0,0,0,1641,1371,1495,0,0,17,8
0,0,0,381,395,381,0,0,17,8
0,0,0,1291,1444,1710,0,0,17,8
0,0,0,90,357,226,0,0,17,8
0,0,0,266,676,18594,0,532480,17,8
0,0,0,1502,1365,3929,0,0,17,8
0,0,0,27,130,253,0,0,17,8
0,0,0,1441,1568,1669,0,0,17,8
0,0,0,12,367,101,0,0,17,8
0,0,0,50579,72837,61510,0,2318336,17,8
0,0,0,1632,1668,1493,0,0,17,8
0,0,0,84,97,219,0,0,17,8
0,0,0,1673,2319,2067,0,1138688,17,8
0,0,0,233,494,447,0,0,17,8
0,0,0,356,702,5365,0,1826816,17,8
0,0,0,1380,1380,1397,0,0,17,8
0,0,0,203,445,144,0,0,17,8
0,0,0,1306,3936,4100,8192,18292736,17,8
0,0,0,207,475,333,0,1818624,17,7
0,0,0,152,215,1040,0,303104,17,7
0,0,0,2338,2868,11619,0,0,17,7
0,0,0,33,517,356,0,0,17,6
0,0,0,1943,1804,1982,0,0,17,6
0,0,0,77,163,541,0,0,17,6
0,0,0,446,702,458,0,0,17,6
0,0,0,1324,1414,1820,0,385024,17,6
0,0,0,271,365,246,0,0,17,6
0,0,0,1564,2000,1873,0,0,17,6
0,0,0,32,119,215,0,0,17,6
0,0,0,25,92,111,0,0,17,6
0,0,0,1557,1516,1630,0,0,17,6
0,0,0,246,558,249,0,147456,17,6
0,0,0,1277,1780,1640,0,0,17,6
0,0,0,14,98,116,0,0,17,6
0,0,0,639,309,407,0,0,17,6
0,0,0,686,542,598,0,0,17,6
0,0,0,702,1368,1181,0,212992,17,6
0,0,0,1293,2233,4187,0,4546560,17,6
0,0,0,287,226,120,0,0,17,6
0,0,0,338,588,499,0,0,17,6
0,0,0,39,124,230,0,0,17,6
0,0,0,1413,1661,1395,0,0,17,6
0,0,0,1547,1866,1902,0,1654784,17,6
0,0,0,105,114,224,0,0,17,6
0,0,0,16,246,118,0,0,17,6
0,0,0,434,568,927,0,0,17,6
0,0,0,2214,2149,1732,0,0,17,6
0,0,0,1315,1417,1608,0,450560,17,6
0,0,0,487,1057,1044,0,0,17,6
0,0,0,11,374,506,0,196608,17,6
0,0,0,270,221,112,0,0,17,6
0,0,0,1364,1377,1440,0,0,17,6
0,0,0,35,421,511,0,172032,17,6
0,0,0,1301,5692,11223,0,3719168,17,6
0,0,0,51439,72884,22335,0,0,17,6
0,0,0,916,1113,350,0,0,17,6
0,0,0,1313,1581,1670,0,0,17,6
0,0,0,10,719,705,0,2842624,17,6
0,0,0,1565,1384,1504,0,0,17,6
0,0,0,5070,6073,1614,0,0,17,6
0,0,0,40,152,10201,0,0,17,6
