"Dstat 1.1.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dool/unix_swap_io_raw_page_disk_vm-adv_int.csv --unix --swap --io --raw --page --disk --vm-adv --int 1 600",,,,"Date:","22 Mar 2023 21:32:08 -03"
"unix sockets",,,,"swap",,"io/total",,"raw","paging",,"dsk/total",,"advanced virtual memory",,,,,"interrupts",,
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0
56,868,54,814,1835008,1021571072,0,44,0,0,0,0,1785856,0,0,0,0,0,0,68,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0
56,870,54,816,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0
56,868,54,814,1835008,1021571072,0,36,0,0,0,0,204800,0,0,0,0,0,0,45,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0
56,868,54,814,1835008,1021571072,0,28,0,0,0,0,548864,0,0,0,0,0,0,15,0
56,868,54,814,1835008,1021571072,0,42,0,0,0,0,352256,0,0,0,0,0,0,15,0
56,868,54,814,1835008,1021571072,0,532,0,0,0,0,3735552,0,0,0,0,0,0,35,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0
56,870,54,816,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
56,870,54,816,1835008,1021571072,0,40,0,0,0,0,401408,0,0,0,0,0,0,16,0
56,870,54,816,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0
56,870,54,816,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0
56,870,54,816,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0
56,870,54,816,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0
56,870,54,816,1835008,1021571072,0,36,0,0,0,0,1351680,0,0,0,0,0,0,15,0
56,870,54,816,1835008,1021571072,0,390,0,0,0,0,3260416,0,0,0,0,0,0,15,0
56,870,54,816,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0
56,870,54,816,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0
56,870,54,816,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0
56,870,54,816,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0
56,870,54,816,1835008,1021571072,0,20,0,0,0,0,344064,0,0,0,0,0,0,15,0
56,870,54,816,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0
56,870,54,816,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0
56,870,54,816,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0
56,870,54,816,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0
56,870,54,816,1835008,1021571072,0,250,0,0,0,0,1482752,0,0,0,0,0,0,19,0
56,870,54,816,1835008,1021571072,0,46,0,0,0,0,2547712,0,0,0,0,0,0,15,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0
56,868,54,814,1835008,1021571072,0,26,0,0,0,0,925696,0,0,0,0,0,0,17,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0
56,868,54,814,1835008,1021571072,0,1512,0,0,0,0,17096704,0,0,0,0,0,0,21,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
56,868,54,814,1835008,1021571072,0,44,0,0,0,0,1736704,0,0,0,0,0,0,45,0
56,868,54,814,1835008,1021571072,0,36,0,0,0,0,147456,0,0,0,0,0,0,18,0
56,870,54,816,1835008,1021571072,0,14,0,0,0,0,49152,0,0,0,0,0,0,48,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
56,868,54,814,1835008,1021571072,0,24,0,0,0,0,458752,0,0,0,0,0,0,19,0
56,868,54,814,1835008,1021571072,0,10,0,0,0,0,49152,0,0,0,0,0,0,49,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0
56,868,54,814,1835008,1021571072,0,26,0,0,0,0,229376,0,0,0,0,0,0,37,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
56,868,54,814,1835008,1021571072,0,42,0,0,0,0,1327104,0,0,0,0,0,0,17,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0
56,868,54,814,1835008,1021571072,0,510,0,0,0,0,5193728,0,0,0,0,0,0,21,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
56,868,54,814,1835008,1021571072,0,8,0,0,0,0,557056,0,0,0,0,0,0,43,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0
56,868,54,814,1835008,1021571072,0,20,0,0,0,0,221184,0,0,0,0,0,0,15,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0
56,868,54,814,1835008,1021571072,2,1986,0,0,0,8192,14286848,0,0,0,0,0,0,49,0
56,868,54,814,1835008,1021571072,0,30,0,0,0,0,2408448,0,0,0,0,0,0,19,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0
56,868,54,814,1835008,1021571072,0,22,0,0,0,0,286720,0,0,0,0,0,0,14,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0
56,868,54,814,1835008,1021571072,0,42,0,0,0,0,270336,0,0,0,0,0,0,31,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0
56,868,54,814,1835008,1021571072,0,40,0,0,0,0,286720,0,0,0,0,0,0,18,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0
56,868,54,814,1835008,1021571072,0,570,0,0,0,0,5242880,0,0,0,0,0,0,17,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0
56,868,54,814,1835008,1021571072,0,18,0,0,0,0,458752,0,0,0,0,0,0,24,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0
56,868,54,814,1835008,1021571072,0,38,0,0,0,0,1343488,0,0,0,0,0,0,19,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0
56,868,54,814,1835008,1021571072,0,358,0,0,0,0,2867200,0,0,0,0,0,0,17,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0
56,868,54,814,1835008,1021571072,0,40,0,0,0,0,540672,0,0,0,0,0,0,24,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
56,868,54,814,1835008,1021571072,0,20,0,0,0,0,147456,0,0,0,0,0,0,58,0
56,868,54,814,1835008,1021571072,0,2,0,0,0,0,0,0,0,0,0,0,0,34,0
56,868,54,814,1835008,1021571072,0,330,0,0,0,0,2236416,0,0,0,0,0,0,16,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0
56,868,54,814,1835008,1021571072,0,40,0,0,0,0,2433024,0,0,0,0,0,0,37,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0
56,868,54,814,1835008,1021571072,0,28,0,0,0,0,163840,0,0,0,0,0,0,18,0
56,868,54,814,1835008,1021571072,0,2150,0,0,0,0,16506880,0,0,0,0,0,0,50,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
56,870,54,816,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0
56,868,54,814,1835008,1021571072,0,44,0,0,0,0,1499136,0,0,0,0,0,0,16,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0
56,868,54,814,1835008,1021571072,0,12,0,0,0,0,196608,0,0,0,0,0,0,17,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0
56,868,54,814,1835008,1021571072,0,36,0,0,0,0,311296,0,0,0,0,0,0,34,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
56,868,54,814,1835008,1021571072,0,450,0,0,0,0,3227648,0,0,0,0,0,0,17,0
56,868,54,814,1835008,1021571072,0,18,0,0,0,0,1490944,0,0,0,0,0,0,17,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0
56,868,54,814,1835008,1021571072,0,16,0,0,0,0,483328,0,0,0,0,0,0,28,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0
56,868,54,814,1835008,1021571072,0,326,0,0,0,0,3293184,0,0,0,0,0,0,16,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
56,868,54,814,1835008,1021571072,0,22,0,0,0,0,434176,0,0,0,0,0,0,27,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0
56,868,54,814,1835008,1021571072,0,24,0,0,0,0,196608,0,0,0,0,0,0,43,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0
56,870,54,816,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0
56,868,54,814,1835008,1021571072,0,32,0,0,0,0,2162688,0,0,0,0,0,0,15,0
56,868,54,814,1835008,1021571072,2,2424,0,0,0,8192,15998976,0,0,0,0,0,0,62,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
56,868,54,814,1835008,1021571072,0,16,0,0,0,0,1540096,0,0,0,0,0,0,16,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0
56,868,54,814,1835008,1021571072,0,18,0,0,0,0,319488,0,0,0,0,0,0,17,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
56,868,54,814,1835008,1021571072,0,24,0,0,0,0,188416,0,0,0,0,0,0,19,0
56,868,54,814,1835008,1021571072,0,416,0,0,0,0,4587520,0,0,0,0,0,0,16,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0
56,868,54,814,1835008,1021571072,0,12,0,0,0,0,589824,0,0,0,0,0,0,31,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
56,868,54,814,1835008,1021571072,0,42,0,0,0,0,1343488,0,0,0,0,0,0,43,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0
56,868,54,814,1835008,1021571072,0,410,0,0,0,0,3751936,0,0,0,0,0,0,24,0
56,868,54,814,1835008,1021571072,0,16,0,0,0,0,483328,0,0,0,0,0,0,19,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0
56,884,54,830,1835008,1021571072,0,54,0,0,0,0,540672,0,0,0,0,0,0,61,0
56,884,54,830,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0
56,884,54,830,1835008,1021571072,0,62,0,0,0,0,499712,0,0,0,0,0,0,18,0
56,884,54,830,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0
56,884,54,830,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
56,884,54,830,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0
56,884,54,830,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0
56,884,54,830,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
56,884,54,830,1835008,1021571072,0,46,0,0,0,0,2359296,0,0,0,0,0,0,15,0
56,884,54,830,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
56,884,54,830,1835008,1021571072,0,42,0,0,0,0,1384448,0,0,0,0,0,0,21,0
56,884,54,830,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0
56,884,54,830,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0
56,884,54,830,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0
56,884,54,830,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
56,884,54,830,1835008,1021571072,0,2790,0,0,0,0,19931136,0,0,0,0,0,0,44,0
56,884,54,830,1835008,1021571072,0,84,0,0,0,0,3497984,0,0,0,0,0,0,66,0
56,884,54,830,1835008,1021571072,0,182,0,0,0,0,3350528,0,0,0,0,0,0,72,0
56,884,54,830,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0
56,884,54,830,1835008,1021571072,0,146,0,0,0,0,3612672,0,0,0,0,0,0,62,0
56,884,54,830,1835008,1021571072,0,2,0,0,0,0,253952,0,0,0,0,0,0,19,0
56,884,54,830,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0
56,884,54,830,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0
56,884,54,830,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0
56,884,54,830,1835008,1021571072,0,32,0,0,0,0,237568,0,0,0,0,0,0,24,0
56,884,54,830,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0
56,884,54,830,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
56,884,54,830,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0
56,884,54,830,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0
56,884,54,830,1835008,1021571072,0,36,0,0,0,0,294912,0,0,0,0,0,0,39,0
56,884,54,830,1835008,1021571072,0,60,0,0,0,0,417792,0,0,0,0,0,0,16,0
56,884,54,830,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
56,884,54,830,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0
56,884,54,830,1835008,1021571072,0,82,0,0,0,0,1359872,0,0,0,0,0,0,17,0
56,878,54,824,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0
56,868,54,814,1835008,1021571072,0,754,0,0,0,0,6307840,0,0,0,0,0,0,49,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0
56,868,54,814,1835008,1021571072,0,26,0,0,0,0,737280,0,0,0,0,0,0,28,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
56,870,54,816,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0
56,868,54,814,1835008,1021571072,0,28,0,0,0,0,417792,0,0,0,0,0,0,16,0
56,868,54,814,1835008,1021571072,0,24,0,0,0,0,1138688,0,0,0,0,0,0,18,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
56,868,54,814,1835008,1021571072,0,18,0,0,0,0,2007040,0,0,0,0,0,0,34,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
56,868,54,814,1835008,1021571072,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0
