"Dstat 1.1.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --bytes --time --cpu --disk --page --int --load --mem --net --proc --io --swap --sys --aio --fs --ipc --lock --raw --socket --tcp --udp --unix --vm --vm-adv --zones --output dstat/data/csv/dool/all.csv 1 600",,,,"Date:","22 Mar 2023 21:22:03 -03"
"system","total cpu usage",,,,,"dsk/total",,"paging",,"interrupts",,,"load avg",,,"memory usage",,,,"net/total",,"procs",,,"io/total",,"swap",,"system",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"raw","sockets",,,,,"tcp sockets",,,,,"udp",,"unix sockets",,,,"virtual memory",,,,"advanced virtual memory",,,,,"zones memory",,,
"time","usr","sys","idl","wai","stl","read","writ","in","out","138","139","140","1m","5m","15m","used","free","cach","avai","recv","send","run","blk","new","read","writ","used","free","int","csw","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","raw","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","steal","scanK","scanD","pgoru","astll","d32F","d32H","normF","normH"
Mar-22 21:22:20,7.035,1.508,91.332,0.126,0,0,0,0,0,0,53,0,48.200,14.950,6.720,3328012288,2016112640,10542399488,12776161280,16012,2748,0,0,0,0,0,1835008,1021571072,1547,2402,0,13120,348191,0,0,6,56,12,10,58,0,1072,19,19,0,0,7,12,0,9,1,17,6,56,868,54,814,0,58,385,648,0,0,0,0,0,308065,3141,180822,22176,
Mar-22 21:22:21,7.789,1.005,91.206,0,0,0,0,0,0,0,20,0,48.200,14.950,6.720,3328479232,2015645696,10542399488,12775694336,424,358,0,0,0,0,0,1835008,1021571072,1535,2353,0,13120,348198,0,0,6,56,12,10,58,0,1072,19,19,0,0,7,12,0,9,1,17,6,56,868,54,814,0,33,222,206,0,0,0,0,0,308065,3141,180708,22176,
Mar-22 21:22:22,7.286,2.010,90.578,0.126,0,0,0,0,0,0,16,0,48.200,14.950,6.720,3328151552,2015932416,10542440448,12776026112,0,0,0,0,8,0,0,1835008,1021571072,1701,3590,0,13120,348197,0,0,6,56,12,10,58,0,1072,19,19,0,0,7,12,0,9,1,17,6,56,868,54,814,0,1702,1484,1474,0,0,0,0,0,308065,3141,180778,22176,
Mar-22 21:22:23,7.769,0.877,91.228,0.125,0,0,516096,0,0,0,19,0,48.200,14.950,6.720,3328417792,2015674368,10542432256,12776034304,167,187,0,0,0,0,28,1835008,1021571072,1461,2347,0,13120,348197,0,0,6,56,12,10,58,0,1072,19,19,0,0,7,12,0,9,1,17,6,56,868,54,814,0,74,294,282,0,0,0,0,0,308065,3141,180715,22176,
Mar-22 21:22:24,6.431,2.144,91.299,0.126,0,0,6045696,0,0,0,33,0,44.420,14.710,6.690,3330109440,2013896704,10542518272,12774281216,5823,10390,0,0,9,0,58,1835008,1021571072,1715,4416,0,13120,348200,0,0,6,56,12,10,58,0,1073,20,19,0,0,7,14,0,9,0,17,6,56,868,54,814,0,1308,2282,2257,0,0,0,0,0,308065,3141,180281,22176,
Mar-22 21:22:25,7.412,1.131,91.457,0,0,0,0,0,0,0,19,0,44.420,14.710,6.690,3329302528,2014703616,10542518272,12775088128,2328,369,0,0,0,0,0,1835008,1021571072,1472,2280,0,13120,348210,0,0,6,56,12,10,58,0,1073,20,19,0,0,7,14,0,8,0,17,6,56,868,54,814,0,247,423,369,0,0,0,0,0,308065,3141,180478,22176,
Mar-22 21:22:26,9.836,2.522,87.516,0.126,0,0,0,0,0,0,59,0,44.420,14.710,6.690,3513303040,1824571392,10548649984,12607799296,0,0,0,0,0,0,0,1835008,1021571072,2792,35371,0,13120,349280,0,0,6,56,12,10,58,0,1073,20,19,0,0,7,14,0,8,0,17,6,56,868,54,814,0,51181,72622,23544,0,0,0,0,0,308065,3141,134059,22176,
Mar-22 21:22:27,7.760,2.503,89.737,0,0,0,0,0,0,0,19,0,44.420,14.710,6.690,3514773504,1823092736,10548658176,12606320640,167,545,0,0,8,0,0,1835008,1021571072,1746,3541,0,13120,349279,0,0,6,56,12,10,58,0,1073,20,19,0,0,7,14,0,7,0,17,6,56,868,54,814,0,1341,1487,1509,0,0,0,0,0,308065,3141,133698,22176,
Mar-22 21:22:28,8.145,1.128,90.476,0.251,0,0,0,0,0,0,20,0,44.420,14.710,6.690,3515838464,1822085120,10548600832,12605579264,396,446,0,0,0,0,0,1835008,1021571072,1561,2432,0,13120,349288,0,0,6,56,12,10,58,0,1073,20,19,0,0,7,14,0,7,0,17,6,56,868,54,814,0,88,267,267,0,0,0,0,0,308065,3141,133452,22176,
Mar-22 21:22:29,7.305,2.519,89.673,0.504,0,49152,15065088,0,0,0,15,0,40.860,14.470,6.660,3515170816,1823227904,10548125696,12606164992,0,0,0,0,8,12,556,1835008,1021571072,1741,3802,0,13120,349228,0,0,6,56,12,10,58,0,1073,20,19,0,0,7,14,0,7,0,17,6,56,868,54,814,0,1327,3407,3485,0,0,0,0,0,308065,3141,133731,22176,
Mar-22 21:22:30,6.557,1.387,92.055,0,0,0,0,0,0,0,24,0,40.860,14.470,6.660,3515633664,1822740480,10548150272,12605706240,1305,3266,0,0,1,0,0,1835008,1021571072,1522,3084,0,13120,349229,0,0,6,56,12,10,58,0,1073,20,19,0,0,7,14,0,8,0,17,6,56,868,54,814,0,722,409,408,0,0,0,0,0,308065,3141,133612,22176,
Mar-22 21:22:31,7.975,1.139,90.759,0.127,0,0,0,0,0,0,59,0,40.860,14.470,6.660,3516133376,1822240768,10548150272,12605206528,31885,7838,0,0,0,0,0,1835008,1021571072,1708,3381,0,13120,349229,0,0,6,56,12,10,58,0,1073,20,19,0,0,7,14,0,8,0,17,6,56,868,54,814,0,46,261,294,0,0,0,0,0,308065,3141,133490,22176,
Mar-22 21:22:32,7.071,1.894,91.035,0,0,0,0,0,0,0,61,0,40.860,14.470,6.660,3491930112,1846444032,10548150272,12673339392,15800,1548,0,0,8,0,0,1835008,1021571072,1811,3819,0,13152,349238,0,0,6,56,12,10,58,0,1073,20,19,0,0,7,14,0,8,0,17,6,56,868,54,814,0,1576,1778,7758,0,0,0,0,0,308065,3141,139399,22176,
Mar-22 21:22:33,6.936,1.135,91.803,0.126,0,0,0,0,0,0,29,0,40.860,14.470,6.660,3493142528,1845178368,10548203520,12670672896,1813,358,0,0,0,0,0,1835008,1021571072,1532,2540,0,13152,349247,0,0,6,56,12,10,58,0,1072,19,19,0,0,7,12,0,8,1,17,6,56,868,54,814,0,506,870,802,0,0,0,0,0,308065,3141,139090,22176,
Mar-22 21:22:34,8.040,1.256,90.201,0.503,0,73728,4988928,0,0,0,31,0,37.590,14.230,6.620,3494887424,1843388416,10548248576,12668895232,5222,0,0,0,9,18,108,1835008,1021571072,1826,3861,0,13184,349247,0,0,6,56,12,10,58,0,1072,19,19,0,0,7,12,0,8,1,17,6,56,868,54,814,0,1674,2114,2096,0,0,0,0,0,308065,3141,138653,22176,
Mar-22 21:22:35,7.314,1.009,91.551,0.126,0,0,638976,0,0,0,32,0,37.590,14.230,6.620,3438661632,1899569152,10548293632,12713779200,4762,0,0,0,0,0,66,1835008,1021571072,1530,2494,0,13184,349247,0,0,6,56,12,10,58,0,1072,19,19,0,0,7,12,0,7,1,17,6,56,868,54,814,0,148,454,14257,0,0,0,0,0,308065,3141,152369,22176,
Mar-22 21:22:36,6.633,1.502,91.740,0.125,0,0,0,0,0,0,22,0,37.590,14.230,6.620,3432456192,1905774592,10548293632,12713328640,1699,0,0,0,0,0,0,1835008,1021571072,1492,2342,0,13184,349247,0,0,6,56,12,10,58,0,1072,19,19,0,0,7,12,0,7,1,17,6,56,868,54,814,0,34,230,2048,0,0,0,0,0,308065,3141,153884,22176,
Mar-22 21:22:37,6.557,1.765,91.677,0,0,0,0,0,0,0,16,0,37.590,14.230,6.620,3432669184,1905561600,10548293632,12713058304,42,0,0,0,8,0,0,1835008,1021571072,1618,3465,0,13184,349250,0,0,6,56,12,10,58,0,1072,19,19,0,0,7,12,0,7,1,17,6,56,868,54,814,0,1331,1476,1471,0,0,0,0,0,308065,3141,153832,22176,
Mar-22 21:22:38,7.673,1.258,90.943,0.126,0,0,0,0,0,0,57,0,37.590,14.230,6.620,3433549824,1904672768,10548301824,12712194048,46,358,0,0,0,0,0,1835008,1021571072,1496,2318,0,13184,349250,0,0,6,56,12,10,58,0,1072,19,19,0,0,7,12,0,7,1,17,6,56,868,54,814,0,404,203,195,0,0,0,0,0,308065,3141,153615,22176,
Mar-22 21:22:39,7.305,2.141,90.554,0,0,0,0,0,0,0,19,0,34.660,14.010,6.590,3329150976,2009071616,10548301824,12794875904,78,106,0,0,8,0,0,1835008,1021571072,1731,3518,0,13184,349260,0,0,6,56,12,10,58,0,1072,19,19,0,0,7,12,0,7,1,17,6,56,868,54,814,0,1328,1813,26670,0,0,0,0,0,308065,3141,179103,22176,
Mar-22 21:22:40,6.297,1.637,91.562,0.504,0,40960,15163392,0,0,0,15,0,34.660,14.010,6.590,3329843200,2008342528,10548338688,12794220544,0,0,0,0,0,10,364,1835008,1021571072,1673,2900,0,13184,349260,0,0,6,56,12,10,58,0,1072,19,19,0,0,7,12,0,6,1,17,6,56,868,54,814,0,34,2078,2062,0,0,0,0,0,308065,3141,178925,22176,
Mar-22 21:22:41,7.955,1.641,90.404,0,0,0,0,0,0,0,31,0,34.660,14.010,6.590,3330977792,2007097344,10548449280,12792786944,2375,5040,0,0,0,0,0,1835008,1021571072,2190,4213,0,13184,349274,0,0,6,56,12,10,58,0,1075,20,19,0,0,7,12,1,7,1,17,6,56,870,54,816,0,531,1312,1129,0,0,0,0,0,308065,3141,178621,22176,
Mar-22 21:22:42,8.156,2.509,89.210,0.125,0,0,0,0,0,0,31,0,34.660,14.010,6.590,3331964928,2006122496,10548436992,12791816192,15769,1763,0,0,9,0,0,1835008,1021571072,2810,5499,0,13184,349273,0,0,6,56,12,10,58,0,1075,20,19,0,0,7,12,1,7,1,17,6,56,870,54,816,0,2163,2492,2497,0,0,0,0,0,308065,3141,178383,22176,
Mar-22 21:22:43,7.635,1.877,90.488,0,0,0,0,0,0,0,21,0,34.660,14.010,6.590,3316207616,2021879808,10548436992,12784709632,213,545,0,0,0,0,0,1835008,1021571072,2513,4023,0,13184,349273,0,0,6,56,12,10,58,0,1075,20,19,0,0,7,12,1,7,1,17,6,56,870,54,816,0,51,1058,6665,0,0,0,0,0,308065,3141,182230,22176,
Mar-22 21:22:44,7.286,2.261,90.327,0.126,0,0,0,0,0,0,48,0,31.880,13.780,6.560,3316625408,2021457920,10548441088,12784291840,0,206,0,0,8,0,0,1835008,1021571072,2651,5221,0,13184,349273,0,0,6,56,12,10,58,0,1075,20,19,0,0,7,12,1,7,1,17,6,56,870,54,816,0,1330,2629,2585,0,0,0,0,0,308065,3141,182127,22176,
Mar-22 21:22:45,8.228,2.278,89.241,0.253,0,0,17235968,0,0,0,16,0,31.880,13.780,6.560,3316482048,2021601280,10548441088,12784451584,0,0,0,0,0,0,158,1835008,1021571072,2627,4385,0,13184,349273,0,0,6,56,12,10,58,0,1075,20,19,0,0,7,12,1,7,1,17,6,56,870,54,816,0,40,3184,3186,0,0,0,0,0,308065,3141,182162,22176,
Mar-22 21:22:46,8.532,1.882,89.460,0.125,0,0,548864,0,0,0,23,0,31.880,13.780,6.560,3317088256,2020892672,10548543488,12783853568,650,484,0,0,0,0,14,1835008,1021571072,2609,4323,0,13184,349293,0,0,6,56,12,10,58,0,1075,20,19,0,0,7,12,1,7,1,17,6,56,870,54,816,0,984,1827,1231,0,0,0,0,0,308065,3141,181989,22176,
Mar-22 21:22:47,8.071,1.892,89.912,0.126,0,0,0,0,0,0,15,0,31.880,13.780,6.560,3317551104,2020429824,10548543488,12783390720,0,0,1,0,8,0,0,1835008,1021571072,2697,5375,0,13184,349293,0,0,6,56,12,10,58,0,1075,20,19,0,0,7,12,1,7,1,17,6,56,870,54,816,0,1373,2364,2344,0,0,0,0,0,308065,3141,181876,22176,
Mar-22 21:22:48,7.663,2.387,89.950,0,0,0,0,0,0,0,24,0,31.880,13.780,6.560,3317891072,2019885056,10548748288,12783005696,396,1010,0,0,0,0,0,1835008,1021571072,2635,4293,0,13184,349303,0,0,6,56,12,10,58,0,1075,20,19,0,0,7,12,1,6,1,17,6,56,870,54,816,0,1144,2201,11759,0,0,0,0,0,308065,3141,181743,22176,
Mar-22 21:22:49,8.417,2.261,89.196,0.126,0,0,0,0,0,0,17,0,29.410,13.560,6.530,3318116352,2019659776,10548748288,12782780416,0,0,0,0,8,0,0,1835008,1021571072,2752,5324,0,13184,349303,0,0,6,56,12,10,58,0,1075,20,19,0,0,7,12,1,6,1,17,6,56,870,54,816,0,1306,2347,2348,0,0,0,0,0,308065,3141,181688,22176,
Mar-22 21:22:50,8.312,1.385,90.302,0,0,0,442368,0,0,0,48,0,29.410,13.560,6.530,3318943744,2018820096,10548760576,12782026752,0,0,0,0,0,0,62,1835008,1021571072,2570,4092,0,13184,349303,0,0,6,56,12,10,58,0,1075,20,19,0,0,7,12,1,6,1,17,6,56,870,54,816,0,399,1111,1108,0,0,0,0,0,308065,3141,181483,22176,
Mar-22 21:22:51,7.557,2.519,89.673,0.252,0,0,344064,0,0,0,16,0,29.410,13.560,6.530,3195678720,2141683712,10549161984,12770492416,0,0,0,0,0,0,14,1835008,1021571072,2708,4463,0,13184,349323,0,0,6,56,12,10,58,0,1075,20,19,0,0,7,12,1,6,1,17,6,56,870,54,816,0,3211,4880,34790,0,0,0,0,0,308065,3141,211479,22176,
Mar-22 21:22:52,7.809,3.275,88.917,0,0,0,0,0,0,0,30,0,29.410,13.560,6.530,3196047360,2141306880,10549170176,12772642816,1619,4490,0,0,8,0,0,1835008,1021571072,2886,6324,0,13216,349323,0,0,6,56,12,10,58,0,1075,20,19,0,0,7,12,1,7,1,17,6,56,870,54,816,0,1332,2419,3489,0,0,0,0,0,308065,3141,211387,22176,
Mar-22 21:22:53,7.644,2.381,89.850,0.125,0,0,0,0,0,0,35,0,29.410,13.560,6.530,3195965440,2141335552,10549223424,12772679680,15860,1744,0,0,0,0,0,1835008,1021571072,2615,4166,0,13216,349333,0,0,6,56,12,10,58,0,1075,20,19,0,0,7,12,1,7,1,17,6,56,870,54,816,0,278,1306,1153,0,0,0,0,0,308065,3141,211394,22176,
Mar-22 21:22:54,8.668,2.387,88.945,0,0,0,0,0,0,0,16,0,27.050,13.340,6.490,3191226368,2152554496,10542739456,12778741760,0,358,0,0,8,0,0,1835008,1021571072,2703,5185,0,13216,348213,0,0,6,56,12,10,58,0,1075,20,19,0,0,7,12,1,7,1,17,6,56,870,54,816,0,1677,2377,4316,0,0,0,0,0,308065,3141,214133,22176,
Mar-22 21:22:55,8.050,1.509,90.314,0.126,0,0,229376,0,0,0,18,0,27.050,13.340,6.490,3192193024,2151579648,10542747648,12777799680,167,187,0,0,1,0,20,1835008,1021571072,2620,4232,0,13216,348213,0,0,6,56,12,10,58,0,1075,20,19,0,0,7,12,1,7,1,17,6,56,870,54,816,0,359,1246,1267,0,0,0,0,0,308065,3141,213895,22176,
Mar-22 21:22:56,7.161,2.010,90.704,0.126,0,0,0,0,0,0,40,0,27.050,13.340,6.490,3192287232,2151395328,10542837760,12777762816,0,206,0,0,0,0,0,1835008,1021571072,2473,3931,0,13216,348223,0,0,6,56,12,10,58,0,1075,20,19,0,0,7,12,1,7,1,17,6,56,870,54,816,0,250,1271,1028,0,0,0,0,0,308065,3141,213850,22176,
Mar-22 21:22:57,7.332,2.023,90.645,0,0,0,1785856,0,0,0,16,0,27.050,13.340,6.490,3191185408,2152497152,10542837760,12777447424,0,0,0,0,8,0,24,1835008,1021571072,2690,5423,0,13216,348223,0,0,6,56,12,10,58,0,1075,20,19,0,0,7,12,1,7,1,17,6,56,870,54,816,0,1339,2611,2945,0,0,0,0,0,308065,3141,214119,22176,
Mar-22 21:22:58,8.625,1.375,89.875,0.125,0,0,0,0,0,0,17,0,27.050,13.340,6.490,3191349248,2152321024,10542850048,12777283584,78,106,0,0,0,0,0,1835008,1021571072,2635,4276,0,13216,348223,0,0,6,56,12,10,58,0,1075,20,19,0,0,7,12,1,6,1,17,6,56,870,54,816,0,405,1157,2427,0,0,0,0,0,308065,3141,214356,22176,
Mar-22 21:22:59,8.470,2.023,89.507,0,0,0,0,0,0,0,20,0,24.890,13.120,6.460,3191042048,2152521728,10542956544,12772966400,0,358,0,0,8,0,0,1835008,1021571072,2768,5302,0,13216,348234,0,0,6,56,12,10,58,0,1075,20,19,0,0,7,12,1,6,1,17,6,56,870,54,816,0,1348,2439,2411,0,0,0,0,0,308065,3141,214125,22176,
Mar-22 21:23:00,7.712,2.402,89.760,0.126,0,0,12468224,0,0,0,18,0,24.890,13.120,6.460,3195830272,2147799040,10542891008,12768247808,174,0,0,0,0,0,1554,1835008,1021571072,3790,8713,0,13216,348244,0,0,6,56,12,10,58,0,1075,20,19,0,0,7,12,1,6,1,17,6,56,870,54,816,0,43,2664,2648,0,0,0,0,0,308065,3141,212972,22176,
Mar-22 21:23:01,6.784,1.508,91.583,0.126,0,0,0,0,0,0,19,0,24.890,13.120,6.460,3195674624,2147848192,10542997504,12768337920,524,0,0,0,0,0,0,1835008,1021571072,1702,2692,0,13216,348241,0,0,6,56,12,10,58,0,1072,19,19,0,0,7,12,0,6,1,17,6,56,868,54,814,0,36,311,308,0,0,0,0,0,308065,3141,212984,22176,
Mar-22 21:23:02,7.197,1.263,91.414,0.126,0,0,2211840,0,0,0,36,0,24.890,13.120,6.460,3196182528,2147364864,10542972928,12767854592,0,0,0,0,18,0,262,1835008,1021571072,1970,6118,0,13184,348244,0,0,6,56,12,10,58,0,1072,19,19,0,0,7,12,0,6,1,17,6,56,868,54,814,0,3273,3055,3004,0,0,0,0,0,308065,3141,212866,22176,
Mar-22 21:23:03,7.828,1.641,90.404,0.126,0,0,0,0,0,0,38,0,24.890,13.120,6.460,3195748352,2148192256,10542579712,12770406400,16393,5835,0,0,0,0,0,1835008,1021571072,1630,3184,0,13184,348194,0,0,6,56,12,10,58,0,1074,19,19,0,0,7,12,0,7,1,17,6,56,870,54,816,0,209,435,474,0,0,0,0,0,308065,3141,213068,22176,
Mar-22 21:23:04,8.010,2.378,89.612,0,0,0,0,0,0,0,18,0,22.970,12.910,6.430,3195711488,2148229120,10542579712,12770443264,995,650,0,0,8,0,0,1835008,1021571072,1702,3767,0,13184,348191,0,0,6,56,12,10,58,0,1072,19,19,0,0,7,12,0,7,1,17,6,56,868,54,814,0,1316,1475,1478,0,0,0,0,0,308065,3141,213077,22176,
Mar-22 21:23:05,6.884,1.502,91.489,0.125,0,0,3383296,0,0,0,17,0,22.970,12.910,6.430,3197243392,2146750464,10542526464,12768985088,0,0,0,0,0,0,346,1835008,1021571072,1611,2914,0,13184,348190,0,0,6,56,12,10,58,0,1072,19,19,0,0,7,12,0,7,1,17,6,56,868,54,814,0,63,813,802,0,0,0,0,0,308065,3141,212716,22176,
Mar-22 21:23:06,7.635,1.627,90.613,0.125,0,0,0,0,0,0,14,0,22.970,12.910,6.430,3197243392,2146750464,10542526464,12768985088,0,0,0,0,0,0,0,1835008,1021571072,1460,2307,0,13184,348190,0,0,6,56,12,10,58,0,1072,19,19,0,0,7,12,0,7,1,17,6,56,868,54,814,0,400,213,210,0,0,0,0,0,308065,3141,212716,22176,
Mar-22 21:23:07,7.885,2.003,89.987,0.125,0,0,524288,0,0,0,17,0,22.970,12.910,6.430,3197177856,2146816000,10542526464,12769058816,0,0,0,0,9,0,16,1835008,1021571072,1787,3756,0,13184,348201,0,0,6,56,12,10,58,0,1072,19,19,0,0,7,12,0,7,1,17,6,56,868,54,814,0,1794,1699,1692,0,0,0,0,0,308065,3141,212732,22176,
Mar-22 21:23:08,7.925,1.384,90.692,0,0,0,0,0,0,0,45,0,22.970,12.910,6.430,3196825600,2147123200,10542571520,12770361344,396,446,0,0,0,0,0,1835008,1021571072,1588,2509,0,13184,348201,0,0,6,56,12,10,58,0,1072,19,19,0,0,7,12,0,7,1,17,6,56,868,54,814,0,77,242,212,0,0,0,0,0,308065,3141,212807,22176,
