"Dstat 1.1.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --bytes --output dstat/data/csv/dool/tpc.csv --time --tcp 1 600",,,,"Date:","22 Mar 2023 21:22:03 -03"
"system","tcp sockets",,,,
Mar-22 21:23:46,7,10,0,8,2
Mar-22 21:23:47,7,10,0,8,2
Mar-22 21:23:48,7,10,0,8,2
Mar-22 21:23:49,7,10,0,8,2
Mar-22 21:23:50,7,10,0,8,2
Mar-22 21:23:51,7,10,0,8,2
Mar-22 21:23:52,7,10,0,7,2
Mar-22 21:23:53,7,10,0,7,2
Mar-22 21:23:54,7,10,0,7,2
Mar-22 21:23:55,7,10,0,7,2
Mar-22 21:23:56,7,8,0,7,3
Mar-22 21:23:57,7,10,0,8,2
Mar-22 21:23:58,7,10,0,8,2
Mar-22 21:23:59,7,10,0,8,2
Mar-22 21:24:00,7,10,0,8,2
Mar-22 21:24:01,7,10,0,8,2
Mar-22 21:24:02,7,10,0,8,2
Mar-22 21:24:03,7,10,0,7,2
Mar-22 21:24:04,7,10,0,7,2
Mar-22 21:24:05,7,10,0,7,2
Mar-22 21:24:06,7,10,0,7,2
Mar-22 21:24:07,7,8,1,7,3
Mar-22 21:24:08,7,10,0,8,2
Mar-22 21:24:09,7,10,0,8,2
Mar-22 21:24:10,7,10,0,8,2
Mar-22 21:24:11,7,10,0,8,2
Mar-22 21:24:12,7,10,0,8,2
Mar-22 21:24:13,7,10,0,7,2
Mar-22 21:24:14,7,10,0,7,2
Mar-22 21:24:15,7,10,0,7,2
Mar-22 21:24:16,7,10,0,7,2
Mar-22 21:24:17,7,10,0,7,2
Mar-22 21:24:18,7,9,1,7,3
Mar-22 21:24:19,7,10,0,8,2
Mar-22 21:24:20,7,10,0,8,2
Mar-22 21:24:21,7,10,0,8,2
Mar-22 21:24:22,7,10,0,8,2
Mar-22 21:24:23,7,10,0,8,2
Mar-22 21:24:24,7,10,0,8,2
Mar-22 21:24:25,7,10,0,7,2
Mar-22 21:24:26,7,10,0,7,2
Mar-22 21:24:27,7,10,0,6,2
Mar-22 21:24:28,7,10,0,6,2
Mar-22 21:24:29,7,10,0,7,2
Mar-22 21:24:30,7,10,0,7,2
Mar-22 21:24:31,7,10,0,6,2
Mar-22 21:24:32,7,10,0,6,2
Mar-22 21:24:33,7,10,0,7,2
Mar-22 21:24:34,7,11,1,7,2
Mar-22 21:24:35,7,12,0,6,1
Mar-22 21:24:36,7,12,0,6,1
Mar-22 21:24:37,7,12,0,6,1
Mar-22 21:24:38,7,12,0,6,1
Mar-22 21:24:39,7,12,0,6,1
Mar-22 21:24:40,7,12,0,7,1
Mar-22 21:24:41,7,12,0,7,1
Mar-22 21:24:42,7,12,0,7,1
Mar-22 21:24:43,7,12,0,7,1
Mar-22 21:24:44,7,12,0,7,1
Mar-22 21:24:45,7,12,0,7,1
Mar-22 21:24:46,7,12,0,6,1
Mar-22 21:24:47,7,12,0,6,1
Mar-22 21:24:48,7,12,0,6,1
Mar-22 21:24:49,7,12,0,6,1
Mar-22 21:24:50,7,12,0,6,1
Mar-22 21:24:51,7,12,0,7,1
Mar-22 21:24:52,7,12,0,7,1
Mar-22 21:24:53,7,12,0,7,1
Mar-22 21:24:54,7,12,0,7,1
Mar-22 21:24:55,7,12,0,7,1
Mar-22 21:24:56,7,12,0,8,1
Mar-22 21:24:57,7,12,0,8,1
Mar-22 21:24:58,7,12,0,7,1
Mar-22 21:24:59,7,12,0,7,1
Mar-22 21:25:00,7,12,0,7,1
Mar-22 21:25:01,7,12,0,7,1
Mar-22 21:25:02,7,12,0,8,1
Mar-22 21:25:03,7,12,0,8,1
Mar-22 21:25:04,7,12,0,8,1
Mar-22 21:25:05,7,12,0,8,1
Mar-22 21:25:06,7,12,0,8,1
Mar-22 21:25:07,7,12,0,8,1
Mar-22 21:25:08,7,12,0,7,1
Mar-22 21:25:09,7,12,0,7,1
Mar-22 21:25:10,7,12,0,7,1
Mar-22 21:25:11,7,12,0,7,1
Mar-22 21:25:12,7,11,1,7,2
Mar-22 21:25:13,7,12,0,9,1
Mar-22 21:25:14,7,12,0,9,1
Mar-22 21:25:15,7,12,0,9,1
Mar-22 21:25:16,7,12,0,9,1
Mar-22 21:25:17,7,12,0,9,1
Mar-22 21:25:18,7,12,0,9,1
Mar-22 21:25:19,7,12,0,9,1
Mar-22 21:25:20,7,12,0,8,1
Mar-22 21:25:21,7,12,0,8,1
Mar-22 21:25:22,7,12,0,8,1
Mar-22 21:25:23,7,11,1,8,2
Mar-22 21:25:24,7,12,0,9,1
Mar-22 21:25:25,7,12,0,9,1
Mar-22 21:25:26,7,12,0,9,1
Mar-22 21:25:27,7,12,0,9,1
Mar-22 21:25:28,7,12,0,9,1
Mar-22 21:25:29,7,12,0,9,1
Mar-22 21:25:30,7,12,0,9,1
Mar-22 21:25:31,7,12,0,8,1
Mar-22 21:25:32,7,12,0,8,1
Mar-22 21:25:33,7,12,0,8,1
Mar-22 21:25:34,7,11,1,9,2
Mar-22 21:25:35,7,12,0,9,1
Mar-22 21:25:36,7,12,0,9,1
Mar-22 21:25:37,7,12,0,9,1
Mar-22 21:25:38,7,12,0,9,1
Mar-22 21:25:39,7,12,0,9,1
Mar-22 21:25:40,7,12,0,9,1
Mar-22 21:25:41,7,12,0,8,1
Mar-22 21:25:42,7,12,0,8,1
Mar-22 21:25:43,7,12,0,8,1
Mar-22 21:25:44,7,12,0,8,1
Mar-22 21:25:45,7,12,0,9,1
Mar-22 21:25:46,7,12,0,9,1
Mar-22 21:25:47,7,12,0,9,1
Mar-22 21:25:48,7,12,0,9,1
Mar-22 21:25:49,7,12,0,9,1
Mar-22 21:25:50,7,12,0,9,1
Mar-22 21:25:51,7,12,0,8,1
Mar-22 21:25:52,7,12,0,8,1
Mar-22 21:25:53,7,12,0,8,1
Mar-22 21:25:54,7,12,0,8,1
Mar-22 21:25:55,7,12,0,8,1
Mar-22 21:25:56,7,12,0,9,1
Mar-22 21:25:57,7,12,0,8,1
Mar-22 21:25:58,7,12,0,8,1
Mar-22 21:25:59,7,12,0,8,1
Mar-22 21:26:00,7,12,0,8,1
Mar-22 21:26:01,7,12,0,8,1
Mar-22 21:26:02,7,12,0,8,1
Mar-22 21:26:03,7,12,0,7,1
Mar-22 21:26:04,7,12,0,7,1
Mar-22 21:26:05,7,12,0,7,1
Mar-22 21:26:06,7,12,0,7,1
Mar-22 21:26:07,7,12,0,8,1
Mar-22 21:26:08,7,12,0,8,1
Mar-22 21:26:09,7,12,0,8,1
Mar-22 21:26:10,7,12,0,8,1
Mar-22 21:26:11,7,12,0,8,1
Mar-22 21:26:12,7,12,0,8,1
Mar-22 21:26:13,7,12,0,8,1
Mar-22 21:26:14,7,12,0,6,1
Mar-22 21:26:15,7,12,0,6,1
Mar-22 21:26:16,7,12,0,6,1
Mar-22 21:26:17,7,12,0,6,1
Mar-22 21:26:18,7,10,0,7,2
Mar-22 21:26:19,7,10,0,7,2
Mar-22 21:26:20,7,10,0,7,2
Mar-22 21:26:21,7,10,0,7,2
Mar-22 21:26:22,7,10,0,7,2
Mar-22 21:26:23,7,10,0,7,2
Mar-22 21:26:24,7,10,0,6,2
Mar-22 21:26:25,7,10,0,6,2
Mar-22 21:26:26,7,10,0,6,2
Mar-22 21:26:27,7,10,0,6,2
Mar-22 21:26:28,7,10,0,6,2
Mar-22 21:26:29,7,10,0,7,2
Mar-22 21:26:30,7,10,0,7,2
Mar-22 21:26:31,7,10,0,7,2
Mar-22 21:26:32,7,10,0,7,2
Mar-22 21:26:33,7,10,0,7,2
Mar-22 21:26:34,7,10,0,6,2
Mar-22 21:26:35,7,10,0,7,2
Mar-22 21:26:36,7,10,0,6,2
Mar-22 21:26:37,7,11,0,6,2
Mar-22 21:26:38,7,10,0,6,3
Mar-22 21:26:39,7,10,0,6,3
Mar-22 21:26:40,7,10,0,7,3
Mar-22 21:26:41,7,10,0,8,2
Mar-22 21:26:42,7,10,0,8,2
Mar-22 21:26:43,7,10,0,8,2
Mar-22 21:26:44,7,10,0,8,2
Mar-22 21:26:45,7,10,0,8,2
Mar-22 21:26:46,7,10,0,7,2
Mar-22 21:26:47,7,10,0,7,2
Mar-22 21:26:48,7,10,0,7,2
Mar-22 21:26:49,7,10,0,7,2
Mar-22 21:26:50,7,10,0,7,2
Mar-22 21:26:51,7,10,0,8,2
Mar-22 21:26:52,7,10,0,8,2
Mar-22 21:26:53,7,10,0,8,2
Mar-22 21:26:54,7,10,0,8,2
Mar-22 21:26:55,7,10,0,8,2
Mar-22 21:26:56,7,10,0,8,2
Mar-22 21:26:57,7,10,0,7,2
Mar-22 21:26:58,7,10,0,7,2
Mar-22 21:26:59,7,10,0,7,2
Mar-22 21:27:00,7,10,0,7,2
Mar-22 21:27:01,7,10,0,7,2
Mar-22 21:27:02,7,10,0,8,2
Mar-22 21:27:03,7,10,0,8,2
Mar-22 21:27:04,7,10,0,8,2
Mar-22 21:27:05,7,10,0,8,2
Mar-22 21:27:06,7,10,0,8,2
Mar-22 21:27:07,7,10,0,8,2
Mar-22 21:27:08,7,10,0,8,2
Mar-22 21:27:09,7,10,0,7,2
Mar-22 21:27:10,7,10,0,7,2
Mar-22 21:27:11,7,10,0,7,2
Mar-22 21:27:12,7,9,1,7,3
Mar-22 21:27:13,7,10,0,9,2
Mar-22 21:27:14,7,10,0,9,2
Mar-22 21:27:15,7,10,0,9,2
Mar-22 21:27:16,7,10,0,9,2
Mar-22 21:27:17,7,10,0,9,2
Mar-22 21:27:18,7,10,0,9,2
Mar-22 21:27:19,7,10,0,8,2
Mar-22 21:27:20,7,10,0,8,2
Mar-22 21:27:21,7,10,0,8,2
Mar-22 21:27:22,7,10,0,8,2
Mar-22 21:27:23,7,10,0,9,2
Mar-22 21:27:24,7,10,0,10,1
Mar-22 21:27:25,7,10,0,10,1
Mar-22 21:27:26,7,10,0,10,1
Mar-22 21:27:27,7,10,0,10,1
Mar-22 21:27:28,7,10,0,10,1
Mar-22 21:27:29,7,10,0,9,1
Mar-22 21:27:30,7,10,0,9,1
Mar-22 21:27:31,7,10,0,9,1
Mar-22 21:27:32,7,10,0,9,1
Mar-22 21:27:33,7,10,0,9,1
Mar-22 21:27:34,7,12,0,9,1
Mar-22 21:27:35,7,12,0,9,1
Mar-22 21:27:36,7,12,0,8,1
Mar-22 21:27:37,7,12,0,9,1
Mar-22 21:27:38,7,12,0,9,1
Mar-22 21:27:39,7,12,0,9,1
Mar-22 21:27:40,7,12,1,9,1
Mar-22 21:27:41,7,12,1,9,1
Mar-22 21:27:42,7,12,1,7,1
Mar-22 21:27:43,7,12,1,7,1
Mar-22 21:27:44,7,12,1,7,1
Mar-22 21:27:45,7,12,1,8,1
Mar-22 21:27:46,7,12,1,8,1
Mar-22 21:27:47,7,12,1,8,1
Mar-22 21:27:48,7,12,1,8,1
Mar-22 21:27:49,7,12,1,8,1
Mar-22 21:27:50,7,12,1,8,1
Mar-22 21:27:51,7,12,1,8,1
Mar-22 21:27:52,7,12,1,7,1
Mar-22 21:27:53,7,12,1,7,1
Mar-22 21:27:54,7,12,1,7,1
Mar-22 21:27:55,7,12,1,7,1
Mar-22 21:27:56,7,12,1,8,1
Mar-22 21:27:57,7,12,1,8,1
Mar-22 21:27:58,7,12,1,8,1
Mar-22 21:27:59,7,13,1,8,1
Mar-22 21:28:00,7,13,0,8,1
Mar-22 21:28:01,7,13,0,8,1
Mar-22 21:28:02,7,13,0,7,1
Mar-22 21:28:03,7,13,0,7,1
Mar-22 21:28:04,7,13,0,7,1
Mar-22 21:28:05,7,13,0,7,1
Mar-22 21:28:06,7,13,0,7,1
Mar-22 21:28:07,7,13,0,8,1
Mar-22 21:28:08,7,13,0,8,1
Mar-22 21:28:09,7,13,0,8,1
Mar-22 21:28:10,7,13,0,8,1
Mar-22 21:28:11,7,13,0,8,1
Mar-22 21:28:12,7,13,0,8,1
Mar-22 21:28:13,7,13,0,9,1
Mar-22 21:28:14,7,13,0,9,1
Mar-22 21:28:15,7,13,0,7,1
Mar-22 21:28:16,7,13,0,7,1
Mar-22 21:28:17,7,13,0,7,1
Mar-22 21:28:18,7,13,0,8,1
Mar-22 21:28:19,7,13,0,8,1
Mar-22 21:28:20,7,13,0,8,1
Mar-22 21:28:21,7,13,0,8,1
Mar-22 21:28:22,7,13,0,8,1
Mar-22 21:28:23,7,13,0,8,1
Mar-22 21:28:24,7,13,0,8,1
Mar-22 21:28:25,7,13,0,6,1
Mar-22 21:28:26,7,13,0,6,1
Mar-22 21:28:27,7,13,0,6,1
Mar-22 21:28:28,7,13,0,6,1
Mar-22 21:28:29,7,11,0,7,2
Mar-22 21:28:30,7,11,0,7,2
Mar-22 21:28:31,7,11,0,7,2
Mar-22 21:28:32,7,11,0,7,2
Mar-22 21:28:33,7,11,0,7,2
Mar-22 21:28:34,7,11,0,7,2
Mar-22 21:28:35,7,11,0,7,2
Mar-22 21:28:36,7,11,0,7,2
Mar-22 21:28:37,7,11,0,6,2
Mar-22 21:28:38,7,11,0,7,2
Mar-22 21:28:39,7,11,0,7,2
Mar-22 21:28:40,7,11,0,8,2
Mar-22 21:28:41,7,11,0,8,2
Mar-22 21:28:42,7,11,0,8,2
Mar-22 21:28:43,7,11,0,8,2
Mar-22 21:28:44,7,11,0,8,2
Mar-22 21:28:45,7,11,0,7,2
Mar-22 21:28:46,7,11,0,7,2
Mar-22 21:28:47,7,11,0,7,2
Mar-22 21:28:48,7,11,0,7,2
Mar-22 21:28:49,7,11,0,7,2
Mar-22 21:28:50,7,11,0,7,2
Mar-22 21:28:51,7,11,0,8,2
Mar-22 21:28:52,7,12,0,8,2
Mar-22 21:28:53,7,11,0,8,3
Mar-22 21:28:54,7,11,0,8,3
Mar-22 21:28:55,7,11,0,8,3
Mar-22 21:28:56,7,11,0,8,3
Mar-22 21:28:57,7,11,0,8,3
Mar-22 21:28:58,7,11,0,7,3
Mar-22 21:28:59,7,11,0,7,3
Mar-22 21:29:00,7,11,0,7,3
Mar-22 21:29:01,7,11,0,7,3
Mar-22 21:29:02,7,11,0,8,3
Mar-22 21:29:03,7,11,0,8,3
Mar-22 21:29:04,7,11,0,8,3
Mar-22 21:29:05,7,11,0,8,3
Mar-22 21:29:06,7,11,0,8,3
Mar-22 21:29:07,7,11,0,8,3
Mar-22 21:29:08,7,11,0,7,3
Mar-22 21:29:09,7,11,0,7,3
Mar-22 21:29:10,7,11,0,7,3
Mar-22 21:29:11,7,11,0,7,3
Mar-22 21:29:12,7,11,0,7,3
Mar-22 21:29:13,7,11,0,8,3
Mar-22 21:29:14,7,11,0,7,3
Mar-22 21:29:15,7,11,0,7,3
Mar-22 21:29:16,7,11,0,7,3
Mar-22 21:29:17,7,11,0,7,3
Mar-22 21:29:18,7,11,0,7,3
Mar-22 21:29:19,7,11,0,7,3
Mar-22 21:29:20,7,11,0,6,3
Mar-22 21:29:21,7,11,0,6,3
Mar-22 21:29:22,7,11,0,6,3
Mar-22 21:29:23,7,11,0,6,3
Mar-22 21:29:24,7,11,0,7,3
Mar-22 21:29:25,7,11,0,7,3
Mar-22 21:29:26,7,11,0,7,3
Mar-22 21:29:27,7,11,0,7,3
Mar-22 21:29:28,7,11,0,7,3
Mar-22 21:29:29,7,11,0,7,3
Mar-22 21:29:30,7,11,0,6,3
Mar-22 21:29:31,7,11,0,6,3
Mar-22 21:29:32,7,11,0,6,3
Mar-22 21:29:33,7,11,0,6,3
Mar-22 21:29:34,7,11,0,6,3
Mar-22 21:29:35,7,12,1,7,3
Mar-22 21:29:36,7,12,1,7,4
Mar-22 21:29:37,7,12,1,7,4
Mar-22 21:29:38,7,10,1,7,4
Mar-22 21:29:39,7,11,0,7,3
Mar-22 21:29:40,7,11,0,7,3
Mar-22 21:29:41,7,11,0,6,3
Mar-22 21:29:42,7,11,0,6,3
Mar-22 21:29:43,7,11,0,6,3
Mar-22 21:29:44,7,11,0,6,3
Mar-22 21:29:45,7,10,1,6,4
Mar-22 21:29:46,7,11,0,7,3
Mar-22 21:29:47,7,11,0,7,3
Mar-22 21:29:48,7,11,0,7,3
Mar-22 21:29:49,7,11,0,7,3
Mar-22 21:29:50,7,11,0,7,3
Mar-22 21:29:51,7,11,0,7,3
Mar-22 21:29:52,7,11,0,7,3
Mar-22 21:29:53,7,11,0,6,3
Mar-22 21:29:54,7,11,0,6,3
Mar-22 21:29:55,7,11,0,6,3
Mar-22 21:29:56,7,10,1,7,3
Mar-22 21:29:57,7,13,0,7,2
Mar-22 21:29:58,7,13,0,7,2
Mar-22 21:29:59,7,13,0,7,2
Mar-22 21:30:00,7,13,0,7,2
Mar-22 21:30:01,7,13,0,7,2
Mar-22 21:30:02,7,13,0,7,2
Mar-22 21:30:03,7,13,0,6,2
Mar-22 21:30:04,7,13,0,6,2
Mar-22 21:30:05,7,13,0,6,2
Mar-22 21:30:06,7,13,0,6,2
Mar-22 21:30:07,7,13,0,7,2
Mar-22 21:30:08,7,13,0,7,2
Mar-22 21:30:09,7,13,0,7,1
Mar-22 21:30:10,7,13,0,8,1
Mar-22 21:30:11,7,13,0,8,1
Mar-22 21:30:12,7,13,0,8,1
Mar-22 21:30:13,7,13,0,7,1
Mar-22 21:30:14,7,13,0,7,1
Mar-22 21:30:15,7,13,0,7,1
Mar-22 21:30:16,7,13,0,7,1
Mar-22 21:30:17,7,13,0,7,1
Mar-22 21:30:18,7,13,0,8,1
Mar-22 21:30:19,7,13,0,8,1
Mar-22 21:30:20,7,13,0,8,1
Mar-22 21:30:21,7,13,0,8,1
Mar-22 21:30:22,7,13,0,8,1
Mar-22 21:30:23,7,13,0,8,1
Mar-22 21:30:24,7,13,0,8,1
Mar-22 21:30:25,7,13,0,8,1
Mar-22 21:30:26,7,13,0,7,1
Mar-22 21:30:27,7,13,0,7,1
Mar-22 21:30:28,7,13,0,7,1
Mar-22 21:30:29,7,13,0,8,1
Mar-22 21:30:30,7,13,0,8,1
Mar-22 21:30:31,7,13,0,8,1
Mar-22 21:30:32,7,13,0,8,1
Mar-22 21:30:33,7,13,0,8,1
Mar-22 21:30:34,7,13,0,8,1
Mar-22 21:30:35,7,13,0,8,1
Mar-22 21:30:36,7,13,0,7,1
Mar-22 21:30:37,7,13,0,7,1
Mar-22 21:30:38,7,13,0,7,1
Mar-22 21:30:39,7,13,0,7,1
Mar-22 21:30:40,7,13,0,7,1
Mar-22 21:30:41,7,13,0,8,1
Mar-22 21:30:42,7,13,0,8,1
Mar-22 21:30:43,7,13,0,8,1
Mar-22 21:30:44,7,13,0,8,1
Mar-22 21:30:45,7,13,0,8,1
Mar-22 21:30:46,7,13,0,7,1
Mar-22 21:30:47,7,13,0,7,1
Mar-22 21:30:48,7,13,0,7,1
Mar-22 21:30:49,7,13,0,7,1
Mar-22 21:30:50,7,13,0,7,1
Mar-22 21:30:51,7,13,0,8,1
Mar-22 21:30:52,7,13,0,8,1
Mar-22 21:30:53,7,13,0,8,1
Mar-22 21:30:54,7,13,0,8,1
Mar-22 21:30:55,7,13,0,8,1
Mar-22 21:30:56,7,13,0,8,1
Mar-22 21:30:57,7,13,0,8,1
Mar-22 21:30:58,7,13,0,7,1
Mar-22 21:30:59,7,13,0,7,1
Mar-22 21:31:00,7,13,0,7,1
Mar-22 21:31:01,7,13,0,7,1
Mar-22 21:31:02,7,13,0,7,1
Mar-22 21:31:03,7,13,0,8,1
Mar-22 21:31:04,7,13,0,8,1
Mar-22 21:31:05,7,13,0,8,1
Mar-22 21:31:06,7,13,0,8,1
Mar-22 21:31:07,7,13,0,8,1
Mar-22 21:31:08,7,13,0,8,1
Mar-22 21:31:09,7,13,0,7,1
Mar-22 21:31:10,7,13,0,7,1
Mar-22 21:31:11,7,13,0,6,1
Mar-22 21:31:12,7,13,0,6,1
Mar-22 21:31:13,7,13,0,6,1
Mar-22 21:31:14,7,13,0,7,1
Mar-22 21:31:15,7,13,0,7,1
Mar-22 21:31:16,7,11,0,7,2
Mar-22 21:31:17,7,11,0,7,2
Mar-22 21:31:18,7,11,0,7,2
Mar-22 21:31:19,7,11,0,6,2
Mar-22 21:31:20,7,11,0,6,2
Mar-22 21:31:21,7,11,0,6,2
Mar-22 21:31:22,7,11,0,6,2
Mar-22 21:31:23,7,11,0,6,2
Mar-22 21:31:24,7,11,0,6,2
Mar-22 21:31:25,7,11,0,7,2
Mar-22 21:31:26,7,11,0,7,2
Mar-22 21:31:27,7,11,0,7,2
Mar-22 21:31:28,7,11,0,7,2
Mar-22 21:31:29,7,11,0,6,2
Mar-22 21:31:30,7,11,0,6,2
Mar-22 21:31:31,7,11,0,6,2
Mar-22 21:31:32,7,11,0,6,2
Mar-22 21:31:33,7,11,0,6,2
Mar-22 21:31:34,7,11,0,6,2
Mar-22 21:31:35,7,11,0,6,2
Mar-22 21:31:36,7,11,0,7,2
Mar-22 21:31:37,7,12,0,7,2
Mar-22 21:31:38,7,11,0,7,3
Mar-22 21:31:39,7,11,0,8,2
Mar-22 21:31:40,7,11,0,8,2
Mar-22 21:31:41,7,11,0,6,2
Mar-22 21:31:42,7,11,0,7,2
Mar-22 21:31:43,7,11,0,7,2
Mar-22 21:31:44,7,11,0,7,2
Mar-22 21:31:45,7,11,0,7,2
Mar-22 21:31:46,7,10,1,7,3
Mar-22 21:31:47,7,11,0,8,2
Mar-22 21:31:48,7,11,0,8,2
Mar-22 21:31:49,7,11,0,8,2
Mar-22 21:31:50,7,11,0,8,2
Mar-22 21:31:51,7,11,0,8,2
Mar-22 21:31:52,7,11,0,7,2
Mar-22 21:31:53,7,11,0,7,2
Mar-22 21:31:54,7,11,0,7,2
Mar-22 21:31:55,7,11,0,7,2
Mar-22 21:31:56,7,11,0,7,2
Mar-22 21:31:57,7,11,0,7,2
Mar-22 21:31:58,7,11,0,7,2
Mar-22 21:31:59,7,11,0,7,2
Mar-22 21:32:00,7,11,0,7,2
Mar-22 21:32:01,7,11,0,7,2
Mar-22 21:32:02,7,11,0,7,2
