"Dstat 1.1.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dool/io_net_zones_time_lock_vm-adv_udp_raw_sys_page_proc.csv --io --net --zones --time --lock --vm-adv --udp --raw --sys --page --proc 1 600",,,,"Date:","23 Mar 2023 13:42:08 -03"
"io/total",,"net/total",,"zones memory",,,,"system","file locks",,,,"advanced virtual memory",,,,,"udp",,"raw","system",,"paging",,"procs",,
0,260,6184,7651,159767,3141,479719,22688,Mar-23 13:43:04,83,12,13,82,0,0,0,0,0,25,14,0,2923,9388,0,0,1,0,16
2,0,7463,11170,159767,3141,479264,22688,Mar-23 13:43:05,83,12,13,82,0,0,0,0,0,25,14,0,2659,7230,0,0,4,0,1
0,0,22885,10981,159767,3141,479036,22688,Mar-23 13:43:06,83,12,13,82,0,0,0,0,0,25,14,0,2465,5734,0,0,0,0,0
0,0,6294,7848,159767,3141,478861,22688,Mar-23 13:43:07,83,12,13,82,0,0,0,0,0,25,14,0,2562,5754,0,0,3,0,0
0,0,6506,8095,159767,3141,478945,22688,Mar-23 13:43:08,83,12,13,82,0,0,0,0,0,25,14,0,2542,5777,0,0,5,0,0
0,122,6184,7646,159767,3141,479576,22688,Mar-23 13:43:09,83,12,13,82,0,0,0,0,0,25,14,0,2822,8587,0,0,0,0,16
0,0,6535,8099,159767,3141,479318,22688,Mar-23 13:43:10,83,12,13,82,0,0,0,0,0,25,14,0,2516,5722,0,0,1,0,0
0,0,6413,8093,159767,3141,484427,22688,Mar-23 13:43:11,83,12,13,82,0,0,0,0,0,25,14,0,2728,6783,0,0,1,0,0
0,0,6314,8004,159767,3141,483381,22688,Mar-23 13:43:12,83,12,13,82,0,0,0,0,0,25,14,0,2367,6163,0,0,0,0,0
0,26,7719,13376,159767,3141,482954,22688,Mar-23 13:43:13,83,12,13,82,0,0,0,0,0,25,14,0,2549,6081,0,0,5,0,0
0,478,17106,9772,159767,3141,480842,22688,Mar-23 13:43:14,83,12,13,82,0,0,0,0,0,25,14,0,2992,9822,0,0,1,0,16
0,0,6565,8115,159767,3141,481012,22688,Mar-23 13:43:15,83,12,13,82,0,0,0,0,0,25,14,0,2724,6027,0,0,2,0,0
0,0,25011,15822,159767,3141,481624,22688,Mar-23 13:43:16,83,12,13,82,0,0,0,0,0,25,14,0,2578,6708,0,0,0,0,0
2,0,7674,8772,159767,3141,480841,22688,Mar-23 13:43:17,83,12,13,82,0,0,0,0,0,25,14,0,2560,6474,0,0,2,0,1
0,14,7110,8067,159767,3141,489345,22688,Mar-23 13:43:18,83,12,13,82,0,0,0,0,0,25,13,0,2551,6559,0,0,1,0,0
0,190,6452,7646,159767,3141,488829,22688,Mar-23 13:43:19,83,12,13,82,0,0,0,0,0,25,13,0,2814,8859,0,0,3,0,15
0,0,6184,7646,159767,3141,493552,22688,Mar-23 13:43:20,83,12,13,82,0,0,0,0,0,25,13,0,2705,5976,0,0,1,0,1
0,0,15904,23350,159767,3141,496744,22688,Mar-23 13:43:21,83,12,13,82,0,0,0,0,0,25,13,0,2706,6988,0,0,4,0,1
0,0,8260,12868,159767,3141,497409,22688,Mar-23 13:43:22,83,12,13,82,0,0,0,0,0,25,13,0,2526,5781,0,0,4,0,0
0,0,6839,8804,159767,3141,497178,22688,Mar-23 13:43:23,83,12,13,82,0,0,0,0,0,25,13,0,2558,5719,0,0,1,0,0
0,100,6294,7840,159767,3141,493400,22688,Mar-23 13:43:24,83,12,13,82,0,0,0,0,0,25,13,0,2905,7553,0,0,1,0,8
0,0,6184,7764,159767,3141,493324,22688,Mar-23 13:43:25,83,12,13,82,0,0,0,0,0,25,13,0,2686,7551,0,0,1,0,8
0,0,6893,8649,159767,3141,493212,22688,Mar-23 13:43:26,83,12,13,82,0,0,0,0,0,25,13,0,2727,6592,0,0,1,0,0
0,0,19979,12276,159767,3141,508867,22688,Mar-23 13:43:27,83,12,13,82,0,0,0,0,0,25,13,0,2572,6524,0,0,2,0,0
0,0,9632,9328,159767,3141,508889,22688,Mar-23 13:43:28,83,12,13,82,0,0,0,0,0,25,13,0,2629,5911,0,0,4,0,0
0,126,6294,7840,159767,3141,507876,22688,Mar-23 13:43:29,83,12,13,82,0,0,0,0,0,25,13,0,2747,7333,0,0,2,0,9
0,0,6417,7886,159767,3141,515849,22688,Mar-23 13:43:30,83,12,13,82,0,0,0,0,0,25,13,0,2610,6962,0,0,4,0,8
0,0,6413,7833,159767,3141,515803,22688,Mar-23 13:43:31,83,12,13,82,0,0,0,0,0,25,13,0,2580,5818,0,0,2,0,0
0,90,37753,14330,159767,3141,518698,22688,Mar-23 13:43:32,83,12,13,82,0,0,0,0,0,25,13,0,2812,8019,0,0,1,0,0
0,0,6505,8467,159767,3141,518290,22688,Mar-23 13:43:33,83,12,13,82,0,0,0,0,0,25,13,0,2643,6515,0,0,1,0,0
0,1916,6424,7840,159767,3141,517141,22688,Mar-23 13:43:34,83,12,13,82,0,0,0,0,0,25,13,0,4271,12599,0,0,1,0,8
0,0,6270,7752,159767,3141,517190,22688,Mar-23 13:43:35,83,12,13,82,0,0,0,0,0,25,13,0,2600,6876,0,0,1,0,8
0,0,6616,8268,159767,3141,516902,22688,Mar-23 13:43:36,83,12,13,82,0,0,0,0,0,25,13,0,2441,5807,0,0,2,0,0
0,30,6676,8083,159767,3141,516880,22688,Mar-23 13:43:37,83,12,13,82,0,0,0,0,0,25,13,0,2547,5691,0,0,0,0,0
0,0,22067,13382,159767,3141,516793,22688,Mar-23 13:43:38,83,12,13,82,0,0,0,0,0,25,13,0,2647,6672,0,0,3,0,0
0,338,7588,8277,159767,3141,492515,22688,Mar-23 13:43:39,83,12,13,82,0,0,0,0,0,25,13,0,4556,37297,0,0,3,0,8
0,0,6536,7988,159767,3141,488063,22688,Mar-23 13:43:40,83,12,13,82,0,0,0,0,0,25,13,0,2743,7672,0,0,0,0,8
0,0,6184,7764,159767,3141,487772,22688,Mar-23 13:43:41,83,12,13,82,0,0,0,0,0,25,13,0,2556,5987,0,0,5,0,1
0,40,6461,8169,159767,3141,487541,22688,Mar-23 13:43:42,83,12,13,82,0,0,0,0,0,25,13,0,2545,5768,0,0,1,0,0
0,0,6955,8486,159767,3141,487240,22688,Mar-23 13:43:43,83,12,13,82,0,0,0,0,0,25,13,0,2757,6238,0,0,2,0,0
0,48,7059,7858,159767,3141,486764,22688,Mar-23 13:43:44,83,12,13,82,0,0,0,0,0,25,13,0,2753,7051,0,0,2,0,8
0,60,6424,7703,159767,3141,486286,22688,Mar-23 13:43:45,83,12,13,82,0,0,0,0,0,25,13,0,2635,7078,0,0,1,0,8
0,0,6869,8455,159767,3141,496566,22688,Mar-23 13:43:46,83,12,13,82,0,0,0,0,0,25,13,0,2581,6329,0,0,1,0,0
0,0,6270,7646,159767,3141,494080,22688,Mar-23 13:43:47,83,12,13,82,0,0,0,0,0,25,13,0,2879,7180,0,0,4,0,0
0,0,6547,8503,159767,3141,493905,22688,Mar-23 13:43:48,83,12,13,82,0,0,0,0,0,25,13,0,2538,5857,0,0,4,0,0
0,24,38088,13883,159767,3141,493559,22688,Mar-23 13:43:49,83,12,13,82,0,0,0,0,0,25,13,0,2737,7818,0,0,2,0,8
377,484,9134,8224,159767,3141,497082,22688,Mar-23 13:43:50,83,12,13,82,0,0,0,0,0,25,13,0,3188,11020,0,0,0,0,8
563,12,6580,8228,159767,3141,497308,22688,Mar-23 13:43:51,83,12,13,82,0,0,0,0,0,25,13,0,3164,10535,0,0,0,0,0
470,74,6184,7783,159767,3141,497102,22688,Mar-23 13:43:52,83,12,13,82,0,0,0,0,0,25,13,0,2886,9497,0,0,0,0,0
564,12,6643,8322,159767,3141,498660,22688,Mar-23 13:43:53,83,12,13,82,0,0,0,0,0,25,13,0,3301,10850,0,0,1,0,0
1034,22,7207,8939,159767,3141,494840,22688,Mar-23 13:43:54,83,12,13,82,0,0,0,0,0,25,13,0,3534,16376,0,0,1,0,9
376,94,6184,7646,159767,3141,494504,22688,Mar-23 13:43:55,83,12,13,82,0,0,0,0,0,25,13,0,3066,10592,0,0,6,0,8
282,6,6800,8462,159767,3141,494273,22688,Mar-23 13:43:56,83,12,13,82,0,0,0,0,0,25,13,0,3249,11520,0,0,1,0,0
377,88,6314,7646,159767,3141,495106,22688,Mar-23 13:43:57,83,12,13,82,0,0,0,0,0,25,13,0,2853,8587,0,0,2,0,0
375,8,6294,7958,159767,3141,494952,22688,Mar-23 13:43:58,83,12,13,82,0,0,0,0,0,25,13,0,2922,9487,0,0,6,0,0
188,4,7308,10076,159767,3141,494477,22688,Mar-23 13:43:59,83,12,13,82,0,0,0,0,0,25,13,0,3023,12425,0,0,2,0,8
283,54,22202,13691,159767,3141,514729,22688,Mar-23 13:44:00,83,12,13,82,0,0,0,0,0,28,13,0,3012,9908,0,0,1,0,9
939,20,6294,8951,159767,3141,514301,22688,Mar-23 13:44:01,83,12,13,82,0,0,0,0,0,28,13,0,3143,14070,0,0,0,0,0
564,142,6481,8830,159767,3141,512503,22688,Mar-23 13:44:02,83,12,13,82,0,0,0,0,0,28,13,0,3375,12772,0,0,0,0,8
564,12,6463,9246,159767,3141,505587,22688,Mar-23 13:44:03,83,12,13,82,0,0,0,0,0,28,13,0,3100,10405,0,0,1,0,0
0,0,7821,11266,159767,3141,505854,22688,Mar-23 13:44:04,83,12,13,82,0,0,0,0,0,28,13,0,2659,8031,0,0,0,0,10
0,162,22122,11733,159767,3141,506075,22688,Mar-23 13:44:05,83,12,13,82,0,0,0,0,0,25,13,0,2850,7718,0,0,0,0,8
2,0,11491,95855,159767,3141,509657,22688,Mar-23 13:44:06,83,12,13,82,0,0,0,0,0,25,13,0,2665,6589,0,0,1,0,2
0,18,6184,7646,159767,3141,509574,22688,Mar-23 13:44:07,83,12,13,82,0,0,0,0,0,25,13,0,2513,6586,0,0,4,0,0
0,0,7183,8300,159767,3141,512215,22688,Mar-23 13:44:08,83,12,13,82,0,0,0,0,0,25,13,0,2703,6909,0,0,0,0,0
0,66,6400,7840,159767,3141,508986,22688,Mar-23 13:44:09,83,12,13,82,0,0,0,0,0,25,13,0,2823,7513,0,0,1,0,8
0,1996,6351,8405,159767,3141,509032,22688,Mar-23 13:44:10,83,12,13,82,0,0,0,0,0,25,13,0,4290,14516,0,0,3,0,8
382,38,6523,8145,159767,3141,509202,22688,Mar-23 13:44:11,83,12,13,82,0,0,0,0,0,25,13,0,2967,9265,0,0,2,0,2
0,0,6184,7646,159767,3141,509104,22688,Mar-23 13:44:12,83,12,13,82,0,0,0,0,0,25,13,0,2536,5797,0,0,2,0,0
0,0,7152,9263,159767,3141,506112,22688,Mar-23 13:44:13,83,12,13,82,0,0,0,0,0,25,13,0,2711,6156,0,0,2,0,0
0,0,8241,9297,159767,3141,508248,22688,Mar-23 13:44:14,83,12,13,82,0,0,0,0,0,25,13,0,2814,7553,0,0,1,0,8
0,328,28509,403155,159767,3141,507241,22688,Mar-23 13:44:15,83,12,13,82,0,0,0,0,0,25,13,0,2907,9290,0,0,3,0,8
0,20,12194,282934,159767,3141,507471,22688,Mar-23 13:44:16,83,12,13,82,0,0,0,0,0,25,13,0,2777,6181,0,0,3,0,0
0,0,6294,7840,159767,3141,481812,22688,Mar-23 13:44:17,83,12,13,82,0,0,0,0,0,25,13,0,3501,35999,0,0,3,0,0
0,0,6314,7788,159767,3141,481552,22688,Mar-23 13:44:18,83,12,13,82,0,0,0,0,0,25,13,0,2539,5719,0,0,1,0,1
0,0,6410,7902,159767,3141,481519,22688,Mar-23 13:44:19,83,12,13,82,0,0,0,0,0,25,13,0,2608,6668,0,0,3,0,7
0,80,6270,8110,159767,3141,482060,22688,Mar-23 13:44:20,83,12,13,82,0,0,0,0,0,25,13,0,2757,7397,0,0,3,0,9
0,74,7759,11499,159767,3141,482338,22688,Mar-23 13:44:21,83,12,13,82,0,0,0,0,0,25,13,0,2577,6323,0,0,2,0,0
0,0,6294,7703,159767,3141,482119,22688,Mar-23 13:44:22,83,12,13,82,0,0,0,0,0,25,13,0,2472,6627,0,0,0,0,0
0,0,7468,11238,159767,3141,482770,22688,Mar-23 13:44:23,83,12,13,82,0,0,0,0,0,25,13,0,2503,5899,0,0,2,0,0
0,0,6481,7975,159767,3141,480469,22688,Mar-23 13:44:24,83,12,13,82,0,0,0,0,0,25,13,0,2574,6167,0,0,2,0,0
0,0,7767,12384,159767,3141,479928,22688,Mar-23 13:44:25,83,12,13,82,0,0,0,0,0,25,13,0,2763,8928,0,0,0,0,16
0,504,39126,16489,159767,3141,478591,22688,Mar-23 13:44:26,83,12,13,82,0,0,0,0,0,25,13,0,2968,7407,0,0,2,0,0
0,2,8079,9361,159767,3141,478302,22688,Mar-23 13:44:27,83,12,13,82,0,0,0,0,0,25,13,0,2540,5785,0,0,4,0,0
0,28,9412,10430,159767,3141,478845,22688,Mar-23 13:44:28,83,12,13,82,0,0,0,0,0,25,13,0,2688,6348,0,0,1,0,0
0,0,6184,7646,159767,3141,478658,22688,Mar-23 13:44:29,83,12,13,82,0,0,0,0,0,25,13,0,2648,6991,0,0,1,0,0
0,0,6461,7962,159767,3141,478759,22688,Mar-23 13:44:30,83,12,13,82,0,0,0,0,0,25,13,0,2913,8069,0,0,3,0,17
0,50,6413,8333,159767,3141,478544,22688,Mar-23 13:44:31,83,12,13,82,0,0,0,0,0,25,13,0,2500,5833,0,0,3,0,0
0,0,6814,9543,159767,3141,487738,22688,Mar-23 13:44:32,83,12,13,82,0,0,0,0,0,25,13,0,2966,7108,0,0,0,0,0
0,0,38072,12821,159767,3141,487631,22688,Mar-23 13:44:33,83,12,13,82,0,0,0,0,0,25,13,0,2481,5952,0,0,2,0,0
0,4,6290,7788,159767,3141,487034,22688,Mar-23 13:44:34,83,12,13,82,0,0,0,0,0,25,13,0,2489,5643,0,0,1,0,0
0,0,8417,8145,159767,3141,488111,22688,Mar-23 13:44:35,83,12,13,82,0,0,0,0,0,25,13,0,2709,8406,0,0,3,0,16
0,156,6616,8621,159767,3141,488581,22688,Mar-23 13:44:36,83,12,13,82,0,0,0,0,0,25,13,0,2764,7295,0,0,3,0,0
0,0,23535,13449,159767,3141,488434,22688,Mar-23 13:44:37,83,12,13,82,0,0,0,0,0,25,13,0,2563,6622,0,0,0,0,0
0,0,6506,8350,159767,3141,489246,22688,Mar-23 13:44:38,83,12,13,82,0,0,0,0,0,25,13,0,2587,5839,0,0,4,0,0
0,90,6351,7975,159767,3141,488961,22688,Mar-23 13:44:39,83,12,13,82,0,0,0,0,0,25,13,0,2590,6299,0,0,2,0,0
0,0,6258,7646,159767,3141,489666,22688,Mar-23 13:44:40,83,12,13,82,0,0,0,0,0,25,13,0,2621,8116,0,0,0,0,16
0,94,6406,8209,159767,3141,489528,22688,Mar-23 13:44:41,83,12,13,82,0,0,0,0,0,25,13,0,2619,6044,0,0,1,0,0
0,0,6314,7901,159767,3141,489309,22688,Mar-23 13:44:42,83,12,13,82,0,0,0,0,0,25,13,0,2568,5969,0,0,1,0,0
8,64,6573,8322,159767,3141,489197,22688,Mar-23 13:44:43,83,12,13,82,0,0,0,0,0,25,13,0,2752,7150,0,0,3,0,1
0,32,6358,7646,159767,3141,488956,22688,Mar-23 13:44:44,83,12,13,82,0,0,0,0,0,25,13,0,2598,6069,0,0,3,0,0
0,0,6708,7509,159767,3141,488609,22688,Mar-23 13:44:45,83,12,13,82,0,0,0,0,0,25,13,0,2670,7961,0,0,0,0,16
0,132,6893,8649,159767,3141,517621,22688,Mar-23 13:44:46,83,12,13,82,0,0,0,0,0,25,13,0,2588,5971,0,0,1,0,0
0,0,7523,11470,159767,3141,511858,22688,Mar-23 13:44:47,83,12,13,82,0,0,0,0,0,25,13,0,2706,6953,0,0,1,0,0
0,0,22156,10358,159767,3141,512231,22688,Mar-23 13:44:48,83,12,13,82,0,0,0,0,0,25,13,0,2543,5836,0,0,1,0,0
0,32,6294,7840,159767,3141,512418,22688,Mar-23 13:44:49,83,12,13,82,0,0,0,0,0,25,13,0,2417,5902,0,0,1,0,0
0,0,6351,7905,159767,3141,512754,22688,Mar-23 13:44:50,83,12,13,82,0,0,0,0,0,25,13,0,2895,9163,0,0,1,0,15
0,2246,6690,8559,159767,3141,513408,22688,Mar-23 13:44:51,83,12,13,82,0,0,0,0,0,25,13,0,4244,11690,0,0,1,0,1
0,0,6184,8264,159767,3141,513257,22688,Mar-23 13:44:52,83,12,13,82,0,0,0,0,0,25,13,0,2477,5685,0,0,1,0,0
0,0,6916,8421,159767,3141,512952,22688,Mar-23 13:44:53,83,12,13,82,0,0,0,0,0,25,13,0,2567,5848,0,0,0,0,0
0,50,6294,7958,159767,3141,509105,22688,Mar-23 13:44:54,83,12,13,82,0,0,0,0,0,25,13,0,2604,6286,0,0,1,0,0
0,0,6270,7752,159767,3141,483477,22688,Mar-23 13:44:55,83,12,13,82,0,0,0,0,0,25,13,0,3767,36969,0,0,7,0,13
0,104,6616,8126,159767,3141,483561,22688,Mar-23 13:44:56,83,12,13,82,0,0,0,0,0,25,13,0,2800,7190,0,0,1,0,4
0,0,6424,7840,159767,3141,482878,22688,Mar-23 13:44:57,83,12,13,82,0,0,0,0,0,25,13,0,2561,6951,0,0,5,0,0
0,0,22279,12662,159767,3141,482680,22688,Mar-23 13:44:58,83,12,13,82,0,0,0,0,0,25,13,0,2752,6841,0,0,4,0,0
0,22,7844,8906,159767,3141,482844,22688,Mar-23 13:44:59,83,12,13,82,0,0,0,0,0,25,13,0,2524,5909,0,0,1,0,0
0,0,6184,7509,159767,3141,483082,22688,Mar-23 13:45:00,83,12,13,82,0,0,0,0,0,25,13,0,2630,6945,0,0,2,0,8
0,476,6184,7764,159767,3141,482914,22688,Mar-23 13:45:01,83,12,13,82,0,0,0,0,0,25,13,0,2777,7689,0,0,1,0,8
0,0,6294,7840,159767,3141,483488,22688,Mar-23 13:45:02,83,12,13,82,0,0,0,0,0,25,13,0,2774,9122,0,0,2,0,11
0,0,6593,8128,159767,3141,482142,22688,Mar-23 13:45:03,83,12,13,82,0,0,0,0,0,25,13,0,2595,6033,0,0,5,0,0
0,26,6258,7901,159767,3141,481022,22688,Mar-23 13:45:04,83,12,13,82,0,0,0,0,0,25,13,0,2621,6917,0,0,1,0,0
0,0,8125,8370,159767,3141,477634,22688,Mar-23 13:45:05,83,12,13,82,0,0,0,0,0,25,13,0,2620,7034,0,0,2,0,8
0,50,6783,8455,159767,3141,477265,22688,Mar-23 13:45:06,83,12,13,82,0,0,0,0,0,25,13,0,2691,7051,0,0,2,0,8
