"Dstat 1.1.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dool/page_tcp_vm-adv_udp_mem_socket_raw_int.csv --page --tcp --vm-adv --udp --mem --socket --raw --int 1 600",,,,"Date:","23 Mar 2023 13:42:08 -03"
"paging",,"tcp sockets",,,,,"advanced virtual memory",,,,,"udp",,"memory usage",,,,"sockets",,,,,"raw","interrupts",,
0,0,7,21,0,8,4,0,0,0,0,0,25,14,5384470528,2640769024,7949627392,11049615360,1204,26,33,0,0,0,0,155,0
0,0,7,21,0,8,4,0,0,0,0,0,25,14,5387010048,2637561856,7950295040,11041456128,1204,26,33,0,0,0,0,128,0
0,0,7,21,0,8,4,0,0,0,0,0,25,13,5352075264,2672394240,7950397440,11141574656,1203,26,33,0,0,0,0,130,0
0,0,7,21,0,8,4,0,0,0,0,0,25,13,5352271872,2670280704,7952314368,11141636096,1203,26,33,0,0,0,0,120,0
0,0,7,21,0,8,4,0,0,0,0,0,25,13,5332197376,2689110016,7953559552,11139207168,1203,26,33,0,0,0,0,155,0
0,0,7,23,0,8,3,0,0,0,0,0,25,13,5318279168,2702700544,7953887232,11139338240,1204,27,33,0,0,0,0,152,0
0,0,7,23,0,8,3,0,0,0,0,0,25,13,5319258112,2705424384,7950184448,11139940352,1204,27,33,0,0,0,0,129,0
0,0,7,23,0,7,2,0,0,0,0,0,25,13,5320417280,2704478208,7949971456,11138772992,1204,27,33,0,0,0,0,130,0
0,0,7,23,0,7,2,0,0,0,0,0,25,13,5335760896,2689003520,7950102528,11141222400,1204,27,33,0,0,0,0,121,0
0,0,7,23,0,7,2,0,0,0,0,0,25,13,5335465984,2688692224,7950708736,11140812800,1204,27,33,0,0,0,0,117,0
0,0,7,23,0,7,2,0,0,0,0,0,25,13,5333520384,2688233472,7953113088,11142578176,1204,27,33,0,0,0,0,169,0
0,0,7,23,0,8,2,0,0,0,0,0,25,13,5269913600,2752356352,7952596992,11161362432,1204,27,33,0,0,0,0,140,0
0,0,7,23,0,8,2,0,0,0,0,0,25,13,5269987328,2752217088,7952662528,11161223168,1204,27,33,0,0,0,0,125,0
0,0,7,23,0,8,2,0,0,0,0,0,25,13,5273366528,2748297216,7953203200,11157336064,1204,27,33,0,0,0,0,120,0
0,0,7,23,0,8,2,0,0,0,0,0,25,13,5248397312,2780954624,7945510912,11175428096,1204,27,33,0,0,0,0,122,0
0,0,7,23,0,7,2,0,0,0,0,0,25,13,5249110016,2780766208,7944986624,11175239680,1204,27,33,0,0,0,0,116,0
0,0,7,23,0,8,2,0,0,0,0,0,25,13,5236920320,2792624128,7945318400,11165753344,1204,27,33,0,0,0,0,192,0
0,0,7,23,0,8,2,0,0,0,0,0,25,13,5235720192,2790952960,7948189696,11166552064,1204,27,33,0,0,0,0,125,0
0,0,7,23,0,8,2,0,0,0,0,0,25,13,5240934400,2786246656,7947681792,11161866240,1204,27,33,0,0,0,0,119,0
0,0,7,23,0,7,2,0,0,0,0,0,25,13,5240987648,2786189312,7947685888,11173138432,1204,27,33,0,0,0,0,122,0
0,0,7,23,0,7,2,0,0,0,0,0,25,13,5241675776,2785038336,7948148736,11171991552,1204,27,33,0,0,0,0,121,0
0,0,7,23,0,7,2,0,0,0,0,0,25,13,5243891712,2785177600,7945793536,11169779712,1204,27,33,0,0,0,0,121,0
0,0,7,23,0,8,2,0,0,0,0,0,25,13,5244346368,2784305152,7946211328,11168919552,1204,27,33,0,0,0,0,169,0
0,0,7,23,0,8,2,0,0,0,0,0,25,13,5344288768,2683830272,7946743808,11048849408,1204,27,33,0,0,0,0,123,0
0,0,7,23,0,8,2,0,0,0,0,0,25,13,5354274816,2667143168,7953444864,11039801344,1204,27,33,0,0,0,0,128,0
0,0,7,23,0,8,2,0,0,0,0,0,25,13,5355659264,2665693184,7953510400,11038351360,1204,27,33,0,0,0,0,115,0
0,0,7,23,0,8,2,0,0,0,0,0,25,13,5356871680,2664747008,7953244160,11037405184,1204,27,33,0,0,0,0,122,0
0,0,7,23,0,8,2,0,0,0,0,0,25,13,5360705536,2663256064,7950901248,11033563136,1204,27,33,0,0,0,0,127,0
0,0,7,22,0,9,2,0,0,0,0,0,25,13,5362126848,2661564416,7951171584,11031904256,1203,27,33,0,0,0,0,168,0
0,0,7,22,0,8,2,0,0,0,0,0,25,13,5364350976,2659864576,7950647296,11084853248,1203,27,33,0,0,0,0,120,0
0,0,7,22,0,8,2,0,0,0,0,0,25,13,5322194944,2701971456,7950696448,11088314368,1203,27,33,0,0,0,0,127,0
0,0,7,22,0,8,2,0,0,0,0,0,25,13,5328351232,2691788800,7954722816,11097358336,1203,27,33,0,0,0,0,119,0
0,0,7,22,0,8,2,0,0,0,0,0,25,13,5330227200,2690826240,7953809408,11095199744,1203,27,33,0,0,0,0,126,0
0,0,7,22,0,9,2,0,0,0,0,0,25,13,5331914752,2689654784,7953293312,11095625728,1203,27,33,0,0,0,0,148,0
0,0,7,22,0,9,2,0,0,0,0,0,25,13,5319802880,2704101376,7950958592,11090202624,1203,27,33,0,0,0,0,158,0
0,0,7,22,0,9,2,0,0,0,0,0,25,13,5318615040,2704764928,7951482880,11090866176,1203,27,33,0,0,0,0,118,0
0,0,7,22,0,9,2,0,0,0,0,0,25,13,5319200768,2704166912,7951495168,11090288640,1203,27,33,0,0,0,0,122,0
0,0,7,22,0,9,2,0,0,0,0,0,25,13,5313273856,2710548480,7951040512,11171487744,1203,27,33,0,0,0,0,125,0
0,0,7,22,0,10,2,0,0,0,0,0,25,13,5326303232,2694901760,7953657856,11154333696,1203,27,33,0,0,0,0,126,0
0,0,7,22,0,9,2,0,0,0,0,0,25,13,5327343616,2693525504,7953993728,11152945152,1203,27,33,0,0,0,0,117,0
0,0,7,22,0,9,2,0,0,0,0,0,25,13,5327040512,2692579328,7955243008,11151437824,1203,27,33,0,0,0,0,172,0
0,0,7,22,0,9,2,0,0,0,0,0,25,13,5326020608,2695991296,7952850944,11152736256,1203,27,33,0,0,0,0,120,0
0,0,7,22,0,9,2,0,0,0,0,0,25,13,5328150528,2695360512,7951351808,11151896576,1203,27,33,0,0,0,0,123,0
0,0,7,24,0,8,1,0,0,0,0,0,25,13,5329813504,2693156864,7951892480,11149729792,1204,28,33,0,0,0,0,129,0
0,0,7,24,0,8,1,0,0,0,0,0,28,13,5246566400,2776367104,7951929344,11148509184,1207,28,36,0,0,0,0,136,0
0,0,7,24,0,8,1,0,0,0,0,0,28,13,5246472192,2774614016,7953776640,11150422016,1207,28,36,0,0,0,0,122,0
0,0,7,24,0,8,1,0,0,0,0,0,28,13,5253996544,2766733312,7954132992,11138015232,1207,28,36,0,0,0,0,166,0
0,0,7,24,0,8,1,0,0,0,0,0,28,13,5281406976,2738921472,7954534400,11109044224,1209,28,36,0,0,0,0,125,0
0,0,7,24,0,9,1,0,0,0,0,0,28,13,5283094528,2740015104,7951720448,11107602432,1207,28,36,0,0,0,0,134,0
0,0,7,24,0,9,1,0,0,0,0,0,25,13,5282050048,2740920320,7951859712,11108646912,1204,28,33,0,0,0,0,134,0
0,0,7,24,0,8,1,0,0,0,0,0,25,13,5267075072,2755592192,7952162816,11123322880,1204,28,33,0,0,0,0,152,0
0,0,7,24,0,8,1,0,0,0,0,0,25,13,5267189760,2755252224,7952371712,11122999296,1204,28,33,0,0,0,0,119,0
0,0,7,24,0,8,1,0,0,0,0,0,25,13,5259833344,2766069760,7948922880,11131338752,1204,28,33,0,0,0,0,171,0
0,0,7,24,0,8,1,0,0,0,0,0,25,13,5273092096,2752843776,7948890112,11150331904,1204,28,33,0,0,0,0,119,0
0,0,7,24,0,8,1,0,0,0,0,0,25,13,5272522752,2753032192,7949271040,11150553088,1204,28,33,0,0,0,0,119,0
0,0,7,24,0,8,1,0,0,0,0,0,25,13,5273821184,2753728512,7947276288,11148947456,1204,28,33,0,0,0,0,123,0
0,0,7,24,0,8,1,0,0,0,0,0,25,13,5274984448,2753069056,7946772480,11148308480,1204,28,33,0,0,0,0,115,0
0,0,7,24,0,8,1,0,0,0,0,0,25,13,5273636864,2741071872,7960018944,11136409600,1204,28,33,0,0,0,0,126,0
0,0,7,24,0,8,1,0,0,0,0,0,25,13,5267542016,2749820928,7957348352,11164016640,1204,28,33,0,0,0,0,173,0
0,0,7,24,0,9,1,0,0,0,0,0,25,13,5267935232,2745696256,7961063424,11162316800,1204,28,33,0,0,0,0,164,0
0,0,7,24,0,9,1,0,0,0,0,0,25,13,5267718144,2746638336,7960338432,11163262976,1204,28,33,0,0,0,0,184,0
0,0,7,24,0,9,1,0,0,0,0,0,25,13,5370765312,2641539072,7962390528,11024793600,1204,28,33,0,0,0,0,119,0
0,0,7,24,0,8,1,0,0,0,0,0,25,13,5379944448,2640474112,7954276352,11022979072,1204,28,33,0,0,0,0,121,0
0,0,7,24,0,8,1,0,0,0,0,0,25,13,5380595712,2640338944,7953760256,11020496896,1204,28,33,0,0,0,0,124,0
0,0,7,24,0,8,1,0,0,0,0,0,25,13,5378478080,2642440192,7953776640,11022622720,1204,28,33,0,0,0,0,167,0
0,0,7,24,0,8,1,0,0,0,0,0,25,13,5376999424,2643693568,7954001920,11030872064,1204,28,33,0,0,0,0,127,0
0,0,7,24,0,8,1,0,0,0,0,0,25,13,5375139840,2642796544,7956758528,11032784896,1204,28,33,0,0,0,0,119,0
0,0,7,24,0,8,1,0,0,0,0,0,25,13,5372305408,2645463040,7956926464,11035541504,1204,28,33,0,0,0,0,125,0
0,0,7,24,0,8,1,0,0,0,0,0,25,13,5382615040,2635538432,7956541440,11053326336,1204,28,33,0,0,0,0,120,0
0,0,7,24,0,9,1,0,0,0,0,0,25,13,5387538432,2632790016,7954366464,11048632320,1204,28,33,0,0,0,0,135,0
0,0,7,22,0,10,2,0,0,0,0,0,25,13,5391941632,2628087808,7954665472,11043708928,1203,27,33,0,0,0,0,211,0
0,0,7,22,0,10,2,0,0,0,0,0,25,13,5392855040,2627162112,7954677760,11042799616,1203,27,33,0,0,0,0,126,0
0,0,7,22,0,9,1,0,0,0,0,0,25,13,5390987264,2629386240,7954321408,11060469760,1203,26,33,0,0,0,0,132,0
0,0,7,22,0,9,1,0,0,0,0,0,25,13,5390200832,2627891200,7956602880,11061051392,1203,26,33,0,0,0,0,119,0
0,0,7,22,0,9,1,0,0,0,0,0,25,13,5388718080,2628816896,7957127168,11054063616,1203,26,33,0,0,0,0,122,0
0,0,7,22,0,9,1,0,0,0,0,0,25,13,5389455360,2628153344,7957053440,11053400064,1203,26,33,0,0,0,0,122,0
0,0,7,21,1,9,1,0,0,0,0,0,25,13,5353594880,2665353216,7955714048,11155980288,1203,26,33,0,0,0,0,166,0
0,0,7,22,0,9,1,0,0,0,0,0,25,13,5354889216,2665373696,7954399232,11154685952,1203,26,33,0,0,0,0,149,0
0,0,7,22,0,9,1,0,0,0,0,0,25,13,5355687936,2662928384,7956045824,11152248832,1203,26,33,0,0,0,0,115,0
0,0,7,22,0,9,1,0,0,0,0,0,25,13,5351591936,2667081728,7955988480,11154014208,1203,26,33,0,0,0,0,121,0
0,0,7,22,0,9,1,0,0,0,0,0,25,13,5348220928,2669584384,7956856832,11158212608,1203,26,33,0,0,0,0,125,0
0,0,7,22,0,10,1,0,0,0,0,0,25,13,5349142528,2668662784,7956856832,11157291008,1203,26,33,0,0,0,0,146,0
0,0,7,22,0,9,1,0,0,0,0,0,25,13,5348012032,2671489024,7955161088,11157786624,1203,26,33,0,0,0,0,155,0
0,0,7,22,0,9,1,0,0,0,0,0,25,13,5348569088,2670821376,7955271680,11157667840,1203,26,33,0,0,0,0,120,0
0,0,7,22,0,9,1,0,0,0,0,0,25,13,5346308096,2673451008,7954886656,11158839296,1203,26,33,0,0,0,0,115,0
0,0,7,22,0,9,1,0,0,0,0,0,25,13,5346865152,2672627712,7955152896,11158016000,1203,26,33,0,0,0,0,124,0
0,0,7,22,0,9,1,0,0,0,0,0,25,13,5346988032,2672246784,7955410944,11156848640,1203,26,33,0,0,0,0,116,0
0,0,7,22,0,9,1,0,0,0,0,0,25,13,5345976320,2671276032,7957377024,11159273472,1203,26,33,0,0,0,0,123,0
0,0,7,22,0,8,1,0,0,0,0,0,25,13,5346451456,2670800896,7957377024,11158847488,1203,26,33,0,0,0,0,152,0
0,0,7,22,0,8,1,0,0,0,0,0,25,13,5347393536,2669379584,7957856256,11157446656,1203,26,33,0,0,0,0,124,0
0,0,7,22,0,8,1,0,0,0,0,0,25,13,5236523008,2787954688,7950143488,11152556032,1203,26,33,0,0,0,0,125,0
0,0,7,22,0,9,1,0,0,0,0,0,25,13,5260582912,2764189696,7949848576,11128954880,1203,26,33,0,0,0,0,134,0
0,0,7,22,0,9,1,0,0,0,0,0,25,13,5258633216,2766135296,7949852672,11132416000,1203,26,33,0,0,0,0,134,0
0,0,7,22,0,9,1,0,0,0,0,0,25,13,5257342976,2766901248,7950376960,11157155840,1203,26,33,0,0,0,0,123,0
0,0,7,22,0,9,1,0,0,0,0,0,25,13,5253500928,2768277504,7952842752,11161227264,1203,26,33,0,0,0,0,152,0
0,0,7,22,0,8,1,0,0,0,0,0,25,13,5251342336,2771021824,7952257024,11163975680,1203,26,33,0,0,0,0,128,0
0,0,7,22,0,8,1,0,0,0,0,0,25,13,5252263936,2770092032,7952265216,11163045888,1203,26,33,0,0,0,0,121,0
0,0,7,22,0,8,1,0,0,0,0,0,25,13,5254533120,2768613376,7951474688,11159212032,1203,26,33,0,0,0,0,127,0
0,0,7,22,0,8,1,0,0,0,0,0,25,13,5269725184,2753331200,7951564800,11143938048,1203,26,33,0,0,0,0,116,0
0,0,7,22,0,7,1,0,0,0,0,0,25,13,5371641856,2647842816,7955120128,11011411968,1203,26,33,0,0,0,0,121,0
0,0,7,22,0,7,1,0,0,0,0,0,25,13,5371297792,2648186880,7955120128,11034386432,1203,26,33,0,0,0,0,164,0
0,0,7,22,0,7,1,0,0,0,0,0,25,13,5371109376,2645659648,7957835776,11030847488,1203,26,33,0,0,0,0,119,0
0,0,7,22,0,8,1,0,0,0,0,0,25,13,5371412480,2645094400,7958097920,11030183936,1203,26,33,0,0,0,0,144,0
0,0,7,22,0,8,1,0,0,0,0,0,25,13,5371006976,2645766144,7957831680,11030855680,1203,26,33,0,0,0,0,122,0
0,0,7,22,0,8,1,0,0,0,0,0,25,13,5372874752,2646482944,7955247104,11046289408,1203,26,33,0,0,0,0,120,0
0,0,7,22,0,8,1,0,0,0,0,0,25,13,5374128128,2646052864,7954419712,11044294656,1203,26,33,0,0,0,0,120,0
0,0,7,22,0,8,1,0,0,0,0,0,25,13,5370441728,2648150016,7956008960,11049607168,1203,26,33,0,0,0,0,145,0
0,0,7,22,0,8,1,0,0,0,0,0,25,13,5376000000,2642890752,7955709952,11044360192,1203,26,33,0,0,0,0,121,0
0,0,7,22,0,8,1,0,0,0,0,0,25,13,5378195456,2638303232,7958102016,11044896768,1203,26,33,0,0,0,0,122,0
0,0,7,22,0,7,1,0,0,0,0,0,25,13,5391790080,2624425984,7958384640,11031080960,1203,26,33,0,0,0,0,125,0
0,0,7,22,0,7,1,0,0,0,0,0,25,13,5393018880,2622922752,7958659072,11029594112,1203,26,33,0,0,0,0,123,0
0,0,7,22,0,7,1,0,0,0,0,0,25,13,5394894848,2623754240,7955968000,11028299776,1203,26,33,0,0,0,0,117,0
0,0,7,22,0,7,1,0,0,0,0,0,25,13,5397921792,2622128128,7954550784,11025350656,1203,26,33,0,0,0,0,165,0
0,0,7,22,0,8,1,0,0,0,0,0,25,13,5380452352,2637492224,7956656128,11035754496,1203,26,33,0,0,0,0,175,0
0,0,7,22,1,8,1,0,0,0,0,0,25,13,5349699584,2668109824,7956791296,11147296768,1206,27,33,0,0,0,0,129,0
0,0,7,22,1,8,1,0,0,0,0,0,25,13,5347332096,2667782144,7959486464,11149336576,1206,27,33,0,0,0,0,120,0
0,0,7,22,1,8,1,0,0,0,0,0,25,13,5348368384,2666561536,7959670784,11148140544,1206,27,33,0,0,0,0,115,0
0,0,7,22,1,8,1,0,0,0,0,0,25,13,5340213248,2677374976,7957012480,11156828160,1206,27,33,0,0,0,0,123,0
0,0,7,22,1,8,1,0,0,0,0,0,25,13,5342838784,2675040256,7956721664,11154214912,1206,27,33,0,0,0,0,161,0
0,0,7,22,1,7,1,0,0,0,0,0,25,13,5347549184,2670493696,7956557824,11149729792,1206,27,33,0,0,0,0,134,0
0,0,7,22,1,7,1,0,0,0,0,0,25,13,5348630528,2669645824,7956324352,11148881920,1206,27,33,0,0,0,0,127,0
0,0,7,22,1,7,1,0,0,0,0,0,25,13,5259665408,2756509696,7958425600,11132067840,1206,27,33,0,0,0,0,129,0
0,0,7,22,1,7,1,0,0,0,0,0,25,13,5262761984,2752311296,7959527424,11130888192,1206,27,33,0,0,0,0,124,0
0,0,7,21,2,8,1,0,0,0,0,0,25,13,5263429632,2752167936,7959003136,11130851328,1206,27,33,0,0,0,0,130,0
0,0,7,22,1,8,1,0,0,0,0,0,25,13,5264560128,2752897024,7957143552,11129450496,1206,27,33,0,0,0,0,179,0
0,0,7,22,1,8,1,0,0,0,0,0,25,13,5261750272,2755452928,7957397504,11131764736,1210,27,35,0,0,0,0,139,0
0,0,7,22,1,8,2,0,0,0,0,0,25,13,5262098432,2755923968,7956578304,11132243968,1207,28,33,0,0,0,0,142,0
0,0,7,22,1,8,1,0,0,0,0,0,25,13,5260091392,2758160384,7956348928,11133411328,1206,27,33,0,0,0,0,140,0
0,0,7,22,1,8,1,0,0,0,0,0,25,13,5256347648,2766471168,7951777792,11158528000,1206,27,33,0,0,0,0,127,0
0,0,7,22,1,7,1,0,0,0,0,0,25,13,5252411392,2767667200,7954518016,11161866240,1206,27,33,0,0,0,0,117,0
0,0,7,22,1,7,1,0,0,0,0,0,25,13,5252247552,2768416768,7953932288,11162615808,1206,27,33,0,0,0,0,168,0
