"Dstat 1.1.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dool/mem_udp_socket_unix_swap_time_zones_lock_io_sys_vm_ipc.csv --mem --udp --socket --unix --swap --time --zones --lock --io --sys --vm --ipc 1 600",,,,"Date:","23 Mar 2023 13:42:08 -03"
"memory usage",,,,"udp",,"sockets",,,,,"unix sockets",,,,"swap",,"system","zones memory",,,,"file locks",,,,"io/total",,"system",,"virtual memory",,,,"sysv ipc",,
5236523008,2793783296,7944581120,11180290048,25,14,1204,26,33,0,0,56,975,55,920,108527616,914878464,Mar-23 13:42:17,159503,3141,519245,22688,83,12,13,82,0,0,2689,6441,0,1784,3342,3827,0,0,5
5241659392,2790113280,7943098368,11174522880,25,14,1204,26,33,0,0,56,975,55,920,108527616,914878464,Mar-23 13:42:18,159503,3141,518349,22688,83,12,13,82,0,1090,3593,11248,0,1589,4618,5006,0,0,5
5241856000,2790191104,7942823936,11174391808,25,14,1204,26,33,0,0,56,975,55,920,108527616,914878464,Mar-23 13:42:19,159503,3141,518368,22688,83,12,13,82,0,0,2502,6734,0,1573,2086,2455,0,0,5
5231116288,2801455104,7942299648,11173859328,25,14,1204,26,33,0,0,56,975,55,920,108527616,914878464,Mar-23 13:42:20,159503,3141,521118,22688,83,12,13,82,0,0,2497,5805,0,256,815,3809,0,0,5
5237612544,2794958848,7942299648,11167375360,25,14,1204,26,33,0,0,56,975,55,920,108527616,914878464,Mar-23 13:42:21,159503,3141,519532,22688,83,12,13,82,0,22,2618,6057,0,1337,2971,2328,0,0,5
5229555712,2801537024,7943778304,11169697792,25,13,1203,26,33,0,0,56,975,55,920,108527616,914878464,Mar-23 13:42:22,159503,3141,521138,22688,83,12,13,82,0,0,2691,7619,0,3229,4421,4543,0,0,5
5229453312,2800365568,7945052160,11169472512,25,13,1203,26,33,0,0,56,975,55,920,108527616,914878464,Mar-23 13:42:23,159503,3141,520852,22688,83,12,13,82,0,226,2851,7614,0,1798,2804,2818,0,0,5
5361295360,2662486016,7951089664,11032829952,25,13,1203,26,33,0,0,56,975,55,920,108527616,914878464,Mar-23 13:42:24,159503,3141,487190,22688,83,12,13,82,0,0,3629,36623,0,43202,66100,26787,0,0,5
5363769344,2661031936,7950069760,11031191552,25,13,1203,26,33,0,0,56,975,55,920,108527616,914878464,Mar-23 13:42:25,159503,3141,486835,22688,83,12,13,82,0,48,2683,5827,0,525,1281,1830,0,0,5
5365985280,2660466688,7948423168,11027177472,25,13,1203,26,33,0,0,56,975,55,920,108527616,914878464,Mar-23 13:42:26,159503,3141,486697,22688,83,12,13,82,0,0,2586,5958,0,754,1356,1881,0,0,5
5366493184,2660245504,7948136448,11025416192,25,13,1203,26,33,0,0,56,975,55,920,108527616,914878464,Mar-23 13:42:27,159503,3141,486643,22688,83,12,13,82,0,0,2622,5733,0,244,730,1251,0,0,5
5370028032,2657230848,7947616256,11022409728,25,13,1203,26,33,0,0,56,975,55,920,108527616,914878464,Mar-23 13:42:28,159503,3141,485844,22688,83,12,13,82,0,64,2750,7532,1,1931,3185,3300,0,0,5
5370527744,2655059968,7949287424,11031392256,25,13,1203,26,33,0,0,56,975,55,920,108527616,914878464,Mar-23 13:42:29,159503,3141,485377,22688,83,12,13,82,0,0,2702,7918,0,2582,3649,3367,0,0,5
5371019264,2653151232,7950704640,11030835200,25,13,1203,26,33,0,0,56,975,55,920,108527616,914878464,Mar-23 13:42:30,159503,3141,484911,22688,83,12,13,82,0,0,2595,6046,0,225,1065,778,0,0,5
5371404288,2653319168,7950151680,11031072768,25,13,1203,26,33,0,0,56,975,55,920,108527616,914878464,Mar-23 13:42:31,159503,3141,484952,22688,83,12,13,82,0,82,2788,6944,0,287,977,1106,0,0,5
5381169152,2643197952,7950508032,11021819904,25,13,1203,26,33,0,0,56,975,55,920,108527616,914878464,Mar-23 13:42:32,159503,3141,482481,22688,83,12,13,82,0,28,2617,6203,0,6374,8086,4861,0,0,5
5381267456,2642735104,7950872576,11021164544,25,13,1203,26,33,0,0,56,975,55,920,108527616,914878464,Mar-23 13:42:33,159503,3141,482368,22688,83,12,13,82,0,214,3022,8391,0,2169,3924,3794,0,0,5
5361729536,2664394752,7948750848,11022913536,25,13,1203,26,33,0,0,56,975,55,920,108527616,914878464,Mar-23 13:42:34,159503,3141,487600,22688,83,12,13,82,0,0,2687,6978,0,2433,3084,8114,0,0,5
5363425280,2663682048,7947767808,11022065664,25,13,1203,26,33,0,0,56,975,55,920,108527616,914878464,Mar-23 13:42:35,159503,3141,487482,22688,83,12,13,82,0,36,2762,6092,0,1274,2363,2706,0,0,5
5361111040,2664615936,7949148160,11067613184,25,13,1203,26,33,0,0,56,975,55,920,108527616,914878464,Mar-23 13:42:36,159503,3141,487710,22688,83,12,13,82,0,0,2780,7385,0,1711,3242,2388,0,0,5
5362434048,2661474304,7950966784,11065606144,25,13,1203,26,33,0,0,56,975,55,920,108527616,914878464,Mar-23 13:42:37,159503,3141,486943,22688,83,12,13,82,0,0,2476,5862,0,379,1188,823,0,0,5
5364867072,2659041280,7950966784,11063197696,25,13,1203,26,33,0,0,56,975,55,920,108527616,914878464,Mar-23 13:42:38,159503,3141,486349,22688,83,12,13,82,0,468,2840,7478,0,1514,2535,2171,0,0,5
5371490304,2652450816,7950934016,11078144000,25,13,1203,26,33,0,0,56,975,55,920,108527616,914878464,Mar-23 13:42:39,159503,3141,484740,22688,83,12,13,82,0,0,2685,7618,0,3027,4793,4145,0,0,5
5372256256,2654154752,7948464128,11101163520,25,13,1203,26,33,0,0,56,975,55,920,108527616,914878464,Mar-23 13:42:40,159748,3141,484911,22688,83,12,13,82,0,38,2589,5848,0,481,968,1554,0,0,5
5373206528,2652925952,7948750848,11099860992,25,13,1203,26,33,0,0,56,975,55,920,108527616,914878464,Mar-23 13:42:41,159767,3141,484592,22688,83,12,13,82,0,0,2444,5644,0,341,823,718,0,0,5
5372907520,2652233728,7949742080,11099164672,25,13,1203,26,33,0,0,56,975,55,920,108527616,914878464,Mar-23 13:42:42,159767,3141,484423,22688,83,12,13,82,0,0,2443,5633,0,238,984,712,0,0,5
5331415040,2692894720,7950573568,11159334912,25,13,1203,26,33,0,0,56,975,55,920,108527616,914878464,Mar-23 13:42:43,159767,3141,494350,22688,83,12,13,82,0,64,2672,7064,0,1176,3141,12890,0,0,5
5332283392,2691530752,7951069184,11159437312,25,13,1203,26,33,0,0,56,975,55,920,108527616,914878464,Mar-23 13:42:44,159767,3141,494017,22688,83,12,13,82,0,0,3016,9654,0,2930,4475,4334,0,0,5
5332992000,2690842624,7951048704,11158749184,25,13,1203,26,33,0,0,56,975,55,920,108527616,914878464,Mar-23 13:42:45,159767,3141,493849,22688,83,12,13,82,0,44,2617,5863,0,520,1119,1338,0,0,5
5333463040,2690109440,7951310848,11158016000,25,13,1203,26,33,0,0,56,975,55,920,108527616,914878464,Mar-23 13:42:46,159767,3141,493670,22688,83,12,13,82,0,0,2538,5844,0,370,845,1358,0,0,5
5353615360,2672660480,7948607488,11137683456,25,13,1203,26,33,0,0,56,975,55,920,108527616,914878464,Mar-23 13:42:47,159767,3141,489410,22688,83,12,13,82,0,0,2654,6255,0,5733,7315,2409,0,0,5
5356400640,2669772800,7948709888,11134881792,25,13,1203,26,33,0,0,56,975,55,920,108527616,914878464,Mar-23 13:42:48,159767,3141,488705,22688,83,12,13,82,0,82,2567,5990,0,220,1738,1687,0,0,5
5356392448,2668851200,7949639680,11133730816,25,14,1204,26,33,0,0,56,975,55,920,108527616,914878464,Mar-23 13:42:49,159767,3141,488480,22688,83,12,13,82,0,0,2747,8472,0,3701,4338,4244,0,0,5
5306519552,2717917184,7950446592,11129425920,25,14,1204,26,33,0,0,56,975,55,920,108527616,914878464,Mar-23 13:42:50,159767,3141,500459,22688,83,12,13,82,0,32,2746,6947,0,4576,6291,15287,0,0,5
5301497856,2722418688,7950970880,11128131584,25,14,1204,26,33,0,0,56,975,55,920,108527616,914878464,Mar-23 13:42:51,159767,3141,501753,22688,83,12,13,82,0,80,2662,6546,0,906,1818,6042,0,0,5
5299822592,2729213952,7945850880,11131695104,25,14,1204,26,33,0,0,56,975,55,920,108527616,914878464,Mar-23 13:42:52,159767,3141,503217,22688,83,12,13,82,0,0,2511,5679,0,512,813,911,0,0,5
5300989952,2727776256,7946121216,11130265600,25,14,1204,26,33,0,0,56,975,55,920,108527616,914878464,Mar-23 13:42:53,159767,3141,502866,22688,83,12,13,82,0,48,2683,5884,0,1057,2222,1948,0,0,5
5317156864,2713456640,7944273920,11112685568,25,14,1204,26,33,0,0,56,975,55,920,108527616,914878464,Mar-23 13:42:54,159767,3141,499370,22688,83,12,13,82,0,38,2855,8722,0,8804,10881,8553,0,0,5
5317783552,2713354240,7943749632,11116306432,25,14,1204,26,33,0,0,56,975,55,920,108527616,914878464,Mar-23 13:42:55,159767,3141,499345,22688,83,12,13,82,0,0,2583,6649,0,263,779,1537,0,0,5
5318123520,2713006080,7943757824,11115905024,25,14,1204,26,33,0,0,56,975,55,920,108527616,914878464,Mar-23 13:42:56,159767,3141,499260,22688,83,12,13,82,0,0,2561,5763,0,719,1172,1004,0,0,5
5259825152,2769895424,7945166848,11132067840,25,14,1204,26,33,0,0,56,975,55,920,108527616,914878464,Mar-23 13:42:57,159767,3141,513149,22688,83,12,13,82,0,0,2643,6689,0,620,2028,14665,0,0,5
5257252864,2769797120,7947837440,11134451712,25,14,1204,26,33,0,0,56,975,55,920,108527616,914878464,Mar-23 13:42:58,159767,3141,513125,22688,83,12,13,82,0,205,2881,7488,0,228,1782,1762,0,0,5
5259157504,2769518592,7946194944,11134201856,25,14,1204,26,33,0,0,56,975,55,920,108527616,914878464,Mar-23 13:42:59,159767,3141,513057,22688,83,12,13,82,0,1373,3655,11106,0,2835,4803,5582,0,0,5
5260042240,2768482304,7946346496,11130191872,25,14,1204,26,33,0,0,56,975,55,920,108527616,914878464,Mar-23 13:43:00,159767,3141,512804,22688,83,12,13,82,0,16,2924,6041,0,2035,2784,3107,0,0,5
5261737984,2767872000,7945261056,11127242752,25,14,1204,26,33,0,0,56,975,55,920,108527616,914878464,Mar-23 13:43:01,159767,3141,512725,22688,83,12,13,82,0,0,2486,5714,0,468,1249,1603,0,0,5
5392420864,2630664192,7951785984,10988589056,25,14,1204,26,33,0,0,56,975,55,920,108527616,914878464,Mar-23 13:43:02,159767,3141,479157,22688,83,12,13,82,0,0,3595,37797,0,42671,65076,27072,0,0,5
5397012480,2628726784,7949131776,11010543616,25,14,1204,26,33,0,0,56,975,55,920,108527616,914878464,Mar-23 13:43:03,159767,3141,478684,22688,83,12,13,82,0,0,2578,5961,0,742,1741,2849,0,0,5
5391757312,2633998336,7949115392,11018211328,25,14,1204,26,33,0,0,56,975,55,920,108527616,914878464,Mar-23 13:43:04,159767,3141,479971,22688,83,12,13,82,0,260,2918,9301,0,4013,6408,6594,0,0,5
5391659008,2631102464,7952109568,11020632064,25,14,1204,26,33,0,0,56,975,55,920,108527616,914878464,Mar-23 13:43:05,159767,3141,479264,22688,83,12,13,82,2,0,2686,7390,1,792,1708,1948,0,0,5
5392592896,2630168576,7952109568,11019698176,25,14,1204,26,33,0,0,56,975,55,920,108527616,914878464,Mar-23 13:43:06,159767,3141,479036,22688,83,12,13,82,0,0,2455,5677,0,717,1199,701,0,0,5
5393899520,2629451776,7951519744,11018678272,25,14,1204,26,33,0,0,56,975,55,920,108527616,914878464,Mar-23 13:43:07,159767,3141,478861,22688,83,12,13,82,0,0,2577,5842,0,643,1131,1461,0,0,5
5395906560,2629795840,7949168640,11016671232,25,14,1204,26,33,0,0,56,975,55,920,108527616,914878464,Mar-23 13:43:08,159767,3141,478945,22688,83,12,13,82,0,0,2525,5717,0,230,702,1265,0,0,5
5392662528,2632380416,7949828096,11019730944,25,14,1204,26,33,0,0,56,975,55,920,108527616,914878464,Mar-23 13:43:09,159767,3141,479576,22688,83,12,13,82,0,122,2811,8561,0,8627,11183,10962,0,0,5
5393596416,2631323648,7949950976,11018866688,25,14,1204,26,33,0,0,56,975,55,920,108527616,914878464,Mar-23 13:43:10,159767,3141,479318,22688,83,12,13,82,0,0,2500,5679,0,241,737,730,0,0,5
5373067264,2652250112,7949553664,11062054912,25,14,1204,26,33,0,0,56,975,55,920,108527616,914878464,Mar-23 13:43:11,159767,3141,484427,22688,83,12,13,82,0,0,2745,6795,0,2063,2811,6963,0,0,5
5374947328,2647965696,7951958016,11059126272,25,14,1204,26,33,0,0,56,975,55,920,108527616,914878464,Mar-23 13:43:12,159767,3141,483381,22688,83,12,13,82,0,0,2389,6246,0,1055,2140,1321,0,0,5
5376176128,2646216704,7952478208,11057381376,25,14,1204,26,33,0,0,56,975,55,920,108527616,914878464,Mar-23 13:43:13,159767,3141,482954,22688,83,12,13,82,0,26,2559,6120,0,817,1375,1056,0,0,5
5385113600,2637565952,7952191488,11048747008,25,14,1204,26,33,0,0,56,975,55,920,108527616,914878464,Mar-23 13:43:14,159767,3141,480842,22688,83,12,13,82,0,478,2961,9776,0,4528,7293,7035,0,0,5
5387051008,2638262272,7949553664,11047100416,25,14,1204,26,33,0,0,56,975,55,920,108527616,914878464,Mar-23 13:43:15,159767,3141,481012,22688,83,12,13,82,0,0,2757,6086,0,877,1419,2398,0,0,5
5384470528,2640769024,7949627392,11049615360,25,14,1204,26,33,0,0,56,975,55,920,108527616,914878464,Mar-23 13:43:16,159767,3141,481624,22688,83,12,13,82,0,0,2534,6561,0,1273,2326,1944,0,0,5
5386506240,2638065664,7950295040,11041959936,25,14,1204,26,33,0,0,56,975,55,920,108527616,914878464,Mar-23 13:43:17,159767,3141,480964,22688,83,12,13,82,2,0,2565,6513,1,6552,8098,6835,0,0,5
5351907328,2672562176,7950397440,11141742592,25,13,1203,26,33,0,0,56,975,55,920,108527616,914878464,Mar-23 13:43:18,159767,3141,489386,22688,83,12,13,82,0,14,2560,6539,0,1551,2459,11272,0,0,5
5352271872,2670280704,7952314368,11141636096,25,13,1203,26,33,0,0,56,975,55,920,108527616,914878464,Mar-23 13:43:19,159767,3141,488829,22688,83,12,13,82,0,190,2809,8675,0,2444,4129,4241,0,0,5
5331947520,2689626112,7953293312,11139723264,25,13,1203,26,33,0,0,56,975,55,920,108527616,914878464,Mar-23 13:43:20,159767,3141,493552,22688,83,12,13,82,0,0,2721,6213,0,713,1675,6704,0,0,5
5318279168,2702700544,7953887232,11139338240,25,13,1204,27,33,0,0,56,975,55,920,108527616,914878464,Mar-23 13:43:21,159767,3141,496744,22688,83,12,13,82,0,0,2710,7014,0,942,2009,4712,0,0,5
5319258112,2705424384,7950184448,11139940352,25,13,1204,27,33,0,0,56,975,55,920,108527616,914878464,Mar-23 13:43:22,159767,3141,497409,22688,83,12,13,82,0,0,2524,5766,0,276,1260,2183,0,0,5
5320417280,2704478208,7949971456,11138772992,25,13,1204,27,33,0,0,56,975,55,920,108527616,914878464,Mar-23 13:43:23,159767,3141,497178,22688,83,12,13,82,0,0,2550,5724,0,260,730,684,0,0,5
5335502848,2689261568,7950102528,11141464064,25,13,1204,27,33,0,0,56,975,55,920,108527616,914878464,Mar-23 13:43:24,159767,3141,493463,22688,83,12,13,82,0,100,2893,7484,0,7862,10282,6936,0,0,5
5335465984,2688692224,7950708736,11140812800,25,13,1204,27,33,0,0,56,975,55,920,108527616,914878464,Mar-23 13:43:25,159767,3141,493324,22688,83,12,13,82,0,0,2679,7513,0,2283,3109,2406,0,0,5
5333520384,2688233472,7953113088,11142578176,25,13,1204,27,33,0,0,56,975,55,920,108527616,914878464,Mar-23 13:43:26,159767,3141,493212,22688,83,12,13,82,0,0,2748,6702,0,281,1387,710,0,0,5
5269917696,2752356352,7952592896,11161362432,25,13,1204,27,33,0,0,56,975,55,920,108527616,914878464,Mar-23 13:43:27,159767,3141,508867,22688,83,12,13,82,0,0,2598,6579,0,260,833,17778,0,0,5
5269757952,2752446464,7952662528,11161452544,25,13,1204,27,33,0,0,56,975,55,920,108527616,914878464,Mar-23 13:43:28,159767,3141,508889,22688,83,12,13,82,0,0,2611,5874,0,207,725,729,0,0,5
5273415680,2748256256,7953195008,11157286912,25,13,1204,27,33,0,0,56,975,55,920,108527616,914878464,Mar-23 13:43:29,159767,3141,507866,22688,83,12,13,82,0,126,2750,7342,0,1903,3405,3609,0,0,5
5248397312,2780954624,7945510912,11175428096,25,13,1204,27,33,0,0,56,975,55,920,108527616,914878464,Mar-23 13:43:30,159767,3141,515849,22688,83,12,13,82,0,0,2616,6966,0,1533,2202,10231,0,0,5
5249110016,2780766208,7944986624,11175239680,25,13,1204,27,33,0,0,56,975,55,920,108527616,914878464,Mar-23 13:43:31,159767,3141,515803,22688,83,12,13,82,0,0,2571,5782,0,653,1100,1096,0,0,5
5236908032,2792624128,7945330688,11164979200,25,13,1204,27,33,0,0,56,975,55,920,108527616,914878464,Mar-23 13:43:32,159767,3141,518698,22688,83,12,13,82,0,90,2791,7907,0,7485,9895,10074,0,0,5
5235720192,2790952960,7948189696,11166552064,25,13,1204,27,33,0,0,56,975,55,920,108527616,914878464,Mar-23 13:43:33,159767,3141,518290,22688,83,12,13,82,0,0,2664,6637,0,497,1456,723,0,0,5
5240999936,2786246656,7947616256,11161866240,25,13,1204,27,33,0,0,56,975,55,920,108527616,914878464,Mar-23 13:43:34,159767,3141,517141,22688,83,12,13,82,0,1916,4274,12610,0,2047,4253,4103,0,0,5
5240766464,2786410496,7947685888,11173359616,25,13,1204,27,33,0,0,56,975,55,920,108527616,914878464,Mar-23 13:43:35,159767,3141,517181,22688,83,12,13,82,0,0,2595,6852,0,1531,2094,2996,0,0,5
5241970688,2785267712,7947624448,11172220928,25,13,1204,27,33,0,0,56,975,55,920,108527616,914878464,Mar-23 13:43:36,159767,3141,516902,22688,83,12,13,82,0,0,2422,5769,0,374,848,798,0,0,5
5243408384,2785435648,7946018816,11170263040,25,13,1204,27,33,0,0,56,975,55,920,108527616,914878464,Mar-23 13:43:37,159767,3141,516943,22688,83,12,13,82,0,30,2542,5678,0,238,1074,1484,0,0,5
5244370944,2784821248,7945670656,11169435648,25,13,1204,27,33,0,0,56,975,55,920,108527616,914878464,Mar-23 13:43:38,159767,3141,516793,22688,83,12,13,82,0,0,2677,6763,0,524,946,938,0,0,5
5301547008,2726666240,7946649600,11092004864,25,13,1204,27,33,0,0,56,975,55,920,108527616,914878464,Mar-23 13:43:39,159767,3141,502469,22688,83,12,13,82,0,338,4536,37154,0,40538,63629,33698,0,0,5
5354532864,2667143168,7953186816,11039801344,25,13,1204,27,33,0,0,56,975,55,920,108527616,914878464,Mar-23 13:43:40,159767,3141,488063,22688,83,12,13,82,0,0,2717,7693,0,5714,8226,2941,0,0,5
5355401216,2665951232,7953510400,11038609408,25,13,1204,27,33,0,0,56,975,55,920,108527616,914878464,Mar-23 13:43:41,159767,3141,487772,22688,83,12,13,82,0,0,2613,6119,0,922,1001,1175,0,0,5
5356613632,2665005056,7953244160,11037663232,25,13,1204,27,33,0,0,56,975,55,920,108527616,914878464,Mar-23 13:43:42,159767,3141,487541,22688,83,12,13,82,0,40,2532,5727,0,227,1069,1199,0,0,5
5360455680,2663772160,7950635008,11034079232,25,13,1204,27,33,0,0,56,975,55,920,108527616,914878464,Mar-23 13:43:43,159767,3141,487240,22688,83,12,13,82,0,0,2755,6244,0,255,758,1367,0,0,5
5361868800,2661822464,7951171584,11032162304,25,13,1203,27,33,0,0,56,975,55,920,108527616,914878464,Mar-23 13:43:44,159767,3141,486764,22688,83,12,13,82,0,48,2768,7084,0,1966,2717,2146,0,0,5
5364105216,2660110336,7950647296,11085099008,25,13,1203,27,33,0,0,56,975,55,920,108527616,914878464,Mar-23 13:43:45,159767,3141,486346,22688,83,12,13,82,0,60,2597,6956,0,1495,2714,3161,0,0,5
5322194944,2701971456,7950696448,11088314368,25,13,1203,27,33,0,0,56,975,55,920,108527616,914878464,Mar-23 13:43:46,159767,3141,496566,22688,83,12,13,82,0,0,2573,6257,0,1784,2359,11975,0,0,5
5328351232,2691788800,7954722816,11097358336,25,13,1203,27,33,0,0,56,975,55,920,108527616,914878464,Mar-23 13:43:47,159767,3141,494080,22688,83,12,13,82,0,0,2926,7399,0,6184,8576,5031,0,0,5
5329981440,2691072000,7953809408,11095437312,25,13,1203,27,33,0,0,56,975,55,920,108527616,914878464,Mar-23 13:43:48,159767,3141,493905,22688,83,12,13,82,0,0,2540,5860,0,253,748,1049,0,0,5
5331914752,2689654784,7953293312,11095625728,25,13,1203,27,33,0,0,56,975,55,920,108527616,914878464,Mar-23 13:43:49,159767,3141,493559,22688,83,12,13,82,0,24,2734,7809,0,1540,2286,3587,0,0,5
5319647232,2704261120,7950954496,11090481152,25,13,1203,27,33,0,0,56,975,55,920,108527616,914878464,Mar-23 13:43:50,159767,3141,497125,22688,83,12,13,82,377,484,3164,10919,0,1685,3769,9111,0,0,5
5318680576,2704957440,7951224832,11091058688,25,13,1203,27,33,0,0,56,975,55,920,108527616,914878464,Mar-23 13:43:51,159767,3141,497295,22688,83,12,13,82,563,12,3139,10505,0,924,1694,1294,0,0,5
5319208960,2704166912,7951486976,11090288640,25,13,1203,27,33,0,0,56,975,55,920,108527616,914878464,Mar-23 13:43:52,159767,3141,497102,22688,83,12,13,82,470,74,2933,9589,0,280,1112,1390,0,0,5
5313273856,2710548480,7951040512,11171487744,25,13,1203,27,33,0,0,56,975,55,920,108527616,914878464,Mar-23 13:43:53,159767,3141,498660,22688,83,12,13,82,564,12,3272,10722,0,1400,2337,4560,0,0,5
5325815808,2695389184,7953657856,11154821120,25,13,1203,27,33,0,0,56,975,55,920,108527616,914878464,Mar-23 13:43:54,159767,3141,494959,22688,83,12,13,82,1034,22,3576,16532,0,8219,10813,6095,0,0,5
5327101952,2693771264,7953989632,11153186816,25,13,1203,27,33,0,0,56,975,55,920,108527616,914878464,Mar-23 13:43:55,159767,3141,494564,22688,83,12,13,82,376,94,3063,10589,0,2009,3297,2706,0,0,5
5327294464,2692579328,7954989056,11151437824,25,13,1203,27,33,0,0,56,975,55,920,108527616,914878464,Mar-23 13:43:56,159767,3141,494273,22688,83,12,13,82,282,6,3227,11488,0,447,1513,2023,0,0,5
5326020608,2695991296,7952850944,11152736256,25,13,1203,27,33,0,0,56,975,55,920,108527616,914878464,Mar-23 13:43:57,159767,3141,495106,22688,83,12,13,82,377,88,2879,8644,0,243,1001,1715,0,0,5
5328154624,2695360512,7951347712,11151896576,25,13,1203,27,33,0,0,56,975,55,920,108527616,914878464,Mar-23 13:43:58,159767,3141,494952,22688,83,12,13,82,375,8,2906,9450,0,365,934,1169,0,0,5
5329817600,2693414912,7951630336,11149983744,25,13,1204,28,33,0,0,56,975,55,920,108527616,914878464,Mar-23 13:43:59,159767,3141,494477,22688,83,12,13,82,188,4,3016,12418,0,1570,3582,3416,0,0,5
5246533632,2776367104,7951962112,11148541952,28,13,1207,28,36,0,0,56,975,55,920,108527616,914878464,Mar-23 13:44:00,159767,3141,514729,22688,83,12,13,82,283,54,2977,9737,0,3238,7946,28751,0,0,5
5246472192,2774614016,7953776640,11150422016,28,13,1207,28,36,0,0,56,975,55,920,108527616,914878464,Mar-23 13:44:01,159767,3141,514301,22688,83,12,13,82,939,20,3174,14183,0,902,2374,1497,0,0,5
5253746688,2767249408,7953866752,11138531328,28,13,1207,28,36,0,0,56,975,55,920,108527616,914878464,Mar-23 13:44:02,159767,3141,512503,22688,83,12,13,82,564,142,3387,12837,0,6350,8005,5610,0,0,5
5281406976,2738921472,7954534400,11109044224,28,13,1209,28,36,0,0,56,977,55,922,108527616,914878464,Mar-23 13:44:03,159767,3141,505587,22688,83,12,13,82,564,12,3074,10338,0,7238,8108,1370,0,0,5
5282836480,2740273152,7951720448,11107860480,28,13,1207,28,36,0,0,56,975,55,920,108527616,914878464,Mar-23 13:44:04,159767,3141,505917,22688,83,12,13,82,0,0,2662,8017,0,1929,2582,3365,0,0,5
5282050048,2740920320,7951859712,11108646912,25,13,1204,28,33,0,0,56,975,55,920,108527616,914878464,Mar-23 13:44:05,159767,3141,506075,22688,83,12,13,82,0,162,2875,7805,0,1571,3157,3110,0,0,5
5267075072,2755592192,7952162816,11123322880,25,13,1204,28,33,0,0,56,975,55,920,108527616,914878464,Mar-23 13:44:06,159767,3141,509657,22688,83,12,13,82,2,0,2667,6588,1,1826,2660,7428,0,0,5
5267189760,2755252224,7952371712,11122999296,25,13,1204,28,33,0,0,56,975,55,920,108527616,914878464,Mar-23 13:44:07,159767,3141,509574,22688,83,12,13,82,0,18,2522,6612,0,1539,2363,1369,0,0,5
5259833344,2766069760,7948922880,11131338752,25,13,1204,28,33,0,0,56,975,55,920,108527616,914878464,Mar-23 13:44:08,159767,3141,512215,22688,83,12,13,82,0,0,2667,6772,0,483,1561,2996,0,0,5
