"Dstat 1.1.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dool/swap_socket_time_udp_int_net_tcp_proc.csv --swap --socket --time --udp --int --net --tcp --proc 1 600",,,,"Date:","22 Mar 2023 21:32:08 -03"
"swap",,"sockets",,,,,"system","udp",,"interrupts",,,"net/total",,"tcp sockets",,,,,"procs",,
1835008,1021571072,1077,21,19,0,0,Mar-22 21:32:42,17,6,0,15,0,0,0,7,15,1,5,0,3,0,1
1835008,1021571072,1077,21,19,0,0,Mar-22 21:32:43,17,6,0,59,0,1619,4696,7,15,1,5,0,4,0,8
1835008,1021571072,1079,21,19,0,0,Mar-22 21:32:44,17,6,0,33,0,30142,2951,7,15,1,5,0,5,0,0
1835008,1021571072,1077,21,19,0,0,Mar-22 21:32:45,17,6,0,19,0,56,74,7,15,1,5,0,5,0,8
1835008,1021571072,1077,21,19,0,0,Mar-22 21:32:46,17,6,0,20,0,424,358,7,15,1,5,0,2,0,0
1835008,1021571072,1077,21,19,0,0,Mar-22 21:32:47,17,6,0,15,0,0,0,7,15,1,4,0,2,0,0
1835008,1021571072,1077,21,19,0,0,Mar-22 21:32:48,17,6,0,15,0,0,206,7,15,1,4,0,2,0,8
1835008,1021571072,1077,21,19,0,0,Mar-22 21:32:49,17,6,0,77,0,15984,5496,7,15,1,5,0,3,0,0
1835008,1021571072,1077,21,19,0,0,Mar-22 21:32:50,17,6,0,21,0,1404,631,7,15,1,5,0,5,0,8
1835008,1021571072,1077,21,19,0,0,Mar-22 21:32:51,17,6,0,16,0,0,358,7,15,1,5,0,1,0,0
1835008,1021571072,1077,21,19,0,0,Mar-22 21:32:52,17,6,0,14,0,0,0,7,15,1,5,0,2,0,0
1835008,1021571072,1077,21,19,0,0,Mar-22 21:32:53,17,6,0,15,0,0,0,7,15,1,5,0,2,0,8
1835008,1021571072,1077,21,19,0,0,Mar-22 21:32:54,17,6,0,19,0,396,446,7,15,1,5,0,2,0,1
1835008,1021571072,1077,21,19,0,0,Mar-22 21:32:55,17,6,0,50,0,0,0,7,15,1,5,0,4,0,8
1835008,1021571072,1077,21,19,0,0,Mar-22 21:32:56,17,6,0,16,0,0,564,7,15,1,5,0,2,0,0
1835008,1021571072,1077,21,19,0,0,Mar-22 21:32:57,17,6,0,15,0,0,0,7,15,1,5,0,3,0,0
1835008,1021571072,1077,21,19,0,0,Mar-22 21:32:58,17,6,0,19,0,167,187,7,15,1,5,0,3,0,8
1835008,1021571072,1077,21,19,0,0,Mar-22 21:32:59,17,6,0,15,0,0,0,7,15,1,5,0,3,0,0
1835008,1021571072,1074,20,19,0,0,Mar-22 21:33:00,17,6,0,31,0,15857,5309,7,15,0,6,0,2,0,8
1835008,1021571072,1074,20,19,0,0,Mar-22 21:33:01,17,6,0,57,0,1446,631,7,15,0,6,0,4,0,8
1835008,1021571072,1074,20,19,0,0,Mar-22 21:33:02,17,6,0,17,0,46,358,7,15,0,6,0,3,0,0
1835008,1021571072,1074,20,19,0,0,Mar-22 21:33:03,17,6,0,16,0,0,0,7,15,0,6,0,2,0,8
1835008,1021571072,1074,20,19,0,0,Mar-22 21:33:04,17,6,0,17,0,86,106,7,15,0,6,0,5,0,0
1835008,1021571072,1074,20,19,0,0,Mar-22 21:33:05,17,6,0,13,0,0,0,7,15,0,6,0,5,0,8
1835008,1021571072,1074,20,19,0,0,Mar-22 21:33:06,17,6,0,16,0,46,0,7,15,0,6,0,4,0,0
1835008,1021571072,1074,20,19,0,0,Mar-22 21:33:07,17,6,0,34,0,0,358,7,15,0,6,0,4,0,1
1835008,1021571072,1074,20,19,0,0,Mar-22 21:33:08,17,6,0,16,0,0,0,7,15,0,6,0,4,0,8
1835008,1021571072,1074,20,19,0,0,Mar-22 21:33:09,17,6,0,21,0,458,480,7,15,0,6,0,4,0,0
1835008,1021571072,1074,20,19,0,0,Mar-22 21:33:10,17,6,0,20,0,418,0,7,15,0,6,0,5,0,8
1835008,1021571072,1074,20,19,0,0,Mar-22 21:33:11,17,6,0,43,0,13583,5226,7,15,0,7,0,2,0,0
1835008,1021571072,1074,20,19,0,0,Mar-22 21:33:12,17,6,0,22,0,6282,1590,7,15,0,7,0,1,0,0
1835008,1021571072,1077,21,19,0,0,Mar-22 21:33:13,17,6,0,43,0,1350,426,7,15,1,7,0,1,0,10
1835008,1021571072,1074,20,19,0,0,Mar-22 21:33:14,17,6,0,27,0,815,963,7,15,0,8,0,4,0,0
1835008,1021571072,1074,20,19,0,0,Mar-22 21:33:15,17,6,0,15,0,0,0,7,15,0,8,0,3,0,8
1835008,1021571072,1074,20,19,0,0,Mar-22 21:33:16,17,6,0,17,0,86,106,7,15,0,7,0,1,0,0
1835008,1021571072,1074,20,19,0,0,Mar-22 21:33:17,17,6,0,14,0,0,0,7,15,0,7,0,4,0,0
1835008,1021571072,1073,19,19,0,0,Mar-22 21:33:18,17,6,0,20,0,326,610,7,13,0,7,1,4,0,8
1835008,1021571072,1073,19,19,0,0,Mar-22 21:33:19,17,6,0,56,0,2248,3180,7,13,0,7,1,2,0,1
1835008,1021571072,1073,19,19,0,0,Mar-22 21:33:20,17,6,0,15,0,0,0,7,13,0,7,1,5,0,8
1835008,1021571072,1073,19,19,0,0,Mar-22 21:33:21,17,6,0,15,0,0,0,7,13,0,7,1,6,0,0
1835008,1021571072,1073,19,19,0,0,Mar-22 21:33:22,17,6,0,14,0,0,0,7,13,0,7,1,2,0,0
1835008,1021571072,1073,19,19,0,0,Mar-22 21:33:23,17,6,0,37,0,16345,6132,7,13,0,8,1,1,0,8
1835008,1021571072,1073,19,19,0,0,Mar-22 21:33:24,17,6,0,18,0,963,1386,7,13,0,8,1,2,0,0
1835008,1021571072,1073,19,19,0,0,Mar-22 21:33:25,17,6,0,49,0,0,0,7,13,0,8,1,1,0,8
1835008,1021571072,1073,19,19,0,0,Mar-22 21:33:26,17,6,0,10,0,0,0,7,13,0,8,1,3,0,0
1835008,1021571072,1073,19,19,0,0,Mar-22 21:33:27,17,6,0,12,0,0,0,7,13,0,8,1,3,0,0
1835008,1021571072,1073,19,19,0,0,Mar-22 21:33:28,17,6,0,18,0,0,358,7,13,0,7,1,6,0,8
1835008,1021571072,1073,19,19,0,0,Mar-22 21:33:29,17,6,0,17,0,167,187,7,13,0,7,1,3,0,0
1835008,1021571072,1072,18,19,0,0,Mar-22 21:33:30,17,6,0,20,0,482,350,7,11,0,7,2,1,0,8
1835008,1021571072,1072,18,19,0,0,Mar-22 21:33:31,17,6,0,29,0,0,0,7,11,0,7,2,2,0,1
1835008,1021571072,1072,18,19,0,0,Mar-22 21:33:32,17,6,0,15,0,0,0,7,11,0,7,2,2,0,0
1835008,1021571072,1072,18,19,0,0,Mar-22 21:33:33,17,6,0,15,0,0,0,7,11,0,7,2,6,0,8
1835008,1021571072,1072,18,19,0,0,Mar-22 21:33:34,17,6,0,45,0,16970,6829,7,11,0,8,2,3,0,0
1835008,1021571072,1072,18,19,0,0,Mar-22 21:33:35,17,6,0,18,0,876,126,7,11,0,8,2,2,0,8
1835008,1021571072,1072,18,19,0,0,Mar-22 21:33:36,17,6,0,26,0,876,968,7,11,0,8,2,5,0,0
1835008,1021571072,1072,18,19,0,0,Mar-22 21:33:37,17,6,0,54,0,0,0,7,11,0,8,2,2,0,0
1835008,1021571072,1072,18,19,0,0,Mar-22 21:33:38,17,6,0,15,0,0,0,7,11,0,8,2,6,0,8
1835008,1021571072,1072,18,19,0,0,Mar-22 21:33:39,17,6,0,16,0,0,358,7,11,0,7,2,2,0,0
1835008,1021571072,1072,18,19,0,0,Mar-22 21:33:40,17,6,0,15,0,0,0,7,11,0,7,2,5,0,8
1835008,1021571072,1072,18,19,0,0,Mar-22 21:33:41,17,6,0,20,0,382,243,7,11,0,7,2,7,0,0
1835008,1021571072,1072,18,19,0,0,Mar-22 21:33:42,17,6,0,15,0,0,0,7,11,0,7,2,2,0,0
1835008,1021571072,1072,18,19,0,0,Mar-22 21:33:43,17,6,0,61,0,0,0,7,11,0,7,2,2,0,9
1835008,1021571072,1072,18,19,0,0,Mar-22 21:33:44,17,6,0,38,0,15817,5657,7,11,0,8,2,2,0,0
1835008,1021571072,1070,16,19,0,0,Mar-22 21:33:45,17,6,0,43,0,29819,6061,7,9,0,9,2,5,0,8
1835008,1021571072,1070,16,19,0,0,Mar-22 21:33:46,17,6,0,17,0,56,74,7,9,0,9,2,3,0,0
1835008,1021571072,1070,16,19,0,0,Mar-22 21:33:47,17,6,0,20,0,4598,1198,7,9,0,9,2,2,0,0
1835008,1021571072,1070,16,19,0,0,Mar-22 21:33:48,17,6,0,15,0,0,0,7,9,0,9,2,4,0,8
1835008,1021571072,1070,16,19,0,0,Mar-22 21:33:49,17,6,0,55,0,253,651,7,9,0,9,2,4,0,0
1835008,1021571072,1070,16,19,0,0,Mar-22 21:33:50,17,6,0,15,0,0,0,7,9,0,9,2,7,0,8
1835008,1021571072,1070,16,19,0,0,Mar-22 21:33:51,17,6,0,15,0,0,0,7,9,0,8,2,1,0,0
1835008,1021571072,1070,16,19,0,0,Mar-22 21:33:52,17,6,0,14,0,0,0,7,9,0,8,2,4,0,0
1835008,1021571072,1070,16,19,0,0,Mar-22 21:33:53,17,6,0,15,0,0,0,7,9,0,8,2,5,0,8
1835008,1021571072,1070,16,19,0,0,Mar-22 21:33:54,17,6,0,21,0,474,552,7,9,0,8,2,3,0,0
1835008,1021571072,1070,16,19,0,0,Mar-22 21:33:55,17,6,0,53,0,0,0,7,9,0,8,2,8,0,8
1835008,1021571072,1070,16,19,0,0,Mar-22 21:33:56,17,6,0,15,0,82,0,7,9,0,8,2,3,0,1
1835008,1021571072,1070,16,19,0,0,Mar-22 21:33:57,17,6,0,32,0,1659,4592,7,9,0,9,2,2,0,0
1835008,1021571072,1070,16,19,0,0,Mar-22 21:33:58,17,6,0,28,0,15602,1450,7,9,0,9,2,3,0,8
1835008,1021571072,1070,16,19,0,0,Mar-22 21:33:59,17,6,0,14,0,0,0,7,9,0,9,2,2,0,0
1835008,1021571072,1070,16,19,0,0,Mar-22 21:34:00,17,6,0,15,0,0,0,7,9,0,9,2,3,0,8
1835008,1021571072,1070,16,19,0,0,Mar-22 21:34:01,17,6,0,61,0,954,352,7,9,0,8,2,2,0,8
1835008,1021571072,1070,16,19,0,0,Mar-22 21:34:02,17,6,0,15,0,0,0,7,9,0,8,2,6,0,0
1835008,1021571072,1070,16,19,0,0,Mar-22 21:34:03,17,6,0,19,0,0,0,7,9,0,8,2,1,0,8
1835008,1021571072,1070,16,19,0,0,Mar-22 21:34:04,17,6,0,16,0,87,1260,7,9,0,8,2,4,0,0
1835008,1021571072,1070,16,19,0,0,Mar-22 21:34:05,17,6,0,16,0,0,0,7,9,0,8,2,3,0,8
1835008,1021571072,1070,16,19,0,0,Mar-22 21:34:06,17,6,0,16,0,0,0,7,9,0,8,2,2,0,0
1835008,1021571072,1070,16,19,0,0,Mar-22 21:34:07,17,6,0,33,0,0,0,7,9,0,8,2,2,0,0
1835008,1021571072,1070,16,19,0,0,Mar-22 21:34:08,17,6,0,37,0,15817,5309,7,9,0,9,2,3,0,9
1835008,1021571072,1070,16,19,0,0,Mar-22 21:34:09,17,6,0,21,0,1531,778,7,9,0,9,2,2,0,0
1835008,1021571072,1070,16,19,0,0,Mar-22 21:34:10,17,6,0,17,0,167,187,7,9,0,9,2,3,0,8
1835008,1021571072,1070,16,19,0,0,Mar-22 21:34:11,17,6,0,21,0,418,0,7,9,0,8,2,4,0,0
1835008,1021571072,1070,16,19,0,0,Mar-22 21:34:12,17,6,0,17,0,350,0,7,9,0,8,2,2,0,0
1835008,1021571072,1070,16,19,0,0,Mar-22 21:34:13,17,6,0,47,0,0,0,7,9,0,8,2,4,0,4
1835008,1021571072,1070,16,19,0,0,Mar-22 21:34:14,17,6,0,21,0,396,446,7,9,0,8,2,2,0,4
1835008,1021571072,1073,16,22,0,0,Mar-22 21:34:15,20,6,0,19,0,0,1278,7,9,0,7,2,8,0,8
1835008,1021571072,1073,16,22,0,0,Mar-22 21:34:16,20,6,0,17,0,0,920,7,9,0,7,2,2,0,0
1835008,1021571072,1073,16,22,0,0,Mar-22 21:34:17,20,6,0,16,0,0,920,7,9,0,7,2,2,0,0
1835008,1021571072,1073,16,22,0,0,Mar-22 21:34:18,20,6,0,16,0,0,920,7,9,0,7,2,2,0,0
1835008,1021571072,1073,16,22,0,0,Mar-22 21:34:19,20,6,0,57,0,16345,5814,7,9,0,8,2,2,0,8
1835008,1021571072,1070,16,19,0,0,Mar-22 21:34:20,17,6,0,19,0,876,126,7,9,0,8,2,3,0,9
1835008,1021571072,1070,16,19,0,0,Mar-22 21:34:21,17,6,0,15,0,0,358,7,9,0,8,2,4,0,0
1835008,1021571072,1070,16,19,0,0,Mar-22 21:34:22,17,6,0,15,0,0,0,7,9,0,8,2,2,0,0
1835008,1021571072,1070,16,19,0,0,Mar-22 21:34:23,17,6,0,16,0,0,0,7,9,0,8,2,6,0,0
1835008,1021571072,1070,16,19,0,0,Mar-22 21:34:24,17,6,0,18,0,87,1260,7,9,0,7,2,2,0,8
1835008,1021571072,1071,17,19,0,0,Mar-22 21:34:25,17,6,0,61,0,15838,4904,7,11,0,7,1,4,0,4
1835008,1021571072,1071,17,19,0,0,Mar-22 21:34:26,17,6,0,31,0,1980,3042,7,11,0,7,1,2,0,4
1835008,1021571072,1071,17,19,0,0,Mar-22 21:34:27,17,6,0,15,0,0,0,7,11,0,7,1,3,0,0
1835008,1021571072,1071,17,19,0,0,Mar-22 21:34:28,17,6,0,18,0,167,187,7,11,0,7,1,2,0,0
1835008,1021571072,1071,17,19,0,0,Mar-22 21:34:29,17,6,0,21,0,167,187,7,11,0,7,1,2,0,8
1835008,1021571072,1071,17,19,0,0,Mar-22 21:34:30,17,6,0,35,0,16305,5734,7,11,0,8,1,6,0,0
1835008,1021571072,1071,17,19,0,0,Mar-22 21:34:31,17,6,0,38,0,876,126,7,11,0,8,1,3,0,8
1835008,1021571072,1071,17,19,0,0,Mar-22 21:34:32,17,6,0,17,0,0,358,7,11,0,8,1,3,0,1
1835008,1021571072,1071,17,19,0,0,Mar-22 21:34:33,17,6,0,16,0,0,0,7,11,0,8,1,2,0,0
1835008,1021571072,1071,17,19,0,0,Mar-22 21:34:34,17,6,0,19,0,396,446,7,11,0,7,1,7,0,8
1835008,1021571072,1071,17,19,0,0,Mar-22 21:34:35,17,6,0,15,0,0,0,7,11,0,7,1,3,0,0
1835008,1021571072,1071,17,19,0,0,Mar-22 21:34:36,17,6,0,19,0,86,106,7,11,0,7,1,4,0,8
1835008,1021571072,1071,17,19,0,0,Mar-22 21:34:37,17,6,0,49,0,0,358,7,11,0,7,1,3,0,0
1835008,1021571072,1071,17,19,0,0,Mar-22 21:34:38,17,6,0,15,0,0,0,7,11,0,7,1,2,0,0
1835008,1021571072,1075,19,19,0,0,Mar-22 21:34:39,17,6,0,31,0,11882,5152,7,13,0,7,1,4,0,8
1835008,1021571072,1071,17,19,0,0,Mar-22 21:34:40,17,6,0,23,0,1301,1357,7,11,0,7,1,3,0,0
1835008,1021571072,1071,17,19,0,0,Mar-22 21:34:41,17,6,0,35,0,12701,4848,7,11,0,8,1,2,0,8
1835008,1021571072,1071,17,19,0,0,Mar-22 21:34:42,17,6,0,16,0,0,358,7,11,0,8,1,7,0,0
1835008,1021571072,1071,17,19,0,0,Mar-22 21:34:43,17,6,0,45,0,7325,1505,7,11,0,8,1,3,0,0
1835008,1021571072,1071,17,19,0,0,Mar-22 21:34:44,17,6,0,15,0,0,0,7,11,0,8,1,2,0,8
1835008,1021571072,1073,19,19,0,0,Mar-22 21:34:45,17,6,0,41,0,16338,5969,7,13,0,8,1,2,0,1
1835008,1021571072,1073,19,19,0,0,Mar-22 21:34:46,17,6,0,24,0,15549,876,7,13,0,5,1,3,0,8
1835008,1021571072,1073,19,19,0,0,Mar-22 21:34:47,17,6,0,19,0,56,432,7,13,0,5,1,2,0,0
1835008,1021571072,1073,19,19,0,0,Mar-22 21:34:48,17,6,0,15,0,56,181,7,13,0,5,1,3,0,0
1835008,1021571072,1073,19,19,0,0,Mar-22 21:34:49,17,6,0,46,0,167,187,7,13,0,5,1,2,0,8
1835008,1021571072,1073,19,19,0,0,Mar-22 21:34:50,17,6,0,17,0,78,106,7,13,0,5,1,7,0,0
1835008,1021571072,1073,19,19,0,0,Mar-22 21:34:51,17,6,0,18,0,424,0,7,13,0,5,1,8,0,8
1835008,1021571072,1073,19,19,0,0,Mar-22 21:34:52,17,6,0,15,0,0,0,7,13,0,5,1,3,0,0
1835008,1021571072,1073,19,19,0,0,Mar-22 21:34:53,17,6,0,37,0,15817,5460,7,13,0,6,1,2,0,0
1835008,1021571072,1073,19,19,0,0,Mar-22 21:34:54,17,6,0,26,0,1840,1370,7,13,0,6,1,0,0,8
1835008,1021571072,1073,19,19,0,0,Mar-22 21:34:55,17,6,0,45,0,0,0,7,13,0,6,1,4,0,0
1835008,1021571072,1073,19,19,0,0,Mar-22 21:34:56,17,6,0,13,0,0,0,7,13,0,6,1,2,0,8
1835008,1021571072,1073,19,19,0,0,Mar-22 21:34:57,17,6,0,15,0,0,0,7,13,0,6,1,1,0,1
1835008,1021571072,1073,19,19,0,0,Mar-22 21:34:58,17,6,0,17,0,0,358,7,13,0,5,1,6,0,0
1835008,1021571072,1073,19,19,0,0,Mar-22 21:34:59,17,6,0,17,0,0,0,7,13,0,5,1,3,0,8
1835008,1021571072,1073,19,19,0,0,Mar-22 21:35:00,17,6,0,18,0,0,0,7,13,0,5,1,3,0,0
1835008,1021571072,1073,19,19,0,0,Mar-22 21:35:01,17,6,0,35,0,0,0,7,13,0,5,1,1,0,19
1835008,1021571072,1073,19,19,0,0,Mar-22 21:35:02,17,6,0,15,0,0,0,7,13,0,5,1,2,0,0
1835008,1021571072,1073,19,19,0,0,Mar-22 21:35:03,17,6,0,16,0,0,358,7,13,0,5,1,2,0,0
1835008,1021571072,1073,19,19,0,0,Mar-22 21:35:04,17,6,0,33,0,15817,5016,7,13,0,6,1,4,0,8
1835008,1021571072,1073,19,19,0,0,Mar-22 21:35:05,17,6,0,22,0,1404,844,7,13,0,6,1,2,0,0
1835008,1021571072,1073,19,19,0,0,Mar-22 21:35:06,17,6,0,17,0,42,0,7,13,0,6,1,4,0,8
1835008,1021571072,1073,19,19,0,0,Mar-22 21:35:07,17,6,0,38,0,0,0,7,13,0,6,1,6,0,0
1835008,1021571072,1073,19,19,0,0,Mar-22 21:35:08,17,6,0,15,0,0,0,7,13,0,6,1,3,0,0
1835008,1021571072,1073,19,19,0,0,Mar-22 21:35:09,17,6,0,19,0,167,545,7,13,0,5,1,4,0,9
1835008,1021571072,1073,19,19,0,0,Mar-22 21:35:10,17,6,0,32,0,15887,5661,7,13,0,6,1,6,0,0
1835008,1021571072,1073,19,19,0,0,Mar-22 21:35:11,17,6,0,26,0,1497,1170,7,13,0,6,1,3,0,8
1835008,1021571072,1073,19,19,0,0,Mar-22 21:35:12,17,6,0,20,0,220,0,7,13,0,6,1,3,0,0
1835008,1021571072,1073,19,19,0,0,Mar-22 21:35:13,17,6,0,43,0,691,187,7,13,0,6,1,2,0,0
1835008,1021571072,1073,19,19,0,0,Mar-22 21:35:14,17,6,0,22,0,442,804,7,13,0,6,1,1,0,8
1835008,1021571072,1073,19,19,0,0,Mar-22 21:35:15,17,6,0,33,0,12623,4742,7,13,0,7,1,5,0,0
1835008,1021571072,1073,19,19,0,0,Mar-22 21:35:16,17,6,0,22,0,424,0,7,13,0,7,1,1,0,8
1835008,1021571072,1073,19,19,0,0,Mar-22 21:35:17,17,6,0,19,0,7158,1318,7,13,0,7,1,2,0,0
1835008,1021571072,1073,19,19,0,0,Mar-22 21:35:18,17,6,0,15,0,0,0,7,13,0,7,1,1,0,0
1835008,1021571072,1073,19,19,0,0,Mar-22 21:35:19,17,6,0,65,0,16266,6772,7,13,0,7,1,2,0,8
1835008,1021571072,1071,17,19,0,0,Mar-22 21:35:20,17,6,0,22,0,1027,504,7,11,0,8,1,1,0,0
1835008,1021571072,1071,17,19,0,0,Mar-22 21:35:21,17,6,0,14,0,0,0,7,11,0,8,1,2,0,9
1835008,1021571072,1071,17,19,0,0,Mar-22 21:35:22,17,6,0,16,0,0,0,7,11,0,8,1,1,0,0
1835008,1021571072,1071,17,19,0,0,Mar-22 21:35:23,17,6,0,15,0,0,0,7,11,0,8,1,2,0,0
1835008,1021571072,1071,17,19,0,0,Mar-22 21:35:24,17,6,0,16,0,0,0,7,11,0,8,1,3,0,8
1835008,1021571072,1071,17,19,0,0,Mar-22 21:35:25,17,6,0,36,0,0,358,7,11,0,8,1,3,0,0
1835008,1021571072,1071,17,19,0,0,Mar-22 21:35:26,17,6,0,15,0,0,0,7,11,0,8,1,3,0,8
1835008,1021571072,1071,17,19,0,0,Mar-22 21:35:27,17,6,0,24,0,1289,3192,7,11,0,9,1,5,0,0
1835008,1021571072,1071,17,19,0,0,Mar-22 21:35:28,17,6,0,30,0,16012,2748,7,11,0,9,1,8,0,0
1835008,1021571072,1071,17,19,0,0,Mar-22 21:35:29,17,6,0,17,0,167,187,7,11,0,9,1,3,0,8
1835008,1021571072,1073,17,19,0,0,Mar-22 21:35:30,17,6,0,15,0,0,358,7,11,0,9,1,2,0,0
1835008,1021571072,1071,17,19,0,0,Mar-22 21:35:31,17,6,0,50,0,172,212,7,11,0,8,1,2,0,8
1835008,1021571072,1071,17,19,0,0,Mar-22 21:35:32,17,6,0,16,0,0,0,7,11,0,8,1,3,0,0
1835008,1021571072,1071,17,19,0,0,Mar-22 21:35:33,17,6,0,15,0,0,0,7,11,0,8,1,3,0,0
1835008,1021571072,1071,17,19,0,0,Mar-22 21:35:34,17,6,0,19,0,396,446,7,11,0,8,1,11,1,9
1835008,1021571072,1071,17,19,0,0,Mar-22 21:35:35,17,6,0,16,0,0,358,7,11,0,8,1,3,0,0
1835008,1021571072,1071,17,19,0,0,Mar-22 21:35:36,17,6,0,17,0,78,106,7,11,0,8,1,4,0,8
1835008,1021571072,1071,17,19,0,0,Mar-22 21:35:37,17,6,0,37,0,0,0,7,11,0,8,1,4,0,0
1835008,1021571072,1071,17,19,0,0,Mar-22 21:35:38,17,6,0,21,0,1249,3192,7,11,0,9,1,3,0,0
1835008,1021571072,1071,17,19,0,0,Mar-22 21:35:39,17,6,0,32,0,15972,2668,7,11,0,9,1,2,0,8
1835008,1021571072,1071,17,19,0,0,Mar-22 21:35:40,17,6,0,15,0,0,0,7,11,0,9,1,6,0,0
1835008,1021571072,1071,17,19,0,0,Mar-22 21:35:41,17,6,0,20,0,424,358,7,11,0,8,1,3,0,8
