"Dstat 1.1.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dool/socket_raw_sys_fs_page_net_vm-adv_vm.csv --socket --raw --sys --fs --page --net --vm-adv --vm 1 600",,,,"Date:","22 Mar 2023 21:32:08 -03"
"sockets",,,,,"raw","system",,"filesystem",,"paging",,"net/total",,"advanced virtual memory",,,,,"virtual memory",,,
1074,20,19,0,0,0,831,1392,13216,349818,0,0,0,358,0,0,0,0,0,0,496,648,537
1074,20,19,0,0,0,989,2582,13216,349817,0,0,0,0,0,0,0,0,0,0,1369,1388,1499
1074,20,19,0,0,0,1888,5869,13216,349827,0,0,458,480,0,0,0,0,0,0,441,2489,2706
1074,20,19,0,0,0,907,2507,13216,349828,0,0,418,0,0,0,0,0,0,0,1303,1778,1652
1074,20,19,0,0,0,1009,2167,13216,349828,0,0,13583,5226,0,0,0,0,0,0,29,377,533
1074,20,19,0,0,0,762,1339,13216,349829,0,0,6282,1590,0,0,0,0,0,0,102,545,411
1077,21,19,0,0,0,1077,2733,13216,349811,0,0,1350,426,0,0,0,0,0,0,1859,1786,1861
1074,20,19,0,0,0,978,1629,13216,349807,0,0,815,963,0,0,0,0,0,0,9,282,766
1074,20,19,0,0,0,1009,2680,13216,349808,0,0,0,0,0,0,0,0,0,0,1301,1791,1680
1074,20,19,0,0,0,847,1704,13216,349828,0,0,86,106,0,0,0,0,0,0,1268,1457,728
1074,20,19,0,0,0,637,1136,13216,349827,0,0,0,0,0,0,0,0,0,0,11,85,206
1073,19,19,0,0,0,991,2641,13216,349827,0,0,326,610,0,0,0,0,0,0,1598,1597,1436
1073,19,19,0,0,0,948,1623,13216,349827,0,0,2248,3180,0,0,0,0,0,0,487,282,554
1073,19,19,0,0,0,885,2444,13184,349825,0,0,0,0,0,0,0,0,0,0,1353,1628,1760
1073,19,19,0,0,0,835,1273,13184,349846,0,0,0,0,0,0,0,0,0,0,194,454,115
1073,19,19,0,0,0,746,1379,13184,349846,0,0,0,0,0,0,0,0,0,0,279,89,95
1073,19,19,0,0,0,1173,3605,13184,349854,0,0,16345,6132,0,0,0,0,0,0,1499,1619,2150
1073,19,19,0,0,0,696,1232,13184,349856,0,0,963,1386,0,0,0,0,0,0,101,521,108
1073,19,19,0,0,0,914,2498,13184,349856,0,0,0,0,0,0,0,0,0,0,1275,1631,1624
1073,19,19,0,0,0,671,1166,13184,349855,0,0,0,0,0,0,0,0,0,0,280,88,207
1073,19,19,0,0,0,722,1202,13184,348736,0,0,0,0,0,0,0,0,0,0,42,268,2007
1073,19,19,0,0,0,896,2541,13184,348734,0,0,0,358,0,0,0,0,0,0,1757,1957,3709
1073,19,19,0,0,0,696,1215,13184,348745,0,0,167,187,0,0,0,0,0,0,318,701,106
1072,18,19,0,0,0,1180,3596,13184,348755,0,0,482,350,0,0,0,0,0,0,1811,2727,3068
1072,18,19,0,0,0,809,1357,13152,348754,0,0,0,0,0,0,0,0,0,0,458,240,361
1072,18,19,0,0,0,652,1196,13152,348754,0,0,0,0,0,0,0,0,0,0,85,92,108
1072,18,19,0,0,0,928,2484,13152,348755,0,0,0,0,0,0,0,0,0,0,1329,1542,1493
1072,18,19,0,0,0,1012,2311,13152,348755,0,0,16970,6829,0,0,0,0,0,0,315,223,350
1072,18,19,0,0,0,919,2476,13152,348754,0,0,876,126,0,0,0,0,0,0,1283,1644,1663
1072,18,19,0,0,0,745,1155,13152,348765,0,0,876,968,0,0,0,0,0,0,217,393,2540
1072,18,19,0,0,0,797,1345,13152,348775,0,0,0,0,0,0,0,0,0,0,137,263,227
1072,18,19,0,0,0,989,2534,13152,348775,0,0,0,0,0,0,0,0,0,0,1575,1374,1535
1072,18,19,0,0,0,784,1377,13152,348776,0,0,0,358,0,0,0,0,0,0,15,267,130
1072,18,19,0,0,0,924,2392,13152,348775,0,0,0,0,0,0,0,0,0,0,1357,1637,1785
1072,18,19,0,0,0,689,1103,13152,348715,0,0,382,243,0,0,0,0,0,0,17,105,159
1072,18,19,0,0,0,727,1257,13152,348716,0,0,0,0,0,0,0,0,0,0,300,259,120
1072,18,19,0,0,0,1010,2602,13152,348715,0,0,0,0,0,0,0,0,0,0,1599,1512,1652
1072,18,19,0,0,0,1848,35782,13184,349796,0,0,15817,5657,0,0,0,0,0,0,47743,69937,39968
1070,16,19,0,0,0,2569,8823,13184,349744,0,0,29819,6061,0,0,0,0,0,0,1315,3541,3669
1070,16,19,0,0,0,786,1322,13184,349743,0,0,56,74,0,0,0,0,0,0,286,400,507
1070,16,19,0,0,0,708,1256,13184,349744,0,0,4598,1198,0,0,0,0,0,0,20,225,104
1070,16,19,0,0,0,988,2639,13184,349743,0,0,0,0,0,0,0,0,0,0,1404,1675,1657
1070,16,19,0,0,0,755,1274,13184,349743,0,0,253,651,0,0,0,0,0,0,21,121,456
1070,16,19,0,0,0,828,2321,13216,349744,0,0,0,0,0,0,0,0,0,0,1565,1778,1642
1070,16,19,0,0,0,879,1743,13216,349784,0,0,0,0,0,0,0,0,0,0,1092,1488,35203
1070,16,19,0,0,0,711,1339,13216,349783,0,0,0,0,0,0,0,0,0,0,90,99,241
1070,16,19,0,0,0,944,2564,13216,349783,0,0,0,0,0,0,0,0,0,0,1303,1802,1726
1070,16,19,0,0,0,723,1357,13216,349784,0,0,474,552,0,0,0,0,0,0,334,168,107
1070,16,19,0,0,0,930,2618,13248,349783,0,0,0,0,0,0,0,0,0,0,1410,1645,1775
1070,16,19,0,0,0,818,1371,13248,349783,0,0,82,0,0,0,0,0,0,0,740,726,578
1070,16,19,0,0,0,925,2193,13216,349784,0,0,1659,4592,0,0,0,0,0,0,386,950,819
1070,16,19,0,0,0,928,2543,13216,349803,0,0,15602,1450,0,0,0,0,0,0,1683,1512,1861
1070,16,19,0,0,0,747,1279,13216,349812,0,0,0,0,0,0,0,0,0,0,291,660,502
1070,16,19,0,0,0,1053,2726,13216,349813,0,0,0,0,0,0,0,0,0,0,1394,1582,1447
1070,16,19,0,0,0,986,3593,13184,349816,0,0,954,352,0,0,0,0,0,0,1544,1370,1340
1070,16,19,0,0,0,670,1150,13184,349815,0,0,0,0,0,0,0,0,0,0,284,378,499
1070,16,19,0,0,0,904,2587,13184,349813,0,0,0,0,0,0,0,0,0,0,1313,1548,1417
1070,16,19,0,0,0,716,1217,13184,349813,0,0,87,1260,0,0,0,0,0,0,83,351,369
1070,16,19,0,0,0,964,2429,13184,349822,0,0,0,0,0,0,0,0,0,0,1287,1377,24660
1070,16,19,0,0,0,997,2224,13184,349833,0,0,0,0,0,0,0,0,0,0,447,1086,2014
1070,16,19,0,0,0,740,1275,13184,349832,0,0,0,0,0,0,0,0,0,0,18,392,942
1070,16,19,0,0,0,1175,3388,13184,349831,0,0,15817,5309,0,0,0,0,0,0,1762,1574,1712
1070,16,19,0,0,0,760,1266,13184,349832,0,0,1531,778,0,0,0,0,0,0,99,591,441
1070,16,19,0,0,0,874,2611,13184,349832,0,0,167,187,0,0,0,0,0,0,1565,1365,1363
1070,16,19,0,0,0,708,1205,13184,348711,0,0,418,0,0,0,0,0,0,0,55,155,2735
1070,16,19,0,0,0,720,1199,13184,348722,0,0,350,0,0,0,0,0,0,0,260,755,576
1070,16,19,0,0,0,777,1250,13184,348720,0,0,0,0,0,0,0,0,0,0,399,321,239
1070,16,19,0,0,0,926,2338,13184,348731,0,0,396,446,0,0,0,0,0,0,1406,1583,1619
1073,16,22,0,0,0,895,2698,13184,348677,0,0,0,1278,0,0,0,0,0,0,1286,1738,1615
1073,16,22,0,0,0,906,1859,13184,348677,0,0,0,920,0,0,0,0,0,0,12,460,467
1073,16,22,0,0,0,674,1208,13184,348676,0,0,0,920,0,0,0,0,0,0,75,354,482
1073,16,22,0,0,0,699,1184,13184,348677,0,0,0,920,0,0,0,0,0,0,308,253,95
1073,16,22,0,0,0,1184,3419,13184,348687,0,0,16345,5814,0,0,0,0,0,0,1349,1727,1756
1070,16,19,0,0,0,954,2549,13184,348683,0,0,876,126,0,0,0,0,0,0,1756,1605,1724
1070,16,19,0,0,0,1092,1227,13184,348694,0,0,0,358,0,0,0,0,0,0,613,806,526
1070,16,19,0,0,0,756,1234,13184,348694,0,0,0,0,0,0,0,0,0,0,280,349,344
1070,16,19,0,0,0,771,1282,13184,348693,0,0,0,0,0,0,0,0,0,0,10,84,209
1070,16,19,0,0,0,885,2471,13216,348694,0,0,87,1260,0,0,0,0,0,0,1331,1802,1667
1071,17,19,0,0,0,1028,2904,13216,348699,0,0,15838,4904,0,0,0,0,0,0,667,649,578
1071,17,19,0,0,0,1080,2288,13216,348714,0,0,1980,3042,0,0,0,0,0,0,1850,1972,1434
1071,17,19,0,0,0,802,1595,13216,348715,0,0,0,0,0,0,0,0,0,0,15,779,658
1071,17,19,0,0,0,904,1826,13216,348760,0,0,167,187,0,0,0,0,0,0,4445,5365,933
1071,17,19,0,0,0,2116,35536,13216,349830,0,0,167,187,0,0,0,0,0,0,52966,75070,91435
1071,17,19,0,0,0,984,2385,13216,349832,0,0,16305,5734,0,0,0,0,0,0,313,323,248
1071,17,19,0,0,0,983,2445,13184,349829,0,0,876,126,0,0,0,0,0,0,1289,1693,1853
1071,17,19,0,0,0,727,1358,13184,349830,0,0,0,358,0,0,0,0,0,0,478,668,533
1071,17,19,0,0,0,760,1332,13184,349840,0,0,0,0,0,0,0,0,0,0,315,355,470
1071,17,19,0,0,0,976,2477,13184,349839,0,0,396,446,0,0,0,0,0,0,1565,1368,1481
1071,17,19,0,0,0,736,1205,13184,349840,0,0,0,0,0,0,0,0,0,0,11,487,355
1071,17,19,0,0,0,1025,2625,13184,349860,0,0,86,106,0,0,0,0,0,0,1479,1694,5360
1071,17,19,0,0,0,2232,6864,13184,349859,0,0,0,358,0,0,0,0,0,0,71,2360,2496
1071,17,19,0,0,0,753,1315,13184,349860,0,0,0,0,0,0,0,0,0,0,282,224,90
1075,19,19,0,0,0,1059,2702,13184,349865,0,0,11882,5152,0,0,0,0,0,0,1564,1651,1395
1071,17,19,0,0,0,786,1360,13184,349870,0,0,1301,1357,0,0,0,0,0,0,221,531,1049
1071,17,19,0,0,0,1066,3358,13184,349870,0,0,12701,4848,0,0,0,0,0,0,1346,1593,1461
1071,17,19,0,0,0,721,1241,13184,349870,0,0,0,358,0,0,0,0,0,0,300,560,535
1071,17,19,0,0,0,770,1346,13184,349869,0,0,7325,1505,0,0,0,0,0,0,7,100,262
1071,17,19,0,0,0,1022,2439,13184,349880,0,0,0,0,0,0,0,0,0,0,1429,1757,65319
1073,19,19,0,0,0,1145,2476,13184,349883,0,0,16338,5969,0,0,0,0,0,0,550,579,577
1073,19,19,0,0,0,993,2598,13184,349881,0,0,15549,876,0,0,0,0,0,0,1579,1384,1497
1073,19,19,0,0,0,708,1280,13184,349892,0,0,56,432,0,0,0,0,0,0,132,629,463
1073,19,19,0,0,0,788,1402,13184,349892,0,0,56,181,0,0,0,0,0,0,236,340,338
1073,19,19,0,0,0,1027,2600,13184,349892,0,0,167,187,0,0,0,0,0,0,1388,1670,1633
1073,19,19,0,0,0,698,1220,13184,349831,0,0,78,106,0,0,0,0,0,0,594,413,500
1073,19,19,0,0,0,984,2481,13184,349842,0,0,424,0,0,0,0,0,0,0,1338,1866,1775
1073,19,19,0,0,0,668,1240,13184,349842,0,0,0,0,0,0,0,0,0,0,18,95,113
1073,19,19,0,0,0,903,2215,13184,349842,0,0,15817,5460,0,0,0,0,0,0,72,145,413
1073,19,19,0,0,0,1048,2595,13184,349851,0,0,1840,1370,0,0,0,0,0,0,1739,2004,1709
1073,19,19,0,0,0,783,1264,13184,349850,0,0,0,0,0,0,0,0,0,0,32,131,228
1073,19,19,0,0,0,929,2438,13184,348730,0,0,0,0,0,0,0,0,0,0,1283,1713,29348
1073,19,19,0,0,0,755,1280,13184,348732,0,0,0,0,0,0,0,0,0,0,389,393,248
1073,19,19,0,0,0,875,1720,13184,348731,0,0,0,358,0,0,0,0,0,0,306,509,601
1073,19,19,0,0,0,986,2439,13184,348741,0,0,0,0,0,0,0,0,0,0,1424,1982,1864
1073,19,19,0,0,0,813,1476,13184,348742,0,0,0,0,0,0,0,0,0,0,45,283,378
1073,19,19,0,0,0,1456,6327,13184,348704,0,0,0,0,0,0,0,0,0,0,4645,4720,4227
1073,19,19,0,0,0,712,1204,13184,348704,0,0,0,0,0,0,0,0,0,0,275,82,78
1073,19,19,0,0,0,771,1298,13184,348705,0,0,0,358,0,0,0,0,0,0,8,238,99
1073,19,19,0,0,0,1201,3511,13184,348701,0,0,15817,5016,0,0,0,0,0,0,1330,1753,1903
1073,19,19,0,0,0,705,1206,13184,348701,0,0,1404,844,0,0,0,0,0,0,71,87,81
1073,19,19,0,0,0,1035,2564,13184,348712,0,0,42,0,0,0,0,0,0,0,1744,2004,2070
1073,19,19,0,0,0,754,1279,13184,348721,0,0,0,0,0,0,0,0,0,0,320,429,215
1073,19,19,0,0,0,935,1863,13184,348731,0,0,0,0,0,0,0,0,0,0,216,699,802
1073,19,19,0,0,0,1146,2572,13184,348737,0,0,167,545,0,0,0,0,0,0,1823,2838,2711
1073,19,19,0,0,0,1022,2284,13184,348737,0,0,15887,5661,0,0,0,0,0,0,318,325,631
1073,19,19,0,0,0,984,2559,13184,348731,0,0,1497,1170,0,0,0,0,0,0,1284,1634,1637
1073,19,19,0,0,0,733,1209,13184,348732,0,0,220,0,0,0,0,0,0,0,20,224,116
1073,19,19,0,0,0,807,1430,13184,348731,0,0,691,187,0,0,0,0,0,0,112,152,239
1073,19,19,0,0,0,1868,36490,13184,349802,0,0,442,804,0,0,0,0,0,0,53397,75163,21993
1073,19,19,0,0,0,1077,2417,13184,349813,0,0,12623,4742,0,0,0,0,0,0,219,392,227
1073,19,19,0,0,0,997,2506,13184,349811,0,0,424,0,0,0,0,0,0,0,1296,1669,4362
1073,19,19,0,0,0,714,1227,13184,349812,0,0,7158,1318,0,0,0,0,0,0,74,240,110
1073,19,19,0,0,0,783,1356,13184,349812,0,0,0,0,0,0,0,0,0,0,279,368,353
1073,19,19,0,0,0,2765,9569,13184,349811,0,0,16266,6772,0,0,0,0,0,0,1326,3711,3806
1071,17,19,0,0,0,745,1225,13184,349810,0,0,1027,504,0,0,0,0,0,0,20,216,104
1071,17,19,0,0,0,1171,3461,13248,349856,0,0,0,0,0,0,0,0,0,0,6402,7026,5129
1071,17,19,0,0,0,836,1474,13248,349875,0,0,0,0,0,0,0,0,0,0,479,326,1575
1071,17,19,0,0,0,746,1302,13248,349876,0,0,0,0,0,0,0,0,0,0,6,222,84
1071,17,19,0,0,0,883,2523,13248,349876,0,0,0,0,0,0,0,0,0,0,1314,1836,1946
1071,17,19,0,0,0,752,1289,13248,349815,0,0,0,358,0,0,0,0,0,0,95,125,294
1071,17,19,0,0,0,960,2454,13248,349816,0,0,0,0,0,0,0,0,0,0,1543,1765,1632
1071,17,19,0,0,0,815,2018,13248,349817,0,0,1289,3192,0,0,0,0,0,0,6,155,155
1071,17,19,0,0,0,854,1367,13248,349826,0,0,16012,2748,0,0,0,0,0,0,19,242,45223
1071,17,19,0,0,0,1049,2559,13248,349847,0,0,167,187,0,0,0,0,0,0,1689,2226,2294
1073,17,19,0,0,0,760,1422,13248,349850,0,0,0,358,0,0,0,0,0,0,285,112,220
1071,17,19,0,0,0,950,2569,13248,349846,0,0,172,212,0,0,0,0,0,0,1300,1670,1772
1071,17,19,0,0,0,706,1201,13248,349847,0,0,0,0,0,0,0,0,0,0,20,217,111
1071,17,19,0,0,0,851,1435,13248,349847,0,0,0,0,0,0,0,0,0,0,73,112,104
1071,17,19,0,0,0,1000,2718,13248,349846,0,0,396,446,0,0,0,0,0,0,1888,2297,1929
1071,17,19,0,0,0,830,1406,13248,349847,0,0,0,358,0,0,0,0,0,0,9,342,667
1071,17,19,0,0,0,1078,2952,13248,349866,0,0,78,106,0,0,0,0,0,0,2461,2742,2246
1071,17,19,0,0,0,798,1311,13248,349876,0,0,0,0,0,0,0,0,0,0,232,539,374
1071,17,19,0,0,0,927,2210,13248,349878,0,0,1249,3192,0,0,0,0,0,0,315,275,147
1071,17,19,0,0,0,930,2504,13248,349876,0,0,15972,2668,0,0,0,0,0,0,1298,1741,1862
1071,17,19,0,0,0,768,1322,13248,349876,0,0,0,0,0,0,0,0,0,0,37,100,102
1071,17,19,0,0,0,917,2551,13248,349877,0,0,424,358,0,0,0,0,0,0,1585,1754,1571
1071,17,19,0,0,0,741,1251,13248,349876,0,0,0,0,0,0,0,0,0,0,727,685,945
1071,17,19,0,0,0,793,1364,13248,348777,0,0,0,0,0,0,0,0,0,0,530,1016,10653
1071,17,19,0,0,0,906,2407,13248,348786,0,0,167,187,0,0,0,0,0,0,1455,1672,1802
1071,17,19,0,0,0,717,1221,13248,348787,0,0,0,0,0,0,0,0,0,0,76,368,494
1071,17,19,0,0,0,1364,3858,13248,348786,0,0,31571,6690,0,0,0,0,0,0,2028,2017,2137
1071,17,19,0,0,0,688,1230,13248,348787,0,0,0,0,0,0,0,0,0,0,6,224,90
1071,17,19,0,0,0,776,1358,13248,348787,0,0,56,74,0,0,0,0,0,0,19,114,107
1071,17,19,0,0,0,1067,3304,13280,348785,0,0,1882,4751,0,0,0,0,0,0,1388,1472,1837
1071,17,19,0,0,0,872,1848,13280,348797,0,0,10964,252,0,0,0,0,0,0,434,1132,893
1071,17,19,0,0,0,1005,2628,13280,348797,0,0,7158,1676,0,0,0,0,0,0,1277,1703,1697
1071,17,19,0,0,0,732,1310,13280,348793,0,0,0,0,0,0,0,0,0,0,300,398,434
1071,17,19,0,0,0,763,1276,13280,348794,0,0,0,0,0,0,0,0,0,0,73,219,84
1071,17,19,0,0,0,918,2586,13280,348793,0,0,396,446,0,0,0,0,0,0,1565,1379,1617
1071,17,19,0,0,0,761,1271,13280,348793,0,0,0,0,0,0,0,0,0,0,32,384,228
1089,17,19,0,0,0,2420,9244,13280,348947,0,0,23250,12829,0,0,0,0,0,0,17342,22613,11235
1089,17,19,0,0,0,861,1733,13280,348957,0,0,0,358,0,0,0,0,0,0,557,2569,2890
1089,17,19,0,0,0,853,1537,13280,348957,0,0,167,187,0,0,0,0,0,0,498,360,627
1089,17,19,0,0,0,1869,36071,14304,350023,0,0,6480,1136,0,0,0,0,0,0,51922,74362,26523
1089,17,19,0,0,0,792,1341,13248,349969,0,0,0,0,0,0,0,0,0,0,629,2216,343
1090,18,19,0,0,0,1295,5850,13248,349968,0,0,376,1813,0,0,0,0,0,0,2934,3015,3080
1089,17,19,0,0,0,777,1322,13248,349969,0,0,16963,4233,0,0,0,0,0,0,6,221,110
1089,17,19,0,0,0,789,1388,13248,349968,0,0,0,0,0,0,0,0,0,0,199,418,680
1089,17,19,0,0,0,843,2418,13248,349977,0,0,0,0,0,0,0,0,0,0,1509,1836,1697
1089,17,19,0,0,0,785,1314,13248,349978,0,0,0,0,0,0,0,0,0,0,71,231,101
1089,17,19,0,0,0,950,2597,13248,349987,0,0,650,484,0,0,0,0,0,0,1803,2201,2235
1089,17,19,0,0,0,763,1272,13248,349996,0,0,0,0,0,0,0,0,0,0,620,568,20534
1089,17,19,0,0,0,756,1304,13248,349998,0,0,0,0,0,0,0,0,0,0,19,487,423
1089,17,19,0,0,0,817,2388,13248,349997,0,0,167,187,0,0,0,0,0,0,1370,1654,1777
1089,17,19,0,0,0,783,1412,13248,349997,0,0,70,0,0,0,0,0,0,0,357,277,462
1090,17,19,0,0,0,5142,29544,13664,350029,0,0,32947,4526,0,0,0,0,0,0,29507,30325,19570
1092,17,19,0,0,0,7051,7127,13664,350032,0,0,15229,17387,0,0,0,0,0,0,30493,33926,29271
1092,17,19,0,0,0,2140,2681,13664,350043,0,0,17812,5741,0,0,0,0,0,0,5028,6951,6106
1092,17,19,0,0,0,995,2326,13664,350059,0,0,1178,791,0,0,0,0,0,0,730,1233,3624
1095,17,22,0,0,0,3086,4448,13664,350054,0,0,44984,3923,0,0,0,0,0,0,16704,18496,22362
1095,17,22,0,0,0,874,2427,13664,350056,0,0,172,1132,0,0,0,0,0,0,1212,1390,1023
1095,17,22,0,0,0,809,1489,13664,350054,0,0,0,920,0,0,0,0,0,0,234,636,835
1095,17,22,0,0,0,694,1239,13664,350063,0,0,0,920,0,0,0,0,0,0,4,111,222
1098,17,25,0,0,0,803,1380,13664,350067,0,0,0,510,0,0,0,0,0,0,108,531,664
1092,17,19,0,0,0,907,2440,13664,350061,0,0,1542,1457,0,0,0,0,0,0,1308,1392,1403
1092,17,19,0,0,0,787,1300,13664,350060,0,0,436,535,0,0,0,0,0,0,91,630,746
1092,17,19,0,0,0,906,2464,13664,350071,0,0,0,358,0,0,0,0,0,0,2252,2903,29707
