"Dstat 1.1.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dool/cpu_io_load_udp_tcp_disk_mem_int_vm.csv --cpu --io --load --udp --tcp --disk --mem --int --vm 1 600",,,,"Date:","22 Mar 2023 21:32:08 -03"
"total cpu usage",,,,,"io/total",,"load avg",,,"udp",,"tcp sockets",,,,,"dsk/total",,"memory usage",,,,"interrupts",,,"virtual memory",,,
3,1.250,95.625,0.125,0,0,0,1.010,2.610,3.820,17,6,7,15,0,6,0,0,0,3549671424,1788731392,10548076544,12415733760,0,57,0,0,1841,1372,1469
2.375,1.125,96.500,0,0,0,0,1.010,2.610,3.820,17,6,7,15,0,6,0,0,0,3549011968,1789054976,10548412416,12416851968,0,16,0,0,367,584,205
1.880,1.128,96.617,0.376,0,0,0,1.010,2.610,3.820,17,6,7,15,0,6,0,0,0,3550564352,1788551168,10547363840,12416385024,0,16,0,0,1411,1485,1844
2.628,1.001,96.120,0.250,0,0,26,0.930,2.560,3.800,17,6,7,15,0,6,0,0,925696,3549503488,1788551168,10548424704,12416380928,0,17,0,0,404,782,442
2.013,0.881,96.981,0.126,0,0,0,0.930,2.560,3.800,17,6,7,15,0,6,0,0,0,3551313920,1787789312,10547376128,12415627264,0,14,0,0,1381,1484,1845
2.509,1.255,96.236,0,0,0,0,0.930,2.560,3.800,17,6,7,15,0,6,0,0,0,3567632384,1770336256,10548510720,12399505408,0,16,0,0,4981,5948,1051
2.005,1.128,96.742,0.125,0,0,0,0.930,2.560,3.800,17,6,7,15,0,6,0,0,0,3568812032,1768787968,10548879360,12398284800,0,33,0,0,481,636,502
2.008,1.255,96.612,0.125,0,0,0,0.930,2.560,3.800,17,6,7,15,0,6,0,0,0,3569319936,1768534016,10548625408,12398071808,0,16,0,0,1381,1391,1528
2.396,1.892,95.208,0.504,0,0,1512,0.850,2.520,3.780,17,6,7,15,0,6,0,0,17096704,3572981760,1765081088,10548416512,12394405888,0,22,0,0,164,2491,2709
2.882,1.253,95.865,0,0,0,0,0.850,2.520,3.780,17,6,7,15,0,6,0,0,0,3572822016,1765507072,10548150272,12394840064,0,19,0,0,1571,1517,1653
3.890,1.129,94.856,0.125,0,0,44,0.850,2.520,3.780,17,6,7,15,0,7,0,0,1736704,3573022720,1764773888,10548682752,12394115072,0,43,0,0,25,638,509
2.136,0.754,96.859,0.251,0,0,36,0.850,2.520,3.780,17,6,7,15,0,7,0,0,147456,3573227520,1764814848,10548436992,12394196992,0,22,0,0,116,413,425
2.648,1.009,96.091,0.252,0,0,14,0.850,2.520,3.780,17,6,7,15,1,7,0,0,49152,3573170176,1764814848,10548494336,12392964096,0,44,0,0,1584,1868,1818
2.757,1.003,96.241,0,0,0,0,0.790,2.480,3.760,17,6,7,15,0,8,0,0,0,3572248576,1765912576,10548318208,12393406464,0,27,0,0,283,337,820
3.254,1.627,95.119,0,0,0,0,0.790,2.480,3.760,17,6,7,15,0,8,0,0,0,3571703808,1766420480,10548355072,12393914368,0,14,0,0,1290,1792,1658
3.375,0.875,95.625,0.125,0,0,0,0.790,2.480,3.760,17,6,7,15,0,7,0,0,0,3571494912,1766174720,10548809728,12392849408,0,17,0,0,1281,1458,750
2.384,0.502,96.989,0.125,0,0,0,0.790,2.480,3.760,17,6,7,15,0,7,0,0,0,3572510720,1765683200,10548285440,12392357888,0,15,0,0,8,82,205
2.138,1.258,96.101,0.503,0,0,24,0.790,2.480,3.760,17,6,7,13,0,7,1,0,458752,3572445184,1765748736,10548285440,12392480768,0,20,0,0,1599,1459,1423
2.390,1.132,96.352,0.126,0,0,10,0.720,2.440,3.740,17,6,7,13,0,7,1,0,49152,3572056064,1765601280,10548822016,12392349696,0,48,0,0,477,419,542
2.250,1.375,96.250,0.125,0,0,0,0.720,2.440,3.740,17,6,7,13,0,7,1,0,0,3572649984,1765847040,10547982336,12392603648,0,22,0,0,1364,1631,1783
3.990,1.496,94.514,0,0,0,0,0.720,2.440,3.740,17,6,7,13,0,7,1,0,0,3571707904,1765883904,10548887552,12394311680,0,15,0,0,193,440,106
2.628,0.626,96.621,0.125,0,0,0,0.720,2.440,3.740,17,6,7,13,0,7,1,0,0,3572064256,1765527552,10548887552,12393955328,0,15,0,0,281,102,93
3.401,1.134,95.340,0.126,0,0,26,0.720,2.440,3.740,17,6,7,13,0,8,1,0,229376,3573354496,1765515264,10547609600,12394446848,0,37,0,0,1488,1616,2137
2.258,1.004,96.738,0,0,0,0,0.660,2.400,3.720,17,6,7,13,0,8,1,0,0,3574071296,1763467264,10548940800,12392423424,0,17,0,0,113,528,136
2.125,1.625,96.125,0.125,0,0,0,0.660,2.400,3.720,17,6,7,13,0,8,1,0,0,3573960704,1763577856,10548940800,12392534016,0,49,0,0,1274,1359,1355
2.133,0.753,97.114,0,0,0,0,0.660,2.400,3.720,17,6,7,13,0,8,1,0,0,3575189504,1762615296,10548674560,12391571456,0,11,0,0,279,350,469
2.258,1.380,96.110,0.251,0,0,0,0.660,2.400,3.720,17,6,7,13,0,8,1,0,0,3576401920,1767665664,10542411776,12408049664,0,12,0,0,39,259,2001
1.889,1.134,96.096,0.882,0,0,42,0.660,2.400,3.720,17,6,7,13,0,7,1,0,1327104,3576664064,1768734720,10541080576,12409131008,0,17,0,0,1389,1581,1953
3.388,1.129,95.483,0,0,0,0,0.610,2.360,3.700,17,6,7,13,0,7,1,0,0,3571421184,1773072384,10541985792,12406411264,0,17,0,0,690,1094,1873
2.396,1.513,95.965,0.126,0,0,510,0.610,2.360,3.700,17,6,7,11,0,7,2,0,5193728,3571703808,1773019136,10541756416,12405313536,0,21,0,0,1810,2450,3049
2.882,1.253,95.739,0.125,0,0,0,0.610,2.360,3.700,17,6,7,11,0,7,2,0,0,3571531776,1772658688,10542288896,12404981760,0,29,0,0,460,524,388
1.884,0.754,97.362,0,0,0,0,0.610,2.360,3.700,17,6,7,11,0,7,2,0,0,3572215808,1772224512,10542039040,12404555776,0,14,0,0,85,85,102
1.761,1.132,96.981,0.126,0,0,0,0.610,2.360,3.700,17,6,7,11,0,7,2,0,0,3571683328,1772224512,10542571520,12404563968,0,15,0,0,1324,1530,1491
4.403,1.509,93.962,0.126,0,0,8,0.560,2.320,3.680,17,6,7,11,0,8,2,0,557056,3572166656,1771995136,10542317568,12404334592,0,46,0,0,319,235,353
2.503,1.377,96.120,0,0,0,0,0.560,2.320,3.680,17,6,7,11,0,8,2,0,0,3571322880,1772847104,10542309376,12405149696,0,18,0,0,1284,1645,1662
3.496,1.124,95.256,0.125,0,0,0,0.560,2.320,3.680,17,6,7,11,0,8,2,0,0,3561918464,1781886976,10542673920,12482080768,0,25,0,0,217,394,2540
2.764,1.256,95.980,0,0,0,0,0.560,2.320,3.680,17,6,7,11,0,8,2,0,0,3563102208,1780908032,10542469120,12481142784,0,54,0,0,136,262,227
2.628,1.001,95.995,0.375,0,0,0,0.560,2.320,3.680,17,6,7,11,0,8,2,0,0,3563167744,1781035008,10542276608,12481257472,0,15,0,0,1577,1373,1533
3.015,1.005,95.477,0.503,0,0,20,0.520,2.280,3.660,17,6,7,11,0,7,2,0,221184,3563094016,1780584448,10542800896,12480806912,0,17,0,0,14,274,139
3.011,0.878,95.985,0.125,0,0,0,0.520,2.280,3.660,17,6,7,11,0,7,2,0,0,3561930752,1782280192,10542268416,12482510848,0,15,0,0,1357,1631,1778
2.513,1.256,96.231,0,0,0,0,0.520,2.280,3.660,17,6,7,11,0,7,2,0,0,3562426368,1782046720,10542006272,12481994752,0,19,0,0,14,86,140
3.509,1.253,95.113,0.125,0,0,0,0.520,2.280,3.660,17,6,7,11,0,7,2,0,0,3561893888,1782046720,10542538752,12482064384,0,15,0,0,303,279,140
2.506,1.754,95.739,0,0,0,0,0.520,2.280,3.660,17,6,7,11,0,7,2,0,0,3562528768,1781411840,10542538752,12481429504,0,62,0,0,1305,1367,1375
5.786,2.264,91.698,0.252,0,0,0,0.470,2.240,3.640,17,6,7,11,0,8,2,0,0,3675242496,1663053824,10548183040,12509753344,0,37,0,0,48033,69938,40227
2.645,2.393,94.332,0.630,0,2,1986,0.470,2.240,3.640,17,6,7,9,0,9,2,8192,14286848,3678670848,1660502016,10547306496,12506726400,0,41,0,0,1317,3385,3658
3.141,1.508,95.226,0.126,0,0,30,0.470,2.240,3.640,17,6,7,9,0,9,2,0,2408448,3678560256,1660014592,10547904512,12506238976,0,18,0,0,287,696,534
1.380,1.004,97.491,0.125,0,0,0,0.470,2.240,3.640,17,6,7,9,0,9,2,0,0,3678523392,1660309504,10547646464,12506525696,0,21,0,0,19,97,103
3.238,1.619,95.143,0,0,0,0,0.470,2.240,3.640,17,6,7,9,0,9,2,0,0,3678760960,1660338176,10547380224,12506562560,0,15,0,0,1337,1538,1651
2.005,0.752,97.118,0.125,0,0,0,0.440,2.200,3.620,17,6,7,9,0,9,2,0,0,3679494144,1659060224,10547924992,12505296896,0,52,0,0,76,364,231
3.008,1.128,95.614,0.251,0,0,0,0.440,2.200,3.620,17,6,7,9,0,9,2,0,0,3679182848,1659621376,10547675136,12505858048,0,17,0,0,1571,1660,1858
4.625,1.375,93.750,0.250,0,0,0,0.440,2.200,3.620,17,6,7,9,0,8,2,0,0,3533709312,1804226560,10548543488,12636639232,0,15,0,0,1099,1629,35219
2.500,0.750,96.500,0.250,0,0,0,0.440,2.200,3.620,17,6,7,9,0,8,2,0,0,3534708736,1803481088,10548289536,12635906048,0,15,0,0,22,96,237
2.003,1.252,96.370,0.375,0,0,22,0.440,2.200,3.620,17,6,7,9,0,8,2,0,286720,3536244736,1802743808,10547490816,12635131904,0,14,0,0,1371,1546,1729
2.010,0.754,97.236,0,0,0,0,0.400,2.170,3.600,17,6,7,9,0,8,2,0,0,3536171008,1801744384,10548563968,12634148864,0,21,0,0,316,397,104
1.998,1.748,96.130,0.125,0,0,0,0.400,2.170,3.600,17,6,7,9,0,8,2,0,0,3536293888,1801601024,10548584448,12634062848,0,53,0,0,1318,1418,1367
2.393,1.511,96.096,0,0,0,0,0.400,2.170,3.600,17,6,7,9,0,8,2,0,0,3536912384,1800851456,10548715520,12633444352,0,16,0,0,782,984,886
2.760,0.753,96.236,0.251,0,0,42,0.400,2.170,3.600,17,6,7,9,0,9,2,0,270336,3537170432,1801990144,10547318784,12634583040,0,31,0,0,349,430,785
3.643,1.256,94.975,0.126,0,0,0,0.400,2.170,3.600,17,6,7,9,0,9,2,0,0,3537059840,1800671232,10548748288,12633645056,0,27,0,0,1789,2026,1992
2.253,0.876,96.871,0,0,0,0,0.370,2.130,3.580,17,6,7,9,0,9,2,0,0,3538452480,1799467008,10548559872,12635234304,0,15,0,0,291,666,511
3.125,1.500,95.250,0.125,0,0,0,0.370,2.130,3.580,17,6,7,9,0,9,2,0,0,3538919424,1798713344,10548846592,12634480640,0,15,0,0,1325,1579,1446
3.270,1.384,95.346,0,0,0,0,0.370,2.130,3.580,17,6,7,9,0,8,2,0,0,3539386368,1798238208,10548854784,12634013696,0,61,0,0,1613,1368,1335
3.254,0.876,95.620,0.250,0,0,0,0.370,2.130,3.580,17,6,7,9,0,8,2,0,0,3539341312,1799593984,10547544064,12635369472,0,15,0,0,283,106,478
3.023,0.882,95.214,0.882,0,0,40,0.370,2.130,3.580,17,6,7,9,0,8,2,0,286720,3539288064,1798565888,10548625408,12634341376,0,18,0,0,629,992,403
2.882,1.253,95.865,0,0,0,0,0.340,2.090,3.560,17,6,7,9,0,8,2,0,0,3540058112,1797287936,10549133312,12633100288,0,18,0,0,706,1191,1416
2.384,2.258,95.232,0.125,0,0,0,0.340,2.090,3.560,17,6,7,9,0,8,2,0,0,3536539648,1801281536,10548658176,12637085696,0,15,0,0,1349,1370,24654
3.509,1.754,94.737,0,0,0,570,0.340,2.090,3.560,17,6,7,9,0,8,2,0,5242880,3537973248,1799995392,10548510720,12633358336,0,16,0,0,446,947,2002
2.261,0.879,96.734,0.126,0,0,0,0.340,2.090,3.560,17,6,7,9,0,8,2,0,0,3538194432,1800314880,10547970048,12632989696,0,32,0,0,18,267,948
2.900,1.261,95.839,0,0,0,0,0.340,2.090,3.560,17,6,7,9,0,9,2,0,0,3538448384,1799311360,10548719616,12631994368,0,36,0,0,469,557,446
2.632,0.877,96.366,0.125,0,0,18,0.310,2.060,3.540,17,6,7,9,0,9,2,0,458752,3539210240,1798021120,10549248000,12630724608,0,24,0,0,1392,1879,1719
2.886,1.129,95.859,0.125,0,0,0,0.310,2.060,3.540,17,6,7,9,0,9,2,0,0,3539460096,1798021120,10548998144,12630745088,0,16,0,0,1564,1356,1355
2.258,1.129,96.612,0,0,0,0,0.310,2.060,3.540,17,6,7,9,0,8,2,0,0,3536052224,1808240640,10542190592,12632297472,0,18,0,0,55,148,2729
3.004,1.252,95.620,0.125,0,0,0,0.310,2.060,3.540,17,6,7,9,0,8,2,0,0,3535638528,1809399808,10541445120,12633268224,0,20,0,0,259,484,563
2.264,0.629,97.107,0,0,0,0,0.310,2.060,3.540,17,6,7,9,0,8,2,0,0,3535122432,1808838656,10542522368,12632727552,0,48,0,0,87,379,112
3.764,1.380,94.479,0.376,0,0,0,0.290,2.020,3.520,17,6,7,9,0,8,2,0,0,3535802368,1808601088,10542080000,12632694784,0,20,0,0,1720,1805,1767
2.141,1.134,96.474,0.252,0,0,38,0.290,2.020,3.520,20,6,7,9,0,7,2,0,1343488,3535503360,1808916480,10542063616,12632772608,0,18,0,0,622,1054,748
2.893,1.509,95.472,0.126,0,0,358,0.290,2.020,3.520,20,6,7,9,0,7,2,0,2867200,3536809984,1807208448,10542465024,12631076864,0,17,0,0,677,1142,1332
2.125,1.125,96.625,0.125,0,0,0,0.290,2.020,3.520,20,6,7,9,0,7,2,0,0,3536224256,1809117184,10541142016,12632985600,0,17,0,0,74,84,470
2.130,0.752,96.992,0.125,0,0,0,0.290,2.020,3.520,20,6,7,9,0,7,2,0,0,3534942208,1809051648,10542489600,12632936448,0,17,0,0,309,512,97
2.642,1.635,95.723,0,0,0,0,0.420,2.020,3.510,20,6,7,9,0,8,2,0,0,3535134720,1808805888,10542542848,12633706496,0,50,0,0,1343,1462,1474
2.390,1.258,96.226,0.126,0,0,40,0.420,2.020,3.510,17,6,7,9,0,8,2,0,540672,3535654912,1808605184,10542223360,12633493504,0,24,0,0,483,580,753
2.635,1.255,95.985,0.125,0,0,0,0.420,2.020,3.510,17,6,7,9,0,8,2,0,0,3535937536,1808154624,10542391296,12633042944,0,16,0,0,1893,2111,1789
3.004,1.001,95.995,0,0,0,0,0.420,2.020,3.510,17,6,7,9,0,8,2,0,0,3534852096,1809780736,10541850624,12634669056,0,16,0,0,278,84,337
1.754,1.128,96.992,0.125,0,0,0,0.420,2.020,3.510,17,6,7,9,0,8,2,0,0,3534385152,1809715200,10542383104,12634603520,0,14,0,0,6,352,220
3.383,1.378,95.113,0.125,0,0,0,0.390,1.990,3.490,17,6,7,9,0,7,2,0,0,3534319616,1809502208,10542661632,12634402816,0,18,0,0,1311,1774,1664
2.900,1.135,95.460,0.504,0,0,22,0.390,1.990,3.490,17,6,7,11,0,7,1,0,147456,3535069184,1809027072,10542387200,12633927680,0,58,0,0,97,207,309
3.141,1.005,95.854,0,0,0,0,0.390,1.990,3.490,17,6,7,11,0,7,1,0,0,3535314944,1808822272,10542346240,12634521600,0,35,0,0,2445,2433,1698
1.889,0.882,96.977,0.252,0,0,330,0.390,1.990,3.490,17,6,7,11,0,7,1,0,2236416,3533975552,1810423808,10542084096,12636164096,0,16,0,0,4,517,655
2.767,0.881,96.352,0,0,0,0,0.390,1.990,3.490,17,6,7,11,0,7,1,0,0,3547541504,1795756032,10543185920,12622376960,0,16,0,0,4455,5624,935
5.675,3.279,90.921,0.126,0,0,0,0.440,1.970,3.480,17,6,7,11,0,7,1,0,0,3471179776,1866977280,10548310016,12600963072,0,21,0,0,52965,74795,91418
3.518,1.382,95.101,0,0,0,0,0.440,1.970,3.480,17,6,7,11,0,8,1,0,0,3471650816,1865183232,10549633024,12612952064,0,36,0,0,290,576,265
3.383,1.880,94.612,0.125,0,0,40,0.440,1.970,3.480,17,6,7,11,0,8,1,0,2433024,3473707008,1863647232,10549112832,12611772416,0,38,0,0,1308,1728,1865
1.887,0.881,97.233,0,0,0,0,0.440,1.970,3.480,17,6,7,11,0,8,1,0,0,3475279872,1862123520,10549063680,12610248704,0,16,0,0,19,360,377
2.497,0.999,96.380,0.125,0,0,0,0.440,1.970,3.480,17,6,7,11,0,8,1,0,0,3474956288,1861648384,10549862400,12608983040,0,16,0,0,755,633,618
2.384,1.631,95.985,0,0,0,0,0.400,1.940,3.460,17,6,7,11,0,7,1,0,0,3475546112,1861455872,10549465088,12608913408,0,21,0,0,1589,1388,1483
3.133,1.253,95.238,0.376,0,0,0,0.400,1.940,3.460,17,6,7,11,0,7,1,0,0,3476545536,1861500928,10548420608,12608978944,0,15,0,0,5,93,342
2.261,1.633,95.603,0.503,0,0,28,0.400,1.940,3.460,17,6,7,11,0,7,1,0,376832,3458813952,1877778432,10549874688,12803923968,0,17,0,0,1461,2053,5353
2.261,1.508,96.106,0.126,0,0,2150,0.400,1.940,3.460,17,6,7,11,0,7,1,0,16293888,3461283840,1875865600,10549317632,12802019328,0,50,0,0,96,2405,2521
2.882,0.627,96.366,0.125,0,0,0,0.400,1.940,3.460,17,6,7,11,0,7,1,0,0,3460890624,1875939328,10549637120,12802134016,0,15,0,0,282,217,83
2.141,1.763,96.096,0,0,0,0,0.370,1.910,3.440,17,6,7,13,0,7,1,0,0,3460849664,1875722240,10549895168,12802052096,0,30,0,0,1296,1394,1385
