"Dstat 1.1.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dool/disk_tcp_unix_vm-adv_fs_vm_cpu_load_sys_proc_lock_mem.csv --disk --tcp --unix --vm-adv --fs --vm --cpu --load --sys --proc --lock --mem 1 600",,,,"Date:","23 Mar 2023 13:42:08 -03"
"dsk/total",,"tcp sockets",,,,,"unix sockets",,,,"advanced virtual memory",,,,,"filesystem",,"virtual memory",,,,"total cpu usage",,,,,"load avg",,,"system",,"procs",,,"file locks",,,,"memory usage",,,
0,8110080,7,22,0,6,3,56,975,55,920,0,0,0,0,0,14112,182399,0,2469,4533,14291,12.091,2.141,85.642,0.126,0,0.950,1.160,1.230,2854,8376,2,0,8,83,12,13,82,5332660224,2691649536,7950573568,11158089728
0,0,7,22,0,7,3,56,975,55,920,0,0,0,0,0,14080,182403,0,1637,3067,2915,10.401,3.509,86.090,0,0,0.950,1.160,1.230,2818,8300,2,0,8,83,12,13,82,5332230144,2691801088,7950852096,11159703552
0,540672,7,22,0,7,3,56,975,55,920,0,0,0,0,0,14048,182403,0,517,1123,1347,8.838,2.652,88.384,0.126,0,0.950,1.160,1.230,2587,5791,1,0,0,83,12,13,82,5332987904,2690842624,7951052800,11158749184
0,0,7,22,0,7,3,56,975,55,920,0,0,0,0,0,14048,182357,0,371,829,1369,7.905,3.639,88.331,0.125,0,0.880,1.140,1.220,2516,5786,2,0,0,83,12,13,82,5334765568,2689863680,7950254080,11156705280
0,0,7,22,0,7,3,56,975,55,920,0,0,0,0,0,14048,182384,0,5732,7319,2378,9.387,3.504,87.109,0,0,0.880,1.140,1.220,2679,6322,2,0,0,83,12,13,82,5353861120,2672414720,7948607488,11137437696
0,7921664,7,22,0,7,3,56,975,55,920,0,0,0,0,0,14048,182393,0,1352,2778,2533,9.057,3.970,86.849,0.124,0,0.880,1.140,1.220,2629,6911,2,0,7,83,12,13,82,5356359680,2669813760,7948709888,11134943232
0,0,7,22,0,7,3,56,975,55,920,0,0,0,0,0,14016,182390,0,5522,6786,3939,8.850,3.413,87.737,0,0,0.880,1.140,1.220,2757,7697,2,0,10,83,12,13,82,5362049024,2663448576,7949385728,11128205312
0,892928,7,22,0,7,3,56,975,55,920,0,0,0,0,0,14016,182412,0,1626,2826,14766,11.486,1.998,86.392,0.125,0,0.880,1.140,1.220,2714,7030,2,0,0,83,12,13,82,5306355712,2718011392,7950516224,11129593856
0,557056,7,22,0,7,3,56,975,55,920,0,0,0,0,0,14048,181306,0,939,1828,6056,9.248,3.822,86.683,0.247,0,0.810,1.120,1.220,2639,6330,1,0,0,83,12,13,82,5298651136,2730360832,7945875456,11133100032
0,0,7,22,0,6,3,56,975,55,920,0,0,0,0,0,14048,181305,0,519,842,906,9.542,3.594,86.865,0,0,0.810,1.120,1.220,2589,5864,2,0,1,83,12,13,82,5300076544,2728955904,7945854976,11131445248
0,4947968,7,22,0,6,3,56,975,55,920,0,0,0,0,0,14048,181306,0,1016,2173,1939,8.906,3.308,87.659,0.127,0,0.810,1.120,1.220,2635,5778,1,0,0,83,12,13,82,5293465600,2735034368,7946387456,11137523712
0,1720320,7,22,0,6,3,56,975,55,920,0,0,0,0,0,14016,181288,0,8799,10856,8527,8.886,4.631,86.358,0.125,0,0.810,1.120,1.220,2801,8569,2,0,16,83,12,13,82,5317603328,2713010176,7944273920,11112210432
0,0,7,22,0,7,3,56,975,55,920,0,0,0,0,0,14048,181288,0,294,828,1552,10.013,3.004,86.859,0.125,0,0.810,1.120,1.220,2711,6869,3,0,0,83,12,13,82,5317742592,2713395200,7943749632,11116347392
0,0,7,22,0,7,3,56,975,55,920,0,0,0,0,0,14048,181289,0,689,1160,1011,9.726,3.491,86.783,0,0,0.740,1.100,1.210,2485,5673,1,0,0,83,12,13,82,5318275072,2712776704,7943835648,11115679744
0,0,7,21,0,7,4,56,975,55,920,0,0,0,0,0,14080,181314,0,626,2004,14620,11.602,1.892,86.381,0.126,0,0.740,1.100,1.210,2609,6730,3,0,0,83,12,13,82,5258735616,2770145280,7946006528,11133247488
0,14221312,7,21,0,8,4,56,975,55,920,0,0,0,0,0,14112,181319,0,221,2848,2882,9.572,3.149,87.028,0.252,0,0.740,1.100,1.210,3754,10184,2,0,0,83,12,13,82,5258457088,2768576512,7947837440,11133247488
0,2449408,7,21,0,8,4,56,975,55,920,0,0,0,0,0,14048,181315,0,2999,4013,4643,8.809,4.342,86.725,0.124,0,0.740,1.100,1.210,2763,8235,1,0,16,83,12,13,82,5260034048,2768625664,7946211328,11133321216
0,0,7,21,0,8,4,56,975,55,920,0,0,0,0,0,14048,181288,0,1873,2498,3540,14.303,3.358,82.338,0,0,0.740,1.100,1.210,2936,6109,2,0,0,83,12,13,82,5262393344,2768482304,7943995392,11127840768
0,0,7,21,0,8,4,56,975,55,920,0,0,0,0,0,14048,181290,0,481,1268,1039,8.886,3.004,87.985,0.125,0,0.920,1.130,1.220,2551,5786,4,0,0,83,12,13,82,5261680640,2767929344,7945261056,11127300096
0,0,7,21,0,7,4,56,975,55,920,0,0,0,0,0,14048,182409,0,42692,65116,27105,10.741,5.309,83.951,0,0,0.920,1.130,1.220,3600,37895,3,0,8,83,12,13,82,5392666624,2630418432,7951785984,10988343296
0,0,7,21,0,7,4,56,975,55,920,0,0,0,0,0,14080,182361,0,741,1733,2847,11.634,3.094,85.149,0.124,0,0.920,1.130,1.220,2574,5946,2,0,0,83,12,13,82,5397012480,2628726784,7949131776,11010543616
0,11698176,7,21,0,7,4,56,975,55,920,0,0,0,0,0,14080,182422,1,4310,6767,7106,10.746,3.919,85.209,0.126,0,0.920,1.130,1.220,2889,9431,1,1,17,83,12,13,82,5391998976,2632708096,7950163968,11021066240
32768,0,7,21,0,8,4,56,975,55,920,0,0,0,0,0,14080,182380,0,491,1334,1385,10.272,3.342,86.262,0.124,0,0.920,1.130,1.220,2669,7109,3,0,0,83,12,13,82,5391659008,2631102464,7952109568,11020632064
0,0,7,21,0,8,4,56,975,55,920,0,0,0,0,0,14080,182380,0,693,1187,721,8.564,3.275,88.035,0.126,0,0.850,1.110,1.210,2460,5742,1,0,0,83,12,13,82,5392592896,2630168576,7952109568,11019698176
0,0,7,21,0,8,4,56,975,55,920,0,0,0,0,0,14080,182378,0,637,1113,1441,8.853,3.367,87.781,0,0,0.850,1.110,1.210,2564,5733,2,0,0,83,12,13,82,5394358272,2628993024,7951519744,11018219520
0,0,7,21,0,8,4,56,975,55,920,0,0,0,0,0,14048,182350,0,262,743,1277,9.559,4.167,86.152,0.123,0,0.850,1.110,1.210,2578,5861,1,0,0,83,12,13,82,5395906560,2629795840,7949168640,11016671232
0,6053888,7,21,0,8,4,56,975,55,920,0,0,0,0,0,14048,182360,0,8626,11192,10984,9.762,5.006,84.981,0.250,0,0.850,1.110,1.210,2801,8519,1,0,16,83,12,13,82,5392900096,2632134656,7949836288,11019485184
0,0,7,21,0,8,4,56,975,55,920,0,0,0,0,0,14048,182360,0,216,711,718,9.596,2.525,87.879,0,0,0.850,1.110,1.210,2483,5701,1,0,0,83,12,13,82,5393596416,2631323648,7949950976,11018874880
0,0,7,21,0,8,4,56,975,55,920,0,0,0,0,0,14080,182383,0,2671,3674,6980,10.999,2.528,86.346,0.126,0,0.780,1.100,1.210,2726,6868,2,0,0,83,12,13,82,5375336448,2648911872,7950622720,11060420608
0,0,7,21,0,7,4,56,975,55,920,0,0,0,0,0,14112,182388,0,454,1267,1288,9.453,2.239,88.184,0.124,0,0.780,1.100,1.210,2381,6116,9,0,0,83,12,13,82,5374947328,2647965696,7951958016,11059130368
0,409600,7,21,0,7,4,56,975,55,920,0,0,0,0,0,14080,182389,0,949,2016,1319,10.302,3.392,86.181,0.126,0,0.780,1.100,1.210,2590,6158,1,0,0,83,12,13,82,5377204224,2645184512,7952482304,11056357376
0,12181504,7,21,0,7,4,56,975,55,920,0,0,0,0,0,14112,182388,0,4418,6681,6782,8.853,3.616,87.406,0.125,0,0.780,1.100,1.210,2986,9783,3,0,16,83,12,13,82,5385134080,2637307904,7952429056,11048493056
0,0,7,21,0,7,4,56,975,55,920,0,0,0,0,0,14080,182359,0,843,1351,2358,9.091,2.689,88.092,0.128,0,0.780,1.100,1.210,2607,5796,2,0,0,83,12,13,82,5387501568,2637803520,7949561856,11046649856
0,0,7,21,0,8,4,56,975,55,920,0,0,0,0,0,14048,182361,0,1310,2400,1990,11.015,3.960,85.025,0,0,0.800,1.090,1.200,2716,6926,1,0,0,83,12,13,82,5384470528,2640769024,7949627392,11049615360
8192,0,7,21,0,8,4,56,975,55,920,0,0,0,0,0,14048,182372,1,6517,8046,6813,8.929,3.061,87.883,0.128,0,0.800,1.090,1.200,2480,6366,2,0,1,83,12,13,82,5387485184,2637086720,7950295040,11040980992
0,811008,7,21,0,8,4,56,975,55,920,0,0,0,0,0,14080,182394,0,1605,2794,11290,10.013,2.753,87.109,0.125,0,0.800,1.090,1.200,2564,6711,2,0,0,83,12,13,82,5352300544,2671362048,7951204352,11141349376
0,4235264,7,21,0,8,4,56,975,55,920,0,0,0,0,0,14048,182395,0,2868,4383,4882,9.512,4.506,85.857,0.125,0,0.800,1.090,1.200,2842,8938,2,0,16,83,12,13,82,5352423424,2670129152,7952314368,11141484544
0,0,7,21,0,8,4,56,975,55,920,0,0,0,0,0,14048,182397,0,242,1255,6061,9.618,3.329,86.930,0.123,0,0.800,1.090,1.200,2697,5809,5,0,0,83,12,13,82,5332197376,2689110016,7953559552,11139207168
0,0,7,23,0,8,3,56,975,55,920,0,0,0,0,0,14016,182399,0,938,1838,4688,9.422,3.769,86.809,0,0,0.730,1.080,1.200,2638,6863,2,0,1,83,12,13,82,5318279168,2702700544,7953887232,11139338240
0,0,7,23,0,8,3,56,975,55,920,0,0,0,0,0,14016,182369,0,309,1296,2220,9.494,3.576,86.806,0.123,0,0.730,1.080,1.200,2579,5821,0,0,0,83,12,13,82,5319249920,2705424384,7950192640,11139940352
0,0,7,23,0,7,2,56,975,55,920,0,0,0,0,0,14016,182370,0,255,753,681,8.132,3.050,88.691,0.127,0,0.730,1.080,1.200,2549,5772,2,1,0,83,12,13,82,5320429568,2704478208,7949959168,11138772992
0,5406720,7,23,0,7,2,56,975,55,920,0,0,0,0,0,14016,182383,0,8447,10876,7327,9.698,3.778,86.398,0.126,0,0.730,1.080,1.200,2964,8093,2,0,12,83,12,13,82,5336018944,2688745472,7950102528,11140964352
0,0,7,23,0,7,2,56,975,55,920,0,0,0,0,0,14016,182401,0,1685,2506,2015,10.845,1.639,87.516,0,0,0.730,1.080,1.200,2683,7132,2,0,4,83,12,13,82,5335683072,2688434176,7950749696,11140390912
0,0,7,23,0,7,2,56,975,55,920,0,0,0,0,0,14048,182406,0,268,1360,743,10.125,2.375,87.375,0.125,0,0.680,1.060,1.190,2688,6546,2,0,0,83,12,13,82,5333520384,2688233472,7953113088,11164942336
0,0,7,23,0,8,2,56,975,55,920,0,0,0,0,0,14048,182407,0,296,877,17772,9.875,3,87.125,0,0,0.680,1.060,1.190,2588,6547,2,0,0,83,12,13,82,5269880832,2752389120,7952596992,11161395200
0,0,7,23,0,8,2,56,975,55,920,0,0,0,0,0,14048,182407,0,200,688,676,9.512,3.254,86.984,0.250,0,0.680,1.060,1.190,2586,5767,2,0,0,83,12,13,82,5270179840,2752036864,7952650240,11161042944
0,8642560,7,23,0,8,2,56,975,55,920,0,0,0,0,0,14080,182407,0,1872,3401,3665,8.417,3.894,87.060,0.628,0,0.680,1.060,1.190,2785,7458,2,0,9,83,12,13,82,5273366528,2748297216,7953203200,11157336064
0,0,7,23,0,8,2,56,975,55,920,0,0,0,0,0,14048,181269,0,1526,2173,10169,8.376,3.299,88.325,0,0,0.680,1.060,1.190,2573,6883,2,0,8,83,12,13,82,5248397312,2780954624,7945510912,11175428096
0,0,7,23,0,7,2,56,975,55,920,0,0,0,0,0,14080,181268,0,691,1158,1160,9.852,3.448,86.576,0.123,0,0.860,1.090,1.200,2673,5964,1,0,0,83,12,13,82,5249568768,2780307456,7944986624,11174780928
0,2269184,7,23,0,8,2,56,975,55,920,0,0,0,0,0,14048,181303,0,7513,9917,10024,11.268,3.329,85.403,0,0,0.860,1.090,1.200,2732,7956,3,0,0,83,12,13,82,5237805056,2791632896,7945424896,11164860416
0,0,7,23,0,8,2,56,975,55,920,0,0,0,0,0,14048,181308,0,435,1382,709,9.850,2.618,87.406,0.125,0,0.860,1.090,1.200,2654,6452,4,0,0,83,12,13,82,5235720192,2790952960,7948189696,11166552064
0,13287424,7,23,0,8,2,56,975,55,920,0,0,0,0,0,14048,181306,0,2076,4290,4115,8.966,5.106,85.803,0.125,0,0.860,1.090,1.200,4294,12639,4,0,8,83,12,13,82,5240672256,2786508800,7947681792,11162128384
0,0,7,23,0,7,2,56,975,55,920,0,0,0,0,0,14080,181306,0,1515,2074,3064,8.060,3.778,88.161,0,0,0.860,1.090,1.200,2627,6963,1,0,8,83,12,13,82,5240983552,2786189312,7947689984,11173142528
0,0,7,23,0,7,2,56,975,55,920,0,0,0,0,0,14080,181306,0,394,1013,777,9.701,2.488,87.687,0.124,0,0.790,1.070,1.190,2414,5714,1,0,0,83,12,13,82,5241675776,2785038336,7948148736,11171991552
0,1368064,7,23,0,7,2,56,975,55,920,0,0,0,0,0,14112,181280,0,323,924,1472,8.323,3.405,88.146,0.126,0,0.790,1.070,1.190,2556,5705,2,0,0,83,12,13,82,5244018688,2784919552,7945924608,11169521664
0,0,7,23,0,8,2,56,975,55,920,0,0,0,0,0,14112,181235,0,411,1179,1231,9.352,4.115,86.409,0.125,0,0.790,1.070,1.190,2616,6646,2,0,0,83,12,13,82,5244526592,2785456128,7944880128,11168739328
0,9117696,7,23,0,8,2,56,975,55,920,0,0,0,0,0,14048,182371,0,44657,68715,33552,14.124,4.792,80.958,0.126,0,0.790,1.070,1.190,4586,37317,2,0,8,83,12,13,82,5351596032,2671730688,7951536128,11041275904
0,0,7,23,0,8,2,56,975,55,920,0,0,0,0,0,14016,182376,0,1589,2900,2778,10.025,2.632,87.343,0,0,0.790,1.070,1.190,2682,7613,5,0,8,83,12,13,82,5354762240,2666655744,7953444864,11039313920
0,0,7,23,0,8,2,56,975,55,920,0,0,0,0,0,14016,182377,0,924,965,1137,10.683,3.230,85.963,0.124,0,0.730,1.050,1.190,2554,5910,1,0,1,83,12,13,82,5355659264,2665693184,7953510400,11038351360
0,2834432,7,23,0,8,2,56,975,55,920,0,0,0,0,0,13984,182376,0,258,1121,1221,8.787,4.332,86.757,0.124,0,0.730,1.050,1.190,2597,5904,3,0,0,83,12,13,82,5356871680,2664747008,7953244160,11037405184
0,0,7,23,0,8,2,56,975,55,920,0,0,0,0,0,13984,182349,0,271,910,1384,8.728,3.491,87.656,0.125,0,0.730,1.050,1.190,2812,6271,3,0,0,83,12,13,82,5360447488,2663256064,7951159296,11033563136
0,368640,7,22,0,9,2,56,975,55,920,0,0,0,0,0,14048,182348,0,1916,2528,2124,9.217,3.409,87.247,0.126,0,0.730,1.050,1.190,2682,7015,2,0,8,83,12,13,82,5362384896,2661306368,7951171584,11031646208
0,5185536,7,22,0,8,2,56,975,55,920,0,0,0,0,0,14048,182347,0,1610,2716,3178,9.317,4.224,86.335,0.124,0,0.730,1.050,1.190,2631,7002,3,0,8,83,12,13,82,5364604928,2659606528,7950651392,11084599296
0,0,7,22,0,8,2,56,975,55,920,0,0,0,0,0,14080,182370,0,1716,2423,11977,11.222,2.993,85.786,0,0,0.830,1.070,1.190,2569,6482,2,0,0,83,12,13,82,5322194944,2701971456,7950696448,11088314368
0,0,7,22,0,8,2,56,975,55,920,0,0,0,0,0,14080,182431,0,6145,8501,5014,11.692,2.985,85.199,0.124,0,0.830,1.070,1.190,2874,7059,2,0,0,83,12,13,82,5328351232,2691788800,7954722816,11097403392
0,0,7,22,0,8,2,56,975,55,920,0,0,0,0,0,14080,182385,0,248,750,1034,8.783,3.262,87.955,0,0,0.830,1.070,1.190,2537,5824,3,0,0,83,12,13,82,5330223104,2690826240,7953813504,11095199744
0,696320,7,22,0,9,2,56,975,55,920,0,0,0,0,0,14112,182384,0,1659,2301,3608,10.013,3.630,85.982,0.375,0,0.830,1.070,1.190,2785,7897,2,0,8,83,12,13,82,5331914752,2689654784,7953293312,11095625728
1710080,11919360,7,22,0,9,2,56,975,55,920,0,0,0,0,0,14112,182356,0,1572,3821,9180,8.798,6.196,84.634,0.372,0,0.830,1.070,1.190,3351,12032,2,0,8,83,12,13,82,5320056832,2703847424,7950958592,11089948672
1714176,40960,7,22,0,9,2,56,975,55,920,0,0,0,0,0,14112,182357,0,952,1716,1291,9.738,4.994,84.769,0.499,0,0.920,1.090,1.200,3090,10209,2,0,0,83,12,13,82,5318615040,2704764928,7951482880,11090866176
1705984,851968,7,22,0,9,2,56,975,55,920,0,0,0,0,0,14112,182356,0,249,1037,1323,9.114,5.119,85.268,0.499,0,0.920,1.090,1.200,2785,8822,3,0,0,83,12,13,82,5319196672,2704166912,7951499264,11090292736
2056192,49152,7,22,0,9,2,56,975,55,920,0,0,0,0,0,14112,182382,0,1581,2425,4608,10.861,5.368,83.271,0.499,0,0.920,1.090,1.200,3373,11514,5,0,1,83,12,13,82,5313273856,2710548480,7951040512,11171495936
3758080,90112,7,22,0,10,2,56,975,55,920,0,0,0,0,0,14080,182394,0,8039,10740,6061,11.728,4.444,83.210,0.617,0,0.920,1.090,1.200,3514,16272,6,0,8,83,12,13,82,5326438400,2694701056,7953723392,11154116608
1368064,3276800,7,22,0,9,2,56,975,55,920,0,0,0,0,0,14080,182395,0,2012,3362,2767,10.670,5.831,83.251,0.248,0,0.920,1.090,1.200,3077,10999,2,0,8,83,12,13,82,5327298560,2693296128,7954268160,11152732160
1026048,24576,7,22,0,9,2,56,975,55,920,0,0,0,0,0,14080,182394,0,443,1432,1943,9.937,4.528,85.283,0.252,0,0.850,1.070,1.190,3167,10489,2,0,0,83,12,13,82,5327040512,2692579328,7955243008,11151437824
1710080,999424,7,22,0,9,2,56,975,55,920,0,0,0,0,0,14080,182365,0,378,1059,1770,9.193,4.596,85.714,0.497,0,0.850,1.070,1.190,2912,9409,4,0,0,83,12,13,82,5326020608,2695991296,7952850944,11152740352
