"Dstat 1.1.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --bytes --output dstat/data/csv/dool/proc.csv --time --proc 1 600",,,,"Date:","22 Mar 2023 21:22:03 -03"
"system","procs",,
Mar-22 21:22:50,0,0,0
Mar-22 21:22:51,1,0,0
Mar-22 21:22:52,0,0,8
Mar-22 21:22:53,0,0,8
Mar-22 21:22:54,0,0,1
Mar-22 21:22:55,0,0,0
Mar-22 21:22:56,0,0,0
Mar-22 21:22:57,0,0,8
Mar-22 21:22:58,2,0,8
Mar-22 21:22:59,0,0,0
Mar-22 21:23:00,0,0,0
Mar-22 21:23:01,1,0,0
Mar-22 21:23:02,0,0,18
Mar-22 21:23:03,0,0,8
Mar-22 21:23:04,0,0,0
Mar-22 21:23:05,0,0,0
Mar-22 21:23:06,0,0,1
Mar-22 21:23:07,1,0,8
Mar-22 21:23:08,0,0,8
Mar-22 21:23:09,0,0,0
Mar-22 21:23:10,0,0,0
Mar-22 21:23:11,0,0,0
Mar-22 21:23:12,0,0,8
Mar-22 21:23:13,1,0,4
Mar-22 21:23:14,0,0,4
Mar-22 21:23:15,0,0,0
Mar-22 21:23:16,0,0,0
Mar-22 21:23:17,0,0,8
Mar-22 21:23:18,0,0,0
Mar-22 21:23:19,1,0,9
Mar-22 21:23:20,0,0,0
Mar-22 21:23:21,0,0,0
Mar-22 21:23:22,0,0,8
Mar-22 21:23:23,0,0,0
Mar-22 21:23:24,0,0,8
Mar-22 21:23:25,0,0,0
Mar-22 21:23:26,0,0,0
Mar-22 21:23:27,0,0,8
Mar-22 21:23:28,0,0,0
Mar-22 21:23:29,0,0,8
Mar-22 21:23:30,0,0,0
Mar-22 21:23:31,0,0,1
Mar-22 21:23:32,0,0,8
Mar-22 21:23:33,0,0,0
Mar-22 21:23:34,0,0,8
Mar-22 21:23:35,0,0,0
Mar-22 21:23:36,0,0,0
Mar-22 21:23:37,0,0,8
Mar-22 21:23:38,0,0,0
Mar-22 21:23:39,0,0,8
Mar-22 21:23:40,0,0,0
Mar-22 21:23:41,0,0,0
Mar-22 21:23:42,0,0,8
Mar-22 21:23:43,0,0,1
Mar-22 21:23:44,0,0,8
Mar-22 21:23:45,0,0,0
Mar-22 21:23:46,0,0,0
Mar-22 21:23:47,0,0,8
Mar-22 21:23:48,0,0,0
Mar-22 21:23:49,1,0,8
Mar-22 21:23:50,0,0,0
Mar-22 21:23:51,0,0,0
Mar-22 21:23:52,0,0,8
Mar-22 21:23:53,0,0,0
Mar-22 21:23:54,0,0,8
Mar-22 21:23:55,1,0,1
Mar-22 21:23:56,0,0,0
Mar-22 21:23:57,0,0,8
Mar-22 21:23:58,0,0,0
Mar-22 21:23:59,0,0,8
Mar-22 21:24:00,0,0,0
Mar-22 21:24:01,0,0,0
Mar-22 21:24:02,2,0,16
Mar-22 21:24:03,0,0,0
Mar-22 21:24:04,0,0,8
Mar-22 21:24:05,0,0,0
Mar-22 21:24:06,0,0,0
Mar-22 21:24:07,0,0,8
Mar-22 21:24:08,0,0,1
Mar-22 21:24:09,0,0,8
Mar-22 21:24:10,0,0,0
Mar-22 21:24:11,0,0,0
Mar-22 21:24:12,1,0,8
Mar-22 21:24:13,1,0,0
Mar-22 21:24:14,0,0,8
Mar-22 21:24:15,0,0,0
Mar-22 21:24:16,0,0,0
Mar-22 21:24:17,0,0,8
Mar-22 21:24:18,0,0,0
Mar-22 21:24:19,1,0,8
Mar-22 21:24:20,0,0,1
Mar-22 21:24:21,1,0,0
Mar-22 21:24:22,1,0,7
Mar-22 21:24:23,1,0,1
Mar-22 21:24:24,0,0,8
Mar-22 21:24:25,3,0,0
Mar-22 21:24:26,0,0,0
Mar-22 21:24:27,0,0,0
Mar-22 21:24:28,0,0,8
Mar-22 21:24:29,0,0,8
Mar-22 21:24:30,0,0,0
Mar-22 21:24:31,0,0,0
Mar-22 21:24:32,0,0,1
Mar-22 21:24:33,0,0,8
Mar-22 21:24:34,1,0,8
Mar-22 21:24:35,0,0,0
Mar-22 21:24:36,0,0,0
Mar-22 21:24:37,0,0,0
Mar-22 21:24:38,0,0,8
Mar-22 21:24:39,0,0,8
Mar-22 21:24:40,0,0,0
Mar-22 21:24:41,0,0,0
Mar-22 21:24:42,0,0,0
Mar-22 21:24:43,1,0,8
Mar-22 21:24:44,1,0,9
Mar-22 21:24:45,0,0,0
Mar-22 21:24:46,0,0,0
Mar-22 21:24:47,0,0,0
Mar-22 21:24:48,0,0,8
Mar-22 21:24:49,1,0,4
Mar-22 21:24:50,0,0,4
Mar-22 21:24:51,0,0,0
Mar-22 21:24:52,0,0,0
Mar-22 21:24:53,0,0,8
Mar-22 21:24:54,0,0,0
Mar-22 21:24:55,0,0,8
Mar-22 21:24:56,0,0,0
Mar-22 21:24:57,1,0,1
Mar-22 21:24:58,0,0,8
Mar-22 21:24:59,0,0,0
Mar-22 21:25:00,0,0,8
Mar-22 21:25:01,0,0,0
Mar-22 21:25:02,0,0,11
Mar-22 21:25:03,0,0,8
Mar-22 21:25:04,0,0,0
Mar-22 21:25:05,0,0,8
Mar-22 21:25:06,0,0,0
Mar-22 21:25:07,0,0,0
Mar-22 21:25:08,0,0,8
Mar-22 21:25:09,1,0,1
Mar-22 21:25:10,0,0,8
Mar-22 21:25:11,0,0,0
Mar-22 21:25:12,0,0,0
Mar-22 21:25:13,1,0,8
Mar-22 21:25:14,0,0,0
Mar-22 21:25:15,1,0,8
Mar-22 21:25:16,0,0,0
Mar-22 21:25:17,1,0,0
Mar-22 21:25:18,1,0,8
Mar-22 21:25:19,0,0,0
Mar-22 21:25:20,0,0,8
Mar-22 21:25:21,0,0,1
Mar-22 21:25:22,0,0,0
Mar-22 21:25:23,0,0,8
Mar-22 21:25:24,0,0,0
Mar-22 21:25:25,0,0,8
Mar-22 21:25:26,0,0,0
Mar-22 21:25:27,0,0,0
Mar-22 21:25:28,0,0,8
Mar-22 21:25:29,1,0,0
Mar-22 21:25:30,0,0,8
Mar-22 21:25:31,1,0,0
Mar-22 21:25:32,0,0,0
Mar-22 21:25:33,1,0,9
Mar-22 21:25:34,1,0,0
Mar-22 21:25:35,0,0,8
Mar-22 21:25:36,0,0,0
Mar-22 21:25:37,1,0,0
Mar-22 21:25:38,0,0,8
Mar-22 21:25:39,1,0,0
Mar-22 21:25:40,0,0,8
Mar-22 21:25:41,0,0,0
Mar-22 21:25:42,1,0,0
Mar-22 21:25:43,1,0,8
Mar-22 21:25:44,0,0,0
Mar-22 21:25:45,0,0,8
Mar-22 21:25:46,1,0,1
Mar-22 21:25:47,0,0,0
Mar-22 21:25:48,0,0,8
Mar-22 21:25:49,1,0,0
Mar-22 21:25:50,0,0,8
Mar-22 21:25:51,0,0,0
Mar-22 21:25:52,1,0,0
Mar-22 21:25:53,0,0,8
Mar-22 21:25:54,0,0,0
Mar-22 21:25:55,2,0,37
Mar-22 21:25:56,1,0,0
Mar-22 21:25:57,1,0,0
Mar-22 21:25:58,1,0,5
Mar-22 21:25:59,0,0,4
Mar-22 21:26:00,0,0,8
Mar-22 21:26:01,1,0,0
Mar-22 21:26:02,1,0,8
Mar-22 21:26:03,1,0,0
Mar-22 21:26:04,1,0,8
Mar-22 21:26:05,0,0,8
Mar-22 21:26:06,1,0,0
Mar-22 21:26:07,1,0,0
Mar-22 21:26:08,1,0,0
Mar-22 21:26:09,0,0,8
Mar-22 21:26:10,3,0,9
Mar-22 21:26:11,1,0,0
Mar-22 21:26:12,1,0,0
Mar-22 21:26:13,0,0,0
Mar-22 21:26:14,1,0,8
Mar-22 21:26:15,1,0,8
Mar-22 21:26:16,1,0,0
Mar-22 21:26:17,0,0,0
Mar-22 21:26:18,1,0,0
Mar-22 21:26:19,0,0,8
Mar-22 21:26:20,1,0,7
Mar-22 21:26:21,0,0,1
Mar-22 21:26:22,0,0,1
Mar-22 21:26:23,1,0,0
Mar-22 21:26:24,1,0,8
Mar-22 21:26:25,1,0,1
Mar-22 21:26:26,1,0,8
Mar-22 21:26:27,0,0,0
Mar-22 21:26:28,2,0,0
Mar-22 21:26:29,1,0,8
Mar-22 21:26:30,1,0,0
Mar-22 21:26:31,2,0,8
Mar-22 21:26:32,1,0,0
Mar-22 21:26:33,0,0,0
Mar-22 21:26:34,1,0,8
Mar-22 21:26:35,0,0,1
Mar-22 21:26:36,3,0,8
Mar-22 21:26:37,1,0,0
Mar-22 21:26:38,2,0,0
Mar-22 21:26:39,0,0,8
Mar-22 21:26:40,2,0,0
Mar-22 21:26:41,1,0,8
Mar-22 21:26:42,1,0,0
Mar-22 21:26:43,0,0,0
Mar-22 21:26:44,2,0,8
Mar-22 21:26:45,2,0,0
Mar-22 21:26:46,2,0,8
Mar-22 21:26:47,1,0,1
Mar-22 21:26:48,1,0,0
Mar-22 21:26:49,2,0,8
Mar-22 21:26:50,3,0,0
Mar-22 21:26:51,1,0,8
Mar-22 21:26:52,0,0,0
Mar-22 21:26:53,0,0,0
Mar-22 21:26:54,3,0,8
Mar-22 21:26:55,1,0,0
Mar-22 21:26:56,1,0,8
Mar-22 21:26:57,0,0,0
Mar-22 21:26:58,0,0,0
Mar-22 21:26:59,1,0,9
Mar-22 21:27:00,0,0,0
Mar-22 21:27:01,1,0,16
Mar-22 21:27:02,1,0,0
Mar-22 21:27:03,1,0,0
Mar-22 21:27:04,1,0,8
Mar-22 21:27:05,1,0,0
Mar-22 21:27:06,1,0,8
Mar-22 21:27:07,0,0,0
Mar-22 21:27:08,0,0,0
Mar-22 21:27:09,2,0,8
Mar-22 21:27:10,1,0,0
Mar-22 21:27:11,2,0,9
Mar-22 21:27:12,1,0,0
Mar-22 21:27:13,1,0,0
Mar-22 21:27:14,2,0,8
Mar-22 21:27:15,1,0,0
Mar-22 21:27:16,1,0,8
Mar-22 21:27:17,0,0,0
Mar-22 21:27:18,5,0,22
Mar-22 21:27:19,0,0,36
Mar-22 21:27:20,0,0,0
Mar-22 21:27:21,1,0,8
Mar-22 21:27:22,1,0,0
Mar-22 21:27:23,1,0,0
Mar-22 21:27:24,0,0,10
Mar-22 21:27:25,0,0,0
Mar-22 21:27:26,1,0,8
Mar-22 21:27:27,0,0,0
Mar-22 21:27:28,0,0,0
Mar-22 21:27:29,0,0,8
Mar-22 21:27:30,1,0,0
Mar-22 21:27:31,0,0,8
Mar-22 21:27:32,1,0,0
Mar-22 21:27:33,1,0,0
Mar-22 21:27:34,2,0,4
Mar-22 21:27:35,1,0,4
Mar-22 21:27:36,1,0,9
Mar-22 21:27:37,1,0,0
Mar-22 21:27:38,1,0,0
Mar-22 21:27:39,3,0,0
Mar-22 21:27:40,0,0,8
Mar-22 21:27:41,2,0,8
Mar-22 21:27:42,1,0,0
Mar-22 21:27:43,0,0,0
Mar-22 21:27:44,1,0,0
Mar-22 21:27:45,1,0,8
Mar-22 21:27:46,1,0,8
Mar-22 21:27:47,2,0,0
Mar-22 21:27:48,0,0,1
Mar-22 21:27:49,0,0,0
Mar-22 21:27:50,1,0,8
Mar-22 21:27:51,0,0,8
Mar-22 21:27:52,0,0,0
Mar-22 21:27:53,0,0,0
Mar-22 21:27:54,0,0,0
Mar-22 21:27:55,0,0,9
Mar-22 21:27:56,2,0,4
Mar-22 21:27:57,0,0,4
Mar-22 21:27:58,0,0,0
Mar-22 21:27:59,0,0,5
Mar-22 21:28:00,2,0,9
Mar-22 21:28:01,1,0,14
Mar-22 21:28:02,0,0,10
Mar-22 21:28:03,0,0,0
Mar-22 21:28:04,0,0,0
Mar-22 21:28:05,0,0,8
Mar-22 21:28:06,0,0,0
Mar-22 21:28:07,0,0,8
Mar-22 21:28:08,1,0,0
Mar-22 21:28:09,0,0,0
Mar-22 21:28:10,1,0,8
Mar-22 21:28:11,0,0,0
Mar-22 21:28:12,0,0,8
Mar-22 21:28:13,0,0,1
Mar-22 21:28:14,0,0,0
Mar-22 21:28:15,1,0,8
Mar-22 21:28:16,1,0,0
Mar-22 21:28:17,0,0,8
Mar-22 21:28:18,0,0,0
Mar-22 21:28:19,0,0,0
Mar-22 21:28:20,0,0,8
Mar-22 21:28:21,0,0,0
Mar-22 21:28:22,0,0,8
Mar-22 21:28:23,0,0,0
Mar-22 21:28:24,0,0,0
Mar-22 21:28:25,0,0,9
Mar-22 21:28:26,0,0,0
Mar-22 21:28:27,0,0,8
Mar-22 21:28:28,0,0,0
Mar-22 21:28:29,0,0,0
Mar-22 21:28:30,0,0,8
Mar-22 21:28:31,0,0,0
Mar-22 21:28:32,0,0,8
Mar-22 21:28:33,0,0,0
Mar-22 21:28:34,0,0,0
Mar-22 21:28:35,0,0,8
Mar-22 21:28:36,0,0,0
Mar-22 21:28:37,1,0,9
Mar-22 21:28:38,0,0,0
Mar-22 21:28:39,0,0,0
Mar-22 21:28:40,2,0,9
Mar-22 21:28:41,1,0,0
Mar-22 21:28:42,0,0,8
Mar-22 21:28:43,0,0,0
Mar-22 21:28:44,0,0,0
Mar-22 21:28:45,0,0,8
Mar-22 21:28:46,0,0,0
Mar-22 21:28:47,0,0,8
Mar-22 21:28:48,0,0,0
Mar-22 21:28:49,0,0,1
Mar-22 21:28:50,0,0,8
Mar-22 21:28:51,0,0,0
Mar-22 21:28:52,0,0,8
Mar-22 21:28:53,0,0,0
Mar-22 21:28:54,0,0,0
Mar-22 21:28:55,0,0,8
Mar-22 21:28:56,0,0,0
Mar-22 21:28:57,0,0,8
Mar-22 21:28:58,0,0,0
Mar-22 21:28:59,0,0,0
Mar-22 21:29:00,0,0,8
Mar-22 21:29:01,0,0,8
Mar-22 21:29:02,0,0,9
Mar-22 21:29:03,0,0,0
Mar-22 21:29:04,0,0,0
Mar-22 21:29:05,0,0,8
Mar-22 21:29:06,0,0,0
Mar-22 21:29:07,0,0,8
Mar-22 21:29:08,0,0,0
Mar-22 21:29:09,0,0,0
Mar-22 21:29:10,2,0,4
Mar-22 21:29:11,0,0,4
Mar-22 21:29:12,0,0,8
Mar-22 21:29:13,0,0,0
Mar-22 21:29:14,0,0,1
Mar-22 21:29:15,0,0,0
Mar-22 21:29:16,0,0,8
Mar-22 21:29:17,0,0,8
Mar-22 21:29:18,0,0,0
Mar-22 21:29:19,1,0,0
Mar-22 21:29:20,0,0,0
Mar-22 21:29:21,0,0,8
Mar-22 21:29:22,0,0,8
Mar-22 21:29:23,0,0,0
Mar-22 21:29:24,1,0,0
Mar-22 21:29:25,0,0,0
Mar-22 21:29:26,0,0,9
Mar-22 21:29:27,1,0,8
Mar-22 21:29:28,0,0,0
Mar-22 21:29:29,0,0,0
Mar-22 21:29:30,0,0,0
Mar-22 21:29:31,0,0,8
Mar-22 21:29:32,0,0,8
Mar-22 21:29:33,0,0,0
Mar-22 21:29:34,1,0,0
Mar-22 21:29:35,1,0,0
Mar-22 21:29:36,0,0,8
Mar-22 21:29:37,2,0,4
Mar-22 21:29:38,0,0,5
Mar-22 21:29:39,0,0,0
Mar-22 21:29:40,0,0,0
Mar-22 21:29:41,0,0,8
Mar-22 21:29:42,0,0,0
Mar-22 21:29:43,0,0,8
Mar-22 21:29:44,1,0,0
Mar-22 21:29:45,0,0,0
Mar-22 21:29:46,0,0,8
Mar-22 21:29:47,1,0,0
Mar-22 21:29:48,0,0,8
Mar-22 21:29:49,1,0,0
Mar-22 21:29:50,0,0,0
Mar-22 21:29:51,2,0,9
Mar-22 21:29:52,0,0,0
Mar-22 21:29:53,0,0,8
Mar-22 21:29:54,0,0,0
Mar-22 21:29:55,0,0,0
Mar-22 21:29:56,0,0,8
Mar-22 21:29:57,0,0,0
Mar-22 21:29:58,0,0,8
Mar-22 21:29:59,0,0,0
Mar-22 21:30:00,1,0,0
Mar-22 21:30:01,0,0,18
Mar-22 21:30:02,1,0,0
Mar-22 21:30:03,0,0,9
Mar-22 21:30:04,0,0,0
Mar-22 21:30:05,0,0,0
Mar-22 21:30:06,0,0,8
Mar-22 21:30:07,1,0,0
Mar-22 21:30:08,0,0,8
Mar-22 21:30:09,1,0,0
Mar-22 21:30:10,1,0,0
Mar-22 21:30:11,0,0,8
Mar-22 21:30:12,0,0,0
Mar-22 21:30:13,0,0,8
Mar-22 21:30:14,0,0,0
Mar-22 21:30:15,0,0,1
Mar-22 21:30:16,0,0,8
Mar-22 21:30:17,0,0,0
Mar-22 21:30:18,0,0,8
Mar-22 21:30:19,0,0,0
Mar-22 21:30:20,0,0,0
Mar-22 21:30:21,0,0,8
Mar-22 21:30:22,0,0,0
Mar-22 21:30:23,0,0,8
Mar-22 21:30:24,0,0,0
Mar-22 21:30:25,1,0,0
Mar-22 21:30:26,0,0,8
Mar-22 21:30:27,0,0,1
Mar-22 21:30:28,1,0,8
Mar-22 21:30:29,0,0,0
Mar-22 21:30:30,1,0,0
Mar-22 21:30:31,0,0,8
Mar-22 21:30:32,1,0,0
Mar-22 21:30:33,0,0,8
Mar-22 21:30:34,0,0,0
Mar-22 21:30:35,0,0,0
Mar-22 21:30:36,0,0,8
Mar-22 21:30:37,0,0,0
Mar-22 21:30:38,0,0,8
Mar-22 21:30:39,0,0,0
Mar-22 21:30:40,0,0,3
Mar-22 21:30:41,0,0,8
Mar-22 21:30:42,4,0,0
Mar-22 21:30:43,0,0,8
Mar-22 21:30:44,0,0,0
Mar-22 21:30:45,0,0,0
Mar-22 21:30:46,0,0,8
Mar-22 21:30:47,0,0,0
Mar-22 21:30:48,1,0,8
Mar-22 21:30:49,0,0,0
Mar-22 21:30:50,0,0,0
Mar-22 21:30:51,1,0,7
Mar-22 21:30:52,0,0,2
Mar-22 21:30:53,1,0,8
Mar-22 21:30:54,0,0,0
Mar-22 21:30:55,3,0,29
Mar-22 21:30:56,1,0,4
Mar-22 21:30:57,0,0,8
Mar-22 21:30:58,0,0,8
Mar-22 21:30:59,0,0,0
Mar-22 21:31:00,0,0,0
Mar-22 21:31:01,0,0,8
Mar-22 21:31:02,0,0,8
Mar-22 21:31:03,2,0,8
Mar-22 21:31:04,0,0,1
Mar-22 21:31:05,0,0,0
Mar-22 21:31:06,0,0,0
Mar-22 21:31:07,0,0,8
Mar-22 21:31:08,0,0,8
Mar-22 21:31:09,0,0,0
Mar-22 21:31:10,0,0,0
Mar-22 21:31:11,0,0,0
Mar-22 21:31:12,0,0,8
Mar-22 21:31:13,2,0,4
Mar-22 21:31:14,0,0,4
Mar-22 21:31:15,0,0,0
Mar-22 21:31:16,0,0,1
Mar-22 21:31:17,2,0,8
Mar-22 21:31:18,0,0,0
Mar-22 21:31:19,0,0,8
Mar-22 21:31:20,0,0,0
Mar-22 21:31:21,0,0,0
Mar-22 21:31:22,0,0,8
Mar-22 21:31:23,1,0,0
Mar-22 21:31:24,0,0,8
Mar-22 21:31:25,0,0,0
Mar-22 21:31:26,1,0,0
Mar-22 21:31:27,0,0,8
Mar-22 21:31:28,0,0,0
Mar-22 21:31:29,0,0,9
Mar-22 21:31:30,0,0,0
Mar-22 21:31:31,1,0,0
Mar-22 21:31:32,0,0,8
Mar-22 21:31:33,0,0,0
Mar-22 21:31:34,0,0,8
Mar-22 21:31:35,0,0,0
Mar-22 21:31:36,0,0,0
Mar-22 21:31:37,0,0,8
Mar-22 21:31:38,0,0,0
Mar-22 21:31:39,0,0,8
Mar-22 21:31:40,0,0,0
Mar-22 21:31:41,0,0,1
Mar-22 21:31:42,0,0,8
Mar-22 21:31:43,0,0,0
Mar-22 21:31:44,0,0,8
Mar-22 21:31:45,0,0,0
Mar-22 21:31:46,0,0,0
Mar-22 21:31:47,0,0,8
Mar-22 21:31:48,0,0,0
Mar-22 21:31:49,1,0,8
Mar-22 21:31:50,0,1,0
Mar-22 21:31:51,1,0,0
Mar-22 21:31:52,1,0,8
Mar-22 21:31:53,1,0,1
Mar-22 21:31:54,2,0,8
Mar-22 21:31:55,1,1,0
Mar-22 21:31:56,1,0,0
Mar-22 21:31:57,0,1,8
Mar-22 21:31:58,1,0,0
Mar-22 21:31:59,1,0,8
Mar-22 21:32:00,1,0,0
Mar-22 21:32:01,2,1,8
Mar-22 21:32:02,0,1,8
