"Dstat 1.1.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --bytes --output dstat/data/csv/dool/vm.csv --time --vm 1 600",,,,"Date:","22 Mar 2023 21:22:03 -03"
"system","virtual memory",,,
Mar-22 21:23:22,0,1416,2458,2515
Mar-22 21:23:23,0,67,1290,1387
Mar-22 21:23:24,0,1341,2384,2406
Mar-22 21:23:25,0,494,1153,972
Mar-22 21:23:26,0,124,205,222
Mar-22 21:23:27,0,1534,1725,2232
Mar-22 21:23:28,0,40,359,367
Mar-22 21:23:29,0,1636,1550,1521
Mar-22 21:23:30,0,123,190,215
Mar-22 21:23:31,0,491,409,405
Mar-22 21:23:32,0,1364,1541,1509
Mar-22 21:23:33,0,518,421,216
Mar-22 21:23:34,0,1631,1768,1910
Mar-22 21:23:35,0,75,433,420
Mar-22 21:23:36,0,46,214,209
Mar-22 21:23:37,0,1632,1503,1626
Mar-22 21:23:38,0,166,285,6718
Mar-22 21:23:39,0,1318,1521,1501
Mar-22 21:23:40,0,217,589,462
Mar-22 21:23:41,0,584,1217,1003
Mar-22 21:23:42,0,1431,1495,1757
Mar-22 21:23:43,0,497,630,618
Mar-22 21:23:44,0,1354,1539,1516
Mar-22 21:23:45,0,67,237,434
Mar-22 21:23:46,0,429,443,607
Mar-22 21:23:47,0,1364,1546,1518
Mar-22 21:23:48,0,552,759,528
Mar-22 21:23:49,0,1334,1510,1481
Mar-22 21:23:50,0,436,254,275
Mar-22 21:23:51,0,52,337,325
Mar-22 21:23:52,0,1381,1543,1548
Mar-22 21:23:53,0,102,270,3361
Mar-22 21:23:54,0,1698,1501,1519
Mar-22 21:23:55,0,16846,34745,18731
Mar-22 21:23:56,0,35516,39911,2977
Mar-22 21:23:57,0,1369,3515,3520
Mar-22 21:23:58,0,4365,4657,859
Mar-22 21:23:59,0,1358,1532,1490
Mar-22 21:24:00,0,54,252,256
Mar-22 21:24:01,0,144,481,688
Mar-22 21:24:02,0,3189,2758,3615
Mar-22 21:24:03,0,385,585,538
Mar-22 21:24:04,0,1324,1654,1834
Mar-22 21:24:05,0,81,258,544
Mar-22 21:24:06,0,428,476,495
Mar-22 21:24:07,0,1388,1584,1563
Mar-22 21:24:08,0,532,447,435
Mar-22 21:24:09,0,1448,1650,1639
Mar-22 21:24:10,0,620,414,255
Mar-22 21:24:11,0,78,407,3702
Mar-22 21:24:12,0,1353,1519,1494
Mar-22 21:24:13,0,106,294,291
Mar-22 21:24:14,0,1743,1578,1711
Mar-22 21:24:15,0,88,250,246
Mar-22 21:24:16,0,205,387,457
Mar-22 21:24:17,0,1409,2276,2278
Mar-22 21:24:18,0,594,478,376
Mar-22 21:24:19,0,1394,1661,1684
Mar-22 21:24:20,0,591,461,405
Mar-22 21:24:21,0,98,273,284
Mar-22 21:24:22,0,841,556,507
Mar-22 21:24:23,0,1076,1705,50040
Mar-22 21:24:24,0,1365,1540,1588
Mar-22 21:24:25,0,88,269,25105
Mar-22 21:24:26,0,1379,1185,16497
Mar-22 21:24:27,0,87,260,257
Mar-22 21:24:28,0,1371,1537,1522
Mar-22 21:24:29,0,1379,1925,1888
Mar-22 21:24:30,0,1461,1376,482
Mar-22 21:24:31,0,78,243,238
Mar-22 21:24:32,0,415,435,445
Mar-22 21:24:33,0,1554,2269,2035
Mar-22 21:24:34,0,1728,1816,1839
Mar-22 21:24:35,0,113,467,448
Mar-22 21:24:36,0,112,375,545
Mar-22 21:24:37,0,192,373,400
Mar-22 21:24:38,0,2001,1800,1812
Mar-22 21:24:39,0,1347,1530,1545
Mar-22 21:24:40,0,79,382,360
Mar-22 21:24:41,0,51045,72858,20944
Mar-22 21:24:42,0,459,364,381
Mar-22 21:24:43,0,1480,3324,4599
Mar-22 21:24:44,0,1186,1007,733
Mar-22 21:24:45,0,748,1020,1218
Mar-22 21:24:46,0,465,545,574
Mar-22 21:24:47,0,104,280,358
Mar-22 21:24:48,0,1592,1942,1689
Mar-22 21:24:49,0,82,267,384
Mar-22 21:24:50,0,1726,1558,1579
Mar-22 21:24:51,0,293,603,620
Mar-22 21:24:52,0,80,248,248
Mar-22 21:24:53,0,1397,1578,1651
Mar-22 21:24:54,0,472,3551,3614
Mar-22 21:24:55,0,1367,1564,1557
Mar-22 21:24:56,0,306,528,560
Mar-22 21:24:57,0,407,443,452
Mar-22 21:24:58,0,1968,1786,1686
Mar-22 21:24:59,0,114,866,943
Mar-22 21:25:00,0,1356,1555,1552
Mar-22 21:25:01,0,201,317,301
Mar-22 21:25:02,0,2460,2005,2027
Mar-22 21:25:03,0,2397,2756,1989
Mar-22 21:25:04,0,49,222,218
Mar-22 21:25:05,0,1929,2302,2179
Mar-22 21:25:06,0,434,265,274
Mar-22 21:25:07,0,54,274,262
Mar-22 21:25:08,0,1376,1545,3180
Mar-22 21:25:09,0,493,1308,1334
Mar-22 21:25:10,0,1715,1722,1765
Mar-22 21:25:11,0,329,1216,904
Mar-22 21:25:12,0,224,400,407
Mar-22 21:25:13,0,5439,6141,5217
Mar-22 21:25:14,0,441,242,261
Mar-22 21:25:15,0,1327,1523,4893
Mar-22 21:25:16,0,50,321,283
Mar-22 21:25:17,0,74,370,352
Mar-22 21:25:18,0,1842,1671,1624
Mar-22 21:25:19,0,53,259,441
Mar-22 21:25:20,0,1339,1555,1702
Mar-22 21:25:21,0,525,375,367
Mar-22 21:25:22,0,432,527,548
Mar-22 21:25:23,0,1372,1719,1821
Mar-22 21:25:24,0,79,273,379
Mar-22 21:25:25,0,1318,1520,1518
Mar-22 21:25:26,0,51719,73278,69937
Mar-22 21:25:27,0,54,225,213
Mar-22 21:25:28,0,1369,1820,1785
Mar-22 21:25:29,0,85,395,365
Mar-22 21:25:30,0,1695,1507,1532
Mar-22 21:25:31,0,50,217,207
Mar-22 21:25:32,0,75,1302,1239
Mar-22 21:25:33,0,2072,2781,2935
Mar-22 21:25:34,0,467,474,490
Mar-22 21:25:35,0,1352,1607,1590
Mar-22 21:25:36,0,57,264,252
Mar-22 21:25:37,0,52,329,288
Mar-22 21:25:38,0,1717,1503,1510
Mar-22 21:25:39,0,48,223,216
Mar-22 21:25:40,0,1676,2030,2357
Mar-22 21:25:41,0,357,545,232
Mar-22 21:25:42,0,428,350,368
Mar-22 21:25:43,0,5916,6517,4475
Mar-22 21:25:44,0,77,258,2405
Mar-22 21:25:45,0,1324,1576,1567
Mar-22 21:25:46,0,748,412,454
Mar-22 21:25:47,0,269,445,213
Mar-22 21:25:48,0,1457,1771,2236
Mar-22 21:25:49,0,55,247,251
Mar-22 21:25:50,0,1715,1541,1681
Mar-22 21:25:51,0,66,526,682
Mar-22 21:25:52,0,67,246,20145
Mar-22 21:25:53,0,719,1020,766
Mar-22 21:25:54,0,1347,1818,5022
Mar-22 21:25:55,0,13894,13827,5227
Mar-22 21:25:56,0,1777,2452,941
Mar-22 21:25:57,0,116,313,364
Mar-22 21:25:58,0,1174,2717,2839
Mar-22 21:25:59,0,1383,1576,1543
Mar-22 21:26:00,0,1344,1839,32732
Mar-22 21:26:01,0,380,612,454
Mar-22 21:26:02,0,1729,1451,1568
Mar-22 21:26:03,0,142,253,248
Mar-22 21:26:04,0,1526,2311,7346
Mar-22 21:26:05,0,1596,1981,2018
Mar-22 21:26:06,0,86,387,604
Mar-22 21:26:07,0,398,345,661
Mar-22 21:26:08,0,288,471,245
Mar-22 21:26:09,0,1371,1559,1557
Mar-22 21:26:10,0,1835,1671,1699
Mar-22 21:26:11,0,51680,73166,30670
Mar-22 21:26:12,0,74,244,233
Mar-22 21:26:13,0,209,514,395
Mar-22 21:26:14,0,1379,1518,1563
Mar-22 21:26:15,0,2417,2555,47686
Mar-22 21:26:16,0,253,791,725
Mar-22 21:26:17,0,97,270,228
Mar-22 21:26:18,0,116,295,394
Mar-22 21:26:19,0,2198,2521,2150
Mar-22 21:26:20,0,106,303,483
Mar-22 21:26:21,0,1343,1578,1537
Mar-22 21:26:22,0,573,607,717
Mar-22 21:26:23,0,401,277,251
Mar-22 21:26:24,0,1357,1542,1565
Mar-22 21:26:25,0,111,2841,3585
Mar-22 21:26:26,0,1524,1752,1635
Mar-22 21:26:27,0,383,244,259
Mar-22 21:26:28,0,71,269,267
Mar-22 21:26:29,0,1601,2187,2147
Mar-22 21:26:30,0,82,303,289
Mar-22 21:26:31,0,1641,1532,1689
Mar-22 21:26:32,0,99,269,248
Mar-22 21:26:33,0,65,238,512
Mar-22 21:26:34,0,1492,1743,1634
Mar-22 21:26:35,0,942,461,473
Mar-22 21:26:36,0,1549,1744,4228
Mar-22 21:26:37,0,77,274,37735
Mar-22 21:26:38,0,97,417,406
Mar-22 21:26:39,0,1738,1555,1601
Mar-22 21:26:40,0,74,355,2428
Mar-22 21:26:41,0,1528,1736,1532
Mar-22 21:26:42,0,75,220,215
Mar-22 21:26:43,0,449,251,302
Mar-22 21:26:44,0,1569,1769,1521
Mar-22 21:26:45,0,46,504,493
Mar-22 21:26:46,0,1334,1503,1494
Mar-22 21:26:47,0,725,369,397
Mar-22 21:26:48,0,37,212,205
Mar-22 21:26:49,0,1793,2021,1958
Mar-22 21:26:50,0,43,212,208
Mar-22 21:26:51,0,2407,3059,2430
Mar-22 21:26:52,0,41,411,423
Mar-22 21:26:53,0,63,230,200
Mar-22 21:26:54,0,1333,1496,1489
Mar-22 21:26:55,0,411,217,276
Mar-22 21:26:56,0,42192,62562,27907
Mar-22 21:26:57,0,9059,10843,36365
Mar-22 21:26:58,0,4071,4823,2355
Mar-22 21:26:59,0,2219,2194,2229
Mar-22 21:27:00,0,38,224,217
Mar-22 21:27:01,0,2852,3045,3001
Mar-22 21:27:02,0,52,2551,2552
Mar-22 21:27:03,0,413,190,210
Mar-22 21:27:04,0,1358,1701,3258
Mar-22 21:27:05,0,169,389,1497
Mar-22 21:27:06,0,1314,1510,12740
Mar-22 21:27:07,0,406,234,247
Mar-22 21:27:08,0,59,498,599
Mar-22 21:27:09,0,1425,1723,9968
Mar-22 21:27:10,0,57,359,458
Mar-22 21:27:11,0,2289,1930,9232
Mar-22 21:27:12,0,42,201,199
Mar-22 21:27:13,0,50,297,329
Mar-22 21:27:14,0,1347,1550,1537
Mar-22 21:27:15,0,406,210,231
Mar-22 21:27:16,0,1306,1650,8620
Mar-22 21:27:17,0,73,271,447
Mar-22 21:27:18,0,3449,3250,592
Mar-22 21:27:19,0,18883,19128,21661
Mar-22 21:27:20,0,58,269,256
Mar-22 21:27:21,0,1329,1494,1475
Mar-22 21:27:22,0,47,236,231
Mar-22 21:27:23,0,464,356,343
Mar-22 21:27:24,0,1682,1750,5239
Mar-22 21:27:25,0,41,220,206
Mar-22 21:27:26,0,3252,3750,2010
Mar-22 21:27:27,0,406,214,239
Mar-22 21:27:28,0,40,205,315
Mar-22 21:27:29,0,1205,1512,1268
Mar-22 21:27:30,0,198,391,583
Mar-22 21:27:31,0,1680,1570,1580
Mar-22 21:27:32,0,62,382,32585
Mar-22 21:27:33,0,230,782,827
Mar-22 21:27:34,0,249,485,262
Mar-22 21:27:35,0,1794,1837,1773
Mar-22 21:27:36,0,1636,1631,1613
Mar-22 21:27:37,0,40,268,276
Mar-22 21:27:38,0,42,264,264
Mar-22 21:27:39,0,410,213,303
Mar-22 21:27:40,0,1488,1872,2029
Mar-22 21:27:41,0,1361,2393,2346
Mar-22 21:27:42,0,52233,74895,26984
Mar-22 21:27:43,0,445,1330,1432
Mar-22 21:27:44,0,67,1066,1034
Mar-22 21:27:45,0,1328,2393,2381
Mar-22 21:27:46,0,1318,2619,2616
Mar-22 21:27:47,0,454,1104,1105
Mar-22 21:27:48,0,493,3333,3326
Mar-22 21:27:49,0,350,1483,16545
Mar-22 21:27:50,0,1327,2333,2326
Mar-22 21:27:51,0,1026,1664,1467
Mar-22 21:27:52,0,693,1890,2100
Mar-22 21:27:53,0,62,1073,1044
Mar-22 21:27:54,0,163,1297,1161
Mar-22 21:27:55,0,1709,2342,2368
Mar-22 21:27:56,0,97,1141,1117
Mar-22 21:27:57,0,1584,2631,2590
Mar-22 21:27:58,0,39,1043,1034
Mar-22 21:27:59,0,2075,3595,3536
Mar-22 21:28:00,0,2851,2848,2655
Mar-22 21:28:01,0,7258,6624,12494
Mar-22 21:28:02,0,1545,1737,1760
Mar-22 21:28:03,0,1335,356,4695
Mar-22 21:28:04,0,1023,2092,1327
Mar-22 21:28:05,0,1397,1516,1510
Mar-22 21:28:06,0,49,538,25106
Mar-22 21:28:07,0,1735,1865,1996
Mar-22 21:28:08,0,275,486,1174
Mar-22 21:28:09,0,66,220,213
Mar-22 21:28:10,0,1446,1833,3880
Mar-22 21:28:11,0,448,285,395
Mar-22 21:28:12,0,2254,2589,1752
Mar-22 21:28:13,0,559,520,540
Mar-22 21:28:14,0,51,208,200
Mar-22 21:28:15,0,1895,1680,26972
Mar-22 21:28:16,0,46,301,278
Mar-22 21:28:17,0,1339,1515,1507
Mar-22 21:28:18,0,81,295,379
Mar-22 21:28:19,0,624,685,770
Mar-22 21:28:20,0,1358,1519,1496
Mar-22 21:28:21,0,49,200,211
Mar-22 21:28:22,0,1484,1713,1547
Mar-22 21:28:23,0,442,292,421
Mar-22 21:28:24,0,43,1117,1114
Mar-22 21:28:25,0,1786,1635,1625
Mar-22 21:28:26,0,50,208,217
Mar-22 21:28:27,0,53135,75191,26441
Mar-22 21:28:28,0,4789,5135,1258
Mar-22 21:28:29,0,215,802,1257
Mar-22 21:28:30,0,1332,1630,1689
Mar-22 21:28:31,0,125,232,254
Mar-22 21:28:32,0,1616,1517,1482
Mar-22 21:28:33,0,40,199,195
Mar-22 21:28:34,0,236,521,294
Mar-22 21:28:35,0,1434,1506,1503
Mar-22 21:28:36,0,1279,1468,696
Mar-22 21:28:37,0,1614,1631,1631
Mar-22 21:28:38,0,74,282,294
Mar-22 21:28:39,0,133,211,229
Mar-22 21:28:40,0,1614,1634,1614
Mar-22 21:28:41,0,63,238,205
Mar-22 21:28:42,0,1504,1835,1614
Mar-22 21:28:43,0,469,439,415
Mar-22 21:28:44,0,403,229,200
Mar-22 21:28:45,0,1323,1533,1535
Mar-22 21:28:46,0,36,213,1488
Mar-22 21:28:47,0,1410,1498,1482
Mar-22 21:28:48,0,330,354,12888
Mar-22 21:28:49,0,495,547,2425
Mar-22 21:28:50,0,1498,1743,1696
Mar-22 21:28:51,0,127,252,273
Mar-22 21:28:52,0,1598,1491,1495
Mar-22 21:28:53,0,76,259,256
Mar-22 21:28:54,0,38,246,345
Mar-22 21:28:55,0,1413,1834,4621
Mar-22 21:28:56,0,352,429,395
Mar-22 21:28:57,0,1549,1776,1868
Mar-22 21:28:58,0,38,193,185
Mar-22 21:28:59,0,150,239,234
Mar-22 21:29:00,0,1626,3527,3642
Mar-22 21:29:01,0,1597,1642,1598
Mar-22 21:29:02,0,1868,1890,1897
Mar-22 21:29:03,0,123,202,225
Mar-22 21:29:04,0,383,294,227
Mar-22 21:29:05,0,1349,1555,1519
Mar-22 21:29:06,0,35,210,206
Mar-22 21:29:07,0,1396,1696,1693
Mar-22 21:29:08,0,358,258,234
Mar-22 21:29:09,0,34,292,271
Mar-22 21:29:10,0,130,379,411
Mar-22 21:29:11,0,1941,2201,1819
Mar-22 21:29:12,0,52848,74662,22370
Mar-22 21:29:13,0,198,445,286
Mar-22 21:29:14,0,353,416,357
Mar-22 21:29:15,0,121,385,402
Mar-22 21:29:16,0,1619,1495,1470
Mar-22 21:29:17,0,1330,1516,1486
Mar-22 21:29:18,0,167,789,14006
Mar-22 21:29:19,0,122,244,252
Mar-22 21:29:20,0,522,426,13275
Mar-22 21:29:21,0,1341,3855,4465
Mar-22 21:29:22,0,1304,1487,1472
Mar-22 21:29:23,0,149,418,446
Mar-22 21:29:24,0,363,279,2938
Mar-22 21:29:25,0,62,240,200
Mar-22 21:29:26,0,1793,1628,1622
Mar-22 21:29:27,0,1642,1898,1772
Mar-22 21:29:28,0,330,390,42852
Mar-22 21:29:29,0,70,293,266
Mar-22 21:29:30,0,37,209,219
Mar-22 21:29:31,0,1407,1502,1509
Mar-22 21:29:32,0,1136,953,6627
Mar-22 21:29:33,0,731,1173,1337
Mar-22 21:29:34,0,38,201,194
Mar-22 21:29:35,0,370,567,414
Mar-22 21:29:36,0,1644,1531,1533
Mar-22 21:29:37,0,38,223,226
Mar-22 21:29:38,0,1626,1679,1879
Mar-22 21:29:39,0,345,657,680
Mar-22 21:29:40,0,362,539,38033
Mar-22 21:29:41,0,1331,1919,3227
Mar-22 21:29:42,0,219,391,194
Mar-22 21:29:43,0,1391,1503,1534
Mar-22 21:29:44,0,337,204,199
Mar-22 21:29:45,0,63,356,327
Mar-22 21:29:46,0,2251,2860,2014
Mar-22 21:29:47,0,122,216,235
Mar-22 21:29:48,0,1628,1516,1492
Mar-22 21:29:49,0,4289,5482,1807
Mar-22 21:29:50,0,17588,31590,34846
Mar-22 21:29:51,0,1912,1773,1742
Mar-22 21:29:52,0,325,208,576
Mar-22 21:29:53,0,1360,1585,19437
Mar-22 21:29:54,0,61,223,197
Mar-22 21:29:55,0,126,222,230
Mar-22 21:29:56,0,1625,1505,1508
Mar-22 21:29:57,0,51415,71801,21196
Mar-22 21:29:58,0,5186,7892,2636
Mar-22 21:29:59,0,137,219,252
Mar-22 21:30:00,0,538,436,221
Mar-22 21:30:01,0,3327,3142,3110
Mar-22 21:30:02,0,39,584,609
Mar-22 21:30:03,0,1702,1623,1643
Mar-22 21:30:04,0,332,201,191
Mar-22 21:30:05,0,1143,1485,794
Mar-22 21:30:06,0,1362,1527,2293
Mar-22 21:30:07,0,317,468,649
Mar-22 21:30:08,0,1603,1549,1556
Mar-22 21:30:09,0,63,1138,1117
Mar-22 21:30:10,0,53,388,457
Mar-22 21:30:11,0,1407,1632,1696
Mar-22 21:30:12,0,586,570,309
Mar-22 21:30:13,0,1343,1529,1649
Mar-22 21:30:14,0,271,448,535
Mar-22 21:30:15,0,440,362,381
Mar-22 21:30:16,0,1628,1512,1500
Mar-22 21:30:17,0,44,1111,1095
Mar-22 21:30:18,0,1342,1588,1563
Mar-22 21:30:19,0,126,239,317
Mar-22 21:30:20,0,489,384,216
Mar-22 21:30:21,0,2431,2779,2353
Mar-22 21:30:22,0,46,448,445
Mar-22 21:30:23,0,1326,1644,1659
Mar-22 21:30:24,0,427,216,195
Mar-22 21:30:25,0,44,235,2620
Mar-22 21:30:26,0,1335,1510,17599
Mar-22 21:30:27,0,972,1121,813
Mar-22 21:30:28,0,1878,1837,1619
Mar-22 21:30:29,0,43,300,302
Mar-22 21:30:30,0,78,235,217
Mar-22 21:30:31,0,1356,1506,1528
Mar-22 21:30:32,0,402,202,199
Mar-22 21:30:33,0,1340,3224,3185
Mar-22 21:30:34,0,47,336,333
Mar-22 21:30:35,0,243,416,442
Mar-22 21:30:36,0,1731,1512,1516
Mar-22 21:30:37,0,44,237,277
Mar-22 21:30:38,0,1314,1742,1771
Mar-22 21:30:39,0,61,235,251
Mar-22 21:30:40,0,1446,816,806
Mar-22 21:30:41,0,1331,1538,1734
Mar-22 21:30:42,0,1673,2848,1999
Mar-22 21:30:43,0,50901,72355,21857
Mar-22 21:30:44,0,410,240,219
Mar-22 21:30:45,0,67,231,212
Mar-22 21:30:46,0,1175,1339,1215
Mar-22 21:30:47,0,216,499,712
Mar-22 21:30:48,0,1406,1935,1927
Mar-22 21:30:49,0,578,491,860
Mar-22 21:30:50,0,183,364,345
Mar-22 21:30:51,0,59,419,1120
Mar-22 21:30:52,0,1717,1631,1653
Mar-22 21:30:53,0,1604,1658,1720
Mar-22 21:30:54,0,67,266,234
Mar-22 21:30:55,0,14396,12421,3856
Mar-22 21:30:56,0,20674,21679,17336
Mar-22 21:30:57,0,2171,2251,2067
Mar-22 21:30:58,0,1863,2951,2073
Mar-22 21:30:59,0,338,1822,2522
Mar-22 21:31:00,0,130,261,229
Mar-22 21:31:01,0,1752,1464,1475
Mar-22 21:31:02,0,1328,1562,1540
Mar-22 21:31:03,0,1484,1751,1714
Mar-22 21:31:04,0,564,478,482
Mar-22 21:31:05,0,698,812,721
Mar-22 21:31:06,0,60,247,332
Mar-22 21:31:07,0,1346,1517,1525
Mar-22 21:31:08,0,695,742,752
Mar-22 21:31:09,0,933,1035,1423
Mar-22 21:31:10,0,250,412,224
Mar-22 21:31:11,0,268,471,11577
Mar-22 21:31:12,0,1436,1583,24069
Mar-22 21:31:13,0,415,2230,2041
Mar-22 21:31:14,0,1343,1609,5539
Mar-22 21:31:15,0,56,208,235
Mar-22 21:31:16,0,440,735,11062
Mar-22 21:31:17,0,1655,1646,17910
Mar-22 21:31:18,0,68,238,223
Mar-22 21:31:19,0,1719,2571,2578
Mar-22 21:31:20,0,301,417,283
Mar-22 21:31:21,0,301,328,338
Mar-22 21:31:22,0,1331,1491,1500
Mar-22 21:31:23,0,59,355,358
Mar-22 21:31:24,0,1410,1586,1553
Mar-22 21:31:25,0,257,348,343
Mar-22 21:31:26,0,95,322,1088
Mar-22 21:31:27,0,1341,1514,1560
Mar-22 21:31:28,0,55266,77973,72658
Mar-22 21:31:29,0,1831,2225,2427
Mar-22 21:31:30,0,77,234,208
Mar-22 21:31:31,0,1013,1338,38666
Mar-22 21:31:32,0,1403,1495,1738
Mar-22 21:31:33,0,338,274,221
Mar-22 21:31:34,0,1314,3890,3879
Mar-22 21:31:35,0,65,424,21229
Mar-22 21:31:36,0,173,308,685
Mar-22 21:31:37,0,1610,1494,1488
Mar-22 21:31:38,0,238,435,851
Mar-22 21:31:39,0,1337,1746,1756
Mar-22 21:31:40,0,123,262,227
Mar-22 21:31:41,0,786,490,480
Mar-22 21:31:42,0,1363,1694,11100
Mar-22 21:31:43,0,596,1169,23202
Mar-22 21:31:44,0,1393,1490,1497
Mar-22 21:31:45,0,548,467,670
Mar-22 21:31:46,0,48,238,271
Mar-22 21:31:47,0,1346,1573,1595
Mar-22 21:31:48,0,139,300,254
Mar-22 21:31:49,0,1598,1732,1732
Mar-22 21:31:50,0,490,1015,914
Mar-22 21:31:51,0,86,580,595
Mar-22 21:31:52,0,1618,2096,1885
Mar-22 21:31:53,0,660,740,712
Mar-22 21:31:54,0,1363,1889,1877
Mar-22 21:31:55,0,78,555,570
Mar-22 21:31:56,0,173,959,2606
Mar-22 21:31:57,0,1646,1871,1908
Mar-22 21:31:58,0,85,602,563
Mar-22 21:31:59,0,1555,2060,2210
Mar-22 21:32:00,0,181,655,826
Mar-22 21:32:01,0,1857,1997,1963
Mar-22 21:32:02,0,1407,1931,18170
