"Dstat 1.1.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dool/io_unix_aio_time_fs_vm-adv_tcp_zones_mem_raw_swap.csv --io --unix --aio --time --fs --vm-adv --tcp --zones --mem --raw --swap 1 600",,,,"Date:","23 Mar 2023 13:42:08 -03"
"io/total",,"unix sockets",,,,"async","system","filesystem",,"advanced virtual memory",,,,,"tcp sockets",,,,,"zones memory",,,,"memory usage",,,,"raw","swap",
0,64,56,975,55,920,0,Mar-23 13:42:28,14048,182351,0,0,0,0,0,7,22,0,7,3,159503,3141,485784,22688,5370527744,2656727040,7947620352,11021910016,0,108527616,914878464
0,0,56,975,55,920,0,Mar-23 13:42:29,14080,182381,0,0,0,0,0,7,22,0,6,3,159503,3141,485072,22688,5370650624,2653810688,7950413824,11031207936,0,108527616,914878464
0,30,56,975,55,920,0,Mar-23 13:42:30,14048,182381,0,0,0,0,0,7,22,0,6,3,159503,3141,484918,22688,5370986496,2653179904,7950708736,11030867968,0,108527616,914878464
0,52,56,975,55,920,0,Mar-23 13:42:31,14048,182381,0,0,0,0,0,7,22,0,6,3,159503,3141,484972,22688,5371314176,2653401088,7950159872,11031171072,0,108527616,914878464
0,28,56,975,55,920,0,Mar-23 13:42:32,14080,182391,0,0,0,0,0,7,22,0,6,3,159503,3141,482386,22688,5381779456,2642808832,7950286848,11021205504,0,108527616,914878464
0,214,56,975,55,920,0,Mar-23 13:42:33,14016,182393,0,0,0,0,0,7,22,0,7,3,159503,3141,482117,22688,5382295552,2641707008,7950872576,11020148736,0,108527616,914878464
0,0,56,975,55,920,0,Mar-23 13:42:34,14048,182365,0,0,0,0,0,7,22,0,7,3,159503,3141,487608,22688,5362139136,2664198144,7948537856,11022733312,0,108527616,914878464
0,36,56,975,55,920,0,Mar-23 13:42:35,14016,182364,0,0,0,0,0,7,22,0,7,3,159503,3141,487485,22688,5363400704,2663694336,7947780096,11022090240,0,108527616,914878464
0,0,56,975,55,920,0,Mar-23 13:42:36,14048,182387,0,0,0,0,0,7,22,0,7,3,159503,3141,487618,22688,5361487872,2664239104,7949148160,11067236352,0,108527616,914878464
0,0,56,975,55,920,0,Mar-23 13:42:37,14016,182393,0,0,0,0,0,7,22,0,7,3,159503,3141,486943,22688,5362434048,2661474304,7950966784,11065606144,0,108527616,914878464
0,468,56,975,55,920,0,Mar-23 13:42:38,14048,182393,0,0,0,0,0,7,22,0,7,3,159503,3141,486286,22688,5365125120,2658783232,7950966784,11062939648,0,108527616,914878464
0,0,56,975,55,920,0,Mar-23 13:42:39,14048,182376,0,0,0,0,0,7,22,0,6,3,159503,3141,485134,22688,5372219392,2654064640,7948591104,11101319168,0,108527616,914878464
0,38,56,975,55,920,0,Mar-23 13:42:40,14048,182376,0,0,0,0,0,7,22,0,6,3,159767,3141,484739,22688,5372874752,2653528064,7948480512,11100540928,0,108527616,914878464
0,0,56,975,55,920,0,Mar-23 13:42:41,14048,182376,0,0,0,0,0,7,22,0,6,3,159767,3141,484592,22688,5372948480,2652925952,7949008896,11099860992,0,108527616,914878464
0,0,56,975,55,920,0,Mar-23 13:42:42,14048,182377,0,0,0,0,0,7,22,0,6,3,159767,3141,484360,22688,5373165568,2651975680,7949742080,11098906624,0,108527616,914878464
0,64,56,975,55,920,0,Mar-23 13:42:43,14112,182399,0,0,0,0,0,7,22,0,6,3,159767,3141,494164,22688,5332176896,2692132864,7950573568,11158573056,0,108527616,914878464
0,0,56,975,55,920,0,Mar-23 13:42:44,14080,182403,0,0,0,0,0,7,22,0,7,3,159767,3141,494017,22688,5332504576,2691530752,7950848000,11159433216,0,108527616,914878464
0,44,56,975,55,920,0,Mar-23 13:42:45,14048,182403,0,0,0,0,0,7,22,0,7,3,159767,3141,493849,22688,5332987904,2690842624,7951052800,11158749184,0,108527616,914878464
0,0,56,975,55,920,0,Mar-23 13:42:46,14048,182357,0,0,0,0,0,7,22,0,7,3,159767,3141,493670,22688,5334519808,2690109440,7950254080,11156951040,0,108527616,914878464
0,0,56,975,55,920,0,Mar-23 13:42:47,14048,182384,0,0,0,0,0,7,22,0,7,3,159767,3141,489350,22688,5353861120,2672414720,7948607488,11137437696,0,108527616,914878464
0,82,56,975,55,920,0,Mar-23 13:42:48,14048,182393,0,0,0,0,0,7,22,0,7,3,159767,3141,488715,22688,5356359680,2669813760,7948709888,11134943232,0,108527616,914878464
0,0,56,975,55,920,0,Mar-23 13:42:49,14016,182390,0,0,0,0,0,7,22,0,7,3,159767,3141,487161,22688,5362049024,2663448576,7949385728,11128205312,0,108527616,914878464
0,32,56,975,55,920,0,Mar-23 13:42:50,14016,182412,0,0,0,0,0,7,22,0,7,3,159767,3141,500459,22688,5306519552,2717917184,7950446592,11129425920,0,108527616,914878464
0,80,56,975,55,920,0,Mar-23 13:42:51,14048,181306,0,0,0,0,0,7,22,0,7,3,159767,3141,503508,22688,5298651136,2730360832,7945875456,11133100032,0,108527616,914878464
0,0,56,975,55,920,0,Mar-23 13:42:52,14048,181305,0,0,0,0,0,7,22,0,6,3,159767,3141,503154,22688,5300076544,2728955904,7945854976,11131445248,0,108527616,914878464
0,48,56,975,55,920,0,Mar-23 13:42:53,14048,181306,0,0,0,0,0,7,22,0,6,3,159767,3141,502803,22688,5300989952,2727518208,7946379264,11130007552,0,108527616,914878464
0,38,56,975,55,920,0,Mar-23 13:42:54,14016,181288,0,0,0,0,0,7,22,0,6,3,159767,3141,499261,22688,5317603328,2713010176,7944273920,11112210432,0,108527616,914878464
0,0,56,975,55,920,0,Mar-23 13:42:55,14048,181288,0,0,0,0,0,7,22,0,7,3,159767,3141,499355,22688,5317742592,2713395200,7943749632,11116347392,0,108527616,914878464
0,0,56,975,55,920,0,Mar-23 13:42:56,14048,181289,0,0,0,0,0,7,22,0,7,3,159767,3141,499260,22688,5318111232,2713006080,7943770112,11115905024,0,108527616,914878464
0,0,56,975,55,920,0,Mar-23 13:42:57,14080,181314,0,0,0,0,0,7,21,0,7,4,159767,3141,513210,22688,5258735616,2770145280,7946006528,11133247488,0,108527616,914878464
0,1564,56,975,55,920,0,Mar-23 13:42:58,14112,181319,0,0,0,0,0,7,21,0,8,4,159767,3141,512827,22688,5258457088,2768576512,7947837440,11133247488,0,108527616,914878464
0,30,56,975,55,920,0,Mar-23 13:42:59,14048,181315,0,0,0,0,0,7,21,0,8,4,159767,3141,512895,22688,5259804672,2768855040,7946211328,11133550592,0,108527616,914878464
0,0,56,975,55,920,0,Mar-23 13:43:00,14048,181288,0,0,0,0,0,7,21,0,8,4,159767,3141,512804,22688,5262168064,2768482304,7944220672,11128061952,0,108527616,914878464
0,0,56,975,55,920,0,Mar-23 13:43:01,14048,181290,0,0,0,0,0,7,21,0,8,4,159767,3141,512672,22688,5261668352,2767941632,7945261056,11127312384,0,108527616,914878464
0,0,56,975,55,920,0,Mar-23 13:43:02,14048,182409,0,0,0,0,0,7,21,0,7,4,159767,3141,479097,22688,5392666624,2630418432,7951785984,10988343296,0,108527616,914878464
0,0,56,975,55,920,0,Mar-23 13:43:03,14080,182361,0,0,0,0,0,7,21,0,7,4,159767,3141,478684,22688,5397012480,2628726784,7949131776,11010543616,0,108527616,914878464
0,260,56,975,55,920,0,Mar-23 13:43:04,14080,182372,0,0,0,0,0,7,21,0,7,4,159767,3141,479719,22688,5391761408,2632966144,7950143488,11021303808,0,108527616,914878464
2,0,56,975,55,920,0,Mar-23 13:43:05,14080,182380,0,0,0,0,0,7,21,0,8,4,159767,3141,479264,22688,5391659008,2631102464,7952109568,11020632064,0,108527616,914878464
0,0,56,975,55,920,0,Mar-23 13:43:06,14080,182380,0,0,0,0,0,7,21,0,8,4,159767,3141,479036,22688,5392592896,2630168576,7952109568,11019698176,0,108527616,914878464
0,0,56,975,55,920,0,Mar-23 13:43:07,14080,182378,0,0,0,0,0,7,21,0,8,4,159767,3141,478749,22688,5394358272,2628993024,7951519744,11018219520,0,108527616,914878464
0,0,56,975,55,920,0,Mar-23 13:43:08,14048,182350,0,0,0,0,0,7,21,0,8,4,159767,3141,478945,22688,5395906560,2629795840,7949168640,11016671232,0,108527616,914878464
0,122,56,975,55,920,0,Mar-23 13:43:09,14048,182360,0,0,0,0,0,7,21,0,8,4,159767,3141,479516,22688,5392900096,2632134656,7949836288,11019485184,0,108527616,914878464
0,0,56,975,55,920,0,Mar-23 13:43:10,14048,182360,0,0,0,0,0,7,21,0,8,4,159767,3141,479318,22688,5393596416,2631323648,7949950976,11018866688,0,108527616,914878464
0,0,56,975,55,920,0,Mar-23 13:43:11,14080,182383,0,0,0,0,0,7,21,0,8,4,159767,3141,483482,22688,5375868928,2648379392,7950622720,11059888128,0,108527616,914878464
0,0,56,975,55,920,0,Mar-23 13:43:12,14112,182388,0,0,0,0,0,7,21,0,7,4,159767,3141,483381,22688,5374947328,2647965696,7951958016,11059130368,0,108527616,914878464
0,26,56,975,55,920,0,Mar-23 13:43:13,14080,182389,0,0,0,0,0,7,21,0,7,4,159767,3141,482828,22688,5374824448,2645700608,7954345984,11056873472,0,108527616,914878464
0,478,56,975,55,920,0,Mar-23 13:43:14,14112,182388,0,0,0,0,0,7,21,0,7,4,159767,3141,480779,22688,5385134080,2637307904,7952429056,11048493056,0,108527616,914878464
0,0,56,975,55,920,0,Mar-23 13:43:15,14080,182359,0,0,0,0,0,7,21,0,7,4,159767,3141,480900,22688,5387501568,2637803520,7949561856,11046649856,0,108527616,914878464
0,0,56,975,55,920,0,Mar-23 13:43:16,14048,182361,0,0,0,0,0,7,21,0,8,4,159767,3141,481624,22688,5384470528,2640769024,7949627392,11049615360,0,108527616,914878464
2,0,56,975,55,920,0,Mar-23 13:43:17,14048,182372,0,0,0,0,0,7,21,0,8,4,159767,3141,480841,22688,5387010048,2637561856,7950295040,11041456128,0,108527616,914878464
0,14,56,975,55,920,0,Mar-23 13:43:18,14080,182394,0,0,0,0,0,7,21,0,8,4,159767,3141,489093,22688,5352300544,2671362048,7951204352,11141341184,0,108527616,914878464
0,190,56,975,55,920,0,Mar-23 13:43:19,14048,182395,0,0,0,0,0,7,21,0,8,4,159767,3141,488829,22688,5352271872,2670280704,7952314368,11141636096,0,108527616,914878464
0,0,56,975,55,920,0,Mar-23 13:43:20,14048,182397,0,0,0,0,0,7,21,0,8,4,159767,3141,493426,22688,5332197376,2689110016,7953559552,11139207168,0,108527616,914878464
0,0,56,975,55,920,0,Mar-23 13:43:21,14016,182399,0,0,0,0,0,7,23,0,8,3,159767,3141,496744,22688,5318279168,2702700544,7953887232,11139338240,0,108527616,914878464
0,0,56,975,55,920,0,Mar-23 13:43:22,14016,182369,0,0,0,0,0,7,23,0,7,3,159767,3141,497409,22688,5319249920,2705424384,7950192640,11139940352,0,108527616,914878464
0,0,56,975,55,920,0,Mar-23 13:43:23,14016,182370,0,0,0,0,0,7,23,0,7,2,159767,3141,497178,22688,5320417280,2704478208,7949971456,11138772992,0,108527616,914878464
0,100,56,975,55,920,0,Mar-23 13:43:24,14016,182383,0,0,0,0,0,7,23,0,7,2,159767,3141,493337,22688,5336018944,2688745472,7950102528,11140964352,0,108527616,914878464
0,0,56,975,55,920,0,Mar-23 13:43:25,14016,182401,0,0,0,0,0,7,23,0,7,2,159767,3141,493324,22688,5335445504,2688692224,7950729216,11140628480,0,108527616,914878464
0,0,56,975,55,920,0,Mar-23 13:43:26,14048,182406,0,0,0,0,0,7,23,0,7,2,159767,3141,493212,22688,5333520384,2688233472,7953113088,11164942336,0,108527616,914878464
0,0,56,975,55,920,0,Mar-23 13:43:27,14048,182407,0,0,0,0,0,7,23,0,8,2,159767,3141,508870,22688,5269901312,2752368640,7952596992,11161374720,0,108527616,914878464
0,0,56,975,55,920,0,Mar-23 13:43:28,14048,182407,0,0,0,0,0,7,23,0,8,2,159767,3141,508789,22688,5270167552,2752036864,7952662528,11161042944,0,108527616,914878464
0,126,56,975,55,920,0,Mar-23 13:43:29,14080,182407,0,0,0,0,0,7,23,0,8,2,159767,3141,507876,22688,5273366528,2748297216,7953203200,11157336064,0,108527616,914878464
0,0,56,975,55,920,0,Mar-23 13:43:30,14048,181269,0,0,0,0,0,7,23,0,8,2,159767,3141,515849,22688,5248397312,2780954624,7945510912,11175428096,0,108527616,914878464
0,0,56,975,55,920,0,Mar-23 13:43:31,14080,181268,0,0,0,0,0,7,23,0,7,2,159767,3141,515691,22688,5249568768,2780307456,7944986624,11174780928,0,108527616,914878464
0,90,56,975,55,920,0,Mar-23 13:43:32,14048,181303,0,0,0,0,0,7,23,0,8,2,159767,3141,518512,22688,5237682176,2791862272,7945318400,11165032448,0,108527616,914878464
0,0,56,975,55,920,0,Mar-23 13:43:33,14048,181308,0,0,0,0,0,7,23,0,8,2,159767,3141,518290,22688,5235720192,2790952960,7948189696,11166552064,0,108527616,914878464
0,1916,56,975,55,920,0,Mar-23 13:43:34,14048,181306,0,0,0,0,0,7,23,0,8,2,159767,3141,517205,22688,5240672256,2786508800,7947681792,11162128384,0,108527616,914878464
0,0,56,975,55,920,0,Mar-23 13:43:35,14080,181306,0,0,0,0,0,7,23,0,7,2,159767,3141,517127,22688,5240983552,2786189312,7947689984,11173138432,0,108527616,914878464
0,0,56,975,55,920,0,Mar-23 13:43:36,14080,181306,0,0,0,0,0,7,23,0,7,2,159767,3141,516846,22688,5241675776,2785038336,7948148736,11171991552,0,108527616,914878464
0,30,56,975,55,920,0,Mar-23 13:43:37,14112,181280,0,0,0,0,0,7,23,0,7,2,159767,3141,516817,22688,5244018688,2784919552,7945924608,11169521664,0,108527616,914878464
0,0,56,975,55,920,0,Mar-23 13:43:38,14112,181235,0,0,0,0,0,7,23,0,8,2,159767,3141,516951,22688,5244514304,2785468416,7944880128,11168751616,0,108527616,914878464
0,338,56,975,55,920,0,Mar-23 13:43:39,14048,182371,0,0,0,0,0,7,23,0,8,2,159767,3141,489183,22688,5351596032,2671730688,7951536128,11041275904,0,108527616,914878464
0,0,56,975,55,920,0,Mar-23 13:43:40,14016,182376,0,0,0,0,0,7,23,0,8,2,159767,3141,488000,22688,5354532864,2666885120,7953444864,11039543296,0,108527616,914878464
0,0,56,975,55,920,0,Mar-23 13:43:41,14016,182377,0,0,0,0,0,7,23,0,8,2,159767,3141,487709,22688,5355659264,2665693184,7953510400,11038351360,0,108527616,914878464
0,40,56,975,55,920,0,Mar-23 13:43:42,13984,182376,0,0,0,0,0,7,23,0,8,2,159767,3141,487478,22688,5356871680,2664747008,7953244160,11037405184,0,108527616,914878464
0,0,56,975,55,920,0,Mar-23 13:43:43,13984,182349,0,0,0,0,0,7,23,0,8,2,159767,3141,487114,22688,5360447488,2663256064,7951159296,11033563136,0,108527616,914878464
0,48,56,975,55,920,0,Mar-23 13:43:44,14048,182348,0,0,0,0,0,7,22,0,9,2,159767,3141,486638,22688,5362384896,2661306368,7951171584,11031646208,0,108527616,914878464
0,60,56,975,55,920,0,Mar-23 13:43:45,14048,182347,0,0,0,0,0,7,22,0,8,2,159767,3141,486286,22688,5364346880,2659864576,7950651392,11084853248,0,108527616,914878464
0,0,56,975,55,920,0,Mar-23 13:43:46,14080,182370,0,0,0,0,0,7,22,0,8,2,159767,3141,496566,22688,5322194944,2701971456,7950696448,11088314368,0,108527616,914878464
0,0,56,975,55,920,0,Mar-23 13:43:47,14080,182431,0,0,0,0,0,7,22,0,8,2,159767,3141,494080,22688,5328351232,2691788800,7954722816,11097358336,0,108527616,914878464
0,0,56,975,55,920,0,Mar-23 13:43:48,14080,182385,0,0,0,0,0,7,22,0,8,2,159767,3141,493845,22688,5330223104,2690826240,7953813504,11095199744,0,108527616,914878464
0,24,56,975,55,920,0,Mar-23 13:43:49,14112,182384,0,0,0,0,0,7,22,0,9,2,159767,3141,493559,22688,5331914752,2689654784,7953293312,11095625728,0,108527616,914878464
470,486,56,975,55,920,0,Mar-23 13:43:50,14112,182356,0,0,0,0,0,7,22,0,9,2,159767,3141,497024,22688,5320056832,2703847424,7950958592,11089948672,0,108527616,914878464
474,10,56,975,55,920,0,Mar-23 13:43:51,14112,182357,0,0,0,0,0,7,22,0,9,2,159767,3141,497248,22688,5318615040,2704764928,7951482880,11090866176,0,108527616,914878464
466,74,56,975,55,920,0,Mar-23 13:43:52,14112,182356,0,0,0,0,0,7,22,0,9,2,159767,3141,497102,22688,5319196672,2704166912,7951499264,11090292736,0,108527616,914878464
570,12,56,975,55,920,0,Mar-23 13:43:53,14080,182379,0,0,0,0,0,7,22,0,9,2,159767,3141,498660,22688,5313273856,2710548480,7951040512,11171495936,0,108527616,914878464
1035,22,56,975,55,920,0,Mar-23 13:43:54,14080,182393,0,0,0,0,0,7,22,0,10,2,159767,3141,494777,22688,5326561280,2694643712,7953657856,11154059264,0,108527616,914878464
369,94,56,975,55,920,0,Mar-23 13:43:55,14080,182395,0,0,0,0,0,7,22,0,9,2,159767,3141,494504,22688,5327339520,2693525504,7953997824,11152949248,0,108527616,914878464
282,6,56,975,55,920,0,Mar-23 13:43:56,14080,182394,0,0,0,0,0,7,22,0,9,2,159767,3141,494273,22688,5327040512,2692579328,7955243008,11151437824,0,108527616,914878464
470,90,56,975,55,920,0,Mar-23 13:43:57,14080,182365,0,0,0,0,0,7,22,0,9,2,159767,3141,495106,22688,5326020608,2695991296,7952850944,11152740352,0,108527616,914878464
374,6,56,978,55,922,0,Mar-23 13:43:58,14080,182367,0,0,0,0,0,7,22,0,9,2,159767,3141,494952,22688,5328150528,2695360512,7951351808,11151896576,0,108527616,914878464
96,4,56,975,55,920,0,Mar-23 13:43:59,14112,182370,0,0,0,0,0,7,24,0,8,1,159767,3141,494414,22688,5329813504,2693156864,7951892480,11149729792,0,108527616,914878464
376,56,56,975,55,920,0,Mar-23 13:44:00,14144,182898,0,0,0,0,0,7,24,0,8,1,159767,3141,514729,22688,5246566400,2776367104,7951929344,11148775424,0,108527616,914878464
940,20,56,975,55,920,0,Mar-23 13:44:01,14144,182902,0,0,0,0,0,7,24,0,8,1,159767,3141,514301,22688,5246472192,2774614016,7953776640,11150422016,0,108527616,914878464
494,140,56,975,55,920,0,Mar-23 13:44:02,14080,182920,0,0,0,0,0,7,24,0,8,1,159767,3141,512377,22688,5253996544,2766733312,7954132992,11138015232,0,108527616,914878464
540,12,57,975,55,920,0,Mar-23 13:44:03,14080,182922,0,0,0,0,0,7,24,0,8,1,159767,3141,505587,22688,5281406976,2738921472,7954534400,11109044224,0,108527616,914878464
0,0,56,975,55,920,0,Mar-23 13:44:04,14112,182890,0,0,0,0,0,7,24,0,9,1,159767,3141,505742,22688,5283553280,2739556352,7951720448,11107143680,0,108527616,914878464
0,162,56,975,55,920,0,Mar-23 13:44:05,14080,182887,0,0,0,0,0,7,24,0,9,1,159767,3141,506079,22688,5282033664,2740936704,7951859712,11108663296,0,108527616,914878464
2,0,56,975,55,920,0,Mar-23 13:44:06,14112,182890,0,0,0,0,0,7,24,0,8,1,159767,3141,509657,22688,5267075072,2755592192,7952162816,11123322880,0,108527616,914878464
0,18,56,975,55,920,0,Mar-23 13:44:07,14080,182912,0,0,0,0,0,7,24,0,8,1,159767,3141,509574,22688,5267169280,2755252224,7952392192,11123048448,0,108527616,914878464
0,0,56,975,55,920,0,Mar-23 13:44:08,14080,181806,0,0,0,0,0,7,24,0,8,1,159767,3141,512215,22688,5259833344,2766069760,7948922880,11131338752,0,108527616,914878464
0,66,56,975,55,920,0,Mar-23 13:44:09,14080,181816,0,0,0,0,0,7,24,0,8,1,159767,3141,508986,22688,5273092096,2752843776,7948890112,11150331904,0,108527616,914878464
0,1996,56,975,55,920,0,Mar-23 13:44:10,14048,181817,0,0,0,0,0,7,24,0,8,1,159767,3141,509032,22688,5272453120,2753032192,7949340672,11150553088,0,108527616,914878464
382,38,56,975,55,920,0,Mar-23 13:44:11,14080,181789,0,0,0,0,0,7,24,0,8,1,159767,3141,509142,22688,5274058752,2753482752,7947284480,11148709888,0,108527616,914878464
0,0,56,975,55,920,0,Mar-23 13:44:12,14048,181989,0,0,0,0,0,7,24,0,8,1,159767,3141,509041,22688,5274984448,2753069056,7946772480,11148308480,0,108527616,914878464
0,0,56,975,55,920,0,Mar-23 13:44:13,14048,182031,0,0,0,0,0,7,24,0,8,1,159767,3141,506112,22688,5273554944,2741071872,7960100864,11136409600,0,108527616,914878464
0,0,56,975,55,920,0,Mar-23 13:44:14,14080,182042,0,0,0,0,0,7,24,0,8,1,159767,3141,508133,22688,5267759104,2749349888,7957602304,11163541504,0,108527616,914878464
0,328,56,975,55,920,0,Mar-23 13:44:15,14112,182043,0,0,0,0,0,7,24,0,9,1,159767,3141,507241,22688,5267935232,2745696256,7961063424,11162316800,0,108527616,914878464
0,20,56,975,55,920,0,Mar-23 13:44:16,14144,182037,0,0,0,0,0,7,24,0,9,1,159767,3141,507472,22688,5267714048,2746642432,7960338432,11163267072,0,108527616,914878464
0,0,56,975,55,920,0,Mar-23 13:44:17,14080,183080,0,0,0,0,0,7,24,0,9,1,159767,3141,481562,22688,5371760640,2640515072,7962419200,11023540224,0,108527616,914878464
0,0,56,975,55,920,0,Mar-23 13:44:18,14080,183075,0,0,0,0,0,7,24,0,8,1,159767,3141,481492,22688,5380190208,2640228352,7954276352,11020603392,0,108527616,914878464
0,0,56,975,55,920,0,Mar-23 13:44:19,14080,183076,0,0,0,0,0,7,24,0,8,1,159767,3141,481407,22688,5381054464,2639880192,7953760256,11020038144,0,108527616,914878464
0,80,56,975,55,920,0,Mar-23 13:44:20,14048,183074,0,0,0,0,0,7,24,0,8,1,159767,3141,482032,22688,5378478080,2642440192,7953776640,11022622720,0,108527616,914878464
0,74,56,975,55,920,0,Mar-23 13:44:21,14048,183097,0,0,0,0,0,7,24,0,8,1,159767,3141,482338,22688,5377261568,2643693568,7953739776,11030614016,0,108527616,914878464
0,0,56,975,55,920,0,Mar-23 13:44:22,14048,183103,0,0,0,0,0,7,24,0,8,1,159767,3141,482119,22688,5375139840,2642796544,7956758528,11032784896,0,108527616,914878464
0,0,56,975,55,920,0,Mar-23 13:44:23,14080,183103,0,0,0,0,0,7,24,0,8,1,159767,3141,482770,22688,5372305408,2645463040,7956926464,11035541504,0,108527616,914878464
0,0,56,975,55,920,0,Mar-23 13:44:24,14080,183117,0,0,0,0,0,7,24,0,8,1,159767,3141,480284,22688,5382873088,2635280384,7956541440,11053068288,0,108527616,914878464
0,480,56,975,55,920,0,Mar-23 13:44:25,14112,183084,0,0,0,0,0,7,24,0,9,1,159767,3141,479267,22688,5389438976,2631114752,7954141184,11046735872,0,108527616,914878464
0,26,56,975,55,920,0,Mar-23 13:44:26,14080,183085,0,0,0,0,0,7,22,0,10,2,159767,3141,478528,22688,5391937536,2628087808,7954669568,11043717120,0,108527616,914878464
0,0,56,975,55,920,0,Mar-23 13:44:27,14080,183085,0,0,0,0,0,7,22,0,10,2,159767,3141,478302,22688,5392855040,2627162112,7954677760,11042799616,0,108527616,914878464
0,28,56,975,55,920,0,Mar-23 13:44:28,14080,183106,0,0,0,0,0,7,22,0,9,1,159767,3141,478892,22688,5390794752,2629578752,7954321408,11060420608,0,108527616,914878464
