"Dstat 1.1.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --bytes --output dstat/data/csv/dool/disk.csv --time --disk 1 600",,,,"Date:","22 Mar 2023 21:22:03 -03"
"system","dsk/total",
Mar-22 21:25:25,0,0
Mar-22 21:25:26,0,0
Mar-22 21:25:27,0,0
Mar-22 21:25:28,0,0
Mar-22 21:25:29,0,2277376
Mar-22 21:25:30,0,0
Mar-22 21:25:31,0,0
Mar-22 21:25:32,0,0
Mar-22 21:25:33,24576,15089664
Mar-22 21:25:34,0,1392640
Mar-22 21:25:35,0,0
Mar-22 21:25:36,0,0
Mar-22 21:25:37,0,0
Mar-22 21:25:38,0,0
Mar-22 21:25:39,0,114688
Mar-22 21:25:40,0,0
Mar-22 21:25:41,0,0
Mar-22 21:25:42,0,0
Mar-22 21:25:43,0,0
Mar-22 21:25:44,0,0
Mar-22 21:25:45,0,360448
Mar-22 21:25:46,0,0
Mar-22 21:25:47,0,0
Mar-22 21:25:48,0,0
Mar-22 21:25:49,0,0
Mar-22 21:25:50,0,0
Mar-22 21:25:51,0,245760
Mar-22 21:25:52,0,0
Mar-22 21:25:53,0,0
Mar-22 21:25:54,0,4882432
Mar-22 21:25:55,0,0
Mar-22 21:25:56,0,2015232
Mar-22 21:25:57,0,0
Mar-22 21:25:58,0,0
Mar-22 21:25:59,0,0
Mar-22 21:26:00,0,0
Mar-22 21:26:01,0,507904
Mar-22 21:26:02,0,0
Mar-22 21:26:03,0,0
Mar-22 21:26:04,0,0
Mar-22 21:26:05,0,4595712
Mar-22 21:26:06,0,991232
Mar-22 21:26:07,0,0
Mar-22 21:26:08,0,0
Mar-22 21:26:09,0,0
Mar-22 21:26:10,0,0
Mar-22 21:26:11,0,245760
Mar-22 21:26:12,0,0
Mar-22 21:26:13,0,0
Mar-22 21:26:14,0,0
Mar-22 21:26:15,0,0
Mar-22 21:26:16,0,2260992
Mar-22 21:26:17,0,0
Mar-22 21:26:18,0,0
Mar-22 21:26:19,0,1138688
Mar-22 21:26:20,0,0
Mar-22 21:26:21,0,0
Mar-22 21:26:22,0,335872
Mar-22 21:26:23,0,0
Mar-22 21:26:24,0,0
Mar-22 21:26:25,8192,15380480
Mar-22 21:26:26,0,4288512
Mar-22 21:26:27,0,0
Mar-22 21:26:28,0,0
Mar-22 21:26:29,0,294912
Mar-22 21:26:30,0,0
Mar-22 21:26:31,0,0
Mar-22 21:26:32,0,0
Mar-22 21:26:33,0,0
Mar-22 21:26:34,0,0
Mar-22 21:26:35,0,360448
Mar-22 21:26:36,0,0
Mar-22 21:26:37,0,0
Mar-22 21:26:38,0,0
Mar-22 21:26:39,0,0
Mar-22 21:26:40,0,204800
Mar-22 21:26:41,0,0
Mar-22 21:26:42,0,0
Mar-22 21:26:43,0,0
Mar-22 21:26:44,0,0
Mar-22 21:26:45,0,1294336
Mar-22 21:26:46,0,0
Mar-22 21:26:47,0,0
Mar-22 21:26:48,0,0
Mar-22 21:26:49,0,0
Mar-22 21:26:50,0,0
Mar-22 21:26:51,0,5062656
Mar-22 21:26:52,0,491520
Mar-22 21:26:53,0,0
Mar-22 21:26:54,0,0
Mar-22 21:26:55,0,0
Mar-22 21:26:56,0,106496
Mar-22 21:26:57,0,0
Mar-22 21:26:58,0,0
Mar-22 21:26:59,0,0
Mar-22 21:27:00,0,0
Mar-22 21:27:01,0,2162688
Mar-22 21:27:02,0,18530304
Mar-22 21:27:03,0,0
Mar-22 21:27:04,0,0
Mar-22 21:27:05,0,0
Mar-22 21:27:06,0,0
Mar-22 21:27:07,0,0
Mar-22 21:27:08,0,212992
Mar-22 21:27:09,0,630784
Mar-22 21:27:10,0,0
Mar-22 21:27:11,0,0
Mar-22 21:27:12,0,0
Mar-22 21:27:13,0,0
Mar-22 21:27:14,0,376832
Mar-22 21:27:15,0,0
Mar-22 21:27:16,0,0
Mar-22 21:27:17,0,0
Mar-22 21:27:18,0,0
Mar-22 21:27:19,0,131072
Mar-22 21:27:20,0,270336
Mar-22 21:27:21,0,0
Mar-22 21:27:22,0,0
Mar-22 21:27:23,0,0
Mar-22 21:27:24,0,0
Mar-22 21:27:25,0,0
Mar-22 21:27:26,0,1114112
Mar-22 21:27:27,0,0
Mar-22 21:27:28,0,0
Mar-22 21:27:29,0,0
Mar-22 21:27:30,0,0
Mar-22 21:27:31,0,0
Mar-22 21:27:32,0,524288
Mar-22 21:27:33,0,2850816
Mar-22 21:27:34,0,0
Mar-22 21:27:35,0,663552
Mar-22 21:27:36,0,0
Mar-22 21:27:37,0,0
Mar-22 21:27:38,0,524288
Mar-22 21:27:39,0,0
Mar-22 21:27:40,0,0
Mar-22 21:27:41,0,303104
Mar-22 21:27:42,0,0
Mar-22 21:27:43,0,1466368
Mar-22 21:27:44,0,0
Mar-22 21:27:45,0,0
Mar-22 21:27:46,0,2228224
Mar-22 21:27:47,0,0
Mar-22 21:27:48,0,16113664
Mar-22 21:27:49,0,0
Mar-22 21:27:50,0,0
Mar-22 21:27:51,0,0
Mar-22 21:27:52,0,1376256
Mar-22 21:27:53,0,0
Mar-22 21:27:54,0,0
Mar-22 21:27:55,0,0
Mar-22 21:27:56,0,0
Mar-22 21:27:57,0,0
Mar-22 21:27:58,0,0
Mar-22 21:27:59,8192,262144
Mar-22 21:28:00,0,0
Mar-22 21:28:01,0,516096
Mar-22 21:28:02,0,1794048
Mar-22 21:28:03,0,0
Mar-22 21:28:04,0,0
Mar-22 21:28:05,0,0
Mar-22 21:28:06,0,0
Mar-22 21:28:07,0,180224
Mar-22 21:28:08,0,0
Mar-22 21:28:09,0,0
Mar-22 21:28:10,0,0
Mar-22 21:28:11,0,1900544
Mar-22 21:28:12,0,0
Mar-22 21:28:13,0,122880
Mar-22 21:28:14,0,0
Mar-22 21:28:15,0,0
Mar-22 21:28:16,0,0
Mar-22 21:28:17,0,0
Mar-22 21:28:18,0,163840
Mar-22 21:28:19,0,851968
Mar-22 21:28:20,0,0
Mar-22 21:28:21,0,0
Mar-22 21:28:22,0,0
Mar-22 21:28:23,0,0
Mar-22 21:28:24,0,7856128
Mar-22 21:28:25,0,0
Mar-22 21:28:26,0,0
Mar-22 21:28:27,0,0
Mar-22 21:28:28,0,0
Mar-22 21:28:29,0,2244608
Mar-22 21:28:30,0,434176
Mar-22 21:28:31,0,0
Mar-22 21:28:32,0,0
Mar-22 21:28:33,0,0
Mar-22 21:28:34,0,221184
Mar-22 21:28:35,0,565248
Mar-22 21:28:36,0,0
Mar-22 21:28:37,0,0
Mar-22 21:28:38,0,0
Mar-22 21:28:39,0,0
Mar-22 21:28:40,0,573440
Mar-22 21:28:41,0,0
Mar-22 21:28:42,0,0
Mar-22 21:28:43,0,0
Mar-22 21:28:44,0,0
Mar-22 21:28:45,0,507904
Mar-22 21:28:46,0,0
Mar-22 21:28:47,0,0
Mar-22 21:28:48,0,0
Mar-22 21:28:49,0,0
Mar-22 21:28:50,0,409600
Mar-22 21:28:51,0,0
Mar-22 21:28:52,0,0
Mar-22 21:28:53,0,0
Mar-22 21:28:54,0,0
Mar-22 21:28:55,0,1515520
Mar-22 21:28:56,0,0
Mar-22 21:28:57,0,1572864
Mar-22 21:28:58,0,0
Mar-22 21:28:59,0,0
Mar-22 21:29:00,0,15835136
Mar-22 21:29:01,0,0
Mar-22 21:29:02,0,1597440
Mar-22 21:29:03,0,0
Mar-22 21:29:04,0,0
Mar-22 21:29:05,0,352256
Mar-22 21:29:06,0,0
Mar-22 21:29:07,0,0
Mar-22 21:29:08,0,253952
Mar-22 21:29:09,0,0
Mar-22 21:29:10,0,0
Mar-22 21:29:11,0,892928
Mar-22 21:29:12,0,0
Mar-22 21:29:13,0,2416640
Mar-22 21:29:14,0,0
Mar-22 21:29:15,0,0
Mar-22 21:29:16,0,376832
Mar-22 21:29:17,0,0
Mar-22 21:29:18,0,1277952
Mar-22 21:29:19,0,0
Mar-22 21:29:20,0,0
Mar-22 21:29:21,8192,17711104
Mar-22 21:29:22,0,0
Mar-22 21:29:23,0,1540096
Mar-22 21:29:24,0,0
Mar-22 21:29:25,0,0
Mar-22 21:29:26,0,0
Mar-22 21:29:27,0,0
Mar-22 21:29:28,0,0
Mar-22 21:29:29,0,458752
Mar-22 21:29:30,0,0
Mar-22 21:29:31,0,0
Mar-22 21:29:32,0,0
Mar-22 21:29:33,0,0
Mar-22 21:29:34,0,122880
Mar-22 21:29:35,0,0
Mar-22 21:29:36,0,303104
Mar-22 21:29:37,0,0
Mar-22 21:29:38,0,0
Mar-22 21:29:39,0,0
Mar-22 21:29:40,0,0
Mar-22 21:29:41,0,1294336
Mar-22 21:29:42,0,3260416
Mar-22 21:29:43,0,0
Mar-22 21:29:44,0,0
Mar-22 21:29:45,0,0
Mar-22 21:29:46,0,1794048
Mar-22 21:29:47,0,0
Mar-22 21:29:48,0,0
Mar-22 21:29:49,0,2072576
Mar-22 21:29:50,0,56532992
Mar-22 21:29:51,0,663552
Mar-22 21:29:52,0,0
Mar-22 21:29:53,0,0
Mar-22 21:29:54,0,0
Mar-22 21:29:55,0,0
Mar-22 21:29:56,0,0
Mar-22 21:29:57,0,163840
Mar-22 21:29:58,0,0
Mar-22 21:29:59,0,0
Mar-22 21:30:00,0,0
Mar-22 21:30:01,0,0
Mar-22 21:30:02,0,0
Mar-22 21:30:03,0,2359296
Mar-22 21:30:04,0,0
Mar-22 21:30:05,0,0
Mar-22 21:30:06,0,0
Mar-22 21:30:07,0,0
Mar-22 21:30:08,0,352256
Mar-22 21:30:09,0,0
Mar-22 21:30:10,0,0
Mar-22 21:30:11,0,0
Mar-22 21:30:12,0,827392
Mar-22 21:30:13,0,0
Mar-22 21:30:14,0,0
Mar-22 21:30:15,0,0
Mar-22 21:30:16,0,0
Mar-22 21:30:17,0,3940352
Mar-22 21:30:18,0,0
Mar-22 21:30:19,0,0
Mar-22 21:30:20,0,0
Mar-22 21:30:21,0,0
Mar-22 21:30:22,0,0
Mar-22 21:30:23,0,1875968
Mar-22 21:30:24,0,0
Mar-22 21:30:25,0,0
Mar-22 21:30:26,0,0
Mar-22 21:30:27,0,0
Mar-22 21:30:28,0,2408448
Mar-22 21:30:29,0,0
Mar-22 21:30:30,0,0
Mar-22 21:30:31,0,0
Mar-22 21:30:32,0,0
Mar-22 21:30:33,0,13688832
Mar-22 21:30:34,0,0
Mar-22 21:30:35,0,0
Mar-22 21:30:36,0,0
Mar-22 21:30:37,0,0
Mar-22 21:30:38,0,1925120
Mar-22 21:30:39,0,0
Mar-22 21:30:40,0,0
Mar-22 21:30:41,0,0
Mar-22 21:30:42,0,0
Mar-22 21:30:43,0,2768896
Mar-22 21:30:44,0,0
Mar-22 21:30:45,0,0
Mar-22 21:30:46,0,0
Mar-22 21:30:47,0,0
Mar-22 21:30:48,0,3399680
Mar-22 21:30:49,0,0
Mar-22 21:30:50,0,0
Mar-22 21:30:51,0,0
Mar-22 21:30:52,0,0
Mar-22 21:30:53,0,1073152
Mar-22 21:30:54,0,0
Mar-22 21:30:55,0,0
Mar-22 21:30:56,0,376832
Mar-22 21:30:57,0,466944
Mar-22 21:30:58,0,1523712
Mar-22 21:30:59,0,0
Mar-22 21:31:00,0,0
Mar-22 21:31:01,0,0
Mar-22 21:31:02,0,401408
Mar-22 21:31:03,0,65536
Mar-22 21:31:04,0,0
Mar-22 21:31:05,0,0
Mar-22 21:31:06,0,851968
Mar-22 21:31:07,0,0
Mar-22 21:31:08,0,0
Mar-22 21:31:09,0,270336
Mar-22 21:31:10,0,0
Mar-22 21:31:11,0,286720
Mar-22 21:31:12,0,0
Mar-22 21:31:13,0,0
Mar-22 21:31:14,0,14761984
Mar-22 21:31:15,0,0
Mar-22 21:31:16,0,2310144
Mar-22 21:31:17,0,0
Mar-22 21:31:18,0,0
Mar-22 21:31:19,0,4128768
Mar-22 21:31:20,0,0
Mar-22 21:31:21,0,450560
Mar-22 21:31:22,0,0
Mar-22 21:31:23,0,0
Mar-22 21:31:24,0,376832
Mar-22 21:31:25,0,327680
Mar-22 21:31:26,0,417792
Mar-22 21:31:27,0,0
Mar-22 21:31:28,0,0
Mar-22 21:31:29,0,3170304
Mar-22 21:31:30,0,0
Mar-22 21:31:31,0,0
Mar-22 21:31:32,0,0
Mar-22 21:31:33,0,0
Mar-22 21:31:34,0,19390464
Mar-22 21:31:35,0,0
Mar-22 21:31:36,0,0
Mar-22 21:31:37,0,0
Mar-22 21:31:38,0,0
Mar-22 21:31:39,0,1646592
Mar-22 21:31:40,0,0
Mar-22 21:31:41,0,0
Mar-22 21:31:42,0,0
Mar-22 21:31:43,0,0
Mar-22 21:31:44,0,0
Mar-22 21:31:45,0,0
Mar-22 21:31:46,0,204800
Mar-22 21:31:47,0,0
Mar-22 21:31:48,0,0
Mar-22 21:31:49,684032,24576
Mar-22 21:31:50,1710080,40960
Mar-22 21:31:51,1710080,40960
Mar-22 21:31:52,1710080,286720
Mar-22 21:31:53,1710080,40960
Mar-22 21:31:54,1710080,40960
Mar-22 21:31:55,1710080,40960
Mar-22 21:31:56,2052096,1777664
Mar-22 21:31:57,1372160,40960
Mar-22 21:31:58,1705984,40960
Mar-22 21:31:59,1710080,40960
Mar-22 21:32:00,1710080,40960
Mar-22 21:32:01,1714176,1392640
Mar-22 21:32:02,1705984,40960
