"Dstat 1.1.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --bytes --output dstat/data/csv/dool/net.csv --time --net 1 600",,,,"Date:","22 Mar 2023 21:22:03 -03"
"system","net/total",
Mar-22 21:24:17,0,1278
Mar-22 21:24:18,2718,5250
Mar-22 21:24:19,20833,5802
Mar-22 21:24:20,538,0
Mar-22 21:24:21,1126,0
Mar-22 21:24:22,799,545
Mar-22 21:24:23,167,0
Mar-22 21:24:24,748,0
Mar-22 21:24:25,817,484
Mar-22 21:24:26,107,0
Mar-22 21:24:27,563,804
Mar-22 21:24:28,525,0
Mar-22 21:24:29,1483,3192
Mar-22 21:24:30,16119,2748
Mar-22 21:24:31,167,0
Mar-22 21:24:32,163,74
Mar-22 21:24:33,16116,5448
Mar-22 21:24:34,16417,3943
Mar-22 21:24:35,28389,9663
Mar-22 21:24:36,2018,1275
Mar-22 21:24:37,274,0
Mar-22 21:24:38,107,358
Mar-22 21:24:39,167,0
Mar-22 21:24:40,2108,4733
Mar-22 21:24:41,15811,1370
Mar-22 21:24:42,274,187
Mar-22 21:24:43,167,358
Mar-22 21:24:44,0,0
Mar-22 21:24:45,320,0
Mar-22 21:24:46,153,0
Mar-22 21:24:47,563,446
Mar-22 21:24:48,132,106
Mar-22 21:24:49,274,358
Mar-22 21:24:50,2257,968
Mar-22 21:24:51,16625,5102
Mar-22 21:24:52,1404,884
Mar-22 21:24:53,352,106
Mar-22 21:24:54,748,358
Mar-22 21:24:55,167,0
Mar-22 21:24:56,16492,6512
Mar-22 21:24:57,1136,313
Mar-22 21:24:58,525,0
Mar-22 21:24:59,274,358
Mar-22 21:25:00,107,0
Mar-22 21:25:01,167,0
Mar-22 21:25:02,16749,5203
Mar-22 21:25:03,1647,844
Mar-22 21:25:04,107,358
Mar-22 21:25:05,167,0
Mar-22 21:25:06,525,0
Mar-22 21:25:07,670,446
Mar-22 21:25:08,107,0
Mar-22 21:25:09,167,0
Mar-22 21:25:10,177,358
Mar-22 21:25:11,167,0
Mar-22 21:25:12,107,0
Mar-22 21:25:13,34535,12504
Mar-22 21:25:14,0,0
Mar-22 21:25:15,698,358
Mar-22 21:25:16,107,0
Mar-22 21:25:17,274,0
Mar-22 21:25:18,0,0
Mar-22 21:25:19,167,0
Mar-22 21:25:20,0,0
Mar-22 21:25:21,0,358
Mar-22 21:25:22,692,187
Mar-22 21:25:23,298,1707
Mar-22 21:25:24,16963,4233
Mar-22 21:25:25,0,0
Mar-22 21:25:26,0,0
Mar-22 21:25:27,563,633
Mar-22 21:25:28,0,0
Mar-22 21:25:29,0,0
Mar-22 21:25:30,116,0
Mar-22 21:25:31,0,0
Mar-22 21:25:32,0,0
Mar-22 21:25:33,86,106
Mar-22 21:25:34,16187,6957
Mar-22 21:25:35,32625,5303
Mar-22 21:25:36,0,0
Mar-22 21:25:37,0,0
Mar-22 21:25:38,78,106
Mar-22 21:25:39,0,0
Mar-22 21:25:40,650,484
Mar-22 21:25:41,0,0
Mar-22 21:25:42,334,374
Mar-22 21:25:43,0,0
Mar-22 21:25:44,0,0
Mar-22 21:25:45,298,1707
Mar-22 21:25:46,16923,4193
Mar-22 21:25:47,396,804
Mar-22 21:25:48,0,0
Mar-22 21:25:49,0,0
Mar-22 21:25:50,0,0
Mar-22 21:25:51,0,0
Mar-22 21:25:52,0,0
Mar-22 21:25:53,0,358
Mar-22 21:25:54,525,0
Mar-22 21:25:55,7723,7617
Mar-22 21:25:56,6063,4768
Mar-22 21:25:57,16883,3853
Mar-22 21:25:58,167,545
Mar-22 21:25:59,0,0
Mar-22 21:26:00,0,0
Mar-22 21:26:01,0,0
Mar-22 21:26:02,167,187
Mar-22 21:26:03,698,358
Mar-22 21:26:04,0,0
Mar-22 21:26:05,424,0
Mar-22 21:26:06,0,0
Mar-22 21:26:07,1645,3638
Mar-22 21:26:08,16012,3106
Mar-22 21:26:09,0,0
Mar-22 21:26:10,70,0
Mar-22 21:26:11,0,0
Mar-22 21:26:12,167,187
Mar-22 21:26:13,0,0
Mar-22 21:26:14,0,358
Mar-22 21:26:15,0,920
Mar-22 21:26:16,0,920
Mar-22 21:26:17,0,920
Mar-22 21:26:18,1661,4470
Mar-22 21:26:19,15932,3026
Mar-22 21:26:20,0,0
Mar-22 21:26:21,0,0
Mar-22 21:26:22,167,187
Mar-22 21:26:23,78,106
Mar-22 21:26:24,0,358
Mar-22 21:26:25,0,0
Mar-22 21:26:26,0,0
Mar-22 21:26:27,396,446
Mar-22 21:26:28,0,0
Mar-22 21:26:29,1659,4848
Mar-22 21:26:30,16026,1450
Mar-22 21:26:31,0,0
Mar-22 21:26:32,0,0
Mar-22 21:26:33,0,0
Mar-22 21:26:34,0,358
Mar-22 21:26:35,15873,5090
Mar-22 21:26:36,13755,1396
Mar-22 21:26:37,2671,699
Mar-22 21:26:38,319,511
Mar-22 21:26:39,86,224
Mar-22 21:26:40,16010,5598
Mar-22 21:26:41,1530,924
Mar-22 21:26:42,167,187
Mar-22 21:26:43,167,187
Mar-22 21:26:44,0,0
Mar-22 21:26:45,0,358
Mar-22 21:26:46,42,0
Mar-22 21:26:47,396,446
Mar-22 21:26:48,46,0
Mar-22 21:26:49,2422,0
Mar-22 21:26:50,0,358
Mar-22 21:26:51,16663,5924
Mar-22 21:26:52,876,166
Mar-22 21:26:53,0,0
Mar-22 21:26:54,4530,0
Mar-22 21:26:55,6258,358
Mar-22 21:26:56,46,0
Mar-22 21:26:57,167,187
Mar-22 21:26:58,525,0
Mar-22 21:26:59,6853,7150
Mar-22 21:27:00,167,187
Mar-22 21:27:01,0,358
Mar-22 21:27:02,17388,6127
Mar-22 21:27:03,86,106
Mar-22 21:27:04,776,106
Mar-22 21:27:05,0,0
Mar-22 21:27:06,0,358
Mar-22 21:27:07,396,446
Mar-22 21:27:08,0,0
Mar-22 21:27:09,0,0
Mar-22 21:27:10,70,0
Mar-22 21:27:11,0,358
Mar-22 21:27:12,298,1150
Mar-22 21:27:13,25896,9038
Mar-22 21:27:14,66,187
Mar-22 21:27:15,0,0
Mar-22 21:27:16,66,545
Mar-22 21:27:17,107,0
Mar-22 21:27:18,1954,2164
Mar-22 21:27:19,167,0
Mar-22 21:27:20,716,671
Mar-22 21:27:21,0,0
Mar-22 21:27:22,167,545
Mar-22 21:27:23,1209,3192
Mar-22 21:27:24,24391,13478
Mar-22 21:27:25,0,0
Mar-22 21:27:26,0,0
Mar-22 21:27:27,396,804
Mar-22 21:27:28,0,0
Mar-22 21:27:29,66,187
Mar-22 21:27:30,0,0
Mar-22 21:27:31,0,0
Mar-22 21:27:32,0,0
Mar-22 21:27:33,0,0
Mar-22 21:27:34,1103,2980
Mar-22 21:27:35,16012,2748
Mar-22 21:27:36,56,74
Mar-22 21:27:37,16322,5702
Mar-22 21:27:38,15385,956
Mar-22 21:27:39,0,0
Mar-22 21:27:40,1138,793
Mar-22 21:27:41,0,206
Mar-22 21:27:42,309,357
Mar-22 21:27:43,0,376
Mar-22 21:27:44,0,0
Mar-22 21:27:45,16679,5984
Mar-22 21:27:46,1444,924
Mar-22 21:27:47,396,652
Mar-22 21:27:48,86,106
Mar-22 21:27:49,0,0
Mar-22 21:27:50,0,0
Mar-22 21:27:51,0,0
Mar-22 21:27:52,0,0
Mar-22 21:27:53,0,0
Mar-22 21:27:54,0,358
Mar-22 21:27:55,0,206
Mar-22 21:27:56,1249,3192
Mar-22 21:27:57,15972,2748
Mar-22 21:27:58,0,0
Mar-22 21:27:59,39927,20461
Mar-22 21:28:00,0,0
Mar-22 21:28:01,167,187
Mar-22 21:28:02,167,187
Mar-22 21:28:03,5535,40447
Mar-22 21:28:04,8258,18610
Mar-22 21:28:05,698,358
Mar-22 21:28:06,0,0
Mar-22 21:28:07,1526,3258
Mar-22 21:28:08,16131,3128
Mar-22 21:28:09,0,0
Mar-22 21:28:10,494,358
Mar-22 21:28:11,0,0
Mar-22 21:28:12,0,0
Mar-22 21:28:13,960,817
Mar-22 21:28:14,0,0
Mar-22 21:28:15,0,1278
Mar-22 21:28:16,0,920
Mar-22 21:28:17,0,920
Mar-22 21:28:18,1249,4112
Mar-22 21:28:19,16012,2748
Mar-22 21:28:20,0,0
Mar-22 21:28:21,0,358
Mar-22 21:28:22,167,187
Mar-22 21:28:23,0,0
Mar-22 21:28:24,0,0
Mar-22 21:28:25,0,0
Mar-22 21:28:26,0,358
Mar-22 21:28:27,563,633
Mar-22 21:28:28,0,0
Mar-22 21:28:29,2035,4742
Mar-22 21:28:30,15562,1410
Mar-22 21:28:31,0,358
Mar-22 21:28:32,0,0
Mar-22 21:28:33,86,106
Mar-22 21:28:34,0,0
Mar-22 21:28:35,650,484
Mar-22 21:28:36,0,0
Mar-22 21:28:37,0,358
Mar-22 21:28:38,16401,5828
Mar-22 21:28:39,15202,486
Mar-22 21:28:40,1659,4490
Mar-22 21:28:41,15602,1450
Mar-22 21:28:42,334,732
Mar-22 21:28:43,0,0
Mar-22 21:28:44,0,0
Mar-22 21:28:45,86,106
Mar-22 21:28:46,0,0
Mar-22 21:28:47,0,358
Mar-22 21:28:48,0,0
Mar-22 21:28:49,0,0
Mar-22 21:28:50,78,106
Mar-22 21:28:51,1701,4490
Mar-22 21:28:52,17422,4315
Mar-22 21:28:53,8405,3060
Mar-22 21:28:54,0,0
Mar-22 21:28:55,0,0
Mar-22 21:28:56,0,0
Mar-22 21:28:57,0,0
Mar-22 21:28:58,46,358
Mar-22 21:28:59,0,0
Mar-22 21:29:00,424,0
Mar-22 21:29:01,46,0
Mar-22 21:29:02,15984,5117
Mar-22 21:29:03,1404,1242
Mar-22 21:29:04,0,0
Mar-22 21:29:05,0,0
Mar-22 21:29:06,698,0
Mar-22 21:29:07,0,0
Mar-22 21:29:08,334,374
Mar-22 21:29:09,0,358
Mar-22 21:29:10,70,0
Mar-22 21:29:11,0,0
Mar-22 21:29:12,167,187
Mar-22 21:29:13,16213,5755
Mar-22 21:29:14,1662,1283
Mar-22 21:29:15,0,0
Mar-22 21:29:16,0,0
Mar-22 21:29:17,107,0
Mar-22 21:29:18,86,106
Mar-22 21:29:19,245,106
Mar-22 21:29:20,0,358
Mar-22 21:29:21,0,0
Mar-22 21:29:22,0,0
Mar-22 21:29:23,254,1447
Mar-22 21:29:24,15857,5309
Mar-22 21:29:25,1828,989
Mar-22 21:29:26,0,0
Mar-22 21:29:27,0,0
Mar-22 21:29:28,0,0
Mar-22 21:29:29,167,187
Mar-22 21:29:30,86,464
Mar-22 21:29:31,0,0
Mar-22 21:29:32,0,0
Mar-22 21:29:33,396,446
Mar-22 21:29:34,0,0
Mar-22 21:29:35,18803,10128
Mar-22 21:29:36,11932,5040
Mar-22 21:29:37,12498,5881
Mar-22 21:29:38,12358,3142
Mar-22 21:29:39,29902,6530
Mar-22 21:29:40,56,74
Mar-22 21:29:41,3335,120
Mar-22 21:29:42,0,0
Mar-22 21:29:43,167,187
Mar-22 21:29:44,0,0
Mar-22 21:29:45,0,0
Mar-22 21:29:46,17261,5940
Mar-22 21:29:47,0,0
Mar-22 21:29:48,0,0
Mar-22 21:29:49,9905,5115
Mar-22 21:29:50,424,0
Mar-22 21:29:51,0,0
Mar-22 21:29:52,0,0
Mar-22 21:29:53,396,446
Mar-22 21:29:54,167,187
Mar-22 21:29:55,0,0
Mar-22 21:29:56,298,1150
Mar-22 21:29:57,18320,8331
Mar-22 21:29:58,15978,3514
Mar-22 21:29:59,0,0
Mar-22 21:30:00,0,0
Mar-22 21:30:01,0,358
Mar-22 21:30:02,0,0
Mar-22 21:30:03,86,106
Mar-22 21:30:04,167,187
Mar-22 21:30:05,0,0
Mar-22 21:30:06,0,358
Mar-22 21:30:07,1907,3192
Mar-22 21:30:08,16012,2748
Mar-22 21:30:09,334,374
Mar-22 21:30:10,1319,3192
Mar-22 21:30:11,15938,3452
Mar-22 21:30:12,0,358
Mar-22 21:30:13,396,446
Mar-22 21:30:14,0,0
Mar-22 21:30:15,736,1510
Mar-22 21:30:16,0,920
Mar-22 21:30:17,0,1278
Mar-22 21:30:18,1619,5410
Mar-22 21:30:19,17758,4598
Mar-22 21:30:20,0,0
Mar-22 21:30:21,78,106
Mar-22 21:30:22,0,358
Mar-22 21:30:23,87,1260
Mar-22 21:30:24,0,0
Mar-22 21:30:25,42,62
Mar-22 21:30:26,0,0
Mar-22 21:30:27,0,358
Mar-22 21:30:28,0,187
Mar-22 21:30:29,1786,4490
Mar-22 21:30:30,15602,1450
Mar-22 21:30:31,0,0
Mar-22 21:30:32,0,0
Mar-22 21:30:33,396,804
Mar-22 21:30:34,0,0
Mar-22 21:30:35,0,0
Mar-22 21:30:36,0,0
Mar-22 21:30:37,0,0
Mar-22 21:30:38,0,358
Mar-22 21:30:39,0,0
Mar-22 21:30:40,17563,6985
Mar-22 21:30:41,2607,4764
Mar-22 21:30:42,29872,1888
Mar-22 21:30:43,0,0
Mar-22 21:30:44,0,358
Mar-22 21:30:45,0,0
Mar-22 21:30:46,0,0
Mar-22 21:30:47,0,0
Mar-22 21:30:48,86,106
Mar-22 21:30:49,167,545
Mar-22 21:30:50,0,0
Mar-22 21:30:51,13903,4742
Mar-22 21:30:52,0,0
Mar-22 21:30:53,4994,1684
Mar-22 21:30:54,116,358
Mar-22 21:30:55,6431,7620
Mar-22 21:30:56,7199,3687
Mar-22 21:30:57,0,0
Mar-22 21:30:58,46,0
Mar-22 21:30:59,0,0
Mar-22 21:31:00,132,464
Mar-22 21:31:01,46,0
Mar-22 21:31:02,0,0
Mar-22 21:31:03,15904,6276
Mar-22 21:31:04,1444,924
Mar-22 21:31:05,591,545
Mar-22 21:31:06,78,106
Mar-22 21:31:07,0,0
Mar-22 21:31:08,523,0
Mar-22 21:31:09,342,187
Mar-22 21:31:10,70,358
Mar-22 21:31:11,0,0
Mar-22 21:31:12,0,0
Mar-22 21:31:13,167,259
Mar-22 21:31:14,16046,5496
Mar-22 21:31:15,1404,631
Mar-22 21:31:16,326,610
Mar-22 21:31:17,107,0
Mar-22 21:31:18,0,0
Mar-22 21:31:19,167,0
Mar-22 21:31:20,0,0
Mar-22 21:31:21,0,358
Mar-22 21:31:22,0,0
Mar-22 21:31:23,87,1260
Mar-22 21:31:24,0,0
Mar-22 21:31:25,16345,5774
Mar-22 21:31:26,876,126
Mar-22 21:31:27,167,545
Mar-22 21:31:28,0,0
Mar-22 21:31:29,167,187
Mar-22 21:31:30,650,484
Mar-22 21:31:31,0,0
Mar-22 21:31:32,0,358
Mar-22 21:31:33,253,365
Mar-22 21:31:34,229,187
Mar-22 21:31:35,0,0
Mar-22 21:31:36,17221,5940
Mar-22 21:31:37,616,977
Mar-22 21:31:38,413,617
Mar-22 21:31:39,86,106
Mar-22 21:31:40,0,0
Mar-22 21:31:41,0,0
Mar-22 21:31:42,16000,5560
Mar-22 21:31:43,15730,1511
Mar-22 21:31:44,0,0
Mar-22 21:31:45,0,0
Mar-22 21:31:46,126,310
Mar-22 21:31:47,12583,4538
Mar-22 21:31:48,6282,1232
Mar-22 21:31:49,18441,679
Mar-22 21:31:50,0,0
Mar-22 21:31:51,0,0
Mar-22 21:31:52,0,0
Mar-22 21:31:53,167,259
Mar-22 21:31:54,229,187
Mar-22 21:31:55,424,0
Mar-22 21:31:56,0,0
Mar-22 21:31:57,0,0
Mar-22 21:31:58,0,0
Mar-22 21:31:59,340,396
Mar-22 21:32:00,0,0
Mar-22 21:32:01,0,0
Mar-22 21:32:02,0,0
