"Dstat 1.1.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dool/page_vm-adv_unix_lock_ipc_swap_net_tcp_sys_raw_aio_zones.csv --page --vm-adv --unix --lock --ipc --swap --net --tcp --sys --raw --aio --zones 1 600",,,,"Date:","22 Mar 2023 21:32:08 -03"
"paging",,"advanced virtual memory",,,,,"unix sockets",,,,"file locks",,,,"sysv ipc",,,"swap",,"net/total",,"tcp sockets",,,,,"system",,"raw","async","zones memory",,,
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,86,106,7,15,0,6,0,653,1191,0,0,307234,3141,126096,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,0,0,7,15,0,6,0,912,2437,0,0,307234,3141,125910,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,46,0,7,15,0,6,0,859,1917,0,0,304399,3141,124484,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,0,358,7,15,0,6,0,827,1387,0,0,304399,3141,124106,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,0,0,7,15,0,6,0,990,2581,0,0,304399,3141,124044,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,458,480,7,15,0,6,0,1884,5877,0,0,304399,3141,123211,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,418,0,7,15,0,6,0,921,2513,0,0,304399,3141,123305,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,13583,5226,7,15,0,7,0,1001,2156,0,0,304399,3141,123196,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,6282,1590,7,15,0,7,0,762,1344,0,0,304399,3141,123076,22176
0,0,0,0,0,0,0,56,870,54,816,56,12,10,58,0,0,6,1835008,1021571072,1350,426,7,15,1,7,0,1070,2715,0,0,304399,3141,123136,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,815,963,7,15,0,8,0,996,1658,0,0,304399,3141,123414,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,0,0,7,15,0,8,0,1015,2684,0,0,304399,3141,123528,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,86,106,7,15,0,7,0,830,1695,0,0,304399,3141,123408,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,0,0,7,15,0,7,0,636,1126,0,0,304399,3141,123348,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,326,610,7,13,0,7,1,1013,2682,0,0,304399,3141,123238,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,1738,2742,7,13,0,7,1,921,1553,0,0,304399,3141,123328,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,510,438,7,13,0,7,1,913,2517,0,0,304399,3141,123453,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,0,0,7,13,0,7,1,799,1204,0,0,304399,3141,123397,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,0,0,7,13,0,7,1,750,1378,0,0,304399,3141,123310,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,16345,6132,7,13,0,8,1,1177,3612,0,0,304399,3141,123307,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,963,1386,7,13,0,8,1,694,1234,0,0,304399,3141,122873,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,0,0,7,13,0,8,1,915,2489,0,0,304399,3141,122582,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,0,0,7,13,0,8,1,675,1175,0,0,304399,3141,122599,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,0,0,7,13,0,8,1,719,1201,0,0,305632,3141,122599,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,0,358,7,13,0,7,1,940,2632,0,0,306906,3141,122909,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,167,187,7,13,0,7,1,659,1150,0,0,306763,3141,122788,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,482,350,7,11,0,7,2,1182,3563,0,0,307027,3141,122511,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,0,0,7,11,0,7,2,812,1383,0,0,307027,3141,122423,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,0,0,7,11,0,7,2,653,1202,0,0,307027,3141,122317,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,0,0,7,11,0,7,2,971,2546,0,0,307027,3141,122317,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,16970,6829,7,11,0,8,2,968,2245,0,0,307027,3141,122261,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,876,126,7,11,0,8,2,934,2514,0,0,307027,3141,122469,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,876,968,7,11,0,8,2,763,1181,0,0,308662,3141,123041,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,0,0,7,11,0,8,2,762,1284,0,0,308662,3141,122802,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,0,0,7,11,0,8,2,1010,2569,0,0,308662,3141,122839,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,0,358,7,11,0,7,2,758,1339,0,0,308662,3141,122793,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,0,0,7,11,0,7,2,951,2431,0,0,308662,3141,123137,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,382,243,7,11,0,7,2,686,1089,0,0,308662,3141,123080,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,0,0,7,11,0,7,2,711,1233,0,0,308662,3141,123080,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,0,0,7,11,0,7,2,1002,2593,0,0,308662,3141,123190,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,15817,5657,7,11,0,8,2,1855,35796,0,0,278674,3141,123891,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,29819,6061,7,9,0,9,2,2565,8822,0,0,278674,3141,123409,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,56,74,7,9,0,9,2,784,1318,0,0,278674,3141,123341,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,4598,1198,7,9,0,9,2,713,1260,0,0,278674,3141,123347,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,0,0,7,9,0,9,2,984,2629,0,0,278674,3141,123354,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,253,651,7,9,0,9,2,765,1305,0,0,278674,3141,123108,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,0,0,7,9,0,9,2,858,2358,0,0,278674,3141,123179,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,0,0,7,9,0,8,2,848,1667,0,0,278674,3141,158483,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,0,0,7,9,0,8,2,701,1347,0,0,278674,3141,158367,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,0,0,7,9,0,8,2,943,2556,0,0,278674,3141,158061,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,474,552,7,9,0,8,2,725,1335,0,0,278674,3141,157943,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,0,0,7,9,0,8,2,932,2651,0,0,278674,3141,157722,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,82,0,7,9,0,8,2,800,1362,0,0,278674,3141,157725,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,1659,4592,7,9,0,9,2,950,2182,0,0,278674,3141,157864,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,15602,1450,7,9,0,9,2,918,2555,0,0,278674,3141,157615,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,0,0,7,9,0,9,2,749,1277,0,0,278674,3141,157321,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,0,0,7,9,0,9,2,1087,2795,0,0,278674,3141,157137,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,954,352,7,9,0,8,2,935,3524,0,0,278674,3141,157021,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,0,0,7,9,0,8,2,699,1177,0,0,278674,3141,157405,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,0,0,7,9,0,8,2,893,2581,0,0,278674,3141,157166,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,87,1260,7,9,0,8,2,722,1214,0,0,278674,3141,156789,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,0,0,7,9,0,8,2,957,2428,0,0,278674,3141,157641,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,0,0,7,9,0,8,2,1000,2222,0,0,278674,3141,157321,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,0,0,7,9,0,8,2,742,1263,0,0,278674,3141,157276,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,15817,5309,7,9,0,9,2,1161,3236,0,0,278674,3141,157283,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,1531,778,7,9,0,9,2,772,1428,0,0,278674,3141,156968,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,167,187,7,9,0,9,2,868,2614,0,0,278674,3141,156968,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,418,0,7,9,0,8,2,745,1253,0,0,280258,3141,157880,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,350,0,7,9,0,8,2,689,1150,0,0,280258,3141,157976,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,0,0,7,9,0,8,2,797,1281,0,0,280258,3141,158025,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,396,446,7,9,0,8,2,906,2306,0,0,280258,3141,157967,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,0,1278,7,9,0,7,2,912,2736,0,0,280258,3141,158044,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,0,920,7,9,0,7,2,885,1816,0,0,280258,3141,157627,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,0,920,7,9,0,7,2,684,1211,0,0,280258,3141,158137,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,0,920,7,9,0,7,2,694,1188,0,0,280258,3141,158077,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,16226,5648,7,9,0,8,2,1181,3404,0,0,280258,3141,158092,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,995,292,7,9,0,8,2,936,2404,0,0,280258,3141,157968,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,0,358,7,9,0,8,2,1125,1408,0,0,280258,3141,157858,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,0,0,7,9,0,8,2,749,1211,0,0,280258,3141,158255,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,0,0,7,9,0,8,2,770,1296,0,0,280258,3141,158239,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,87,1260,7,9,0,7,2,885,2458,0,0,280258,3141,158187,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,1680,4652,7,11,0,7,1,987,2298,0,0,280258,3141,158141,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,16138,3294,7,11,0,7,1,1118,2895,0,0,280258,3141,158021,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,0,0,7,11,0,7,1,797,1580,0,0,280258,3141,158412,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,167,187,7,11,0,7,1,918,1854,0,0,280258,3141,154831,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,167,187,7,11,0,7,1,2112,35522,0,0,290026,3141,162199,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,16305,5734,7,11,0,8,1,982,2398,0,0,290026,3141,162013,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,876,126,7,11,0,8,1,976,2429,0,0,290026,3141,161578,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,0,358,7,11,0,8,1,725,1355,0,0,290026,3141,161140,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,0,0,7,11,0,8,1,757,1326,0,0,290026,3141,161090,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,396,446,7,11,0,7,1,1015,2549,0,0,290026,3141,161103,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,0,0,7,11,0,7,1,695,1133,0,0,290026,3141,161114,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,86,106,7,11,0,7,1,1029,2632,0,0,290026,3141,165088,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,0,358,7,11,0,7,1,2226,6859,0,0,290026,3141,164633,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,0,0,7,11,0,7,1,751,1306,0,0,290026,3141,164639,22176
0,0,0,0,0,0,0,56,870,54,816,56,12,10,58,0,0,6,1835008,1021571072,11882,5152,7,13,0,7,1,1091,2765,0,0,290026,3141,164586,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,1301,1357,7,11,0,7,1,762,1316,0,0,290026,3141,164655,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,12701,4848,7,11,0,8,1,1068,3360,0,0,290026,3141,164406,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,0,358,7,11,0,8,1,731,1257,0,0,290026,3141,164435,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,7325,1505,7,11,0,8,1,758,1331,0,0,290026,3141,164432,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,0,0,7,11,0,8,1,1026,2432,0,0,290026,3141,209607,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,15929,5640,7,13,0,8,1,1141,2465,0,0,290026,3141,209491,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,15958,1205,7,13,0,5,1,990,2602,0,0,290026,3141,209372,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,56,432,7,13,0,5,1,707,1253,0,0,290026,3141,209375,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,56,181,7,13,0,5,1,790,1442,0,0,290026,3141,209252,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,167,187,7,13,0,5,1,1027,2595,0,0,290026,3141,209536,22176
0,0,0,0,0,0,0,56,868,54,814,56,12,10,58,0,0,6,1835008,1021571072,78,106,7,13,0,5,1,724,1250,0,0,290026,3141,209545,22176
