"Dstat 1.1.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dool/raw_tcp_cpu_socket_aio.csv --raw --tcp --cpu --socket --aio 1 600",,,,"Date:","23 Mar 2023 13:42:08 -03"
"raw","tcp sockets",,,,,"total cpu usage",,,,,"sockets",,,,,"async"
0,7,22,0,7,3,9.963,3.487,86.550,0,0,1204,26,33,0,0,0
0,7,21,0,7,4,11.640,2.003,86.233,0.125,0,1204,26,33,0,0,0
0,7,21,0,8,4,9.584,3.153,87.011,0.252,0,1204,26,33,0,0,0
0,7,21,0,8,4,8.831,4.229,86.816,0.124,0,1206,26,33,0,0,0
0,7,21,0,8,4,14.232,3.246,82.522,0,0,1204,26,33,0,0,0
0,7,21,0,8,4,8.864,3.121,87.890,0.125,0,1204,26,33,0,0,0
0,7,21,0,7,4,10.625,5.125,84.250,0,0,1204,26,33,0,0,0
0,7,21,0,7,4,11.591,3.206,85.080,0.123,0,1204,26,33,0,0,0
0,7,21,0,7,4,10.986,4.120,84.769,0.125,0,1204,26,33,0,0,0
0,7,21,0,8,4,9.975,3.117,86.783,0.125,0,1204,26,33,0,0,0
0,7,21,0,8,4,8.897,3.383,87.594,0.125,0,1204,26,33,0,0,0
0,7,21,0,8,4,8.864,3.371,87.765,0,0,1204,26,33,0,0,0
0,7,21,0,8,4,9.136,4.074,86.667,0.123,0,1204,26,33,0,0,0
0,7,21,0,8,4,10.100,4.988,84.663,0.249,0,1206,26,33,0,0,0
0,7,21,0,8,4,9.686,2.516,87.799,0,0,1204,26,33,0,0,0
0,7,21,0,8,4,10.943,2.767,86.164,0.126,0,1204,26,33,0,0,0
0,7,21,0,7,4,9.250,2.250,88.375,0.125,0,1204,26,33,0,0,0
0,7,21,0,7,4,10.414,3.388,86.073,0.125,0,1204,26,33,0,0,0
0,7,21,0,7,4,8.897,3.509,87.469,0.125,0,1204,26,33,0,0,0
0,7,21,0,7,4,9.160,2.672,88.041,0.127,0,1204,26,33,0,0,0
0,7,21,0,8,4,10.932,3.975,85.093,0,0,1204,26,33,0,0,0
0,7,21,0,8,4,9.010,3.173,87.690,0.127,0,1204,26,33,0,0,0
0,7,21,0,8,4,10.013,2.753,87.109,0.125,0,1203,26,33,0,0,0
0,7,21,0,8,4,9.625,4.500,85.750,0.125,0,1205,26,33,0,0,0
0,7,21,0,8,4,9.305,3.226,87.345,0.124,0,1203,26,33,0,0,0
0,7,23,0,8,3,9.750,3.875,86.375,0,0,1204,27,33,0,0,0
0,7,23,0,8,3,9.317,3.478,87.081,0.124,0,1204,27,33,0,0,0
0,7,23,0,7,2,8.228,3.038,88.734,0,0,1204,27,33,0,0,0
0,7,23,0,7,2,9.698,3.652,86.398,0.252,0,1204,27,33,0,0,0
0,7,23,0,7,2,10.804,1.884,87.312,0,0,1204,27,33,0,0,0
0,7,23,0,7,2,9.937,2.264,87.673,0.126,0,1204,27,33,0,0,0
0,7,23,0,8,2,9.661,3.011,87.327,0,0,1204,27,33,0,0,0
0,7,23,0,8,2,9.850,3.242,86.658,0.249,0,1204,27,33,0,0,0
0,7,23,0,8,2,8.532,3.764,87.077,0.627,0,1206,27,33,0,0,0
0,7,23,0,8,2,8.470,3.413,88.116,0,0,1204,27,33,0,0,0
0,7,23,0,7,2,9.488,3.121,87.266,0.125,0,1204,27,33,0,0,0
0,7,23,0,8,2,11.572,3.774,84.654,0,0,1204,27,33,0,0,0
0,7,23,0,8,2,9.661,2.509,87.704,0.125,0,1204,27,33,0,0,0
0,7,23,0,8,2,8.875,5,86,0.125,0,1204,27,33,0,0,0
0,7,23,0,7,2,8.176,3.899,87.925,0,0,1204,27,33,0,0,0
0,7,23,0,7,2,9.601,2.494,87.781,0.125,0,1204,27,33,0,0,0
0,7,23,0,7,2,8.417,3.392,88.065,0.126,0,1204,27,33,0,0,0
0,7,23,0,8,2,9.465,4.110,86.301,0.125,0,1204,27,33,0,0,0
0,7,23,0,8,2,14.070,4.899,80.905,0.126,0,1206,27,33,0,0,0
0,7,23,0,8,2,10.063,2.642,87.296,0,0,1204,27,33,0,0,0
0,7,23,0,8,2,10.657,3.222,85.998,0.124,0,1204,27,33,0,0,0
0,7,23,0,8,2,8.706,4.229,86.940,0.124,0,1204,27,33,0,0,0
0,7,23,0,8,2,8.396,3.383,88.095,0.125,0,1204,27,33,0,0,0
0,7,22,0,9,2,9.649,3.509,86.717,0.125,0,1203,27,33,0,0,0
0,7,22,0,8,2,9.305,4.218,86.352,0.124,0,1203,27,33,0,0,0
0,7,22,0,8,2,11.180,3.106,85.714,0,0,1203,27,33,0,0,0
0,7,22,0,8,2,11.514,2.879,85.482,0.125,0,1203,27,33,0,0,0
0,7,22,0,8,2,9.023,3.258,87.719,0,0,1203,27,33,0,0,0
0,7,22,0,9,2,10.112,3.745,85.768,0.375,0,1205,27,33,0,0,0
0,7,22,0,9,2,8.489,5.868,85.268,0.375,0,1203,27,33,0,0,0
0,7,22,0,9,2,9.826,5.100,84.577,0.498,0,1203,27,33,0,0,0
0,7,22,0,9,2,8.989,5.243,85.268,0.499,0,1203,27,33,0,0,0
0,7,22,0,9,2,11.042,5.459,83.002,0.496,0,1204,27,34,0,0,0
0,7,22,0,10,2,11.772,4.337,83.271,0.620,0,1203,27,33,0,0,0
0,7,22,0,9,2,10.559,5.839,83.354,0.248,0,1203,27,33,0,0,0
0,7,22,0,9,2,9.811,4.528,85.409,0.252,0,1203,27,33,0,0,0
0,7,22,0,9,2,8.989,4.494,86.017,0.499,0,1203,27,33,0,0,0
0,7,22,0,9,2,10.932,5.217,83.478,0.373,0,1207,27,33,0,0,0
0,7,24,0,8,1,10.630,5.933,83.313,0.124,0,1206,28,33,0,0,0
0,7,24,0,8,1,12.110,4.245,83.271,0.375,0,1207,28,36,0,0,0
0,7,24,0,8,1,12.407,4.342,82.630,0.620,0,1207,28,36,0,0,0
0,7,24,0,8,1,11.111,5.556,82.840,0.494,0,1207,28,36,0,0,0
0,7,24,0,8,1,10.930,4.899,83.794,0.377,0,1215,28,36,0,0,0
0,7,24,0,9,1,10,3.750,86.125,0.125,0,1207,28,36,0,0,0
0,7,24,0,9,1,10.723,3.865,85.411,0,0,1204,28,33,0,0,0
0,7,24,0,8,1,11.097,2.868,85.910,0.125,0,1204,28,33,0,0,0
0,7,24,0,8,1,11.321,2.138,86.415,0.126,0,1204,28,33,0,0,0
0,7,24,0,8,1,10.520,4.950,84.406,0.124,0,1204,28,33,0,0,0
0,7,24,0,8,1,9.250,5.625,85,0.125,0,1206,28,33,0,0,0
0,7,24,0,8,1,9.114,5.618,85.268,0,0,1204,28,33,0,0,0
0,7,24,0,8,1,10.100,4.239,85.162,0.499,0,1204,28,33,0,0,0
0,7,24,0,8,1,11.001,3.214,85.661,0.124,0,1204,28,33,0,0,0
0,7,24,0,8,1,10.461,2.740,86.800,0,0,1204,28,33,0,0,0
0,7,24,0,8,1,12.639,3.222,84.015,0.124,0,1204,28,33,0,0,0
0,7,24,0,9,1,11.839,2.519,85.516,0.126,0,1204,28,33,0,0,0
0,7,24,0,9,1,10.781,2.726,86.369,0.124,0,1204,28,33,0,0,0
0,7,24,0,9,1,10.037,5.452,84.511,0,0,1204,28,33,0,0,0
0,7,24,0,8,1,8.908,3.262,87.704,0.125,0,1204,28,33,0,0,0
0,7,24,0,8,1,8.816,3.149,88.035,0,0,1206,28,33,0,0,0
0,7,24,0,8,1,9.080,3.856,86.567,0.498,0,1204,28,33,0,0,0
0,7,24,0,8,1,9.434,2.893,87.547,0.126,0,1204,28,33,0,0,0
0,7,24,0,8,1,11.625,2.125,86.125,0.125,0,1204,28,33,0,0,0
0,7,24,0,8,1,9.698,3.778,86.524,0,0,1204,28,33,0,0,0
0,7,24,0,8,1,9.194,4.030,86.650,0.126,0,1204,28,33,0,0,0
0,7,24,0,9,1,8.872,3.295,87.706,0.127,0,1204,28,33,0,0,0
0,7,22,0,10,2,9.227,3.242,87.406,0.125,0,1203,27,33,0,0,0
0,7,22,0,10,2,8.500,3.500,87.875,0.125,0,1203,27,33,0,0,0
0,7,22,0,9,1,10.263,3.129,86.483,0.125,0,1203,26,33,0,0,0
0,7,22,0,9,1,11.375,2.375,86.250,0,0,1205,26,33,0,0,0
0,7,22,0,9,1,8.989,4.370,86.517,0.125,0,1203,26,33,0,0,0
0,7,22,0,9,1,9.649,3.258,86.967,0.125,0,1203,26,33,0,0,0
0,7,22,0,9,1,10.932,3.851,85.093,0.124,0,1203,26,33,0,0,0
0,7,22,0,9,1,9.686,2.642,87.673,0,0,1203,26,33,0,0,0
0,7,22,0,9,1,8.989,3.496,87.391,0.125,0,1203,26,33,0,0,0
0,7,22,0,9,1,10.388,3.630,85.982,0,0,1203,26,33,0,0,0
0,7,22,0,9,1,11.418,2.133,86.198,0.251,0,1203,26,33,0,0,0
0,7,22,0,10,1,9.446,3.275,87.280,0,0,1203,26,33,0,0,0
0,7,22,0,9,1,10.087,3.238,86.550,0.125,0,1203,26,33,0,0,0
0,7,22,0,9,1,9.560,2.893,87.296,0.252,0,1205,26,33,0,0,0
0,7,22,0,9,1,8.978,3.990,87.032,0,0,1203,26,33,0,0,0
0,7,22,0,9,1,9.738,4.120,86.017,0.125,0,1203,26,33,0,0,0
0,7,22,0,9,1,9.422,2.889,87.563,0.126,0,1203,26,33,0,0,0
0,7,22,0,9,1,11.471,2.743,85.661,0.125,0,1203,26,33,0,0,0
0,7,22,0,8,1,9.913,3.098,86.865,0.124,0,1203,26,33,0,0,0
0,7,22,0,8,1,9.170,4.461,86.245,0.124,0,1203,26,33,0,0,0
0,7,22,0,8,1,9.738,4.120,86.142,0,0,1203,26,33,0,0,0
0,7,22,0,9,1,10.100,4.115,85.661,0.125,0,1203,26,33,0,0,0
0,7,22,0,9,1,10.062,3.106,86.832,0,0,1203,26,33,0,0,0
0,7,22,0,9,1,8.312,3.778,87.783,0.126,0,1205,26,33,0,0,0
0,7,22,0,9,1,11.582,3.487,84.807,0.125,0,1203,26,33,0,0,0
0,7,22,0,8,1,8.428,4.151,87.421,0,0,1203,26,33,0,0,0
0,7,22,0,8,1,9.738,2.622,87.516,0.125,0,1203,26,33,0,0,0
0,7,22,0,8,1,8.647,4.010,87.343,0,0,1203,26,33,0,0,0
0,7,22,0,8,1,8.966,3.861,86.924,0.249,0,1203,26,33,0,0,0
0,7,22,0,7,1,10.214,4.666,85.120,0,0,1203,26,33,0,0,0
0,7,22,0,7,1,9.762,3.004,87.109,0.125,0,1203,26,33,0,0,0
0,7,22,0,7,1,12.500,2.475,85.025,0,0,1203,26,33,0,0,0
0,7,22,0,8,1,10.336,3.985,85.554,0.125,0,1203,26,33,0,0,0
0,7,22,0,8,1,9.296,3.643,86.935,0.126,0,1205,26,33,0,0,0
0,7,22,0,8,1,8.354,3.671,87.975,0,0,1203,26,33,0,0,0
0,7,22,0,8,1,8.270,2.672,88.931,0.127,0,1203,26,33,0,0,0
0,7,22,0,8,1,9.273,3.634,86.967,0.125,0,1203,26,33,0,0,0
0,7,22,0,8,1,10,3,87,0,0,1203,26,33,0,0,0
0,7,22,0,8,1,11.486,2.497,85.893,0.125,0,1203,26,33,0,0,0
0,7,22,0,7,1,9.649,3.885,86.341,0.125,0,1203,26,33,0,0,0
0,7,22,0,7,1,9.340,4.857,85.679,0.125,0,1203,26,33,0,0,0
0,7,22,0,7,1,9.227,3.616,87.157,0,0,1203,26,33,0,0,0
0,7,22,0,7,1,9.182,3.145,87.547,0.126,0,1203,26,33,0,0,0
0,7,22,0,8,1,9.774,4.010,86.090,0.125,0,1205,26,33,0,0,0
0,7,22,1,8,1,9.320,3.778,86.902,0,0,1206,27,33,0,0,0
0,7,22,1,8,1,12.360,1.998,85.518,0.125,0,1206,27,33,0,0,0
0,7,22,1,8,1,8.761,3.379,87.735,0.125,0,1206,27,33,0,0,0
0,7,22,1,8,1,8.712,3.283,88.005,0,0,1206,27,33,0,0,0
0,7,22,1,8,1,10,3.375,86.500,0.125,0,1206,27,33,0,0,0
0,7,22,1,7,1,9.698,3.023,87.154,0.126,0,1206,27,33,0,0,0
0,7,22,1,7,1,10.323,3.731,85.945,0,0,1206,27,33,0,0,0
0,7,22,1,7,1,10.440,3.396,86.038,0.126,0,1206,27,33,0,0,0
0,7,22,1,7,1,12.329,2.615,85.056,0,0,1206,27,33,0,0,0
0,7,22,1,8,1,8.989,3.870,87.016,0.125,0,1208,27,33,0,0,0
0,7,22,1,8,1,9.701,3.856,86.443,0,0,1206,27,33,0,0,0
0,7,22,1,8,1,9.596,3.788,86.490,0.126,0,1211,27,36,0,0,0
0,7,22,1,8,2,9.375,3.625,86.875,0.125,0,1207,28,33,0,0,0
0,7,22,1,8,1,8.965,3.157,87.879,0,0,1206,27,33,0,0,0
0,7,22,1,8,1,10.546,3.722,85.608,0.124,0,1206,27,33,0,0,0
0,7,22,1,7,1,12.296,3.011,84.693,0,0,1206,27,33,0,0,0
0,7,22,1,7,1,8.864,3.496,87.516,0.125,0,1206,27,33,0,0,0
0,7,22,1,6,1,8.875,4.625,86.375,0.125,0,1206,27,33,0,0,0
0,7,22,1,6,1,9.194,2.897,87.909,0,0,1206,27,33,0,0,0
0,7,22,1,6,1,11.235,3.704,84.938,0.123,0,1208,27,33,0,0,0
0,7,22,0,8,1,9.465,4.483,85.928,0.125,0,1203,26,33,0,0,0
0,7,22,0,8,1,10.790,3.513,85.571,0.125,0,1203,26,33,0,0,0
0,7,22,0,8,1,13.241,2.648,84.111,0,0,1203,26,33,0,0,0
0,7,22,0,9,1,9.642,4.079,86.156,0.124,0,1203,26,33,0,0,0
0,7,22,0,8,1,10.189,2.767,86.918,0.126,0,1203,26,33,0,0,0
0,7,22,0,8,1,9.340,3.736,86.924,0,0,1203,26,33,0,0,0
0,7,22,0,8,1,9.285,4.015,86.198,0.502,0,1203,26,33,0,0,0
0,7,22,0,8,1,8.897,4.261,86.717,0.125,0,1203,26,33,0,0,0
0,7,22,0,7,1,9.589,3.985,86.426,0,0,1203,26,33,0,0,0
0,7,22,0,7,1,12.657,2.882,84.336,0.125,0,1205,26,33,0,0,0
0,7,22,0,7,1,9.589,3.861,86.426,0.125,0,1203,26,33,0,0,0
0,7,22,0,8,1,8.619,3.802,87.579,0,0,1203,26,33,0,0,0
0,7,22,0,8,1,9.102,3.990,86.783,0.125,0,1203,26,33,0,0,0
0,7,22,0,8,1,9.625,3.125,87.125,0.125,0,1203,26,33,0,0,0
0,7,22,0,8,1,9.057,3.145,87.673,0.126,0,1203,26,33,0,0,0
0,7,22,0,8,1,9.181,3.970,86.725,0.124,0,1203,26,33,0,0,0
0,7,22,0,8,1,13.300,2.509,84.191,0,0,1203,26,33,0,0,0
0,7,22,0,8,1,8.875,3.375,87.625,0.125,0,1203,26,33,0,0,0
0,7,22,0,7,1,9.045,2.764,88.065,0.126,0,1203,26,33,0,0,0
0,7,22,0,7,1,16.981,3.522,79.497,0,0,1209,26,33,0,0,0
0,7,22,0,7,1,8.500,3.625,87.750,0.125,0,1207,26,33,0,0,0
0,7,22,0,7,1,9.726,3.990,86.160,0.125,0,1207,26,33,0,0,0
0,7,22,0,8,1,9.836,3.026,87.011,0.126,0,1207,26,33,0,0,0
0,7,22,0,8,1,12.563,2.261,85.050,0.126,0,1208,26,33,0,0,0
0,7,22,0,8,1,9.250,3.250,87.500,0,0,1208,26,33,0,0,0
0,7,22,0,8,1,9.114,3.496,87.266,0.125,0,1208,26,33,0,0,0
0,7,22,0,8,1,13.333,6.038,80.503,0.126,0,1225,26,33,0,0,0
0,7,22,0,8,1,15.288,4.261,79.950,0.501,0,1226,26,33,0,0,0
0,7,22,0,7,1,9.741,3.822,86.313,0.123,0,1226,26,33,0,0,0
0,7,22,0,7,1,10.237,3.371,86.392,0,0,1229,26,33,0,0,0
0,7,22,0,7,1,18.953,2.993,77.805,0.249,0,1230,26,36,0,0,0
0,7,22,0,7,1,9.701,3.856,86.443,0,0,1230,26,36,0,0,0
0,7,22,0,8,1,10.723,4.115,85.037,0.125,0,1230,26,36,0,0,0
0,7,22,0,8,1,9,3.750,84.250,3,0,1230,26,36,0,0,0
0,7,22,0,8,1,9.613,3.745,86.517,0.125,0,1230,26,36,0,0,0
0,7,22,0,8,1,9.363,3.745,86.891,0,0,1227,26,33,0,0,0
0,7,22,0,8,1,9.677,3.846,86.352,0.124,0,1227,26,33,0,0,0
0,7,22,0,8,1,13.125,2.250,84.500,0.125,0,1227,26,33,0,0,0
0,7,22,0,8,1,8.908,2.886,88.206,0,0,1227,26,33,0,0,0
0,7,22,0,8,1,10.247,3.580,86.049,0.123,0,1229,26,33,0,0,0
0,7,22,0,7,1,10.388,3.630,85.857,0.125,0,1227,26,33,0,0,0
0,7,22,0,7,1,10.493,3.793,85.588,0.126,0,1227,26,33,0,0,0
0,7,22,0,7,1,8.115,2.996,88.764,0.125,0,1227,26,33,0,0,0
0,7,22,0,8,1,9.548,4.271,86.055,0.126,0,1227,26,33,0,0,0
0,7,22,0,8,1,13.141,2.378,84.355,0.125,0,1227,26,33,0,0,0
0,7,22,0,8,1,9.136,3.880,86.984,0,0,1221,26,33,0,0,0
0,7,22,0,8,1,8.750,4.625,86.500,0.125,0,1211,26,33,0,0,0
0,7,22,0,8,1,9.863,3.246,86.891,0,0,1211,26,33,0,0,0
0,7,22,0,8,1,9.584,3.153,87.137,0.126,0,1211,26,33,0,0,0
0,7,22,0,8,1,9.988,3.246,86.642,0.125,0,1209,26,33,0,0,0
0,7,22,0,8,1,10.125,3.375,86.375,0.125,0,1207,26,33,0,0,0
0,7,22,0,7,1,14.268,3.102,82.630,0,0,1207,26,33,0,0,0
0,7,22,0,7,1,9.814,4.099,85.963,0.124,0,1207,26,33,0,0,0
0,7,22,0,7,1,9.577,4.478,85.821,0.124,0,1206,26,33,0,0,0
0,7,22,0,8,1,10.263,3.254,86.358,0.125,0,1206,26,33,0,0,0
0,7,22,0,8,1,9.799,3.015,87.060,0.126,0,1205,26,33,0,0,0
0,7,22,0,8,1,9.182,3.648,87.044,0.126,0,1205,26,33,0,0,0
0,7,22,0,8,1,9.518,3.585,86.774,0.124,0,1205,26,33,0,0,0
0,7,22,0,8,1,13.574,2.864,83.437,0.125,0,1204,26,33,0,0,0
0,7,22,0,8,1,9.262,3.129,87.610,0,0,1205,26,33,0,0,0
0,7,22,0,8,1,8.978,4.115,86.783,0.125,0,1203,26,33,0,0,0
0,7,22,0,6,1,10.263,3.880,85.732,0.125,0,1203,26,33,0,0,0
0,7,22,0,6,1,9.215,3.238,87.547,0,0,1203,26,33,0,0,0
0,7,22,0,6,1,8.772,3.634,87.469,0.125,0,1203,26,33,0,0,0
0,7,22,0,7,1,10.311,3.478,86.087,0.124,0,1203,26,33,0,0,0
0,7,20,1,7,2,13.500,2.500,84,0,0,1203,26,33,0,0,0
0,7,20,0,7,2,10.546,3.722,85.608,0.124,0,1202,25,33,0,0,0
0,7,20,1,7,2,9.762,3.379,86.859,0,0,1205,25,33,0,0,0
0,7,20,0,7,2,8.603,4.489,86.035,0.873,0,1202,25,33,0,0,0
0,7,20,0,7,2,9.565,3.727,86.708,0,0,1204,25,33,0,0,0
0,7,20,0,7,2,9.434,2.642,87.799,0.126,0,1202,25,33,0,0,0
0,7,20,0,6,2,9.363,3.745,86.767,0.125,0,1202,25,33,0,0,0
0,7,20,0,6,2,12.688,2.889,84.422,0,0,1202,25,33,0,0,0
0,7,20,0,6,2,9.125,3.500,86.875,0.500,0,1202,25,33,0,0,0
0,7,20,0,6,2,9.308,4.403,86.164,0.126,0,1202,25,33,0,0,0
0,7,20,0,6,2,9.057,3.145,87.673,0.126,0,1202,25,33,0,0,0
0,7,20,0,7,2,11.453,3.448,84.975,0.123,0,1202,25,33,0,0,0
0,7,20,0,7,2,9.787,3.137,87.077,0,0,1202,25,33,0,0,0
0,7,20,0,7,2,9.722,3.662,86.490,0.126,0,1202,25,33,0,0,0
0,7,20,0,7,2,13.049,2.760,83.940,0.251,0,1204,25,33,0,0,0
0,7,20,0,7,2,9.011,3.504,87.484,0,0,1202,25,33,0,0,0
0,7,20,0,7,2,9.147,4.079,86.650,0.124,0,1202,25,33,0,0,0
0,7,20,0,7,2,8.207,3.788,87.879,0.126,0,1202,25,33,0,0,0
0,7,20,0,6,2,8.920,2.889,88.191,0,0,1202,25,33,0,0,0
0,7,20,0,6,2,9.080,3.607,87.189,0.124,0,1203,25,33,0,0,0
0,7,20,0,6,2,9.159,2.886,87.829,0.125,0,1203,25,33,0,0,0
0,7,20,0,7,2,13.483,2.622,83.770,0.125,0,1203,25,33,0,0,0
0,7,20,0,7,2,9.553,4.715,85.732,0,0,1203,25,33,0,0,0
0,7,20,1,7,1,9.125,3.375,87.375,0.125,0,1203,25,33,0,0,0
0,7,20,0,8,1,8.831,4.229,86.940,0,0,1204,24,33,0,0,0
0,7,20,0,8,1,8.701,3.279,87.768,0.252,0,1202,24,33,0,0,0
0,7,20,0,8,1,9.836,3.909,86.255,0,0,1202,24,33,0,0,0
0,7,20,0,8,1,10.163,3.262,86.324,0.251,0,1202,24,33,0,0,0
0,7,20,0,8,1,13.283,2.130,84.586,0,0,1202,24,33,0,0,0
0,7,20,0,7,1,8.647,3.133,88.095,0.125,0,1202,24,33,0,0,0
0,7,20,0,7,1,8.500,3.125,88.375,0,0,1202,24,33,0,0,0
0,7,20,0,7,1,9.877,3.827,86.173,0.123,0,1202,24,33,0,0,0
0,7,20,0,8,1,11.111,4.444,84.321,0.123,0,1202,24,33,0,0,0
0,7,20,0,8,1,9.912,3.137,86.951,0,0,1202,24,33,0,0,0
0,7,20,0,8,1,10.625,4.375,84.875,0.125,0,1204,24,33,0,0,0
0,7,20,0,8,1,11.787,1.901,85.932,0.380,0,1203,24,33,0,0,0
0,7,20,0,8,1,14.053,2.886,82.936,0.125,0,1203,24,33,0,0,0
0,7,20,0,8,1,9.250,3.500,87.250,0,0,1203,24,33,0,0,0
0,7,20,0,8,1,9.045,3.266,87.563,0.126,0,1203,24,33,0,0,0
0,7,20,0,7,1,10.114,3.287,86.220,0.379,0,1203,24,33,0,0,0
0,7,20,0,7,1,10,3.125,86.875,0,0,1203,24,33,0,0,0
0,7,20,0,7,1,8.728,3.990,87.157,0.125,0,1203,24,33,0,0,0
0,7,20,0,7,1,13.317,2.638,84.045,0,0,1203,24,33,0,0,0
0,7,20,0,8,1,10.375,3.375,86.125,0.125,0,1203,24,33,0,0,0
0,7,20,0,8,1,9.068,3.149,87.531,0.252,0,1205,24,33,0,0,0
0,7,20,0,8,1,9.011,4.756,85.732,0.501,0,1203,24,33,0,0,0
0,7,20,0,8,1,9.352,3.242,87.406,0,0,1203,24,33,0,0,0
0,7,20,0,8,1,9.512,3.755,86.608,0.125,0,1203,24,33,0,0,0
0,7,20,0,8,1,9.673,2.889,87.060,0.377,0,1202,24,33,0,0,0
0,7,20,0,7,1,12.547,2.857,84.472,0.124,0,1202,24,33,0,0,0
0,7,20,0,7,1,9.774,3.885,86.341,0,0,1202,24,33,0,0,0
