"Dstat 1.1.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dool/cpu_fs_io_vm.csv --cpu --fs --io --vm 1 600",,,,"Date:","23 Mar 2023 13:42:08 -03"
"total cpu usage",,,,,"filesystem",,"io/total",,"virtual memory",,,
9.011,3.379,87.610,0,0,14080,182385,0,0,0,253,744,1046
10.237,3.496,85.893,0.375,0,14112,182384,0,24,0,1540,2290,3592
8.978,6.110,84.539,0.374,0,14112,182356,377,484,0,1692,3797,9137
9.762,4.631,85.106,0.501,0,14112,182357,563,12,0,924,1700,1302
9.091,5.604,84.807,0.498,0,14112,182356,470,74,0,273,1082,1357
10.644,5.446,83.416,0.495,0,14080,182378,564,12,0,1413,2375,4594
12.065,4.229,83.085,0.622,0,14080,182392,1034,22,0,8206,10733,6038
10.111,6.042,83.600,0.247,0,14080,182395,376,94,0,2009,3332,2724
10.202,4.534,85.013,0.252,0,14080,182394,282,6,0,447,1520,2031
9.262,4.380,85.857,0.501,0,14080,182365,377,88,0,243,1000,1713
10.657,4.833,84.139,0.372,0,14080,182365,375,8,0,365,927,1164
10.247,6.296,83.333,0.123,0,14112,182370,188,4,0,1568,3586,3421
12.437,4.020,83.291,0.251,0,14144,182898,283,54,0,3250,7988,28785
12.871,4.579,81.931,0.619,0,14144,182902,939,20,0,897,2349,1476
10.781,5.576,83.147,0.496,0,14080,182918,564,142,0,6345,7994,5600
10.289,4.768,84.442,0.502,0,14080,182922,564,12,0,7238,8107,1369
10.375,4,85.500,0.125,0,14112,182889,0,0,0,1933,2593,3376
10.959,3.861,85.181,0,0,14080,182887,0,162,0,1548,3126,3082
11.097,2.868,85.910,0.125,0,14112,182890,2,0,1,1844,2660,7425
11.167,2.133,86.575,0.125,0,14080,182912,0,18,0,1510,2339,1358
11.262,4.703,83.911,0.124,0,14080,181806,0,0,0,519,1630,3054
8.365,5.618,85.893,0.125,0,14080,181816,0,66,0,7373,9375,5089
9.398,5.890,84.712,0,0,14048,181817,0,1996,0,1652,4708,6566
10.087,4.359,85.056,0.498,0,14080,181789,382,38,0,1003,1765,2047
10.891,2.847,86.139,0.124,0,14048,181839,0,0,0,391,1481,2088
10.710,2.740,86.550,0,0,14048,182031,0,0,0,1141,5934,2349
12.237,3.461,84.178,0.124,0,14080,182042,0,0,0,2240,4645,6166
12.060,2.513,85.302,0.126,0,14112,182043,0,328,0,1827,4487,3404
10.670,2.730,86.476,0.124,0,14144,182037,0,20,0,1428,1990,1653
9.726,4.988,85.287,0,0,14080,183079,0,0,0,41856,64545,37238
9.601,3.741,86.534,0.125,0,14080,183075,0,0,0,768,945,3062
9.068,2.897,88.035,0,0,14080,183079,0,0,0,900,1381,2667
8.809,4.094,86.600,0.496,0,14048,183074,0,80,0,2189,3894,4558
9.206,3.026,87.642,0.126,0,14048,183096,0,74,0,2094,3836,2959
11.292,1.882,86.700,0.125,0,14048,183103,0,0,0,711,1834,1027
9.673,3.643,86.683,0,0,14080,183103,0,0,0,293,1506,1460
9.811,4.025,86.038,0.126,0,14112,183116,0,0,0,5878,8401,4721
7.975,3.418,88.608,0,0,14112,183084,0,0,0,2866,3630,4084
10.237,3.371,86.142,0.250,0,14080,183085,0,480,0,1824,4054,3911
8,3.500,88.375,0.125,0,14080,183085,0,26,0,743,1199,1326
10.289,3.137,86.449,0.125,0,14080,183106,0,28,0,2243,3562,3928
11.389,2.128,86.483,0,0,14112,183112,0,0,0,610,1751,1152
8.761,4.255,86.859,0.125,0,14048,183112,0,0,0,3214,3742,5580
9.625,3.500,86.750,0.125,0,14048,183112,0,50,0,437,1018,977
11.180,3.975,84.720,0.124,0,14080,183140,0,0,0,6064,7874,17634
9.686,2.390,87.925,0,0,14048,183094,0,0,0,269,820,1257
9.114,3.620,87.141,0.125,0,14048,183096,0,4,0,650,1588,938
10.474,3.741,85.786,0,0,14112,183117,0,0,0,4133,4987,5460
11.069,2.013,86.667,0.252,0,14080,183120,0,156,0,1244,3363,2647
9.355,3.034,87.611,0,0,14048,183121,0,0,0,237,789,784
10.087,3.238,86.550,0.125,0,14048,183098,0,0,0,465,1034,1575
9.774,3.008,86.967,0.251,0,14048,183098,0,90,0,1364,3137,2311
8.761,4.005,87.234,0,0,14080,183106,0,0,0,2889,3629,6045
9.701,4.229,85.945,0.124,0,14080,183106,0,94,0,361,1809,1967
9.887,3.129,86.859,0.125,0,14048,183130,0,0,0,901,1639,1330
11.153,2.381,86.341,0.125,0,14016,183134,8,64,1,858,1914,1104
9.801,3.102,86.973,0.124,0,14016,183134,0,32,0,269,788,730
9.565,4.472,85.839,0.124,0,14080,183134,0,0,0,2787,3606,3454
9.352,4.115,86.534,0,0,14016,181996,0,132,0,998,2129,32572
10.546,4.218,85.112,0.124,0,14016,182006,0,0,0,6822,8483,1981
9.801,3.226,86.973,0,0,14048,182006,0,0,0,312,805,1119
8.438,3.778,87.657,0.126,0,14048,182030,0,32,0,1088,2161,1650
11.875,3.250,84.750,0.125,0,14080,182039,0,0,0,2599,3682,2895
8.156,4.391,87.453,0,0,14048,182032,0,2246,0,1548,3796,3841
9.500,2.750,87.625,0.125,0,14048,182032,0,0,0,212,692,695
9.011,3.880,87.109,0,0,14016,182006,0,0,0,201,1103,1283
8.989,3.620,87.141,0.250,0,14016,182006,0,50,0,5986,7749,4662
9.698,4.156,86.146,0,0,14080,183074,0,0,0,38571,59828,30995
10.112,3.870,85.893,0.125,0,14080,183097,0,104,0,2908,4697,4094
11.955,2.117,85.928,0,0,14048,183103,0,0,0,556,1806,1646
10.572,3.980,85.323,0.124,0,14048,183102,0,0,0,443,843,1065
9.182,3.899,86.792,0.126,0,14080,183101,0,22,0,236,1010,1098
8.712,3.283,88.005,0,0,14112,183072,0,0,0,1502,2095,3007
8.354,3.165,88.354,0.127,0,14080,183028,0,476,0,1658,3504,3892
9.068,3.275,87.531,0.126,0,14112,183087,0,0,0,9268,10586,10489
10.336,3.238,86.426,0,0,14080,183109,0,0,0,1692,2392,1401
11.375,2.500,86,0.125,0,14112,183114,0,26,0,1300,2480,1249
9.148,3.885,86.842,0.125,0,14048,183111,0,0,0,7381,7957,2303
9.963,4.110,85.928,0,0,14048,183112,0,0,0,1930,2964,3602
8.500,4.125,87.250,0.125,0,14048,183083,6,72,1,497,1456,2740
9.649,3.133,87.093,0.125,0,14048,183037,0,0,0,204,731,1057
9.446,4.030,86.398,0.126,0,14048,183087,0,16,0,5671,8100,11045
9.774,4.010,86.216,0,0,14080,183120,0,0,0,2297,3051,12094
12.125,2,85.750,0.125,0,14048,183126,0,0,0,2445,3569,2703
8.794,3.015,88.065,0.126,0,14048,183126,0,44,0,214,1362,1179
8.805,3.648,87.547,0,0,14048,183098,0,0,0,241,876,2664
10.163,3.262,86.449,0.125,0,14048,183098,0,74,0,815,1345,1109
9.774,3.133,86.967,0.125,0,14048,183098,0,0,0,2622,3730,3562
9.850,3.491,86.658,0,0,14080,183098,0,0,0,2203,2841,3037
10.579,3.149,86.146,0.126,0,14016,183155,0,42,0,6746,9715,19766
12.515,2.974,84.511,0,0,14048,183137,0,0,0,947,2207,13862
8.772,4.010,87.093,0.125,0,14048,183137,0,30,0,572,1041,1499
9.714,3.736,86.550,0,0,14048,183108,0,0,0,1910,2496,2722
9.686,3.774,86.415,0.126,0,14048,183109,0,0,0,1602,3309,3209
9.512,3.880,86.483,0.125,0,14048,183108,0,180,0,301,1789,1969
8.976,3.034,87.990,0,0,14048,183108,0,0,0,311,1261,1734
9.901,3.589,86.386,0.124,0,14048,182000,0,38,0,1307,3419,6800
12.798,3.137,84.065,0,0,14112,182037,0,0,0,2762,4163,2698
9.398,3.383,87.093,0.125,0,14080,182036,0,0,0,1947,2449,2513
8.125,4.500,87.250,0.125,0,14080,182008,0,2126,0,216,3052,3628
9.799,3.141,87.060,0,0,14048,182009,0,0,0,211,1119,998
10.546,3.474,85.856,0.124,0,14048,182021,0,46,0,201,1789,2474
9.726,4.364,85.786,0.125,0,14048,182014,0,0,0,1993,2868,2365
10,3.750,86.125,0.125,0,14048,182005,0,18,0,1950,2565,2362
14.088,2.767,83.145,0,0,15616,183098,0,146,0,25150,46992,25015
9.565,3.602,86.708,0.124,0,14048,183104,0,0,0,17067,19490,1796
10.013,3.129,86.733,0.125,0,14048,183103,0,0,0,325,710,820
9.465,3.985,86.550,0,0,14080,183074,0,0,0,1521,2055,2833
9.285,3.764,86.449,0.502,0,14016,183076,0,42,0,2001,3081,2688
8.761,4.005,87.109,0.125,0,14048,183075,0,438,0,192,1807,1855
9.726,4.115,86.160,0,0,14048,183075,0,0,0,5793,6168,2984
12.641,3.129,84.105,0.125,0,14048,183103,0,42,0,7450,9946,5488
9.488,3.995,86.392,0.125,0,14048,183113,0,0,0,2274,3059,13292
8.861,3.544,87.595,0,0,14016,183113,0,0,0,1663,2333,6372
9.387,3.880,86.608,0.125,0,14048,183085,0,76,0,366,1811,7738
9.488,3.246,87.141,0.125,0,14048,183085,0,0,0,753,1255,2379
9.262,3.129,87.484,0.125,0,14048,183086,0,22,0,527,1082,918
8.511,3.630,87.735,0.125,0,14016,183086,0,34,0,1522,2156,3246
13.250,2.875,83.875,0,0,14048,183113,0,0,0,3990,5303,13804
9.750,3.625,86.500,0.125,0,14080,183123,0,34,0,2132,4184,14308
8.521,2.632,88.722,0.125,0,14048,183124,0,0,0,246,869,740
16.730,3.396,79.874,0,0,14080,183164,0,0,0,9030,13174,5546
9.023,3.759,87.093,0.125,0,14112,183163,0,18,0,1711,2329,2707
9.352,3.741,86.783,0.125,0,14112,183148,0,12,0,1826,2385,4874
9.937,3.270,86.667,0.126,0,14080,183148,0,0,0,263,955,1609
12.091,2.141,85.642,0.126,0,14112,183174,0,54,0,1573,3541,2673
9.500,3.250,87.250,0,0,14112,183163,0,0,0,1023,2499,4391
9.714,3.736,86.426,0.125,0,14112,183173,0,0,0,1770,2392,2125
13.191,5.653,81.156,0,0,14080,183327,0,52,0,38822,40495,26049
14.894,4.255,80.225,0.626,0,14080,183303,0,400,0,30082,35448,31356
9.926,3.970,85.980,0.124,0,14112,183302,0,248,0,4127,7996,12737
10.474,3.491,86.035,0,0,14112,183309,0,0,0,997,1512,1596
19.303,2.864,77.584,0.249,0,14144,183338,0,158,0,28663,33187,32622
9.068,3.851,87.081,0,0,14144,183340,0,0,0,3481,4677,3996
9.863,4.120,85.893,0.125,0,14176,182231,2,0,1,8109,11003,12377
9.900,3.759,83.333,3.008,0,14208,182213,0,368,0,1102,4251,4473
9.305,3.846,86.725,0.124,0,14176,182214,0,0,0,766,1405,3686
9.045,3.266,87.688,0,0,14144,182210,0,40,0,248,1069,1182
10.161,4.213,85.502,0.124,0,14112,182207,0,14,0,3246,3942,4148
12.951,2.242,84.682,0.125,0,14144,182235,0,0,0,1348,2669,3701
8.723,2.781,88.496,0,0,14176,182237,0,18,0,677,1287,1227
10.468,3.695,85.714,0.123,0,14176,182237,0,0,0,6064,7709,10738
10.638,3.630,85.607,0.125,0,14240,183306,0,64,0,42961,64535,26373
10.063,3.899,85.912,0.126,0,14176,183282,0,0,0,3935,5150,5371
8.783,2.886,88.206,0.125,0,14176,183281,0,172,0,899,2442,2082
8.772,4.386,86.717,0.125,0,14208,183281,0,628,0,324,3062,6964
13.483,2.497,83.895,0.125,0,14176,183308,0,70,0,1338,2728,8295
9.057,2.767,88.176,0,0,14208,183308,0,0,0,241,748,1091
8.728,5.486,85.661,0.125,0,14112,183150,0,0,0,3404,4136,14272
10.013,3.379,86.608,0,0,14080,183120,0,0,0,6166,7769,4576
9.649,3.133,87.093,0.125,0,14112,183130,0,96,0,496,1942,4316
9.774,3.133,86.967,0.125,0,14080,183074,0,92,0,294,939,3715
10.250,3.250,86.375,0.125,0,14048,183076,0,0,0,686,1404,3558
14.428,3.109,82.463,0,0,14080,183103,0,0,0,9704,11568,6011
9.465,4.110,86.301,0.125,0,14080,183101,0,40,0,1348,2595,1878
9.689,4.099,86.087,0.124,0,14112,183100,0,40,0,221,1800,5750
10.138,3.755,85.982,0.125,0,14112,183102,0,0,0,4830,6617,5642
10.100,3.242,86.658,0,0,14112,183083,0,0,0,805,1337,1757
9.824,3.652,86.272,0.252,0,14080,183089,0,120,0,3112,3772,3156
8.479,3.117,88.279,0.125,0,14080,183082,0,0,0,383,1164,2246
13.896,3.226,82.754,0.124,0,14048,183110,0,190,0,1948,4066,10157
9.238,3.121,87.640,0,0,14016,183105,0,0,0,227,712,1802
9.273,3.634,86.967,0.125,0,14048,183103,0,0,0,356,771,1478
9.938,4.099,85.839,0.124,0,14048,183075,0,18,0,1586,2204,3479
9.352,3.491,87.157,0,0,14112,183077,0,0,0,7605,9490,4847
8.816,3.149,87.909,0.126,0,14080,183086,0,26,0,745,1373,1290
10.260,3.956,85.661,0.124,0,14080,183087,0,82,0,302,1791,1995
13.358,2.372,84.270,0,0,14080,183115,0,0,0,2388,3719,2093
10.349,3.616,85.910,0.125,0,14112,183114,0,0,0,1943,2658,2770
10.087,3.611,86.301,0,0,14112,183116,0,0,0,1479,2057,2148
8.407,4.141,86.575,0.878,0,14112,181974,0,42,0,503,1229,34451
9.328,3.856,86.816,0,0,14080,181974,0,294,0,5815,8138,3800
9.738,2.871,87.266,0.125,0,14080,181985,0,0,0,1177,1820,1359
9.500,3.750,86.625,0.125,0,14048,181985,0,0,0,1516,2073,2282
12.704,2.893,84.403,0,0,14048,182013,0,0,0,2628,3927,3381
9.011,3.379,87.109,0.501,0,14048,182012,0,46,0,702,1278,800
9.285,4.517,86.073,0.125,0,14080,182013,0,1822,0,219,2512,2383
8.942,3.149,87.783,0.126,0,14048,181984,14,0,1,632,836,1863
11.700,3.571,84.606,0.123,0,14016,181985,0,0,0,2192,2913,2409
10.163,2.886,86.951,0,0,14048,181985,0,0,0,7675,9375,6518
9.241,3.544,87.089,0.127,0,14048,183056,0,26,0,35706,57804,49243
12.907,2.882,83.960,0.251,0,14080,183083,0,540,0,733,3559,3230
9.352,3.491,87.157,0,0,14112,183083,0,0,0,340,695,847
8.955,3.856,87.065,0.124,0,14048,183083,0,50,0,1995,2628,2428
8.636,4.130,87.109,0.125,0,14080,183056,0,0,0,1475,2190,5532
8.449,2.900,88.651,0,0,14080,183054,0,0,0,290,816,1624
9.352,3.616,86.908,0.125,0,14080,183054,0,84,0,6514,8632,7306
8.668,2.638,88.568,0.126,0,14048,183064,0,0,0,857,1362,1666
13.358,2.871,83.645,0.125,0,14112,183095,0,22,0,2705,4360,4466
9.926,4.218,85.856,0,0,14048,183094,0,0,0,1737,2171,2992
9.227,3.741,86.908,0.125,0,14048,183093,0,0,0,366,703,807
9.102,3.865,87.032,0,0,14016,183065,0,172,0,249,1843,2811
8.931,3.522,87.296,0.252,0,14016,183065,0,46,0,221,991,875
9.410,4.266,86.324,0,0,14016,183064,0,0,0,1993,2549,2457
9.937,2.893,86.918,0.252,0,14080,183066,0,270,0,8654,10364,17694
13.283,2.256,84.461,0,0,14048,183104,0,0,0,2192,3521,2660
8.657,3.262,87.955,0.125,0,14048,183105,0,42,0,327,1364,1432
9.011,3.004,87.985,0,0,14080,183105,0,0,0,234,982,1215
9.642,3.956,86.279,0.124,0,14048,183074,0,0,0,2282,2666,2769
10.507,4.079,85.290,0.124,0,14080,183074,0,16,0,1550,2317,4658
10.638,3.254,86.108,0,0,14048,183077,0,0,0,1792,2872,2231
10.212,4.483,85.181,0.125,0,14016,183077,0,56,0,6884,9202,6517
12.310,2.030,85.279,0.381,0,14016,183116,0,214,0,2269,3812,4851
13.836,2.893,83.145,0.126,0,14048,183114,0,0,0,3000,4229,3486
9.011,3.504,87.484,0,0,14048,183115,0,0,0,1494,2117,2400
9.148,3.258,87.469,0.125,0,14048,183086,0,0,0,265,1282,2390
9.962,3.026,86.759,0.252,0,14048,183086,0,0,0,1052,2384,1703
10.025,3.133,86.717,0.125,0,14048,183087,0,88,0,247,1506,1785
9.476,4.364,86.035,0.125,0,14048,181977,0,0,0,1607,2229,5030
12.798,2.635,84.567,0,0,14016,182004,0,0,0,7368,9929,6274
9.937,3.145,86.792,0.126,0,14048,182015,0,34,0,453,1093,1015
9.387,3.254,87.109,0.250,0,14016,182017,0,58,0,299,994,1181
9.422,4.774,85.302,0.503,0,14016,181989,0,1022,0,496,3925,5975
9.215,3.238,87.547,0,0,14080,181986,0,0,0,2407,3495,3864
9.375,3.750,86.750,0.125,0,14048,181986,0,0,0,2075,2223,2637
9.698,2.771,87.154,0.378,0,14048,181986,0,150,0,356,2102,1867
12.639,2.974,84.263,0.124,0,14080,182015,0,0,0,7266,9983,2676
9.512,3.504,86.984,0,0,14112,182016,0,502,0,346,1750,2279
9.875,4.500,85.500,0.125,0,14080,183084,0,0,0,37556,58947,23950
9.838,3.611,86.550,0,0,14112,183056,0,0,0,1563,2239,2700
9.476,3.865,86.534,0.125,0,14080,183058,0,38,0,297,1217,1262
9.913,3.841,86.245,0,0,14080,183057,0,0,0,295,790,885
8.313,4.839,86.725,0.124,0,14080,183056,0,228,0,415,1562,1932
13.806,2.985,83.085,0.124,0,14016,183084,0,36,0,1973,3585,6182
9.542,3.470,86.865,0.124,0,14048,183083,0,0,0,5793,7513,5552
10.298,3.350,86.104,0.248,0,14080,183093,0,96,0,996,1994,1379
9.285,3.764,86.951,0,0,14080,183094,8,0,1,748,955,3539
9.912,3.639,86.324,0.125,0,14048,183066,0,128,0,257,1987,2502
10.578,3.813,85.486,0.123,0,13984,183070,0,0,0,1702,1988,1599
9.542,3.717,86.741,0,0,14048,183065,0,0,0,2140,2981,3399
13.233,2.247,84.270,0.250,0,14048,183093,0,166,0,1640,2945,2430
11.139,3.837,84.901,0.124,0,14048,183095,0,0,0,5598,7424,5433
8.772,2.757,88.346,0.125,0,14016,183095,0,74,0,198,1703,2081
8.365,3.496,88.140,0,0,14048,183104,0,0,0,641,1169,2146
9.273,4.637,86.090,0,0,14048,183075,0,0,0,2945,3435,4001
10.319,3.563,85.872,0.246,0,14016,183077,0,32,0,208,1167,981
10.435,2.981,86.584,0,0,14016,183074,0,0,0,226,727,1086
13.789,2.484,83.602,0.124,0,14016,183102,0,24,0,1099,2480,4557
10.212,3.736,86.052,0,0,14016,183104,0,0,0,1267,1590,1083
10.037,4.461,85.378,0.124,0,14016,183104,0,0,0,8732,10529,7667
10.851,3.206,85.943,0,0,13984,183112,0,34,0,247,834,1147
9.665,3.594,86.617,0.124,0,13984,183084,0,0,0,201,715,1273
10.533,4.337,85.006,0.124,0,13952,183086,0,82,0,381,1923,2144
10.050,3.350,86.600,0,0,13984,183087,0,0,0,741,1214,1129
12.702,2.989,84.309,0,0,14048,183112,0,0,0,3563,5048,6490
10.311,2.857,86.708,0.124,0,14048,183109,0,0,0,197,786,1023
9.789,3.965,86.121,0.124,0,14080,182000,0,24,0,5911,7551,8717
9.542,3.470,86.865,0.124,0,14080,182001,0,310,0,220,1858,1828
10.701,3.321,85.978,0,0,14048,182010,0,0,0,1188,1660,1205
9.046,4.337,86.493,0.124,0,14048,181983,0,30,0,2817,3722,7028
8.864,3.620,87.266,0.250,0,14080,181984,0,128,0,376,1458,1355
12.406,2.130,85.338,0.125,0,14080,182011,0,0,0,1546,2520,1706
10.894,4.162,84.945,0,0,14080,182014,0,0,0,201,812,1392
8.820,3.975,87.081,0.124,0,14048,182015,0,974,0,341,2977,2632
9.838,4.732,85.305,0.125,0,14080,182022,0,0,0,10110,11570,5562
9.317,3.975,86.584,0.124,0,14048,183083,0,22,0,36405,58171,22223
10.383,3.214,86.403,0,0,14048,183055,0,0,0,214,706,1266
10.111,3.329,86.436,0.123,0,14048,183053,0,0,0,201,829,722
