"Dstat 1.1.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dool/fs.csv --bytes --time --fs 1 600",,,,"Date:","23 Mar 2023 13:32:03 -03"
"system","filesystem",
Mar-23 13:36:01,14240,180844
Mar-23 13:36:02,14240,180844
Mar-23 13:36:03,14208,180868
Mar-23 13:36:04,14144,180869
Mar-23 13:36:05,14144,180866
Mar-23 13:36:06,14144,180866
Mar-23 13:36:07,14208,181908
Mar-23 13:36:08,14208,181950
Mar-23 13:36:09,14144,181954
Mar-23 13:36:10,14176,181978
Mar-23 13:36:11,14176,181913
Mar-23 13:36:12,14208,181913
Mar-23 13:36:13,14176,181913
Mar-23 13:36:14,14176,181895
Mar-23 13:36:15,14176,181895
Mar-23 13:36:16,14144,181942
Mar-23 13:36:17,14144,181965
Mar-23 13:36:18,14112,181969
Mar-23 13:36:19,14144,181912
Mar-23 13:36:20,14176,181884
Mar-23 13:36:21,14144,181884
Mar-23 13:36:22,14112,181893
Mar-23 13:36:23,14144,181935
Mar-23 13:36:24,14080,181963
Mar-23 13:36:25,14112,181966
Mar-23 13:36:26,14080,181881
Mar-23 13:36:27,14112,181881
Mar-23 13:36:28,14080,181853
Mar-23 13:36:29,14080,181867
Mar-23 13:36:30,14080,181871
Mar-23 13:36:31,14112,181936
Mar-23 13:36:32,14080,181940
Mar-23 13:36:33,14080,181939
Mar-23 13:36:34,14048,180802
Mar-23 13:36:35,14048,180802
Mar-23 13:36:36,14080,180803
Mar-23 13:36:37,14080,180815
Mar-23 13:36:38,14112,180767
Mar-23 13:36:39,14144,180799
Mar-23 13:36:40,14144,180799
Mar-23 13:36:41,14112,180770
Mar-23 13:36:42,14112,180770
Mar-23 13:36:43,14112,180771
Mar-23 13:36:44,15648,181837
Mar-23 13:36:45,14080,181865
Mar-23 13:36:46,14144,181915
Mar-23 13:36:47,14144,181915
Mar-23 13:36:48,14112,181915
Mar-23 13:36:49,14080,181888
Mar-23 13:36:50,14112,181887
Mar-23 13:36:51,14080,181889
Mar-23 13:36:52,14112,181922
Mar-23 13:36:53,14144,181927
Mar-23 13:36:54,14112,181972
Mar-23 13:36:55,14112,181944
Mar-23 13:36:56,14112,181946
Mar-23 13:36:57,14112,181946
Mar-23 13:36:58,14080,181943
Mar-23 13:36:59,14112,181978
Mar-23 13:37:00,14112,181979
Mar-23 13:37:01,14080,182026
Mar-23 13:37:02,14080,182027
Mar-23 13:37:03,14080,181999
Mar-23 13:37:04,14080,181999
Mar-23 13:37:05,14080,181996
Mar-23 13:37:06,14112,182020
Mar-23 13:37:07,14080,182034
Mar-23 13:37:08,14080,182034
Mar-23 13:37:09,14112,182052
Mar-23 13:37:10,14112,182052
Mar-23 13:37:11,14112,182052
Mar-23 13:37:12,14144,182054
Mar-23 13:37:13,14112,180967
Mar-23 13:37:14,14144,180971
Mar-23 13:37:15,14112,180980
Mar-23 13:37:16,14080,180940
Mar-23 13:37:17,14080,180913
Mar-23 13:37:18,14080,180912
Mar-23 13:37:19,14144,180914
Mar-23 13:37:20,14112,180937
Mar-23 13:37:21,14112,180943
Mar-23 13:37:22,14112,182012
Mar-23 13:37:23,14144,181983
Mar-23 13:37:24,14112,182029
Mar-23 13:37:25,14080,182029
Mar-23 13:37:26,14080,182029
Mar-23 13:37:27,14112,182052
Mar-23 13:37:28,14112,182055
Mar-23 13:37:29,14080,182056
Mar-23 13:37:30,14080,182065
Mar-23 13:37:31,14080,182083
Mar-23 13:37:32,14112,182083
Mar-23 13:37:33,14112,182085
Mar-23 13:37:34,14112,182109
Mar-23 13:37:35,14112,182112
Mar-23 13:37:36,14112,182112
Mar-23 13:37:37,14112,182123
Mar-23 13:37:38,14080,182094
Mar-23 13:37:39,14080,182140
Mar-23 13:37:40,14080,182140
Mar-23 13:37:41,14048,182163
Mar-23 13:37:42,14016,182167
Mar-23 13:37:43,14048,182167
Mar-23 13:37:44,14080,182168
Mar-23 13:37:45,14080,182177
Mar-23 13:37:46,14080,182197
Mar-23 13:37:47,14048,182198
Mar-23 13:37:48,14048,182220
Mar-23 13:37:49,14016,182224
Mar-23 13:37:50,14080,181111
Mar-23 13:37:51,14112,181111
Mar-23 13:37:52,14112,181085
Mar-23 13:37:53,14112,181039
Mar-23 13:37:54,14112,181088
Mar-23 13:37:55,14112,181110
Mar-23 13:37:56,14112,181116
Mar-23 13:37:57,14112,181117
Mar-23 13:37:58,14112,181088
Mar-23 13:37:59,14112,181087
Mar-23 13:38:00,14048,182163
Mar-23 13:38:01,14048,182140
Mar-23 13:38:02,14080,182162
Mar-23 13:38:03,14080,182167
Mar-23 13:38:04,14112,182167
Mar-23 13:38:05,14112,182133
Mar-23 13:38:06,14112,182134
Mar-23 13:38:07,14112,182144
Mar-23 13:38:08,14176,182146
Mar-23 13:38:09,14112,182214
Mar-23 13:38:10,14112,182171
Mar-23 13:38:11,14112,182173
Mar-23 13:38:12,14080,182173
Mar-23 13:38:13,14080,182145
Mar-23 13:38:14,14112,182145
Mar-23 13:38:15,14112,182109
Mar-23 13:38:16,14144,182178
Mar-23 13:38:17,14144,182183
Mar-23 13:38:18,14144,182184
Mar-23 13:38:19,14144,182183
Mar-23 13:38:20,14144,182155
Mar-23 13:38:21,14112,182154
Mar-23 13:38:22,14112,182166
Mar-23 13:38:23,14080,182187
Mar-23 13:38:24,14112,182239
Mar-23 13:38:25,14112,182193
Mar-23 13:38:26,14080,182166
Mar-23 13:38:27,14048,182166
Mar-23 13:38:28,14048,181057
Mar-23 13:38:29,14048,181057
Mar-23 13:38:30,14080,181088
Mar-23 13:38:31,14080,181053
Mar-23 13:38:32,14080,181053
Mar-23 13:38:33,14080,181053
Mar-23 13:38:34,14080,181025
Mar-23 13:38:35,14080,181027
Mar-23 13:38:36,14080,181027
Mar-23 13:38:37,14112,181061
Mar-23 13:38:38,14048,182126
Mar-23 13:38:39,13984,182176
Mar-23 13:38:40,14016,182145
Mar-23 13:38:41,14048,182144
Mar-23 13:38:42,14048,182144
Mar-23 13:38:43,14048,182146
Mar-23 13:38:44,14080,182168
Mar-23 13:38:45,14048,182182
Mar-23 13:38:46,14080,182228
Mar-23 13:38:47,14080,182228
Mar-23 13:38:48,14080,182229
Mar-23 13:38:49,14048,182202
Mar-23 13:38:50,14016,182203
Mar-23 13:38:51,14048,182224
Mar-23 13:38:52,14048,182229
Mar-23 13:38:53,14080,182242
Mar-23 13:38:54,14144,182257
Mar-23 13:38:55,14144,182257
Mar-23 13:38:56,14112,182257
Mar-23 13:38:57,14112,182258
Mar-23 13:38:58,14112,182269
Mar-23 13:38:59,14048,182275
Mar-23 13:39:00,14080,182284
Mar-23 13:39:01,14080,182337
Mar-23 13:39:02,14112,182309
Mar-23 13:39:03,14112,182308
Mar-23 13:39:04,14144,182310
Mar-23 13:39:05,14144,182331
Mar-23 13:39:06,14112,182341
Mar-23 13:39:07,14112,181226
Mar-23 13:39:08,14112,181236
Mar-23 13:39:09,14112,181206
Mar-23 13:39:10,14144,181205
Mar-23 13:39:11,14144,181205
Mar-23 13:39:12,14144,181227
Mar-23 13:39:13,14080,181232
Mar-23 13:39:14,14112,181232
Mar-23 13:39:15,14048,182302
Mar-23 13:39:16,14080,182275
Mar-23 13:39:17,14112,182275
Mar-23 13:39:18,14112,182276
Mar-23 13:39:19,14112,182299
Mar-23 13:39:20,14144,182304
Mar-23 13:39:21,14112,182303
Mar-23 13:39:22,14144,182303
Mar-23 13:39:23,14144,182285
Mar-23 13:39:24,14112,182285
Mar-23 13:39:25,14112,182286
Mar-23 13:39:26,14112,182307
Mar-23 13:39:27,14144,182312
Mar-23 13:39:28,14112,182311
Mar-23 13:39:29,14080,182311
Mar-23 13:39:30,14112,182293
Mar-23 13:39:31,14144,182293
Mar-23 13:39:32,14112,182293
Mar-23 13:39:33,14080,182315
Mar-23 13:39:34,14080,182320
Mar-23 13:39:35,14080,182319
Mar-23 13:39:36,14112,182320
Mar-23 13:39:37,14144,182292
Mar-23 13:39:38,14112,182303
Mar-23 13:39:39,14080,182307
Mar-23 13:39:40,14112,182329
Mar-23 13:39:41,14144,182333
Mar-23 13:39:42,14080,182332
Mar-23 13:39:43,14080,182332
Mar-23 13:39:44,14048,181222
Mar-23 13:39:45,14080,181118
Mar-23 13:39:46,14112,181164
Mar-23 13:39:47,14080,181186
Mar-23 13:39:48,14080,181192
Mar-23 13:39:49,14080,181192
Mar-23 13:39:50,14080,181189
Mar-23 13:39:51,14080,181161
Mar-23 13:39:52,14080,181163
Mar-23 13:39:53,14144,182233
Mar-23 13:39:54,14144,182302
Mar-23 13:39:55,14144,182307
Mar-23 13:39:56,14144,182306
Mar-23 13:39:57,14176,182306
Mar-23 13:39:58,14080,182280
Mar-23 13:39:59,14080,182281
Mar-23 13:40:00,14112,182298
Mar-23 13:40:01,14080,182365
Mar-23 13:40:02,14048,182367
Mar-23 13:40:03,14080,182368
Mar-23 13:40:04,14048,182368
Mar-23 13:40:05,14048,182337
Mar-23 13:40:06,14112,182337
Mar-23 13:40:07,14080,182337
Mar-23 13:40:08,14080,182368
Mar-23 13:40:09,14080,182417
Mar-23 13:40:10,14048,182420
Mar-23 13:40:11,14048,182418
Mar-23 13:40:12,14048,182391
Mar-23 13:40:13,14048,182403
Mar-23 13:40:14,14080,182401
Mar-23 13:40:15,14112,182405
Mar-23 13:40:16,14112,182479
Mar-23 13:40:17,14080,182478
Mar-23 13:40:18,14080,182472
Mar-23 13:40:19,14048,182472
Mar-23 13:40:20,14080,181335
Mar-23 13:40:21,14112,181330
Mar-23 13:40:22,14112,181327
Mar-23 13:40:23,14112,181365
Mar-23 13:40:24,14080,181366
Mar-23 13:40:25,14080,181366
Mar-23 13:40:26,14112,181366
Mar-23 13:40:27,14080,181338
Mar-23 13:40:28,14048,181341
Mar-23 13:40:29,14048,181367
Mar-23 13:40:30,14048,181392
Mar-23 13:40:31,14048,182462
Mar-23 13:40:32,14080,182449
Mar-23 13:40:33,14080,182423
Mar-23 13:40:34,14080,182424
Mar-23 13:40:35,14080,182424
Mar-23 13:40:36,14080,182423
Mar-23 13:40:37,14144,182455
Mar-23 13:40:38,14048,182460
Mar-23 13:40:39,14080,182506
Mar-23 13:40:40,14080,182459
Mar-23 13:40:41,14112,182435
Mar-23 13:40:42,14080,182434
Mar-23 13:40:43,14048,182432
Mar-23 13:40:44,14080,182460
Mar-23 13:40:45,14080,182460
Mar-23 13:40:46,14112,182471
Mar-23 13:40:47,14080,182470
Mar-23 13:40:48,14048,182443
Mar-23 13:40:49,14112,182526
Mar-23 13:40:50,14080,182523
Mar-23 13:40:51,14080,182536
Mar-23 13:40:52,14080,182536
Mar-23 13:40:53,14080,182501
Mar-23 13:40:54,14112,182509
Mar-23 13:40:55,14112,182509
Mar-23 13:40:56,14176,182657
Mar-23 13:40:57,14208,182658
Mar-23 13:40:58,14208,182686
Mar-23 13:40:59,14208,181577
Mar-23 13:41:00,14208,181577
Mar-23 13:41:01,14208,181551
Mar-23 13:41:02,14176,181520
Mar-23 13:41:03,14144,181519
Mar-23 13:41:04,14144,181519
Mar-23 13:41:05,14144,181547
Mar-23 13:41:06,14144,181547
Mar-23 13:41:07,14176,181546
Mar-23 13:41:08,14144,182617
Mar-23 13:41:09,14112,182636
Mar-23 13:41:10,14144,182634
Mar-23 13:41:11,14144,182563
Mar-23 13:41:12,14144,182591
Mar-23 13:41:13,14144,182591
Mar-23 13:41:14,14176,182591
Mar-23 13:41:15,14176,182591
Mar-23 13:41:16,14176,182620
Mar-23 13:41:17,14144,182620
Mar-23 13:41:18,14144,182620
Mar-23 13:41:19,14144,182591
Mar-23 13:41:20,14144,182590
Mar-23 13:41:21,14112,182591
Mar-23 13:41:22,14144,182590
Mar-23 13:41:23,14176,182573
Mar-23 13:41:24,14144,182618
Mar-23 13:41:25,14112,182617
Mar-23 13:41:26,14144,182568
Mar-23 13:41:27,14144,182568
Mar-23 13:41:28,14112,182569
Mar-23 13:41:29,14112,182569
Mar-23 13:41:30,14112,182542
Mar-23 13:41:31,14080,182597
Mar-23 13:41:32,14080,182596
Mar-23 13:41:33,14080,182624
Mar-23 13:41:34,14048,182624
Mar-23 13:41:35,14048,182624
Mar-23 13:41:36,14048,182596
Mar-23 13:41:37,14080,181495
Mar-23 13:41:38,14112,181450
Mar-23 13:41:39,14048,181496
Mar-23 13:41:40,14048,181524
Mar-23 13:41:41,14048,181524
Mar-23 13:41:42,14048,181525
Mar-23 13:41:43,14048,181523
Mar-23 13:41:44,14048,181496
Mar-23 13:41:45,14048,181495
Mar-23 13:41:46,14048,182566
Mar-23 13:41:47,14080,182594
Mar-23 13:41:48,14080,182593
Mar-23 13:41:49,14080,182593
Mar-23 13:41:50,14048,182594
Mar-23 13:41:51,14080,182567
Mar-23 13:41:52,14080,182566
Mar-23 13:41:53,14112,182564
Mar-23 13:41:54,14144,182648
Mar-23 13:41:55,14176,182602
Mar-23 13:41:56,14176,182602
Mar-23 13:41:57,14176,182601
Mar-23 13:41:58,14112,182602
Mar-23 13:41:59,14112,182574
Mar-23 13:42:00,14144,182579
Mar-23 13:42:01,14144,182627
Mar-23 13:42:02,14048,182486
