"Dstat 1.1.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --bytes --output dstat/data/csv/dool/ipc.csv --time --ipc 1 600",,,,"Date:","22 Mar 2023 21:22:03 -03"
"system","sysv ipc",,
Mar-22 21:24:28,0,0,6
Mar-22 21:24:29,0,0,6
Mar-22 21:24:30,0,0,6
Mar-22 21:24:31,0,0,6
Mar-22 21:24:32,0,0,6
Mar-22 21:24:33,0,0,6
Mar-22 21:24:34,0,0,6
Mar-22 21:24:35,0,0,6
Mar-22 21:24:36,0,0,6
Mar-22 21:24:37,0,0,6
Mar-22 21:24:38,0,0,6
Mar-22 21:24:39,0,0,6
Mar-22 21:24:40,0,0,6
Mar-22 21:24:41,0,0,6
Mar-22 21:24:42,0,0,6
Mar-22 21:24:43,0,0,6
Mar-22 21:24:44,0,0,6
Mar-22 21:24:45,0,0,6
Mar-22 21:24:46,0,0,6
Mar-22 21:24:47,0,0,6
Mar-22 21:24:48,0,0,6
Mar-22 21:24:49,0,0,6
Mar-22 21:24:50,0,0,6
Mar-22 21:24:51,0,0,6
Mar-22 21:24:52,0,0,6
Mar-22 21:24:53,0,0,6
Mar-22 21:24:54,0,0,6
Mar-22 21:24:55,0,0,6
Mar-22 21:24:56,0,0,6
Mar-22 21:24:57,0,0,6
Mar-22 21:24:58,0,0,6
Mar-22 21:24:59,0,0,6
Mar-22 21:25:00,0,0,6
Mar-22 21:25:01,0,0,6
Mar-22 21:25:02,0,0,6
Mar-22 21:25:03,0,0,6
Mar-22 21:25:04,0,0,6
Mar-22 21:25:05,0,0,6
Mar-22 21:25:06,0,0,6
Mar-22 21:25:07,0,0,6
Mar-22 21:25:08,0,0,6
Mar-22 21:25:09,0,0,6
Mar-22 21:25:10,0,0,6
Mar-22 21:25:11,0,0,6
Mar-22 21:25:12,0,0,6
Mar-22 21:25:13,0,0,6
Mar-22 21:25:14,0,0,6
Mar-22 21:25:15,0,0,6
Mar-22 21:25:16,0,0,6
Mar-22 21:25:17,0,0,6
Mar-22 21:25:18,0,0,6
Mar-22 21:25:19,0,0,6
Mar-22 21:25:20,0,0,6
Mar-22 21:25:21,0,0,6
Mar-22 21:25:22,0,0,6
Mar-22 21:25:23,0,0,6
Mar-22 21:25:24,0,0,6
Mar-22 21:25:25,0,0,6
Mar-22 21:25:26,0,0,6
Mar-22 21:25:27,0,0,6
Mar-22 21:25:28,0,0,6
Mar-22 21:25:29,0,0,6
Mar-22 21:25:30,0,0,6
Mar-22 21:25:31,0,0,6
Mar-22 21:25:32,0,0,6
Mar-22 21:25:33,0,0,6
Mar-22 21:25:34,0,0,6
Mar-22 21:25:35,0,0,6
Mar-22 21:25:36,0,0,6
Mar-22 21:25:37,0,0,6
Mar-22 21:25:38,0,0,6
Mar-22 21:25:39,0,0,6
Mar-22 21:25:40,0,0,6
Mar-22 21:25:41,0,0,6
Mar-22 21:25:42,0,0,6
Mar-22 21:25:43,0,0,6
Mar-22 21:25:44,0,0,6
Mar-22 21:25:45,0,0,6
Mar-22 21:25:46,0,0,6
Mar-22 21:25:47,0,0,6
Mar-22 21:25:48,0,0,6
Mar-22 21:25:49,0,0,6
Mar-22 21:25:50,0,0,6
Mar-22 21:25:51,0,0,6
Mar-22 21:25:52,0,0,6
Mar-22 21:25:53,0,0,6
Mar-22 21:25:54,0,0,6
Mar-22 21:25:55,0,0,6
Mar-22 21:25:56,0,0,6
Mar-22 21:25:57,0,0,6
Mar-22 21:25:58,0,0,6
Mar-22 21:25:59,0,0,6
Mar-22 21:26:00,0,0,6
Mar-22 21:26:01,0,0,6
Mar-22 21:26:02,0,0,6
Mar-22 21:26:03,0,0,6
Mar-22 21:26:04,0,0,6
Mar-22 21:26:05,0,0,6
Mar-22 21:26:06,0,0,6
Mar-22 21:26:07,0,0,6
Mar-22 21:26:08,0,0,6
Mar-22 21:26:09,0,0,6
Mar-22 21:26:10,0,0,6
Mar-22 21:26:11,0,0,6
Mar-22 21:26:12,0,0,6
Mar-22 21:26:13,0,0,6
Mar-22 21:26:14,0,0,6
Mar-22 21:26:15,0,0,6
Mar-22 21:26:16,0,0,6
Mar-22 21:26:17,0,0,6
Mar-22 21:26:18,0,0,6
Mar-22 21:26:19,0,0,6
Mar-22 21:26:20,0,0,6
Mar-22 21:26:21,0,0,6
Mar-22 21:26:22,0,0,6
Mar-22 21:26:23,0,0,6
Mar-22 21:26:24,0,0,6
Mar-22 21:26:25,0,0,6
Mar-22 21:26:26,0,0,6
Mar-22 21:26:27,0,0,6
Mar-22 21:26:28,0,0,6
Mar-22 21:26:29,0,0,6
Mar-22 21:26:30,0,0,6
Mar-22 21:26:31,0,0,6
Mar-22 21:26:32,0,0,6
Mar-22 21:26:33,0,0,6
Mar-22 21:26:34,0,0,6
Mar-22 21:26:35,0,0,6
Mar-22 21:26:36,0,0,6
Mar-22 21:26:37,0,0,6
Mar-22 21:26:38,0,0,6
Mar-22 21:26:39,0,0,6
Mar-22 21:26:40,0,0,6
Mar-22 21:26:41,0,0,6
Mar-22 21:26:42,0,0,6
Mar-22 21:26:43,0,0,6
Mar-22 21:26:44,0,0,6
Mar-22 21:26:45,0,0,6
Mar-22 21:26:46,0,0,6
Mar-22 21:26:47,0,0,6
Mar-22 21:26:48,0,0,6
Mar-22 21:26:49,0,0,6
Mar-22 21:26:50,0,0,6
Mar-22 21:26:51,0,0,6
Mar-22 21:26:52,0,0,6
Mar-22 21:26:53,0,0,6
Mar-22 21:26:54,0,0,6
Mar-22 21:26:55,0,0,6
Mar-22 21:26:56,0,0,6
Mar-22 21:26:57,0,0,6
Mar-22 21:26:58,0,0,6
Mar-22 21:26:59,0,0,6
Mar-22 21:27:00,0,0,6
Mar-22 21:27:01,0,0,6
Mar-22 21:27:02,0,0,6
Mar-22 21:27:03,0,0,6
Mar-22 21:27:04,0,0,6
Mar-22 21:27:05,0,0,6
Mar-22 21:27:06,0,0,6
Mar-22 21:27:07,0,0,6
Mar-22 21:27:08,0,0,6
Mar-22 21:27:09,0,0,6
Mar-22 21:27:10,0,0,6
Mar-22 21:27:11,0,0,6
Mar-22 21:27:12,0,0,6
Mar-22 21:27:13,0,0,6
Mar-22 21:27:14,0,0,6
Mar-22 21:27:15,0,0,6
Mar-22 21:27:16,0,0,6
Mar-22 21:27:17,0,0,6
Mar-22 21:27:18,0,0,6
Mar-22 21:27:19,0,0,6
Mar-22 21:27:20,0,0,6
Mar-22 21:27:21,0,0,6
Mar-22 21:27:22,0,0,6
Mar-22 21:27:23,0,0,6
Mar-22 21:27:24,0,0,6
Mar-22 21:27:25,0,0,6
Mar-22 21:27:26,0,0,6
Mar-22 21:27:27,0,0,6
Mar-22 21:27:28,0,0,6
Mar-22 21:27:29,0,0,6
Mar-22 21:27:30,0,0,6
Mar-22 21:27:31,0,0,6
Mar-22 21:27:32,0,0,6
Mar-22 21:27:33,0,0,6
Mar-22 21:27:34,0,0,6
Mar-22 21:27:35,0,0,6
Mar-22 21:27:36,0,0,6
Mar-22 21:27:37,0,0,6
Mar-22 21:27:38,0,0,6
Mar-22 21:27:39,0,0,6
Mar-22 21:27:40,0,0,6
Mar-22 21:27:41,0,0,6
Mar-22 21:27:42,0,0,6
Mar-22 21:27:43,0,0,6
Mar-22 21:27:44,0,0,6
Mar-22 21:27:45,0,0,6
Mar-22 21:27:46,0,0,6
Mar-22 21:27:47,0,0,6
Mar-22 21:27:48,0,0,6
Mar-22 21:27:49,0,0,6
Mar-22 21:27:50,0,0,6
Mar-22 21:27:51,0,0,6
Mar-22 21:27:52,0,0,6
Mar-22 21:27:53,0,0,6
Mar-22 21:27:54,0,0,6
Mar-22 21:27:55,0,0,6
Mar-22 21:27:56,0,0,6
Mar-22 21:27:57,0,0,6
Mar-22 21:27:58,0,0,6
Mar-22 21:27:59,0,0,6
Mar-22 21:28:00,0,0,6
Mar-22 21:28:01,0,0,6
Mar-22 21:28:02,0,0,6
Mar-22 21:28:03,0,0,6
Mar-22 21:28:04,0,0,6
Mar-22 21:28:05,0,0,6
Mar-22 21:28:06,0,0,6
Mar-22 21:28:07,0,0,6
Mar-22 21:28:08,0,0,6
Mar-22 21:28:09,0,0,6
Mar-22 21:28:10,0,0,6
Mar-22 21:28:11,0,0,6
Mar-22 21:28:12,0,0,6
Mar-22 21:28:13,0,0,6
Mar-22 21:28:14,0,0,6
Mar-22 21:28:15,0,0,6
Mar-22 21:28:16,0,0,6
Mar-22 21:28:17,0,0,6
Mar-22 21:28:18,0,0,6
Mar-22 21:28:19,0,0,6
Mar-22 21:28:20,0,0,6
Mar-22 21:28:21,0,0,6
Mar-22 21:28:22,0,0,6
Mar-22 21:28:23,0,0,6
Mar-22 21:28:24,0,0,6
Mar-22 21:28:25,0,0,6
Mar-22 21:28:26,0,0,6
Mar-22 21:28:27,0,0,6
Mar-22 21:28:28,0,0,6
Mar-22 21:28:29,0,0,6
Mar-22 21:28:30,0,0,6
Mar-22 21:28:31,0,0,6
Mar-22 21:28:32,0,0,6
Mar-22 21:28:33,0,0,6
Mar-22 21:28:34,0,0,6
Mar-22 21:28:35,0,0,6
Mar-22 21:28:36,0,0,6
Mar-22 21:28:37,0,0,6
Mar-22 21:28:38,0,0,6
Mar-22 21:28:39,0,0,6
Mar-22 21:28:40,0,0,6
Mar-22 21:28:41,0,0,6
Mar-22 21:28:42,0,0,6
Mar-22 21:28:43,0,0,6
Mar-22 21:28:44,0,0,6
Mar-22 21:28:45,0,0,6
Mar-22 21:28:46,0,0,6
Mar-22 21:28:47,0,0,6
Mar-22 21:28:48,0,0,6
Mar-22 21:28:49,0,0,6
Mar-22 21:28:50,0,0,6
Mar-22 21:28:51,0,0,6
Mar-22 21:28:52,0,0,6
Mar-22 21:28:53,0,0,6
Mar-22 21:28:54,0,0,6
Mar-22 21:28:55,0,0,6
Mar-22 21:28:56,0,0,6
Mar-22 21:28:57,0,0,6
Mar-22 21:28:58,0,0,6
Mar-22 21:28:59,0,0,6
Mar-22 21:29:00,0,0,6
Mar-22 21:29:01,0,0,6
Mar-22 21:29:02,0,0,6
Mar-22 21:29:03,0,0,6
Mar-22 21:29:04,0,0,6
Mar-22 21:29:05,0,0,6
Mar-22 21:29:06,0,0,6
Mar-22 21:29:07,0,0,6
Mar-22 21:29:08,0,0,6
Mar-22 21:29:09,0,0,6
Mar-22 21:29:10,0,0,6
Mar-22 21:29:11,0,0,6
Mar-22 21:29:12,0,0,6
Mar-22 21:29:13,0,0,6
Mar-22 21:29:14,0,0,6
Mar-22 21:29:15,0,0,6
Mar-22 21:29:16,0,0,6
Mar-22 21:29:17,0,0,6
Mar-22 21:29:18,0,0,6
Mar-22 21:29:19,0,0,6
Mar-22 21:29:20,0,0,6
Mar-22 21:29:21,0,0,6
Mar-22 21:29:22,0,0,6
Mar-22 21:29:23,0,0,6
Mar-22 21:29:24,0,0,6
Mar-22 21:29:25,0,0,6
Mar-22 21:29:26,0,0,6
Mar-22 21:29:27,0,0,6
Mar-22 21:29:28,0,0,6
Mar-22 21:29:29,0,0,6
Mar-22 21:29:30,0,0,6
Mar-22 21:29:31,0,0,6
Mar-22 21:29:32,0,0,6
Mar-22 21:29:33,0,0,6
Mar-22 21:29:34,0,0,6
Mar-22 21:29:35,0,0,6
Mar-22 21:29:36,0,0,6
Mar-22 21:29:37,0,0,6
Mar-22 21:29:38,0,0,6
Mar-22 21:29:39,0,0,6
Mar-22 21:29:40,0,0,6
Mar-22 21:29:41,0,0,6
Mar-22 21:29:42,0,0,6
Mar-22 21:29:43,0,0,6
Mar-22 21:29:44,0,0,6
Mar-22 21:29:45,0,0,6
Mar-22 21:29:46,0,0,6
Mar-22 21:29:47,0,0,6
Mar-22 21:29:48,0,0,6
Mar-22 21:29:49,0,0,6
Mar-22 21:29:50,0,0,6
Mar-22 21:29:51,0,0,6
Mar-22 21:29:52,0,0,6
Mar-22 21:29:53,0,0,6
Mar-22 21:29:54,0,0,6
Mar-22 21:29:55,0,0,6
Mar-22 21:29:56,0,0,6
Mar-22 21:29:57,0,0,6
Mar-22 21:29:58,0,0,6
Mar-22 21:29:59,0,0,6
Mar-22 21:30:00,0,0,6
Mar-22 21:30:01,0,0,6
Mar-22 21:30:02,0,0,6
Mar-22 21:30:03,0,0,6
Mar-22 21:30:04,0,0,6
Mar-22 21:30:05,0,0,6
Mar-22 21:30:06,0,0,6
Mar-22 21:30:07,0,0,6
Mar-22 21:30:08,0,0,6
Mar-22 21:30:09,0,0,6
Mar-22 21:30:10,0,0,6
Mar-22 21:30:11,0,0,6
Mar-22 21:30:12,0,0,6
Mar-22 21:30:13,0,0,6
Mar-22 21:30:14,0,0,6
Mar-22 21:30:15,0,0,6
Mar-22 21:30:16,0,0,6
Mar-22 21:30:17,0,0,6
Mar-22 21:30:18,0,0,6
Mar-22 21:30:19,0,0,6
Mar-22 21:30:20,0,0,6
Mar-22 21:30:21,0,0,6
Mar-22 21:30:22,0,0,6
Mar-22 21:30:23,0,0,6
Mar-22 21:30:24,0,0,6
Mar-22 21:30:25,0,0,6
Mar-22 21:30:26,0,0,6
Mar-22 21:30:27,0,0,6
Mar-22 21:30:28,0,0,6
Mar-22 21:30:29,0,0,6
Mar-22 21:30:30,0,0,6
Mar-22 21:30:31,0,0,6
Mar-22 21:30:32,0,0,6
Mar-22 21:30:33,0,0,6
Mar-22 21:30:34,0,0,6
Mar-22 21:30:35,0,0,6
Mar-22 21:30:36,0,0,6
Mar-22 21:30:37,0,0,6
Mar-22 21:30:38,0,0,6
Mar-22 21:30:39,0,0,6
Mar-22 21:30:40,0,0,6
Mar-22 21:30:41,0,0,6
Mar-22 21:30:42,0,0,6
Mar-22 21:30:43,0,0,6
Mar-22 21:30:44,0,0,6
Mar-22 21:30:45,0,0,6
Mar-22 21:30:46,0,0,6
Mar-22 21:30:47,0,0,6
Mar-22 21:30:48,0,0,6
Mar-22 21:30:49,0,0,6
Mar-22 21:30:50,0,0,6
Mar-22 21:30:51,0,0,6
Mar-22 21:30:52,0,0,6
Mar-22 21:30:53,0,0,6
Mar-22 21:30:54,0,0,6
Mar-22 21:30:55,0,0,6
Mar-22 21:30:56,0,0,6
Mar-22 21:30:57,0,0,6
Mar-22 21:30:58,0,0,6
Mar-22 21:30:59,0,0,6
Mar-22 21:31:00,0,0,6
Mar-22 21:31:01,0,0,6
Mar-22 21:31:02,0,0,6
Mar-22 21:31:03,0,0,6
Mar-22 21:31:04,0,0,6
Mar-22 21:31:05,0,0,6
Mar-22 21:31:06,0,0,6
Mar-22 21:31:07,0,0,6
Mar-22 21:31:08,0,0,6
Mar-22 21:31:09,0,0,6
Mar-22 21:31:10,0,0,6
Mar-22 21:31:11,0,0,6
Mar-22 21:31:12,0,0,6
Mar-22 21:31:13,0,0,6
Mar-22 21:31:14,0,0,6
Mar-22 21:31:15,0,0,6
Mar-22 21:31:16,0,0,6
Mar-22 21:31:17,0,0,6
Mar-22 21:31:18,0,0,6
Mar-22 21:31:19,0,0,6
Mar-22 21:31:20,0,0,6
Mar-22 21:31:21,0,0,6
Mar-22 21:31:22,0,0,6
Mar-22 21:31:23,0,0,6
Mar-22 21:31:24,0,0,6
Mar-22 21:31:25,0,0,6
Mar-22 21:31:26,0,0,6
Mar-22 21:31:27,0,0,6
Mar-22 21:31:28,0,0,6
Mar-22 21:31:29,0,0,6
Mar-22 21:31:30,0,0,6
Mar-22 21:31:31,0,0,6
Mar-22 21:31:32,0,0,6
Mar-22 21:31:33,0,0,6
Mar-22 21:31:34,0,0,6
Mar-22 21:31:35,0,0,6
Mar-22 21:31:36,0,0,6
Mar-22 21:31:37,0,0,6
Mar-22 21:31:38,0,0,6
Mar-22 21:31:39,0,0,6
Mar-22 21:31:40,0,0,6
Mar-22 21:31:41,0,0,6
Mar-22 21:31:42,0,0,6
Mar-22 21:31:43,0,0,6
Mar-22 21:31:44,0,0,6
Mar-22 21:31:45,0,0,6
Mar-22 21:31:46,0,0,6
Mar-22 21:31:47,0,0,6
Mar-22 21:31:48,0,0,6
Mar-22 21:31:49,0,0,6
Mar-22 21:31:50,0,0,6
Mar-22 21:31:51,0,0,6
Mar-22 21:31:52,0,0,6
Mar-22 21:31:53,0,0,6
Mar-22 21:31:54,0,0,6
Mar-22 21:31:55,0,0,6
Mar-22 21:31:56,0,0,6
Mar-22 21:31:57,0,0,6
Mar-22 21:31:58,0,0,6
Mar-22 21:31:59,0,0,6
Mar-22 21:32:00,0,0,6
Mar-22 21:32:01,0,0,6
Mar-22 21:32:02,0,0,6
