"Dstat 1.1.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dool/int_disk_tcp_mem_proc.csv --int --disk --tcp --mem --proc 1 600",,,,"Date:","23 Mar 2023 13:42:08 -03"
"interrupts",,,"dsk/total",,"tcp sockets",,,,,"memory usage",,,,"procs",,
0,125,0,0,540672,7,22,0,7,3,5332992000,2690842624,7951048704,11158749184,0,0,0
0,130,0,0,0,7,22,0,7,3,5334519808,2690109440,7950254080,11156951040,4,0,0
0,119,0,0,0,7,22,0,7,3,5353861120,2672414720,7948607488,11137437696,2,0,0
0,121,0,0,7921664,7,22,0,7,3,5356400640,2669772800,7948709888,11134902272,3,0,0
0,151,0,0,0,7,22,0,7,3,5356658688,2668851200,7949373440,11133730816,2,0,17
0,160,0,0,892928,7,22,0,7,3,5306519552,2717917184,7950446592,11129425920,1,0,0
0,120,0,0,557056,7,22,0,7,3,5298606080,2730405888,7945875456,11133145088,4,0,0
0,131,0,0,0,7,22,0,6,3,5299818496,2729213952,7945854976,11131703296,1,0,1
0,129,0,0,4947968,7,22,0,6,3,5300989952,2727776256,7946121216,11130265600,3,0,0
0,126,0,0,1720320,7,22,0,6,3,5317345280,2713268224,7944273920,11112497152,2,0,16
0,145,0,0,0,7,22,0,7,3,5317783552,2713354240,7943749632,11116306432,1,0,0
0,155,0,0,0,7,22,0,7,3,5318111232,2713006080,7943770112,11115905024,1,0,0
0,123,0,0,0,7,21,0,7,4,5258735616,2770145280,7946006528,11133239296,1,0,0
0,142,0,0,11005952,7,21,0,8,4,5258231808,2768818176,7947837440,11133472768,4,0,0
0,119,0,0,5115904,7,21,0,8,4,5259374592,2769297408,7946199040,11133984768,2,0,16
0,122,0,0,548864,7,21,0,8,4,5260042240,2768482304,7946346496,11130191872,2,0,0
0,121,0,0,0,7,21,0,8,4,5261451264,2768158720,7945261056,11127529472,0,0,0
0,168,0,0,0,7,21,0,7,4,5392420864,2630664192,7951785984,10988589056,2,0,8
0,149,0,0,0,7,21,0,7,4,5397012480,2628726784,7949131776,11010543616,5,0,0
0,113,0,0,11698176,7,21,0,7,4,5391765504,2632966144,7950139392,11021398016,1,0,16
0,132,0,32768,0,7,21,0,8,4,5391659008,2631102464,7952109568,11020632064,2,0,1
0,142,0,0,0,7,21,0,8,4,5392592896,2630168576,7952109568,11019698176,2,0,0
0,122,0,0,0,7,21,0,8,4,5393899520,2629451776,7951519744,11018678272,2,0,0
0,148,0,0,0,7,21,0,8,4,5395906560,2629795840,7949168640,11016671232,2,0,0
0,120,0,0,6053888,7,21,0,8,4,5392908288,2632134656,7949828096,11019485184,5,0,16
0,126,0,0,0,7,21,0,8,4,5393596416,2631323648,7949950976,11018866688,1,0,0
0,118,0,0,0,7,21,0,8,4,5375098880,2649153536,7950618624,11060555776,1,0,0
0,123,0,0,0,7,21,0,7,4,5374947328,2647965696,7951958016,11059130368,3,0,0
0,134,0,0,409600,7,21,0,7,4,5376172032,2646216704,7952482304,11057381376,6,0,0
0,162,0,0,12181504,7,21,0,7,4,5385113600,2637565952,7952191488,11048747008,0,0,16
0,122,0,0,0,7,21,0,7,4,5387051008,2638262272,7949553664,11047100416,3,0,0
0,155,0,0,0,7,21,0,8,4,5384470528,2640769024,7949627392,11049615360,3,0,0
0,129,0,8192,0,7,21,0,8,4,5387010048,2637561856,7950295040,11041456128,3,0,1
0,130,0,0,811008,7,21,0,8,4,5352075264,2672394240,7950397440,11141574656,3,0,0
0,119,0,0,4235264,7,21,0,8,4,5352271872,2670280704,7952314368,11141636096,1,0,15
0,154,0,0,0,7,21,0,8,4,5332197376,2689110016,7953559552,11139207168,4,0,1
0,153,0,0,0,7,23,0,8,3,5318279168,2702700544,7953887232,11139338240,4,0,1
0,129,0,0,0,7,23,0,8,3,5319258112,2705424384,7950184448,11139940352,3,0,0
0,130,0,0,0,7,23,0,7,2,5320417280,2704478208,7949971456,11138772992,3,0,0
0,120,0,0,5406720,7,23,0,7,2,5335760896,2689003520,7950102528,11141222400,2,0,9
0,119,0,0,0,7,23,0,7,2,5335465984,2688692224,7950708736,11140812800,1,0,7
0,168,0,0,0,7,23,0,7,2,5333520384,2688233472,7953113088,11142578176,1,0,0
0,140,0,0,0,7,23,0,8,2,5269917696,2752356352,7952592896,11161362432,4,0,0
0,125,0,0,0,7,23,0,8,2,5269987328,2752217088,7952662528,11161223168,3,0,0
0,121,0,0,8642560,7,23,0,8,2,5273366528,2748297216,7953203200,11157336064,1,0,9
0,120,0,0,0,7,23,0,8,2,5248397312,2780954624,7945510912,11175428096,3,0,8
0,118,0,0,0,7,23,0,7,2,5249110016,2780766208,7944986624,11175239680,1,0,0
0,192,0,0,2269184,7,23,0,8,2,5236920320,2792624128,7945318400,11165753344,1,0,0
0,122,0,0,0,7,23,0,8,2,5235720192,2790952960,7948189696,11166552064,5,0,0
0,121,0,0,13287424,7,23,0,8,2,5240999936,2786246656,7947616256,11161866240,1,0,8
0,122,0,0,0,7,23,0,7,2,5240987648,2786189312,7947685888,11173138432,3,0,8
0,121,0,0,0,7,23,0,7,2,5241446400,2785267712,7948148736,11172220928,2,0,0
0,121,0,0,1368064,7,23,0,7,2,5243891712,2785177600,7945793536,11169779712,5,0,0
0,170,0,0,0,7,23,0,8,2,5244088320,2784305152,7946469376,11168919552,1,0,0
0,123,0,0,9117696,7,23,0,8,2,5342740480,2685378560,7946743808,11050409984,2,0,8
0,128,0,0,0,7,23,0,8,2,5354274816,2667143168,7953444864,11039801344,1,0,8
0,114,0,0,0,7,23,0,8,2,5355659264,2665693184,7953510400,11038351360,4,0,1
0,122,0,0,2834432,7,23,0,8,2,5356613632,2665005056,7953244160,11037663232,4,0,0
0,127,0,0,0,7,23,0,8,2,5360705536,2663256064,7950901248,11033563136,2,0,0
0,169,0,0,368640,7,22,0,9,2,5362126848,2661564416,7951171584,11031904256,1,0,8
0,120,0,0,5185536,7,22,0,8,2,5364350976,2659864576,7950647296,11084853248,1,0,8
0,127,0,0,0,7,22,0,8,2,5322194944,2701971456,7950696448,11088314368,2,0,0
0,119,0,0,0,7,22,0,8,2,5328351232,2691788800,7954722816,11097358336,2,0,0
0,124,0,0,0,7,22,0,8,2,5330227200,2690826240,7953809408,11095199744,5,0,0
0,149,0,0,696320,7,22,0,9,2,5331914752,2689654784,7953293312,11095625728,4,0,8
0,156,0,1372160,11911168,7,22,0,9,2,5319819264,2704084992,7950958592,11090309120,1,0,8
0,121,0,2048000,49152,7,22,0,9,2,5318615040,2704764928,7951482880,11090866176,1,0,0
0,121,0,1710080,851968,7,22,0,9,2,5319200768,2704166912,7951495168,11090288640,2,0,0
0,126,0,2052096,49152,7,22,0,9,2,5313273856,2710548480,7951040512,11171487744,2,0,0
0,125,0,3762176,90112,7,22,0,10,2,5326303232,2694901760,7953657856,11154333696,1,0,9
0,118,0,1368064,3276800,7,22,0,9,2,5327343616,2693525504,7953993728,11152945152,3,0,8
0,171,0,1026048,24576,7,22,0,9,2,5327040512,2692579328,7955243008,11151437824,1,0,0
0,120,0,1372160,991232,7,22,0,9,2,5326020608,2695991296,7952850944,11152736256,1,0,0
0,124,0,1363968,32768,7,22,0,9,2,5328154624,2695360512,7951347712,11151896576,3,0,0
0,129,0,684032,16384,7,24,0,8,1,5329813504,2693156864,7951892480,11149729792,3,0,8
0,136,0,1030144,4964352,7,24,0,8,1,5246566400,2776367104,7951929344,11148509184,1,0,9
0,121,0,3416064,81920,7,24,0,8,1,5246472192,2774614016,7953776640,11150422016,1,0,0
0,166,0,2052096,720896,7,24,0,8,1,5253996544,2766733312,7954132992,11138015232,1,0,8
0,125,0,2052096,49152,7,24,0,8,1,5281406976,2738921472,7954534400,11109044224,2,0,0
0,134,0,0,0,7,24,0,9,1,5283094528,2740015104,7951720448,11107602432,1,0,10
0,135,0,0,8052736,7,24,0,9,1,5282050048,2740920320,7951859712,11108646912,2,0,8
0,151,0,8192,0,7,24,0,8,1,5267075072,2755592192,7952162816,11123322880,0,0,2
0,118,0,0,1024000,7,24,0,8,1,5267189760,2755252224,7952371712,11122999296,1,0,0
0,171,0,0,0,7,24,0,8,1,5259833344,2766069760,7948922880,11131338752,1,0,0
0,121,0,0,1818624,7,24,0,8,1,5273092096,2752843776,7948890112,11150331904,1,0,8
0,119,0,0,18382848,7,24,0,8,1,5272522752,2753032192,7949271040,11150553088,0,0,8
0,123,0,1371136,1769472,7,24,0,8,1,5273821184,2753728512,7947276288,11148947456,0,0,2
0,114,0,0,0,7,24,0,8,1,5274984448,2753069056,7946772480,11148308480,1,0,0
0,127,0,0,0,7,24,0,8,1,5273636864,2741071872,7960018944,11136409600,2,0,0
0,173,0,0,0,7,24,0,8,1,5267542016,2749820928,7957348352,11164016640,1,0,8
0,161,0,0,1597440,7,24,0,9,1,5267935232,2745696256,7961063424,11162316800,1,0,8
0,187,0,0,532480,7,24,0,9,1,5267718144,2746638336,7960338432,11163262976,4,0,0
0,117,0,0,0,7,24,0,9,1,5370765312,2641539072,7962390528,11024793600,3,0,0
0,123,0,0,0,7,24,0,8,1,5379944448,2640474112,7954276352,11022979072,0,0,1
0,124,0,0,0,7,24,0,8,1,5380595712,2640338944,7953760256,11020496896,0,0,8
0,165,0,0,8404992,7,24,0,8,1,5378478080,2642440192,7953776640,11022622720,2,0,8
0,129,0,0,3694592,7,24,0,8,1,5376999424,2643693568,7954001920,11030872064,1,0,0
0,118,0,0,0,7,24,0,8,1,5375139840,2642796544,7956758528,11032784896,5,0,0
0,124,0,0,0,7,24,0,8,1,5372305408,2645463040,7956926464,11035541504,4,0,0
0,120,0,0,0,7,24,0,8,1,5382615040,2635538432,7956541440,11053326336,2,0,1
0,136,0,0,0,7,24,0,9,1,5387538432,2632790016,7954366464,11048632320,7,0,15
0,211,0,0,12591104,7,22,0,10,2,5391941632,2628087808,7954665472,11043708928,4,0,0
0,127,0,0,0,7,22,0,10,2,5392855040,2627162112,7954677760,11042799616,5,0,0
0,132,0,0,409600,7,22,0,9,1,5390987264,2629386240,7954321408,11060469760,2,0,0
0,119,0,0,0,7,22,0,9,1,5390200832,2627891200,7956602880,11061051392,1,0,0
0,122,0,0,0,7,22,0,9,1,5389008896,2628558848,7957127168,11053768704,3,0,17
0,122,0,0,835584,7,22,0,9,1,5389455360,2628153344,7957053440,11053400064,2,0,0
0,166,0,0,0,7,21,1,9,1,5353594880,2665353216,7955714048,11155980288,2,0,0
0,147,0,0,0,7,22,0,9,1,5354889216,2665373696,7954399232,11154685952,2,0,0
0,117,0,0,696320,7,22,0,9,1,5355687936,2662928384,7956045824,11152248832,1,0,0
0,121,0,0,0,7,22,0,9,1,5351591936,2667081728,7955988480,11154014208,1,0,16
0,124,0,0,8609792,7,22,0,9,1,5348220928,2669584384,7956856832,11158212608,5,0,0
0,145,0,0,0,7,22,0,10,1,5349142528,2668662784,7956856832,11157291008,2,0,0
0,156,0,0,0,7,22,0,9,1,5348016128,2671489024,7955156992,11157782528,2,0,0
0,120,0,0,1228800,7,22,0,9,1,5348569088,2670821376,7955271680,11157667840,2,0,0
0,115,0,0,0,7,22,0,9,1,5346308096,2673451008,7954886656,11158839296,3,0,16
0,124,0,0,8028160,7,22,0,9,1,5346865152,2672627712,7955152896,11158016000,2,0,0
0,117,0,0,0,7,22,0,9,1,5346988032,2672246784,7955410944,11156848640,1,0,0
0,123,0,40960,1056768,7,22,0,9,1,5345722368,2671529984,7957377024,11159527424,4,0,1
0,152,0,0,180224,7,22,0,8,1,5346451456,2670800896,7957377024,11158847488,3,0,0
0,124,0,0,0,7,22,0,8,1,5347393536,2669379584,7957856256,11157446656,1,0,16
0,124,0,0,5537792,7,22,0,8,1,5236031488,2788212736,7950376960,11153051648,5,0,0
0,135,0,0,0,7,22,0,9,1,5260582912,2764189696,7949848576,11128954880,1,0,0
0,134,0,0,0,7,22,0,9,1,5258633216,2766135296,7949852672,11132416000,3,0,0
0,123,0,0,1720320,7,22,0,9,1,5257342976,2766901248,7950376960,11157155840,1,0,0
0,151,0,0,0,7,22,0,9,1,5253500928,2768277504,7952842752,11161227264,0,0,16
0,128,0,0,14581760,7,22,0,8,1,5251342336,2771021824,7952257024,11163975680,1,0,0
0,121,0,0,0,7,22,0,8,1,5252263936,2770092032,7952265216,11163045888,2,0,0
0,128,0,0,0,7,22,0,8,1,5254533120,2768613376,7951474688,11159212032,1,0,0
0,114,0,0,1794048,7,22,0,8,1,5269725184,2753331200,7951564800,11143938048,2,0,0
0,122,0,0,0,7,22,0,7,1,5371641856,2647842816,7955120128,11011411968,7,0,13
0,164,0,0,8151040,7,22,0,7,1,5371297792,2648186880,7955120128,11034386432,1,0,4
0,119,0,0,0,7,22,0,7,1,5371109376,2645659648,7957835776,11030847488,5,0,0
0,143,0,0,0,7,22,0,8,1,5371412480,2645094400,7958097920,11030183936,3,0,0
0,124,0,0,2301952,7,22,0,8,1,5371006976,2645766144,7957831680,11030855680,1,0,0
0,120,0,0,0,7,22,0,8,1,5372874752,2646482944,7955247104,11046289408,2,0,8
0,120,0,0,9027584,7,22,0,8,1,5374128128,2646052864,7954419712,11044294656,0,0,8
0,145,0,0,0,7,22,0,8,1,5370187776,2648403968,7956008960,11049861120,2,0,11
0,121,0,0,0,7,22,0,8,1,5376000000,2642890752,7955709952,11044360192,1,0,0
0,121,0,0,663552,7,22,0,8,1,5378195456,2638303232,7958102016,11044896768,3,0,0
0,126,0,0,0,7,22,0,7,1,5391790080,2624425984,7958384640,11031080960,2,0,8
0,122,0,0,8069120,7,22,0,7,1,5393018880,2622922752,7958659072,11029594112,1,0,8
0,116,0,139264,0,7,22,0,7,1,5394894848,2623754240,7955968000,11028299776,3,0,1
0,166,0,0,0,7,22,0,7,1,5397921792,2622128128,7954550784,11025350656,6,0,0
0,175,0,0,729088,7,22,0,8,1,5380452352,2637492224,7956656128,11035754496,2,0,1
0,129,0,0,0,7,22,1,8,1,5349482496,2668367872,7956750336,11147665408,1,0,8
0,119,0,0,0,7,22,1,8,1,5347332096,2667782144,7959486464,11149336576,4,0,8
0,116,0,0,3203072,7,22,1,8,1,5348388864,2666541056,7959670784,11148120064,2,0,0
0,124,0,0,0,7,22,1,8,1,5340213248,2677374976,7957012480,11156828160,1,0,0
0,161,0,0,819200,7,22,1,8,1,5342838784,2675040256,7956721664,11154214912,2,0,0
0,134,0,0,0,7,22,1,7,1,5347549184,2670493696,7956557824,11149729792,1,0,8
0,126,0,0,0,7,22,1,7,1,5348630528,2669645824,7956324352,11148881920,2,0,8
0,130,0,0,4923392,7,22,1,7,1,5259665408,2756509696,7958425600,11132067840,5,0,0
0,122,0,0,0,7,22,1,7,1,5262761984,2752311296,7959527424,11130888192,3,0,0
0,129,0,0,778240,7,21,2,8,1,5263429632,2752167936,7959003136,11130851328,4,0,1
0,181,0,0,0,7,22,1,8,1,5264560128,2752897024,7957143552,11129450496,3,0,8
0,139,0,0,0,7,22,1,8,1,5261750272,2755452928,7957397504,11131764736,4,0,8
0,142,0,0,8749056,7,22,1,8,2,5261840384,2756182016,7956578304,11132502016,3,0,0
0,139,0,0,0,7,22,1,8,1,5260091392,2758160384,7956348928,11133411328,0,0,0
0,127,0,0,2129920,7,22,1,8,1,5256347648,2766471168,7951777792,11158528000,2,0,0
0,118,0,0,0,7,22,1,7,1,5252411392,2767667200,7954518016,11161866240,3,0,8
0,168,0,0,0,7,22,1,7,1,5252247552,2768416768,7953932288,11162615808,0,0,8
0,118,0,0,19308544,7,22,1,6,1,5257437184,2765524992,7951634432,11157282816,4,0,0
0,121,0,0,0,7,22,1,6,1,5258141696,2764550144,7951900672,11156312064,0,0,0
0,118,0,0,1662976,7,22,1,6,1,5257256960,2765221888,7952113664,11155656704,3,0,0
0,154,0,0,0,7,22,1,8,1,5257928704,2764275712,7952388096,11154669568,1,0,8
0,139,0,0,245760,7,22,0,8,1,5258305536,2763640832,7952646144,11154055168,3,0,8
0,163,0,0,3694592,7,22,0,8,1,5350072320,2669969408,7954550784,11069431808,1,0,1
0,140,0,0,0,7,22,0,9,1,5389582336,2625228800,7959781376,11030216704,3,0,0
0,126,0,0,0,7,22,0,8,1,5390774272,2624540672,7959277568,11029557248,4,0,0
0,120,0,0,0,7,22,0,8,1,5391724544,2625716224,7957151744,11028602880,4,0,8
0,122,0,0,2875392,7,22,0,8,1,5393289216,2623807488,7957495808,11026423808,3,0,8
0,118,0,0,9216000,7,22,0,8,1,5398339584,2618757120,7957495808,11021389824,4,0,0
0,165,0,0,0,7,22,0,7,1,5398806528,2618777600,7957008384,11068764160,4,0,0
0,120,0,0,475136,7,22,0,7,1,5415280640,2599723008,7959588864,11047723008,2,0,0
0,121,0,0,0,7,22,0,7,1,5375467520,2638962688,7960162304,11059748864,2,0,8
0,135,0,0,0,7,22,0,8,1,5359636480,2654789632,7960166400,11075579904,2,0,8
0,128,0,0,8069120,7,22,0,8,1,5345644544,2671362048,7957585920,11103342592,1,0,0
0,126,0,0,0,7,22,0,8,1,5344346112,2672889856,7957356544,11105337344,2,0,0
0,164,0,0,819200,7,22,0,8,1,5344821248,2672152576,7957618688,11104415744,2,0,1
0,122,0,0,204800,7,22,0,8,1,5344137216,2672570368,7957884928,11104845824,1,0,8
0,128,0,0,0,7,22,0,8,1,5304082432,2710683648,7959826432,11153321984,3,0,8
0,123,0,0,3162112,7,22,0,8,1,5257838592,2756784128,7959965696,11152220160,0,0,0
0,122,0,0,0,7,22,0,7,1,5258883072,2755375104,7960330240,11150725120,2,0,0
0,120,0,0,0,7,22,0,7,1,5259948032,2739056640,7975583744,11132059648,2,0,20
0,164,0,0,827392,7,22,0,7,1,5261713408,2737119232,7975755776,11130134528,2,0,8
0,128,0,0,98304,7,22,0,7,1,5266276352,2736631808,7971680256,11158761472,3,0,8
0,155,0,0,0,7,22,0,8,1,5268709376,2736828416,7969050624,11158986752,1,0,0
0,120,0,0,5160960,7,22,0,8,1,5269008384,2734030848,7971549184,11157753856,3,0,0
0,134,0,0,0,7,22,0,8,1,5276774400,2736070656,7961743360,11164319744,1,0,0
0,116,0,0,0,7,22,0,8,1,5277405184,2735333376,7961849856,11163664384,1,0,8
0,189,0,0,901120,7,22,0,8,1,5313028096,2692661248,7968849920,11121500160,1,0,51
0,163,0,0,10125312,7,22,0,8,1,5340536832,2668249088,7965769728,11094822912,1,0,1
0,133,0,0,9256960,7,22,0,7,1,5333180416,2675306496,7966068736,11101982720,1,0,0
0,148,0,0,0,7,22,0,7,1,5333049344,2676469760,7965036544,11103150080,2,0,1
0,160,0,0,3989504,7,22,0,7,1,5320323072,2685710336,7968522240,11111628800,1,0,7
0,117,0,0,0,7,22,0,7,1,5316243456,2689970176,7968342016,11116126208,0,0,9
0,159,0,8192,0,7,21,1,8,1,5317824512,2693505024,7963226112,11108655104,5,0,8
0,144,0,0,19341312,7,22,0,8,1,5330845696,2682523648,7961161728,11095683072,2,0,0
0,121,0,0,0,7,22,0,8,1,5315014656,2698096640,7961419776,11111256064,5,0,0
0,121,0,0,2809856,7,22,0,8,1,5316722688,2696904704,7960903680,11110080512,7,0,1
0,125,0,0,647168,7,22,0,8,1,5319135232,2694483968,7960911872,11107680256,2,0,15
0,120,0,0,0,7,22,0,8,1,5310029824,2701123584,7963377664,11121565696,3,0,0
0,166,0,0,122880,7,22,0,8,1,5309169664,2700406784,7964954624,11120783360,3,0,1
0,121,0,0,0,7,22,0,8,1,5301436416,2708033536,7965061120,11111923712,1,0,0
0,129,0,0,1286144,7,22,0,7,1,5443657728,2562506752,7968366592,10956857344,4,0,1
0,131,0,0,2834432,7,22,0,7,1,5450096640,2558181376,7966253056,10950037504,3,0,16
0,144,0,0,0,7,22,0,7,1,5452304384,2555428864,7966797824,10947305472,1,0,0
0,153,0,0,13107200,7,22,0,8,1,5439287296,2568560640,7966683136,10960506880,4,0,0
0,162,0,0,925696,7,22,0,8,1,5420781568,2585194496,7968636928,10979315712,3,0,0
0,122,0,0,0,7,22,0,8,1,5405810688,2601807872,7966994432,10996002816,3,0,0
0,123,0,0,0,7,22,0,8,1,5376282624,2636144640,7962185728,11030347776,4,0,16
0,118,0,0,0,7,22,0,8,1,5396717568,2618478592,7959416832,11016105984,4,0,0
0,120,0,0,8110080,7,22,0,8,1,5388677120,2626465792,7959470080,11015352320,4,0,0
0,119,0,0,1228800,7,22,0,8,1,5381120000,2636263424,7957229568,11025174528,5,0,0
0,165,0,0,0,7,22,0,8,1,5375668224,2641244160,7957700608,11029368832,4,0,0
0,121,0,0,0,7,22,0,7,1,5389074432,2625843200,7959711744,11021733888,1,0,17
0,131,0,0,1654784,7,22,0,7,1,5389582336,2625699840,7959347200,11021598720,1,0,0
0,126,0,0,5005312,7,22,0,7,1,5372108800,2642436096,7960084480,11038339072,2,0,0
0,142,0,0,0,7,22,0,8,1,5379485696,2634891264,7960252416,11145023488,3,0,0
0,129,0,0,0,7,22,0,8,1,5381672960,2635522048,7957434368,11143294976,3,0,0
0,165,0,0,1212416,7,22,0,8,1,5382713344,2634403840,7957512192,11142217728,0,0,17
0,125,0,0,0,7,22,0,8,1,5375397888,2640470016,7958761472,11148283904,6,0,0
0,117,0,0,4907008,7,22,0,8,1,5353353216,2659815424,7961460736,11165159424,3,0,0
0,118,0,0,0,7,22,0,8,1,5353742336,2660990976,7959908352,11166445568,3,0,0
0,127,0,0,0,7,22,0,8,1,5351706624,2663002112,7959932928,11168473088,2,0,0
0,124,0,0,606208,7,22,0,6,1,5350105088,2666442752,7958093824,11171131392,3,0,12
0,164,0,0,0,7,22,0,6,1,5363167232,2653175808,7958298624,11153682432,1,0,4
0,122,0,0,1359872,7,22,0,6,1,5364604928,2652004352,7958032384,11153063936,1,0,1
0,146,0,0,8306688,7,22,0,7,1,5367885824,2648821760,7957934080,11149627392,3,0,0
0,143,0,0,0,7,22,0,7,1,5363920896,2650378240,7960342528,11155140608,2,0,0
0,130,0,0,0,7,20,0,7,2,5364199424,2649571328,7960870912,11153088512,2,0,8
0,124,0,0,0,7,20,1,7,2,5363781632,2650255360,7960604672,11153776640,3,0,8
0,169,0,0,1728512,7,20,0,7,2,5234216960,2787524608,7952900096,11157143552,3,0,0
0,126,0,0,6070272,7,20,0,7,2,5250338816,2771775488,7952527360,11138945024,2,0,0
0,122,0,0,0,7,20,0,7,2,5251096576,2770341888,7953203200,11140202496,3,0,0
0,118,0,0,0,7,20,0,6,2,5251088384,2770255872,7953297408,11140042752,1,0,8
0,119,0,0,0,7,20,0,6,2,5254598656,2764775424,7955267584,11142520832,3,0,8
0,125,0,0,999424,7,20,0,6,2,5255475200,2763673600,7955492864,11141459968,3,0,0
0,168,0,0,13459456,7,20,0,6,2,5256495104,2762366976,7955779584,11140182016,3,0,0
0,124,0,81920,0,7,20,0,6,2,5255376896,2766135296,7953129472,11141820416,3,0,1
0,154,0,0,0,7,20,0,7,2,5255921664,2765000704,7953719296,11140476928,0,0,8
0,125,0,0,0,7,20,0,7,2,5257699328,2762563584,7954378752,11138166784,2,0,8
0,122,0,0,2605056,7,20,0,7,2,5292818432,2723360768,7958462464,11132973056,5,0,0
0,120,0,0,12140544,7,20,0,7,2,5291466752,2722504704,7960670208,11138293760,3,0,0
0,157,0,0,0,7,20,0,7,2,5292408832,2721558528,7960674304,11137372160,2,0,0
0,126,0,0,598016,7,20,0,7,2,5292371968,2721656832,7960612864,11137486848,2,0,8
0,121,0,0,0,7,20,0,7,2,5287759872,2728042496,7958839296,11129860096,2,0,8
0,124,0,0,0,7,20,0,6,2,5286227968,2729574400,7958839296,11128995840,4,0,0
0,129,0,0,5144576,7,20,0,6,2,5275201536,2740756480,7958683648,11123466240,1,0,0
