"Dstat 1.1.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dool/load.csv --bytes --time --load 1 600",,,,"Date:","23 Mar 2023 13:32:03 -03"
"system","load avg",,
Mar-23 13:34:47,1.310,1.170,1.260
Mar-23 13:34:48,1.310,1.170,1.260
Mar-23 13:34:49,1.310,1.170,1.260
Mar-23 13:34:50,1.280,1.170,1.260
Mar-23 13:34:51,1.280,1.170,1.260
Mar-23 13:34:52,1.280,1.170,1.260
Mar-23 13:34:53,1.280,1.170,1.260
Mar-23 13:34:54,1.280,1.170,1.260
Mar-23 13:34:55,1.260,1.160,1.250
Mar-23 13:34:56,1.260,1.160,1.250
Mar-23 13:34:57,1.260,1.160,1.250
Mar-23 13:34:58,1.260,1.160,1.250
Mar-23 13:34:59,1.260,1.160,1.250
Mar-23 13:35:00,1.240,1.160,1.250
Mar-23 13:35:01,1.240,1.160,1.250
Mar-23 13:35:02,1.240,1.160,1.250
Mar-23 13:35:03,1.240,1.160,1.250
Mar-23 13:35:04,1.240,1.160,1.250
Mar-23 13:35:05,1.220,1.160,1.250
Mar-23 13:35:06,1.220,1.160,1.250
Mar-23 13:35:07,1.220,1.160,1.250
Mar-23 13:35:08,1.220,1.160,1.250
Mar-23 13:35:09,1.220,1.160,1.250
Mar-23 13:35:10,1.200,1.160,1.250
Mar-23 13:35:11,1.200,1.160,1.250
Mar-23 13:35:12,1.200,1.160,1.250
Mar-23 13:35:13,1.200,1.160,1.250
Mar-23 13:35:14,1.200,1.160,1.250
Mar-23 13:35:15,1.430,1.200,1.270
Mar-23 13:35:16,1.430,1.200,1.270
Mar-23 13:35:17,1.430,1.200,1.270
Mar-23 13:35:18,1.430,1.200,1.270
Mar-23 13:35:19,1.430,1.200,1.270
Mar-23 13:35:20,1.310,1.180,1.260
Mar-23 13:35:21,1.310,1.180,1.260
Mar-23 13:35:22,1.310,1.180,1.260
Mar-23 13:35:23,1.310,1.180,1.260
Mar-23 13:35:24,1.310,1.180,1.260
Mar-23 13:35:25,1.370,1.200,1.260
Mar-23 13:35:26,1.370,1.200,1.260
Mar-23 13:35:27,1.370,1.200,1.260
Mar-23 13:35:28,1.370,1.200,1.260
Mar-23 13:35:29,1.370,1.200,1.260
Mar-23 13:35:30,1.340,1.190,1.260
Mar-23 13:35:31,1.340,1.190,1.260
Mar-23 13:35:32,1.340,1.190,1.260
Mar-23 13:35:33,1.340,1.190,1.260
Mar-23 13:35:34,1.340,1.190,1.260
Mar-23 13:35:35,1.310,1.190,1.260
Mar-23 13:35:36,1.310,1.190,1.260
Mar-23 13:35:37,1.310,1.190,1.260
Mar-23 13:35:38,1.310,1.190,1.260
Mar-23 13:35:39,1.310,1.190,1.260
Mar-23 13:35:40,1.280,1.190,1.260
Mar-23 13:35:41,1.280,1.190,1.260
Mar-23 13:35:42,1.280,1.190,1.260
Mar-23 13:35:43,1.280,1.190,1.260
Mar-23 13:35:44,1.280,1.190,1.260
Mar-23 13:35:45,1.340,1.200,1.260
Mar-23 13:35:46,1.340,1.200,1.260
Mar-23 13:35:47,1.340,1.200,1.260
Mar-23 13:35:48,1.340,1.200,1.260
Mar-23 13:35:49,1.340,1.200,1.260
Mar-23 13:35:50,1.310,1.200,1.260
Mar-23 13:35:51,1.310,1.200,1.260
Mar-23 13:35:52,1.310,1.200,1.260
Mar-23 13:35:53,1.310,1.200,1.260
Mar-23 13:35:54,1.310,1.200,1.260
Mar-23 13:35:55,1.370,1.210,1.270
Mar-23 13:35:56,1.370,1.210,1.270
Mar-23 13:35:57,1.370,1.210,1.270
Mar-23 13:35:58,1.370,1.210,1.270
Mar-23 13:35:59,1.370,1.210,1.270
Mar-23 13:36:00,1.340,1.210,1.260
Mar-23 13:36:01,1.340,1.210,1.260
Mar-23 13:36:02,1.340,1.210,1.260
Mar-23 13:36:03,1.340,1.210,1.260
Mar-23 13:36:04,1.340,1.210,1.260
Mar-23 13:36:05,1.230,1.190,1.260
Mar-23 13:36:06,1.230,1.190,1.260
Mar-23 13:36:07,1.230,1.190,1.260
Mar-23 13:36:08,1.230,1.190,1.260
Mar-23 13:36:09,1.230,1.190,1.260
Mar-23 13:36:10,1.210,1.180,1.260
Mar-23 13:36:11,1.210,1.180,1.260
Mar-23 13:36:12,1.210,1.180,1.260
Mar-23 13:36:13,1.210,1.180,1.260
Mar-23 13:36:14,1.210,1.180,1.260
Mar-23 13:36:15,1.440,1.230,1.270
Mar-23 13:36:16,1.440,1.230,1.270
Mar-23 13:36:17,1.440,1.230,1.270
Mar-23 13:36:18,1.440,1.230,1.270
Mar-23 13:36:19,1.440,1.230,1.270
Mar-23 13:36:20,1.480,1.240,1.280
Mar-23 13:36:21,1.480,1.240,1.280
Mar-23 13:36:22,1.480,1.240,1.280
Mar-23 13:36:23,1.480,1.240,1.280
Mar-23 13:36:24,1.480,1.240,1.280
Mar-23 13:36:25,1.600,1.270,1.280
Mar-23 13:36:26,1.600,1.270,1.280
Mar-23 13:36:27,1.600,1.270,1.280
Mar-23 13:36:28,1.600,1.270,1.280
Mar-23 13:36:29,1.600,1.270,1.280
Mar-23 13:36:30,1.640,1.280,1.290
Mar-23 13:36:31,1.640,1.280,1.290
Mar-23 13:36:32,1.640,1.280,1.290
Mar-23 13:36:33,1.640,1.280,1.290
Mar-23 13:36:34,1.640,1.280,1.290
Mar-23 13:36:35,1.500,1.260,1.280
Mar-23 13:36:36,1.500,1.260,1.280
Mar-23 13:36:37,1.500,1.260,1.280
Mar-23 13:36:38,1.500,1.260,1.280
Mar-23 13:36:39,1.500,1.260,1.280
Mar-23 13:36:40,1.460,1.260,1.280
Mar-23 13:36:41,1.460,1.260,1.280
Mar-23 13:36:42,1.460,1.260,1.280
Mar-23 13:36:43,1.460,1.260,1.280
Mar-23 13:36:44,1.460,1.260,1.280
Mar-23 13:36:45,1.510,1.270,1.280
Mar-23 13:36:46,1.510,1.270,1.280
Mar-23 13:36:47,1.510,1.270,1.280
Mar-23 13:36:48,1.510,1.270,1.280
Mar-23 13:36:49,1.510,1.270,1.280
Mar-23 13:36:50,1.390,1.250,1.280
Mar-23 13:36:51,1.390,1.250,1.280
Mar-23 13:36:52,1.390,1.250,1.280
Mar-23 13:36:53,1.390,1.250,1.280
Mar-23 13:36:54,1.390,1.250,1.280
Mar-23 13:36:55,1.270,1.230,1.270
Mar-23 13:36:56,1.270,1.230,1.270
Mar-23 13:36:57,1.270,1.230,1.270
Mar-23 13:36:58,1.270,1.230,1.270
Mar-23 13:36:59,1.270,1.230,1.270
Mar-23 13:37:00,1.170,1.210,1.260
Mar-23 13:37:01,1.170,1.210,1.260
Mar-23 13:37:02,1.170,1.210,1.260
Mar-23 13:37:03,1.170,1.210,1.260
Mar-23 13:37:04,1.170,1.210,1.260
Mar-23 13:37:05,1.080,1.190,1.250
Mar-23 13:37:06,1.080,1.190,1.250
Mar-23 13:37:07,1.080,1.190,1.250
Mar-23 13:37:08,1.080,1.190,1.250
Mar-23 13:37:09,1.080,1.190,1.250
Mar-23 13:37:10,1.230,1.220,1.260
Mar-23 13:37:11,1.230,1.220,1.260
Mar-23 13:37:12,1.230,1.220,1.260
Mar-23 13:37:13,1.230,1.220,1.260
Mar-23 13:37:14,1.230,1.220,1.260
Mar-23 13:37:15,1.130,1.200,1.260
Mar-23 13:37:16,1.130,1.200,1.260
Mar-23 13:37:17,1.130,1.200,1.260
Mar-23 13:37:18,1.130,1.200,1.260
Mar-23 13:37:19,1.130,1.200,1.260
Mar-23 13:37:20,1.120,1.190,1.260
Mar-23 13:37:21,1.120,1.190,1.260
Mar-23 13:37:22,1.120,1.190,1.260
Mar-23 13:37:23,1.120,1.190,1.260
Mar-23 13:37:24,1.120,1.190,1.260
Mar-23 13:37:25,1.190,1.210,1.260
Mar-23 13:37:26,1.190,1.210,1.260
Mar-23 13:37:27,1.190,1.210,1.260
Mar-23 13:37:28,1.190,1.210,1.260
Mar-23 13:37:29,1.190,1.210,1.260
Mar-23 13:37:30,1.100,1.190,1.250
Mar-23 13:37:31,1.100,1.190,1.250
Mar-23 13:37:32,1.100,1.190,1.250
Mar-23 13:37:33,1.100,1.190,1.250
Mar-23 13:37:34,1.100,1.190,1.250
Mar-23 13:37:35,1.090,1.180,1.250
Mar-23 13:37:36,1.090,1.180,1.250
Mar-23 13:37:37,1.090,1.180,1.250
Mar-23 13:37:38,1.090,1.180,1.250
Mar-23 13:37:39,1.090,1.180,1.250
Mar-23 13:37:40,1,1.160,1.250
Mar-23 13:37:41,1,1.160,1.250
Mar-23 13:37:42,1,1.160,1.250
Mar-23 13:37:43,1,1.160,1.250
Mar-23 13:37:44,1,1.160,1.250
Mar-23 13:37:45,0.920,1.140,1.240
Mar-23 13:37:46,0.920,1.140,1.240
Mar-23 13:37:47,0.920,1.140,1.240
Mar-23 13:37:48,0.920,1.140,1.240
Mar-23 13:37:49,0.920,1.140,1.240
Mar-23 13:37:50,0.930,1.140,1.240
Mar-23 13:37:51,0.930,1.140,1.240
Mar-23 13:37:52,0.930,1.140,1.240
Mar-23 13:37:53,0.930,1.140,1.240
Mar-23 13:37:54,0.930,1.140,1.240
Mar-23 13:37:55,0.930,1.140,1.240
Mar-23 13:37:56,0.930,1.140,1.240
Mar-23 13:37:57,0.930,1.140,1.240
Mar-23 13:37:58,0.930,1.140,1.240
Mar-23 13:37:59,0.930,1.140,1.240
Mar-23 13:38:00,1.020,1.150,1.240
Mar-23 13:38:01,1.020,1.150,1.240
Mar-23 13:38:02,1.020,1.150,1.240
Mar-23 13:38:03,1.020,1.150,1.240
Mar-23 13:38:04,1.020,1.150,1.240
Mar-23 13:38:05,1.100,1.170,1.240
Mar-23 13:38:06,1.100,1.170,1.240
Mar-23 13:38:07,1.100,1.170,1.240
Mar-23 13:38:08,1.100,1.170,1.240
Mar-23 13:38:09,1.100,1.170,1.240
Mar-23 13:38:10,1.170,1.180,1.250
Mar-23 13:38:11,1.170,1.180,1.250
Mar-23 13:38:12,1.170,1.180,1.250
Mar-23 13:38:13,1.170,1.180,1.250
Mar-23 13:38:14,1.170,1.180,1.250
Mar-23 13:38:15,1.160,1.180,1.250
Mar-23 13:38:16,1.160,1.180,1.250
Mar-23 13:38:17,1.160,1.180,1.250
Mar-23 13:38:18,1.160,1.180,1.250
Mar-23 13:38:19,1.160,1.180,1.250
Mar-23 13:38:20,1.220,1.190,1.250
Mar-23 13:38:21,1.220,1.190,1.250
Mar-23 13:38:22,1.220,1.190,1.250
Mar-23 13:38:23,1.220,1.190,1.250
Mar-23 13:38:24,1.220,1.190,1.250
Mar-23 13:38:25,1.210,1.190,1.250
Mar-23 13:38:26,1.210,1.190,1.250
Mar-23 13:38:27,1.210,1.190,1.250
Mar-23 13:38:28,1.210,1.190,1.250
Mar-23 13:38:29,1.210,1.190,1.250
Mar-23 13:38:30,1.110,1.170,1.240
Mar-23 13:38:31,1.110,1.170,1.240
Mar-23 13:38:32,1.110,1.170,1.240
Mar-23 13:38:33,1.110,1.170,1.240
Mar-23 13:38:34,1.110,1.170,1.240
Mar-23 13:38:35,1.340,1.220,1.260
Mar-23 13:38:36,1.340,1.220,1.260
Mar-23 13:38:37,1.340,1.220,1.260
Mar-23 13:38:38,1.340,1.220,1.260
Mar-23 13:38:39,1.340,1.220,1.260
Mar-23 13:38:40,1.390,1.230,1.260
Mar-23 13:38:41,1.390,1.230,1.260
Mar-23 13:38:42,1.390,1.230,1.260
Mar-23 13:38:43,1.390,1.230,1.260
Mar-23 13:38:44,1.390,1.230,1.260
Mar-23 13:38:45,1.360,1.230,1.260
Mar-23 13:38:46,1.360,1.230,1.260
Mar-23 13:38:47,1.360,1.230,1.260
Mar-23 13:38:48,1.360,1.230,1.260
Mar-23 13:38:49,1.360,1.230,1.260
Mar-23 13:38:50,1.330,1.220,1.260
Mar-23 13:38:51,1.330,1.220,1.260
Mar-23 13:38:52,1.330,1.220,1.260
Mar-23 13:38:53,1.330,1.220,1.260
Mar-23 13:38:54,1.330,1.220,1.260
Mar-23 13:38:55,1.230,1.200,1.250
Mar-23 13:38:56,1.230,1.200,1.250
Mar-23 13:38:57,1.230,1.200,1.250
Mar-23 13:38:58,1.230,1.200,1.250
Mar-23 13:38:59,1.230,1.200,1.250
Mar-23 13:39:00,1.130,1.180,1.250
Mar-23 13:39:01,1.130,1.180,1.250
Mar-23 13:39:02,1.130,1.180,1.250
Mar-23 13:39:03,1.130,1.180,1.250
Mar-23 13:39:04,1.130,1.180,1.250
Mar-23 13:39:05,1.040,1.160,1.240
Mar-23 13:39:06,1.040,1.160,1.240
Mar-23 13:39:07,1.040,1.160,1.240
Mar-23 13:39:08,1.040,1.160,1.240
Mar-23 13:39:09,1.040,1.160,1.240
Mar-23 13:39:10,0.950,1.140,1.230
Mar-23 13:39:11,0.950,1.140,1.230
Mar-23 13:39:12,0.950,1.140,1.230
Mar-23 13:39:13,0.950,1.140,1.230
Mar-23 13:39:14,0.950,1.140,1.230
Mar-23 13:39:15,1.200,1.190,1.250
Mar-23 13:39:16,1.200,1.190,1.250
Mar-23 13:39:17,1.200,1.190,1.250
Mar-23 13:39:18,1.200,1.190,1.250
Mar-23 13:39:19,1.200,1.190,1.250
Mar-23 13:39:20,1.100,1.170,1.240
Mar-23 13:39:21,1.100,1.170,1.240
Mar-23 13:39:22,1.100,1.170,1.240
Mar-23 13:39:23,1.100,1.170,1.240
Mar-23 13:39:24,1.100,1.170,1.240
Mar-23 13:39:25,1.010,1.150,1.230
Mar-23 13:39:26,1.010,1.150,1.230
Mar-23 13:39:27,1.010,1.150,1.230
Mar-23 13:39:28,1.010,1.150,1.230
Mar-23 13:39:29,1.010,1.150,1.230
Mar-23 13:39:30,0.930,1.130,1.230
Mar-23 13:39:31,0.930,1.130,1.230
Mar-23 13:39:32,0.930,1.130,1.230
Mar-23 13:39:33,0.930,1.130,1.230
Mar-23 13:39:34,0.930,1.130,1.230
Mar-23 13:39:35,0.940,1.130,1.230
Mar-23 13:39:36,0.940,1.130,1.230
Mar-23 13:39:37,0.940,1.130,1.230
Mar-23 13:39:38,0.940,1.130,1.230
Mar-23 13:39:39,0.940,1.130,1.230
Mar-23 13:39:40,1.340,1.210,1.250
Mar-23 13:39:41,1.340,1.210,1.250
Mar-23 13:39:42,1.340,1.210,1.250
Mar-23 13:39:43,1.340,1.210,1.250
Mar-23 13:39:44,1.340,1.210,1.250
Mar-23 13:39:45,1.240,1.190,1.250
Mar-23 13:39:46,1.240,1.190,1.250
Mar-23 13:39:47,1.240,1.190,1.250
Mar-23 13:39:48,1.240,1.190,1.250
Mar-23 13:39:49,1.240,1.190,1.250
Mar-23 13:39:50,1.380,1.220,1.250
Mar-23 13:39:51,1.380,1.220,1.250
Mar-23 13:39:52,1.380,1.220,1.250
Mar-23 13:39:53,1.380,1.220,1.250
Mar-23 13:39:54,1.380,1.220,1.250
Mar-23 13:39:55,1.430,1.230,1.260
Mar-23 13:39:56,1.430,1.230,1.260
Mar-23 13:39:57,1.430,1.230,1.260
Mar-23 13:39:58,1.430,1.230,1.260
Mar-23 13:39:59,1.430,1.230,1.260
Mar-23 13:40:00,1.390,1.230,1.260
Mar-23 13:40:01,1.390,1.230,1.260
Mar-23 13:40:02,1.390,1.230,1.260
Mar-23 13:40:03,1.390,1.230,1.260
Mar-23 13:40:04,1.390,1.230,1.260
Mar-23 13:40:05,1.360,1.220,1.260
Mar-23 13:40:06,1.360,1.220,1.260
Mar-23 13:40:07,1.360,1.220,1.260
Mar-23 13:40:08,1.360,1.220,1.260
Mar-23 13:40:09,1.360,1.220,1.260
Mar-23 13:40:10,1.410,1.240,1.260
Mar-23 13:40:11,1.410,1.240,1.260
Mar-23 13:40:12,1.410,1.240,1.260
Mar-23 13:40:13,1.410,1.240,1.260
Mar-23 13:40:14,1.410,1.240,1.260
Mar-23 13:40:15,1.300,1.220,1.250
Mar-23 13:40:16,1.300,1.220,1.250
Mar-23 13:40:17,1.300,1.220,1.250
Mar-23 13:40:18,1.300,1.220,1.250
Mar-23 13:40:19,1.300,1.220,1.250
Mar-23 13:40:20,1.300,1.220,1.250
Mar-23 13:40:21,1.360,1.230,1.260
Mar-23 13:40:22,1.360,1.230,1.260
Mar-23 13:40:23,1.360,1.230,1.260
Mar-23 13:40:24,1.360,1.230,1.260
Mar-23 13:40:25,1.360,1.230,1.260
Mar-23 13:40:26,1.250,1.210,1.250
Mar-23 13:40:27,1.250,1.210,1.250
Mar-23 13:40:28,1.250,1.210,1.250
Mar-23 13:40:29,1.250,1.210,1.250
Mar-23 13:40:30,1.250,1.210,1.250
Mar-23 13:40:31,1.150,1.190,1.240
Mar-23 13:40:32,1.150,1.190,1.240
Mar-23 13:40:33,1.150,1.190,1.240
Mar-23 13:40:34,1.150,1.190,1.240
Mar-23 13:40:35,1.150,1.190,1.240
Mar-23 13:40:36,1.210,1.200,1.250
Mar-23 13:40:37,1.210,1.200,1.250
Mar-23 13:40:38,1.210,1.200,1.250
Mar-23 13:40:39,1.210,1.200,1.250
Mar-23 13:40:40,1.210,1.200,1.250
Mar-23 13:40:41,1.120,1.180,1.240
Mar-23 13:40:42,1.120,1.180,1.240
Mar-23 13:40:43,1.120,1.180,1.240
Mar-23 13:40:44,1.120,1.180,1.240
Mar-23 13:40:45,1.120,1.180,1.240
Mar-23 13:40:46,1.190,1.200,1.250
Mar-23 13:40:47,1.190,1.200,1.250
Mar-23 13:40:48,1.190,1.200,1.250
Mar-23 13:40:49,1.190,1.200,1.250
Mar-23 13:40:50,1.190,1.200,1.250
Mar-23 13:40:51,1.170,1.190,1.250
Mar-23 13:40:52,1.170,1.190,1.250
Mar-23 13:40:53,1.170,1.190,1.250
Mar-23 13:40:54,1.170,1.190,1.250
Mar-23 13:40:55,1.170,1.190,1.250
Mar-23 13:40:56,1.160,1.190,1.240
Mar-23 13:40:57,1.160,1.190,1.240
Mar-23 13:40:58,1.160,1.190,1.240
Mar-23 13:40:59,1.160,1.190,1.240
Mar-23 13:41:00,1.160,1.190,1.240
Mar-23 13:41:01,1.230,1.200,1.250
Mar-23 13:41:02,1.230,1.200,1.250
Mar-23 13:41:03,1.230,1.200,1.250
Mar-23 13:41:04,1.230,1.200,1.250
Mar-23 13:41:05,1.230,1.200,1.250
Mar-23 13:41:06,1.210,1.200,1.250
Mar-23 13:41:07,1.210,1.200,1.250
Mar-23 13:41:08,1.210,1.200,1.250
Mar-23 13:41:09,1.210,1.200,1.250
Mar-23 13:41:10,1.210,1.200,1.250
Mar-23 13:41:11,1.190,1.200,1.250
Mar-23 13:41:12,1.190,1.200,1.250
Mar-23 13:41:13,1.190,1.200,1.250
Mar-23 13:41:14,1.190,1.200,1.250
Mar-23 13:41:15,1.190,1.200,1.250
Mar-23 13:41:16,1.170,1.190,1.240
Mar-23 13:41:17,1.170,1.190,1.240
Mar-23 13:41:18,1.170,1.190,1.240
Mar-23 13:41:19,1.170,1.190,1.240
Mar-23 13:41:20,1.170,1.190,1.240
Mar-23 13:41:21,1.160,1.190,1.240
Mar-23 13:41:22,1.160,1.190,1.240
Mar-23 13:41:23,1.160,1.190,1.240
Mar-23 13:41:24,1.160,1.190,1.240
Mar-23 13:41:25,1.160,1.190,1.240
Mar-23 13:41:26,1.310,1.220,1.250
Mar-23 13:41:27,1.310,1.220,1.250
Mar-23 13:41:28,1.310,1.220,1.250
Mar-23 13:41:29,1.310,1.220,1.250
Mar-23 13:41:30,1.310,1.220,1.250
