"Dstat 1.1.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dool/unix_vm-adv_raw_fs_mem_load_lock_page_int_disk_time_io.csv --unix --vm-adv --raw --fs --mem --load --lock --page --int --disk --time --io 1 600",,,,"Date:","22 Mar 2023 21:32:08 -03"
"unix sockets",,,,"advanced virtual memory",,,,,"raw","filesystem",,"memory usage",,,,"load avg",,,"file locks",,,,"paging",,"interrupts",,,"dsk/total",,"system","io/total",
56,868,54,814,0,0,0,0,0,0,13152,349791,3354951680,1983508480,10547998720,12628140032,1.170,2.890,3.970,56,12,10,58,0,0,0,36,0,0,0,Mar-22 21:32:17,0,0
56,868,54,814,0,0,0,0,0,0,13152,349785,3356782592,1981960192,10547716096,12626604032,1.170,2.890,3.970,56,12,10,58,0,0,0,16,0,0,0,Mar-22 21:32:18,0,0
56,868,54,814,0,0,0,0,0,0,13184,349786,3358273536,1980452864,10547732480,12625096704,1.160,2.860,3.950,56,12,10,58,0,0,0,35,0,0,139264,Mar-22 21:32:19,0,24
56,868,54,814,0,0,0,0,0,0,13184,349793,3360288768,1978130432,10548039680,12622815232,1.160,2.860,3.950,56,12,10,58,0,0,0,15,0,0,0,Mar-22 21:32:20,0,0
56,868,54,814,0,0,0,0,0,0,13184,349812,3361394688,1977405440,10547658752,12621385728,1.160,2.860,3.950,56,12,10,58,0,0,0,19,0,0,17063936,Mar-22 21:32:21,0,1714
56,868,54,814,0,0,0,0,0,0,13184,349812,3361767424,1976573952,10548117504,12620570624,1.160,2.860,3.950,56,12,10,58,0,0,0,14,0,0,0,Mar-22 21:32:22,0,0
56,868,54,814,0,0,0,0,0,0,13216,349812,3363536896,1975054336,10547867648,12619051008,1.160,2.860,3.950,56,12,10,58,0,0,0,13,0,0,0,Mar-22 21:32:23,0,0
56,868,54,814,0,0,0,0,0,0,13216,349811,3363749888,1974857728,10547851264,12618854400,1.140,2.830,3.930,56,12,10,58,0,0,0,20,0,0,0,Mar-22 21:32:24,0,0
56,868,54,814,0,0,0,0,0,0,13216,349814,3364208640,1973858304,10548391936,12617879552,1.140,2.830,3.930,56,12,10,58,0,0,0,68,0,0,1785856,Mar-22 21:32:25,0,44
56,868,54,814,0,0,0,0,0,0,13216,349813,3364982784,1973858304,10547617792,12617887744,1.140,2.830,3.930,56,12,10,58,0,0,0,15,0,0,0,Mar-22 21:32:26,0,0
56,868,54,814,0,0,0,0,0,0,13216,349823,3364941824,1973858304,10547658752,12617887744,1.140,2.830,3.930,56,12,10,58,0,0,0,27,0,0,0,Mar-22 21:32:27,0,0
56,868,54,814,0,0,0,0,0,0,13216,349833,3364593664,1973342208,10548523008,12617506816,1.140,2.830,3.930,56,12,10,58,0,0,0,23,0,0,0,Mar-22 21:32:28,0,0
56,868,54,814,0,0,0,0,0,0,13216,349839,3365097472,1973342208,10548019200,12617560064,1.130,2.800,3.920,56,12,10,58,0,0,0,18,0,0,0,Mar-22 21:32:29,0,0
56,868,54,814,0,0,0,0,0,0,13216,349832,3365601280,1973096448,10547761152,12617314304,1.130,2.800,3.920,56,12,10,58,0,0,0,16,0,0,0,Mar-22 21:32:30,0,0
56,868,54,814,0,0,0,0,0,0,13216,349833,3365593088,1972580352,10548285440,12616798208,1.130,2.800,3.920,56,12,10,58,0,0,0,45,0,0,204800,Mar-22 21:32:31,0,36
56,868,54,814,0,0,0,0,0,0,13216,349772,3366117376,1972580352,10547761152,12616527872,1.130,2.800,3.920,56,12,10,58,0,0,0,15,0,0,0,Mar-22 21:32:32,0,0
56,868,54,814,0,0,0,0,0,0,13216,349773,3366109184,1972322304,10548027392,12616286208,1.130,2.800,3.920,56,12,10,58,0,0,0,14,0,0,0,Mar-22 21:32:33,0,0
56,868,54,814,0,0,0,0,0,0,13216,349781,3366064128,1972322304,10548072448,12617244672,1.120,2.770,3.900,56,12,10,58,0,0,0,19,0,0,0,Mar-22 21:32:34,0,0
56,868,54,814,0,0,0,0,0,0,13216,349782,3367616512,1971302400,10547539968,12616278016,1.120,2.770,3.900,56,12,10,58,0,0,0,16,0,0,548864,Mar-22 21:32:35,0,28
56,868,54,814,0,0,0,0,0,0,13216,349793,3367239680,1971302400,10547916800,12617924608,1.120,2.770,3.900,56,12,10,58,0,0,0,14,0,0,352256,Mar-22 21:32:36,0,42
56,868,54,814,0,0,0,0,0,0,13216,349793,3367976960,1970307072,10548174848,12616949760,1.120,2.770,3.900,56,12,10,58,0,0,0,35,0,0,3735552,Mar-22 21:32:37,0,532
56,868,54,814,0,0,0,0,0,0,13216,349793,3366637568,1972166656,10547654656,12618817536,1.120,2.770,3.900,56,12,10,58,0,0,0,33,0,0,0,Mar-22 21:32:38,0,0
56,868,54,814,0,0,0,0,0,0,13216,349794,3366338560,1971920896,10548199424,12618575872,1.030,2.720,3.880,56,12,10,58,0,0,0,21,0,0,0,Mar-22 21:32:39,0,0
56,870,54,816,0,0,0,0,0,0,13248,349796,3366559744,1971699712,10548199424,12618366976,1.030,2.720,3.880,56,12,10,58,0,0,0,18,0,0,0,Mar-22 21:32:40,0,0
56,870,54,816,0,0,0,0,0,0,13216,349815,3345481728,1993916416,10547060736,12624052224,1.030,2.720,3.880,56,12,10,58,0,0,0,17,0,0,0,Mar-22 21:32:41,0,0
56,870,54,816,0,0,0,0,0,0,13216,349816,3344408576,1993916416,10548133888,12624084992,1.030,2.720,3.880,56,12,10,58,0,0,0,15,0,0,401408,Mar-22 21:32:42,0,40
56,870,54,816,0,0,0,0,0,0,13216,348717,3345395712,1999097856,10541985792,12623278080,1.030,2.720,3.880,56,12,10,58,0,0,0,60,0,0,0,Mar-22 21:32:43,0,0
56,870,54,816,0,0,0,0,0,0,13216,348716,3345596416,1999151104,10541731840,12623331328,1.030,2.690,3.860,56,12,10,58,0,0,0,32,0,0,0,Mar-22 21:32:44,0,0
56,870,54,816,0,0,0,0,0,0,13216,348716,3345793024,1998946304,10541740032,12623126528,1.030,2.690,3.860,56,12,10,58,0,0,0,19,0,0,0,Mar-22 21:32:45,0,0
56,870,54,816,0,0,0,0,0,0,13216,348716,3345285120,1998946304,10542247936,12623126528,1.030,2.690,3.860,56,12,10,58,0,0,0,20,0,0,0,Mar-22 21:32:46,0,0
56,870,54,816,0,0,0,0,0,0,13216,348715,3345952768,1998782464,10541744128,12622970880,1.030,2.690,3.860,56,12,10,58,0,0,0,15,0,0,1351680,Mar-22 21:32:47,0,36
56,870,54,816,0,0,0,0,0,0,13216,348726,3345084416,1999093760,10542301184,12624367616,1.030,2.690,3.860,56,12,10,58,0,0,0,16,0,0,3260416,Mar-22 21:32:48,0,390
56,870,54,816,0,0,0,0,0,0,13216,348727,3345444864,1998974976,10542059520,12624257024,1.110,2.680,3.850,56,12,10,58,0,0,0,76,0,0,0,Mar-22 21:32:49,0,0
56,870,54,816,0,0,0,0,0,0,13216,348725,3346419712,1998266368,10541793280,12623548416,1.110,2.680,3.850,56,12,10,58,0,0,0,21,0,0,0,Mar-22 21:32:50,0,0
56,870,54,816,0,0,0,0,0,0,13216,348736,3346735104,1997574144,10542170112,12624420864,1.110,2.680,3.850,56,12,10,58,0,0,0,16,0,0,0,Mar-22 21:32:51,0,0
56,870,54,816,0,0,0,0,0,0,13216,348736,3346980864,1997328384,10542170112,12624195584,1.110,2.680,3.850,56,12,10,58,0,0,0,15,0,0,0,Mar-22 21:32:52,0,0
56,870,54,816,0,0,0,0,0,0,13184,348735,3348774912,1996058624,10541645824,12622934016,1.110,2.680,3.850,56,12,10,58,0,0,0,14,0,0,344064,Mar-22 21:32:53,0,20
56,870,54,816,0,0,0,0,0,0,13184,348736,3348942848,1995354112,10542182400,12621078528,1.100,2.650,3.840,56,12,10,58,0,0,0,19,0,0,0,Mar-22 21:32:54,0,0
56,870,54,816,0,0,0,0,0,0,13184,348746,3349315584,1994936320,10542227456,12620730368,1.100,2.650,3.840,56,12,10,58,0,0,0,50,0,0,0,Mar-22 21:32:55,0,0
56,870,54,816,0,0,0,0,0,0,13184,348745,3350831104,1993945088,10541703168,12619739136,1.100,2.650,3.840,56,12,10,58,0,0,0,17,0,0,0,Mar-22 21:32:56,0,0
56,870,54,816,0,0,0,0,0,0,13184,348746,3350773760,1993469952,10542235648,12619264000,1.100,2.650,3.840,56,12,10,58,0,0,0,14,0,0,0,Mar-22 21:32:57,0,0
56,870,54,816,0,0,0,0,0,0,14720,349810,3427606528,1917157376,10541715456,12537061376,1.100,2.650,3.840,56,12,10,58,0,0,0,19,0,0,1482752,Mar-22 21:32:58,0,250
56,870,54,816,0,0,0,0,0,0,13152,349815,3547750400,1790881792,10547847168,12417814528,1.010,2.610,3.820,56,12,10,58,0,0,0,15,0,0,2547712,Mar-22 21:32:59,0,46
56,868,54,814,0,0,0,0,0,0,13184,349812,3547672576,1790464000,10548342784,12417466368,1.010,2.610,3.820,56,12,10,58,0,0,0,34,0,0,0,Mar-22 21:33:00,0,0
56,868,54,814,0,0,0,0,0,0,13216,349814,3549671424,1788731392,10548076544,12415733760,1.010,2.610,3.820,56,12,10,58,0,0,0,54,0,0,0,Mar-22 21:33:01,0,0
56,868,54,814,0,0,0,0,0,0,13216,349825,3549011968,1789054976,10548412416,12416868352,1.010,2.610,3.820,56,12,10,58,0,0,0,17,0,0,0,Mar-22 21:33:02,0,0
56,868,54,814,0,0,0,0,0,0,13216,349821,3550552064,1788551168,10547376128,12416385024,1.010,2.610,3.820,56,12,10,58,0,0,0,16,0,0,0,Mar-22 21:33:03,0,0
56,868,54,814,0,0,0,0,0,0,13216,349822,3549503488,1788551168,10548424704,12416389120,0.930,2.560,3.800,56,12,10,58,0,0,0,17,0,0,925696,Mar-22 21:33:04,0,26
56,868,54,814,0,0,0,0,0,0,13216,349822,3550752768,1787543552,10548183040,12415381504,0.930,2.560,3.800,56,12,10,58,0,0,0,14,0,0,0,Mar-22 21:33:05,0,0
56,868,54,814,0,0,0,0,0,0,13216,349818,3568041984,1769820160,10548617216,12399271936,0.930,2.560,3.800,56,12,10,58,0,0,0,15,0,0,0,Mar-22 21:33:06,0,0
56,868,54,814,0,0,0,0,0,0,13216,349818,3568812032,1768787968,10548879360,12398284800,0.930,2.560,3.800,56,12,10,58,0,0,0,34,0,0,0,Mar-22 21:33:07,0,0
56,868,54,814,0,0,0,0,0,0,13216,349817,3569033216,1768820736,10548625408,12398358528,0.930,2.560,3.800,56,12,10,58,0,0,0,16,0,0,0,Mar-22 21:33:08,0,0
56,868,54,814,0,0,0,0,0,0,13216,349828,3572416512,1765122048,10548940800,12394446848,0.850,2.520,3.780,56,12,10,58,0,0,0,22,0,0,17096704,Mar-22 21:33:09,0,1512
56,868,54,814,0,0,0,0,0,0,13216,349828,3572498432,1765031936,10548948992,12394364928,0.850,2.520,3.780,56,12,10,58,0,0,0,20,0,0,0,Mar-22 21:33:10,0,0
56,868,54,814,0,0,0,0,0,0,13216,349828,3572994048,1765060608,10548424704,12394405888,0.850,2.520,3.780,56,12,10,58,0,0,0,42,0,0,1736704,Mar-22 21:33:11,0,44
56,868,54,814,0,0,0,0,0,0,13216,349829,3573456896,1764569088,10548453376,12393951232,0.850,2.520,3.780,56,12,10,58,0,0,0,22,0,0,147456,Mar-22 21:33:12,0,36
56,870,54,816,0,0,0,0,0,0,13216,349811,3573080064,1764814848,10548584448,12393054208,0.850,2.520,3.780,56,12,10,58,0,0,0,46,0,0,49152,Mar-22 21:33:13,0,14
56,868,54,814,0,0,0,0,0,0,13216,349807,3572195328,1766223872,10548060160,12393717760,0.790,2.480,3.760,56,12,10,58,0,0,0,24,0,0,0,Mar-22 21:33:14,0,0
56,868,54,814,0,0,0,0,0,0,13216,349808,3571937280,1766174720,10548367360,12393668608,0.790,2.480,3.760,56,12,10,58,0,0,0,15,0,0,0,Mar-22 21:33:15,0,0
56,868,54,814,0,0,0,0,0,0,13216,349828,3571740672,1765928960,10548809728,12392603648,0.790,2.480,3.760,56,12,10,58,0,0,0,17,0,0,0,Mar-22 21:33:16,0,0
56,868,54,814,0,0,0,0,0,0,13216,349827,3572486144,1765707776,10548285440,12392407040,0.790,2.480,3.760,56,12,10,58,0,0,0,15,0,0,0,Mar-22 21:33:17,0,0
56,868,54,814,0,0,0,0,0,0,13216,349827,3572154368,1765502976,10548822016,12392235008,0.790,2.480,3.760,56,12,10,58,0,0,0,19,0,0,458752,Mar-22 21:33:18,0,24
56,868,54,814,0,0,0,0,0,0,13216,349827,3572056064,1765601280,10548822016,12392349696,0.720,2.440,3.740,56,12,10,58,0,0,0,56,0,0,49152,Mar-22 21:33:19,0,10
56,868,54,814,0,0,0,0,0,0,13184,349825,3572133888,1766113280,10548232192,12392869888,0.720,2.440,3.740,56,12,10,58,0,0,0,15,0,0,0,Mar-22 21:33:20,0,0
56,868,54,814,0,0,0,0,0,0,13184,349846,3571707904,1765883904,10548887552,12394311680,0.720,2.440,3.740,56,12,10,58,0,0,0,15,0,0,0,Mar-22 21:33:21,0,0
56,868,54,814,0,0,0,0,0,0,13184,349846,3572297728,1765281792,10548899840,12393709568,0.720,2.440,3.740,56,12,10,58,0,0,0,15,0,0,0,Mar-22 21:33:22,0,0
56,868,54,814,0,0,0,0,0,0,13184,349855,3573338112,1764483072,10548658176,12393414656,0.720,2.440,3.740,56,12,10,58,0,0,0,36,0,0,229376,Mar-22 21:33:23,0,26
56,868,54,814,0,0,0,0,0,0,13184,349856,3573800960,1763737600,10548940800,12392693760,0.660,2.400,3.720,56,12,10,58,0,0,0,18,0,0,0,Mar-22 21:33:24,0,0
56,868,54,814,0,0,0,0,0,0,13184,349856,3574743040,1762545664,10549190656,12391501824,0.660,2.400,3.720,56,12,10,58,0,0,0,49,0,0,0,Mar-22 21:33:25,0,0
56,868,54,814,0,0,0,0,0,0,13184,349855,3575447552,1762615296,10548416512,12391571456,0.660,2.400,3.720,56,12,10,58,0,0,0,10,0,0,0,Mar-22 21:33:26,0,0
56,868,54,814,0,0,0,0,0,0,13184,348736,3576401920,1767665664,10542411776,12408049664,0.660,2.400,3.720,56,12,10,58,0,0,0,12,0,0,0,Mar-22 21:33:27,0,0
56,868,54,814,0,0,0,0,0,0,13184,348736,3571023872,1773817856,10541637632,12407054336,0.660,2.400,3.720,56,12,10,58,0,0,0,18,0,0,1327104,Mar-22 21:33:28,0,42
56,868,54,814,0,0,0,0,0,0,13184,348745,3571421184,1773072384,10541985792,12406411264,0.610,2.360,3.700,56,12,10,58,0,0,0,17,0,0,0,Mar-22 21:33:29,0,0
56,868,54,814,0,0,0,0,0,0,13184,348755,3570655232,1773019136,10542804992,12405313536,0.610,2.360,3.700,56,12,10,58,0,0,0,21,0,0,5193728,Mar-22 21:33:30,0,510
56,868,54,814,0,0,0,0,0,0,13152,348754,3571531776,1772658688,10542288896,12404981760,0.610,2.360,3.700,56,12,10,58,0,0,0,28,0,0,0,Mar-22 21:33:31,0,0
56,868,54,814,0,0,0,0,0,0,13152,348754,3572215808,1772224512,10542039040,12404555776,0.610,2.360,3.700,56,12,10,58,0,0,0,15,0,0,0,Mar-22 21:33:32,0,0
56,868,54,814,0,0,0,0,0,0,13152,348755,3571683328,1772224512,10542571520,12404563968,0.610,2.360,3.700,56,12,10,58,0,0,0,15,0,0,557056,Mar-22 21:33:33,0,8
56,868,54,814,0,0,0,0,0,0,13152,348755,3572166656,1771995136,10542317568,12404334592,0.560,2.320,3.680,56,12,10,58,0,0,0,46,0,0,0,Mar-22 21:33:34,0,0
56,868,54,814,0,0,0,0,0,0,13152,348754,3571322880,1773096960,10542059520,12405399552,0.560,2.320,3.680,56,12,10,58,0,0,0,17,0,0,0,Mar-22 21:33:35,0,0
56,868,54,814,0,0,0,0,0,0,13152,348765,3561893888,1781911552,10542673920,12482105344,0.560,2.320,3.680,56,12,10,58,0,0,0,26,0,0,0,Mar-22 21:33:36,0,0
56,868,54,814,0,0,0,0,0,0,13152,348775,3562721280,1781481472,10542276608,12481728512,0.560,2.320,3.680,56,12,10,58,0,0,0,54,0,0,0,Mar-22 21:33:37,0,0
56,868,54,814,0,0,0,0,0,0,13152,348776,3562876928,1781059584,10542542848,12481282048,0.560,2.320,3.680,56,12,10,58,0,0,0,15,0,0,0,Mar-22 21:33:38,0,0
56,868,54,814,0,0,0,0,0,0,13152,348776,3562807296,1780871168,10542800896,12481093632,0.520,2.280,3.660,56,12,10,58,0,0,0,17,0,0,221184,Mar-22 21:33:39,0,20
56,868,54,814,0,0,0,0,0,0,13152,348775,3561930752,1782280192,10542268416,12482510848,0.520,2.280,3.660,56,12,10,58,0,0,0,14,0,0,0,Mar-22 21:33:40,0,0
56,868,54,814,0,0,0,0,0,0,13152,348716,3562160128,1782046720,10542272512,12481994752,0.520,2.280,3.660,56,12,10,58,0,0,0,20,0,0,0,Mar-22 21:33:41,0,0
56,868,54,814,0,0,0,0,0,0,13152,348716,3561893888,1782046720,10542538752,12482064384,0.520,2.280,3.660,56,12,10,58,0,0,0,15,0,0,0,Mar-22 21:33:42,0,0
56,868,54,814,0,0,0,0,0,0,13152,348715,3561734144,1782730752,10542014464,12482748416,0.520,2.280,3.660,56,12,10,58,0,0,0,62,0,0,0,Mar-22 21:33:43,0,0
56,868,54,814,0,0,0,0,0,0,13184,349796,3675492352,1662537728,10548449280,12509237248,0.470,2.240,3.640,56,12,10,58,0,0,0,37,0,0,0,Mar-22 21:33:44,0,0
56,868,54,814,0,0,0,0,0,0,13184,349744,3677794304,1660514304,10548170752,12506738688,0.470,2.240,3.640,56,12,10,58,0,0,0,43,0,8192,14286848,Mar-22 21:33:45,2,1986
56,868,54,814,0,0,0,0,0,0,13184,349743,3678289920,1660284928,10547904512,12506509312,0.470,2.240,3.640,56,12,10,58,0,0,0,17,0,0,2408448,Mar-22 21:33:46,0,30
56,868,54,814,0,0,0,0,0,0,13184,349744,3678257152,1660309504,10547912704,12506525696,0.470,2.240,3.640,56,12,10,58,0,0,0,21,0,0,0,Mar-22 21:33:47,0,0
56,868,54,814,0,0,0,0,0,0,13184,349744,3679244288,1659305984,10547929088,12505530368,0.470,2.240,3.640,56,12,10,58,0,0,0,14,0,0,0,Mar-22 21:33:48,0,0
56,868,54,814,0,0,0,0,0,0,13184,349743,3679223808,1659330560,10547924992,12505567232,0.440,2.200,3.620,56,12,10,58,0,0,0,55,0,0,0,Mar-22 21:33:49,0,0
56,868,54,814,0,0,0,0,0,0,13216,349744,3678896128,1659375616,10548207616,12505612288,0.440,2.200,3.620,56,12,10,58,0,0,0,15,0,0,0,Mar-22 21:33:50,0,0
56,868,54,814,0,0,0,0,0,0,13216,349784,3534196736,1803726848,10548555776,12636139520,0.440,2.200,3.620,56,12,10,58,0,0,0,15,0,0,0,Mar-22 21:33:51,0,0
56,868,54,814,0,0,0,0,0,0,13216,349783,3534696448,1803751424,10548031488,12636176384,0.440,2.200,3.620,56,12,10,58,0,0,0,14,0,0,0,Mar-22 21:33:52,0,0
56,868,54,814,0,0,0,0,0,0,13216,349784,3536207872,1801465856,10548805632,12633853952,0.440,2.200,3.620,56,12,10,58,0,0,0,15,0,0,286720,Mar-22 21:33:53,0,22
56,868,54,814,0,0,0,0,0,0,13216,349784,3535900672,1802014720,10548563968,12634419200,0.400,2.170,3.600,56,12,10,58,0,0,0,21,0,0,0,Mar-22 21:33:54,0,0
56,868,54,814,0,0,0,0,0,0,13248,349783,3537850368,1801109504,10547519488,12633571328,0.400,2.170,3.600,56,12,10,58,0,0,0,53,0,0,0,Mar-22 21:33:55,0,0
56,868,54,814,0,0,0,0,0,0,13248,349783,3537133568,1800630272,10548715520,12633223168,0.400,2.170,3.600,56,12,10,58,0,0,0,16,0,0,0,Mar-22 21:33:56,0,0
56,868,54,814,0,0,0,0,0,0,13216,349784,3537403904,1800658944,10548416512,12633251840,0.400,2.170,3.600,56,12,10,58,0,0,0,31,0,0,270336,Mar-22 21:33:57,0,42
56,868,54,814,0,0,0,0,0,0,13216,349803,3537059840,1800671232,10548748288,12633686016,0.400,2.170,3.600,56,12,10,58,0,0,0,28,0,0,0,Mar-22 21:33:58,0,0
56,868,54,814,0,0,0,0,0,0,13216,349812,3538698240,1799221248,10548559872,12634988544,0.370,2.130,3.580,56,12,10,58,0,0,0,14,0,0,0,Mar-22 21:33:59,0,0
56,868,54,814,0,0,0,0,0,0,13216,349813,3538919424,1798713344,10548846592,12634480640,0.370,2.130,3.580,56,12,10,58,0,0,0,16,0,0,0,Mar-22 21:34:00,0,0
56,868,54,814,0,0,0,0,0,0,13184,349816,3539378176,1798238208,10548862976,12634013696,0.370,2.130,3.580,56,12,10,58,0,0,0,60,0,0,0,Mar-22 21:34:01,0,0
56,868,54,814,0,0,0,0,0,0,13184,349815,3538567168,1799811072,10548101120,12635586560,0.370,2.130,3.580,56,12,10,58,0,0,0,15,0,0,0,Mar-22 21:34:02,0,0
56,868,54,814,0,0,0,0,0,0,13184,349813,3539021824,1798832128,10548625408,12634615808,0.370,2.130,3.580,56,12,10,58,0,0,0,19,0,0,286720,Mar-22 21:34:03,0,40
56,868,54,814,0,0,0,0,0,0,13184,349813,3540307968,1797287936,10548883456,12633100288,0.340,2.090,3.560,56,12,10,58,0,0,0,17,0,0,0,Mar-22 21:34:04,0,0
56,868,54,814,0,0,0,0,0,0,13184,349822,3537301504,1800777728,10548400128,12636622848,0.340,2.090,3.560,56,12,10,58,0,0,0,15,0,0,0,Mar-22 21:34:05,0,0
56,868,54,814,0,0,0,0,0,0,13184,349833,3537977344,1799467008,10549035008,12632829952,0.340,2.090,3.560,56,12,10,58,0,0,0,16,0,0,5242880,Mar-22 21:34:06,0,570
56,868,54,814,0,0,0,0,0,0,13184,349832,3538419712,1799282688,10548776960,12631957504,0.340,2.090,3.560,56,12,10,58,0,0,0,33,0,0,0,Mar-22 21:34:07,0,0
56,868,54,814,0,0,0,0,0,0,13184,349831,3538706432,1799311360,10548461568,12631998464,0.340,2.090,3.560,56,12,10,58,0,0,0,37,0,0,0,Mar-22 21:34:08,0,0
56,868,54,814,0,0,0,0,0,0,13184,349832,3539210240,1798021120,10549248000,12630724608,0.310,2.060,3.540,56,12,10,58,0,0,0,22,0,0,458752,Mar-22 21:34:09,0,18
56,868,54,814,0,0,0,0,0,0,13184,349832,3539460096,1798021120,10548998144,12630745088,0.310,2.060,3.540,56,12,10,58,0,0,0,16,0,0,0,Mar-22 21:34:10,0,0
56,868,54,814,0,0,0,0,0,0,13184,348711,3536306176,1808244736,10541932544,12632301568,0.310,2.060,3.540,56,12,10,58,0,0,0,21,0,0,0,Mar-22 21:34:11,0,0
56,868,54,814,0,0,0,0,0,0,13184,348722,3535323136,1808637952,10542522368,12632506368,0.310,2.060,3.540,56,12,10,58,0,0,0,17,0,0,0,Mar-22 21:34:12,0,0
56,868,54,814,0,0,0,0,0,0,13184,348729,3535122432,1808838656,10542522368,12632727552,0.310,2.060,3.540,56,12,10,58,0,0,0,48,0,0,0,Mar-22 21:34:13,0,0
56,868,54,814,0,0,0,0,0,0,13184,348731,3535802368,1808601088,10542080000,12632694784,0.290,2.020,3.520,56,12,10,58,0,0,0,20,0,0,0,Mar-22 21:34:14,0,0
56,868,54,814,0,0,0,0,0,0,13184,348677,3535486976,1808932864,10542063616,12632793088,0.290,2.020,3.520,56,12,10,58,0,0,0,19,0,0,1343488,Mar-22 21:34:15,0,38
56,868,54,814,0,0,0,0,0,0,13184,348677,3536543744,1807474688,10542465024,12631343104,0.290,2.020,3.520,56,12,10,58,0,0,0,17,0,0,2867200,Mar-22 21:34:16,0,358
56,868,54,814,0,0,0,0,0,0,13184,348676,3535478784,1809297408,10541707264,12633165824,0.290,2.020,3.520,56,12,10,58,0,0,0,17,0,0,0,Mar-22 21:34:17,0,0
56,868,54,814,0,0,0,0,0,0,13184,348677,3534934016,1809051648,10542497792,12632936448,0.290,2.020,3.520,56,12,10,58,0,0,0,15,0,0,0,Mar-22 21:34:18,0,0
56,868,54,814,0,0,0,0,0,0,13184,348687,3535081472,1809113088,10542288896,12634013696,0.420,2.020,3.510,56,12,10,58,0,0,0,58,0,0,0,Mar-22 21:34:19,0,0
56,868,54,814,0,0,0,0,0,0,13184,348683,3535654912,1808605184,10542223360,12633493504,0.420,2.020,3.510,56,12,10,58,0,0,0,18,0,0,540672,Mar-22 21:34:20,0,40
56,868,54,814,0,0,0,0,0,0,13184,348694,3535937536,1808154624,10542391296,12633042944,0.420,2.020,3.510,56,12,10,58,0,0,0,16,0,0,0,Mar-22 21:34:21,0,0
56,868,54,814,0,0,0,0,0,0,13184,348694,3534053376,1809780736,10542649344,12634669056,0.420,2.020,3.510,56,12,10,58,0,0,0,14,0,0,0,Mar-22 21:34:22,0,0
56,868,54,814,0,0,0,0,0,0,13184,348693,3534643200,1809715200,10542125056,12634603520,0.420,2.020,3.510,56,12,10,58,0,0,0,16,0,0,0,Mar-22 21:34:23,0,0
56,868,54,814,0,0,0,0,0,0,13216,348694,3534319616,1809502208,10542661632,12634402816,0.390,1.990,3.490,56,12,10,58,0,0,0,18,0,0,0,Mar-22 21:34:24,0,0
