"Dstat 1.1.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dool/io_socket_sys.csv --io --socket --sys 1 600",,,,"Date:","22 Mar 2023 21:32:08 -03"
"io/total",,"sockets",,,,,"system",
0,0,1074,20,19,0,0,1014,2673
0,0,1074,20,19,0,0,843,1710
0,0,1074,20,19,0,0,632,1129
0,24,1073,19,19,0,0,993,2638
0,10,1073,19,19,0,0,945,1623
0,0,1073,19,19,0,0,889,2453
0,0,1073,19,19,0,0,837,1275
0,0,1073,19,19,0,0,743,1367
0,26,1073,19,19,0,0,1173,3607
0,0,1073,19,19,0,0,693,1233
0,0,1073,19,19,0,0,907,2477
0,0,1073,19,19,0,0,675,1172
0,0,1073,19,19,0,0,714,1194
0,42,1073,19,19,0,0,906,2550
0,0,1073,19,19,0,0,700,1234
0,510,1072,18,19,0,0,1178,3590
0,0,1072,18,19,0,0,805,1344
0,0,1072,18,19,0,0,660,1218
0,0,1072,18,19,0,0,930,2476
0,8,1072,18,19,0,0,1010,2315
0,0,1072,18,19,0,0,912,2458
0,0,1072,18,19,0,0,752,1169
0,0,1072,18,19,0,0,801,1354
0,0,1072,18,19,0,0,988,2530
0,20,1072,18,19,0,0,780,1377
0,0,1072,18,19,0,0,929,2389
0,0,1072,18,19,0,0,686,1098
0,0,1072,18,19,0,0,725,1261
0,0,1072,18,19,0,0,1010,2601
0,0,1072,18,19,0,0,1850,35785
2,1986,1070,16,19,0,0,2570,8821
0,30,1070,16,19,0,0,786,1331
0,0,1070,16,19,0,0,705,1253
0,0,1070,16,19,0,0,990,2635
0,0,1070,16,19,0,0,757,1283
0,0,1070,16,19,0,0,817,2311
0,0,1070,16,19,0,0,886,1735
0,0,1070,16,19,0,0,706,1340
0,22,1070,16,19,0,0,946,2565
0,0,1070,16,19,0,0,717,1335
0,0,1070,16,19,0,0,945,2649
0,0,1070,16,19,0,0,813,1369
0,42,1070,16,19,0,0,927,2169
0,0,1070,16,19,0,0,926,2567
0,0,1070,16,19,0,0,739,1263
0,0,1070,16,19,0,0,1060,2724
0,0,1070,16,19,0,0,974,3607
0,0,1070,16,19,0,0,682,1145
0,40,1070,16,19,0,0,908,2602
0,0,1070,16,19,0,0,710,1210
0,0,1070,16,19,0,0,969,2439
0,570,1070,16,19,0,0,989,2217
0,0,1070,16,19,0,0,748,1268
0,0,1070,16,19,0,0,1158,3228
0,18,1070,16,19,0,0,771,1429
0,0,1070,16,19,0,0,874,2617
0,0,1070,16,19,0,0,712,1181
0,0,1070,16,19,0,0,727,1222
0,0,1070,16,19,0,0,772,1235
0,0,1070,16,19,0,0,925,2353
0,38,1073,16,22,0,0,893,2698
0,358,1073,16,22,0,0,905,1858
0,0,1073,16,22,0,0,678,1203
0,0,1073,16,22,0,0,693,1186
0,0,1073,16,22,0,0,1183,3406
0,40,1070,16,19,0,0,955,2561
0,0,1070,16,19,0,0,1101,1232
0,0,1070,16,19,0,0,754,1224
0,0,1070,16,19,0,0,765,1283
0,0,1070,16,19,0,0,885,2475
0,22,1071,17,19,0,0,993,2422
0,0,1071,17,19,0,0,1112,2761
0,330,1071,17,19,0,0,804,1597
0,0,1071,17,19,0,0,910,1825
0,0,1071,17,19,0,0,2113,35539
0,0,1071,17,19,0,0,988,2395
0,40,1071,17,19,0,0,983,2449
0,0,1071,17,19,0,0,721,1348
0,0,1071,17,19,0,0,756,1331
0,0,1071,17,19,0,0,986,2492
0,0,1071,17,19,0,0,724,1192
0,66,1071,17,19,0,0,1030,2626
0,2112,1071,17,19,0,0,2227,6857
0,0,1071,17,19,0,0,755,1313
0,0,1075,19,19,0,0,1066,2707
0,0,1071,17,19,0,0,788,1369
0,0,1071,17,19,0,0,1062,3357
0,44,1071,17,19,0,0,728,1251
0,0,1071,17,19,0,0,767,1339
0,0,1071,17,19,0,0,1020,2433
0,0,1073,19,19,0,0,1140,2475
0,0,1073,19,19,0,0,991,2596
0,0,1073,19,19,0,0,704,1247
0,12,1073,19,19,0,0,793,1442
0,0,1073,19,19,0,0,1027,2598
0,0,1073,19,19,0,0,704,1203
0,0,1073,19,19,0,0,978,2498
0,0,1073,19,19,0,0,662,1235
0,0,1073,19,19,0,0,909,2217
0,36,1073,19,19,0,0,1056,2585
0,0,1073,19,19,0,0,769,1273
0,0,1073,19,19,0,0,939,2438
0,0,1073,19,19,0,0,761,1287
0,450,1073,19,19,0,0,868,1721
0,18,1073,19,19,0,0,984,2430
0,0,1073,19,19,0,0,811,1474
0,0,1073,19,19,0,0,1466,6318
0,0,1073,19,19,0,0,713,1220
0,0,1073,19,19,0,0,771,1298
0,16,1073,19,19,0,0,1195,3513
0,0,1073,19,19,0,0,699,1198
0,0,1073,19,19,0,0,1040,2575
0,0,1073,19,19,0,0,760,1282
0,326,1073,19,19,0,0,931,1857
0,0,1073,19,19,0,0,1148,2568
0,22,1073,19,19,0,0,1018,2273
0,0,1073,19,19,0,0,981,2570
0,0,1073,19,19,0,0,732,1210
0,24,1073,19,19,0,0,816,1430
0,0,1073,19,19,0,0,1867,36480
0,0,1073,19,19,0,0,1073,2433
0,0,1073,19,19,0,0,996,2488
0,0,1073,19,19,0,0,714,1240
0,32,1073,19,19,0,0,784,1341
2,2424,1073,19,19,0,0,2766,9583
0,0,1071,17,19,0,0,748,1222
0,0,1071,17,19,0,0,1172,3468
0,0,1071,17,19,0,0,833,1462
0,0,1071,17,19,0,0,753,1307
0,16,1071,17,19,0,0,870,2519
0,0,1071,17,19,0,0,751,1292
0,0,1071,17,19,0,0,966,2460
0,0,1071,17,19,0,0,809,2009
0,0,1071,17,19,0,0,859,1372
0,18,1071,17,19,0,0,1047,2541
0,0,1073,17,19,0,0,754,1438
0,0,1071,17,19,0,0,961,2571
0,0,1071,17,19,0,0,705,1206
0,0,1071,17,19,0,0,844,1429
0,24,1071,17,19,0,0,1012,2723
0,416,1071,17,19,0,0,821,1404
0,0,1071,17,19,0,0,1070,2949
0,0,1071,17,19,0,0,803,1309
0,0,1071,17,19,0,0,931,2218
0,12,1071,17,19,0,0,931,2499
0,0,1071,17,19,0,0,767,1328
0,0,1071,17,19,0,0,909,2540
0,0,1071,17,19,0,0,750,1258
0,0,1071,17,19,0,0,795,1370
0,0,1071,17,19,0,0,905,2391
0,0,1071,17,19,0,0,720,1235
0,42,1071,17,19,0,0,1357,3848
0,0,1071,17,19,0,0,689,1222
0,0,1071,17,19,0,0,774,1364
0,0,1071,17,19,0,0,1077,3316
0,410,1071,17,19,0,0,863,1840
0,16,1071,17,19,0,0,995,2611
0,0,1071,17,19,0,0,739,1326
0,0,1071,17,19,0,0,772,1270
0,0,1071,17,19,0,0,914,2598
0,0,1071,17,19,0,0,762,1267
0,54,1089,17,19,0,0,2417,9248
0,0,1089,17,19,0,0,865,1721
0,62,1089,17,19,0,0,850,1539
0,0,1089,17,19,0,0,1875,36078
0,0,1089,17,19,0,0,783,1341
0,0,1090,18,19,0,0,1300,5852
0,0,1089,17,19,0,0,776,1325
0,46,1089,17,19,0,0,796,1387
0,0,1089,17,19,0,0,836,2415
0,0,1089,17,19,0,0,792,1323
0,42,1089,17,19,0,0,943,2590
0,0,1089,17,19,0,0,766,1271
0,0,1089,17,19,0,0,753,1305
0,0,1089,17,19,0,0,812,2382
0,0,1089,17,19,0,0,781,1411
0,2790,1090,17,19,0,0,5122,29499
0,112,1092,17,19,0,0,7064,7063
0,154,1092,17,19,0,0,2156,2800
0,0,1092,17,19,0,0,980,2315
0,146,1095,17,22,0,0,3101,4445
0,2,1095,17,22,0,0,839,2125
0,0,1095,17,22,0,0,846,1794
0,0,1095,17,22,0,0,690,1242
0,0,1098,17,25,0,0,804,1365
0,32,1092,17,19,0,0,900,2445
0,0,1092,17,19,0,0,801,1326
0,0,1092,17,19,0,0,899,2450
0,0,1092,17,19,0,0,1038,2355
0,0,1092,17,19,0,0,760,1258
0,36,1092,17,19,0,0,900,2604
0,60,1092,17,19,0,0,2400,4512
0,0,1092,17,19,0,0,1168,2571
0,0,1091,17,19,0,0,821,1387
0,82,1091,17,19,0,0,774,1287
0,0,1085,17,19,0,0,1065,2932
0,754,1075,17,19,0,0,1394,2955
0,0,1075,17,19,0,0,945,2515
0,0,1075,17,19,0,0,733,1373
0,0,1075,17,19,0,0,989,2319
0,26,1075,17,19,0,0,1087,2727
0,0,1075,17,19,0,0,714,1194
0,0,1078,17,19,0,0,1088,2593
0,0,1076,17,19,0,0,776,1317
0,0,1076,17,19,0,0,720,1246
0,28,1075,17,19,0,0,955,2493
0,24,1074,17,19,0,0,744,1275
0,0,1073,17,19,0,0,958,2575
0,0,1073,17,19,0,0,769,1325
0,0,1072,17,19,0,0,1257,3991
0,18,1072,17,19,0,0,1320,33318
0,0,1073,18,19,0,0,1042,2922
0,0,1072,17,19,0,0,1117,2662
0,0,1072,17,19,0,0,784,1309
0,0,1072,17,19,0,0,742,1316
0,0,1071,17,19,0,0,949,2486
0,20,1071,17,19,0,0,829,2083
0,0,1071,17,19,0,0,998,2493
0,0,1071,17,19,0,0,727,1351
0,0,1071,17,19,0,0,767,1300
0,0,1071,17,19,0,0,993,2578
0,20,1071,17,19,0,0,932,2158
0,0,1071,17,19,0,0,968,2497
0,0,1071,17,19,0,0,793,1318
0,0,1071,17,19,0,0,769,1385
0,32,1071,17,19,0,0,977,2645
0,0,1071,17,19,0,0,1072,3715
0,1646,1071,17,19,0,0,2030,7402
0,0,1071,17,19,0,0,755,1261
0,66,1071,17,19,0,0,819,1383
0,0,1071,17,19,0,0,932,2430
0,0,1072,18,19,0,0,794,2233
0,0,1071,17,19,0,0,1084,2611
0,0,1071,17,19,0,0,728,1298
0,28,1071,17,19,0,0,717,1250
0,0,1071,17,19,0,0,920,2573
0,0,1071,17,19,0,0,678,1178
0,0,1071,17,19,0,0,978,2583
0,0,1071,17,19,0,0,836,1321
0,0,1071,17,19,0,0,766,1337
0,0,1071,17,19,0,0,928,2626
0,28,1071,17,19,0,0,762,1283
0,0,1072,18,19,0,0,999,3218
0,0,1071,17,19,0,0,822,1384
0,0,1071,17,19,0,0,777,1269
0,0,1071,17,19,0,0,910,2503
0,8,1071,17,19,0,0,822,1767
0,0,1071,17,19,0,0,929,2628
0,608,1071,17,19,0,0,1106,2415
0,0,1071,17,19,0,0,781,1358
0,0,1072,18,19,0,0,1166,3515
0,0,1072,18,19,0,0,741,1314
0,20,1072,18,19,0,0,923,2474
0,0,1073,19,19,0,0,952,2236
0,0,1072,18,19,0,0,727,1230
0,0,1072,18,19,0,0,2042,36462
0,34,1072,18,19,0,0,800,1330
0,0,1072,18,19,0,0,924,2411
0,0,1072,18,19,0,0,797,1357
0,2042,1072,18,19,0,0,2274,6884
0,0,1072,18,19,0,0,1001,2484
0,0,1072,18,19,0,0,829,1246
0,20,1072,18,19,0,0,1040,2850
0,12,1072,18,19,0,0,772,1378
0,0,1073,19,19,0,0,850,2067
0,0,1075,19,19,0,0,1072,2696
0,0,1075,19,19,0,0,1577,2744
0,0,1075,19,19,0,0,1822,4067
0,22,1075,19,19,0,0,1676,2944
0,0,1075,19,19,0,0,1533,2727
0,0,1075,19,19,0,0,1816,4075
0,0,1075,19,19,0,0,1628,2865
0,0,1075,19,19,0,0,1765,4064
0,16,1075,19,19,0,0,1652,2994
0,0,1075,19,19,0,0,1772,3757
0,532,1075,19,19,0,0,2058,5623
0,0,1075,19,19,0,0,1656,2862
0,0,1075,19,19,0,0,1891,4431
0,0,1075,19,19,0,0,1591,2881
0,32,1075,19,19,0,0,1641,2926
0,0,1075,19,19,0,0,1734,4023
0,0,1075,19,19,0,0,1603,2962
0,0,1075,19,19,0,0,1816,4220
0,88,1075,19,19,0,0,1665,3024
0,0,1075,19,19,0,0,1511,2784
0,0,1072,18,19,0,0,1518,3377
0,0,1072,18,19,0,0,1303,4607
0,0,1072,18,19,0,0,832,2553
0,0,1072,18,19,0,0,816,1319
0,8,1072,18,19,0,0,730,1305
0,0,1072,18,19,0,0,733,1221
0,578,1072,18,19,0,0,1134,3039
0,0,1072,18,19,0,0,998,2535
0,0,1072,18,19,0,0,812,1465
0,10,1072,18,19,0,0,754,1314
0,0,1072,18,19,0,0,778,1335
0,0,1072,18,19,0,0,782,2476
0,0,1072,18,19,0,0,837,2019
0,0,1075,19,19,0,0,1202,2742
0,32,1072,18,19,0,0,865,1575
0,0,1075,18,22,0,0,2246,35009
0,0,1075,18,22,0,0,942,2453
0,0,1075,18,22,0,0,656,1166
0,0,1075,18,22,0,0,917,2340
0,202,1075,18,22,0,0,915,1724
0,0,1072,18,19,0,0,656,1213
0,2100,1072,18,19,0,0,2716,8836
0,0,1072,18,19,0,0,787,1494
0,108,1072,18,19,0,0,1212,3508
0,0,1072,18,19,0,0,755,1224
0,20,1072,18,19,0,0,828,1485
0,0,1072,18,19,0,0,962,2617
0,0,1072,18,19,0,0,712,1218
0,0,1072,18,19,0,0,982,2524
0,0,1072,18,19,0,0,705,1176
0,34,1071,17,19,0,0,728,1352
20,50,1077,17,19,0,0,4778,414674
42,8,1077,17,19,0,0,4878,399630
0,0,1077,17,19,0,0,1193,3183
0,0,1077,17,19,0,0,623,1080
0,0,1078,18,19,0,0,1004,7652
0,44,1077,17,19,0,0,1180,2681
0,0,1077,17,19,0,0,822,1475
0,0,1077,17,19,0,0,981,2939
0,2,1077,17,19,0,0,1370,5411
0,0,1077,17,19,0,0,1074,8286
0,24,1077,17,19,0,0,1379,3819
0,706,1077,17,19,0,0,1033,5315
0,0,1077,17,19,0,0,1572,4156
0,0,1077,17,19,0,0,1063,2339
0,0,1077,17,19,0,0,1174,2340
0,0,1077,17,19,0,0,1126,3562
0,42,1077,17,19,0,0,792,1426
0,0,1077,17,19,0,0,983,2404
0,0,1077,17,19,0,0,692,1129
0,0,1077,17,19,0,0,1089,2767
0,0,1077,17,19,0,0,1044,2802
0,0,1077,17,19,0,0,951,1923
0,432,1077,17,19,0,0,1255,3384
0,0,1077,17,19,0,0,686,1133
0,0,1077,17,19,0,0,693,1160
0,0,1077,17,19,0,0,873,2288
0,0,1077,17,19,0,0,1164,2904
0,28,1077,17,19,0,0,1146,2986
0,0,1077,17,19,0,0,1109,2259
0,0,1077,17,19,0,0,2231,35022
0,0,1077,17,19,0,0,1506,5709
0,0,1071,17,19,0,0,843,1459
0,34,1071,17,19,0,0,1148,3036
0,2586,1071,17,19,0,0,2417,6963
0,0,1071,17,19,0,0,645,1024
0,0,1071,17,19,0,0,925,2244
0,0,1071,17,19,0,0,1003,2193
0,0,1072,18,19,0,0,1297,4003
0,0,1071,17,19,0,0,961,1613
0,16,1071,17,19,0,0,822,1450
0,0,1071,17,19,0,0,848,2232
0,0,1071,17,19,0,0,627,992
0,0,1069,18,19,0,0,1473,4784
0,0,1069,18,19,0,0,1494,3171
0,0,1069,18,19,0,0,993,2010
0,20,1069,18,19,0,0,1316,2804
0,0,1069,18,19,0,0,827,1353
0,0,1069,18,19,0,0,1000,2651
0,0,1070,19,19,0,0,852,2045
0,0,1069,18,19,0,0,793,1220
0,30,1069,18,19,0,0,894,2366
0,0,1069,18,19,0,0,1137,5188
0,0,1069,18,19,0,0,966,2490
0,30,1069,18,19,0,0,789,1229
0,0,1069,18,19,0,0,825,1271
0,0,1069,18,19,0,0,1445,3232
0,0,1069,18,19,0,0,1311,5199
0,0,1069,18,19,0,0,1053,2528
0,40,1069,18,19,0,0,948,1527
0,712,1069,18,19,0,0,1209,3540
0,0,1069,18,19,0,0,1626,4250
0,0,1069,18,19,0,0,1089,2582
0,0,1069,18,19,0,0,1456,3653
0,18,1069,18,19,0,0,1186,2658
0,0,1069,18,19,0,0,933,1916
0,0,1077,18,19,0,0,1532,23889
6,26,1079,18,19,0,0,2387,7040
0,0,1079,18,19,0,0,2990,7273
0,0,1079,18,19,0,0,2258,4516
0,0,1083,20,19,0,0,2632,5214
0,0,1080,19,19,0,0,2551,6304
0,24,1079,18,19,0,0,1958,4343
0,40,1079,18,19,0,0,1522,4088
0,0,1079,18,19,0,0,574,979
0,0,1079,18,19,0,0,1546,34165
0,1952,1079,18,19,0,0,2160,7828
0,0,1079,18,19,0,0,628,927
0,0,1079,18,19,0,0,807,2295
0,42,1079,18,19,0,0,671,1054
0,0,1080,19,19,0,0,1700,3946
0,0,1079,18,19,0,0,939,1791
0,0,1079,18,19,0,0,996,2601
0,0,1079,18,19,0,0,1632,4166
0,20,1079,18,19,0,0,1329,2497
0,0,1079,18,19,0,0,638,1048
0,0,1079,18,19,0,0,567,902
0,0,1079,18,19,0,0,743,2109
0,0,1079,18,19,0,0,1594,3079
0,16,1079,18,19,0,0,837,2161
0,0,1079,18,19,0,0,1572,3073
0,610,1079,18,19,0,0,1128,4204
0,0,1079,18,19,0,0,1936,4650
0,0,1079,18,19,0,0,949,2140
0,40,1079,18,19,0,0,857,2229
0,0,1079,18,19,0,0,1315,2442
0,0,1079,18,19,0,0,1628,3265
0,0,1079,18,19,0,0,1008,2660
0,0,1079,18,19,0,0,788,1390
0,0,1079,18,19,0,0,1940,4617
0,22,1079,18,19,0,0,1166,2027
0,0,1079,18,19,0,0,1272,2262
0,0,1081,20,19,0,0,970,3004
0,0,1081,20,19,0,0,649,1067
0,0,1081,20,19,0,0,1085,3159
0,44,1084,20,22,0,0,1240,2338
0,0,1084,20,22,0,0,1939,3614
0,24,1074,20,22,0,0,2109,6300
0,0,1074,20,22,0,0,1171,1252
0,0,1074,20,22,0,0,1583,3226
0,0,1071,20,19,0,0,898,1410
0,0,1071,20,19,0,0,924,4421
0,526,1081,20,19,0,0,2211,26153
4,52,1081,20,19,0,0,2914,6671
0,0,1081,20,19,0,0,2764,6771
0,0,1081,20,19,0,0,2679,5817
0,0,1081,20,19,0,0,2441,4824
0,0,1081,20,19,0,0,2486,6277
0,30,1081,20,19,0,0,2196,4480
0,0,1081,20,19,0,0,1474,3630
0,0,1081,20,19,0,0,1385,2655
0,124,1081,20,19,0,0,2205,35070
0,0,1081,20,19,0,0,813,2212
0,0,1081,20,19,0,0,603,1041
0,0,1081,20,19,0,0,1766,4111
0,0,1081,20,19,0,0,968,1793
0,0,1081,20,19,0,0,891,2538
0,1920,1081,20,19,0,0,2431,8868
0,0,1081,20,19,0,0,943,1857
0,0,1081,20,19,0,0,2568,6125
0,0,1081,20,19,0,0,1379,2536
0,0,1081,20,19,0,0,2188,4327
0,28,1081,20,19,0,0,1192,3190
0,0,1081,20,19,0,0,687,1112
0,0,1081,20,19,0,0,715,2183
0,0,1082,21,19,0,0,963,2425
0,0,1081,20,19,0,0,716,1089
0,38,1081,20,19,0,0,999,3163
0,0,1081,20,19,0,0,701,1110
0,0,1081,20,19,0,0,852,2288
0,0,1081,20,19,0,0,1455,3069
0,0,1081,20,19,0,0,1539,3560
0,0,1081,20,19,0,0,1190,3185
0,20,1081,20,19,0,0,2663,5429
0,18,1071,20,19,0,0,2645,7118
0,12,1071,20,19,0,0,1390,9646
0,62,1088,20,19,0,0,1960,6154
0,0,1088,20,19,0,0,1016,2695
0,0,1088,20,19,0,0,1118,2505
0,0,1089,20,19,0,0,1374,3706
0,0,1089,20,19,0,0,1155,2195
0,46,1089,20,19,0,0,1150,4029
0,0,1090,21,19,0,0,1071,3305
0,770,1089,20,19,0,0,1516,3577
0,64,1089,20,19,0,0,1022,2903
0,0,1089,20,19,0,0,776,1263
0,20,1089,20,19,0,0,828,1433
0,0,1089,20,19,0,0,931,2558
0,0,1089,20,19,0,0,766,1307
0,0,1089,20,19,0,0,1134,3442
0,0,1089,20,19,0,0,735,1213
0,40,1073,20,19,0,0,1034,1958
0,0,1073,20,19,0,0,972,2453
0,0,1073,20,19,0,0,821,1587
0,0,1073,20,19,0,0,913,2358
0,0,1073,20,19,0,0,712,1273
0,46,1073,20,19,0,0,2045,34448
0,0,1073,20,19,0,0,983,2586
0,0,1073,20,19,0,0,711,1266
0,10,1073,20,19,0,0,1048,2712
0,0,1073,20,19,0,0,984,2257
0,28,1073,20,19,0,0,747,1242
0,0,1073,20,19,0,0,1062,2786
0,0,1073,20,19,0,0,779,1278
2,2622,1073,20,19,0,0,2624,9096
0,32,1072,20,19,0,0,813,1435
0,66,1072,20,19,0,0,1022,1749
0,0,1072,20,19,0,0,1210,3927
0,0,1071,20,19,0,0,870,1610
0,0,1071,20,19,0,0,975,2576
0,0,1072,21,19,0,0,812,2043
0,0,1071,20,19,0,0,854,1380
0,30,1071,20,19,0,0,881,2421
0,0,1071,20,19,0,0,761,1303
0,0,1071,20,19,0,0,1041,2679
0,0,1071,20,19,0,0,754,1272
0,0,1071,20,19,0,0,739,1186
0,0,1074,20,19,0,0,851,2465
0,28,1074,20,19,0,0,762,1357
0,0,1071,20,19,0,0,893,2534
0,0,1071,20,19,0,0,739,1282
0,0,1071,20,19,0,0,852,2086
0,0,1071,20,19,0,0,871,1733
0,20,1071,20,19,0,0,1001,2181
0,610,1071,20,19,0,0,1094,3217
0,0,1071,20,19,0,0,707,1197
0,0,1071,20,19,0,0,815,1244
0,0,1071,20,19,0,0,780,1288
0,0,1071,20,19,0,0,982,2594
0,42,1071,20,19,0,0,862,2582
0,0,1071,20,19,0,0,700,1224
0,0,1071,20,19,0,0,774,1371
0,0,1071,20,19,0,0,934,2169
0,0,1071,20,19,0,0,1057,2697
0,24,1071,20,19,0,0,939,3087
0,0,1071,20,19,0,0,902,1631
0,32,1071,20,19,0,0,740,1272
0,0,1071,20,19,0,0,671,1151
0,0,1071,20,19,0,0,1063,2807
0,28,1071,20,19,0,0,810,1409
0,506,1071,20,19,0,0,1131,2916
0,0,1071,20,19,0,0,2446,36991
0,0,1071,20,19,0,0,792,1790
0,0,1071,20,19,0,0,1172,3481
0,42,1071,20,19,0,0,784,1367
0,0,1071,20,19,0,0,861,2405
0,0,1071,20,19,0,0,941,2016
0,0,1071,20,19,0,0,808,1354
