"Dstat 1.1.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dool/socket_lock_fs_swap_zones_io_vm-adv_time_ipc.csv --socket --lock --fs --swap --zones --io --vm-adv --time --ipc 1 600",,,,"Date:","23 Mar 2023 13:42:08 -03"
"sockets",,,,,"file locks",,,,"filesystem",,"swap",,"zones memory",,,,"io/total",,"advanced virtual memory",,,,,"system","sysv ipc",,
1203,26,33,0,0,83,12,13,82,14048,182381,108527616,914878464,159503,3141,484952,22688,0,82,0,0,0,0,0,Mar-23 13:42:31,0,0,5
1203,26,33,0,0,83,12,13,82,14080,182391,108527616,914878464,159503,3141,482481,22688,0,28,0,0,0,0,0,Mar-23 13:42:32,0,0,5
1203,26,33,0,0,83,12,13,82,14016,182393,108527616,914878464,159503,3141,482233,22688,0,214,0,0,0,0,0,Mar-23 13:42:33,0,0,5
1203,26,33,0,0,83,12,13,82,14048,182365,108527616,914878464,159503,3141,487600,22688,0,0,0,0,0,0,0,Mar-23 13:42:34,0,0,5
1203,26,33,0,0,83,12,13,82,14016,182364,108527616,914878464,159503,3141,487482,22688,0,36,0,0,0,0,0,Mar-23 13:42:35,0,0,5
1203,26,33,0,0,83,12,13,82,14048,182387,108527616,914878464,159503,3141,487710,22688,0,0,0,0,0,0,0,Mar-23 13:42:36,0,0,5
1203,26,33,0,0,83,12,13,82,14016,182393,108527616,914878464,159503,3141,486943,22688,0,0,0,0,0,0,0,Mar-23 13:42:37,0,0,5
1203,26,33,0,0,83,12,13,82,14048,182400,108527616,914878464,159503,3141,486349,22688,0,468,0,0,0,0,0,Mar-23 13:42:38,0,0,5
1203,26,33,0,0,83,12,13,82,14048,182402,108527616,914878464,159503,3141,484740,22688,0,0,0,0,0,0,0,Mar-23 13:42:39,0,0,5
1203,26,33,0,0,83,12,13,82,14048,182376,108527616,914878464,159748,3141,484799,22688,0,38,0,0,0,0,0,Mar-23 13:42:40,0,0,5
1203,26,33,0,0,83,12,13,82,14048,182376,108527616,914878464,159767,3141,484592,22688,0,0,0,0,0,0,0,Mar-23 13:42:41,0,0,5
1203,26,33,0,0,83,12,13,82,14048,182377,108527616,914878464,159767,3141,484423,22688,0,0,0,0,0,0,0,Mar-23 13:42:42,0,0,5
1203,26,33,0,0,83,12,13,82,14080,182399,108527616,914878464,159767,3141,494350,22688,0,64,0,0,0,0,0,Mar-23 13:42:43,0,0,5
1203,26,33,0,0,83,12,13,82,14080,182403,108527616,914878464,159767,3141,493961,22688,0,0,0,0,0,0,0,Mar-23 13:42:44,0,0,5
1203,26,33,0,0,83,12,13,82,14048,182403,108527616,914878464,159767,3141,493849,22688,0,44,0,0,0,0,0,Mar-23 13:42:45,0,0,5
1203,26,33,0,0,83,12,13,82,14048,182357,108527616,914878464,159767,3141,493670,22688,0,0,0,0,0,0,0,Mar-23 13:42:46,0,0,5
1203,26,33,0,0,83,12,13,82,14048,182384,108527616,914878464,159767,3141,489410,22688,0,0,0,0,0,0,0,Mar-23 13:42:47,0,0,5
1203,26,33,0,0,83,12,13,82,14048,182386,108527616,914878464,159767,3141,488705,22688,0,82,0,0,0,0,0,Mar-23 13:42:48,0,0,5
1204,26,33,0,0,83,12,13,82,14016,182390,108527616,914878464,159767,3141,488480,22688,0,0,0,0,0,0,0,Mar-23 13:42:49,0,0,5
1204,26,33,0,0,83,12,13,82,14016,182412,108527616,914878464,159767,3141,500459,22688,0,32,0,0,0,0,0,Mar-23 13:42:50,0,0,5
1204,26,33,0,0,83,12,13,82,14048,181306,108527616,914878464,159767,3141,503508,22688,0,80,0,0,0,0,0,Mar-23 13:42:51,0,0,5
1204,26,33,0,0,83,12,13,82,14048,181305,108527616,914878464,159767,3141,503217,22688,0,0,0,0,0,0,0,Mar-23 13:42:52,0,0,5
1204,26,33,0,0,83,12,13,82,14048,181306,108527616,914878464,159767,3141,502866,22688,0,48,0,0,0,0,0,Mar-23 13:42:53,0,0,5
1204,26,33,0,0,83,12,13,82,14016,181288,108527616,914878464,159767,3141,499384,22688,0,38,0,0,0,0,0,Mar-23 13:42:54,0,0,5
1204,26,33,0,0,83,12,13,82,14048,181288,108527616,914878464,159767,3141,499345,22688,0,0,0,0,0,0,0,Mar-23 13:42:55,0,0,5
1204,26,33,0,0,83,12,13,82,14048,181288,108527616,914878464,159767,3141,499260,22688,0,0,0,0,0,0,0,Mar-23 13:42:56,0,0,5
1204,26,33,0,0,83,12,13,82,14080,181314,108527616,914878464,159767,3141,513210,22688,0,0,0,0,0,0,0,Mar-23 13:42:57,0,0,5
1204,26,33,0,0,83,12,13,82,14112,181319,108527616,914878464,159767,3141,512942,22688,0,332,0,0,0,0,0,Mar-23 13:42:58,0,0,5
1204,26,33,0,0,83,12,13,82,14048,181315,108527616,914878464,159767,3141,513003,22688,0,1246,0,0,0,0,0,Mar-23 13:42:59,0,0,5
1204,26,33,0,0,83,12,13,82,14048,181316,108527616,914878464,159767,3141,512804,22688,0,16,0,0,0,0,0,Mar-23 13:43:00,0,0,5
1204,26,33,0,0,83,12,13,82,14048,181290,108527616,914878464,159767,3141,512725,22688,0,0,0,0,0,0,0,Mar-23 13:43:01,0,0,5
1204,26,33,0,0,83,12,13,82,14048,182409,108527616,914878464,159767,3141,479157,22688,0,0,0,0,0,0,0,Mar-23 13:43:02,0,0,5
1204,26,33,0,0,83,12,13,82,14080,182361,108527616,914878464,159767,3141,478684,22688,0,0,0,0,0,0,0,Mar-23 13:43:03,0,0,5
1204,26,33,0,0,83,12,13,82,14080,182372,108527616,914878464,159767,3141,479971,22688,0,260,0,0,0,0,0,Mar-23 13:43:04,0,0,5
1204,26,33,0,0,83,12,13,82,14080,182380,108527616,914878464,159767,3141,479264,22688,2,0,0,0,0,0,0,Mar-23 13:43:05,0,0,5
1204,26,33,0,0,83,12,13,82,14080,182380,108527616,914878464,159767,3141,479036,22688,0,0,0,0,0,0,0,Mar-23 13:43:06,0,0,5
1204,26,33,0,0,83,12,13,82,14080,182378,108527616,914878464,159767,3141,478861,22688,0,0,0,0,0,0,0,Mar-23 13:43:07,0,0,5
1204,26,33,0,0,83,12,13,82,14048,182350,108527616,914878464,159767,3141,478945,22688,0,0,0,0,0,0,0,Mar-23 13:43:08,0,0,5
1204,26,33,0,0,83,12,13,82,14048,182362,108527616,914878464,159767,3141,479576,22688,0,122,0,0,0,0,0,Mar-23 13:43:09,0,0,5
1204,26,33,0,0,83,12,13,82,14048,182360,108527616,914878464,159767,3141,479318,22688,0,0,0,0,0,0,0,Mar-23 13:43:10,0,0,5
1204,26,33,0,0,83,12,13,82,14080,182383,108527616,914878464,159767,3141,484427,22688,0,0,0,0,0,0,0,Mar-23 13:43:11,0,0,5
1204,26,33,0,0,83,12,13,82,14112,182388,108527616,914878464,159767,3141,483381,22688,0,0,0,0,0,0,0,Mar-23 13:43:12,0,0,5
1204,26,33,0,0,83,12,13,82,14080,182388,108527616,914878464,159767,3141,482954,22688,0,26,0,0,0,0,0,Mar-23 13:43:13,0,0,5
1204,26,33,0,0,83,12,13,82,14112,182388,108527616,914878464,159767,3141,480842,22688,0,478,0,0,0,0,0,Mar-23 13:43:14,0,0,5
1204,26,33,0,0,83,12,13,82,14080,182359,108527616,914878464,159767,3141,481012,22688,0,0,0,0,0,0,0,Mar-23 13:43:15,0,0,5
1204,26,33,0,0,83,12,13,82,14048,182361,108527616,914878464,159767,3141,481624,22688,0,0,0,0,0,0,0,Mar-23 13:43:16,0,0,5
1204,26,33,0,0,83,12,13,82,14048,182372,108527616,914878464,159767,3141,480841,22688,2,0,0,0,0,0,0,Mar-23 13:43:17,0,0,5
1203,26,33,0,0,83,12,13,82,14080,182394,108527616,914878464,159767,3141,489386,22688,0,14,0,0,0,0,0,Mar-23 13:43:18,0,0,5
1203,26,33,0,0,83,12,13,82,14048,182396,108527616,914878464,159767,3141,488829,22688,0,190,0,0,0,0,0,Mar-23 13:43:19,0,0,5
1203,26,33,0,0,83,12,13,82,14048,182395,108527616,914878464,159767,3141,493552,22688,0,0,0,0,0,0,0,Mar-23 13:43:20,0,0,5
1204,27,33,0,0,83,12,13,82,14016,182399,108527616,914878464,159767,3141,496744,22688,0,0,0,0,0,0,0,Mar-23 13:43:21,0,0,5
1204,27,33,0,0,83,12,13,82,14016,182369,108527616,914878464,159767,3141,497409,22688,0,0,0,0,0,0,0,Mar-23 13:43:22,0,0,5
1204,27,33,0,0,83,12,13,82,14016,182369,108527616,914878464,159767,3141,497178,22688,0,0,0,0,0,0,0,Mar-23 13:43:23,0,0,5
1204,27,33,0,0,83,12,13,82,14016,182378,108527616,914878464,159767,3141,493400,22688,0,100,0,0,0,0,0,Mar-23 13:43:24,0,0,5
1204,27,33,0,0,83,12,13,82,14016,182401,108527616,914878464,159767,3141,493324,22688,0,0,0,0,0,0,0,Mar-23 13:43:25,0,0,5
1204,27,33,0,0,83,12,13,82,14048,182406,108527616,914878464,159767,3141,493212,22688,0,0,0,0,0,0,0,Mar-23 13:43:26,0,0,5
1204,27,33,0,0,83,12,13,82,14048,182406,108527616,914878464,159767,3141,508867,22688,0,0,0,0,0,0,0,Mar-23 13:43:27,0,0,5
1204,27,33,0,0,83,12,13,82,14048,182407,108527616,914878464,159767,3141,508889,22688,0,0,0,0,0,0,0,Mar-23 13:43:28,0,0,5
1204,27,33,0,0,83,12,13,82,14080,182407,108527616,914878464,159767,3141,507876,22688,0,126,0,0,0,0,0,Mar-23 13:43:29,0,0,5
1204,27,33,0,0,83,12,13,82,14048,181269,108527616,914878464,159767,3141,515849,22688,0,0,0,0,0,0,0,Mar-23 13:43:30,0,0,5
1204,27,33,0,0,83,12,13,82,14080,181268,108527616,914878464,159767,3141,515803,22688,0,0,0,0,0,0,0,Mar-23 13:43:31,0,0,5
1204,27,33,0,0,83,12,13,82,14080,181303,108527616,914878464,159767,3141,518698,22688,0,90,0,0,0,0,0,Mar-23 13:43:32,0,0,5
1204,27,33,0,0,83,12,13,82,14048,181308,108527616,914878464,159767,3141,518290,22688,0,0,0,0,0,0,0,Mar-23 13:43:33,0,0,5
1204,27,33,0,0,83,12,13,82,14048,181306,108527616,914878464,159767,3141,517141,22688,0,1916,0,0,0,0,0,Mar-23 13:43:34,0,0,5
1204,27,33,0,0,83,12,13,82,14080,181306,108527616,914878464,159767,3141,517190,22688,0,0,0,0,0,0,0,Mar-23 13:43:35,0,0,5
1204,27,33,0,0,83,12,13,82,14080,181305,108527616,914878464,159767,3141,516902,22688,0,0,0,0,0,0,0,Mar-23 13:43:36,0,0,5
1204,27,33,0,0,83,12,13,82,14112,181280,108527616,914878464,159767,3141,516880,22688,0,30,0,0,0,0,0,Mar-23 13:43:37,0,0,5
1204,27,33,0,0,83,12,13,82,14112,181280,108527616,914878464,159767,3141,516793,22688,0,0,0,0,0,0,0,Mar-23 13:43:38,0,0,5
1204,27,33,0,0,83,12,13,82,15104,182366,108527616,914878464,159767,3141,494657,22688,0,338,0,0,0,0,0,Mar-23 13:43:39,0,0,5
1204,27,33,0,0,83,12,13,82,14016,182376,108527616,914878464,159767,3141,488063,22688,0,0,0,0,0,0,0,Mar-23 13:43:40,0,0,5
1204,27,33,0,0,83,12,13,82,14016,182377,108527616,914878464,159767,3141,487772,22688,0,0,0,0,0,0,0,Mar-23 13:43:41,0,0,5
1204,27,33,0,0,83,12,13,82,13984,182376,108527616,914878464,159767,3141,487541,22688,0,40,0,0,0,0,0,Mar-23 13:43:42,0,0,5
1204,27,33,0,0,83,12,13,82,13984,182348,108527616,914878464,159767,3141,487240,22688,0,0,0,0,0,0,0,Mar-23 13:43:43,0,0,5
1203,27,33,0,0,83,12,13,82,14048,182348,108527616,914878464,159767,3141,486764,22688,0,48,0,0,0,0,0,Mar-23 13:43:44,0,0,5
1203,27,33,0,0,83,12,13,82,14048,182347,108527616,914878464,159767,3141,486346,22688,0,60,0,0,0,0,0,Mar-23 13:43:45,0,0,5
1203,27,33,0,0,83,12,13,82,14080,182370,108527616,914878464,159767,3141,496566,22688,0,0,0,0,0,0,0,Mar-23 13:43:46,0,0,5
1203,27,33,0,0,83,12,13,82,14080,182431,108527616,914878464,159767,3141,494080,22688,0,0,0,0,0,0,0,Mar-23 13:43:47,0,0,5
1203,27,33,0,0,83,12,13,82,14080,182385,108527616,914878464,159767,3141,493845,22688,0,0,0,0,0,0,0,Mar-23 13:43:48,0,0,5
1203,27,33,0,0,83,12,13,82,14112,182384,108527616,914878464,159767,3141,493559,22688,0,24,0,0,0,0,0,Mar-23 13:43:49,0,0,5
1203,27,33,0,0,83,12,13,82,14112,182356,108527616,914878464,159767,3141,497082,22688,377,484,0,0,0,0,0,Mar-23 13:43:50,0,0,5
1203,27,33,0,0,83,12,13,82,14112,182357,108527616,914878464,159767,3141,497295,22688,563,12,0,0,0,0,0,Mar-23 13:43:51,0,0,5
1203,27,33,0,0,83,12,13,82,14112,182356,108527616,914878464,159767,3141,497102,22688,470,74,0,0,0,0,0,Mar-23 13:43:52,0,0,5
1203,27,33,0,0,83,12,13,82,14080,182378,108527616,914878464,159767,3141,498660,22688,564,12,0,0,0,0,0,Mar-23 13:43:53,0,0,5
1203,27,33,0,0,83,12,13,82,14080,182393,108527616,914878464,159767,3141,494840,22688,1034,22,0,0,0,0,0,Mar-23 13:43:54,0,0,5
1203,27,33,0,0,83,12,13,82,14080,182395,108527616,914878464,159767,3141,494504,22688,376,94,0,0,0,0,0,Mar-23 13:43:55,0,0,5
1203,27,33,0,0,83,12,13,82,14080,182394,108527616,914878464,159767,3141,494273,22688,282,6,0,0,0,0,0,Mar-23 13:43:56,0,0,5
1203,27,33,0,0,83,12,13,82,14080,182365,108527616,914878464,159767,3141,495106,22688,377,88,0,0,0,0,0,Mar-23 13:43:57,0,0,5
1203,27,33,0,0,83,12,13,82,14080,182365,108527616,914878464,159767,3141,494952,22688,375,8,0,0,0,0,0,Mar-23 13:43:58,0,0,5
1204,28,33,0,0,83,12,13,82,14112,182370,108527616,914878464,159767,3141,494477,22688,188,4,0,0,0,0,0,Mar-23 13:43:59,0,0,5
1207,28,36,0,0,83,12,13,82,14144,182898,108527616,914878464,159767,3141,514729,22688,283,54,0,0,0,0,0,Mar-23 13:44:00,0,0,5
1207,28,36,0,0,83,12,13,82,14144,182902,108527616,914878464,159767,3141,514301,22688,939,20,0,0,0,0,0,Mar-23 13:44:01,0,0,5
1207,28,36,0,0,83,12,13,82,14080,182918,108527616,914878464,159767,3141,512503,22688,564,142,0,0,0,0,0,Mar-23 13:44:02,0,0,5
1209,28,36,0,0,83,12,13,82,14080,182922,108527616,914878464,159767,3141,505587,22688,564,12,0,0,0,0,0,Mar-23 13:44:03,0,0,5
1207,28,36,0,0,83,12,13,82,14112,182889,108527616,914878464,159767,3141,505854,22688,0,0,0,0,0,0,0,Mar-23 13:44:04,0,0,5
1204,28,33,0,0,83,12,13,82,14080,182887,108527616,914878464,159767,3141,506075,22688,0,162,0,0,0,0,0,Mar-23 13:44:05,0,0,5
1204,28,33,0,0,83,12,13,82,14112,182890,108527616,914878464,159767,3141,509657,22688,2,0,0,0,0,0,0,Mar-23 13:44:06,0,0,5
1204,28,33,0,0,83,12,13,82,14080,182912,108527616,914878464,159767,3141,509574,22688,0,18,0,0,0,0,0,Mar-23 13:44:07,0,0,5
1204,28,33,0,0,83,12,13,82,14080,181806,108527616,914878464,159767,3141,512215,22688,0,0,0,0,0,0,0,Mar-23 13:44:08,0,0,5
1204,28,33,0,0,83,12,13,82,14080,181816,108527616,914878464,159767,3141,508986,22688,0,66,0,0,0,0,0,Mar-23 13:44:09,0,0,5
1204,28,33,0,0,83,12,13,82,14048,181817,108527616,914878464,159767,3141,509032,22688,0,1996,0,0,0,0,0,Mar-23 13:44:10,0,0,5
1204,28,33,0,0,83,12,13,82,14080,181789,108527616,914878464,159767,3141,509202,22688,382,38,0,0,0,0,0,Mar-23 13:44:11,0,0,5
1204,28,33,0,0,83,12,13,82,14048,181839,108527616,914878464,159767,3141,509104,22688,0,0,0,0,0,0,0,Mar-23 13:44:12,0,0,5
1204,28,33,0,0,83,12,13,82,14048,182031,108527616,914878464,159767,3141,506112,22688,0,0,0,0,0,0,0,Mar-23 13:44:13,0,0,5
1204,28,33,0,0,83,12,13,82,14080,182042,108527616,914878464,159767,3141,508295,22688,0,0,0,0,0,0,0,Mar-23 13:44:14,0,0,5
1204,28,33,0,0,83,12,13,82,14112,182043,108527616,914878464,159767,3141,507241,22688,0,328,0,0,0,0,0,Mar-23 13:44:15,0,0,5
1204,28,33,0,0,83,12,13,82,14144,182037,108527616,914878464,159767,3141,507471,22688,0,20,0,0,0,0,0,Mar-23 13:44:16,0,0,5
1204,28,33,0,0,83,12,13,82,14080,183079,108527616,914878464,159767,3141,481812,22688,0,0,0,0,0,0,0,Mar-23 13:44:17,0,0,5
1204,28,33,0,0,83,12,13,82,14080,183075,108527616,914878464,159767,3141,481552,22688,0,0,0,0,0,0,0,Mar-23 13:44:18,0,0,5
1204,28,33,0,0,83,12,13,82,14080,183079,108527616,914878464,159767,3141,481454,22688,0,0,0,0,0,0,0,Mar-23 13:44:19,0,0,5
1204,28,33,0,0,83,12,13,82,14048,183074,108527616,914878464,159767,3141,482060,22688,0,80,0,0,0,0,0,Mar-23 13:44:20,0,0,5
1204,28,33,0,0,83,12,13,82,14048,183096,108527616,914878464,159767,3141,482338,22688,0,74,0,0,0,0,0,Mar-23 13:44:21,0,0,5
1204,28,33,0,0,83,12,13,82,14048,183103,108527616,914878464,159767,3141,482054,22688,0,0,0,0,0,0,0,Mar-23 13:44:22,0,0,5
1204,28,33,0,0,83,12,13,82,14080,183103,108527616,914878464,159767,3141,482770,22688,0,0,0,0,0,0,0,Mar-23 13:44:23,0,0,5
1204,28,33,0,0,83,12,13,82,14112,183116,108527616,914878464,159767,3141,480469,22688,0,0,0,0,0,0,0,Mar-23 13:44:24,0,0,5
1204,28,33,0,0,83,12,13,82,14112,183084,108527616,914878464,159767,3141,479928,22688,0,0,0,0,0,0,0,Mar-23 13:44:25,0,0,5
1203,27,33,0,0,83,12,13,82,14080,183085,108527616,914878464,159767,3141,478528,22688,0,506,0,0,0,0,0,Mar-23 13:44:26,0,0,5
1203,27,33,0,0,83,12,13,82,14080,183085,108527616,914878464,159767,3141,478302,22688,0,0,0,0,0,0,0,Mar-23 13:44:27,0,0,5
1203,26,33,0,0,83,12,13,82,14080,183106,108527616,914878464,159767,3141,478845,22688,0,28,0,0,0,0,0,Mar-23 13:44:28,0,0,5
1203,26,33,0,0,83,12,13,82,14112,183112,108527616,914878464,159767,3141,478658,22688,0,0,0,0,0,0,0,Mar-23 13:44:29,0,0,5
1203,26,33,0,0,83,12,13,82,14048,183112,108527616,914878464,159767,3141,478759,22688,0,0,0,0,0,0,0,Mar-23 13:44:30,0,0,5
1203,26,33,0,0,83,12,13,82,14048,183112,108527616,914878464,159767,3141,478544,22688,0,50,0,0,0,0,0,Mar-23 13:44:31,0,0,5
1204,27,33,0,0,83,12,13,82,14080,183140,108527616,914878464,159767,3141,487738,22688,0,0,0,0,0,0,0,Mar-23 13:44:32,0,0,5
1203,26,33,0,0,83,12,13,82,14048,183094,108527616,914878464,159767,3141,487631,22688,0,0,0,0,0,0,0,Mar-23 13:44:33,0,0,5
1203,26,33,0,0,83,12,13,82,14048,183096,108527616,914878464,159767,3141,487034,22688,0,4,0,0,0,0,0,Mar-23 13:44:34,0,0,5
1203,26,33,0,0,83,12,13,82,14112,183117,108527616,914878464,159767,3141,488111,22688,0,0,0,0,0,0,0,Mar-23 13:44:35,0,0,5
1203,26,33,0,0,83,12,13,82,14080,183120,108527616,914878464,159767,3141,488581,22688,0,156,0,0,0,0,0,Mar-23 13:44:36,0,0,5
1203,26,33,0,0,83,12,13,82,14048,183121,108527616,914878464,159767,3141,488434,22688,0,0,0,0,0,0,0,Mar-23 13:44:37,0,0,5
1203,26,33,0,0,83,12,13,82,14048,183096,108527616,914878464,159767,3141,489246,22688,0,0,0,0,0,0,0,Mar-23 13:44:38,0,0,5
1203,26,33,0,0,83,12,13,82,14048,183098,108527616,914878464,159767,3141,488961,22688,0,90,0,0,0,0,0,Mar-23 13:44:39,0,0,5
1203,26,33,0,0,83,12,13,82,14080,183106,108527616,914878464,159767,3141,489729,22688,0,0,0,0,0,0,0,Mar-23 13:44:40,0,0,5
1203,26,33,0,0,83,12,13,82,14080,183106,108527616,914878464,159767,3141,489528,22688,0,94,0,0,0,0,0,Mar-23 13:44:41,0,0,5
1203,26,33,0,0,83,12,13,82,14048,183130,108527616,914878464,159767,3141,489309,22688,0,0,0,0,0,0,0,Mar-23 13:44:42,0,0,5
1203,26,33,0,0,83,12,13,82,14016,183134,108527616,914878464,159767,3141,489197,22688,8,64,0,0,0,0,0,Mar-23 13:44:43,0,0,5
1203,26,33,0,0,83,12,13,82,14016,183134,108527616,914878464,159767,3141,488956,22688,0,32,0,0,0,0,0,Mar-23 13:44:44,0,0,5
1203,26,33,0,0,83,12,13,82,14080,183134,108527616,914878464,159767,3141,488609,22688,0,0,0,0,0,0,0,Mar-23 13:44:45,0,0,5
1203,26,33,0,0,83,12,13,82,14016,181996,108527616,914878464,159767,3141,517621,22688,0,132,0,0,0,0,0,Mar-23 13:44:46,0,0,5
1203,26,33,0,0,83,12,13,82,14016,182006,108527616,914878464,159767,3141,511858,22688,0,0,0,0,0,0,0,Mar-23 13:44:47,0,0,5
1203,26,33,0,0,83,12,13,82,14048,182006,108527616,914878464,159767,3141,512231,22688,0,0,0,0,0,0,0,Mar-23 13:44:48,0,0,5
1203,26,33,0,0,83,12,13,82,14048,182030,108527616,914878464,159767,3141,512418,22688,0,32,0,0,0,0,0,Mar-23 13:44:49,0,0,5
1203,26,33,0,0,83,12,13,82,14080,182039,108527616,914878464,159767,3141,512684,22688,0,0,0,0,0,0,0,Mar-23 13:44:50,0,0,5
1203,26,33,0,0,83,12,13,82,14048,182032,108527616,914878464,159767,3141,513408,22688,0,2246,0,0,0,0,0,Mar-23 13:44:51,0,0,5
1203,26,33,0,0,83,12,13,82,14048,182032,108527616,914878464,159767,3141,513257,22688,0,0,0,0,0,0,0,Mar-23 13:44:52,0,0,5
1203,26,33,0,0,83,12,13,82,14016,182006,108527616,914878464,159767,3141,512952,22688,0,0,0,0,0,0,0,Mar-23 13:44:53,0,0,5
1203,26,33,0,0,83,12,13,82,14016,182006,108527616,914878464,159767,3141,509102,22688,0,50,0,0,0,0,0,Mar-23 13:44:54,0,0,5
1203,26,33,0,0,83,12,13,82,14080,183072,108527616,914878464,159767,3141,483351,22688,0,0,0,0,0,0,0,Mar-23 13:44:55,0,0,5
1203,26,33,0,0,83,12,13,82,14080,183097,108527616,914878464,159767,3141,483561,22688,0,104,0,0,0,0,0,Mar-23 13:44:56,0,0,5
1203,26,33,0,0,83,12,13,82,14048,183103,108527616,914878464,159767,3141,482878,22688,0,0,0,0,0,0,0,Mar-23 13:44:57,0,0,5
1203,26,33,0,0,83,12,13,82,14048,183102,108527616,914878464,159767,3141,482680,22688,0,0,0,0,0,0,0,Mar-23 13:44:58,0,0,5
1203,26,33,0,0,83,12,13,82,14080,183101,108527616,914878464,159767,3141,482844,22688,0,22,0,0,0,0,0,Mar-23 13:44:59,0,0,5
1203,26,33,0,0,83,12,13,82,14112,183072,108527616,914878464,159767,3141,483082,22688,0,0,0,0,0,0,0,Mar-23 13:45:00,0,0,5
