"Dstat 1.1.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dool/udp_time_proc_unix_mem_tcp.csv --udp --time --proc --unix --mem --tcp 1 600",,,,"Date:","23 Mar 2023 13:42:08 -03"
"udp",,"system","procs",,,"unix sockets",,,,"memory usage",,,,"tcp sockets",,,,
25,13,Mar-23 13:42:43,1,0,0,56,975,55,920,5332250624,2693124096,7949508608,11158499328,7,22,0,6,3
25,13,Mar-23 13:42:44,1,0,16,56,975,55,920,5332025344,2691788800,7951069184,11159695360,7,22,0,7,3
25,13,Mar-23 13:42:45,1,0,0,56,975,55,920,5332987904,2690842624,7951052800,11158749184,7,22,0,7,3
25,13,Mar-23 13:42:46,1,0,0,56,975,55,920,5333463040,2690109440,7951310848,11158016000,7,22,0,7,3
25,13,Mar-23 13:42:47,2,0,0,56,975,55,920,5353615360,2672660480,7948607488,11137683456,7,22,0,7,3
25,13,Mar-23 13:42:48,1,0,0,56,975,55,920,5356183552,2669989888,7948709888,11135098880,7,22,0,7,3
25,14,Mar-23 13:42:49,3,0,17,56,975,55,920,5356920832,2668851200,7949111296,11133730816,7,22,0,7,3
25,14,Mar-23 13:42:50,1,0,0,56,975,55,920,5307064320,2718433280,7949385728,11129143296,7,22,0,7,3
25,14,Mar-23 13:42:51,1,0,0,56,975,55,920,5306327040,2717323264,7951237120,11130224640,7,22,0,7,3
25,14,Mar-23 13:42:52,1,0,1,56,975,55,920,5299363840,2729672704,7945850880,11132153856,7,22,0,6,3
25,14,Mar-23 13:42:53,4,1,0,56,975,55,920,5300510720,2728521728,7945854976,11131011072,7,22,0,6,3
25,14,Mar-23 13:42:54,1,0,16,56,975,55,920,5317156864,2713456640,7944273920,11112685568,7,22,0,6,3
25,14,Mar-23 13:42:55,1,0,0,56,975,55,920,5317783552,2713354240,7943749632,11116306432,7,22,0,7,3
25,14,Mar-23 13:42:56,1,0,0,56,975,55,920,5318123520,2713006080,7943757824,11115905024,7,22,0,7,3
25,14,Mar-23 13:42:57,2,0,0,56,975,55,920,5259608064,2771443712,7943835648,11133616128,7,21,0,7,4
25,14,Mar-23 13:42:58,2,0,0,56,975,55,920,5257293824,2769756160,7947837440,11134410752,7,21,0,8,4
25,14,Mar-23 13:42:59,0,1,16,56,975,55,920,5259157504,2769514496,7946199040,11134197760,7,21,0,8,4
25,14,Mar-23 13:43:00,2,0,0,56,975,55,920,5260042240,2768482304,7946346496,11130191872,7,21,0,8,4
25,14,Mar-23 13:43:01,1,0,0,56,975,55,920,5262426112,2768515072,7943929856,11127885824,7,21,0,8,4
25,14,Mar-23 13:43:02,1,0,8,56,975,55,920,5391917056,2631168000,7951785984,10989092864,7,21,0,7,4
25,14,Mar-23 13:43:03,2,0,0,56,975,55,920,5397049344,2628689920,7949131776,11010506752,7,21,0,7,4
25,14,Mar-23 13:43:04,1,0,16,56,975,55,920,5391757312,2633998336,7949115392,11018211328,7,21,0,7,4
25,14,Mar-23 13:43:05,4,0,1,56,975,55,920,5391437824,2631847936,7951585280,11021377536,7,20,1,7,5
25,14,Mar-23 13:43:06,4,0,0,56,975,55,920,5392592896,2630168576,7952109568,11019698176,7,21,0,8,4
25,14,Mar-23 13:43:07,2,0,0,56,975,55,920,5393899520,2629451776,7951519744,11018678272,7,21,0,8,4
25,14,Mar-23 13:43:08,1,0,0,56,975,55,920,5395906560,2629795840,7949168640,11016671232,7,21,0,8,4
25,14,Mar-23 13:43:09,4,0,9,56,975,55,920,5391921152,2633383936,7949565952,11020701696,7,21,0,8,4
25,14,Mar-23 13:43:10,1,0,7,56,975,55,920,5393596416,2631323648,7949950976,11018866688,7,21,0,8,4
25,14,Mar-23 13:43:11,2,0,0,56,975,55,920,5372035072,2653282304,7949553664,11062820864,7,21,0,8,4
25,14,Mar-23 13:43:12,1,0,0,56,975,55,920,5374947328,2647965696,7951958016,11059126272,7,21,0,7,4
25,14,Mar-23 13:43:13,2,0,0,56,975,55,920,5375930368,2646990848,7951949824,11058155520,7,21,0,7,4
25,14,Mar-23 13:43:14,1,0,8,56,975,55,920,5384081408,2638598144,7952191488,11049779200,7,21,0,7,4
25,14,Mar-23 13:43:15,1,0,8,56,975,55,920,5386805248,2638508032,7949553664,11047346176,7,21,0,7,4
25,14,Mar-23 13:43:16,1,0,0,56,975,55,920,5383970816,2641268736,7949627392,11050115072,7,21,0,8,4
25,14,Mar-23 13:43:17,3,0,1,56,975,55,920,5386506240,2638065664,7950295040,11041955840,7,21,0,8,4
25,14,Mar-23 13:43:18,1,0,0,56,975,55,920,5351907328,2672562176,7950397440,11140943872,7,21,0,8,4
25,13,Mar-23 13:43:19,2,0,8,56,975,55,920,5352583168,2669969408,7952314368,11141324800,7,21,0,8,4
25,13,Mar-23 13:43:20,1,0,8,56,975,55,920,5331689472,2689884160,7953293312,11139981312,7,21,0,8,4
25,13,Mar-23 13:43:21,3,0,1,56,975,55,920,5318049792,2702929920,7953887232,11139567616,7,23,0,8,3
25,13,Mar-23 13:43:22,1,0,0,56,975,55,920,5318414336,2706268160,7950184448,11140784128,7,23,0,8,3
25,13,Mar-23 13:43:23,2,0,0,56,975,55,920,5320417280,2704478208,7949971456,11138772992,7,23,0,7,2
25,13,Mar-23 13:43:24,1,0,8,56,975,55,920,5334786048,2689978368,7950102528,11142180864,7,23,0,7,2
25,13,Mar-23 13:43:25,1,0,8,56,975,55,920,5335756800,2688405504,7950704640,11140526080,7,23,0,7,2
25,13,Mar-23 13:43:26,2,0,0,56,975,55,920,5333528576,2688233472,7953104896,11142545408,7,23,0,7,2
25,13,Mar-23 13:43:27,1,0,0,56,975,55,920,5269917696,2752356352,7952592896,11161362432,7,23,0,8,2
25,13,Mar-23 13:43:28,1,0,0,56,975,55,920,5270044672,2752159744,7952662528,11161165824,7,23,0,8,2
25,13,Mar-23 13:43:29,1,0,9,56,975,55,920,5273157632,2748514304,7953195008,11157544960,7,23,0,8,2
25,13,Mar-23 13:43:30,2,0,8,56,975,55,920,5248397312,2780954624,7945510912,11175428096,7,23,0,8,2
25,13,Mar-23 13:43:31,1,0,0,56,975,55,920,5249110016,2780766208,7944986624,11175239680,7,23,0,7,2
25,13,Mar-23 13:43:32,4,0,0,56,975,55,920,5236682752,2793099264,7945080832,11165454336,7,23,0,8,2
25,13,Mar-23 13:43:33,1,0,0,56,975,55,920,5235478528,2791198720,7948185600,11166797824,7,23,0,8,2
25,13,Mar-23 13:43:34,1,0,8,56,975,55,920,5240549376,2786697216,7947616256,11162316800,7,23,0,8,2
25,13,Mar-23 13:43:35,1,0,8,56,975,55,920,5240807424,2786369536,7947685888,11173318656,7,23,0,7,2
25,13,Mar-23 13:43:36,2,0,0,56,975,55,920,5241970688,2785267712,7947624448,11172220928,7,23,0,7,2
25,13,Mar-23 13:43:37,3,0,0,56,975,55,920,5241540608,2785169408,7948152832,11172126720,7,23,0,7,2
25,13,Mar-23 13:43:38,2,0,0,56,975,55,920,5244370944,2784821248,7945670656,11169435648,7,23,0,8,2
25,13,Mar-23 13:43:39,4,0,8,56,975,55,920,5241196544,2787016704,7946649600,11151556608,7,23,0,8,2
25,13,Mar-23 13:43:40,1,0,8,56,975,55,920,5354283008,2667659264,7952920576,11039895552,7,23,0,8,2
25,13,Mar-23 13:43:41,2,0,1,56,975,55,920,5355155456,2666196992,7953510400,11038855168,7,23,0,8,2
25,13,Mar-23 13:43:42,2,0,0,56,975,55,920,5356384256,2665234432,7953244160,11037892608,7,23,0,8,2
25,13,Mar-23 13:43:43,2,0,0,56,975,55,920,5360455680,2663772160,7950635008,11034075136,7,23,0,8,2
25,13,Mar-23 13:43:44,3,0,8,56,975,55,920,5361868800,2661822464,7951171584,11032162304,7,22,0,9,2
25,13,Mar-23 13:43:45,1,0,8,56,975,55,920,5364105216,2660110336,7950647296,11085099008,7,22,0,8,2
25,13,Mar-23 13:43:46,1,0,0,56,975,55,920,5321248768,2702958592,7950655488,11089350656,7,22,0,8,2
25,13,Mar-23 13:43:47,1,0,0,56,975,55,920,5327585280,2692820992,7954456576,11098124288,7,22,0,8,2
25,13,Mar-23 13:43:48,1,0,0,56,975,55,920,5329989632,2691072000,7953801216,11095437312,7,22,0,8,2
25,13,Mar-23 13:43:49,2,0,8,56,975,55,920,5331914752,2689654784,7953293312,11095625728,7,22,0,9,2
25,13,Mar-23 13:43:50,3,0,8,56,975,55,920,5319647232,2704261120,7950954496,11090481152,7,22,0,9,2
25,13,Mar-23 13:43:51,2,0,0,56,975,55,920,5318946816,2704957440,7950958592,11091058688,7,22,0,9,2
25,13,Mar-23 13:43:52,1,0,0,56,975,55,920,5318995968,2704384000,7951482880,11090505728,7,22,0,9,2
25,13,Mar-23 13:43:53,1,0,0,56,975,55,920,5312815104,2711007232,7951040512,11171946496,7,22,0,9,2
25,13,Mar-23 13:43:54,3,0,9,56,975,55,920,5325901824,2695344128,7953616896,11154743296,7,22,0,10,2
25,13,Mar-23 13:43:55,2,0,8,56,975,55,920,5326852096,2694287360,7953723392,11153702912,7,22,0,9,2
25,13,Mar-23 13:43:56,1,0,0,56,975,55,920,5328093184,2692579328,7954190336,11151437824,7,22,0,9,2
25,13,Mar-23 13:43:57,1,0,0,56,975,55,920,5327990784,2691891200,7954980864,11150766080,7,22,0,9,2
25,13,Mar-23 13:43:58,2,0,0,56,975,55,920,5328171008,2695360512,7951331328,11151896576,7,22,0,9,2
25,13,Mar-23 13:43:59,1,0,8,56,975,55,920,5329362944,2693869568,7951630336,11150438400,7,24,0,9,1
28,13,Mar-23 13:44:00,1,0,9,56,975,55,920,5246533632,2776367104,7951962112,11147476992,7,24,0,8,1
28,13,Mar-23 13:44:01,1,0,0,56,975,55,920,5246472192,2774614016,7953776640,11150422016,7,24,0,8,1
28,13,Mar-23 13:44:02,2,0,8,56,975,55,920,5253734400,2767249408,7953879040,11138678784,7,24,0,8,1
28,13,Mar-23 13:44:03,2,0,0,56,975,55,920,5281406976,2738921472,7954534400,11109044224,7,24,0,8,1
28,13,Mar-23 13:44:04,4,0,6,56,975,55,920,5282836480,2740273152,7951720448,11107860480,7,23,1,8,2
25,13,Mar-23 13:44:05,1,0,12,56,975,55,920,5281591296,2741379072,7951859712,11109105664,7,24,0,9,1
25,13,Mar-23 13:44:06,1,0,2,56,975,55,920,5267095552,2755837952,7951896576,11123568640,7,24,0,8,1
25,13,Mar-23 13:44:07,1,0,0,56,975,55,920,5266935808,2755506176,7952371712,11123253248,7,24,0,8,1
25,13,Mar-23 13:44:08,2,0,0,56,975,55,920,5259890688,2766012416,7948922880,11131281408,7,24,0,8,1
25,13,Mar-23 13:44:09,1,0,0,56,975,55,920,5272539136,2753355776,7948931072,11148447744,7,24,0,8,1
25,13,Mar-23 13:44:10,1,0,16,56,975,55,920,5272027136,2753794048,7949004800,11151314944,7,24,0,8,1
25,13,Mar-23 13:44:11,1,0,2,56,975,55,920,5274136576,2753441792,7947247616,11148619776,7,24,0,8,1
25,13,Mar-23 13:44:12,1,0,0,56,975,55,920,5274791936,2753327104,7946706944,11148566528,7,24,0,8,1
25,13,Mar-23 13:44:13,2,0,0,56,975,55,920,5273636864,2741071872,7960018944,11136409600,7,24,0,8,1
25,13,Mar-23 13:44:14,2,0,0,56,975,55,920,5266993152,2750410752,7957307392,11164672000,7,24,0,8,1
25,13,Mar-23 13:44:15,1,0,16,56,975,55,920,5267943424,2745696256,7961055232,11162316800,7,24,0,9,1
25,13,Mar-23 13:44:16,2,0,0,56,975,55,920,5267841024,2746318848,7960535040,11162943488,7,24,0,9,1
25,13,Mar-23 13:44:17,1,0,0,56,975,55,920,5370019840,2642554880,7962120192,11025809408,7,24,0,9,1
25,13,Mar-23 13:44:18,4,0,1,56,975,55,920,5379252224,2641166336,7954276352,11023671296,7,24,0,8,1
25,13,Mar-23 13:44:19,1,0,0,56,975,55,920,5380648960,2640289792,7953756160,11020447744,7,24,0,8,1
25,13,Mar-23 13:44:20,2,0,16,56,975,55,920,5379842048,2641076224,7953776640,11021258752,7,24,0,8,1
25,13,Mar-23 13:44:21,4,0,0,56,975,55,920,5376237568,2644983808,7953473536,11030560768,7,24,0,8,1
25,13,Mar-23 13:44:22,1,0,0,56,975,55,920,5375176704,2642759680,7956758528,11032711168,7,24,0,8,1
25,13,Mar-23 13:44:23,5,0,0,56,975,55,920,5371940864,2645827584,7956926464,11035906048,7,24,0,8,1
25,13,Mar-23 13:44:24,0,0,0,56,975,55,920,5381390336,2636767232,7956537344,11054555136,7,24,0,8,1
25,13,Mar-23 13:44:25,2,0,16,56,975,55,920,5384380416,2633822208,7956492288,11051794432,7,24,0,9,1
25,13,Mar-23 13:44:26,2,0,0,56,975,55,920,5391200256,2628820992,7954673664,11044442112,7,22,0,10,2
25,13,Mar-23 13:44:27,1,0,0,56,975,55,920,5392371712,2627645440,7954677760,11043282944,7,22,0,10,2
25,13,Mar-23 13:44:28,2,0,0,56,975,55,920,5393379328,2626994176,7954321408,11040239616,7,22,0,9,1
25,13,Mar-23 13:44:29,3,0,0,56,975,55,920,5389471744,2628620288,7956602880,11061780480,7,22,0,9,1
25,13,Mar-23 13:44:30,1,0,17,56,975,55,920,5388750848,2628816896,7957127168,11054264320,7,22,0,9,1
25,13,Mar-23 13:44:31,1,0,0,56,975,55,920,5389402112,2628153344,7957106688,11053453312,7,22,0,9,1
25,13,Mar-23 13:44:32,3,0,0,56,975,55,920,5352890368,2666057728,7955714048,11156684800,7,20,1,8,2
25,13,Mar-23 13:44:33,2,0,0,56,975,55,920,5354889216,2665373696,7954399232,11154685952,7,22,0,9,1
25,13,Mar-23 13:44:34,1,0,0,56,975,55,920,5355458560,2663157760,7956045824,11152470016,7,22,0,9,1
25,13,Mar-23 13:44:35,1,0,16,56,975,55,920,5356400640,2662273024,7955988480,11151601664,7,22,0,9,1
25,13,Mar-23 13:44:36,2,0,0,56,975,55,920,5348081664,2669723648,7956856832,11158347776,7,22,0,9,1
25,13,Mar-23 13:44:37,1,0,0,56,975,55,920,5348691968,2669113344,7956856832,11157741568,7,22,0,10,1
25,13,Mar-23 13:44:38,2,0,0,56,975,55,920,5348732928,2668539904,7957389312,11157196800,7,22,0,9,1
25,13,Mar-23 13:44:39,1,0,0,56,975,55,920,5348679680,2670821376,7955161088,11157680128,7,22,0,9,1
25,13,Mar-23 13:44:40,3,0,12,56,975,55,920,5346066432,2673704960,7954874368,11159093248,7,22,0,9,1
25,13,Mar-23 13:44:41,1,0,4,56,975,55,920,5346897920,2672861184,7954886656,11158249472,7,22,0,9,1
25,13,Mar-23 13:44:42,3,0,0,56,975,55,920,5347786752,2671448064,7955410944,11156848640,7,22,0,9,1
25,13,Mar-23 13:44:43,1,0,1,56,975,55,920,5345193984,2672070656,7957364736,11160055808,7,22,0,9,1
25,13,Mar-23 13:44:44,1,0,0,56,975,55,920,5346451456,2670800896,7957377024,11158847488,7,22,0,9,1
25,13,Mar-23 13:44:45,1,0,8,56,975,55,920,5347217408,2670084096,7957327872,11158147072,7,22,0,8,1
25,13,Mar-23 13:44:46,1,0,8,56,975,55,920,5236051968,2788192256,7950376960,11153031168,7,22,0,8,1
25,13,Mar-23 13:44:47,2,0,0,56,975,55,920,5259669504,2764853248,7950098432,11129614336,7,21,1,8,2
25,13,Mar-23 13:44:48,1,0,0,56,975,55,920,5258690560,2766082048,7949848576,11132354560,7,22,0,9,1
25,13,Mar-23 13:44:49,2,0,0,56,975,55,920,5259010048,2765766656,7949844480,11132051456,7,22,0,9,1
25,13,Mar-23 13:44:50,2,0,8,56,975,55,920,5253787648,2767990784,7952842752,11160940544,7,22,0,9,1
25,13,Mar-23 13:44:51,2,0,8,56,975,55,920,5251407872,2770956288,7952257024,11163910144,7,22,0,8,1
25,13,Mar-23 13:44:52,1,0,0,56,975,55,920,5252022272,2770337792,7952261120,11163291648,7,22,0,8,1
25,13,Mar-23 13:44:53,1,0,0,56,975,55,920,5254582272,2769088512,7950950400,11159687168,7,22,0,8,1
25,13,Mar-23 13:44:54,3,0,0,56,975,55,920,5271052288,2752131072,7951437824,11142971392,7,22,0,8,1
25,13,Mar-23 13:44:55,1,0,9,56,975,55,920,5371039744,2648612864,7954952192,11012009984,7,22,0,7,1
25,13,Mar-23 13:44:56,4,0,8,56,975,55,920,5372452864,2647031808,7955120128,11010600960,7,22,0,7,1
25,13,Mar-23 13:44:57,1,0,0,56,975,55,920,5370613760,2646421504,7957569536,11031564288,7,22,0,7,1
25,13,Mar-23 13:44:58,3,0,0,56,975,55,920,5371412480,2645094400,7958097920,11030183936,7,22,0,8,1
25,13,Mar-23 13:44:59,2,0,0,56,975,55,920,5371633664,2645143552,7957827584,11030233088,7,22,0,8,1
25,13,Mar-23 13:45:00,4,0,8,56,975,55,920,5374263296,2645094400,7955247104,11044876288,7,22,0,8,1
25,13,Mar-23 13:45:01,4,1,8,56,975,55,920,5371957248,2647433216,7955210240,11047006208,7,22,0,8,1
25,13,Mar-23 13:45:02,1,0,11,56,975,55,920,5370187776,2648403968,7956008960,11049799680,7,22,0,8,1
25,13,Mar-23 13:45:03,1,0,0,56,975,55,920,5371400192,2647277568,7955922944,11048742912,7,22,0,8,1
25,13,Mar-23 13:45:04,1,0,0,56,975,55,920,5378183168,2638303232,7958114304,11044880384,7,22,0,8,1
25,13,Mar-23 13:45:05,2,0,8,56,975,55,920,5392056320,2624425984,7958118400,11031080960,7,22,0,7,1
25,13,Mar-23 13:45:06,1,0,8,56,975,55,920,5390733312,2625208320,7958659072,11031879680,7,22,0,7,1
25,13,Mar-23 13:45:07,2,0,1,56,975,55,920,5394636800,2623754240,7956226048,11028299776,7,22,0,7,1
25,13,Mar-23 13:45:08,1,0,0,56,975,55,920,5397204992,2622820352,7954575360,11026067456,7,22,0,7,1
25,13,Mar-23 13:45:09,0,0,1,56,975,55,920,5379686400,2638782464,7956131840,11037044736,7,22,0,8,1
25,14,Mar-23 13:45:10,2,0,8,56,975,55,920,5382328320,2635522048,7956750336,11034148864,7,22,0,8,1
25,13,Mar-23 13:45:11,3,0,8,56,977,55,922,5346693120,2669219840,7958687744,11150774272,7,22,1,8,1
25,13,Mar-23 13:45:12,2,0,0,56,977,55,922,5348388864,2666541056,7959670784,11148120064,7,22,1,8,1
25,13,Mar-23 13:45:13,1,0,0,56,977,55,922,5341573120,2674151424,7958876160,11155734528,7,22,1,8,1
25,13,Mar-23 13:45:14,1,0,0,56,977,55,922,5342838784,2675040256,7956721664,11154214912,7,22,1,8,1
25,13,Mar-23 13:45:15,3,0,8,56,977,55,922,5347524608,2670751744,7956324352,11149987840,7,22,1,7,1
25,13,Mar-23 13:45:16,2,0,8,56,977,55,922,5348917248,2669359104,7956324352,11148595200,7,22,1,7,1
25,13,Mar-23 13:45:17,1,0,0,56,977,55,922,5353463808,2662711296,7958425600,11135950848,7,22,1,7,1
25,13,Mar-23 13:45:18,1,0,0,56,977,55,922,5262761984,2752311296,7959527424,11130888192,7,22,1,7,1
25,16,Mar-23 13:45:19,1,0,1,56,977,55,922,5263454208,2752143360,7959003136,11130814464,7,20,2,7,2
25,13,Mar-23 13:45:20,3,0,8,56,977,55,922,5265588224,2752139264,7956873216,11128692736,7,22,1,8,1
25,13,Mar-23 13:45:21,2,0,8,56,977,55,922,5261697024,2755743744,7957159936,11132055552,7,22,1,8,1
25,13,Mar-23 13:45:22,1,0,0,56,977,55,922,5262098432,2755923968,7956578304,11132243968,7,22,1,8,2
25,13,Mar-23 13:45:23,3,0,0,56,977,55,922,5260591104,2757660672,7956348928,11132923904,7,22,1,8,1
25,13,Mar-23 13:45:24,3,0,0,56,977,55,922,5256187904,2767171584,7951237120,11159228416,7,22,1,8,1
25,13,Mar-23 13:45:25,2,0,8,56,977,55,922,5252411392,2767667200,7954518016,11161862144,7,22,1,8,1
25,13,Mar-23 13:45:26,2,0,8,56,977,55,922,5252087808,2768576512,7953932288,11162775552,7,22,1,7,1
25,13,Mar-23 13:45:27,1,0,0,56,977,55,922,5257719808,2765242368,7951634432,11157000192,7,22,1,7,1
25,13,Mar-23 13:45:28,1,0,0,56,977,55,922,5257891840,2765066240,7951634432,11156828160,7,22,1,6,1
25,13,Mar-23 13:45:29,1,0,0,56,977,55,922,5256486912,2766000128,7952105472,11156434944,7,22,1,6,1
25,13,Mar-23 13:45:30,1,0,8,56,977,55,922,5257695232,2765307904,7951589376,11155701760,7,21,2,7,2
25,13,Mar-23 13:45:31,1,0,8,56,975,55,920,5257801728,2764144640,7952646144,11154554880,7,22,0,8,1
25,13,Mar-23 13:45:32,45,0,1,56,975,55,920,5267308544,2753097728,7954186240,11152576512,7,22,0,8,1
25,13,Mar-23 13:45:33,1,0,0,56,975,55,920,5390614528,2624196608,7959781376,11029184512,7,22,0,9,1
25,13,Mar-23 13:45:34,2,0,0,56,975,55,920,5390774272,2624540672,7959277568,11029557248,7,22,0,8,1
25,13,Mar-23 13:45:35,3,0,8,56,975,55,920,5391728640,2625716224,7957147648,11028602880,7,22,0,8,1
25,13,Mar-23 13:45:36,1,0,8,56,975,55,920,5393854464,2623766528,7956971520,11026382848,7,22,0,8,1
25,13,Mar-23 13:45:37,2,0,0,56,975,55,920,5395255296,2621841408,7957495808,11024474112,7,22,0,8,1
25,13,Mar-23 13:45:38,1,0,0,56,975,55,920,5398929408,2618728448,7956934656,11068706816,7,22,0,7,1
25,13,Mar-23 13:45:39,2,0,0,56,975,55,920,5414895616,2600239104,7959457792,11047985152,7,22,0,7,1
25,13,Mar-23 13:45:40,1,0,8,56,975,55,920,5374996480,2639958016,7959638016,11060744192,7,22,0,7,1
25,13,Mar-23 13:45:41,2,0,8,56,975,55,920,5359636480,2654789632,7960166400,11075579904,7,22,0,8,1
25,13,Mar-23 13:45:42,1,0,0,56,975,55,920,5345644544,2671362048,7957585920,11103342592,7,22,0,8,1
25,13,Mar-23 13:45:43,2,0,0,56,975,55,920,5344583680,2672652288,7957356544,11105099776,7,22,0,8,1
25,13,Mar-23 13:45:44,1,0,1,56,977,55,922,5344845824,2672394240,7957352448,11104657408,7,22,0,8,1
25,13,Mar-23 13:45:45,1,0,7,56,975,55,920,5344247808,2672525312,7957819392,11104800768,7,22,0,8,1
25,13,Mar-23 13:45:46,3,0,9,56,975,55,920,5303611392,2711154688,7959826432,11153793024,7,22,0,8,1
25,13,Mar-23 13:45:47,1,0,0,56,975,55,920,5307674624,2706952192,7959961600,11150544896,7,22,0,8,1
25,13,Mar-23 13:45:48,1,0,0,56,975,55,920,5258375168,2756149248,7960064000,11151499264,7,22,0,7,1
25,13,Mar-23 13:45:49,2,0,20,56,979,55,924,5259714560,2740088832,7974785024,11133091840,7,22,0,7,1
25,13,Mar-23 13:45:50,3,0,0,56,979,55,924,5260730368,2738114560,7975743488,11131117568,7,22,0,7,1
25,13,Mar-23 13:45:51,3,0,16,56,979,55,924,5266280448,2736631808,7971676160,11158753280,7,22,0,7,1
