"Dstat 1.1.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dool/sys_ipc_disk_udp_socket.csv --sys --ipc --disk --udp --socket 1 600",,,,"Date:","23 Mar 2023 13:42:08 -03"
"system",,"sysv ipc",,,"dsk/total",,"udp",,"sockets",,,,
2610,6860,0,0,5,0,0,25,13,1203,26,33,0,0
2668,7192,0,0,5,0,2875392,25,13,1203,26,33,0,0
2456,5797,0,0,5,0,9216000,25,13,1203,26,33,0,0
2641,5904,0,0,5,0,0,25,13,1203,26,33,0,0
2814,7781,0,0,5,0,475136,25,13,1203,26,33,0,0
2599,6964,0,0,5,0,0,25,13,1203,26,33,0,0
2642,7891,0,0,5,0,0,25,13,1203,26,33,0,0
2631,5938,0,0,5,0,8069120,25,13,1203,26,33,0,0
2619,5927,0,0,5,0,0,25,13,1203,26,33,0,0
2574,6033,0,0,5,0,819200,25,13,1203,26,33,0,0
2574,7040,0,0,5,0,204800,25,13,1203,26,33,0,0
2718,8374,0,0,5,0,0,25,13,1203,26,33,0,0
2536,6200,0,0,5,0,3162112,25,13,1203,26,33,0,0
2502,5787,0,0,5,0,0,25,13,1203,26,33,0,0
3298,8105,0,0,5,0,0,25,13,1207,26,33,0,0
2724,7139,0,0,5,0,827392,25,13,1207,26,33,0,0
2689,7078,0,0,5,0,98304,25,13,1207,26,33,0,0
2710,6659,0,0,5,0,0,25,13,1207,26,33,0,0
2615,7491,0,0,5,0,5160960,25,19,1213,26,39,0,0
2655,6133,0,0,5,0,0,25,14,1208,26,33,0,0
2659,6978,0,0,5,0,0,25,14,1208,26,33,0,0
4384,19070,0,0,5,0,901120,25,15,1225,26,33,0,0
8781,12512,0,0,5,0,10125312,25,16,1226,26,33,0,0
3796,7191,0,0,5,0,9256960,25,16,1226,26,33,0,0
2628,6504,0,0,5,0,0,25,17,1229,26,33,0,0
5233,12390,0,0,5,0,3989504,28,17,1230,26,36,0,0
2712,7777,0,0,5,0,0,28,17,1230,26,36,0,0
3215,9467,0,0,5,8192,0,28,17,1230,26,36,0,0
3051,9608,0,0,5,0,19341312,28,17,1230,26,36,0,0
2494,5746,0,0,5,0,0,28,17,1230,26,36,0,0
2511,5732,0,0,5,0,2809856,25,17,1227,26,33,0,0
2727,8106,0,0,5,0,647168,25,17,1227,26,33,0,0
2699,7159,0,0,5,0,0,25,17,1227,26,33,0,0
2590,5937,0,0,5,0,122880,25,17,1227,26,33,0,0
2818,6132,0,0,5,0,0,25,17,1227,26,33,0,0
3494,35465,0,0,5,0,1286144,25,17,1227,26,33,0,0
2873,8264,0,0,5,0,2351104,25,17,1227,26,33,0,0
2606,5942,0,0,5,0,483328,25,17,1227,26,33,0,0
2824,7330,0,0,5,0,13107200,25,17,1227,26,33,0,0
2773,7503,0,0,5,0,925696,25,17,1227,26,33,0,0
2528,6101,0,0,5,0,0,25,17,1227,26,33,0,0
2884,9178,0,0,5,0,0,25,17,1211,26,33,0,0
2607,6254,0,0,5,0,0,25,17,1211,26,33,0,0
2680,6054,0,0,5,0,8110080,25,17,1211,26,33,0,0
2601,6041,0,0,5,0,1228800,25,17,1207,26,33,0,0
2700,6042,0,0,5,0,0,25,17,1207,26,33,0,0
2946,9858,0,0,5,0,0,25,17,1207,26,33,0,0
2534,5884,0,0,5,0,1654784,25,17,1207,26,33,0,0
2536,5902,0,0,5,0,5005312,25,16,1206,26,33,0,0
2742,6988,0,0,5,0,0,25,16,1206,26,33,0,0
2496,5736,0,0,5,0,0,25,15,1205,26,33,0,0
2821,8788,0,0,5,0,1212416,25,15,1205,26,33,0,0
2611,5639,0,0,5,0,0,25,15,1205,26,33,0,0
2753,7398,0,0,5,0,4907008,25,14,1204,26,33,0,0
2520,5764,0,0,5,0,0,25,13,1203,26,33,0,0
2623,6074,0,0,5,0,0,25,13,1203,26,33,0,0
2668,7172,0,0,5,0,606208,25,13,1203,26,33,0,0
2695,7375,0,0,5,0,0,25,13,1203,26,33,0,0
2514,5955,0,0,5,0,1359872,25,13,1203,26,33,0,0
2622,6704,0,0,5,0,8306688,25,13,1203,26,33,0,0
2705,8145,0,0,5,0,0,25,13,1203,26,33,0,0
2755,7084,0,0,5,0,0,25,13,1202,25,33,0,0
2590,6640,0,0,5,0,0,25,13,1205,25,33,0,0
2739,5887,0,0,5,0,1728512,25,13,1202,25,33,0,0
2748,6275,0,0,5,0,6070272,25,13,1202,25,33,0,0
2566,5596,0,0,5,0,0,25,13,1202,25,33,0,0
2603,7032,0,0,5,0,0,25,13,1202,25,33,0,0
2809,8252,0,0,5,0,0,25,13,1202,25,33,0,0
2605,5978,0,0,5,0,999424,25,13,1202,25,33,0,0
4129,10962,0,0,5,0,13459456,25,13,1202,25,33,0,0
2525,5937,0,0,5,81920,0,25,13,1202,25,33,0,0
2664,7909,0,0,5,0,0,25,13,1202,25,33,0,0
2748,7454,0,0,5,0,0,25,13,1202,25,33,0,0
4472,35231,0,0,5,0,2605056,25,13,1202,25,33,0,0
2931,7660,0,0,5,0,12140544,25,13,1202,25,33,0,0
2637,5940,0,0,5,0,0,25,13,1202,25,33,0,0
2675,7189,0,0,5,0,598016,25,13,1202,25,33,0,0
2562,6802,0,0,5,0,0,25,13,1202,25,33,0,0
2563,5905,0,0,5,0,0,25,13,1202,25,33,0,0
2626,6199,0,0,5,0,5144576,25,14,1203,25,33,0,0
2483,5660,0,0,5,0,0,25,14,1203,25,33,0,0
2969,9445,0,0,5,0,745472,25,14,1203,25,33,0,0
2592,7085,0,0,5,0,0,25,14,1203,25,33,0,0
2513,5706,0,0,5,0,0,25,14,1203,25,33,0,0
2731,6898,0,0,5,0,8716288,25,14,1202,24,33,0,0
2674,6100,0,0,5,0,884736,25,14,1202,24,33,0,0
2643,6898,0,0,5,0,0,25,14,1202,24,33,0,0
3025,9672,0,0,5,0,1482752,25,14,1202,24,33,0,0
2894,7402,0,0,5,0,0,25,14,1202,24,33,0,0
2552,5814,0,0,5,0,3399680,25,14,1202,24,33,0,0
2482,5717,0,0,5,0,0,25,14,1202,24,33,0,0
2570,6908,0,0,5,0,0,25,14,1202,24,33,0,0
2794,7859,0,0,5,0,811008,25,14,1202,24,33,0,0
2666,6469,0,0,5,0,0,25,14,1202,24,33,0,0
2674,6402,0,0,5,0,5177344,25,14,1202,24,33,0,0
2967,8222,0,0,5,0,1400832,25,15,1203,24,33,0,0
2921,7231,0,0,5,0,0,25,15,1203,24,33,0,0
2650,6973,0,0,5,0,0,25,15,1203,24,33,0,0
2638,5996,0,0,5,0,0,25,15,1203,24,33,0,0
2708,6110,0,0,5,0,0,25,15,1203,24,33,0,0
2629,6098,0,0,5,0,8740864,25,15,1203,24,33,0,0
2644,7014,0,0,5,0,0,25,15,1203,24,33,0,0
2707,8824,0,0,5,0,0,25,15,1203,24,33,0,0
2578,6706,0,0,5,0,1785856,25,15,1203,24,33,0,0
2492,5743,0,0,5,0,368640,25,15,1203,24,33,0,0
3404,10304,0,0,5,0,21766144,25,15,1203,24,33,0,0
2638,7122,0,0,5,0,0,25,15,1203,24,33,0,0
2713,6964,0,0,5,0,0,25,15,1203,24,33,0,0
2644,6528,0,0,5,0,761856,25,14,1202,24,33,0,0
2684,7619,0,0,5,0,0,25,14,1202,24,33,0,0
2557,6357,0,0,5,0,7020544,25,14,1202,24,33,0,0
3700,36629,0,0,5,0,0,25,14,1202,24,33,0,0
2613,6885,0,0,5,0,0,25,14,1202,24,33,0,0
2735,6740,0,0,5,0,2686976,25,14,1202,24,33,0,0
2565,5803,0,0,5,0,0,25,14,1202,24,33,0,0
2576,6055,0,0,5,0,6356992,25,14,1202,24,33,0,0
2817,8456,0,0,5,0,663552,25,14,1202,24,33,0,0
2610,7385,0,0,5,0,0,25,14,1202,24,33,0,0
2658,6095,0,0,5,0,2351104,25,14,1202,24,33,0,0
2603,6485,0,0,5,32768,0,25,14,1203,25,33,0,0
2681,6066,0,0,5,0,9068544,25,14,1202,24,33,0,0
2737,6586,0,0,5,0,0,25,14,1202,24,33,0,0
2719,7431,0,0,5,0,0,25,14,1202,24,33,0,0
2920,7548,0,0,5,0,1032192,25,14,1202,24,33,0,0
2660,7057,0,0,5,0,0,25,14,1202,24,33,0,0
2554,5898,0,0,5,0,7946240,25,14,1202,24,33,0,0
2561,5843,0,0,5,0,0,25,14,1202,24,33,0,0
2793,8139,0,0,5,0,0,25,14,1202,24,33,0,0
2588,6112,0,0,5,0,729088,25,14,1202,24,33,0,0
2601,5748,0,0,5,0,0,25,14,1202,24,33,0,0
2715,7386,0,0,5,0,409600,25,14,1202,24,33,0,0
2575,5826,0,0,5,0,0,25,14,1202,24,33,0,0
2885,8540,0,0,5,0,0,25,14,1202,24,33,0,0
2639,5751,0,0,5,0,581632,25,14,1202,24,33,0,0
2478,5716,0,0,5,0,0,25,14,1202,24,33,0,0
2816,6931,0,0,5,0,8224768,25,14,1202,24,33,0,0
2749,6206,0,0,5,0,0,25,14,1202,24,33,0,0
2790,9554,0,0,5,0,0,25,13,1201,24,33,0,0
2525,5968,0,0,5,0,573440,25,13,1201,24,33,0,0
2619,6075,0,0,5,0,0,25,13,1201,24,33,0,0
2575,5883,0,0,5,0,9216000,25,13,1201,24,33,0,0
2523,5797,0,0,5,0,0,25,13,1201,24,33,0,0
2669,7941,0,0,5,0,1892352,25,14,1202,24,33,0,0
2637,6259,0,0,5,0,655360,25,14,1202,24,33,0,0
2654,7326,0,0,5,0,0,25,14,1202,24,33,0,0
2537,6800,0,0,5,0,0,28,14,1205,24,36,0,0
3348,9812,0,0,5,0,14630912,28,14,1205,24,36,0,0
2952,10717,0,0,5,0,0,28,14,1205,24,36,0,0
3476,35570,0,0,5,0,1761280,28,14,1205,24,36,0,0
2555,5672,0,0,5,0,0,28,14,1205,24,36,0,0
2533,5713,0,0,5,0,0,25,14,1202,24,33,0,0
2790,7328,0,0,5,0,8790016,25,14,1202,24,33,0,0
2535,6934,0,0,5,0,0,25,14,1202,24,33,0,0
2725,7094,0,0,5,0,3137536,25,14,1202,24,33,0,0
3071,6058,0,0,5,0,0,25,14,1202,24,33,0,0
2591,5719,0,0,5,0,0,25,14,1202,24,33,0,0
2816,7178,0,0,5,81920,9306112,25,14,1202,24,33,0,0
2814,7456,0,0,5,0,638976,25,14,1202,24,33,0,0
2895,8453,0,0,5,0,0,25,14,1202,24,33,0,0
2522,5804,0,0,5,0,0,25,14,1202,24,33,0,0
2565,5780,0,0,5,0,0,25,14,1202,24,33,0,0
2595,5901,0,0,5,0,4972544,25,14,1202,24,33,0,0
2740,7622,0,0,5,0,524288,25,14,1202,24,33,0,0
2792,7163,0,0,5,0,0,25,14,1202,24,33,0,0
2611,5975,0,0,5,0,696320,25,14,1202,24,33,0,0
2941,7612,0,0,5,0,0,25,14,1202,24,33,0,0
2724,7118,0,0,5,0,3268608,25,14,1203,25,33,0,0
2797,8010,0,0,5,0,1138688,25,14,1203,25,33,0,0
2694,7134,0,0,5,0,0,25,14,1203,25,33,0,0
2565,6228,0,0,5,0,0,25,14,1203,25,33,0,0
2494,5724,0,0,5,0,0,25,14,1203,25,33,0,0
2721,6112,0,0,5,0,8208384,25,14,1203,25,33,0,0
3005,9183,0,0,5,0,1138688,25,14,1205,27,33,0,0
2687,7169,0,0,5,0,0,25,14,1205,27,33,0,0
2522,5660,0,0,5,0,0,25,14,1205,27,33,0,0
2615,5799,0,0,5,0,0,25,14,1207,27,33,0,0
2664,6142,0,0,5,0,6160384,25,14,1205,27,33,0,0
2739,7489,0,0,5,0,1949696,25,14,1205,27,33,0,0
2727,7998,0,0,5,0,237568,25,14,1205,27,33,0,0
2860,8040,0,0,5,0,0,25,16,1207,27,33,0,0
2718,6778,0,0,5,40960,0,25,16,1207,27,33,0,0
4089,11532,0,0,5,0,23388160,25,16,1207,27,33,0,0
2662,6935,0,0,5,0,0,25,16,1207,27,33,0,0
3308,9678,0,0,5,0,1794048,25,17,1216,27,33,0,0
3743,8720,0,0,5,0,0,25,17,1208,27,33,0,0
3119,7029,0,0,5,0,0,25,19,1209,27,33,0,0
4373,36822,0,0,5,0,860160,25,18,1208,27,33,0,0
2751,7226,0,0,5,0,3604480,25,18,1208,27,33,0,0
2708,7040,0,0,5,0,0,25,18,1208,27,33,0,0
2810,6911,0,0,5,0,2965504,25,18,1208,27,33,0,0
2589,5781,0,0,5,0,0,25,18,1208,27,33,0,0
2530,6004,0,0,5,0,0,25,18,1208,27,33,0,0
2848,7738,0,0,5,0,5537792,25,18,1208,27,33,0,0
2935,8612,0,0,5,0,0,25,18,1208,27,33,0,0
2515,5718,0,0,5,0,0,25,18,1208,27,33,0,0
2651,6057,0,0,5,0,1351680,25,18,1208,27,33,0,0
2563,5772,0,0,5,0,237568,25,18,1208,27,33,0,0
2836,7479,0,0,5,0,9109504,25,18,1208,27,33,0,0
2572,6989,0,0,5,0,0,25,18,1208,27,33,0,0
2871,7426,0,0,5,0,0,25,18,1209,28,33,0,0
2627,7340,0,0,5,0,0,25,18,1208,27,33,0,0
2580,5763,0,0,5,0,0,25,18,1208,27,33,0,0
2585,7127,0,0,5,0,4202496,25,18,1208,27,33,0,0
2910,7565,0,0,5,0,270336,25,18,1208,27,33,0,0
2570,5901,0,0,5,0,0,25,18,1208,27,33,0,0
2512,5862,0,0,5,0,0,25,18,1208,27,33,0,0
2625,6096,0,0,5,0,1138688,25,18,1208,27,33,0,0
3225,11167,0,0,5,0,9969664,25,18,1208,27,33,0,0
2748,7002,0,0,5,0,0,25,16,1206,27,33,0,0
2559,5833,0,0,5,0,475136,25,16,1206,27,33,0,0
2748,6636,0,0,5,0,0,25,16,1206,27,33,0,0
2571,5746,0,0,5,0,0,25,16,1206,27,33,0,0
2758,7034,0,0,5,0,7856128,25,16,1206,27,33,0,0
2826,7517,0,0,5,0,3383296,25,15,1205,27,33,0,0
3142,8187,0,0,5,0,0,25,14,1204,27,33,0,0
2762,5870,0,0,5,0,1597440,25,14,1204,27,33,0,0
