"Dstat 1.1.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dool/int_zones_page.csv --int --zones --page 1 600",,,,"Date:","23 Mar 2023 13:42:08 -03"
"interrupts",,,"zones memory",,,,"paging",
0,136,0,159767,3141,514729,22688,0,0
0,122,0,159767,3141,514301,22688,0,0
0,165,0,159767,3141,512503,22688,0,0
0,123,0,159767,3141,505587,22688,0,0
0,136,0,159767,3141,505854,22688,0,0
0,135,0,159767,3141,506075,22688,0,0
0,150,0,159767,3141,509657,22688,0,0
0,119,0,159767,3141,509574,22688,0,0
0,171,0,159767,3141,512215,22688,0,0
0,121,0,159767,3141,508986,22688,0,0
0,118,0,159767,3141,509032,22688,0,0
0,123,0,159767,3141,509202,22688,0,0
0,115,0,159767,3141,509104,22688,0,0
0,125,0,159767,3141,506112,22688,0,0
0,175,0,159767,3141,508295,22688,0,0
0,153,0,159767,3141,507241,22688,0,0
0,194,0,159767,3141,507471,22688,0,0
0,117,0,159767,3141,481812,22688,0,0
0,124,0,159767,3141,481552,22688,0,0
0,123,0,159767,3141,481507,22688,0,0
0,166,0,159767,3141,482060,22688,0,0
0,129,0,159767,3141,482338,22688,0,0
0,118,0,159767,3141,482054,22688,0,0
0,123,0,159767,3141,482770,22688,0,0
0,121,0,159767,3141,480469,22688,0,0
0,134,0,159767,3141,479928,22688,0,0
0,210,0,159767,3141,478591,22688,0,0
0,129,0,159767,3141,478302,22688,0,0
0,131,0,159767,3141,478845,22688,0,0
0,121,0,159767,3141,478658,22688,0,0
0,122,0,159767,3141,478759,22688,0,0
0,121,0,159767,3141,478544,22688,0,0
0,162,0,159767,3141,487738,22688,0,0
0,152,0,159767,3141,487631,22688,0,0
0,117,0,159767,3141,487034,22688,0,0
0,121,0,159767,3141,488111,22688,0,0
0,123,0,159767,3141,488581,22688,0,0
0,146,0,159767,3141,488434,22688,0,0
0,156,0,159767,3141,489246,22688,0,0
0,120,0,159767,3141,488961,22688,0,0
0,115,0,159767,3141,489666,22688,0,0
0,123,0,159767,3141,489525,22688,0,0
0,118,0,159767,3141,489309,22688,0,0
0,122,0,159767,3141,489257,22688,0,0
0,153,0,159767,3141,488956,22688,0,0
0,123,0,159767,3141,488609,22688,0,0
0,125,0,159767,3141,517621,22688,0,0
0,134,0,159767,3141,511918,22688,0,0
0,135,0,159767,3141,512231,22688,0,0
0,122,0,159767,3141,512418,22688,0,0
0,152,0,159767,3141,512684,22688,0,0
0,128,0,159767,3141,513408,22688,0,0
0,121,0,159767,3141,513257,22688,0,0
0,127,0,159767,3141,512952,22688,0,0
0,115,0,159767,3141,509105,22688,0,0
0,122,0,159767,3141,483477,22688,0,0
0,165,0,159767,3141,483561,22688,0,0
0,119,0,159767,3141,482878,22688,0,0
0,141,0,159767,3141,482680,22688,0,0
0,124,0,159767,3141,482844,22688,0,0
0,121,0,159767,3141,483082,22688,0,0
0,120,0,159767,3141,482914,22688,0,0
0,143,0,159767,3141,483488,22688,0,0
0,123,0,159767,3141,482142,22688,0,0
0,121,0,159767,3141,481022,22688,0,0
0,124,0,159767,3141,477634,22688,0,0
0,123,0,159767,3141,477769,22688,0,0
0,117,0,159767,3141,477470,22688,0,0
0,166,0,159767,3141,477130,22688,0,0
0,175,0,159767,3141,480824,22688,0,0
0,126,0,159767,3141,488362,22688,0,0
0,123,0,159767,3141,488570,22688,0,0
0,116,0,159767,3141,487916,22688,0,0
0,123,0,159767,3141,490561,22688,0,0
0,159,0,159767,3141,489991,22688,0,0
0,134,0,159767,3141,488944,22688,0,0
0,127,0,159767,3141,488674,22688,0,0
0,131,0,159767,3141,494786,22688,0,0
0,122,0,159767,3141,508856,22688,0,0
0,124,0,159767,3141,508755,22688,0,0
0,186,0,159767,3141,509181,22688,0,0
0,139,0,159767,3141,509694,22688,0,0
0,142,0,159767,3141,509801,22688,0,0
0,138,0,159767,3141,510225,22688,0,0
0,128,0,159767,3141,512367,22688,0,0
0,118,0,159767,3141,512605,22688,0,0
0,168,0,159767,3141,512715,22688,0,0
0,117,0,159767,3141,511953,22688,0,0
0,121,0,159767,3141,511844,22688,0,0
0,120,0,159767,3141,512008,22688,0,0
0,153,0,159767,3141,511777,22688,0,0
0,139,0,159767,3141,511622,22688,0,0
0,162,0,159767,3141,493034,22688,0,0
0,141,0,159767,3141,477830,22688,0,0
0,126,0,159767,3141,477662,22688,0,0
0,120,0,159767,3141,477949,22688,0,0
0,121,0,159767,3141,477483,22688,0,0
0,117,0,159767,3141,476880,22688,0,0
0,167,0,159767,3141,476243,22688,0,0
0,120,0,159767,3141,471603,22688,0,0
0,121,0,159767,3141,481306,22688,0,0
0,135,0,159767,3141,485047,22688,0,0
0,128,0,159767,3141,489093,22688,0,0
0,125,0,159767,3141,489408,22688,0,0
0,163,0,159767,3141,489219,22688,0,0
0,124,0,159767,3141,489314,22688,0,0
0,126,0,159767,3141,498808,22688,0,0
0,125,0,159767,3141,509948,22688,0,0
0,122,0,159767,3141,509604,22688,0,0
0,119,0,159767,3141,505620,22688,0,0
0,165,0,159767,3141,505147,22688,0,0
0,128,0,159767,3141,505028,22688,0,0
0,155,0,159767,3141,505076,22688,0,0
0,117,0,159767,3141,504453,22688,0,0
0,137,0,159767,3141,504943,22688,0,0
0,116,0,159767,3141,504711,22688,0,0
0,190,0,159767,3141,494537,22688,0,0
0,160,0,159767,3141,488459,22688,0,0
0,134,0,159767,3141,490056,22688,0,0
0,149,0,159767,3141,490340,22688,0,0
0,160,0,159767,3141,492873,22688,0,0
0,117,0,159767,3141,492313,22688,0,0
0,152,0,159767,3141,495003,22688,0,0
0,151,0,159767,3141,491979,22688,0,0
0,121,0,159767,3141,495620,22688,0,0
0,121,0,159767,3141,495454,22688,0,0
0,124,0,159767,3141,494738,22688,0,0
0,121,0,159767,3141,496422,22688,0,0
0,166,0,159767,3141,496184,22688,0,0
0,121,0,159767,3141,498106,22688,0,0
0,125,0,159767,3141,462517,22688,0,0
0,135,0,159767,3141,461524,22688,0,0
0,144,0,159767,3141,460789,22688,0,0
0,147,0,159767,3141,463995,22688,0,0
0,167,0,159767,3141,468056,22688,0,0
0,123,0,159767,3141,468147,22688,0,0
0,122,0,159767,3141,480495,22688,0,0
0,119,0,159767,3141,476247,22688,0,0
0,119,0,159767,3141,478132,22688,0,0
0,119,0,159767,3141,480584,22688,0,0
0,166,0,159767,3141,481617,22688,0,0
0,121,0,159767,3141,477589,22688,0,0
0,131,0,159767,3141,477935,22688,0,0
0,125,0,159767,3141,482091,22688,0,0
0,143,0,159767,3141,480247,22688,0,0
0,129,0,159767,3141,480343,22688,0,0
0,165,0,159767,3141,480070,22688,0,0
0,125,0,159767,3141,481792,22688,0,0
0,117,0,159767,3141,486213,22688,0,0
0,117,0,159767,3141,486558,22688,0,0
0,128,0,159767,3141,487052,22688,0,0
0,123,0,159767,3141,487833,22688,0,0
0,164,0,159767,3141,484603,22688,0,0
0,123,0,159767,3141,484300,22688,0,0
0,146,0,159767,3141,483590,22688,0,0
0,143,0,159767,3141,483956,22688,0,0
0,129,0,159767,3141,483766,22688,0,0
0,125,0,159767,3141,483940,22688,0,0
0,167,0,159767,3141,517453,22688,0,0
0,128,0,159767,3141,513602,22688,0,0
0,121,0,159767,3141,513258,22688,0,0
0,120,0,159767,3141,513237,22688,0,0
0,118,0,159767,3141,511899,22688,0,0
0,126,0,159767,3141,511756,22688,0,0
0,165,0,159767,3141,511311,22688,0,0
0,126,0,159767,3141,512231,22688,0,0
0,154,0,159767,3141,511954,22688,0,0
0,125,0,159767,3141,511450,22688,0,0
0,121,0,159767,3141,501788,22688,0,0
0,121,0,159767,3141,501579,22688,0,0
0,157,0,159767,3141,501348,22688,0,0
0,126,0,159767,3141,501372,22688,0,0
0,121,0,159767,3141,502994,22688,0,0
0,121,0,159767,3141,503239,22688,0,0
0,132,0,159767,3141,506035,22688,0,0
0,119,0,159767,3141,505847,22688,0,0
0,159,0,159767,3141,506718,22688,0,0
0,140,0,159767,3141,507301,22688,0,0
0,118,0,159767,3141,507259,22688,0,0
0,147,0,159767,3141,507230,22688,0,0
0,118,0,159767,3141,507056,22688,0,0
0,124,0,159767,3141,506943,22688,0,0
0,148,0,159767,3141,514631,22688,0,0
0,121,0,159767,3141,513386,22688,0,0
0,125,0,159767,3141,513304,22688,0,0
0,121,0,159767,3141,513330,22688,0,0
0,124,0,159767,3141,513908,22688,0,0
0,146,0,159767,3141,515954,22688,0,0
0,176,0,159767,3141,515120,22688,0,0
0,121,0,159767,3141,511876,22688,0,0
0,199,0,159767,3141,513697,22688,0,0
0,124,0,159767,3141,513714,22688,0,0
0,124,0,159767,3141,513420,22688,0,0
0,126,0,159767,3141,514924,22688,0,0
0,191,0,159767,3141,514385,22688,0,0
0,120,0,159767,3141,513480,22688,0,0
0,126,0,159767,3141,515077,22688,0,0
0,122,0,159767,3141,515911,22688,0,0
0,137,0,159767,3141,515618,22688,0,0
0,122,0,159767,3141,515271,22688,0,0
0,163,0,159767,3141,515557,22688,0,0
0,122,0,159767,3141,514879,22688,0,0
0,120,0,159767,3141,514529,22688,0,0
0,136,0,159767,3141,514168,22688,0,0
0,119,0,159767,3141,509052,22688,0,0
0,117,0,159767,3141,509220,22688,0,0
0,163,0,159767,3141,475350,22688,0,0
0,118,0,159767,3141,474998,22688,0,0
0,136,0,159767,3141,474896,22688,0,0
0,136,0,159767,3141,474927,22688,0,0
0,120,0,159767,3141,475436,22688,0,0
0,122,0,159767,3141,478252,22688,0,0
0,158,0,159767,3141,476012,22688,0,0
0,122,0,159767,3141,475718,22688,0,0
0,125,0,159767,3141,477895,22688,0,0
0,143,0,159767,3141,477566,22688,0,0
0,126,0,159767,3141,477518,22688,0,0
0,121,0,159767,3141,477362,22688,0,0
0,154,0,159767,3141,478216,22688,0,0
0,144,0,159767,3141,476442,22688,0,0
0,127,0,159767,3141,476165,22688,0,0
0,118,0,159767,3141,477009,22688,0,0
0,119,0,159767,3141,476785,22688,0,0
0,126,0,159767,3141,476558,22688,0,0
0,156,0,159767,3141,476449,22688,0,0
0,120,0,159767,3141,479137,22688,0,0
0,129,0,159767,3141,478742,22688,0,0
0,121,0,159767,3141,476158,22688,0,0
0,119,0,159767,3141,476043,22688,0,0
0,126,0,159767,3141,476757,22688,0,0
0,182,0,159767,3141,477014,22688,0,0
0,128,0,159767,3141,476804,22688,0,0
0,114,0,159767,3141,476966,22688,0,0
0,126,0,159767,3141,477195,22688,0,0
0,120,0,159767,3141,479374,22688,0,0
0,124,0,159767,3141,479541,22688,0,0
0,155,0,159767,3141,479409,22688,0,0
0,134,0,159767,3141,481579,22688,0,0
0,131,0,159767,3141,482308,22688,0,0
0,118,0,159767,3141,482457,22688,0,0
0,132,0,159767,3141,482299,22688,0,0
0,134,0,159767,3141,481151,22688,0,0
0,164,0,159767,3141,476708,22688,0,0
0,123,0,159767,3141,442593,22688,0,0
0,121,0,159767,3141,442362,22688,0,0
0,119,0,159767,3141,441946,22688,0,0
0,124,0,159767,3141,440411,22688,0,0
0,120,0,159767,3141,440050,22688,0,0
0,171,0,159767,3141,439322,22688,0,0
0,124,0,159767,3141,435460,22688,0,0
0,121,0,159767,3141,435275,22688,0,0
0,141,0,159767,3141,477861,22688,0,0
0,136,0,159767,3141,477234,22688,0,0
0,122,0,159767,3141,476574,22688,0,0
0,155,0,159767,3141,476462,22688,0,0
0,122,0,159767,3141,476364,22688,0,0
0,128,0,159767,3141,476359,22688,0,0
0,146,0,159767,3141,470452,22688,0,0
0,126,0,159767,3141,471321,22688,0,0
0,130,0,159767,3141,471088,22688,0,0
0,162,0,159767,3141,470552,22688,0,0
0,152,0,159767,3141,471052,22688,0,0
0,144,0,159767,3141,470638,22688,0,0
0,127,0,159767,3141,470284,22688,0,0
0,125,0,159767,3141,464797,22688,0,0
0,121,0,159767,3141,464305,22688,0,0
0,166,0,159767,3141,464365,22688,0,0
0,125,0,159767,3141,475411,22688,0,0
0,130,0,159767,3141,475075,22688,0,0
0,120,0,159767,3141,474907,22688,0,0
0,120,0,159767,3141,474795,22688,0,0
0,119,0,159767,3141,474972,22688,0,0
0,164,0,159767,3141,497746,22688,0,0
0,142,0,159767,3141,497426,22688,0,0
0,187,0,159767,3141,499332,22688,0,0
0,139,0,159767,3141,499127,22688,0,0
0,133,0,159767,3141,505322,22688,0,0
0,122,0,159767,3141,505391,22688,0,0
0,194,0,159767,3141,502398,22688,0,0
0,129,0,159767,3141,505159,22688,0,0
0,191,0,159767,3141,499166,22688,0,0
0,119,0,159767,3141,473647,22688,0,0
0,127,0,159767,3141,472406,22688,0,0
0,127,0,159767,3141,471993,22688,0,0
0,192,0,159767,3141,473535,22688,0,0
0,128,0,159767,3141,473175,22688,0,0
0,126,0,159767,3141,472622,22688,0,0
0,126,0,159767,3141,471574,22688,0,0
0,121,0,159767,3141,474445,22688,0,0
0,125,0,159767,3141,474333,22688,0,0
0,159,0,159767,3141,474221,22688,0,0
0,127,0,159767,3141,473927,22688,0,0
0,131,0,159767,3141,473307,22688,0,0
0,126,0,159767,3141,473089,22688,0,0
0,136,0,159767,3141,468399,22688,0,0
0,137,0,159767,3141,468636,22688,0,0
0,152,0,159767,3141,468230,22688,0,0
0,118,0,159767,3141,469372,22688,0,0
0,139,0,159767,3141,468679,22688,0,0
0,124,0,159767,3141,469089,22688,0,0
0,124,0,159767,3141,469051,22688,0,0
0,127,0,159767,3141,468742,22688,0,0
0,160,0,159767,3141,466825,22688,0,0
0,124,0,159767,3141,466292,22688,0,0
0,121,0,159767,3141,466131,22688,0,0
0,137,0,159767,3141,465983,22688,0,0
0,128,0,159767,3141,465570,22688,0,0
0,118,0,159767,3141,465601,22688,0,0
0,163,0,159767,3141,508668,22688,0,0
0,130,0,159767,3141,504996,22688,0,0
0,124,0,159767,3141,503765,22688,0,0
0,126,0,159767,3141,505378,22688,0,0
0,144,0,159767,3141,504120,22688,0,0
0,124,0,159767,3141,503904,22688,0,0
0,160,0,159767,3141,505788,22688,0,0
0,118,0,159767,3141,505247,22688,0,0
0,147,0,159767,3141,508759,22688,0,0
0,149,0,159767,3141,503436,22688,0,0
0,119,0,159767,3141,503939,22688,0,0
0,118,0,159767,3141,471907,22688,0,0
0,189,0,159767,3141,470115,22688,0,0
0,134,0,159767,3141,472540,22688,0,0
0,118,0,159767,3141,472365,22688,0,0
0,120,0,159767,3141,473353,22688,0,0
0,128,0,159767,3141,472427,22688,0,0
0,127,0,159767,3141,471679,22688,0,0
0,173,0,159767,3141,481317,22688,0,0
0,140,0,159767,3141,481235,22688,0,0
0,117,0,159767,3141,480537,22688,0,0
0,119,0,159767,3141,480381,22688,0,0
0,120,0,159767,3141,479729,22688,0,0
0,121,0,159767,3141,480002,22688,0,0
0,142,0,159767,3141,478129,22688,0,0
0,126,0,159767,3141,478071,22688,0,0
0,121,0,159767,3141,485071,22688,0,0
0,119,0,159767,3141,485780,22688,0,0
0,167,0,159767,3141,485618,22688,0,0
0,152,0,159767,3141,503070,22688,0,0
0,163,0,159767,3141,503273,22688,0,0
0,119,0,159767,3141,503548,22688,0,0
0,122,0,159767,3141,501132,22688,0,0
0,125,0,159767,3141,511120,22688,0,0
0,120,0,159767,3141,510752,22688,0,0
0,123,0,159767,3141,510405,22688,0,0
0,161,0,159767,3141,509617,22688,0,0
0,123,0,159767,3141,509668,22688,0,0
0,127,0,159767,3141,509080,22688,0,0
0,125,0,159767,3141,505526,22688,0,0
0,148,0,159767,3141,506234,22688,0,0
0,121,0,159767,3141,506841,22688,0,0
0,167,0,159767,3141,506754,22688,0,0
0,122,0,159767,3141,508994,22688,0,0
0,124,0,159767,3141,508134,22688,0,0
0,125,0,159767,3141,508110,22688,0,0
0,120,0,159767,3141,508230,22688,0,0
0,120,0,159767,3141,504080,22688,0,0
0,164,0,159767,3141,475146,22688,0,0
0,126,0,159767,3141,471839,22688,0,0
0,124,0,159767,3141,473444,22688,0,0
0,150,0,159767,3141,474272,22688,0,0
0,117,0,159767,3141,468336,22688,0,0
0,124,0,159767,3141,468286,22688,0,0
0,164,0,159767,3141,465513,22688,0,0
0,125,0,159767,3141,469248,22688,0,0
0,122,0,159767,3141,468578,22688,0,0
0,118,0,159767,3141,468855,22688,0,0
0,127,0,159767,3141,468887,22688,0,0
0,125,0,159767,3141,470006,22688,0,0
0,165,0,159767,3141,472987,22688,0,0
0,144,0,159767,3141,475621,22688,0,0
0,136,0,159767,3141,474124,22688,0,0
0,120,0,159767,3141,473646,22688,0,0
0,125,0,159767,3141,473760,22688,0,0
0,124,0,159767,3141,470906,22688,0,0
0,169,0,159767,3141,470983,22688,0,0
0,125,0,159767,3141,470775,22688,0,0
0,126,0,159767,3141,471046,22688,0,0
0,123,0,159767,3141,467446,22688,0,0
0,122,0,159767,3141,468944,22688,0,0
0,120,0,159767,3141,472159,22688,0,0
0,183,0,159767,3141,472028,22688,0,0
0,139,0,159767,3141,478513,22688,0,0
0,154,0,159767,3141,478311,22688,0,0
0,149,0,159767,3141,486880,22688,0,0
0,127,0,159767,3141,488143,22688,0,0
0,126,0,159767,3141,488976,22688,0,0
0,160,0,159767,3141,514201,22688,0,0
0,121,0,159767,3141,513737,22688,0,0
0,121,0,159767,3141,513582,22688,0,0
0,125,0,159767,3141,512407,22688,0,0
0,140,0,159767,3141,512048,22688,0,0
0,146,0,159767,3141,512197,22688,0,0
0,168,0,159767,3141,507388,22688,0,0
0,121,0,159767,3141,507096,22688,0,0
0,123,0,159767,3141,499568,22688,0,0
0,121,0,159767,3141,499410,22688,0,0
0,121,0,159767,3141,499145,22688,0,0
0,151,0,159767,3141,498795,22688,0,0
0,143,0,159767,3141,498761,22688,0,0
0,140,0,159767,3141,500817,22688,0,0
0,123,0,159767,3141,500636,22688,0,0
0,120,0,159767,3141,500161,22688,0,0
0,150,0,159767,3141,500077,22688,0,0
0,124,0,159767,3141,499797,22688,0,0
0,143,0,159767,3141,499987,22688,0,0
0,125,0,159767,3141,499933,22688,0,0
0,125,0,159767,3141,499905,22688,0,0
0,119,0,159767,3141,501929,22688,0,0
0,121,0,159767,3141,501799,22688,0,0
0,122,0,159767,3141,496957,22688,8192,0
0,171,0,159767,3141,495547,22688,0,0
0,124,0,159767,3141,495628,22688,0,0
0,128,0,159767,3141,495360,22688,0,0
0,147,0,159767,3141,496159,22688,0,0
0,130,0,159767,3141,513313,22688,0,0
0,123,0,159767,3141,507675,22688,0,0
0,228,0,159767,3141,500776,22688,0,0
0,144,0,159767,3141,498754,22688,0,0
0,123,0,159767,3141,499082,22688,0,0
0,118,0,159767,3141,499077,22688,0,0
0,119,0,159767,3141,498783,22688,0,0
0,120,0,159767,3141,494789,22688,0,0
0,165,0,159767,3141,492059,22688,0,0
0,146,0,159767,3141,491639,22688,0,0
0,139,0,159767,3141,490557,22688,0,0
0,118,0,159767,3141,490697,22688,0,0
0,126,0,159767,3141,493847,22688,0,0
0,128,0,159767,3141,494504,22688,0,0
0,157,0,159767,3141,494203,22688,0,0
0,116,0,159767,3141,493527,22688,0,0
0,122,0,159767,3141,491129,22688,0,0
0,123,0,159767,3141,490898,22688,0,0
0,124,0,159767,3141,467625,22688,0,0
0,126,0,159767,3141,467358,22688,0,0
0,193,0,159767,3141,467210,22688,0,0
0,122,0,159767,3141,466622,22688,0,0
0,125,0,159767,3141,466281,22688,0,0
0,118,0,159767,3141,462997,22688,0,0
0,120,0,159767,3141,462329,22688,0,0
0,120,0,159767,3141,463425,22688,0,0
0,159,0,159767,3141,464087,22688,0,0
0,127,0,159767,3141,463828,22688,0,0
0,118,0,159767,3141,468038,22688,0,0
0,123,0,159767,3141,468425,22688,0,0
0,149,0,159767,3141,468045,22688,0,0
0,142,0,159767,3141,465102,22688,0,0
0,156,0,159767,3141,466139,22688,0,0
0,119,0,159767,3141,472271,22688,0,0
0,122,0,159767,3141,472233,22688,0,0
0,121,0,159767,3141,478146,22688,0,0
0,118,0,159767,3141,477850,22688,0,0
0,123,0,159767,3141,478103,22688,0,0
0,148,0,159767,3141,477137,22688,0,0
0,125,0,159767,3141,477043,22688,0,0
0,119,0,159767,3141,476447,22688,0,0
0,143,0,159767,3141,476051,22688,0,0
0,129,0,159767,3141,505790,22688,0,0
0,121,0,159767,3141,505441,22688,0,0
0,183,0,159767,3141,505392,22688,0,0
0,121,0,159767,3141,505389,22688,0,0
0,124,0,159767,3141,500087,22688,0,0
0,116,0,159767,3141,500524,22688,0,0
0,149,0,159767,3141,507070,22688,0,0
0,135,0,159767,3141,510865,22688,0,0
0,163,0,159767,3141,510931,22688,0,0
0,115,0,159767,3141,510642,22688,0,0
0,150,0,159767,3141,509920,22688,0,0
0,120,0,159767,3141,505859,22688,0,0
0,118,0,159767,3141,508462,22688,0,0
0,120,0,159767,3141,495611,22688,0,0
0,163,0,159767,3141,473009,22688,0,0
0,122,0,159767,3141,472309,22688,0,0
0,132,0,159767,3141,472035,22688,0,0
0,133,0,159767,3141,471761,22688,0,0
0,158,0,159767,3141,473515,22688,0,0
0,124,0,159767,3141,469690,22688,0,0
0,161,0,159767,3141,469553,22688,0,0
0,145,0,159767,3141,481234,22688,0,0
0,124,0,159767,3141,481111,22688,0,0
0,121,0,159767,3141,480712,22688,0,0
0,128,0,159767,3141,480681,22688,0,0
0,124,0,159767,3141,481014,22688,0,0
0,173,0,159767,3141,482081,22688,0,0
0,127,0,159767,3141,481724,22688,0,0
0,123,0,159767,3141,482541,22688,0,0
0,118,0,159767,3141,508140,22688,0,0
0,119,0,159767,3141,508043,22688,0,0
0,149,0,159767,3141,514876,22688,0,0
