"Dstat 1.1.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dool/mem_vm-adv_zones_disk_vm_cpu_udp_unix.csv --mem --vm-adv --zones --disk --vm --cpu --udp --unix 1 600",,,,"Date:","22 Mar 2023 21:32:08 -03"
"memory usage",,,,"advanced virtual memory",,,,,"zones memory",,,,"dsk/total",,"virtual memory",,,,"total cpu usage",,,,,"udp",,"unix sockets",,,
3364593664,1973342208,10548523008,12617506816,0,0,0,0,0,305914,3141,172531,22176,0,0,0,1615,2036,1688,2.261,1.131,96.482,0.126,0,17,6,56,868,54,814
3365097472,1973342208,10548019200,12617560064,0,0,0,0,0,305914,3141,172531,22176,0,0,0,940,719,638,3.266,1.256,95.477,0,0,17,6,56,868,54,814
3365355520,1973342208,10547761152,12617560064,0,0,0,0,0,305914,3141,172531,22176,0,0,0,1224,1316,1485,1.765,1.387,96.469,0.378,0,17,6,56,868,54,814
3365593088,1972580352,10548285440,12616798208,0,0,0,0,0,305914,3141,172345,22176,0,204800,0,80,310,193,2.628,1.001,95.870,0.501,0,17,6,56,868,54,814
3366117376,1972580352,10547761152,12616527872,0,0,0,0,0,305914,3141,172345,22176,0,0,0,150,144,330,1.889,0.882,97.229,0,0,17,6,56,868,54,814
3366633472,1972322304,10547503104,12616286208,0,0,0,0,0,305914,3141,172282,22176,0,0,0,1656,1729,1694,2.503,1.377,95.995,0.125,0,17,6,56,868,54,814
3366064128,1972322304,10548072448,12617244672,0,0,0,0,0,305914,3141,172282,22176,0,0,0,58,286,529,2.023,0.759,97.219,0,0,17,6,56,868,54,814
3367616512,1971302400,10547539968,12616278016,0,0,0,0,0,305914,3141,172033,22176,0,548864,0,1404,1842,1977,2.771,1.008,96.096,0.126,0,17,6,56,868,54,814
3367505920,1971302400,10547650560,12617924608,0,0,0,0,0,305914,3141,172033,22176,0,352256,0,260,355,209,2.879,0.876,95.995,0.250,0,17,6,56,868,54,814
3367976960,1970307072,10548174848,12616949760,0,0,0,0,0,305914,3141,171790,22176,0,3735552,0,476,888,608,2.023,0.885,96.966,0.126,0,17,6,56,868,54,814
3366662144,1972142080,10547654656,12618792960,0,0,0,0,0,305914,3141,172238,22176,0,0,0,1704,2113,4013,6,1.875,92.125,0,0,17,6,56,868,54,814
3366350848,1971920896,10548187136,12618575872,0,0,0,0,0,305914,3141,172184,22176,0,0,0,85,299,218,2.638,0.754,96.482,0.126,0,17,6,56,868,54,814
3366068224,1972191232,10548199424,12618858496,0,0,0,0,0,305914,3141,172250,22176,0,0,0,1389,1424,1407,2.652,0.884,96.465,0,0,17,6,56,870,54,816
3345481728,1993916416,10547060736,12624052224,0,0,0,0,0,305914,3141,177554,22176,0,0,0,1091,1815,5901,4.224,2.112,93.540,0.124,0,17,6,56,870,54,816
3344408576,1993916416,10548133888,12624084992,0,0,0,0,0,305914,3141,177554,22176,0,401408,0,558,1544,1145,3.448,1.149,95.147,0.255,0,17,6,56,870,54,816
3345395712,1999097856,10541985792,12623269888,0,0,0,0,0,307234,3141,177499,22176,0,0,0,1445,2703,4571,4.494,2.497,92.884,0.125,0,17,6,56,870,54,816
3345596416,1999151104,10541731840,12623331328,0,0,0,0,0,307234,3141,177512,22176,0,0,0,122,972,1100,3.483,1.990,94.527,0,0,17,6,56,870,54,816
3345793024,1998946304,10541740032,12623126528,0,0,0,0,0,307234,3141,177462,22176,0,0,0,1632,2413,2246,4.467,2.481,92.928,0.124,0,17,6,56,870,54,816
3346333696,1998946304,10541199360,12623126528,0,0,0,0,0,307234,3141,177462,22176,0,0,0,50,937,1193,3.254,1.877,94.869,0,0,17,6,56,870,54,816
3345993728,1998741504,10541744128,12622929920,0,0,0,0,0,307234,3141,177412,22176,0,1351680,0,70,1355,1236,3.371,2.122,93.883,0.624,0,17,6,56,870,54,816
3345068032,1999351808,10542059520,12624625664,0,0,0,0,0,307234,3141,177561,22176,0,3260416,0,1559,3215,3456,4.234,2.366,93.400,0,0,17,6,56,870,54,816
3345444864,1998974976,10542059520,12624257024,0,0,0,0,0,307234,3141,177469,22176,0,0,0,331,1040,1025,4.015,1.506,94.354,0.125,0,17,6,56,870,54,816
3346419712,1998266368,10541793280,12623548416,0,0,0,0,0,307234,3141,177296,22176,0,0,0,1319,2225,2348,3.722,2.730,93.548,0,0,17,6,56,870,54,816
3346735104,1997574144,10542170112,12624420864,0,0,0,0,0,307234,3141,177127,22176,0,0,0,83,1126,989,4.025,2.013,93.836,0.126,0,17,6,56,870,54,816
3346980864,1997328384,10542170112,12624195584,0,0,0,0,0,307234,3141,177067,22176,0,0,0,108,917,880,3.258,1.754,94.737,0.251,0,17,6,56,870,54,816
3348774912,1996058624,10541645824,12622934016,0,0,0,0,0,307234,3141,176757,22176,0,344064,0,1636,2585,2627,3.980,1.741,93.781,0.498,0,17,6,56,870,54,816
3348942848,1995354112,10542182400,12621078528,0,0,0,0,0,307234,3141,176585,22176,0,0,0,508,1214,1514,2.632,1.754,95.489,0.125,0,17,6,56,870,54,816
3349315584,1994936320,10542227456,12620730368,0,0,0,0,0,307234,3141,176483,22176,0,0,0,1579,2758,2480,3.965,2.726,93.185,0.124,0,17,6,56,870,54,816
3350831104,1993945088,10541703168,12619739136,0,0,0,0,0,307234,3141,176241,22176,0,0,0,74,896,1085,3.500,1.500,95,0,0,17,6,56,870,54,816
3350773760,1993469952,10542235648,12619264000,0,0,0,0,0,307234,3141,176125,22176,0,0,0,309,1062,903,2.747,1.498,95.630,0.125,0,17,6,56,870,54,816
3418890240,1925873664,10541715456,12545777664,0,0,0,0,0,307234,3141,159622,22176,0,1482752,0,21667,42181,23462,4.271,3.141,91.709,0.879,0,17,6,56,870,54,816
3547750400,1790881792,10547847168,12417814528,0,0,0,0,0,307234,3141,126665,22176,0,2547712,0,31195,34888,2311,3.630,2.003,94.118,0.250,0,17,6,56,870,54,816
3547672576,1790464000,10548342784,12417466368,0,0,0,0,0,307234,3141,126563,22176,0,0,0,1413,2470,2324,4.483,2.615,92.902,0,0,17,6,56,868,54,814
3549671424,1788731392,10548076544,12415733760,0,0,0,0,0,307234,3141,126140,22176,0,0,0,1857,1395,1481,3.375,1.250,95.250,0.125,0,17,6,56,868,54,814
3549011968,1789054976,10548412416,12416851968,0,0,0,0,0,307234,3141,126219,22176,0,0,0,451,665,387,1.752,1.252,96.996,0,0,17,6,56,868,54,814
3550552064,1788551168,10547376128,12416385024,0,0,0,0,0,307234,3141,126096,22176,0,0,0,1427,1485,1671,2.378,1.001,96.245,0.375,0,17,6,56,868,54,814
3549503488,1788551168,10548424704,12416389120,0,0,0,0,0,307234,3141,126096,22176,0,925696,0,383,784,638,2.261,0.879,96.608,0.251,0,17,6,56,868,54,814
3550752768,1787543552,10548183040,12415381504,0,0,0,0,0,307234,3141,125850,22176,0,0,0,1558,1643,1638,1.887,0.881,97.107,0.126,0,17,6,56,868,54,814
3567792128,1770336256,10548350976,12399788032,0,0,0,0,0,304399,3141,124484,22176,0,0,0,4704,5676,1037,2.509,1.380,96.110,0,0,17,6,56,868,54,814
3568812032,1768787968,10548879360,12398284800,0,0,0,0,0,304399,3141,124106,22176,0,0,0,496,649,536,2.003,1.126,96.746,0.125,0,17,6,56,868,54,814
3569319936,1768534016,10548625408,12398071808,0,0,0,0,0,304399,3141,124044,22176,0,0,0,1366,1382,1498,2.375,1.250,96.250,0.125,0,17,6,56,868,54,814
3572940800,1765122048,10548416512,12394446848,0,0,0,0,0,304399,3141,123211,22176,0,17096704,0,442,2622,2708,2.525,1.768,95.202,0.505,0,17,6,56,868,54,814
3572023296,1765507072,10548948992,12394840064,0,0,0,0,0,304399,3141,123305,22176,0,0,0,1305,1648,1650,2.882,1.378,95.739,0,0,17,6,56,868,54,814
3572994048,1765060608,10548424704,12394405888,0,0,0,0,0,304399,3141,123196,22176,0,1736704,0,28,381,562,3.531,1.009,95.334,0.126,0,17,6,56,868,54,814
3573456896,1764569088,10548453376,12393951232,0,0,0,0,0,304399,3141,123076,22176,0,147456,0,102,540,381,2.384,0.753,96.612,0.251,0,17,6,56,868,54,814
3573080064,1764814848,10548584448,12393054208,0,0,0,0,0,304399,3141,123136,22176,0,49152,0,1859,1790,1865,2.519,1.008,96.222,0.252,0,17,6,56,870,54,816
3572465664,1765953536,10548060160,12393447424,0,0,0,0,0,304399,3141,123414,22176,0,0,0,10,279,763,3.117,1.122,95.761,0,0,17,6,56,868,54,814
3571691520,1766420480,10548367360,12393914368,0,0,0,0,0,304399,3141,123528,22176,0,0,0,1301,1791,1680,3.383,1.504,95.113,0,0,17,6,56,868,54,814
3571740672,1765928960,10548809728,12392603648,0,0,0,0,0,304399,3141,123408,22176,0,0,0,1269,1459,730,2.882,0.877,96.115,0.125,0,17,6,56,868,54,814
3572510720,1765683200,10548285440,12392357888,0,0,0,0,0,304399,3141,123348,22176,0,0,0,10,87,206,2.506,0.627,96.742,0.125,0,17,6,56,868,54,814
3572436992,1765232640,10548809728,12391964672,0,0,0,0,0,304399,3141,123238,22176,0,458752,0,1597,1595,1433,2.256,1.378,95.865,0.501,0,17,6,56,868,54,814
3572056064,1765601280,10548822016,12392349696,0,0,0,0,0,304399,3141,123328,22176,0,49152,0,487,280,556,1.770,1.138,96.966,0.126,0,17,6,56,868,54,814
3572133888,1766113280,10548232192,12392869888,0,0,0,0,0,304399,3141,123453,22176,0,0,0,1354,1628,1759,2.981,1.491,95.404,0.124,0,17,6,56,868,54,814
3571707904,1765883904,10548887552,12394311680,0,0,0,0,0,304399,3141,123397,22176,0,0,0,194,459,119,4,1.250,94.750,0,0,17,6,56,868,54,814
3572064256,1765527552,10548887552,12393955328,0,0,0,0,0,304399,3141,123310,22176,0,0,0,279,85,93,2.261,0.503,97.111,0.126,0,17,6,56,868,54,814
3573354496,1765515264,10547609600,12394446848,0,0,0,0,0,304399,3141,123307,22176,0,229376,0,1498,1617,2147,3.531,1.261,95.082,0.126,0,17,6,56,868,54,814
3573800960,1763737600,10548940800,12392693760,0,0,0,0,0,304399,3141,122873,22176,0,0,0,102,522,109,1.882,1.004,97.114,0,0,17,6,56,868,54,814
3574743040,1762545664,10549190656,12391501824,0,0,0,0,0,304399,3141,122582,22176,0,0,0,1275,1631,1624,2,1.625,96.250,0.125,0,17,6,56,868,54,814
3575447552,1762615296,10548416512,12391571456,0,0,0,0,0,304399,3141,122599,22176,0,0,0,280,88,207,2.008,0.878,97.114,0,0,17,6,56,868,54,814
3576401920,1767665664,10542411776,12408049664,0,0,0,0,0,305632,3141,122599,22176,0,0,0,60,279,2033,2.632,1.253,95.865,0.251,0,17,6,56,868,54,814
3571486720,1774153728,10540838912,12407627776,0,0,0,0,0,306906,3141,122909,22176,0,1327104,0,1737,1944,3680,3.141,1.382,94.598,0.879,0,17,6,56,868,54,814
3571421184,1773072384,10541985792,12406411264,0,0,0,0,0,306763,3141,122788,22176,0,0,0,320,703,109,2.013,1.006,96.981,0,0,17,6,56,868,54,814
3570655232,1773019136,10542804992,12405313536,0,0,0,0,0,307027,3141,122511,22176,0,5193728,0,1810,2726,3067,3.157,1.389,95.328,0.126,0,17,6,56,868,54,814
3571531776,1772658688,10542288896,12404981760,0,0,0,0,0,307027,3141,122423,22176,0,0,0,459,241,362,2.010,1.256,96.608,0.126,0,17,6,56,868,54,814
3572215808,1772224512,10542039040,12404555776,0,0,0,0,0,307027,3141,122317,22176,0,0,0,86,93,108,1.880,0.752,97.368,0,0,17,6,56,868,54,814
3571683328,1772224512,10542571520,12404563968,0,0,0,0,0,307027,3141,122317,22176,0,0,0,1325,1601,1491,2.875,1.625,95.375,0.125,0,17,6,56,868,54,814
3572166656,1771995136,10542317568,12404334592,0,0,0,0,0,307027,3141,122261,22176,0,557056,0,319,164,351,3.291,1.013,95.570,0.127,0,17,6,56,868,54,814
3571322880,1772847104,10542309376,12405149696,0,0,0,0,0,307027,3141,122469,22176,0,0,0,1283,1644,1664,3.491,1.621,94.888,0,0,17,6,56,868,54,814
3561918464,1781886976,10542673920,12482080768,0,0,0,0,0,308662,3141,123041,22176,0,0,0,217,396,2541,3.500,1.250,95.125,0.125,0,17,6,56,868,54,814
3563028480,1781174272,10542276608,12481409024,0,0,0,0,0,308662,3141,122932,22176,0,0,0,136,271,238,2.128,1.001,96.871,0,0,17,6,56,868,54,814
3563143168,1781059584,10542276608,12481282048,0,0,0,0,0,308662,3141,122839,22176,0,0,0,1575,1362,1523,3.250,1.125,95.250,0.375,0,17,6,56,868,54,814
3562807296,1780871168,10542800896,12481093632,0,0,0,0,0,308662,3141,122793,22176,0,221184,0,14,269,133,2.648,0.631,96.217,0.504,0,17,6,56,868,54,814
3561930752,1782280192,10542268416,12482510848,0,0,0,0,0,308662,3141,123137,22176,0,0,0,1358,1635,1782,3.262,1.255,95.358,0.125,0,17,6,56,868,54,814
3562426368,1782046720,10542006272,12481994752,0,0,0,0,0,308662,3141,123080,22176,0,0,0,14,103,157,2.764,1.256,95.980,0,0,17,6,56,868,54,814
3561893888,1782046720,10542538752,12482064384,0,0,0,0,0,308662,3141,123080,22176,0,0,0,303,261,122,2.509,1.129,96.236,0.125,0,17,6,56,868,54,814
3561709568,1782497280,10542272512,12482514944,0,0,0,0,0,308662,3141,123190,22176,0,0,0,1600,1513,1653,2.509,1.631,95.859,0,0,17,6,56,868,54,814
3675492352,1662537728,10548449280,12509237248,0,0,0,0,0,278674,3141,123891,22176,0,0,0,47743,69940,39968,5.556,2.273,91.919,0.253,0,17,6,56,868,54,814
3677495296,1660563456,10548420608,12506787840,0,0,0,0,0,278674,3141,123409,22176,8192,14286848,0,1314,3538,3669,3.491,2.618,93.267,0.623,0,17,6,56,868,54,814
3678289920,1660284928,10547904512,12506509312,0,0,0,0,0,278674,3141,123341,22176,0,2408448,0,287,411,518,2.655,1.138,96.081,0.126,0,17,6,56,868,54,814
3678257152,1660309504,10547912704,12506525696,0,0,0,0,0,278674,3141,123347,22176,0,0,0,20,218,93,1.752,1.126,96.996,0.125,0,17,6,56,868,54,814
3679244288,1659305984,10547929088,12505530368,0,0,0,0,0,278674,3141,123102,22176,0,0,0,1404,1671,1659,2.622,1.623,95.755,0,0,17,6,56,868,54,814
3679223808,1659330560,10547924992,12505567232,0,0,0,0,0,278674,3141,123108,22176,0,0,0,22,122,455,2.747,0.874,96.255,0.125,0,17,6,56,868,54,814
3678650368,1659621376,10548207616,12505858048,0,0,0,0,0,278674,3141,123179,22176,0,0,0,1560,1775,1639,3.865,1.122,94.763,0.249,0,17,6,56,868,54,814
3533955072,1803980800,10548543488,12636393472,0,0,0,0,0,278674,3141,158423,22176,0,0,0,1098,1492,35207,3.409,1.263,95.076,0.253,0,17,6,56,868,54,814
3534696448,1803751424,10548031488,12636176384,0,0,0,0,0,278674,3141,158367,22176,0,0,0,90,106,247,2.369,0.748,96.633,0.249,0,17,6,56,868,54,814
3536457728,1801465856,10548555776,12633853952,0,0,0,0,0,278674,3141,157809,22176,0,286720,0,1303,1804,1730,1.882,1.255,96.487,0.376,0,17,6,56,868,54,814
3535900672,1802014720,10548563968,12634419200,0,0,0,0,0,278674,3141,157943,22176,0,0,0,334,166,103,2.258,0.753,96.989,0,0,17,6,56,868,54,814
3537850368,1801109504,10547519488,12633571328,0,0,0,0,0,278674,3141,157722,22176,0,0,0,1404,1634,1853,2.107,2.230,95.539,0.124,0,17,6,56,868,54,814
3537133568,1800630272,10548715520,12633223168,0,0,0,0,0,278674,3141,157605,22176,0,0,0,747,742,503,2.287,0.889,96.823,0,0,17,6,56,868,54,814
3537403904,1800658944,10548416512,12633251840,0,0,0,0,0,278674,3141,157612,22176,0,270336,0,385,938,809,3.383,1.253,95.113,0.251,0,17,6,56,868,54,814
3537059840,1800671232,10548748288,12633686016,0,0,0,0,0,278674,3141,157615,22176,0,0,0,1683,1512,1861,2.882,0.877,96.115,0.125,0,17,6,56,868,54,814
3538452480,1799467008,10548559872,12635234304,0,0,0,0,0,278674,3141,157321,22176,0,0,0,290,659,502,2.261,0.879,96.859,0,0,17,6,56,868,54,814
3538919424,1798713344,10548846592,12634480640,0,0,0,0,0,278674,3141,157137,22176,0,0,0,1405,1593,1457,3.750,1.875,94.250,0.125,0,17,6,56,868,54,814
3539386368,1798238208,10548854784,12634013696,0,0,0,0,0,278674,3141,157021,22176,0,0,0,1535,1363,1332,3.401,1.134,95.466,0,0,17,6,56,868,54,814
3538567168,1799811072,10548101120,12635586560,0,0,0,0,0,278674,3141,157405,22176,0,0,0,285,377,500,2.750,0.750,96.250,0.250,0,17,6,56,868,54,814
3539021824,1798832128,10548625408,12634607616,0,0,0,0,0,278674,3141,157166,22176,0,286720,0,1312,1550,1418,3.008,1.378,94.737,0.877,0,17,6,56,868,54,814
3540307968,1797287936,10548883456,12633100288,0,0,0,0,0,278674,3141,156789,22176,0,0,0,90,352,370,2.519,0.882,96.599,0,0,17,6,56,868,54,814
3537301504,1800777728,10548400128,12636622848,0,0,0,0,0,278674,3141,157641,22176,0,0,0,1281,1377,24661,2.879,2.128,94.869,0.125,0,17,6,56,868,54,814
3537977344,1799467008,10549035008,12632829952,0,0,0,0,0,278674,3141,157321,22176,0,5242880,0,446,1082,2010,2.767,1.761,95.472,0,0,17,6,56,868,54,814
3538419712,1799282688,10548776960,12631957504,0,0,0,0,0,278674,3141,157276,22176,0,0,0,18,392,938,2.261,0.879,96.734,0.126,0,17,6,56,868,54,814
3538448384,1799311360,10548719616,12631994368,0,0,0,0,0,278674,3141,157283,22176,0,0,0,1755,1567,1709,3.526,1.259,95.214,0,0,17,6,56,868,54,814
3539210240,1798021120,10549248000,12630724608,0,0,0,0,0,278674,3141,156968,22176,0,458752,0,99,591,441,2.258,0.753,96.863,0.125,0,17,6,56,868,54,814
3539460096,1798021120,10548998144,12630745088,0,0,0,0,0,278674,3141,156968,22176,0,0,0,1565,1368,1366,3.117,1.372,95.387,0.125,0,17,6,56,868,54,814
3536306176,1808244736,10541932544,12632301568,0,0,0,0,0,280258,3141,157880,22176,0,0,0,55,152,2732,2.893,1.258,95.849,0,0,17,6,56,868,54,814
3535335424,1808637952,10542510080,12632506368,0,0,0,0,0,280258,3141,157976,22176,0,0,0,260,755,576,2.136,0.879,96.859,0.126,0,17,6,56,868,54,814
3535122432,1808838656,10542522368,12632727552,0,0,0,0,0,280258,3141,158025,22176,0,0,0,690,545,346,3.137,0.878,95.985,0,0,17,6,56,868,54,814
3535802368,1808601088,10542080000,12632694784,0,0,0,0,0,280258,3141,157967,22176,0,0,0,1115,1359,1512,3.015,1.131,95.477,0.377,0,17,6,56,868,54,814
3535503360,1808916480,10542063616,12632772608,0,0,0,0,0,280258,3141,158044,22176,0,1343488,0,1286,1738,1615,2.875,1.750,95.125,0.250,0,20,6,56,868,54,814
3536809984,1807208448,10542465024,12631076864,0,0,0,0,0,280258,3141,157627,22176,0,2867200,0,13,461,467,2.155,0.887,96.831,0.127,0,20,6,56,868,54,814
3535486976,1809297408,10541699072,12633165824,0,0,0,0,0,280258,3141,158137,22176,0,0,0,74,353,482,1.875,1.250,96.750,0.125,0,20,6,56,868,54,814
3534942208,1809051648,10542489600,12632936448,0,0,0,0,0,280258,3141,158077,22176,0,0,0,308,254,97,2.253,0.751,96.871,0.125,0,20,6,56,868,54,814
3535093760,1809113088,10542276608,12634013696,0,0,0,0,0,280258,3141,158092,22176,0,0,0,1349,1726,1754,2.645,1.637,95.718,0,0,20,6,56,868,54,814
3535654912,1808605184,10542223360,12633493504,0,0,0,0,0,280258,3141,157968,22176,0,540672,0,1756,1605,1724,2.638,1.633,95.603,0.126,0,17,6,56,868,54,814
3535937536,1808154624,10542391296,12633042944,0,0,0,0,0,280258,3141,157858,22176,0,0,0,613,806,526,2.985,1.244,95.647,0.124,0,17,6,56,868,54,814
3534053376,1809780736,10542649344,12634669056,0,0,0,0,0,280258,3141,158255,22176,0,0,0,280,349,344,2.278,0.633,97.089,0,0,17,6,56,868,54,814
3534643200,1809715200,10542125056,12634603520,0,0,0,0,0,280258,3141,158239,22176,0,0,0,10,86,209,2.618,1.122,96.135,0.125,0,17,6,56,868,54,814
3534319616,1809502208,10542661632,12634402816,0,0,0,0,0,280258,3141,158187,22176,0,0,0,1331,1800,1667,2.519,1.385,95.970,0.126,0,17,6,56,868,54,814
3535298560,1808797696,10542387200,12633698304,0,0,0,0,0,280258,3141,158015,22176,0,147456,0,669,751,678,3.026,1.135,95.334,0.504,0,17,6,56,868,54,814
3535314944,1808822272,10542346240,12634521600,0,0,0,0,0,280258,3141,158021,22176,0,0,0,1848,1870,1334,3.141,1.005,95.854,0,0,17,6,56,868,54,814
3533176832,1810423808,10542882816,12636164096,0,0,0,0,0,280258,3141,158412,22176,0,2236416,0,15,779,658,1.887,0.755,97.107,0.252,0,17,6,56,868,54,814
3547799552,1795756032,10542927872,12622389248,0,0,0,0,0,280258,3141,154831,22176,0,0,0,4445,5365,933,3.275,1.134,95.592,0,0,17,6,56,868,54,814
3471663104,1865945088,10548858880,12599930880,0,0,0,0,0,290026,3141,162199,22176,0,0,0,52966,75070,91435,5.429,3.030,91.414,0.126,0,17,6,56,868,54,814
3471650816,1865183232,10549633024,12612952064,0,0,0,0,0,290026,3141,162013,22176,0,0,0,313,452,249,4.342,1.737,93.921,0,0,17,6,56,868,54,814
3473952768,1863401472,10549112832,12611526656,0,0,0,0,0,290026,3141,161578,22176,0,2433024,0,1289,1574,1861,2.149,1.643,96.081,0.126,0,17,6,56,868,54,814
3475243008,1861361664,10549862400,12609495040,0,0,0,0,0,290026,3141,161080,22176,0,0,0,478,658,524,1.889,0.882,97.229,0,0,17,6,56,868,54,814
3475337216,1861402624,10549727232,12608860160,0,0,0,0,0,290026,3141,161090,22176,0,0,0,315,356,472,2.494,0.998,96.384,0.125,0,17,6,56,868,54,814
3475804160,1861455872,10549207040,12608921600,0,0,0,0,0,290026,3141,161103,22176,0,0,0,1565,1367,1479,3.238,1.993,94.770,0,0,17,6,56,868,54,814
3475214336,1861500928,10549751808,12608978944,0,0,0,0,0,290026,3141,161114,22176,0,0,0,12,490,357,2.402,0.885,96.334,0.379,0,17,6,56,868,54,814
3458838528,1877778432,10549850112,12803932160,0,0,0,0,0,290026,3141,165032,22176,0,458752,0,1478,1699,5365,2.628,1.752,95.119,0.501,0,17,6,56,868,54,814
3460927488,1876180992,10549358592,12802375680,0,0,0,0,0,290026,3141,164698,22176,0,16211968,0,71,2352,2489,2.635,1.255,95.985,0.125,0,17,6,56,868,54,814
3460890624,1875939328,10549637120,12802134016,0,0,0,0,0,290026,3141,164639,22176,0,0,0,283,226,92,2.136,0.754,96.985,0.126,0,17,6,56,868,54,814
3460849664,1875722240,10549895168,12802052096,0,0,0,0,0,290026,3141,164586,22176,0,0,0,1563,1649,1393,3.275,1.889,94.836,0,0,17,6,56,870,54,816
3460808704,1876004864,10549653504,12801998848,0,0,0,0,0,290026,3141,164595,22176,0,0,0,221,541,1058,2.264,0.755,96.855,0.126,0,17,6,56,868,54,814
3461804032,1874984960,10549678080,12800978944,0,0,0,0,0,290026,3141,164406,22176,0,0,0,1346,1583,1452,2.882,1.378,95.614,0.125,0,17,6,56,868,54,814
3461165056,1875103744,10550198272,12801097728,0,0,0,0,0,290026,3141,164435,22176,0,1499136,0,300,560,535,3.004,1.252,95.244,0.501,0,17,6,56,868,54,814
3461685248,1875091456,10549690368,12801114112,0,0,0,0,0,290026,3141,164432,22176,0,0,0,12,102,263,2.408,0.760,96.831,0,0,17,6,56,868,54,814
