"Dstat 1.1.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dool/unix_zones_fs_vm_tcp_lock_ipc.csv --unix --zones --fs --vm --tcp --lock --ipc 1 600",,,,"Date:","23 Mar 2023 13:42:08 -03"
"unix sockets",,,,"zones memory",,,,"filesystem",,"virtual memory",,,,"tcp sockets",,,,,"file locks",,,,"sysv ipc",,
56,975,55,920,159767,3141,489410,22688,14048,182385,0,5732,7316,2734,7,22,0,7,3,83,12,13,82,0,0,5
56,975,55,920,159767,3141,488705,22688,14048,182386,0,220,1734,1680,7,22,0,7,3,83,12,13,82,0,0,5
56,975,55,920,159767,3141,488480,22688,14016,182390,0,3701,4341,4249,7,22,0,7,3,83,12,13,82,0,0,5
56,975,55,920,159767,3141,500459,22688,14016,182412,0,4576,6302,15298,7,22,0,7,3,83,12,13,82,0,0,5
56,975,55,920,159767,3141,502533,22688,14048,181480,0,906,1782,5026,7,22,0,7,3,83,12,13,82,0,0,5
56,975,55,920,159767,3141,503217,22688,14048,181305,0,512,855,1934,7,22,0,6,3,83,12,13,82,0,0,5
56,975,55,920,159767,3141,502866,22688,14048,181306,0,1057,2219,1944,7,22,0,6,3,83,12,13,82,0,0,5
56,975,55,920,159767,3141,499370,22688,14016,181288,0,8803,10864,8534,7,22,0,6,3,83,12,13,82,0,0,5
56,975,55,920,159767,3141,499345,22688,14048,181288,0,264,783,1542,7,22,0,7,3,83,12,13,82,0,0,5
56,975,55,920,159767,3141,499260,22688,14048,181288,0,719,1181,1014,7,22,0,7,3,83,12,13,82,0,0,5
56,975,55,920,159767,3141,513149,22688,14080,181314,0,615,1763,14662,7,21,0,7,4,83,12,13,82,0,0,5
56,975,55,920,159767,3141,513125,22688,14112,181319,0,232,1331,1075,7,21,0,8,4,83,12,13,82,0,0,5
56,975,55,920,159767,3141,513057,22688,14048,181315,0,2835,5494,6249,7,21,0,8,4,83,12,13,82,0,0,5
56,975,55,920,159767,3141,512804,22688,14048,181316,0,2035,2791,3111,7,21,0,8,4,83,12,13,82,0,0,5
56,975,55,920,159767,3141,512725,22688,14048,181290,0,469,1258,1614,7,21,0,8,4,83,12,13,82,0,0,5
56,975,55,920,159767,3141,479157,22688,14048,182411,0,42671,65085,27080,7,21,0,7,4,83,12,13,82,0,0,5
56,975,55,920,159767,3141,478684,22688,14080,182361,0,742,1739,2847,7,21,0,7,4,83,12,13,82,0,0,5
56,975,55,920,159767,3141,479971,22688,14080,182372,0,3995,6394,6598,7,21,0,7,4,83,12,13,82,0,0,5
56,975,55,920,159767,3141,479264,22688,14080,182380,1,804,1706,1927,7,21,0,8,4,83,12,13,82,0,0,5
56,975,55,920,159767,3141,479036,22688,14080,182380,0,719,1213,716,7,21,0,8,4,83,12,13,82,0,0,5
56,975,55,920,159767,3141,478861,22688,14080,182378,0,635,1109,1445,7,21,0,8,4,83,12,13,82,0,0,5
56,975,55,920,159767,3141,478945,22688,14048,182350,0,237,716,1273,7,21,0,8,4,83,12,13,82,0,0,5
56,975,55,920,159767,3141,479576,22688,14048,182360,0,8628,11189,10971,7,21,0,8,4,83,12,13,82,0,0,5
56,975,55,920,159767,3141,479318,22688,14048,182360,0,243,749,737,7,21,0,8,4,83,12,13,82,0,0,5
56,975,55,920,159767,3141,484427,22688,14080,182383,0,2054,2793,6956,7,21,0,8,4,83,12,13,82,0,0,5
56,975,55,920,159767,3141,483381,22688,14112,182388,0,1064,2142,1314,7,21,0,7,4,83,12,13,82,0,0,5
56,975,55,920,159767,3141,482954,22688,14080,182388,0,816,1367,1044,7,21,0,7,4,83,12,13,82,0,0,5
56,975,55,920,159767,3141,480842,22688,14112,182388,0,4529,7302,7048,7,21,0,7,4,83,12,13,82,0,0,5
56,975,55,920,159767,3141,481012,22688,14080,182359,0,873,1388,2319,7,21,0,7,4,83,12,13,82,0,0,5
56,975,55,920,159767,3141,481624,22688,14048,182361,0,1277,2364,2029,7,21,0,8,4,83,12,13,82,0,0,5
56,975,55,920,159767,3141,480964,22688,14048,182372,1,6552,8093,6831,7,21,0,8,4,83,12,13,82,0,0,5
56,975,55,920,159767,3141,489386,22688,14080,182394,0,1540,2450,11274,7,21,0,8,4,83,12,13,82,0,0,5
56,975,55,920,159767,3141,488829,22688,14048,182400,0,2257,3788,3744,7,21,0,8,4,83,12,13,82,0,0,5
56,975,55,920,159767,3141,493552,22688,14048,182395,0,911,2020,7193,7,21,0,8,4,83,12,13,82,0,0,5
56,975,55,920,159767,3141,496744,22688,14016,182399,0,941,2001,4705,7,23,0,8,3,83,12,13,82,0,0,5
56,975,55,920,159767,3141,497409,22688,14016,182369,0,270,1258,2182,7,23,0,8,3,83,12,13,82,0,0,5
56,975,55,920,159767,3141,497178,22688,14016,182369,0,265,741,697,7,23,0,7,2,83,12,13,82,0,0,5
56,975,55,920,159767,3141,493400,22688,14016,182378,0,7868,10298,6948,7,23,0,7,2,83,12,13,82,0,0,5
56,975,55,920,159767,3141,493324,22688,14016,182401,0,2270,3092,2405,7,23,0,7,2,83,12,13,82,0,0,5
56,975,55,920,159767,3141,493212,22688,14048,182406,0,294,1395,703,7,23,0,7,2,83,12,13,82,0,0,5
56,975,55,920,159767,3141,508867,22688,14048,182406,0,256,830,17775,7,23,0,8,2,83,12,13,82,0,0,5
56,975,55,920,159767,3141,508889,22688,14048,182407,0,211,716,720,7,23,0,8,2,83,12,13,82,0,0,5
56,975,55,920,159767,3141,507866,22688,14080,182407,0,1903,3413,3617,7,23,0,8,2,83,12,13,82,0,0,5
56,975,55,920,159767,3141,515849,22688,14048,181269,0,1531,2199,10228,7,23,0,8,2,83,12,13,82,0,0,5
56,975,55,920,159767,3141,515803,22688,14080,181268,0,649,1099,1095,7,23,0,7,2,83,12,13,82,0,0,5
56,975,55,920,159767,3141,518698,22688,14080,181303,0,7481,9901,10088,7,23,0,8,2,83,12,13,82,0,0,5
56,975,55,920,159767,3141,518290,22688,14048,181308,0,505,1452,712,7,23,0,8,2,83,12,13,82,0,0,5
56,975,55,920,159767,3141,517141,22688,14048,181306,0,2047,4256,4105,7,23,0,8,2,83,12,13,82,0,0,5
56,975,55,920,159767,3141,517181,22688,14080,181306,0,1531,2094,2996,7,23,0,7,2,83,12,13,82,0,0,5
56,975,55,920,159767,3141,516902,22688,14080,181305,0,374,858,808,7,23,0,7,2,83,12,13,82,0,0,5
56,975,55,920,159767,3141,516880,22688,14112,181280,0,238,1076,1486,7,23,0,7,2,83,12,13,82,0,0,5
56,975,55,920,159767,3141,516793,22688,14112,181280,0,524,930,923,7,23,0,8,2,83,12,13,82,0,0,5
56,975,55,920,159767,3141,498311,22688,15104,182366,0,37055,60155,33706,7,23,0,8,2,83,12,13,82,0,0,5
56,975,55,920,159767,3141,488063,22688,14016,182376,0,9197,11719,2950,7,23,0,8,2,83,12,13,82,0,0,5
56,975,55,920,159767,3141,487772,22688,14016,182377,0,797,976,1145,7,23,0,8,2,83,12,13,82,0,0,5
56,975,55,920,159767,3141,487541,22688,13984,182376,0,352,1077,1213,7,23,0,8,2,83,12,13,82,0,0,5
56,975,55,920,159767,3141,487240,22688,13984,182348,0,255,756,1364,7,23,0,8,2,83,12,13,82,0,0,5
56,975,55,920,159767,3141,486764,22688,14048,182348,0,1965,2714,2145,7,22,0,9,2,83,12,13,82,0,0,5
56,975,55,920,159767,3141,486346,22688,14048,182347,0,1494,2727,3173,7,22,0,8,2,83,12,13,82,0,0,5
56,975,55,920,159767,3141,496566,22688,14080,182370,0,1784,2365,11981,7,22,0,8,2,83,12,13,82,0,0,5
56,975,55,920,159767,3141,494080,22688,14080,182431,0,6184,8557,5010,7,22,0,8,2,83,12,13,82,0,0,5
56,975,55,920,159767,3141,493905,22688,14080,182385,0,253,741,1044,7,22,0,8,2,83,12,13,82,0,0,5
56,975,55,920,159767,3141,493559,22688,14112,182384,0,1540,2292,3593,7,22,0,9,2,83,12,13,82,0,0,5
56,975,55,920,159767,3141,497125,22688,14112,182356,0,1685,3781,9122,7,22,0,9,2,83,12,13,82,0,0,5
56,975,55,920,159767,3141,497295,22688,14112,182357,0,924,1703,1304,7,22,0,9,2,83,12,13,82,0,0,5
56,975,55,920,159767,3141,497102,22688,14112,182356,0,280,1093,1369,7,22,0,9,2,83,12,13,82,0,0,5
56,975,55,920,159767,3141,498660,22688,14080,182378,0,1386,2328,4572,7,22,0,9,2,83,12,13,82,0,0,5
56,975,55,920,159767,3141,494959,22688,14080,182392,0,8233,10779,6058,7,22,0,10,2,83,12,13,82,0,0,5
56,975,55,920,159767,3141,494564,22688,14080,182395,0,2008,3333,2726,7,22,0,9,2,83,12,13,82,0,0,5
56,975,55,920,159767,3141,494273,22688,14080,182394,0,444,1516,2031,7,22,0,9,2,83,12,13,82,0,0,5
56,975,55,920,159767,3141,495106,22688,14080,182365,0,247,1004,1713,7,22,0,9,2,83,12,13,82,0,0,5
56,975,55,920,159767,3141,494952,22688,14080,182365,0,365,929,1166,7,22,0,9,2,83,12,13,82,0,0,5
56,975,55,920,159767,3141,494477,22688,14112,182370,0,1568,3585,3420,7,24,0,8,1,83,12,13,82,0,0,5
56,975,55,920,159767,3141,514729,22688,14144,182898,0,3240,7968,28770,7,24,0,8,1,83,12,13,82,0,0,5
56,975,55,920,159767,3141,514301,22688,14144,182902,0,902,2358,1482,7,24,0,8,1,83,12,13,82,0,0,5
56,975,55,920,159767,3141,512503,22688,14080,182918,0,6350,8004,5608,7,24,0,8,1,83,12,13,82,0,0,5
56,977,55,922,159767,3141,505587,22688,14080,182922,0,7238,8108,1369,7,24,0,8,1,83,12,13,82,0,0,5
56,975,55,920,159767,3141,505854,22688,14112,182889,0,1928,2585,3370,7,24,0,9,1,83,12,13,82,0,0,5
56,975,55,920,159767,3141,506075,22688,14080,182887,0,1553,3131,3087,7,24,0,9,1,83,12,13,82,0,0,5
56,975,55,920,159767,3141,509657,22688,14112,182890,1,1840,2658,7426,7,24,0,8,1,83,12,13,82,0,0,5
56,975,55,920,159767,3141,509574,22688,14080,182912,0,1485,2313,1354,7,24,0,8,1,83,12,13,82,0,0,5
56,975,55,920,159767,3141,512215,22688,14080,181806,0,523,1626,3015,7,24,0,8,1,83,12,13,82,0,0,5
56,975,55,920,159767,3141,508986,22688,14080,181816,0,7398,9412,5134,7,24,0,8,1,83,12,13,82,0,0,5
56,975,55,920,159767,3141,509032,22688,14048,181817,0,1652,4705,6565,7,24,0,8,1,83,12,13,82,0,0,5
56,975,55,920,159767,3141,509202,22688,14080,181789,0,999,1762,2047,7,24,0,8,1,83,12,13,82,0,0,5
56,975,55,920,159767,3141,509104,22688,14048,181839,0,395,1485,2088,7,24,0,8,1,83,12,13,82,0,0,5
56,975,55,920,159767,3141,506112,22688,14048,182031,0,1120,5906,2322,7,24,0,8,1,83,12,13,82,0,0,5
56,975,55,920,159767,3141,508295,22688,14080,182042,0,2211,4613,6163,7,24,0,8,1,83,12,13,82,0,0,5
56,975,55,920,159767,3141,507241,22688,14112,182043,0,1872,4533,3408,7,24,0,9,1,83,12,13,82,0,0,5
56,975,55,920,159767,3141,507468,22688,14144,182037,0,1433,2004,1679,7,24,0,9,1,83,12,13,82,0,0,5
56,975,55,920,159767,3141,481812,22688,14080,183079,0,41856,64545,37238,7,24,0,9,1,83,12,13,82,0,0,5
56,975,55,920,159767,3141,481552,22688,14080,183075,0,766,940,3058,7,24,0,8,1,83,12,13,82,0,0,5
56,975,55,920,159767,3141,481507,22688,14080,183079,0,887,1236,2535,7,24,0,8,1,83,12,13,82,0,0,5
56,975,55,920,159767,3141,482060,22688,14048,183074,0,2202,4038,4688,7,24,0,8,1,83,12,13,82,0,0,5
56,975,55,920,159767,3141,482338,22688,14048,183096,0,2060,3805,2960,7,24,0,8,1,83,12,13,82,0,0,5
56,975,55,920,159767,3141,482054,22688,14048,183103,0,745,1866,1026,7,24,0,8,1,83,12,13,82,0,0,5
56,975,55,920,159767,3141,482770,22688,14080,183103,0,295,1511,1466,7,24,0,8,1,83,12,13,82,0,0,5
56,975,55,920,159767,3141,480469,22688,14112,183115,0,5810,8331,4719,7,24,0,8,1,83,12,13,82,0,0,5
56,975,55,920,159767,3141,479928,22688,14112,183084,0,2934,3700,4088,7,24,0,9,1,83,12,13,82,0,0,5
56,975,55,920,159767,3141,478591,22688,14080,183085,0,1824,3945,3910,7,22,0,10,2,83,12,13,82,0,0,5
56,975,55,920,159767,3141,478302,22688,14080,183085,0,743,1306,1324,7,22,0,10,2,83,12,13,82,0,0,5
56,975,55,920,159767,3141,478845,22688,14080,183106,0,2220,3535,3919,7,22,0,9,1,83,12,13,82,0,0,5
56,975,55,920,159767,3141,478658,22688,14112,183112,0,629,1773,1152,7,22,0,9,1,83,12,13,82,0,0,5
56,975,55,920,159767,3141,478759,22688,14048,183112,0,3218,3748,5588,7,22,0,9,1,83,12,13,82,0,0,5
56,975,55,920,159767,3141,478544,22688,14048,183112,0,431,1009,971,7,22,0,9,1,83,12,13,82,0,0,5
56,975,55,920,159767,3141,487738,22688,14080,183140,0,6064,7873,17631,7,21,1,8,2,83,12,13,82,0,0,5
56,975,55,920,159767,3141,487631,22688,14048,183094,0,275,834,1270,7,22,0,9,1,83,12,13,82,0,0,5
56,975,55,920,159767,3141,487034,22688,14048,183096,0,642,1571,923,7,22,0,9,1,83,12,13,82,0,0,5
56,975,55,920,159767,3141,488111,22688,14112,183117,0,4116,4969,5457,7,22,0,9,1,83,12,13,82,0,0,5
56,975,55,920,159767,3141,488581,22688,14080,183120,0,1269,3394,2662,7,22,0,9,1,83,12,13,82,0,0,5
56,975,55,920,159767,3141,488550,22688,14048,183121,0,237,793,788,7,22,0,10,1,83,12,13,82,0,0,5
56,975,55,920,159767,3141,489246,22688,14048,183096,0,465,1030,1565,7,22,0,9,1,83,12,13,82,0,0,5
56,975,55,920,159767,3141,488961,22688,14048,183098,0,1364,3138,2315,7,22,0,9,1,83,12,13,82,0,0,5
56,975,55,920,159767,3141,489729,22688,14080,183106,0,2883,3616,6035,7,22,0,9,1,83,12,13,82,0,0,5
56,975,55,920,159767,3141,489525,22688,14080,183106,0,367,1820,1978,7,22,0,9,1,83,12,13,82,0,0,5
56,975,55,920,159767,3141,489309,22688,14048,183130,0,893,1623,1314,7,22,0,9,1,83,12,13,82,0,0,5
56,975,55,920,159767,3141,489257,22688,14016,183134,1,866,1932,1122,7,22,0,9,1,83,12,13,82,0,0,5
56,975,55,920,159767,3141,488956,22688,14016,183134,0,269,783,725,7,22,0,8,1,83,12,13,82,0,0,5
56,975,55,920,159767,3141,488609,22688,14080,183134,0,2787,3604,3452,7,22,0,8,1,83,12,13,82,0,0,5
56,975,55,920,159767,3141,517681,22688,14016,181996,0,998,2131,32575,7,22,0,8,1,83,12,13,82,0,0,5
56,975,55,920,159767,3141,511918,22688,14016,182006,0,6822,8488,1985,7,22,0,9,1,83,12,13,82,0,0,5
56,975,55,920,159767,3141,512231,22688,14048,182006,0,312,806,1120,7,22,0,9,1,83,12,13,82,0,0,5
56,975,55,920,159767,3141,512418,22688,14048,182030,0,1077,2148,1647,7,22,0,9,1,83,12,13,82,0,0,5
56,975,55,920,159767,3141,512684,22688,14080,182039,0,2597,3531,2747,7,22,0,9,1,83,12,13,82,0,0,5
56,975,55,920,159767,3141,513408,22688,14048,182032,0,1557,3961,3994,7,22,0,8,1,83,12,13,82,0,0,5
56,975,55,920,159767,3141,513257,22688,14048,182032,0,216,690,691,7,22,0,8,1,83,12,13,82,0,0,5
56,975,55,920,159767,3141,512952,22688,14016,182006,0,201,1099,1280,7,22,0,8,1,83,12,13,82,0,0,5
56,975,55,920,159767,3141,509102,22688,14016,182006,0,5986,7743,4658,7,22,0,8,1,83,12,13,82,0,0,5
56,975,55,920,159767,3141,483477,22688,14080,183074,0,38571,59840,31005,7,22,0,7,1,83,12,13,82,0,0,5
56,975,55,920,159767,3141,483561,22688,14112,183097,0,2902,4687,4083,7,22,0,7,1,83,12,13,82,0,0,5
56,975,55,920,159767,3141,482878,22688,14048,183103,0,562,1813,1655,7,22,0,7,1,83,12,13,82,0,0,5
56,975,55,920,159767,3141,482680,22688,14048,183102,0,439,843,1064,7,22,0,8,1,83,12,13,82,0,0,5
56,975,55,920,159767,3141,482844,22688,14080,183101,0,240,1003,1091,7,22,0,8,1,83,12,13,82,0,0,5
56,975,55,920,159767,3141,483082,22688,14112,183072,0,1498,2101,3016,7,22,0,8,1,83,12,13,82,0,0,5
56,975,55,920,159767,3141,482914,22688,14080,183028,0,1662,3508,3892,7,22,0,8,1,83,12,13,82,0,0,5
56,975,55,920,159767,3141,483488,22688,14112,183087,0,9264,10584,10487,7,22,0,8,1,83,12,13,82,0,0,5
56,975,55,920,159767,3141,482268,22688,14080,183109,0,1688,2385,1403,7,22,0,8,1,83,12,13,82,0,0,5
56,975,55,920,159767,3141,481022,22688,14112,183114,0,1308,2490,1250,7,22,0,8,1,83,12,13,82,0,0,5
56,975,55,920,159767,3141,477634,22688,14048,183111,0,7381,7957,2304,7,22,0,7,1,83,12,13,82,0,0,5
56,975,55,920,159767,3141,477769,22688,14048,183112,0,1930,2591,3597,7,22,0,7,1,83,12,13,82,0,0,5
56,975,55,920,159767,3141,477470,22688,14048,183083,1,497,1828,2743,7,22,0,7,1,83,12,13,82,0,0,5
56,975,55,920,159767,3141,477130,22688,14048,183037,0,204,730,1057,7,22,0,7,1,83,12,13,82,0,0,5
56,975,55,920,159767,3141,480824,22688,14048,183087,0,5671,8098,11043,7,22,0,8,1,83,12,13,82,0,0,5
56,975,55,920,159767,3141,486464,22688,14048,183120,0,2199,2945,9607,7,22,0,8,1,83,12,13,82,0,0,5
56,977,55,922,159767,3141,488570,22688,14048,183126,0,2543,3676,5190,7,22,1,8,1,83,12,13,82,0,0,5
56,977,55,922,159767,3141,487916,22688,14048,183126,0,214,1362,1181,7,22,1,8,1,83,12,13,82,0,0,5
56,977,55,922,159767,3141,490561,22688,14048,183098,0,241,877,2663,7,22,1,8,1,83,12,13,82,0,0,5
56,977,55,922,159767,3141,489991,22688,14048,183098,0,794,1320,1086,7,22,1,8,1,83,12,13,82,0,0,5
56,977,55,922,159767,3141,488944,22688,14048,183098,0,2643,3754,3584,7,22,1,7,1,83,12,13,82,0,0,5
56,977,55,922,159767,3141,488604,22688,14080,183098,0,2202,2844,3041,7,22,1,7,1,83,12,13,82,0,0,5
56,977,55,922,159767,3141,490886,22688,14016,183155,0,6747,9708,13554,7,22,1,7,1,83,12,13,82,0,0,5
56,977,55,922,159767,3141,508856,22688,14048,183137,0,941,2205,20072,7,22,1,7,1,83,12,13,82,0,0,5
56,977,55,922,159767,3141,508755,22688,14048,183137,0,578,1047,1497,7,21,2,7,2,83,12,13,82,0,0,5
56,977,55,922,159767,3141,509181,22688,14048,183108,0,1910,2493,2721,7,22,1,8,1,83,12,13,82,0,0,5
56,977,55,922,159767,3141,509694,22688,14048,183109,0,1583,3284,3184,7,22,1,8,1,83,12,13,82,0,0,5
56,977,55,922,159767,3141,509801,22688,14048,183108,0,320,1816,1993,7,22,1,8,2,83,12,13,82,0,0,5
56,977,55,922,159767,3141,510225,22688,14048,183108,0,292,1240,1715,7,22,1,8,1,83,12,13,82,0,0,5
56,977,55,922,159767,3141,512367,22688,14048,182000,0,1326,3441,6823,7,22,1,8,1,83,12,13,82,0,0,5
56,977,55,922,159767,3141,512605,22688,14112,182037,0,2762,4163,2696,7,22,1,7,1,83,12,13,82,0,0,5
56,977,55,922,159767,3141,512715,22688,14080,182036,0,1947,2451,2516,7,22,1,7,1,83,12,13,82,0,0,5
56,977,55,922,159767,3141,511953,22688,14080,182008,0,216,3049,3626,7,22,1,6,1,83,12,13,82,0,0,5
56,977,55,922,159767,3141,511844,22688,14048,182009,0,205,1114,998,7,22,1,6,1,83,12,13,82,0,0,5
56,977,55,922,159767,3141,512061,22688,14048,182021,0,207,1794,2473,7,22,1,6,1,83,12,13,82,0,0,5
56,977,55,922,159767,3141,511777,22688,14048,182014,0,1993,2862,2358,7,22,1,8,1,83,12,13,82,0,0,5
56,975,55,920,159767,3141,511682,22688,14048,182005,0,1950,2575,2373,7,22,0,8,1,83,12,13,82,0,0,5
56,975,55,920,159767,3141,493034,22688,15616,183098,0,25127,46180,24227,7,22,0,8,1,83,12,13,82,0,0,5
56,975,55,920,159767,3141,477830,22688,14048,183104,0,17089,20298,2581,7,22,0,9,1,83,12,13,82,0,0,5
56,975,55,920,159767,3141,477662,22688,14048,183103,0,326,711,820,7,22,0,8,1,83,12,13,82,0,0,5
56,975,55,920,159767,3141,477949,22688,14080,183074,0,1521,2056,2833,7,22,0,8,1,83,12,13,82,0,0,5
56,975,55,920,159767,3141,477483,22688,14016,183076,0,2001,3082,2689,7,22,0,8,1,83,12,13,82,0,0,5
56,975,55,920,159767,3141,477003,22688,14048,183075,0,192,1795,1813,7,22,0,8,1,83,12,13,82,0,0,5
56,975,55,920,159767,3141,476243,22688,14048,183075,0,5791,6172,3020,7,22,0,7,1,83,12,13,82,0,0,5
56,975,55,920,159767,3141,471666,22688,14048,183103,0,7452,9953,5495,7,22,0,7,1,83,12,13,82,0,0,5
56,975,55,920,159767,3141,481306,22688,14048,183113,0,2274,3059,13292,7,22,0,7,1,83,12,13,82,0,0,5
56,975,55,920,159767,3141,485047,22688,14016,183113,0,1663,2332,6370,7,22,0,8,1,83,12,13,82,0,0,5
56,975,55,920,159767,3141,489093,22688,14048,183085,0,366,1813,7740,7,22,0,8,1,83,12,13,82,0,0,5
56,975,55,920,159767,3141,489408,22688,14048,183085,0,751,1245,2367,7,22,0,8,1,83,12,13,82,0,0,5
56,975,55,920,159767,3141,489219,22688,14048,183086,0,525,1084,927,7,22,0,8,1,83,12,13,82,0,0,5
56,975,55,920,159767,3141,489314,22688,14016,183086,0,1526,2164,3248,7,22,0,8,1,83,12,13,82,0,0,5
56,975,55,920,159767,3141,498808,22688,14048,183113,0,3990,5301,13802,7,22,0,8,1,83,12,13,82,0,0,5
56,975,55,920,159767,3141,509948,22688,14080,183123,0,2132,4176,14302,7,22,0,8,1,83,12,13,82,0,0,5
56,975,55,920,159767,3141,509667,22688,14048,183124,0,241,871,746,7,22,0,7,1,83,12,13,82,0,0,5
