"Dstat 1.1.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dool/page_unix_tcp_proc_vm_io_time_disk_aio_vm-adv.csv --page --unix --tcp --proc --vm --io --time --disk --aio --vm-adv 1 600",,,,"Date:","22 Mar 2023 21:32:08 -03"
"paging",,"unix sockets",,,,"tcp sockets",,,,,"procs",,,"virtual memory",,,,"io/total",,"system","dsk/total",,"async","advanced virtual memory",,,,
0,0,56,870,54,816,7,15,1,6,0,3,0,8,0,1389,1424,1407,0,0,Mar-22 21:32:40,0,0,0,0,0,0,0,0
0,0,56,870,54,816,7,15,1,5,0,1,0,0,0,1092,1822,5907,0,0,Mar-22 21:32:41,0,0,0,0,0,0,0,0
0,0,56,870,54,816,7,15,1,5,0,2,0,1,0,557,1540,1142,0,40,Mar-22 21:32:42,0,401408,0,0,0,0,0,0
0,0,56,870,54,816,7,15,1,5,0,3,0,8,0,1446,2707,4571,0,0,Mar-22 21:32:43,0,0,0,0,0,0,0,0
0,0,56,872,54,818,7,15,1,5,0,2,0,0,0,121,971,1103,0,0,Mar-22 21:32:44,0,0,0,0,0,0,0,0
0,0,56,870,54,816,7,15,1,5,0,3,0,8,0,1632,2412,2245,0,0,Mar-22 21:32:45,0,0,0,0,0,0,0,0
0,0,56,870,54,816,7,15,1,5,0,2,0,0,0,51,1203,1201,0,0,Mar-22 21:32:46,0,0,0,0,0,0,0,0
0,0,56,870,54,816,7,15,1,4,0,5,0,0,0,69,1086,1225,0,36,Mar-22 21:32:47,0,1351680,0,0,0,0,0,0
0,0,56,870,54,816,7,15,1,4,0,3,0,8,0,1559,3217,3458,0,390,Mar-22 21:32:48,0,3260416,0,0,0,0,0,0
0,0,56,870,54,816,7,15,1,5,0,2,0,0,0,331,1045,1031,0,0,Mar-22 21:32:49,0,0,0,0,0,0,0,0
0,0,56,870,54,816,7,15,1,5,0,3,0,8,0,1319,2223,2340,0,0,Mar-22 21:32:50,0,0,0,0,0,0,0,0
0,0,56,870,54,816,7,15,1,5,0,3,0,0,0,84,1124,991,0,0,Mar-22 21:32:51,0,0,0,0,0,0,0,0
0,0,56,870,54,816,7,15,1,5,0,2,0,0,0,107,914,878,0,0,Mar-22 21:32:52,0,0,0,0,0,0,0,0
0,0,56,870,54,816,7,15,1,5,0,2,0,8,0,1636,2588,2631,0,20,Mar-22 21:32:53,0,344064,0,0,0,0,0,0
0,0,56,870,54,816,7,15,1,5,0,3,0,1,0,508,1211,1510,0,0,Mar-22 21:32:54,0,0,0,0,0,0,0,0
0,0,56,870,54,816,7,15,1,5,0,4,0,8,0,1579,2762,2485,0,0,Mar-22 21:32:55,0,0,0,0,0,0,0,0
0,0,56,870,54,816,7,15,1,5,0,2,0,0,0,75,893,1080,0,0,Mar-22 21:32:56,0,0,0,0,0,0,0,0
0,0,56,870,54,816,7,15,1,5,0,3,0,0,0,308,1063,906,0,0,Mar-22 21:32:57,0,0,0,0,0,0,0,0
0,0,56,870,54,816,7,15,1,5,0,3,0,8,0,21667,42183,23463,0,250,Mar-22 21:32:58,0,1482752,0,0,0,0,0,0
0,0,56,870,54,816,7,15,1,5,0,3,0,0,0,31195,34888,2312,0,46,Mar-22 21:32:59,0,2547712,0,0,0,0,0,0
0,0,56,868,54,814,7,15,0,6,0,3,0,8,0,1414,2468,2318,0,0,Mar-22 21:33:00,0,0,0,0,0,0,0,0
0,0,56,868,54,814,7,15,0,6,0,1,0,8,0,1863,1400,1484,0,0,Mar-22 21:33:01,0,0,0,0,0,0,0,0
0,0,56,868,54,814,7,15,0,6,0,4,0,0,0,444,658,386,0,0,Mar-22 21:33:02,0,0,0,0,0,0,0,0
0,0,56,868,54,814,7,15,0,6,0,3,0,8,0,1427,1488,1672,0,0,Mar-22 21:33:03,0,0,0,0,0,0,0,0
0,0,56,868,54,814,7,15,0,6,0,0,0,0,0,384,787,643,0,26,Mar-22 21:33:04,0,925696,0,0,0,0,0,0
0,0,56,868,54,814,7,15,0,6,0,1,0,8,0,1557,1637,1630,0,0,Mar-22 21:33:05,0,0,0,0,0,0,0,0
0,0,56,868,54,814,7,15,0,6,0,1,0,0,0,4705,5811,1046,0,0,Mar-22 21:33:06,0,0,0,0,0,0,0,0
0,0,56,868,54,814,7,15,0,6,0,4,0,1,0,495,519,534,0,0,Mar-22 21:33:07,0,0,0,0,0,0,0,0
0,0,56,868,54,814,7,15,0,6,0,5,0,8,0,1366,1377,1492,0,0,Mar-22 21:33:08,0,0,0,0,0,0,0,0
0,0,56,868,54,814,7,15,0,6,0,3,0,0,0,442,2633,2721,0,1512,Mar-22 21:33:09,0,17096704,0,0,0,0,0,0
0,0,56,868,54,814,7,15,0,6,0,4,0,8,0,1305,1645,1645,0,0,Mar-22 21:33:10,0,0,0,0,0,0,0,0
0,0,56,868,54,814,7,15,0,7,0,2,0,0,0,29,374,554,0,44,Mar-22 21:33:11,0,1736704,0,0,0,0,0,0
0,0,56,868,54,814,7,15,0,7,0,3,0,0,0,101,537,379,0,36,Mar-22 21:33:12,0,147456,0,0,0,0,0,0
0,0,56,870,54,816,7,15,1,7,0,3,0,10,0,1860,1800,1874,0,14,Mar-22 21:33:13,0,49152,0,0,0,0,0,0
0,0,56,868,54,814,7,15,0,8,0,4,0,0,0,10,274,758,0,0,Mar-22 21:33:14,0,0,0,0,0,0,0,0
0,0,56,868,54,814,7,15,0,8,0,3,0,8,0,1300,1789,1679,0,0,Mar-22 21:33:15,0,0,0,0,0,0,0,0
0,0,56,868,54,814,7,15,0,7,0,4,0,0,0,1269,1459,728,0,0,Mar-22 21:33:16,0,0,0,0,0,0,0,0
0,0,56,868,54,814,7,15,0,7,0,3,0,0,0,10,91,214,0,0,Mar-22 21:33:17,0,0,0,0,0,0,0,0
0,0,56,868,54,814,7,13,0,7,1,3,0,8,0,1597,1588,1424,0,24,Mar-22 21:33:18,0,458752,0,0,0,0,0,0
0,0,56,868,54,814,7,13,0,7,1,2,0,1,0,487,283,559,0,10,Mar-22 21:33:19,0,49152,0,0,0,0,0,0
0,0,56,868,54,814,7,13,0,7,1,4,0,8,0,1354,1626,1758,0,0,Mar-22 21:33:20,0,0,0,0,0,0,0,0
0,0,56,868,54,814,7,13,0,7,1,4,0,0,0,194,456,116,0,0,Mar-22 21:33:21,0,0,0,0,0,0,0,0
0,0,56,868,54,814,7,13,0,7,1,4,0,0,0,279,89,95,0,0,Mar-22 21:33:22,0,0,0,0,0,0,0,0
0,0,56,868,54,814,7,13,0,8,1,3,0,8,0,1498,1617,2148,0,26,Mar-22 21:33:23,0,229376,0,0,0,0,0,0
0,0,56,868,54,814,7,13,0,8,1,4,0,0,0,102,523,110,0,0,Mar-22 21:33:24,0,0,0,0,0,0,0,0
0,0,56,868,54,814,7,13,0,8,1,2,0,8,0,1275,1630,1623,0,0,Mar-22 21:33:25,0,0,0,0,0,0,0,0
0,0,56,868,54,814,7,13,0,8,1,5,0,0,0,280,95,213,0,0,Mar-22 21:33:26,0,0,0,0,0,0,0,0
0,0,56,868,54,814,7,13,0,8,1,3,0,0,0,60,270,2026,0,0,Mar-22 21:33:27,0,0,0,0,0,0,0,0
0,0,56,868,54,814,7,13,0,7,1,4,0,8,0,1812,2020,3680,0,42,Mar-22 21:33:28,0,1327104,0,0,0,0,0,0
0,0,56,868,54,814,7,13,0,7,1,4,0,0,0,245,631,110,0,0,Mar-22 21:33:29,0,0,0,0,0,0,0,0
0,0,56,868,54,814,7,11,0,7,2,1,0,8,0,1811,2723,3065,0,510,Mar-22 21:33:30,0,5193728,0,0,0,0,0,0
0,0,56,868,54,814,7,11,0,7,2,3,0,1,0,458,240,362,0,0,Mar-22 21:33:31,0,0,0,0,0,0,0,0
0,0,56,868,54,814,7,11,0,7,2,4,0,0,0,86,94,110,0,0,Mar-22 21:33:32,0,0,0,0,0,0,0,0
0,0,56,868,54,814,7,11,0,7,2,2,0,8,0,1325,1602,1557,0,8,Mar-22 21:33:33,0,557056,0,0,0,0,0,0
0,0,56,868,54,814,7,11,0,8,2,4,0,0,0,319,165,285,0,0,Mar-22 21:33:34,0,0,0,0,0,0,0,0
0,0,56,868,54,814,7,11,0,8,2,3,0,8,0,1283,1642,1663,0,0,Mar-22 21:33:35,0,0,0,0,0,0,0,0
0,0,56,869,55,814,7,11,0,8,2,3,0,0,0,217,395,2540,0,0,Mar-22 21:33:36,0,0,0,0,0,0,0,0
0,0,56,868,54,814,7,11,0,8,2,3,0,0,0,136,269,237,0,0,Mar-22 21:33:37,0,0,0,0,0,0,0,0
0,0,56,868,54,814,7,11,0,8,2,3,0,8,0,1575,1364,1524,0,0,Mar-22 21:33:38,0,0,0,0,0,0,0,0
0,0,56,868,54,814,7,11,0,7,2,5,0,0,0,14,274,138,0,20,Mar-22 21:33:39,0,221184,0,0,0,0,0,0
0,0,56,868,54,814,7,11,0,7,2,3,0,8,0,1358,1631,1778,0,0,Mar-22 21:33:40,0,0,0,0,0,0,0,0
0,0,56,868,54,814,7,11,0,7,2,1,0,0,0,14,102,156,0,0,Mar-22 21:33:41,0,0,0,0,0,0,0,0
0,0,56,868,54,814,7,11,0,7,2,3,0,0,0,303,269,130,0,0,Mar-22 21:33:42,0,0,0,0,0,0,0,0
0,0,56,868,54,814,7,11,0,7,2,3,0,9,0,1600,1507,1648,0,0,Mar-22 21:33:43,0,0,0,0,0,0,0,0
0,0,56,868,54,814,7,11,0,8,2,3,0,0,0,47743,69939,39967,0,0,Mar-22 21:33:44,0,0,0,0,0,0,0,0
0,0,56,869,54,815,7,9,0,9,2,3,0,8,0,1314,3537,3667,2,1986,Mar-22 21:33:45,8192,14286848,0,0,0,0,0,0
0,0,56,868,54,814,7,9,0,9,2,2,0,0,0,287,412,518,0,30,Mar-22 21:33:46,0,2408448,0,0,0,0,0,0
0,0,56,868,54,814,7,9,0,9,2,2,0,0,0,20,227,103,0,0,Mar-22 21:33:47,0,0,0,0,0,0,0,0
0,0,56,868,54,814,7,9,0,9,2,1,0,8,0,1404,1662,1650,0,0,Mar-22 21:33:48,0,0,0,0,0,0,0,0
0,0,56,868,54,814,7,9,0,9,2,3,0,0,0,22,121,454,0,0,Mar-22 21:33:49,0,0,0,0,0,0,0,0
0,0,56,868,54,814,7,9,0,9,2,3,0,8,0,1560,1774,1638,0,0,Mar-22 21:33:50,0,0,0,0,0,0,0,0
0,0,56,868,54,814,7,9,0,8,2,2,0,0,0,1098,1493,35208,0,0,Mar-22 21:33:51,0,0,0,0,0,0,0,0
0,0,56,868,54,814,7,9,0,8,2,2,0,0,0,90,107,247,0,0,Mar-22 21:33:52,0,0,0,0,0,0,0,0
0,0,56,868,54,814,7,9,0,8,2,3,0,8,0,1303,1806,1730,0,22,Mar-22 21:33:53,0,286720,0,0,0,0,0,0
0,0,56,868,54,814,7,9,0,8,2,1,0,0,0,345,174,103,0,0,Mar-22 21:33:54,0,0,0,0,0,0,0,0
0,0,56,868,54,814,7,9,0,8,2,3,0,8,0,1393,1623,1853,0,0,Mar-22 21:33:55,0,0,0,0,0,0,0,0
0,0,56,868,54,814,7,9,0,8,2,1,0,1,0,747,743,505,0,0,Mar-22 21:33:56,0,0,0,0,0,0,0,0
0,0,56,868,54,814,7,9,0,9,2,1,0,0,0,385,938,808,0,42,Mar-22 21:33:57,0,270336,0,0,0,0,0,0
0,0,56,868,54,814,7,9,0,9,2,5,0,8,0,1683,1520,1869,0,0,Mar-22 21:33:58,0,0,0,0,0,0,0,0
0,0,56,868,54,814,7,9,0,9,2,4,0,0,0,290,653,496,0,0,Mar-22 21:33:59,0,0,0,0,0,0,0,0
0,0,56,868,54,814,7,9,0,9,2,2,0,8,0,1405,1592,1457,0,0,Mar-22 21:34:00,0,0,0,0,0,0,0,0
0,0,56,868,54,814,7,9,0,8,2,2,0,8,0,1535,1364,1329,0,0,Mar-22 21:34:01,0,0,0,0,0,0,0,0
0,0,56,868,54,814,7,9,0,8,2,2,0,0,0,285,375,501,0,0,Mar-22 21:34:02,0,0,0,0,0,0,0,0
0,0,56,868,54,814,7,9,0,8,2,3,0,8,0,1312,1550,1418,0,40,Mar-22 21:34:03,0,286720,0,0,0,0,0,0
0,0,56,868,54,814,7,9,0,8,2,2,0,0,0,90,358,378,0,0,Mar-22 21:34:04,0,0,0,0,0,0,0,0
0,0,56,868,54,814,7,9,0,8,2,3,0,8,0,1281,1371,24653,0,0,Mar-22 21:34:05,0,0,0,0,0,0,0,0
0,0,56,868,54,814,7,9,0,8,2,3,0,0,0,446,1081,2009,0,570,Mar-22 21:34:06,0,5242880,0,0,0,0,0,0
0,0,56,868,54,814,7,9,0,8,2,3,0,0,0,18,392,938,0,0,Mar-22 21:34:07,0,0,0,0,0,0,0,0
0,0,56,868,54,814,7,9,0,9,2,5,0,9,0,1755,1571,1712,0,0,Mar-22 21:34:08,0,0,0,0,0,0,0,0
0,0,56,868,54,814,7,9,0,9,2,3,0,0,0,99,587,438,0,18,Mar-22 21:34:09,0,458752,0,0,0,0,0,0
0,0,56,868,54,814,7,9,0,9,2,3,0,8,0,1565,1369,1367,0,0,Mar-22 21:34:10,0,0,0,0,0,0,0,0
0,0,56,868,54,814,7,9,0,8,2,3,0,0,0,55,151,2731,0,0,Mar-22 21:34:11,0,0,0,0,0,0,0,0
0,0,56,868,54,814,7,9,0,8,2,2,0,0,0,260,758,576,0,0,Mar-22 21:34:12,0,0,0,0,0,0,0,0
0,0,56,868,54,814,7,9,0,8,2,4,0,4,0,691,572,375,0,0,Mar-22 21:34:13,0,0,0,0,0,0,0,0
0,0,56,868,54,814,7,9,0,8,2,4,0,4,0,1114,1332,1485,0,0,Mar-22 21:34:14,0,0,0,0,0,0,0,0
0,0,56,868,54,814,7,9,0,7,2,4,0,8,0,1286,1737,1615,0,38,Mar-22 21:34:15,0,1343488,0,0,0,0,0,0
0,0,56,868,54,814,7,9,0,7,2,4,0,0,0,14,463,467,0,358,Mar-22 21:34:16,0,2867200,0,0,0,0,0,0
0,0,56,868,54,814,7,9,0,7,2,2,0,0,0,73,349,480,0,0,Mar-22 21:34:17,0,0,0,0,0,0,0,0
0,0,56,868,54,814,7,9,0,7,2,3,0,0,0,308,257,99,0,0,Mar-22 21:34:18,0,0,0,0,0,0,0,0
0,0,56,868,54,814,7,9,0,8,2,2,0,8,0,1349,1723,1752,0,0,Mar-22 21:34:19,0,0,0,0,0,0,0,0
0,0,56,868,54,814,7,9,0,8,2,4,0,9,0,1756,1607,1726,0,40,Mar-22 21:34:20,0,540672,0,0,0,0,0,0
0,0,56,868,54,814,7,9,0,8,2,3,0,0,0,613,805,525,0,0,Mar-22 21:34:21,0,0,0,0,0,0,0,0
0,0,56,868,54,814,7,9,0,8,2,3,0,0,0,280,348,343,0,0,Mar-22 21:34:22,0,0,0,0,0,0,0,0
0,0,56,868,54,814,7,9,0,8,2,2,0,0,0,10,88,211,0,0,Mar-22 21:34:23,0,0,0,0,0,0,0,0
0,0,56,868,54,814,7,9,0,7,2,2,0,8,0,1331,1798,1665,0,0,Mar-22 21:34:24,0,0,0,0,0,0,0,0
0,0,56,868,54,814,7,11,0,7,1,5,0,4,0,682,821,736,0,22,Mar-22 21:34:25,0,147456,0,0,0,0,0,0
0,0,56,868,54,814,7,11,0,7,1,2,0,4,0,1835,1800,1276,0,0,Mar-22 21:34:26,0,0,0,0,0,0,0,0
0,0,56,868,54,814,7,11,0,7,1,2,0,0,0,15,780,660,0,330,Mar-22 21:34:27,0,2236416,0,0,0,0,0,0
0,0,56,868,54,814,7,11,0,7,1,4,0,0,0,4445,5365,932,0,0,Mar-22 21:34:28,0,0,0,0,0,0,0,0
0,0,56,868,54,814,7,11,0,7,1,2,0,8,0,52966,75069,91434,0,0,Mar-22 21:34:29,0,0,0,0,0,0,0,0
0,0,56,868,54,814,7,11,0,8,1,3,0,0,0,313,638,550,0,40,Mar-22 21:34:30,0,2433024,0,0,0,0,0,0
0,0,56,868,54,814,7,11,0,8,1,1,0,8,0,1289,1390,1563,0,0,Mar-22 21:34:31,0,0,0,0,0,0,0,0
0,0,56,868,54,814,7,11,0,8,1,3,0,1,0,478,666,532,0,0,Mar-22 21:34:32,0,0,0,0,0,0,0,0
0,0,56,868,54,814,7,11,0,8,1,2,0,0,0,315,349,464,0,0,Mar-22 21:34:33,0,0,0,0,0,0,0,0
0,0,56,868,54,814,7,11,0,7,1,1,0,8,0,1565,1364,1476,0,0,Mar-22 21:34:34,0,0,0,0,0,0,0,0
0,0,56,868,54,814,7,11,0,7,1,1,0,0,0,12,493,360,0,0,Mar-22 21:34:35,0,0,0,0,0,0,0,0
0,0,56,868,54,814,7,11,0,7,1,2,0,8,0,1478,1696,5362,0,66,Mar-22 21:34:36,0,458752,0,0,0,0,0,0
0,0,56,868,54,814,7,11,0,7,1,3,0,0,0,71,2361,2497,0,2112,Mar-22 21:34:37,0,16211968,0,0,0,0,0,0
0,0,56,868,54,814,7,11,0,7,1,4,0,0,0,283,219,85,0,0,Mar-22 21:34:38,0,0,0,0,0,0,0,0
0,0,56,870,54,816,7,13,0,7,1,1,0,8,0,1563,1648,1393,0,0,Mar-22 21:34:39,0,0,0,0,0,0,0,0
0,0,56,868,54,814,7,11,0,7,1,4,0,0,0,222,541,1058,0,0,Mar-22 21:34:40,0,0,0,0,0,0,0,0
0,0,56,868,54,814,7,11,0,8,1,4,0,8,0,1345,1584,1453,0,0,Mar-22 21:34:41,0,0,0,0,0,0,0,0
0,0,56,868,54,814,7,11,0,8,1,4,0,0,0,300,558,533,0,44,Mar-22 21:34:42,0,1499136,0,0,0,0,0,0
0,0,56,868,54,814,7,11,0,8,1,4,0,0,0,12,104,264,0,0,Mar-22 21:34:43,0,0,0,0,0,0,0,0
0,0,56,868,54,814,7,11,0,8,1,3,0,8,0,1424,1755,65317,0,0,Mar-22 21:34:44,0,0,0,0,0,0,0,0
0,0,56,868,54,814,7,13,0,8,1,3,0,1,0,550,587,580,0,0,Mar-22 21:34:45,0,0,0,0,0,0,0,0
0,0,56,868,54,814,7,13,0,5,1,1,0,8,0,1579,1378,1499,0,0,Mar-22 21:34:46,0,0,0,0,0,0,0,0
0,0,56,868,54,814,7,13,0,5,1,1,0,0,0,144,638,458,0,0,Mar-22 21:34:47,0,0,0,0,0,0,0,0
0,0,56,868,54,814,7,13,0,5,1,1,0,0,0,224,336,345,0,12,Mar-22 21:34:48,0,196608,0,0,0,0,0,0
0,0,56,868,54,814,7,13,0,5,1,4,0,8,0,1389,1673,1637,0,0,Mar-22 21:34:49,0,0,0,0,0,0,0,0
0,0,56,868,54,814,7,13,0,5,1,3,0,0,0,593,402,598,0,0,Mar-22 21:34:50,0,0,0,0,0,0,0,0
0,0,56,868,54,814,7,13,0,5,1,3,0,8,0,1338,1865,1666,0,0,Mar-22 21:34:51,0,0,0,0,0,0,0,0
0,0,56,868,54,814,7,13,0,5,1,3,0,0,0,18,100,118,0,0,Mar-22 21:34:52,0,0,0,0,0,0,0,0
0,0,56,868,54,814,7,13,0,6,1,2,0,0,0,72,144,410,0,0,Mar-22 21:34:53,0,0,0,0,0,0,0,0
0,0,56,868,54,814,7,13,0,6,1,2,0,8,0,1739,2000,1707,0,36,Mar-22 21:34:54,0,311296,0,0,0,0,0,0
0,0,56,868,54,814,7,13,0,6,1,3,0,0,0,32,131,228,0,0,Mar-22 21:34:55,0,0,0,0,0,0,0,0
0,0,56,868,54,814,7,13,0,6,1,3,0,8,0,1285,1716,29348,0,0,Mar-22 21:34:56,0,0,0,0,0,0,0,0
0,0,56,868,54,814,7,13,0,6,1,4,0,1,0,389,394,249,0,0,Mar-22 21:34:57,0,0,0,0,0,0,0,0
0,0,56,868,54,814,7,13,0,5,1,5,0,0,0,305,509,604,0,450,Mar-22 21:34:58,0,3227648,0,0,0,0,0,0
0,0,56,868,54,814,7,13,0,5,1,1,0,8,0,1423,1990,1872,0,18,Mar-22 21:34:59,0,1490944,0,0,0,0,0,0
0,0,56,868,54,814,7,13,0,5,1,5,0,0,0,46,273,368,0,0,Mar-22 21:35:00,0,0,0,0,0,0,0,0
0,0,56,868,54,814,7,13,0,5,1,3,0,19,0,4645,4720,4226,0,0,Mar-22 21:35:01,0,0,0,0,0,0,0,0
0,0,56,868,54,814,7,13,0,5,1,3,0,0,0,275,84,77,0,0,Mar-22 21:35:02,0,0,0,0,0,0,0,0
0,0,56,868,54,814,7,13,0,5,1,3,0,0,0,7,234,99,0,0,Mar-22 21:35:03,0,0,0,0,0,0,0,0
0,0,56,868,54,814,7,13,0,6,1,5,0,8,0,1330,1755,1906,0,16,Mar-22 21:35:04,0,483328,0,0,0,0,0,0
0,0,56,868,54,814,7,13,0,6,1,4,0,0,0,71,88,79,0,0,Mar-22 21:35:05,0,0,0,0,0,0,0,0
0,0,56,868,54,814,7,13,0,6,1,4,0,8,0,1849,2110,2073,0,0,Mar-22 21:35:06,0,0,0,0,0,0,0,0
0,0,56,868,54,814,7,13,0,6,1,4,0,0,0,215,324,215,0,0,Mar-22 21:35:07,0,0,0,0,0,0,0,0
0,0,56,868,54,814,7,13,0,6,1,4,0,0,0,216,705,806,0,326,Mar-22 21:35:08,0,3293184,0,0,0,0,0,0
0,0,56,868,54,814,7,13,0,5,1,3,0,9,0,1823,2866,2738,0,0,Mar-22 21:35:09,0,0,0,0,0,0,0,0
0,0,56,868,54,814,7,13,0,6,1,3,0,0,0,318,287,596,0,22,Mar-22 21:35:10,0,434176,0,0,0,0,0,0
0,0,56,868,54,814,7,13,0,6,1,5,0,8,0,1284,1637,1639,0,0,Mar-22 21:35:11,0,0,0,0,0,0,0,0
0,0,56,868,54,814,7,13,0,6,1,3,0,0,0,20,227,118,0,0,Mar-22 21:35:12,0,0,0,0,0,0,0,0
0,0,56,868,54,814,7,13,0,6,1,4,0,0,0,112,155,243,0,24,Mar-22 21:35:13,0,196608,0,0,0,0,0,0
0,0,56,868,54,814,7,13,0,6,1,1,0,8,0,53397,75154,21985,0,0,Mar-22 21:35:14,0,0,0,0,0,0,0,0
0,0,56,868,54,814,7,13,0,7,1,4,0,0,0,219,393,228,0,0,Mar-22 21:35:15,0,0,0,0,0,0,0,0
0,0,56,868,54,814,7,13,0,7,1,2,0,8,0,1296,1671,4361,0,0,Mar-22 21:35:16,0,0,0,0,0,0,0,0
0,0,56,868,54,814,7,13,0,7,1,4,0,0,0,74,241,115,0,0,Mar-22 21:35:17,0,0,0,0,0,0,0,0
