"Dstat 1.1.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --bytes --output dstat/data/csv/dool/udp.csv --time --udp 1 600",,,,"Date:","22 Mar 2023 21:22:03 -03"
"system","udp",
Mar-22 21:25:04,17,6
Mar-22 21:25:05,17,6
Mar-22 21:25:06,17,6
Mar-22 21:25:07,17,6
Mar-22 21:25:08,17,6
Mar-22 21:25:09,17,6
Mar-22 21:25:10,17,6
Mar-22 21:25:11,17,6
Mar-22 21:25:12,17,6
Mar-22 21:25:13,17,6
Mar-22 21:25:14,17,6
Mar-22 21:25:15,17,6
Mar-22 21:25:16,17,6
Mar-22 21:25:17,17,6
Mar-22 21:25:18,17,6
Mar-22 21:25:19,17,6
Mar-22 21:25:20,17,6
Mar-22 21:25:21,17,6
Mar-22 21:25:22,17,6
Mar-22 21:25:23,17,6
Mar-22 21:25:24,17,6
Mar-22 21:25:25,17,6
Mar-22 21:25:26,17,6
Mar-22 21:25:27,17,6
Mar-22 21:25:28,17,6
Mar-22 21:25:29,17,6
Mar-22 21:25:30,17,6
Mar-22 21:25:31,17,6
Mar-22 21:25:32,17,6
Mar-22 21:25:33,17,6
Mar-22 21:25:34,17,6
Mar-22 21:25:35,17,6
Mar-22 21:25:36,17,6
Mar-22 21:25:37,17,6
Mar-22 21:25:38,17,6
Mar-22 21:25:39,17,6
Mar-22 21:25:40,17,6
Mar-22 21:25:41,17,6
Mar-22 21:25:42,17,6
Mar-22 21:25:43,17,6
Mar-22 21:25:44,17,6
Mar-22 21:25:45,17,6
Mar-22 21:25:46,17,6
Mar-22 21:25:47,17,6
Mar-22 21:25:48,17,6
Mar-22 21:25:49,17,6
Mar-22 21:25:50,17,6
Mar-22 21:25:51,17,6
Mar-22 21:25:52,17,6
Mar-22 21:25:53,17,6
Mar-22 21:25:54,17,6
Mar-22 21:25:55,17,6
Mar-22 21:25:56,17,8
Mar-22 21:25:57,17,8
Mar-22 21:25:58,17,8
Mar-22 21:25:59,17,8
Mar-22 21:26:00,17,8
Mar-22 21:26:01,17,8
Mar-22 21:26:02,17,8
Mar-22 21:26:03,17,8
Mar-22 21:26:04,17,8
Mar-22 21:26:05,17,8
Mar-22 21:26:06,17,8
Mar-22 21:26:07,17,8
Mar-22 21:26:08,17,8
Mar-22 21:26:09,17,8
Mar-22 21:26:10,17,8
Mar-22 21:26:11,17,8
Mar-22 21:26:12,17,8
Mar-22 21:26:13,17,8
Mar-22 21:26:14,17,8
Mar-22 21:26:15,20,8
Mar-22 21:26:16,20,8
Mar-22 21:26:17,20,8
Mar-22 21:26:18,20,11
Mar-22 21:26:19,20,8
Mar-22 21:26:20,17,8
Mar-22 21:26:21,17,8
Mar-22 21:26:22,17,8
Mar-22 21:26:23,17,8
Mar-22 21:26:24,17,8
Mar-22 21:26:25,17,6
Mar-22 21:26:26,17,6
Mar-22 21:26:27,17,6
Mar-22 21:26:28,17,6
Mar-22 21:26:29,17,6
Mar-22 21:26:30,17,6
Mar-22 21:26:31,17,6
Mar-22 21:26:32,17,6
Mar-22 21:26:33,17,6
Mar-22 21:26:34,17,6
Mar-22 21:26:35,17,6
Mar-22 21:26:36,17,6
Mar-22 21:26:37,17,6
Mar-22 21:26:38,17,6
Mar-22 21:26:39,17,6
Mar-22 21:26:40,17,6
Mar-22 21:26:41,17,6
Mar-22 21:26:42,17,6
Mar-22 21:26:43,17,6
Mar-22 21:26:44,17,6
Mar-22 21:26:45,17,6
Mar-22 21:26:46,17,6
Mar-22 21:26:47,17,6
Mar-22 21:26:48,17,6
Mar-22 21:26:49,17,6
Mar-22 21:26:50,17,6
Mar-22 21:26:51,17,6
Mar-22 21:26:52,17,6
Mar-22 21:26:53,17,6
Mar-22 21:26:54,17,6
Mar-22 21:26:55,17,6
Mar-22 21:26:56,17,6
Mar-22 21:26:57,17,6
Mar-22 21:26:58,17,6
Mar-22 21:26:59,17,7
Mar-22 21:27:00,17,7
Mar-22 21:27:01,17,7
Mar-22 21:27:02,17,7
Mar-22 21:27:03,17,7
Mar-22 21:27:04,17,7
Mar-22 21:27:05,17,7
Mar-22 21:27:06,17,7
Mar-22 21:27:07,17,7
Mar-22 21:27:08,17,7
Mar-22 21:27:09,17,7
Mar-22 21:27:10,17,7
Mar-22 21:27:11,17,7
Mar-22 21:27:12,17,7
Mar-22 21:27:13,17,7
Mar-22 21:27:14,17,7
Mar-22 21:27:15,17,7
Mar-22 21:27:16,17,7
Mar-22 21:27:17,17,7
Mar-22 21:27:18,17,10
Mar-22 21:27:19,17,7
Mar-22 21:27:20,17,7
Mar-22 21:27:21,17,7
Mar-22 21:27:22,17,7
Mar-22 21:27:23,17,7
Mar-22 21:27:24,17,7
Mar-22 21:27:25,17,7
Mar-22 21:27:26,17,7
Mar-22 21:27:27,17,7
Mar-22 21:27:28,17,6
Mar-22 21:27:29,17,6
Mar-22 21:27:30,17,6
Mar-22 21:27:31,17,6
Mar-22 21:27:32,17,6
Mar-22 21:27:33,17,6
Mar-22 21:27:34,17,6
Mar-22 21:27:35,17,6
Mar-22 21:27:36,17,6
Mar-22 21:27:37,17,6
Mar-22 21:27:38,17,6
Mar-22 21:27:39,17,6
Mar-22 21:27:40,17,6
Mar-22 21:27:41,17,6
Mar-22 21:27:42,17,6
Mar-22 21:27:43,17,6
Mar-22 21:27:44,17,6
Mar-22 21:27:45,17,6
Mar-22 21:27:46,17,6
Mar-22 21:27:47,17,6
Mar-22 21:27:48,17,6
Mar-22 21:27:49,17,6
Mar-22 21:27:50,17,6
Mar-22 21:27:51,17,6
Mar-22 21:27:52,17,6
Mar-22 21:27:53,17,6
Mar-22 21:27:54,17,6
Mar-22 21:27:55,17,6
Mar-22 21:27:56,17,6
Mar-22 21:27:57,17,6
Mar-22 21:27:58,17,6
Mar-22 21:27:59,17,7
Mar-22 21:28:00,17,7
Mar-22 21:28:01,17,7
Mar-22 21:28:02,17,7
Mar-22 21:28:03,17,7
Mar-22 21:28:04,17,9
Mar-22 21:28:05,17,9
Mar-22 21:28:06,17,9
Mar-22 21:28:07,17,9
Mar-22 21:28:08,17,9
Mar-22 21:28:09,17,9
Mar-22 21:28:10,17,9
Mar-22 21:28:11,17,9
Mar-22 21:28:12,17,9
Mar-22 21:28:13,17,9
Mar-22 21:28:14,17,9
Mar-22 21:28:15,20,9
Mar-22 21:28:16,20,9
Mar-22 21:28:17,20,9
Mar-22 21:28:18,20,9
Mar-22 21:28:19,20,9
Mar-22 21:28:20,17,9
Mar-22 21:28:21,17,9
Mar-22 21:28:22,17,9
Mar-22 21:28:23,17,9
Mar-22 21:28:24,17,9
Mar-22 21:28:25,17,9
Mar-22 21:28:26,17,9
Mar-22 21:28:27,17,9
Mar-22 21:28:28,17,9
Mar-22 21:28:29,17,8
Mar-22 21:28:30,17,8
Mar-22 21:28:31,17,8
Mar-22 21:28:32,17,8
Mar-22 21:28:33,17,6
Mar-22 21:28:34,17,6
Mar-22 21:28:35,17,6
Mar-22 21:28:36,17,6
Mar-22 21:28:37,17,6
Mar-22 21:28:38,17,6
Mar-22 21:28:39,17,6
Mar-22 21:28:40,17,6
Mar-22 21:28:41,17,6
Mar-22 21:28:42,17,6
Mar-22 21:28:43,17,6
Mar-22 21:28:44,17,6
Mar-22 21:28:45,17,6
Mar-22 21:28:46,17,6
Mar-22 21:28:47,17,6
Mar-22 21:28:48,17,6
Mar-22 21:28:49,17,6
Mar-22 21:28:50,17,6
Mar-22 21:28:51,17,6
Mar-22 21:28:52,17,6
Mar-22 21:28:53,17,6
Mar-22 21:28:54,17,6
Mar-22 21:28:55,17,6
Mar-22 21:28:56,17,6
Mar-22 21:28:57,17,6
Mar-22 21:28:58,17,6
Mar-22 21:28:59,17,6
Mar-22 21:29:00,17,6
Mar-22 21:29:01,17,6
Mar-22 21:29:02,17,6
Mar-22 21:29:03,17,6
Mar-22 21:29:04,17,6
Mar-22 21:29:05,17,6
Mar-22 21:29:06,17,6
Mar-22 21:29:07,17,6
Mar-22 21:29:08,17,6
Mar-22 21:29:09,17,6
Mar-22 21:29:10,17,6
Mar-22 21:29:11,17,6
Mar-22 21:29:12,17,6
Mar-22 21:29:13,17,6
Mar-22 21:29:14,17,6
Mar-22 21:29:15,17,6
Mar-22 21:29:16,17,6
Mar-22 21:29:17,17,6
Mar-22 21:29:18,17,6
Mar-22 21:29:19,17,6
Mar-22 21:29:20,17,6
Mar-22 21:29:21,17,6
Mar-22 21:29:22,17,6
Mar-22 21:29:23,17,6
Mar-22 21:29:24,17,6
Mar-22 21:29:25,17,6
Mar-22 21:29:26,17,6
Mar-22 21:29:27,17,6
Mar-22 21:29:28,17,6
Mar-22 21:29:29,17,6
Mar-22 21:29:30,17,6
Mar-22 21:29:31,17,6
Mar-22 21:29:32,17,6
Mar-22 21:29:33,17,6
Mar-22 21:29:34,17,6
Mar-22 21:29:35,17,6
Mar-22 21:29:36,17,6
Mar-22 21:29:37,17,6
Mar-22 21:29:38,17,6
Mar-22 21:29:39,17,6
Mar-22 21:29:40,17,6
Mar-22 21:29:41,17,6
Mar-22 21:29:42,17,6
Mar-22 21:29:43,17,6
Mar-22 21:29:44,17,6
Mar-22 21:29:45,17,6
Mar-22 21:29:46,17,6
Mar-22 21:29:47,17,6
Mar-22 21:29:48,17,6
Mar-22 21:29:49,17,7
Mar-22 21:29:50,17,7
Mar-22 21:29:51,17,7
Mar-22 21:29:52,17,7
Mar-22 21:29:53,17,7
Mar-22 21:29:54,17,7
Mar-22 21:29:55,17,7
Mar-22 21:29:56,17,7
Mar-22 21:29:57,17,7
Mar-22 21:29:58,17,7
Mar-22 21:29:59,17,7
Mar-22 21:30:00,17,7
Mar-22 21:30:01,17,7
Mar-22 21:30:02,17,7
Mar-22 21:30:03,17,7
Mar-22 21:30:04,17,7
Mar-22 21:30:05,17,7
Mar-22 21:30:06,17,7
Mar-22 21:30:07,17,10
Mar-22 21:30:08,17,7
Mar-22 21:30:09,17,7
Mar-22 21:30:10,17,7
Mar-22 21:30:11,17,7
Mar-22 21:30:12,17,7
Mar-22 21:30:13,17,7
Mar-22 21:30:14,17,7
Mar-22 21:30:15,20,7
Mar-22 21:30:16,20,7
Mar-22 21:30:17,20,7
Mar-22 21:30:18,20,6
Mar-22 21:30:19,20,6
Mar-22 21:30:20,17,6
Mar-22 21:30:21,17,6
Mar-22 21:30:22,17,6
Mar-22 21:30:23,17,6
Mar-22 21:30:24,17,6
Mar-22 21:30:25,17,6
Mar-22 21:30:26,17,6
Mar-22 21:30:27,17,6
Mar-22 21:30:28,17,6
Mar-22 21:30:29,17,6
Mar-22 21:30:30,17,6
Mar-22 21:30:31,17,6
Mar-22 21:30:32,17,6
Mar-22 21:30:33,17,6
Mar-22 21:30:34,17,6
Mar-22 21:30:35,17,6
Mar-22 21:30:36,17,6
Mar-22 21:30:37,17,6
Mar-22 21:30:38,17,6
Mar-22 21:30:39,17,6
Mar-22 21:30:40,17,6
Mar-22 21:30:41,17,6
Mar-22 21:30:42,17,6
Mar-22 21:30:43,17,6
Mar-22 21:30:44,17,6
Mar-22 21:30:45,17,6
Mar-22 21:30:46,17,6
Mar-22 21:30:47,17,6
Mar-22 21:30:48,17,6
Mar-22 21:30:49,17,6
Mar-22 21:30:50,17,6
Mar-22 21:30:51,17,6
Mar-22 21:30:52,17,6
Mar-22 21:30:53,17,6
Mar-22 21:30:54,17,6
Mar-22 21:30:55,17,6
Mar-22 21:30:56,17,8
Mar-22 21:30:57,17,8
Mar-22 21:30:58,17,8
Mar-22 21:30:59,17,8
Mar-22 21:31:00,17,8
Mar-22 21:31:01,17,8
Mar-22 21:31:02,17,8
Mar-22 21:31:03,17,8
Mar-22 21:31:04,17,8
Mar-22 21:31:05,17,8
Mar-22 21:31:06,17,8
Mar-22 21:31:07,17,8
Mar-22 21:31:08,17,8
Mar-22 21:31:09,17,8
Mar-22 21:31:10,17,8
Mar-22 21:31:11,17,8
Mar-22 21:31:12,17,8
Mar-22 21:31:13,17,8
Mar-22 21:31:14,17,8
Mar-22 21:31:15,17,8
Mar-22 21:31:16,17,8
Mar-22 21:31:17,17,8
Mar-22 21:31:18,17,8
Mar-22 21:31:19,17,8
Mar-22 21:31:20,17,8
Mar-22 21:31:21,17,8
Mar-22 21:31:22,17,8
Mar-22 21:31:23,17,8
Mar-22 21:31:24,17,8
Mar-22 21:31:25,17,6
Mar-22 21:31:26,17,6
Mar-22 21:31:27,17,6
Mar-22 21:31:28,17,6
Mar-22 21:31:29,17,6
Mar-22 21:31:30,17,6
Mar-22 21:31:31,17,6
Mar-22 21:31:32,17,6
Mar-22 21:31:33,17,6
Mar-22 21:31:34,17,6
Mar-22 21:31:35,17,6
Mar-22 21:31:36,17,6
Mar-22 21:31:37,17,6
Mar-22 21:31:38,17,6
Mar-22 21:31:39,17,6
Mar-22 21:31:40,17,6
Mar-22 21:31:41,17,6
Mar-22 21:31:42,17,6
Mar-22 21:31:43,17,6
Mar-22 21:31:44,17,6
Mar-22 21:31:45,17,6
Mar-22 21:31:46,17,6
Mar-22 21:31:47,17,6
Mar-22 21:31:48,17,6
Mar-22 21:31:49,17,6
Mar-22 21:31:50,17,6
Mar-22 21:31:51,17,6
Mar-22 21:31:52,17,6
Mar-22 21:31:53,17,6
Mar-22 21:31:54,17,6
Mar-22 21:31:55,17,6
Mar-22 21:31:56,17,6
Mar-22 21:31:57,17,6
Mar-22 21:31:58,17,6
Mar-22 21:31:59,17,6
Mar-22 21:32:00,17,6
Mar-22 21:32:01,17,6
Mar-22 21:32:02,17,6
