"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dstat/net_sys_time.csv --net --sys --time 1 600",,,,"Date:","23 Mar 2023 14:04:41 -03"
"net/total",,"system",,"system"
8581,8618,3647,37324,23-03 14:06:54
24101,10534,2627,6130,23-03 14:06:55
13257,94255,2558,5873,23-03 14:06:56
5860,7661,2581,5846,23-03 14:06:57
6146,7037,2702,6929,23-03 14:06:58
6088,8817,2711,7771,23-03 14:06:59
22743,11374,2581,5975,23-03 14:07:00
5750,6850,2438,5655,23-03 14:07:01
5860,7402,2602,8032,23-03 14:07:02
6092,6850,2787,7299,23-03 14:07:03
6241,7474,2808,7343,23-03 14:07:04
7373,11402,2495,6487,23-03 14:07:05
21454,9162,2587,5906,23-03 14:07:06
5924,7208,2441,5499,23-03 14:07:07
8005,8638,2768,7266,23-03 14:07:08
5750,6850,2610,7187,23-03 14:07:09
7646,11839,2561,7108,23-03 14:07:10
21426,8402,2564,5671,23-03 14:07:11
5880,7208,2451,5521,23-03 14:07:12
6027,7231,2683,6773,23-03 14:07:13
6241,7724,2588,6911,23-03 14:07:14
5880,7049,2497,5700,23-03 14:07:15
6113,7261,2464,5583,23-03 14:07:16
5750,6987,2466,5668,23-03 14:07:17
6256,7848,2657,6797,23-03 14:07:18
5880,6992,2529,7392,23-03 14:07:19
5750,6850,2531,5642,23-03 14:07:20
27776,23940,2638,6969,23-03 14:07:21
5917,7179,2394,5565,23-03 14:07:22
5860,7265,4322,12099,23-03 14:07:23
6029,7332,2679,8096,23-03 14:07:24
5880,6992,2682,6093,23-03 14:07:25
5860,7181,2559,5710,23-03 14:07:26
5750,6831,2403,5570,23-03 14:07:27
5962,7208,2506,5583,23-03 14:07:28
7252,10235,2780,8168,23-03 14:07:29
5880,7105,2523,5694,23-03 14:07:30
6198,8614,2564,6409,23-03 14:07:31
22803,11180,3428,34700,23-03 14:07:32
5917,7395,2484,6081,23-03 14:07:33
6139,7668,2692,8154,23-03 14:07:34
5864,6890,2451,5738,23-03 14:07:35
5750,7110,2482,5612,23-03 14:07:36
5860,7044,2448,5582,23-03 14:07:37
6276,7159,2625,5834,23-03 14:07:38
6027,7589,2704,7980,23-03 14:07:39
5750,6992,2517,5659,23-03 14:07:40
5917,7037,2459,5534,23-03 14:07:41
7479,11534,2594,6516,23-03 14:07:42
21442,8338,2533,5727,23-03 14:07:43
6241,8082,2774,8468,23-03 14:07:44
5860,6907,2449,5582,23-03 14:07:45
6155,7179,2501,5775,23-03 14:07:46
5860,7181,2514,5755,23-03 14:07:47
5892,7372,2420,5674,23-03 14:07:48
5972,7510,4392,13007,23-03 14:07:49
6030,7044,2615,6361,23-03 14:07:50
7489,13554,2557,5844,23-03 14:07:51
5820,6968,2356,5567,23-03 14:07:52
23713,13327,2578,6443,23-03 14:07:53
6241,7832,2594,6768,23-03 14:07:54
5934,7162,2595,6856,23-03 14:07:55
42804,100100,2772,6760,23-03 14:07:56
5750,6850,2546,5587,23-03 14:07:57
6256,7490,2601,5932,23-03 14:07:58
5750,6850,2551,6852,23-03 14:07:59
5750,7326,2679,6874,23-03 14:08:00
5946,7287,2322,5644,23-03 14:08:01
5880,6992,2682,7681,23-03 14:08:02
6158,8751,2723,6752,23-03 14:08:03
21468,11594,2575,6844,23-03 14:08:04
7154,9499,2535,6920,23-03 14:08:05
5860,7968,2456,5812,23-03 14:08:06
6262,8017,2464,5572,23-03 14:08:07
5924,6855,2570,5727,23-03 14:08:08
7196,11092,2699,7545,23-03 14:08:09
14854,15052,3767,36736,23-03 14:08:10
6186,7296,2527,5610,23-03 14:08:11
5880,6968,2491,5618,23-03 14:08:12
5917,7316,2449,5619,23-03 14:08:13
6351,7644,2594,6784,23-03 14:08:14
22931,12847,2681,7668,23-03 14:08:15
6815,7835,2530,5865,23-03 14:08:16
8889,9796,2510,5818,23-03 14:08:17
6525,7483,2581,5833,23-03 14:08:18
6202,7044,2614,7139,23-03 14:08:19
5750,6850,2659,6836,23-03 14:08:20
9204,17855,2596,6003,23-03 14:08:21
5860,7304,2500,5555,23-03 14:08:22
14049,17780,2681,6615,23-03 14:08:23
6029,7332,2546,6949,23-03 14:08:24
7109,10378,4784,13530,23-03 14:08:25
21852,9598,2575,5840,23-03 14:08:26
5860,7044,2500,5660,23-03 14:08:27
5750,6850,2434,5579,23-03 14:08:28
5880,6968,2521,6758,23-03 14:08:29
7231,12730,2603,6935,23-03 14:08:30
5750,6850,2501,5584,23-03 14:08:31
5750,7105,2470,5620,23-03 14:08:32
6199,7231,2431,5745,23-03 14:08:33
6029,7474,2529,6790,23-03 14:08:34
8023,7629,2561,6924,23-03 14:08:35
21573,11972,2672,6619,23-03 14:08:36
7194,7774,2451,5618,23-03 14:08:37
6342,7459,2555,5621,23-03 14:08:38
5954,6850,2579,6987,23-03 14:08:39
11013,12246,2794,7248,23-03 14:08:40
5750,7208,2468,5669,23-03 14:08:41
5917,7179,2447,5561,23-03 14:08:42
6298,7528,2543,5651,23-03 14:08:43
6779,8704,2675,6860,23-03 14:08:44
5876,6819,2858,7701,23-03 14:08:45
5990,7539,2428,5645,23-03 14:08:46
22931,12710,3685,16125,23-03 14:08:47
5860,7186,2654,25415,23-03 14:08:48
6014,7154,2488,6506,23-03 14:08:49
5750,6850,2643,7143,23-03 14:08:50
7591,14098,2500,5889,23-03 14:08:51
5820,6968,2342,5671,23-03 14:08:52
6214,7087,2431,5570,23-03 14:08:53
7099,8485,2521,6052,23-03 14:08:54
6121,7037,2732,8216,23-03 14:08:55
16893,14655,2617,6678,23-03 14:08:56
39438,16012,2673,6888,23-03 14:08:57
25099,12482,3140,6051,23-03 14:08:58
10039,94240,2513,5746,23-03 14:08:59
5880,6987,2684,8316,23-03 14:09:00
5750,7189,2568,5651,23-03 14:09:01
6231,7231,2717,7913,23-03 14:09:02
5750,6987,2434,5861,23-03 14:09:03
6139,7668,2589,5588,23-03 14:09:04
5750,6850,2739,8094,23-03 14:09:05
5880,6968,4221,11859,23-03 14:09:06
6231,7589,2460,5606,23-03 14:09:07
21779,12301,2565,6656,23-03 14:09:08
7707,7531,2562,5775,23-03 14:09:09
23515,14076,2809,9271,23-03 14:09:10
5750,6968,2494,5628,23-03 14:09:11
6231,7589,2332,5658,23-03 14:09:12
6580,7224,2548,5718,23-03 14:09:13
6816,7519,2540,5838,23-03 14:09:14
6072,7578,2663,8080,23-03 14:09:15
5750,6850,2444,5576,23-03 14:09:16
5750,7208,2489,5538,23-03 14:09:17
6256,7608,2578,5854,23-03 14:09:18
23543,13084,2585,6540,23-03 14:09:19
5860,7186,2711,7367,23-03 14:09:20
9572,17953,2539,6548,23-03 14:09:21
5750,7326,2440,5513,23-03 14:09:22
5946,7292,2416,5612,23-03 14:09:23
6400,7382,2506,5646,23-03 14:09:24
5836,7074,3575,37397,23-03 14:09:25
5860,7186,2655,6783,23-03 14:09:26
5880,7208,3966,10153,23-03 14:09:27
6342,7601,2489,5600,23-03 14:09:28
7350,10229,2744,7100,23-03 14:09:29
21722,9700,2679,7001,23-03 14:09:30
8073,12230,2531,7046,23-03 14:09:31
6251,7174,2393,5737,23-03 14:09:32
6129,7395,2458,6186,23-03 14:09:33
6722,7831,2380,5645,23-03 14:09:34
5790,6890,2531,6888,23-03 14:09:35
5990,7186,2624,6868,23-03 14:09:36
6915,8244,2421,5735,23-03 14:09:37
6634,8100,2614,5781,23-03 14:09:38
5934,6907,2453,5572,23-03 14:09:39
19984,11865,2660,7826,23-03 14:09:40
5750,6850,2577,6928,23-03 14:09:41
10588,8647,2477,5708,23-03 14:09:42
6411,7258,2562,5980,23-03 14:09:43
6306,7713,2478,5656,23-03 14:09:44
5962,7223,2718,6879,23-03 14:09:45
6215,8324,2672,7610,23-03 14:09:46
22749,13926,2407,5612,23-03 14:09:47
5750,6992,2868,7069,23-03 14:09:48
6144,7394,2464,5817,23-03 14:09:49
5860,7162,2715,6935,23-03 14:09:50
7395,13448,2646,7176,23-03 14:09:51
23151,12984,2559,6438,23-03 14:09:52
8085,10517,2454,5664,23-03 14:09:53
6029,7553,2449,5550,23-03 14:09:54
5990,7044,2570,6942,23-03 14:09:55
5750,6850,2592,6887,23-03 14:09:56
7369,11482,2621,6430,23-03 14:09:57
36687,9717,2544,5978,23-03 14:09:58
10642,94576,2477,5714,23-03 14:09:59
5860,7539,2564,6990,23-03 14:10:00
5750,6968,2493,6797,23-03 14:10:01
6088,8557,2675,8621,23-03 14:10:02
22873,11379,5216,41145,23-03 14:10:03
6029,8256,2480,6320,23-03 14:10:04
5860,8326,2527,6893,23-03 14:10:05
5836,7998,2616,6954,23-03 14:10:06
6246,8622,2367,5561,23-03 14:10:07
5946,7150,2427,5571,23-03 14:10:08
5880,6713,2524,5877,23-03 14:10:09
6177,7987,2606,6861,23-03 14:10:10
7140,7368,2668,6997,23-03 14:10:11
6889,8173,2675,5863,23-03 14:10:12
10649,14143,2555,6645,23-03 14:10:13
23234,9135,2674,6098,23-03 14:10:14
5962,7105,2495,6818,23-03 14:10:15
5860,7186,2473,6914,23-03 14:10:16
5750,6987,2422,5527,23-03 14:10:17
6146,7620,2538,5679,23-03 14:10:18
5990,7044,2790,6822,23-03 14:10:19
5750,6992,2995,6921,23-03 14:10:20
9712,20771,2708,7300,23-03 14:10:21
5880,6850,2475,5544,23-03 14:10:22
6129,7037,2592,5637,23-03 14:10:23
23572,13329,2611,6585,23-03 14:10:24
5750,6968,2517,6180,23-03 14:10:25
5880,7056,2636,7545,23-03 14:10:26
5860,7186,2445,5694,23-03 14:10:27
7080,7224,2630,5932,23-03 14:10:28
9606,11481,3000,6993,23-03 14:10:29
16087,9527,2535,5956,23-03 14:10:30
8422,11915,2747,8961,23-03 14:10:31
23334,13208,2565,5830,23-03 14:10:32
5917,7037,2435,5555,23-03 14:10:33
6534,9221,2608,6598,23-03 14:10:34
24866,11424,2482,5729,23-03 14:10:35
5750,6850,2753,8134,23-03 14:10:36
6823,8368,2341,5605,23-03 14:10:37
6318,7414,2480,5840,23-03 14:10:38
5750,6713,2644,6574,23-03 14:10:39
5860,7044,2533,6016,23-03 14:10:40
5824,6992,3853,37462,23-03 14:10:41
5880,7326,2533,5623,23-03 14:10:42
5860,7044,2524,5706,23-03 14:10:43
22870,14346,2596,6515,23-03 14:10:44
19737,15880,2733,6891,23-03 14:10:45
24166,11223,2773,8315,23-03 14:10:46
5750,7071,2584,5521,23-03 14:10:47
6072,7299,2456,5612,23-03 14:10:48
6356,7036,2986,7974,23-03 14:10:49
5750,6850,3288,9891,23-03 14:10:50
7599,13748,2886,8143,23-03 14:10:51
5820,6968,2492,5773,23-03 14:10:52
6113,7837,2478,5547,23-03 14:10:53
6159,7195,2525,5613,23-03 14:10:54
11712,12686,2582,5773,23-03 14:10:55
28777,18141,3571,12257,23-03 14:10:56
6626,6976,2628,6869,23-03 14:10:57
37807,13879,2620,6715,23-03 14:10:58
6027,7212,2601,6014,23-03 14:10:59
10354,94549,2722,6129,23-03 14:11:00
5860,7186,2517,6741,23-03 14:11:01
5880,6850,2860,9450,23-03 14:11:02
5750,7326,2582,5722,23-03 14:11:03
6213,7668,2551,5889,23-03 14:11:04
5750,6850,2468,5616,23-03 14:11:05
5880,6968,2580,6884,23-03 14:11:06
24838,14834,2721,7896,23-03 14:11:07
5750,7208,2490,5565,23-03 14:11:08
5860,6907,2476,5699,23-03 14:11:09
5750,6992,2615,5740,23-03 14:11:10
5924,6850,2690,7732,23-03 14:11:11
6514,7299,2550,7051,23-03 14:11:12
6129,6900,2407,5535,23-03 14:11:13
6241,7690,2524,6054,23-03 14:11:14
6072,7441,2768,6857,23-03 14:11:15
5750,6850,2822,6981,23-03 14:11:16
7439,11652,2585,7646,23-03 14:11:17
21838,8985,3502,35794,23-03 14:11:18
8647,12966,2678,6581,23-03 14:11:19
12064,10781,2587,5825,23-03 14:11:20
10070,18112,2656,7269,23-03 14:11:21
5917,7037,2543,6706,23-03 14:11:22
5860,7304,2525,5610,23-03 14:11:23
6029,7553,2548,5708,23-03 14:11:24
5860,7044,2547,5605,23-03 14:11:25
5880,6992,2678,7216,23-03 14:11:26
5750,6968,2729,7076,23-03 14:11:27
22239,12778,2643,6481,23-03 14:11:28
6756,7471,2398,5623,23-03 14:11:29
5860,7162,2453,5705,23-03 14:11:30
5750,6855,2589,6820,23-03 14:11:31
5917,7037,2545,6905,23-03 14:11:32
14192,18210,2680,6220,23-03 14:11:33
6029,7450,2482,5804,23-03 14:11:34
5790,7248,2527,5641,23-03 14:11:35
5990,7186,4313,12614,23-03 14:11:36
5750,7174,2638,7019,23-03 14:11:37
7388,8300,2514,5754,23-03 14:11:38
24134,14246,2484,6501,23-03 14:11:39
5750,7350,2513,5815,23-03 14:11:40
5860,7044,2547,6749,23-03 14:11:41
5880,6850,2532,7012,23-03 14:11:42
5750,6850,2453,5599,23-03 14:11:43
6139,7644,2399,5638,23-03 14:11:44
6129,7650,2346,5548,23-03 14:11:45
5860,7044,2708,6929,23-03 14:11:46
5917,7292,2522,6798,23-03 14:11:47
5750,6992,2530,5617,23-03 14:11:48
7873,11720,2563,7022,23-03 14:11:49
21678,8552,2524,5944,23-03 14:11:50
7471,13806,2534,6996,23-03 14:11:51
5930,7044,2599,6815,23-03 14:11:52
6084,7224,2432,5586,23-03 14:11:53
6139,7507,2579,5560,23-03 14:11:54
9690,10002,2565,5976,23-03 14:11:55
5880,7208,3938,36711,23-03 14:11:56
5860,7044,2617,7416,23-03 14:11:57
6226,8389,2617,5704,23-03 14:11:58
37419,12057,2472,6364,23-03 14:11:59
22295,13115,2576,6630,23-03 14:12:00
6793,7781,2522,5704,23-03 14:12:01
6628,7837,2849,10510,23-03 14:12:02
12463,96602,2671,6104,23-03 14:12:03
6319,8362,2547,5969,23-03 14:12:04
5946,8192,2521,5599,23-03 14:12:05
5880,7774,2475,5726,23-03 14:12:06
5750,8132,2649,7982,23-03 14:12:07
5860,7186,2398,5608,23-03 14:12:08
5917,6900,2421,5567,23-03 14:12:09
5860,7162,2675,6112,23-03 14:12:10
23141,12710,2595,6567,23-03 14:12:11
5824,7208,2672,8114,23-03 14:12:12
6725,7373,2536,5819,23-03 14:12:13
6029,7469,2549,5584,23-03 14:12:14
5962,7086,2628,5568,23-03 14:12:15
5990,7323,2531,5757,23-03 14:12:16
5750,7208,2584,8038,23-03 14:12:17
7964,10172,2425,6017,23-03 14:12:18
5917,7155,2350,5772,23-03 14:12:19
5750,6713,2521,5635,23-03 14:12:20
11364,21246,2709,6978,23-03 14:12:21
21722,9598,2639,7979,23-03 14:12:22
5917,7509,2522,5664,23-03 14:12:23
6311,7389,2450,5697,23-03 14:12:24
5750,6850,2490,6193,23-03 14:12:25
5860,7044,2659,5590,23-03 14:12:26
5880,6850,3720,11820,23-03 14:12:27
5962,6850,2469,6209,23-03 14:12:28
6072,7162,2533,5574,23-03 14:12:29
5750,6992,2407,5633,23-03 14:12:30
5750,6850,2523,5696,23-03 14:12:31
22239,12955,2700,7764,23-03 14:12:32
6793,7305,2511,6707,23-03 14:12:33
7891,11248,3454,35619,23-03 14:12:34
7873,7155,2482,6003,23-03 14:12:35
5750,6850,2522,5645,23-03 14:12:36
5860,7044,2613,6929,23-03 14:12:37
6443,7483,2661,6737,23-03 14:12:38
5750,6713,2455,5607,23-03 14:12:39
5860,7186,2497,5702,23-03 14:12:40
5750,6850,2500,5684,23-03 14:12:41
5990,7162,2605,6924,23-03 14:12:42
23013,12710,2682,7722,23-03 14:12:43
6029,7832,2430,5631,23-03 14:12:44
6076,7193,2493,5705,23-03 14:12:45
5876,7093,2487,5696,23-03 14:12:46
5750,6968,4261,12938,23-03 14:12:47
5860,7044,2480,6787,23-03 14:12:48
6144,7257,2363,5599,23-03 14:12:49
6113,7474,2422,5855,23-03 14:12:50
7763,13961,2495,5840,23-03 14:12:51
5820,6850,2595,6817,23-03 14:12:52
10284,15027,2716,7765,23-03 14:12:53
21917,8645,2534,5744,23-03 14:12:54
6606,10162,2499,5686,23-03 14:12:55
16622,8835,2514,6108,23-03 14:12:56
8771,9489,2808,7077,23-03 14:12:57
7496,9457,2550,7080,23-03 14:12:58
7369,11458,2521,6442,23-03 14:12:59
35712,9182,2625,6209,23-03 14:13:00
12948,10767,2520,5779,23-03 14:13:01
7634,7435,2715,9395,23-03 14:13:02
5860,7044,2634,7234,23-03 14:13:03
22074,12955,2660,6747,23-03 14:13:04
7223,7830,2663,6010,23-03 14:13:05
5860,7044,2589,5663,23-03 14:13:06
9847,94024,2641,7012,23-03 14:13:07
5880,6992,2760,8131,23-03 14:13:08
6032,7119,2412,5611,23-03 14:13:09
5750,6968,2460,5651,23-03 14:13:10
6157,7589,2584,6849,23-03 14:13:11
5750,6987,3531,34329,23-03 14:13:12
5917,6900,2438,6784,23-03 14:13:13
6879,7588,2460,5616,23-03 14:13:14
22931,12892,2619,6573,23-03 14:13:15
6092,7600,2427,5600,23-03 14:13:16
5934,7162,2633,6789,23-03 14:13:17
6590,7542,2626,7020,23-03 14:13:18
6414,7044,2776,5885,23-03 14:13:19
5750,7110,2638,5952,23-03 14:13:20
9194,20620,2450,6007,23-03 14:13:21
5860,7044,2525,6773,23-03 14:13:22
14216,18104,2611,7814,23-03 14:13:23
6029,7332,2541,6111,23-03 14:13:24
7276,10546,2665,6613,23-03 14:13:25
21812,9518,2494,5743,23-03 14:13:26
5860,7402,2620,6796,23-03 14:13:27
5750,6850,2603,6892,23-03 14:13:28
5750,6987,3156,9503,23-03 14:13:29
5990,6907,2569,5662,23-03 14:13:30
5750,6987,2461,5645,23-03 14:13:31
5750,7468,2559,5585,23-03 14:13:32
6027,7231,2644,7994,23-03 14:13:33
8467,11266,2487,5748,23-03 14:13:34
6116,7190,2643,6439,23-03 14:13:35
21976,12616,2583,6542,23-03 14:13:36
6745,7500,2425,5608,23-03 14:13:37
6256,7632,2765,8220,23-03 14:13:38
5880,6968,2499,5671,23-03 14:13:39
5824,6713,2449,5584,23-03 14:13:40
5860,7186,2540,5571,23-03 14:13:41
5750,7208,2543,5748,23-03 14:13:42
6239,7231,2576,8020,23-03 14:13:43
6371,7469,2560,5769,23-03 14:13:44
5750,6973,2601,6233,23-03 14:13:45
6072,7436,2534,5623,23-03 14:13:46
22931,13068,2606,6451,23-03 14:13:47
5750,6850,2617,8097,23-03 14:13:48
6084,7372,3377,35548,23-03 14:13:49
5790,6968,2718,5889,23-03 14:13:50
7645,13642,2566,5912,23-03 14:13:51
5820,6850,2308,5532,23-03 14:13:52
5917,7537,2550,8061,23-03 14:13:53
7371,8742,2512,5911,23-03 14:13:54
5750,6713,2405,5650,23-03 14:13:55
5750,6968,2546,6066,23-03 14:13:56
7109,10236,2518,6448,23-03 14:13:57
22288,10504,2761,8097,23-03 14:13:58
5860,7044,2403,5578,23-03 14:13:59
22262,12791,2587,6592,23-03 14:14:00
15955,7220,4061,11581,23-03 14:14:01
14759,7603,2776,8022,23-03 14:14:02
5878,7282,2654,7387,23-03 14:14:03
6029,8256,2510,6478,23-03 14:14:04
6628,8879,2635,6033,23-03 14:14:05
10230,12499,2579,6017,23-03 14:14:06
6344,8551,2481,5658,23-03 14:14:07
22485,13043,2645,7803,23-03 14:14:08
11728,94330,2600,7020,23-03 14:14:09
5860,7025,2492,6053,23-03 14:14:10
5750,6850,2335,5550,23-03 14:14:11
5750,6850,2345,5637,23-03 14:14:12
6027,7373,2580,6767,23-03 14:14:13
6159,7690,2485,6832,23-03 14:14:14
6558,7162,2494,5664,23-03 14:14:15
5157,7242,2449,5692,23-03 14:14:16
0,6850,2310,5030,23-03 14:14:17
396,7490,2446,6364,23-03 14:14:18
17221,15093,2565,7450,23-03 14:14:19
86,10315,2383,5535,23-03 14:14:20
3666,20961,2555,6718,23-03 14:14:21
0,9954,2328,5213,23-03 14:14:22
0,5707,2397,6337,23-03 14:14:23
279,3944,2265,6168,23-03 14:14:24
0,3104,2163,4851,23-03 14:14:25
167,3291,2179,4862,23-03 14:14:26
17790,12356,3326,35645,23-03 14:14:27
83210,35371,2862,8904,23-03 14:14:28
9062,17222,3054,8538,23-03 14:14:29
29703,11868,2644,5900,23-03 14:14:30
6184,8162,2567,5788,23-03 14:14:31
15268,9324,2646,5970,23-03 14:14:32
9926,10734,2735,7119,23-03 14:14:33
8710,13023,2760,7215,23-03 14:14:34
8290,8583,2555,5939,23-03 14:14:35
7744,9615,2591,6035,23-03 14:14:36
6744,8124,4126,11631,23-03 14:14:37
6649,8368,2648,6961,23-03 14:14:38
10138,14777,2672,7083,23-03 14:14:39
22452,13412,2679,6803,23-03 14:14:40
