"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dstat/unix.csv --time --unix 1 600",,,,"Date:","23 Mar 2023 13:54:36 -03"
"system","unix sockets",,,
23-03 13:58:29,56,981,55,926
23-03 13:58:30,56,981,55,926
23-03 13:58:31,56,981,55,926
23-03 13:58:32,56,981,55,926
23-03 13:58:33,56,981,55,926
23-03 13:58:34,56,981,55,926
23-03 13:58:35,56,981,55,926
23-03 13:58:36,56,981,55,926
23-03 13:58:37,56,981,55,926
23-03 13:58:38,56,981,55,926
23-03 13:58:39,56,981,55,926
23-03 13:58:40,56,981,55,926
23-03 13:58:41,56,981,55,926
23-03 13:58:42,56,981,55,926
23-03 13:58:43,56,981,55,926
23-03 13:58:44,56,981,55,926
23-03 13:58:45,56,981,55,926
23-03 13:58:46,56,981,55,926
23-03 13:58:47,56,981,55,926
23-03 13:58:48,56,981,55,926
23-03 13:58:49,56,981,55,926
23-03 13:58:50,56,981,55,926
23-03 13:58:51,56,981,55,926
23-03 13:58:52,56,981,55,926
23-03 13:58:53,56,983,55,928
23-03 13:58:54,56,981,55,926
23-03 13:58:55,56,981,55,926
23-03 13:58:56,56,981,55,926
23-03 13:58:57,56,981,55,926
23-03 13:58:58,56,981,55,926
23-03 13:58:59,56,981,55,926
23-03 13:59:00,56,981,55,926
23-03 13:59:01,56,981,55,926
23-03 13:59:02,56,981,55,926
23-03 13:59:03,56,981,55,926
23-03 13:59:04,56,981,55,926
23-03 13:59:05,56,981,55,926
23-03 13:59:06,56,981,55,926
23-03 13:59:07,56,981,55,926
23-03 13:59:08,56,981,55,926
23-03 13:59:09,56,981,55,926
23-03 13:59:10,56,981,55,926
23-03 13:59:11,56,981,55,926
23-03 13:59:12,56,981,55,926
23-03 13:59:13,56,981,55,926
23-03 13:59:14,56,981,55,926
23-03 13:59:15,56,981,55,926
23-03 13:59:16,56,981,55,926
23-03 13:59:17,56,981,55,926
23-03 13:59:18,56,981,55,926
23-03 13:59:19,56,981,55,926
23-03 13:59:20,56,981,55,926
23-03 13:59:21,56,981,55,926
23-03 13:59:22,56,981,55,926
23-03 13:59:23,56,981,55,926
23-03 13:59:24,56,981,55,926
23-03 13:59:25,56,981,55,926
23-03 13:59:26,56,981,55,926
23-03 13:59:27,56,981,55,926
23-03 13:59:28,56,981,55,926
23-03 13:59:29,56,981,55,926
23-03 13:59:30,56,981,55,926
23-03 13:59:31,56,981,55,926
23-03 13:59:32,56,981,55,926
23-03 13:59:33,56,981,55,926
23-03 13:59:34,56,981,55,926
23-03 13:59:35,56,981,55,926
23-03 13:59:36,56,981,55,926
23-03 13:59:37,56,981,55,926
23-03 13:59:38,56,981,55,926
23-03 13:59:39,56,981,55,926
23-03 13:59:40,56,981,55,926
23-03 13:59:41,56,981,55,926
23-03 13:59:42,56,981,55,926
23-03 13:59:43,56,981,55,926
23-03 13:59:44,56,981,55,926
23-03 13:59:45,56,981,55,926
23-03 13:59:46,56,981,55,926
23-03 13:59:47,56,981,55,926
23-03 13:59:48,56,981,55,926
23-03 13:59:49,56,981,55,926
23-03 13:59:50,56,981,55,926
23-03 13:59:51,56,981,55,926
23-03 13:59:52,56,981,55,926
23-03 13:59:53,56,981,55,926
23-03 13:59:54,56,981,55,926
23-03 13:59:55,56,981,55,926
23-03 13:59:56,56,981,55,926
23-03 13:59:57,56,983,55,928
23-03 13:59:58,56,981,55,926
23-03 13:59:59,56,981,55,926
23-03 14:00:00,56,981,55,926
23-03 14:00:01,56,981,55,926
23-03 14:00:02,56,981,55,926
23-03 14:00:03,56,981,55,926
23-03 14:00:04,56,981,55,926
23-03 14:00:05,56,981,55,926
23-03 14:00:06,56,981,55,926
23-03 14:00:07,56,981,55,926
23-03 14:00:08,56,981,55,926
23-03 14:00:09,56,981,55,926
23-03 14:00:10,56,983,55,928
23-03 14:00:11,56,983,55,928
23-03 14:00:12,56,983,55,928
23-03 14:00:13,56,983,55,928
23-03 14:00:14,56,983,55,928
23-03 14:00:15,56,983,55,928
23-03 14:00:16,56,983,55,928
23-03 14:00:17,56,983,55,928
23-03 14:00:18,56,983,55,928
23-03 14:00:19,56,983,55,928
23-03 14:00:20,56,983,55,928
23-03 14:00:21,56,983,55,928
23-03 14:00:22,56,983,55,928
23-03 14:00:23,56,983,55,928
23-03 14:00:24,56,985,55,930
23-03 14:00:25,56,985,55,930
23-03 14:00:26,56,985,55,930
23-03 14:00:27,56,985,55,930
23-03 14:00:28,56,983,55,928
23-03 14:00:29,56,983,55,928
23-03 14:00:30,56,981,55,926
23-03 14:00:31,56,981,55,926
23-03 14:00:32,56,981,55,926
23-03 14:00:33,56,981,55,926
23-03 14:00:34,56,981,55,926
23-03 14:00:35,56,981,55,926
23-03 14:00:36,56,981,55,926
23-03 14:00:37,56,981,55,926
23-03 14:00:38,56,981,55,926
23-03 14:00:39,56,981,55,926
23-03 14:00:40,56,981,55,926
23-03 14:00:41,56,981,55,926
23-03 14:00:42,56,981,55,926
23-03 14:00:43,56,981,55,926
23-03 14:00:44,56,981,55,926
23-03 14:00:45,56,981,55,926
23-03 14:00:46,56,981,55,926
23-03 14:00:47,56,981,55,926
23-03 14:00:48,56,981,55,926
23-03 14:00:49,56,985,55,930
23-03 14:00:50,56,985,55,930
23-03 14:00:51,56,985,55,930
23-03 14:00:52,56,985,55,930
23-03 14:00:53,56,985,55,930
23-03 14:00:54,56,985,55,930
23-03 14:00:55,56,985,55,930
23-03 14:00:56,56,999,55,944
23-03 14:00:57,56,999,55,944
23-03 14:00:58,56,999,55,944
23-03 14:00:59,56,999,55,944
23-03 14:01:00,56,999,55,944
23-03 14:01:01,56,999,55,944
23-03 14:01:02,56,999,55,944
23-03 14:01:03,56,999,55,944
23-03 14:01:04,56,999,55,944
23-03 14:01:05,56,999,55,944
23-03 14:01:06,56,999,55,944
23-03 14:01:07,56,999,55,944
23-03 14:01:08,56,999,55,944
23-03 14:01:09,56,999,55,944
23-03 14:01:10,56,999,55,944
23-03 14:01:11,56,993,55,938
23-03 14:01:12,56,993,55,938
23-03 14:01:13,56,993,55,938
23-03 14:01:14,56,993,55,938
23-03 14:01:15,56,993,55,938
23-03 14:01:16,56,993,55,938
23-03 14:01:17,56,993,55,938
23-03 14:01:18,56,993,55,938
23-03 14:01:19,56,989,55,934
23-03 14:01:20,56,989,55,934
23-03 14:01:21,56,989,55,934
23-03 14:01:22,56,989,55,934
23-03 14:01:23,56,989,55,934
23-03 14:01:24,56,989,55,934
23-03 14:01:25,56,989,55,934
23-03 14:01:26,56,981,55,926
23-03 14:01:27,56,981,55,926
23-03 14:01:28,56,981,55,926
23-03 14:01:29,56,981,55,926
23-03 14:01:30,56,981,55,926
23-03 14:01:31,56,981,55,926
23-03 14:01:32,56,981,55,926
23-03 14:01:33,56,981,55,926
23-03 14:01:34,56,981,55,926
23-03 14:01:35,56,981,55,926
23-03 14:01:36,56,981,55,926
23-03 14:01:37,56,983,55,928
23-03 14:01:38,56,981,55,926
23-03 14:01:39,56,981,55,926
23-03 14:01:40,56,981,55,926
23-03 14:01:41,56,981,55,926
23-03 14:01:42,56,981,55,926
23-03 14:01:43,56,981,55,926
23-03 14:01:44,56,981,55,926
23-03 14:01:45,56,981,55,926
23-03 14:01:46,56,981,55,926
23-03 14:01:47,56,981,55,926
23-03 14:01:48,56,981,55,926
23-03 14:01:49,56,981,55,926
23-03 14:01:50,56,981,55,926
23-03 14:01:51,56,981,55,926
23-03 14:01:52,56,981,55,926
23-03 14:01:53,56,981,55,926
23-03 14:01:54,56,981,55,926
23-03 14:01:55,56,981,55,926
23-03 14:01:56,56,981,55,926
23-03 14:01:57,56,981,55,926
23-03 14:01:58,56,981,55,926
23-03 14:01:59,56,981,55,926
23-03 14:02:00,56,981,55,926
23-03 14:02:01,56,981,55,926
23-03 14:02:02,56,981,55,926
23-03 14:02:03,56,981,55,926
23-03 14:02:04,56,981,55,926
23-03 14:02:05,56,981,55,926
23-03 14:02:06,56,981,55,926
23-03 14:02:07,56,981,55,926
23-03 14:02:08,56,981,55,926
23-03 14:02:09,56,981,55,926
23-03 14:02:10,56,981,55,926
23-03 14:02:11,56,981,55,926
23-03 14:02:12,56,981,55,926
23-03 14:02:13,56,981,55,926
23-03 14:02:14,56,981,55,926
23-03 14:02:15,56,981,55,926
23-03 14:02:16,56,981,55,926
23-03 14:02:17,56,981,55,926
23-03 14:02:18,56,981,55,926
23-03 14:02:19,56,981,55,926
23-03 14:02:20,56,981,55,926
23-03 14:02:21,56,981,55,926
23-03 14:02:22,56,981,55,926
23-03 14:02:23,56,981,55,926
23-03 14:02:24,56,981,55,926
23-03 14:02:25,56,981,55,926
23-03 14:02:26,56,981,55,926
23-03 14:02:27,56,981,55,926
23-03 14:02:28,56,981,55,926
23-03 14:02:29,56,981,55,926
23-03 14:02:30,56,981,55,926
23-03 14:02:31,56,981,55,926
23-03 14:02:32,56,981,55,926
23-03 14:02:33,56,981,55,926
23-03 14:02:34,56,981,55,926
23-03 14:02:35,56,981,55,926
23-03 14:02:36,56,981,55,926
23-03 14:02:37,56,981,55,926
23-03 14:02:38,56,981,55,926
23-03 14:02:39,56,981,55,926
23-03 14:02:40,56,981,55,926
23-03 14:02:41,56,981,55,926
23-03 14:02:42,56,981,55,926
23-03 14:02:43,56,983,55,928
23-03 14:02:44,56,981,55,926
23-03 14:02:45,56,981,55,926
23-03 14:02:46,56,981,55,926
23-03 14:02:47,56,981,55,926
23-03 14:02:48,56,981,55,926
23-03 14:02:49,56,981,55,926
23-03 14:02:50,56,981,55,926
23-03 14:02:51,56,981,55,926
23-03 14:02:52,56,981,55,926
23-03 14:02:53,56,981,55,926
23-03 14:02:54,56,981,55,926
23-03 14:02:55,56,981,55,926
23-03 14:02:56,56,981,55,926
23-03 14:02:57,56,981,55,926
23-03 14:02:58,56,981,55,926
23-03 14:02:59,56,981,55,926
23-03 14:03:00,56,981,55,926
23-03 14:03:01,56,981,55,926
23-03 14:03:02,56,981,55,926
23-03 14:03:03,56,981,55,926
23-03 14:03:04,56,981,55,926
23-03 14:03:05,56,981,55,926
23-03 14:03:06,56,981,55,926
23-03 14:03:07,56,981,55,926
23-03 14:03:08,56,981,55,926
23-03 14:03:09,56,981,55,926
23-03 14:03:10,56,981,55,926
23-03 14:03:11,56,981,55,926
23-03 14:03:12,56,981,55,926
23-03 14:03:13,56,981,55,926
23-03 14:03:14,56,981,55,926
23-03 14:03:15,56,983,55,928
23-03 14:03:16,56,981,55,926
23-03 14:03:17,56,981,55,926
23-03 14:03:18,56,981,55,926
23-03 14:03:19,56,981,55,926
23-03 14:03:20,56,981,55,926
23-03 14:03:21,56,981,55,926
23-03 14:03:22,56,981,55,926
23-03 14:03:23,56,981,55,926
23-03 14:03:24,56,981,55,926
23-03 14:03:25,56,981,55,926
23-03 14:03:26,56,981,55,926
23-03 14:03:27,56,981,55,926
23-03 14:03:28,56,981,55,926
23-03 14:03:29,56,981,55,926
23-03 14:03:30,56,981,55,926
23-03 14:03:31,56,981,55,926
23-03 14:03:32,56,981,55,926
23-03 14:03:33,56,981,55,926
23-03 14:03:34,56,981,55,926
23-03 14:03:35,56,981,55,926
23-03 14:03:36,56,981,55,926
23-03 14:03:37,56,981,55,926
23-03 14:03:38,56,981,55,926
23-03 14:03:39,56,981,55,926
23-03 14:03:40,56,981,55,926
23-03 14:03:41,56,981,55,926
23-03 14:03:42,56,981,55,926
23-03 14:03:43,56,981,55,926
23-03 14:03:44,56,981,55,926
23-03 14:03:45,56,981,55,926
23-03 14:03:46,56,981,55,926
23-03 14:03:47,56,981,55,926
23-03 14:03:48,56,981,55,926
23-03 14:03:49,56,981,55,926
23-03 14:03:50,56,981,55,926
23-03 14:03:51,56,981,55,926
23-03 14:03:52,56,981,55,926
23-03 14:03:53,56,983,55,928
23-03 14:03:54,56,981,55,926
23-03 14:03:55,56,981,55,926
23-03 14:03:56,56,981,55,926
23-03 14:03:57,56,981,55,926
23-03 14:03:58,56,981,55,926
23-03 14:03:59,56,981,55,926
23-03 14:04:00,56,981,55,926
23-03 14:04:01,56,981,55,926
23-03 14:04:02,56,981,55,926
23-03 14:04:03,56,981,55,926
23-03 14:04:04,56,981,55,926
23-03 14:04:05,56,981,55,926
23-03 14:04:06,56,981,55,926
23-03 14:04:07,56,981,55,926
23-03 14:04:08,56,981,55,926
23-03 14:04:09,56,981,55,926
23-03 14:04:10,56,981,55,926
23-03 14:04:11,56,981,55,926
23-03 14:04:12,56,981,55,926
23-03 14:04:13,56,981,55,926
23-03 14:04:14,56,981,55,926
23-03 14:04:15,56,981,55,926
23-03 14:04:16,56,981,55,926
23-03 14:04:17,56,981,55,926
23-03 14:04:18,56,981,55,926
23-03 14:04:19,56,981,55,926
23-03 14:04:20,56,981,55,926
23-03 14:04:21,56,981,55,926
23-03 14:04:22,56,981,55,926
23-03 14:04:23,56,981,55,926
23-03 14:04:24,56,981,55,926
23-03 14:04:25,56,981,55,926
23-03 14:04:26,56,981,55,926
23-03 14:04:27,56,981,55,926
23-03 14:04:28,56,981,55,926
23-03 14:04:29,56,981,55,926
23-03 14:04:30,56,981,55,926
23-03 14:04:31,56,981,55,926
23-03 14:04:32,56,981,55,926
23-03 14:04:33,56,981,55,926
23-03 14:04:34,56,981,55,926
23-03 14:04:35,56,981,55,926
