"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dstat/io.csv --time --io 1 600",,,,"Date:","23 Mar 2023 13:54:36 -03"
"system","io/total",
23-03 13:58:42,0,0
23-03 13:58:43,0,0
23-03 13:58:44,0,0
23-03 13:58:45,0,64
23-03 13:58:46,0,0
23-03 13:58:47,0,0
23-03 13:58:48,0,16
23-03 13:58:49,0,0
23-03 13:58:50,0,60
23-03 13:58:51,0,0
23-03 13:58:52,0,0
23-03 13:58:53,0,0
23-03 13:58:54,0,0
23-03 13:58:55,0,30
23-03 13:58:56,0,320
23-03 13:58:57,0,0
23-03 13:58:58,0,34
23-03 13:58:59,0,0
23-03 13:59:00,0,8
23-03 13:59:01,0,150
23-03 13:59:02,2,0
23-03 13:59:03,0,42
23-03 13:59:04,0,0
23-03 13:59:05,0,0
23-03 13:59:06,0,50
23-03 13:59:07,0,0
23-03 13:59:08,0,24
23-03 13:59:09,0,38
23-03 13:59:10,0,0
23-03 13:59:11,0,448
23-03 13:59:12,4,0
23-03 13:59:13,0,0
23-03 13:59:14,0,42
23-03 13:59:15,0,0
23-03 13:59:16,0,1708
23-03 13:59:17,0,0
23-03 13:59:18,0,166
23-03 13:59:19,0,0
23-03 13:59:20,0,0
23-03 13:59:21,0,44
23-03 13:59:22,0,0
23-03 13:59:23,0,46
23-03 13:59:24,0,0
23-03 13:59:25,0,0
23-03 13:59:26,0,38
23-03 13:59:27,0,0
23-03 13:59:28,0,40
23-03 13:59:29,0,0
23-03 13:59:30,0,36
23-03 13:59:31,0,342
23-03 13:59:32,0,0
23-03 13:59:33,0,0
23-03 13:59:34,0,0
23-03 13:59:35,0,12
23-03 13:59:36,0,0
23-03 13:59:37,0,124
23-03 13:59:38,0,0
23-03 13:59:39,0,0
23-03 13:59:40,0,32
23-03 13:59:41,0,0
23-03 13:59:42,0,46
23-03 13:59:43,0,0
23-03 13:59:44,0,0
23-03 13:59:45,0,34
23-03 13:59:46,0,0
23-03 13:59:47,0,388
23-03 13:59:48,0,0
23-03 13:59:49,0,18
23-03 13:59:50,0,54
23-03 13:59:51,0,0
23-03 13:59:52,0,1890
23-03 13:59:53,0,0
23-03 13:59:54,0,58
23-03 13:59:55,0,0
23-03 13:59:56,0,58
23-03 13:59:57,0,48
23-03 13:59:58,0,0
23-03 13:59:59,0,4
23-03 14:00:00,0,0
23-03 14:00:01,0,38
23-03 14:00:02,0,148
23-03 14:00:03,0,0
23-03 14:00:04,0,0
23-03 14:00:05,0,0
23-03 14:00:06,0,36
23-03 14:00:07,0,316
23-03 14:00:08,0,0
23-03 14:00:09,0,0
23-03 14:00:10,0,0
23-03 14:00:11,0,20
23-03 14:00:12,0,178
23-03 14:00:13,0,0
23-03 14:00:14,0,0
23-03 14:00:15,0,0
23-03 14:00:16,0,36
23-03 14:00:17,0,42
23-03 14:00:18,0,0
23-03 14:00:19,0,26
23-03 14:00:20,0,0
23-03 14:00:21,0,26
23-03 14:00:22,0,0
23-03 14:00:23,0,440
23-03 14:00:24,0,0
23-03 14:00:25,0,0
23-03 14:00:26,0,40
23-03 14:00:27,0,0
23-03 14:00:28,0,100
23-03 14:00:29,0,420
23-03 14:00:30,0,0
23-03 14:00:31,0,16
23-03 14:00:32,0,0
23-03 14:00:33,0,1900
23-03 14:00:34,0,0
23-03 14:00:35,0,0
23-03 14:00:36,0,14
23-03 14:00:37,0,0
23-03 14:00:38,0,74
23-03 14:00:39,0,0
23-03 14:00:40,0,0
23-03 14:00:41,0,40
23-03 14:00:42,0,0
23-03 14:00:43,0,40
23-03 14:00:44,0,58
23-03 14:00:45,0,0
23-03 14:00:46,0,0
23-03 14:00:47,0,0
23-03 14:00:48,0,284
23-03 14:00:49,0,40
23-03 14:00:50,0,0
23-03 14:00:51,0,58
23-03 14:00:52,0,0
23-03 14:00:53,0,56
23-03 14:00:54,0,0
23-03 14:00:55,0,0
23-03 14:00:56,0,18
23-03 14:00:57,0,0
23-03 14:00:58,0,502
23-03 14:00:59,0,0
23-03 14:01:00,0,0
23-03 14:01:01,0,52
23-03 14:01:02,0,0
23-03 14:01:03,0,0
23-03 14:01:04,0,68
23-03 14:01:05,0,0
23-03 14:01:06,0,96
23-03 14:01:07,0,0
23-03 14:01:08,0,68
23-03 14:01:09,0,1730
23-03 14:01:10,0,0
23-03 14:01:11,0,0
23-03 14:01:12,0,0
23-03 14:01:13,0,24
23-03 14:01:14,0,116
23-03 14:01:15,0,0
23-03 14:01:16,0,0
23-03 14:01:17,0,0
23-03 14:01:18,0,40
23-03 14:01:19,0,152
23-03 14:01:20,0,0
23-03 14:01:21,0,0
23-03 14:01:22,0,0
23-03 14:01:23,0,0
23-03 14:01:24,0,288
23-03 14:01:25,0,12
23-03 14:01:26,0,110
23-03 14:01:27,0,0
23-03 14:01:28,0,0
23-03 14:01:29,0,146
23-03 14:01:30,0,0
23-03 14:01:31,0,32
23-03 14:01:32,0,0
23-03 14:01:33,0,0
23-03 14:01:34,0,494
23-03 14:01:35,0,0
23-03 14:01:36,0,40
23-03 14:01:37,0,0
23-03 14:01:38,0,0
23-03 14:01:39,0,154
23-03 14:01:40,0,0
23-03 14:01:41,0,40
23-03 14:01:42,0,0
23-03 14:01:43,0,0
23-03 14:01:44,0,0
23-03 14:01:45,0,1564
23-03 14:01:46,0,22
23-03 14:01:47,0,0
23-03 14:01:48,0,0
23-03 14:01:49,0,0
23-03 14:01:50,0,56
23-03 14:01:51,0,60
23-03 14:01:52,0,0
23-03 14:01:53,0,0
23-03 14:01:54,0,78
23-03 14:01:55,0,42
23-03 14:01:56,0,48
23-03 14:01:57,0,0
23-03 14:01:58,0,0
23-03 14:01:59,0,22
23-03 14:02:00,0,272
23-03 14:02:01,0,0
23-03 14:02:02,0,132
23-03 14:02:03,0,14
23-03 14:02:04,0,44
23-03 14:02:05,0,42
23-03 14:02:06,0,0
23-03 14:02:07,0,0
23-03 14:02:08,0,0
23-03 14:02:09,0,28
23-03 14:02:10,0,566
23-03 14:02:11,0,0
23-03 14:02:12,0,0
23-03 14:02:13,0,0
23-03 14:02:14,0,40
23-03 14:02:15,0,78
23-03 14:02:16,0,0
23-03 14:02:17,0,50
23-03 14:02:18,0,0
23-03 14:02:19,0,0
23-03 14:02:20,0,44
23-03 14:02:21,0,70
23-03 14:02:22,0,0
23-03 14:02:23,0,0
23-03 14:02:24,0,0
23-03 14:02:25,0,0
23-03 14:02:26,0,122
23-03 14:02:27,0,0
23-03 14:02:28,0,0
23-03 14:02:29,0,0
23-03 14:02:30,0,32
23-03 14:02:31,0,38
23-03 14:02:32,0,0
23-03 14:02:33,0,52
23-03 14:02:34,0,0
23-03 14:02:35,0,24
23-03 14:02:36,0,272
23-03 14:02:37,0,0
23-03 14:02:38,0,58
23-03 14:02:39,0,0
23-03 14:02:40,0,0
23-03 14:02:41,0,68
23-03 14:02:42,0,48
23-03 14:02:43,0,0
23-03 14:02:44,0,0
23-03 14:02:45,0,0
23-03 14:02:46,0,364
23-03 14:02:47,0,18
23-03 14:02:48,0,0
23-03 14:02:49,0,0
23-03 14:02:50,0,0
23-03 14:02:51,0,124
23-03 14:02:52,0,36
23-03 14:02:53,0,0
23-03 14:02:54,0,48
23-03 14:02:55,0,0
23-03 14:02:56,0,38
23-03 14:02:57,0,42
23-03 14:02:58,0,46
23-03 14:02:59,0,0
23-03 14:03:00,0,0
23-03 14:03:01,0,1746
23-03 14:03:02,0,0
23-03 14:03:03,0,26
23-03 14:03:04,0,0
23-03 14:03:05,0,0
23-03 14:03:06,0,52
23-03 14:03:07,0,0
23-03 14:03:08,0,14
23-03 14:03:09,0,0
23-03 14:03:10,0,0
23-03 14:03:11,0,0
23-03 14:03:12,0,462
23-03 14:03:13,0,0
23-03 14:03:14,0,0
23-03 14:03:15,0,0
23-03 14:03:16,0,0
23-03 14:03:17,0,34
23-03 14:03:18,0,0
23-03 14:03:19,0,0
23-03 14:03:20,0,0
23-03 14:03:21,0,0
23-03 14:03:22,0,564
23-03 14:03:23,0,0
23-03 14:03:24,0,0
23-03 14:03:25,0,0
23-03 14:03:26,0,0
23-03 14:03:27,0,140
23-03 14:03:28,0,0
23-03 14:03:29,0,0
23-03 14:03:30,0,18
23-03 14:03:31,0,0
23-03 14:03:32,0,114
23-03 14:03:33,0,40
23-03 14:03:34,0,0
23-03 14:03:35,0,0
23-03 14:03:36,0,0
23-03 14:03:37,0,44
23-03 14:03:38,0,28
23-03 14:03:39,0,0
23-03 14:03:40,0,0
23-03 14:03:41,0,0
23-03 14:03:42,0,1778
23-03 14:03:43,0,30
23-03 14:03:44,0,0
23-03 14:03:45,0,0
23-03 14:03:46,0,0
23-03 14:03:47,0,302
23-03 14:03:48,0,38
23-03 14:03:49,0,0
23-03 14:03:50,0,88
23-03 14:03:51,0,0
23-03 14:03:52,0,0
23-03 14:03:53,0,8
23-03 14:03:54,0,0
23-03 14:03:55,0,22
23-03 14:03:56,0,0
23-03 14:03:57,0,18
23-03 14:03:58,0,526
23-03 14:03:59,0,50
23-03 14:04:00,0,0
23-03 14:04:01,0,0
23-03 14:04:02,0,0
23-03 14:04:03,0,38
23-03 14:04:04,0,20
23-03 14:04:05,0,0
23-03 14:04:06,0,0
23-03 14:04:07,0,0
23-03 14:04:08,0,96
23-03 14:04:09,0,40
23-03 14:04:10,0,0
23-03 14:04:11,0,0
23-03 14:04:12,0,0
23-03 14:04:13,0,46
23-03 14:04:14,0,40
23-03 14:04:15,0,0
23-03 14:04:16,0,0
23-03 14:04:17,0,0
23-03 14:04:18,4,1670
23-03 14:04:19,0,0
23-03 14:04:20,0,0
23-03 14:04:21,0,34
23-03 14:04:22,0,0
23-03 14:04:23,0,24
23-03 14:04:24,0,0
23-03 14:04:25,0,0
23-03 14:04:26,0,16
23-03 14:04:27,0,0
23-03 14:04:28,0,348
23-03 14:04:29,0,0
23-03 14:04:30,0,28
23-03 14:04:31,0,0
23-03 14:04:32,0,0
23-03 14:04:33,0,462
23-03 14:04:34,0,0
23-03 14:04:35,0,24
