"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dstat/aio_page_raw_lock_load_fs_int.csv --aio --page --raw --lock --load --fs --int 1 600",,,,"Date:","23 Mar 2023 14:04:41 -03"
"async","paging",,"raw","file locks",,,,"load avg",,,"filesystem",,"interrupts",,
0,0,0,0,83,12,13,82,1.390,1.100,1.090,14016,181639,0,113,0
0,0,0,0,83,12,13,82,1.390,1.100,1.090,14016,181639,0,160,0
0,0,0,0,83,12,13,82,1.390,1.100,1.090,14016,181650,0,115,0
0,0,0,0,83,12,13,82,1.390,1.100,1.090,14016,181660,0,118,0
0,0,0,0,83,12,13,82,1.390,1.100,1.090,14016,181663,0,117,0
0,0,0,0,83,12,13,82,1.440,1.120,1.100,14016,181663,0,111,0
0,0,0,0,83,12,13,82,1.440,1.120,1.100,13984,181663,0,145,0
0,0,0,0,83,12,13,82,1.440,1.120,1.100,13984,181608,0,155,0
0,0,0,0,83,12,13,82,1.440,1.120,1.100,13984,181610,0,119,0
0,0,0,0,83,12,13,82,1.440,1.120,1.100,13984,181620,0,118,0
0,0,0,0,83,12,13,82,1.400,1.120,1.100,13984,181628,0,118,0
0,0,0,0,83,12,13,82,1.400,1.120,1.100,14048,181628,0,119,0
0,0,0,0,83,12,13,82,1.400,1.120,1.100,14016,181628,0,121,0
0,0,0,0,83,12,13,82,1.400,1.120,1.100,14016,181630,0,153,0
0,0,0,0,83,12,13,82,1.400,1.120,1.100,13984,181630,0,139,0
0,0,0,0,83,12,13,82,1.290,1.100,1.090,14016,181628,0,120,0
0,0,0,0,83,12,13,82,1.290,1.100,1.090,14048,181630,0,138,0
0,0,0,0,83,12,13,82,1.290,1.100,1.090,14048,181660,0,147,0
0,0,0,0,83,12,13,82,1.290,1.100,1.090,14016,181661,0,116,0
0,0,0,0,83,12,13,82,1.290,1.100,1.090,13984,181662,0,157,0
0,0,0,0,83,12,13,82,1.270,1.100,1.090,14048,181660,0,117,0
0,0,0,0,83,12,13,82,1.270,1.100,1.090,14048,181664,0,134,0
0,0,0,0,83,12,13,82,1.270,1.100,1.090,14048,181884,0,136,0
0,0,0,0,83,12,13,82,1.270,1.100,1.090,14048,180774,0,116,0
0,0,0,0,83,12,13,82,1.270,1.100,1.090,14048,180791,0,115,0
0,0,0,0,83,12,13,82,1.250,1.090,1.090,14080,180783,0,183,0
0,0,0,0,83,12,13,82,1.250,1.090,1.090,14048,180778,0,119,0
0,0,0,0,83,12,13,82,1.250,1.090,1.090,13984,180778,0,138,0
0,0,0,0,83,12,13,82,1.250,1.090,1.090,13984,180779,0,129,0
0,0,0,0,83,12,13,82,1.250,1.090,1.090,13984,180779,0,118,0
0,0,0,0,83,12,13,82,1.710,1.190,1.120,14016,180778,0,123,0
0,0,0,0,83,12,13,82,1.710,1.190,1.120,14016,180788,0,157,0
0,0,0,0,83,12,13,82,1.710,1.190,1.120,13984,181859,0,116,0
0,0,0,0,83,12,13,82,1.710,1.190,1.120,14016,181858,0,118,0
0,0,0,0,83,12,13,82,1.710,1.190,1.120,13984,181858,0,115,0
0,0,0,0,83,12,13,82,1.570,1.170,1.110,13984,181859,0,116,0
0,0,0,0,83,12,13,82,1.570,1.170,1.110,13952,181858,0,117,0
0,0,0,0,83,12,13,82,1.570,1.170,1.110,13984,182326,0,168,0
0,0,0,0,83,12,13,82,1.570,1.170,1.110,14016,182335,0,163,0
0,0,0,0,83,12,13,82,1.570,1.170,1.110,14016,182344,0,115,0
0,0,0,0,83,12,13,82,1.440,1.150,1.110,13984,182345,0,117,0
0,0,0,0,83,12,13,82,1.440,1.150,1.110,14016,182271,0,123,0
0,0,0,0,83,12,13,82,1.440,1.150,1.110,14016,182335,0,129,0
0,0,0,0,83,12,13,82,1.440,1.150,1.110,14048,182332,0,154,0
0,0,0,0,83,12,13,82,1.440,1.150,1.110,14016,182317,0,131,0
0,0,0,0,83,12,13,82,1.330,1.130,1.100,14016,182325,0,131,0
0,0,0,0,83,12,13,82,1.330,1.130,1.100,14016,182326,0,138,0
0,0,0,0,83,12,13,82,1.330,1.130,1.100,14080,182327,0,118,0
0,0,0,0,83,12,13,82,1.330,1.130,1.100,14112,182330,0,154,0
0,0,0,0,84,12,13,83,1.330,1.130,1.100,14080,182480,0,197,0
0,0,0,0,84,12,13,83,1.300,1.130,1.100,14048,182484,0,156,0
0,0,0,0,84,12,13,83,1.300,1.130,1.100,14048,182487,0,131,0
0,0,0,0,84,12,13,83,1.300,1.130,1.100,14080,182508,0,125,0
0,0,0,0,84,12,13,83,1.300,1.130,1.100,14080,182507,0,150,0
0,0,0,0,84,12,13,83,1.300,1.130,1.100,14048,182506,0,114,0
0,0,0,0,84,12,13,83,1.440,1.160,1.110,14080,182519,0,158,0
0,0,0,0,84,12,13,83,1.440,1.160,1.110,14112,182515,0,113,0
0,0,0,0,84,12,13,83,1.440,1.160,1.110,14112,182520,0,123,0
0,0,0,0,84,12,13,83,1.440,1.160,1.110,14144,182520,0,115,0
0,0,0,0,84,12,13,83,1.440,1.160,1.110,14144,181422,0,132,0
0,0,0,0,84,12,13,83,1.320,1.140,1.100,14112,181420,0,129,0
0,0,0,0,84,12,13,83,1.320,1.140,1.100,14144,181418,0,150,0
0,0,0,0,84,12,13,83,1.320,1.140,1.100,14112,181380,0,120,0
0,0,0,0,84,12,13,83,1.320,1.140,1.100,14112,181426,0,118,0
0,0,0,0,84,12,13,83,1.320,1.140,1.100,14080,181426,0,113,0
0,0,0,0,84,12,13,83,1.220,1.120,1.100,14080,181426,0,116,0
0,0,0,0,84,12,13,83,1.220,1.120,1.100,14112,181438,0,121,0
0,0,0,0,84,12,13,83,1.220,1.120,1.100,14080,181436,0,169,0
0,0,0,0,84,12,13,83,1.220,1.120,1.100,14048,181367,0,123,0
0,0,0,0,84,12,13,83,1.220,1.120,1.100,14016,181366,0,122,0
0,0,0,0,84,12,13,83,1.120,1.100,1.090,14016,182438,0,144,0
0,0,0,0,84,12,13,83,1.120,1.100,1.090,14016,182437,0,118,0
0,0,0,0,84,12,13,83,1.120,1.100,1.090,14048,182381,0,118,0
0,0,0,0,84,12,13,83,1.120,1.100,1.090,14048,182390,0,146,0
0,0,0,0,84,12,13,83,1.120,1.100,1.090,14048,182389,0,139,0
0,0,0,0,84,12,13,83,1.110,1.100,1.090,14048,182389,0,115,0
0,0,0,0,84,12,13,83,1.110,1.100,1.090,14080,182390,0,113,0
0,0,0,0,84,12,13,83,1.110,1.100,1.090,14080,182340,0,115,0
0,0,0,0,84,12,13,83,1.110,1.100,1.090,14080,182337,0,116,0
0,0,0,0,84,12,13,83,1.110,1.100,1.090,14080,182337,0,143,0
0,0,0,0,84,12,13,83,1.020,1.080,1.080,14048,182347,0,124,0
0,0,0,0,84,12,13,83,1.020,1.080,1.080,14048,182346,0,142,0
0,0,0,0,84,12,13,83,1.020,1.080,1.080,14016,182348,0,117,0
0,0,0,0,84,12,13,83,1.020,1.080,1.080,14016,182260,0,120,0
0,0,0,0,84,12,13,83,1.020,1.080,1.080,14016,182260,0,118,0
0,0,0,0,83,12,13,82,0.940,1.070,1.080,13984,182224,0,157,0
0,0,0,0,83,12,13,82,0.940,1.070,1.080,14048,182270,0,118,0
0,0,0,0,83,12,13,82,0.940,1.070,1.080,14048,182291,0,117,0
0,0,0,0,83,12,13,82,0.940,1.070,1.080,13984,182292,0,118,0
0,0,0,0,83,12,13,82,0.940,1.070,1.080,13984,182290,0,121,0
0,0,0,0,83,12,13,82,0.860,1.050,1.070,13984,182290,0,116,0
0,0,0,0,83,12,13,82,0.860,1.050,1.070,14016,182291,0,184,0
0,0,0,0,83,12,13,82,0.860,1.050,1.070,13984,182302,0,132,0
0,0,0,0,83,12,13,82,0.860,1.050,1.070,14016,182302,0,116,0
0,0,0,0,83,12,13,82,0.860,1.050,1.070,14016,182311,0,121,0
0,0,0,0,83,12,13,82,0.790,1.030,1.070,13984,182310,0,114,0
0,0,0,0,83,12,13,82,0.790,1.030,1.070,13984,182310,0,111,0
0,0,0,0,83,12,13,82,0.790,1.030,1.070,13984,181201,0,163,0
0,0,0,0,83,12,13,82,0.790,1.030,1.070,13984,181201,0,116,0
0,0,0,0,83,12,13,82,0.790,1.030,1.070,13984,181201,0,121,0
0,0,0,0,83,12,13,82,0.970,1.060,1.080,13952,181210,0,115,0
0,0,0,0,83,12,13,82,0.970,1.060,1.080,14016,181220,0,118,0
0,0,0,0,83,12,13,82,0.970,1.060,1.080,14048,181221,0,139,0
0,0,0,0,83,12,13,82,0.970,1.060,1.080,13984,181219,0,161,0
0,0,0,0,83,12,13,82,0.970,1.060,1.080,13984,181219,0,145,0
0,0,0,0,83,12,13,82,0.970,1.060,1.080,13984,181220,0,131,0
0,0,0,0,83,12,13,82,0.970,1.060,1.080,14016,181219,0,146,0
0,0,0,0,83,12,13,82,0.970,1.060,1.080,15040,182285,0,120,0
0,0,0,0,83,12,13,82,0.970,1.060,1.080,14016,182346,0,129,0
0,0,0,0,83,12,13,82,0.970,1.060,1.080,14016,182300,0,164,0
0,0,0,0,83,12,13,82,0.980,1.060,1.080,13984,182301,0,123,0
0,0,0,0,83,12,13,82,0.980,1.060,1.080,13952,182242,0,124,0
0,0,0,0,83,12,13,82,0.980,1.060,1.080,13952,182242,0,117,0
0,0,0,0,83,12,13,82,0.980,1.060,1.080,13952,182241,0,136,0
0,0,0,0,83,12,13,82,0.980,1.060,1.080,13952,182241,0,116,0
0,0,0,0,83,12,13,82,0.980,1.060,1.080,14016,182263,0,158,0
0,0,0,0,83,12,13,82,0.980,1.060,1.080,13984,182308,0,117,0
0,0,0,0,83,12,13,82,0.980,1.060,1.080,13984,182262,0,122,0
0,0,0,0,83,12,13,82,0.980,1.060,1.080,13984,182263,0,132,0
0,0,0,0,83,12,13,82,0.980,1.060,1.080,13984,182251,0,129,0
0,0,0,0,83,12,13,82,1.060,1.070,1.080,14048,182251,0,114,0
0,0,0,0,83,12,13,82,1.060,1.070,1.080,14016,182252,0,166,0
0,0,0,0,83,12,13,82,1.060,1.070,1.080,14016,182282,0,115,0
0,0,0,0,83,12,13,82,1.060,1.070,1.080,14048,182281,0,128,0
0,0,0,0,83,12,13,82,1.060,1.070,1.080,14016,182281,0,129,0
0,0,0,0,83,12,13,82,0.970,1.060,1.080,13984,182281,0,116,0
0,0,0,0,83,12,13,82,0.970,1.060,1.080,14016,182286,0,115,0
0,0,0,0,83,12,13,82,0.970,1.060,1.080,14048,182282,0,143,0
0,0,0,0,83,12,13,82,0.970,1.060,1.080,14016,182282,0,113,0
0,0,0,0,83,12,13,82,0.970,1.060,1.080,14016,182291,0,122,0
0,0,0,0,83,12,13,82,0.980,1.060,1.080,14016,182301,0,114,0
0,0,0,0,83,12,13,82,0.980,1.060,1.080,14048,182301,0,125,0
0,0,0,0,83,12,13,82,0.980,1.060,1.080,14016,182300,0,117,0
0,0,0,0,83,12,13,82,0.980,1.060,1.080,14016,182301,0,139,0
0,0,0,0,83,12,13,82,0.980,1.060,1.080,13984,182301,0,163,0
0,0,0,0,83,12,13,82,0.900,1.040,1.070,14016,182301,0,117,0
0,0,0,0,83,12,13,82,0.900,1.040,1.070,14016,182312,0,119,0
0,0,0,0,83,12,13,82,0.900,1.040,1.070,13984,181200,0,112,0
0,0,0,0,83,12,13,82,0.900,1.040,1.070,13984,181210,0,119,0
0,0,0,0,83,12,13,82,0.900,1.040,1.070,14016,181210,0,148,0
0,0,0,0,83,12,13,82,0.990,1.050,1.070,13984,181209,0,116,0
0,0,0,0,83,12,13,82,0.990,1.050,1.070,14016,181210,0,120,0
0,0,0,0,83,12,13,82,0.990,1.050,1.070,14048,181209,0,125,0
0,0,0,0,83,12,13,82,0.990,1.050,1.070,14016,181219,0,116,0
0,0,0,0,83,12,13,82,0.990,1.050,1.070,14016,181222,0,121,0
0,0,0,0,83,12,13,82,1.390,1.140,1.100,14048,182292,0,172,0
0,0,0,0,83,12,13,82,1.390,1.140,1.100,14048,182205,0,121,0
0,0,0,0,83,12,13,82,1.390,1.140,1.100,14016,182203,0,119,0
0,0,0,0,83,12,13,82,1.390,1.140,1.100,14016,182203,0,118,0
0,0,0,0,83,12,13,82,1.390,1.140,1.100,14016,182203,0,115,0
0,0,0,0,83,12,13,82,1.280,1.120,1.100,14016,182216,0,117,0
0,0,0,0,83,12,13,82,1.280,1.120,1.100,14016,182216,0,157,0
0,0,0,0,83,12,13,82,1.280,1.120,1.100,14048,182213,0,117,0
0,0,0,0,83,12,13,82,1.280,1.120,1.100,14048,182187,0,115,0
0,0,0,0,83,12,13,82,1.280,1.120,1.100,14016,182187,0,117,0
0,0,0,0,83,12,13,82,1.420,1.150,1.110,14016,182188,0,135,0
0,0,0,0,83,12,13,82,1.420,1.150,1.110,13984,182190,0,127,0
0,0,0,0,83,12,13,82,1.420,1.150,1.110,14016,182212,0,165,0
0,0,0,0,83,12,13,82,1.420,1.150,1.110,14048,182207,0,115,0
0,0,0,0,83,12,13,82,1.420,1.150,1.110,14016,182207,0,114,0
0,0,0,0,83,12,13,82,1.300,1.130,1.100,14016,182218,0,116,0
0,0,0,0,83,12,13,82,1.300,1.130,1.100,14016,182228,0,120,0
0,0,0,0,83,12,13,82,1.300,1.130,1.100,14048,182183,0,122,0
0,0,0,0,83,12,13,82,1.300,1.130,1.100,14016,182183,0,157,0
0,0,0,0,83,12,13,82,1.300,1.130,1.100,14016,182191,0,126,0
0,0,0,0,83,12,13,82,1.280,1.130,1.100,14016,182191,0,118,0
0,0,0,0,83,12,13,82,1.280,1.130,1.100,14016,182193,0,152,0
0,0,0,0,83,12,13,82,1.280,1.130,1.100,13984,182193,0,120,0
0,0,0,0,83,12,13,82,1.280,1.130,1.100,13984,182202,0,124,0
0,0,0,0,83,12,13,82,1.280,1.130,1.100,14016,182158,0,203,0
0,0,0,0,83,12,13,82,1.180,1.110,1.090,14016,182157,0,116,0
0,0,0,0,83,12,13,82,1.180,1.110,1.090,14016,182167,0,121,0
0,0,0,0,83,12,13,82,1.180,1.110,1.090,14016,182166,0,114,0
0,0,0,0,83,12,13,82,1.180,1.110,1.090,14048,182166,0,115,0
0,0,0,0,83,12,13,82,1.180,1.110,1.090,14048,181056,0,117,0
0,0,0,0,83,12,13,82,1.080,1.090,1.090,14016,181071,0,150,0
0,0,0,0,83,12,13,82,1.080,1.090,1.090,14016,181071,0,121,0
0,0,0,0,83,12,13,82,1.080,1.090,1.090,14080,181025,0,136,0
0,0,0,0,83,12,13,82,1.080,1.090,1.090,14048,181035,0,126,0
0,0,0,0,83,12,13,82,1.080,1.090,1.090,13984,181037,0,113,0
0,0,0,0,83,12,13,82,1.150,1.100,1.090,13984,181036,0,118,0
0,0,0,0,83,12,13,82,1.150,1.100,1.090,13984,180976,0,148,0
0,0,0,0,83,12,13,82,1.150,1.100,1.090,13984,180937,0,117,0
0,0,0,0,83,12,13,82,1.150,1.100,1.090,14048,182009,0,150,0
0,0,0,0,83,12,13,82,1.150,1.100,1.090,14048,182008,0,120,0
0,0,0,0,83,12,13,82,1.140,1.100,1.090,14048,182020,0,114,0
0,0,0,0,83,12,13,82,1.140,1.100,1.090,14048,182019,0,118,0
0,0,0,0,83,12,13,82,1.140,1.100,1.090,14048,182018,0,166,0
0,0,0,0,83,12,13,82,1.140,1.100,1.090,14016,182018,0,135,0
0,0,0,0,83,12,13,82,1.140,1.100,1.090,14016,182019,0,129,0
0,0,0,0,83,12,13,82,1.050,1.080,1.080,13984,182031,0,128,0
0,0,0,0,83,12,13,82,1.050,1.080,1.080,13984,182030,0,121,0
0,0,0,0,83,12,13,82,1.050,1.080,1.080,14016,182002,0,119,0
0,0,0,0,83,12,13,82,1.050,1.080,1.080,13984,182002,0,156,0
0,0,0,0,83,12,13,82,1.050,1.080,1.080,13984,182002,0,129,0
0,0,0,0,83,12,13,82,0.970,1.070,1.080,13984,182003,0,117,0
0,0,0,0,83,12,13,82,0.970,1.070,1.080,13984,182006,0,140,0
0,0,0,0,83,12,13,82,0.970,1.070,1.080,14016,182004,0,116,0
0,0,0,0,83,12,13,82,0.970,1.070,1.080,14016,181988,0,128,0
0,0,0,0,83,12,13,82,0.970,1.070,1.080,14016,181999,0,165,0
0,0,0,0,83,12,13,82,0.970,1.060,1.080,13984,182000,0,120,0
0,0,0,0,83,12,13,82,0.970,1.060,1.080,13984,181999,0,115,0
0,0,0,0,83,12,13,82,0.970,1.060,1.080,13984,181998,0,115,0
0,0,0,0,83,12,13,82,0.970,1.060,1.080,14016,181998,0,126,0
0,0,0,0,83,12,13,82,0.970,1.060,1.080,14016,181997,0,117,0
0,0,0,0,83,12,13,82,0.970,1.060,1.080,14016,182008,0,158,0
0,0,0,0,83,12,13,82,0.970,1.060,1.080,13984,181982,0,121,0
0,0,0,0,83,12,13,82,0.970,1.060,1.080,14048,181981,0,125,0
0,0,0,0,83,12,13,82,0.970,1.060,1.080,14016,181983,0,114,0
0,0,0,0,83,12,13,82,0.970,1.060,1.080,14016,181983,0,141,0
0,0,0,0,83,12,13,82,0.970,1.060,1.080,14048,180874,0,119,0
0,0,0,0,83,12,13,82,0.970,1.060,1.080,14016,180873,0,141,0
0,0,0,0,83,12,13,82,0.970,1.060,1.080,13952,180870,0,116,0
0,0,0,0,83,12,13,82,0.970,1.060,1.080,13984,180846,0,132,0
0,0,0,0,83,12,13,82,0.970,1.060,1.080,14016,180847,0,111,0
0,0,0,0,83,12,13,82,1.060,1.080,1.080,14016,180846,0,116,0
0,0,0,0,83,12,13,82,1.060,1.080,1.080,13984,180846,0,118,0
0,0,0,0,83,12,13,82,1.060,1.080,1.080,13952,180817,0,171,0
0,0,0,0,83,12,13,82,1.060,1.080,1.080,13984,180817,0,117,0
0,0,0,0,83,12,13,82,1.060,1.080,1.080,13952,180818,0,120,0
0,0,0,0,83,12,13,82,0.970,1.060,1.080,15008,181871,0,138,0
0,0,0,0,83,12,13,82,0.970,1.060,1.080,13952,181862,0,116,0
0,0,0,0,83,12,13,82,0.970,1.060,1.080,13984,181866,0,120,0
0,0,0,0,83,12,13,82,0.970,1.060,1.080,13984,181861,0,139,0
0,0,0,0,83,12,13,82,0.970,1.060,1.080,13984,181801,0,131,0
0,0,0,0,83,12,13,82,0.890,1.040,1.070,13984,181803,0,112,0
0,0,0,0,83,12,13,82,0.890,1.040,1.070,13984,181801,0,120,0
0,0,0,0,83,12,13,82,0.890,1.040,1.070,13952,181821,0,128,0
0,0,0,0,83,12,13,82,0.890,1.040,1.070,14016,181796,0,117,0
0,0,0,0,83,12,13,82,0.890,1.040,1.070,14016,181796,0,161,0
0,0,0,0,83,12,13,82,0.820,1.020,1.060,14016,181798,0,156,0
0,0,0,0,83,12,13,82,0.820,1.020,1.060,14016,181798,0,142,0
0,0,0,0,83,12,13,82,0.820,1.020,1.060,14048,181798,0,137,0
0,0,0,0,83,12,13,82,0.820,1.020,1.060,14016,181796,0,113,0
0,0,0,0,83,12,13,82,0.820,1.020,1.060,14016,181805,0,115,0
0,0,0,0,83,12,13,82,0.760,1.010,1.060,14048,181763,0,159,0
0,0,0,0,83,12,13,82,0.760,1.010,1.060,14016,181773,0,117,0
0,0,0,0,83,12,13,82,0.760,1.010,1.060,14016,181773,0,118,0
0,0,0,0,83,12,13,82,0.760,1.010,1.060,14016,181770,0,120,0
0,0,0,0,83,12,13,82,0.760,1.010,1.060,14016,181770,0,117,0
0,0,0,0,83,12,13,82,0.700,0.990,1.050,14016,181770,0,120,0
0,0,0,0,83,12,13,82,0.700,0.990,1.050,13984,181780,0,182,0
0,0,0,0,83,12,13,82,0.700,0.990,1.050,13984,181780,0,127,0
0,0,0,0,83,12,13,82,0.700,0.990,1.050,14016,181787,0,140,0
0,0,0,0,83,12,13,82,0.700,0.990,1.050,14016,181741,0,114,0
0,0,0,0,83,12,13,82,0.720,0.990,1.050,14016,181742,0,120,0
0,0,0,0,83,12,13,82,0.720,0.990,1.050,13984,181741,0,118,0
0,0,0,0,83,12,13,82,0.720,0.990,1.050,14016,181742,0,151,0
0,0,0,0,83,12,13,82,0.720,0.990,1.050,13984,180645,0,116,0
0,0,0,0,83,12,13,82,0.720,0.990,1.050,13984,180642,0,119,0
0,0,0,0,83,12,13,82,0.660,0.970,1.050,13984,180642,0,118,0
0,0,0,0,83,12,13,82,0.660,0.970,1.050,14016,180606,0,122,0
0,0,0,0,83,12,13,82,0.660,0.970,1.050,13984,180606,0,144,0
0,0,0,0,83,12,13,82,0.660,0.970,1.050,13984,180605,0,159,0
0,0,0,0,83,12,13,82,0.660,0.970,1.050,13984,180606,0,137,0
0,0,0,0,83,12,13,82,0.690,0.970,1.050,13984,180617,0,115,0
0,0,0,0,83,12,13,82,0.690,0.970,1.050,14016,180615,0,122,0
0,0,0,0,83,12,13,82,0.690,0.970,1.050,14016,180615,0,118,0
0,0,0,0,83,12,13,82,0.690,0.970,1.050,14048,181620,0,114,0
0,0,0,0,83,12,13,82,0.690,0.970,1.050,14016,181626,0,152,0
0,0,0,0,83,12,13,82,0.630,0.960,1.040,14016,181627,0,119,0
0,0,0,0,83,12,13,82,0.630,0.960,1.040,14048,181626,0,120,0
0,0,0,0,83,12,13,82,0.630,0.960,1.040,14048,181655,0,117,0
0,0,0,0,83,12,13,82,0.630,0.960,1.040,14016,181651,0,141,0
0,0,0,0,83,12,13,82,0.630,0.960,1.040,13984,181646,0,125,0
0,0,0,0,83,12,13,82,0.580,0.940,1.030,14016,181648,0,158,0
0,0,0,0,83,12,13,82,0.580,0.940,1.030,13984,181630,0,119,0
0,0,0,0,83,12,13,82,0.580,0.940,1.030,14016,181627,0,126,0
0,0,0,0,83,12,13,82,0.580,0.940,1.030,13984,181625,0,115,0
0,0,0,0,83,12,13,82,0.580,0.940,1.030,14016,181635,0,118,0
0,0,0,0,83,12,13,82,0.620,0.940,1.030,14016,181636,0,120,0
0,0,0,0,83,12,13,82,0.620,0.940,1.030,13984,181636,0,167,0
0,0,0,0,83,12,13,82,0.620,0.940,1.030,13984,181635,0,117,0
0,0,0,0,83,12,13,82,0.620,0.940,1.030,14016,181609,0,132,0
0,0,0,0,83,12,13,82,0.620,0.940,1.030,14016,181609,0,115,0
0,0,0,0,83,12,13,82,0.570,0.930,1.030,14048,181610,0,123,0
0,0,0,0,83,12,13,82,0.570,0.930,1.030,14048,181619,0,117,0
0,0,0,0,83,12,13,82,0.570,0.930,1.030,14016,181621,0,165,0
0,0,0,0,83,12,13,82,0.570,0.930,1.030,14016,181619,0,118,0
0,0,0,0,83,12,13,82,0.570,0.930,1.030,14016,181621,0,118,0
0,0,0,0,83,12,13,82,0.520,0.910,1.020,14016,181621,0,142,0
0,0,0,0,83,12,13,82,0.520,0.910,1.020,14048,181634,0,116,0
0,0,0,0,83,12,13,82,0.520,0.910,1.020,14048,181585,0,120,0
0,0,0,0,83,12,13,82,0.520,0.910,1.020,14016,181594,0,162,0
0,0,0,0,83,12,13,82,0.520,0.910,1.020,14016,181595,0,127,0
0,0,0,0,83,12,13,82,0.560,0.910,1.020,13984,181596,0,144,0
0,0,0,0,83,12,13,82,0.560,0.910,1.020,13952,181595,0,130,0
0,0,0,0,83,12,13,82,0.560,0.910,1.020,13952,181595,0,119,0
0,0,0,0,83,12,13,82,0.560,0.910,1.020,13984,180449,0,114,0
0,0,0,0,83,12,13,82,0.560,0.910,1.020,13984,180448,0,153,0
0,0,0,0,83,12,13,82,0.520,0.900,1.020,13984,180459,0,129,0
0,0,0,0,83,12,13,82,0.520,0.900,1.020,14016,180459,0,138,0
0,0,0,0,83,12,13,82,0.520,0.900,1.020,14016,180458,0,140,0
0,0,0,0,83,12,13,82,0.520,0.900,1.020,13984,180457,0,123,0
0,0,0,0,83,12,13,82,0.520,0.900,1.020,13952,180399,0,114,0
0,0,0,0,83,12,13,82,0.710,0.930,1.030,13984,180401,0,156,0
0,0,0,0,83,12,13,82,0.710,0.930,1.030,13984,181435,0,139,0
0,0,0,0,83,12,13,82,0.710,0.930,1.030,14016,181457,0,117,0
0,0,0,0,83,12,13,82,0.710,0.930,1.030,14016,181454,0,115,0
0,0,0,0,83,12,13,82,0.710,0.930,1.030,14016,181456,0,121,0
0,0,0,0,83,12,13,82,0.660,0.920,1.020,14016,181456,0,125,0
0,0,0,0,83,12,13,82,0.660,0.920,1.020,14016,181456,0,164,0
0,0,0,0,83,12,13,82,0.660,0.920,1.020,13984,181452,0,119,0
0,0,0,0,83,12,13,82,0.660,0.920,1.020,13984,181425,0,118,0
0,0,0,0,83,12,13,82,0.660,0.920,1.020,13984,181439,0,123,0
0,0,0,0,83,12,13,82,0.600,0.900,1.020,13952,181440,0,123,0
0,0,0,0,83,12,13,82,0.600,0.900,1.020,13952,181440,0,145,0
0,0,0,0,83,12,13,82,0.600,0.900,1.020,13952,181440,0,177,0
0,0,0,0,83,12,13,82,0.600,0.900,1.020,13920,181437,0,121,0
0,0,0,0,83,12,13,82,0.600,0.900,1.020,13952,181438,0,119,0
