"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dstat/load_lock_tcp.csv --load --lock --tcp 1 600",,,,"Date:","22 Mar 2023 22:13:13 -03"
"load avg",,,"file locks",,,,"tcp sockets",,,,
"1m","5m","15m","pos","lck","rea","wri","lis","act","syn","tim","clo"
0.520,1.910,2.810,56,12,10,58,7,10,0,7,2
0.520,1.910,2.810,56,12,10,58,7,10,0,7,2
0.520,1.910,2.810,56,12,10,58,7,10,0,7,2
0.520,1.910,2.810,56,12,10,58,7,10,0,6,2
0.560,1.900,2.800,56,12,10,58,7,10,0,6,2
0.560,1.900,2.800,56,12,10,58,7,10,0,6,2
0.560,1.900,2.800,56,12,10,58,7,10,0,6,2
0.560,1.900,2.800,56,12,10,58,7,10,0,6,2
0.560,1.900,2.800,56,12,10,58,7,10,0,6,2
0.600,1.880,2.790,56,12,10,58,7,10,0,6,2
0.600,1.880,2.790,56,12,10,58,7,10,0,6,2
0.600,1.880,2.790,56,12,10,58,7,10,0,7,2
0.600,1.880,2.790,56,12,10,58,7,10,0,7,2
0.600,1.880,2.790,56,12,10,58,7,10,0,7,2
0.630,1.870,2.780,56,12,10,58,7,10,0,7,2
0.630,1.870,2.780,56,12,10,58,7,10,0,6,2
0.630,1.870,2.780,56,12,10,58,7,10,0,6,2
0.630,1.870,2.780,56,12,10,58,7,10,0,6,2
0.630,1.870,2.780,56,12,10,58,7,10,0,6,2
0.660,1.850,2.770,56,12,10,58,7,10,0,6,2
0.660,1.850,2.770,56,12,10,58,7,10,0,6,2
0.660,1.850,2.770,56,12,10,58,7,10,0,6,2
0.660,1.850,2.770,56,12,10,58,7,10,0,7,2
0.660,1.850,2.770,56,12,10,58,7,10,0,7,2
0.690,1.840,2.760,56,12,10,58,7,10,0,7,2
0.690,1.840,2.760,56,12,10,58,7,10,0,7,2
0.690,1.840,2.760,56,12,10,58,7,10,0,7,2
0.690,1.840,2.760,56,12,10,58,7,10,0,7,2
0.690,1.840,2.760,56,12,10,58,7,10,0,6,2
0.790,1.840,2.750,56,12,10,58,7,10,0,6,2
0.790,1.840,2.750,56,12,10,58,7,10,0,6,2
0.790,1.840,2.750,56,12,10,58,7,10,0,6,2
0.790,1.840,2.750,56,12,10,58,7,10,0,6,2
0.790,1.840,2.750,56,12,10,58,7,10,0,7,2
0.810,1.830,2.740,56,12,10,58,7,10,0,7,2
0.810,1.830,2.740,56,12,10,58,7,10,0,7,2
0.810,1.830,2.740,56,12,10,58,7,10,0,7,2
0.810,1.830,2.740,56,12,10,58,7,10,0,7,2
0.810,1.830,2.740,56,12,10,58,7,10,0,6,2
0.740,1.800,2.730,56,12,10,58,7,10,0,6,2
0.740,1.800,2.730,56,12,10,58,7,10,0,6,2
0.740,1.800,2.730,56,12,10,58,7,10,0,6,2
0.740,1.800,2.730,56,12,10,58,7,10,0,6,2
0.740,1.800,2.730,56,12,10,58,7,10,0,6,2
0.680,1.770,2.710,56,12,10,58,7,10,0,7,2
0.680,1.770,2.710,56,12,10,58,7,10,0,7,2
0.680,1.770,2.710,56,12,10,58,7,10,0,7,2
0.680,1.770,2.710,56,12,10,58,7,10,0,7,2
0.680,1.770,2.710,56,12,10,58,7,10,0,6,2
0.630,1.740,2.700,56,12,10,58,7,10,0,6,2
0.630,1.740,2.700,56,12,10,58,7,10,0,6,2
0.630,1.740,2.700,56,12,10,58,7,10,0,6,2
0.630,1.740,2.700,56,12,10,58,7,10,0,6,2
0.630,1.740,2.700,56,12,10,58,7,10,0,6,2
0.580,1.710,2.680,56,12,10,58,7,10,0,6,2
0.580,1.710,2.680,56,12,10,58,7,10,0,7,2
0.580,1.710,2.680,56,12,10,58,7,10,0,7,2
0.580,1.710,2.680,56,12,10,58,7,10,0,7,2
0.580,1.710,2.680,56,12,10,58,7,10,0,7,2
0.610,1.700,2.670,56,12,10,58,7,10,0,7,2
0.610,1.700,2.670,56,12,10,58,7,10,0,6,2
0.610,1.700,2.670,56,12,10,58,7,10,0,6,3
0.610,1.700,2.670,56,12,10,58,7,10,0,6,2
0.610,1.700,2.670,56,12,10,58,7,10,0,6,2
0.560,1.670,2.660,56,12,10,58,7,10,0,6,2
0.560,1.670,2.660,56,12,10,58,7,10,0,6,2
0.560,1.670,2.660,56,12,10,58,7,10,0,7,2
0.560,1.670,2.660,56,12,10,58,7,10,0,7,2
0.560,1.670,2.660,56,12,10,58,7,10,0,7,2
0.520,1.640,2.640,56,12,10,58,7,10,0,7,2
0.520,1.640,2.640,56,12,10,58,7,10,0,7,2
0.520,1.640,2.640,56,12,10,58,7,10,0,7,2
0.520,1.640,2.640,56,12,10,58,7,10,0,7,2
0.520,1.640,2.640,56,12,10,58,7,10,0,6,2
0.480,1.610,2.630,56,12,10,58,7,10,0,6,2
0.480,1.610,2.630,56,12,10,58,7,10,0,6,2
0.480,1.610,2.630,56,12,10,58,7,10,0,6,2
0.480,1.610,2.630,56,12,10,58,7,10,0,7,2
0.480,1.610,2.630,56,12,10,58,7,10,0,7,2
0.440,1.580,2.620,56,12,10,58,7,10,0,7,2
0.440,1.580,2.620,56,12,10,58,7,10,0,7,2
0.440,1.580,2.620,56,12,10,58,7,10,0,7,2
0.440,1.580,2.620,56,12,10,58,7,12,0,7,1
0.440,1.580,2.620,56,12,10,58,7,12,0,6,1
0.480,1.580,2.610,56,12,10,58,7,12,0,6,1
0.480,1.580,2.610,56,12,10,58,7,12,0,6,1
0.480,1.580,2.610,56,12,10,58,7,12,0,6,1
0.480,1.580,2.610,56,12,10,58,7,12,0,6,1
0.480,1.580,2.610,56,12,10,58,7,12,0,7,1
0.440,1.550,2.590,56,12,10,58,7,12,0,7,1
0.440,1.550,2.590,56,12,10,58,7,12,0,7,1
0.440,1.550,2.590,56,12,10,58,7,12,0,7,1
0.440,1.550,2.590,56,12,10,58,7,12,0,7,1
0.440,1.550,2.590,56,12,10,58,7,12,0,6,1
0.410,1.520,2.580,56,12,10,58,7,12,0,6,1
0.410,1.520,2.580,56,12,10,58,7,12,0,6,1
0.410,1.520,2.580,56,12,10,58,7,12,0,6,1
0.410,1.520,2.580,56,12,10,58,7,12,0,6,1
0.410,1.520,2.580,56,12,10,58,7,12,0,6,1
0.380,1.500,2.560,56,12,10,58,7,12,0,7,1
0.380,1.500,2.560,56,12,10,58,7,12,0,7,1
0.380,1.500,2.560,56,12,10,58,7,12,0,7,1
0.380,1.500,2.560,56,12,10,58,7,12,0,7,1
0.380,1.500,2.560,56,12,10,58,7,12,0,7,1
0.350,1.470,2.550,56,12,10,58,7,12,0,7,1
0.350,1.470,2.550,56,12,10,58,7,12,0,6,1
0.350,1.470,2.550,56,12,10,58,7,12,0,6,1
0.350,1.470,2.550,56,12,10,58,7,12,0,6,1
0.350,1.470,2.550,56,12,10,58,7,12,0,6,1
0.320,1.450,2.540,56,12,10,58,7,12,0,6,1
0.320,1.450,2.540,56,12,10,58,7,12,0,7,1
0.320,1.450,2.540,56,12,10,58,7,12,0,7,1
0.320,1.450,2.540,56,12,10,58,7,12,0,7,1
0.320,1.450,2.540,56,12,10,58,7,12,0,7,1
0.290,1.420,2.520,56,12,10,58,7,12,0,7,1
0.290,1.420,2.520,56,12,10,58,7,12,0,7,1
0.290,1.420,2.520,56,12,10,58,7,12,0,6,1
0.290,1.420,2.520,56,12,10,58,7,12,0,6,1
0.290,1.420,2.520,56,12,10,58,7,12,0,6,1
0.270,1.400,2.510,56,12,10,58,7,12,0,6,1
0.270,1.400,2.510,56,12,10,58,7,12,0,6,1
0.270,1.400,2.510,56,12,10,58,7,12,0,7,1
0.270,1.400,2.510,56,12,10,58,7,12,0,7,1
0.270,1.400,2.510,57,12,10,59,7,12,0,8,1
0.250,1.380,2.500,57,12,10,59,7,12,0,8,1
0.250,1.380,2.500,57,12,10,59,7,12,0,8,1
0.250,1.380,2.500,57,12,10,59,7,12,0,8,1
0.250,1.380,2.500,57,12,10,59,7,12,0,8,1
0.250,1.380,2.500,57,12,10,59,7,12,0,7,1
0.230,1.350,2.480,57,12,10,59,7,12,0,7,1
0.230,1.350,2.480,57,12,10,59,7,12,0,7,1
0.230,1.350,2.480,57,12,10,59,7,12,0,7,1
0.230,1.350,2.480,57,12,10,59,7,12,0,8,1
0.230,1.350,2.480,57,12,10,59,7,12,0,8,1
0.210,1.330,2.470,57,12,10,59,7,12,0,8,1
0.210,1.330,2.470,57,12,10,59,7,12,0,8,1
0.210,1.330,2.470,57,12,10,59,7,12,0,8,1
0.210,1.330,2.470,57,12,10,59,7,12,0,8,1
0.210,1.330,2.470,57,12,10,59,7,12,0,7,1
0.190,1.310,2.450,57,12,10,59,7,12,0,7,1
0.190,1.310,2.450,57,12,10,59,7,12,0,7,1
0.190,1.310,2.450,57,12,10,59,7,12,0,7,1
0.190,1.310,2.450,57,12,10,59,7,11,1,7,2
0.190,1.310,2.450,57,12,10,59,7,12,0,8,1
0.180,1.290,2.440,57,12,10,59,7,12,0,8,1
0.180,1.290,2.440,57,12,10,59,7,12,0,8,1
0.180,1.290,2.440,57,12,10,59,7,12,0,8,1
0.180,1.290,2.440,57,12,10,59,7,12,0,8,1
0.180,1.290,2.440,57,12,10,59,7,12,0,7,1
0.160,1.260,2.430,57,12,10,59,7,12,0,7,1
0.160,1.260,2.430,57,12,10,59,7,12,0,7,1
0.160,1.260,2.430,57,12,10,59,7,12,0,7,1
0.160,1.260,2.430,57,12,10,59,7,12,0,7,1
0.160,1.260,2.430,57,12,10,59,7,12,0,7,1
0.150,1.240,2.410,57,12,10,59,7,12,0,8,1
0.150,1.240,2.410,57,12,10,59,7,12,0,8,1
0.150,1.240,2.410,57,12,10,59,7,12,0,8,1
0.150,1.240,2.410,57,12,10,59,7,12,0,8,1
0.150,1.240,2.410,57,12,10,59,7,12,0,8,1
0.140,1.220,2.400,56,12,10,58,7,12,0,8,1
0.140,1.220,2.400,56,12,10,58,7,12,0,8,1
0.140,1.220,2.400,56,12,10,58,7,12,0,7,1
0.140,1.220,2.400,56,12,10,58,7,12,0,7,1
0.140,1.220,2.400,56,12,10,58,7,12,0,7,1
0.120,1.200,2.390,56,12,10,58,7,12,0,7,1
0.120,1.200,2.390,56,12,10,58,7,12,0,8,2
0.120,1.200,2.390,56,12,10,58,7,12,0,9,1
0.120,1.200,2.390,56,12,10,58,7,12,0,9,1
0.120,1.200,2.390,56,12,10,58,7,12,0,9,1
0.110,1.180,2.370,56,12,10,58,7,12,0,8,1
0.110,1.180,2.370,56,12,10,58,7,12,0,9,1
0.110,1.180,2.370,56,12,10,58,7,12,0,8,1
0.110,1.180,2.370,56,12,10,58,7,12,0,8,1
0.110,1.180,2.370,56,12,10,58,7,12,0,8,1
0.100,1.160,2.360,56,12,10,58,7,12,0,8,1
0.100,1.160,2.360,56,12,10,58,7,11,1,8,2
0.100,1.160,2.360,56,12,10,58,7,12,0,9,1
0.100,1.160,2.360,56,12,10,58,7,12,0,9,1
0.100,1.160,2.360,56,12,10,58,7,12,0,9,1
0.100,1.140,2.350,56,12,10,58,7,12,0,9,1
0.100,1.140,2.350,56,12,10,58,7,12,0,9,1
0.100,1.140,2.350,56,12,10,58,7,12,0,8,1
0.100,1.140,2.350,56,12,10,58,7,12,0,8,1
0.100,1.140,2.350,56,12,10,58,7,12,0,7,1
0.090,1.120,2.340,56,12,10,58,7,12,0,7,1
0.090,1.120,2.340,56,12,10,58,7,12,0,7,1
0.090,1.120,2.340,56,12,10,58,7,12,0,7,1
0.090,1.120,2.340,56,12,10,58,7,12,0,7,1
0.090,1.120,2.340,56,12,10,58,7,12,0,8,1
0.080,1.100,2.320,56,12,10,58,7,10,0,8,2
0.080,1.100,2.320,56,12,10,58,7,10,0,8,2
0.080,1.100,2.320,56,12,10,58,7,10,0,8,2
0.080,1.100,2.320,56,12,10,58,7,10,0,8,2
0.080,1.100,2.320,56,12,10,58,7,10,0,7,2
0.070,1.090,2.310,56,12,10,58,7,10,0,7,2
0.070,1.090,2.310,56,12,10,58,7,10,0,7,2
0.070,1.090,2.310,56,12,10,58,7,10,0,7,2
0.070,1.090,2.310,56,12,10,58,7,10,0,7,2
0.070,1.090,2.310,56,12,10,58,7,10,0,7,2
0.070,1.070,2.300,56,12,10,58,7,10,0,8,2
0.070,1.070,2.300,56,12,10,58,7,10,0,8,2
0.070,1.070,2.300,56,12,10,58,7,10,0,8,2
0.070,1.070,2.300,56,12,10,58,7,10,0,8,2
0.070,1.070,2.300,56,12,10,58,7,10,0,8,2
0.060,1.050,2.290,56,12,10,58,7,10,0,7,2
0.060,1.050,2.290,56,12,10,58,7,10,0,7,2
0.060,1.050,2.290,56,12,10,58,7,10,0,7,2
0.060,1.050,2.290,56,12,10,58,7,10,0,7,2
0.060,1.050,2.290,56,12,10,58,7,10,0,7,2
0.060,1.030,2.270,56,12,10,58,7,10,0,7,2
0.060,1.030,2.270,56,12,10,58,7,10,0,8,2
0.060,1.030,2.270,56,12,10,58,7,10,0,8,2
0.060,1.030,2.270,56,12,10,58,7,10,0,8,2
0.060,1.030,2.270,56,12,10,58,7,10,0,8,2
0.050,1.010,2.260,56,12,10,58,7,10,0,7,2
0.050,1.010,2.260,56,12,10,58,7,12,0,7,1
0.050,1.010,2.260,56,12,10,58,7,12,0,7,1
0.050,1.010,2.260,56,12,10,58,7,12,0,7,1
0.050,1.010,2.260,56,12,10,58,7,12,0,7,1
0.050,1,2.250,56,12,10,58,7,12,0,7,1
0.050,1,2.250,56,12,10,58,7,12,0,7,1
0.050,1,2.250,56,12,10,58,7,12,0,8,1
0.050,1,2.250,56,12,10,58,7,11,0,8,2
0.050,1,2.250,56,12,10,58,7,11,0,8,2
0.040,0.980,2.240,56,12,10,58,7,11,0,8,2
0.040,0.980,2.240,56,12,10,58,7,11,0,8,2
0.040,0.980,2.240,56,12,10,58,7,11,0,6,2
0.040,0.980,2.240,56,12,10,58,7,11,0,6,2
0.040,0.980,2.240,56,12,10,58,7,11,1,6,2
0.040,0.960,2.220,56,12,10,58,7,11,1,6,2
0.040,0.960,2.220,56,12,10,58,7,11,1,5,2
0.040,0.960,2.220,56,12,10,58,7,11,1,5,2
0.040,0.960,2.220,56,12,10,58,7,13,1,7,1
0.040,0.960,2.220,56,12,10,58,7,13,1,7,1
0.040,0.950,2.210,56,12,10,58,7,13,1,7,1
0.040,0.950,2.210,56,12,10,58,7,13,1,7,1
0.040,0.950,2.210,56,12,10,58,7,13,1,6,1
0.040,0.950,2.210,56,12,10,58,7,13,1,6,1
0.040,0.950,2.210,56,12,10,58,7,13,1,6,1
0.030,0.930,2.200,56,12,10,58,7,13,1,6,1
0.030,0.930,2.200,56,12,10,58,7,13,1,6,1
0.030,0.930,2.200,56,12,10,58,7,13,1,6,1
0.030,0.930,2.200,56,12,10,58,7,12,2,6,2
0.030,0.930,2.200,56,12,10,58,7,13,1,7,1
0.110,0.930,2.190,56,12,10,58,7,13,1,7,1
0.110,0.930,2.190,56,12,10,58,7,13,1,7,1
0.110,0.930,2.190,56,12,10,58,7,13,1,7,1
0.110,0.930,2.190,56,12,10,58,7,13,1,7,1
0.110,0.930,2.190,56,12,10,58,7,13,0,7,1
0.100,0.920,2.180,56,12,10,58,7,13,0,6,1
0.100,0.920,2.180,56,12,10,58,7,13,0,6,1
0.100,0.920,2.180,56,12,10,58,7,13,0,6,1
0.100,0.920,2.180,56,12,10,58,7,12,1,6,2
0.100,0.920,2.180,56,12,10,58,7,12,1,8,1
0.090,0.900,2.170,56,12,10,58,7,13,0,8,1
0.090,0.900,2.170,56,12,10,58,7,13,0,8,1
0.090,0.900,2.170,56,12,10,58,7,13,0,8,1
0.090,0.900,2.170,56,12,10,58,7,13,0,8,1
0.090,0.900,2.170,56,12,10,58,7,13,0,8,1
0.090,0.890,2.160,56,12,10,58,7,13,0,8,1
0.090,0.890,2.160,56,12,10,58,7,13,0,8,1
0.090,0.890,2.160,56,12,10,58,7,14,0,7,1
0.090,0.890,2.160,56,12,10,58,7,13,0,8,1
0.090,0.890,2.160,56,12,10,58,7,13,0,8,1
0.080,0.870,2.140,56,12,10,58,7,13,0,9,1
0.080,0.870,2.140,56,12,10,58,7,13,0,9,1
0.080,0.870,2.140,56,12,10,58,7,13,0,9,1
0.080,0.870,2.140,56,12,10,58,7,13,0,9,1
0.080,0.870,2.140,56,12,10,58,7,13,0,9,1
0.070,0.860,2.130,56,12,10,58,7,13,0,9,1
0.070,0.860,2.130,56,12,10,58,7,13,0,9,1
0.070,0.860,2.130,56,12,10,58,7,13,0,8,1
0.070,0.860,2.130,56,12,10,58,7,13,0,8,1
0.070,0.860,2.130,56,12,10,58,7,13,0,8,1
0.070,0.840,2.120,56,12,10,58,7,13,0,8,1
0.070,0.840,2.120,56,12,10,58,7,13,0,9,1
0.070,0.840,2.120,56,12,10,58,7,13,0,9,1
0.070,0.840,2.120,56,12,10,58,7,13,0,9,1
0.070,0.840,2.120,56,12,10,58,7,13,0,9,1
0.060,0.830,2.110,56,12,10,58,7,13,0,9,1
0.060,0.830,2.110,56,12,10,58,7,12,0,9,1
0.060,0.830,2.110,56,12,10,58,7,11,0,9,2
0.060,0.830,2.110,56,12,10,58,7,11,0,8,2
0.060,0.830,2.110,56,12,10,58,7,11,0,8,2
0.060,0.810,2.100,56,12,10,58,7,11,0,8,2
0.060,0.810,2.100,56,12,10,58,7,11,0,8,2
0.060,0.810,2.100,56,12,10,58,7,11,0,9,2
0.060,0.810,2.100,56,12,10,58,7,11,0,9,2
0.060,0.810,2.100,56,12,10,58,7,11,0,9,2
0.050,0.800,2.090,56,12,10,58,7,11,0,9,2
0.050,0.800,2.090,56,12,10,58,7,11,0,9,2
0.050,0.800,2.090,56,12,10,58,7,11,0,9,2
0.050,0.800,2.090,56,12,10,58,7,11,0,8,2
0.050,0.800,2.090,56,12,10,58,7,11,0,9,2
0.050,0.790,2.080,56,12,10,58,7,11,0,8,2
0.050,0.790,2.080,56,12,10,58,7,11,0,8,2
0.050,0.790,2.080,56,12,10,58,7,11,0,8,2
0.050,0.790,2.080,56,12,10,58,7,11,0,9,2
0.050,0.790,2.080,56,12,10,58,7,11,0,9,2
0.040,0.770,2.060,56,12,10,58,7,11,0,9,2
0.040,0.770,2.060,56,12,10,58,7,11,0,9,2
0.040,0.770,2.060,56,12,10,58,7,11,0,9,2
0.040,0.770,2.060,56,12,10,58,7,11,0,9,2
0.040,0.770,2.060,56,12,10,58,7,11,0,9,2
0.040,0.760,2.050,56,12,10,58,7,11,0,8,2
0.040,0.760,2.050,56,12,10,58,7,11,0,8,2
0.040,0.760,2.050,56,12,10,58,7,11,0,8,2
0.040,0.760,2.050,56,12,10,58,7,11,0,8,2
0.040,0.760,2.050,56,12,10,58,7,11,0,9,2
0.040,0.750,2.040,56,12,10,58,7,11,0,9,2
0.040,0.750,2.040,56,12,10,58,7,11,0,9,2
0.040,0.750,2.040,56,12,10,58,7,11,0,9,2
0.040,0.750,2.040,56,12,10,58,7,11,0,9,1
0.040,0.750,2.040,56,12,10,58,7,11,0,9,1
0.030,0.730,2.030,56,12,10,58,7,11,0,7,1
0.030,0.730,2.030,56,12,10,58,7,11,0,7,1
0.030,0.730,2.030,56,12,10,58,7,11,0,7,1
0.030,0.730,2.030,56,12,10,58,7,11,0,7,1
0.030,0.730,2.030,56,12,10,58,7,9,1,7,2
0.030,0.720,2.020,56,12,10,58,7,9,0,7,2
0.030,0.720,2.020,56,12,10,58,7,9,0,8,2
0.030,0.720,2.020,56,12,10,58,7,9,0,8,2
0.030,0.720,2.020,56,12,10,58,7,9,0,7,2
0.030,0.720,2.020,56,12,10,58,7,9,0,7,2
0.030,0.710,2.010,56,12,10,58,7,9,0,6,2
0.030,0.710,2.010,56,12,10,58,7,9,0,6,2
0.030,0.710,2.010,56,12,10,58,7,9,0,6,2
0.030,0.710,2.010,56,12,10,58,7,9,0,6,2
0.030,0.710,2.010,56,12,10,58,7,9,0,6,2
0.020,0.700,2,56,12,10,58,7,9,0,6,2
0.020,0.700,2,56,12,10,58,7,9,0,6,2
0.020,0.700,2,56,12,10,58,7,9,0,7,2
0.020,0.700,2,56,12,10,58,7,9,0,7,2
0.020,0.700,2,56,12,10,58,7,9,0,7,2
0.020,0.690,1.990,56,12,10,58,7,9,0,7,2
0.020,0.690,1.990,56,12,10,58,7,9,0,7,2
0.020,0.690,1.990,56,12,10,58,7,9,0,7,2
0.020,0.690,1.990,56,12,10,58,7,9,0,6,2
0.020,0.690,1.990,56,12,10,58,7,9,0,6,2
0.020,0.670,1.970,56,12,10,58,7,9,0,6,2
0.020,0.670,1.970,56,12,10,58,7,9,0,6,2
0.020,0.670,1.970,56,12,10,58,7,9,0,6,2
0.020,0.670,1.970,56,12,10,58,7,9,0,7,2
0.020,0.670,1.970,56,12,10,58,7,9,0,7,2
0.020,0.660,1.960,56,12,10,58,7,9,0,7,2
0.020,0.660,1.960,56,12,10,58,7,9,0,7,2
0.020,0.660,1.960,56,12,10,58,7,9,0,7,2
0.020,0.660,1.960,56,12,10,58,7,9,0,6,2
0.020,0.660,1.960,56,12,10,58,7,9,0,6,2
0.020,0.650,1.950,56,12,10,58,7,9,0,6,2
0.020,0.650,1.950,56,12,10,58,7,9,0,6,2
0.020,0.650,1.950,56,12,10,58,7,9,0,6,2
0.020,0.650,1.950,56,12,10,58,7,9,0,6,2
0.020,0.650,1.950,56,12,10,58,7,9,0,6,2
0.020,0.640,1.940,56,12,10,58,7,9,0,7,2
0.020,0.640,1.940,56,12,10,58,7,9,0,7,2
0.020,0.640,1.940,56,12,10,58,7,9,0,7,2
0.020,0.640,1.940,56,12,10,58,7,9,0,7,2
0.020,0.640,1.940,56,12,10,58,7,9,0,7,2
0.090,0.650,1.940,56,12,10,58,7,9,0,6,2
0.090,0.650,1.940,56,12,10,58,7,9,0,6,2
0.090,0.650,1.940,56,12,10,58,7,10,1,6,2
0.090,0.650,1.940,56,12,10,58,7,11,0,6,2
0.090,0.650,1.940,56,12,10,58,7,11,0,6,2
0.090,0.640,1.930,56,12,10,58,7,9,0,7,2
0.090,0.640,1.930,56,12,10,58,7,9,0,7,2
0.090,0.640,1.930,56,12,10,58,7,9,0,7,2
0.090,0.640,1.930,56,12,10,58,7,9,0,7,2
0.090,0.640,1.930,56,12,10,58,7,9,0,7,2
0.080,0.630,1.920,56,12,10,58,7,9,0,7,2
0.080,0.630,1.920,56,12,10,58,7,9,0,6,2
0.080,0.630,1.920,56,12,10,58,7,9,0,6,2
0.080,0.630,1.920,56,12,10,58,7,9,0,6,2
0.080,0.630,1.920,56,12,10,58,7,9,0,6,2
0.070,0.610,1.910,56,12,10,58,7,9,0,6,2
0.070,0.610,1.910,56,12,10,58,7,9,0,7,2
0.070,0.610,1.910,56,12,10,58,7,9,0,7,2
0.070,0.610,1.910,56,12,10,58,7,9,0,7,2
0.070,0.610,1.910,56,12,10,58,7,9,0,7,2
0.070,0.600,1.890,56,12,10,58,7,9,0,7,2
0.070,0.600,1.890,56,12,10,58,7,9,0,7,2
0.070,0.600,1.890,56,12,10,58,7,10,1,7,1
0.070,0.600,1.890,56,12,10,58,7,11,0,6,1
0.070,0.600,1.890,56,12,10,58,7,11,0,6,1
0.060,0.590,1.880,56,12,10,58,7,11,0,6,1
0.060,0.590,1.880,56,12,10,58,7,11,0,6,1
0.060,0.590,1.880,56,12,10,58,7,11,0,7,1
0.060,0.590,1.880,56,12,10,58,7,11,0,7,1
0.060,0.590,1.880,56,12,10,58,7,11,0,7,1
0.060,0.580,1.870,56,12,10,58,7,11,0,7,1
0.060,0.580,1.870,56,12,10,58,7,11,0,7,1
0.060,0.580,1.870,56,12,10,58,7,11,0,7,1
0.060,0.580,1.870,56,12,10,58,7,11,0,6,1
0.060,0.580,1.870,56,12,10,58,7,11,0,6,1
0.130,0.590,1.870,56,12,10,58,7,11,0,6,1
0.130,0.590,1.870,56,12,10,58,7,11,0,6,1
0.130,0.590,1.870,56,12,10,58,7,11,0,6,1
0.130,0.590,1.870,56,12,10,58,7,11,0,7,1
0.130,0.590,1.870,56,12,10,58,7,11,0,7,1
0.120,0.580,1.860,56,12,10,58,7,11,0,7,1
0.120,0.580,1.860,56,12,10,58,7,11,0,7,1
0.120,0.580,1.860,56,12,10,58,7,11,0,7,1
0.120,0.580,1.860,56,12,10,58,7,11,0,7,1
0.120,0.580,1.860,56,12,10,58,7,11,0,7,1
0.110,0.570,1.850,56,12,10,58,7,11,0,6,1
0.110,0.570,1.850,56,12,10,58,7,11,0,6,1
0.110,0.570,1.850,56,12,10,58,7,11,0,6,1
0.110,0.570,1.850,56,12,10,58,7,11,0,6,1
0.110,0.570,1.850,56,12,10,58,7,11,0,6,1
0.100,0.560,1.840,56,12,10,58,7,11,0,7,1
0.100,0.560,1.840,56,12,10,58,7,11,0,7,1
0.100,0.560,1.840,56,12,10,58,7,11,0,7,1
