"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dstat/int.csv --time --int 1 600",,,,"Date:","22 Mar 2023 22:03:09 -03"
"system","interrupts",,
22-03 22:06:41,0,16,0
22-03 22:06:42,0,40,0
22-03 22:06:43,0,48,0
22-03 22:06:44,0,15,0
22-03 22:06:45,0,19,0
22-03 22:06:46,0,18,0
22-03 22:06:47,0,16,0
22-03 22:06:48,0,15,0
22-03 22:06:49,0,41,0
22-03 22:06:50,0,18,0
22-03 22:06:51,0,18,0
22-03 22:06:52,0,17,0
22-03 22:06:53,0,38,0
22-03 22:06:54,0,18,0
22-03 22:06:55,0,45,0
22-03 22:06:56,0,19,0
22-03 22:06:57,0,15,0
22-03 22:06:58,0,15,0
22-03 22:06:59,0,15,0
22-03 22:07:00,0,15,0
22-03 22:07:01,0,42,0
22-03 22:07:02,0,17,0
22-03 22:07:03,0,15,0
22-03 22:07:04,0,41,0
22-03 22:07:05,0,15,0
22-03 22:07:06,0,17,0
22-03 22:07:07,0,39,0
22-03 22:07:08,0,17,0
22-03 22:07:09,0,16,0
22-03 22:07:10,0,21,0
22-03 22:07:11,0,21,0
22-03 22:07:12,0,16,0
22-03 22:07:13,0,39,0
22-03 22:07:14,0,18,0
22-03 22:07:15,0,37,0
22-03 22:07:16,0,16,0
22-03 22:07:17,0,15,0
22-03 22:07:18,0,16,0
22-03 22:07:19,0,38,0
22-03 22:07:20,0,16,0
22-03 22:07:21,0,23,0
22-03 22:07:22,0,33,0
22-03 22:07:23,0,28,0
22-03 22:07:24,0,15,0
22-03 22:07:25,0,54,0
22-03 22:07:26,0,45,0
22-03 22:07:27,0,31,0
22-03 22:07:28,0,43,0
22-03 22:07:29,0,15,0
22-03 22:07:30,0,17,0
22-03 22:07:31,0,47,0
22-03 22:07:32,0,15,0
22-03 22:07:33,0,20,0
22-03 22:07:34,0,16,0
22-03 22:07:35,0,14,0
22-03 22:07:36,0,24,0
22-03 22:07:37,0,55,0
22-03 22:07:38,0,15,0
22-03 22:07:39,0,9,0
22-03 22:07:40,0,13,0
22-03 22:07:41,0,15,0
22-03 22:07:42,0,15,0
22-03 22:07:43,0,50,0
22-03 22:07:44,0,15,0
22-03 22:07:45,0,15,0
22-03 22:07:46,0,27,0
22-03 22:07:47,0,26,0
22-03 22:07:48,0,27,0
22-03 22:07:49,0,55,0
22-03 22:07:50,0,18,0
22-03 22:07:51,0,17,0
22-03 22:07:52,0,14,0
22-03 22:07:53,0,19,0
22-03 22:07:54,0,15,0
22-03 22:07:55,0,42,0
22-03 22:07:56,0,16,0
22-03 22:07:57,0,16,0
22-03 22:07:58,0,31,0
22-03 22:07:59,0,53,0
22-03 22:08:00,0,19,0
22-03 22:08:01,0,44,0
22-03 22:08:02,0,15,0
22-03 22:08:03,0,16,0
22-03 22:08:04,0,17,0
22-03 22:08:05,0,14,0
22-03 22:08:06,0,17,0
22-03 22:08:07,0,48,0
22-03 22:08:08,0,15,0
22-03 22:08:09,0,32,0
22-03 22:08:10,0,25,0
22-03 22:08:11,0,25,0
22-03 22:08:12,0,17,0
22-03 22:08:13,0,54,0
22-03 22:08:14,0,19,0
22-03 22:08:15,0,17,0
22-03 22:08:16,0,15,0
22-03 22:08:17,0,15,0
22-03 22:08:18,0,15,0
22-03 22:08:19,0,40,0
22-03 22:08:20,0,35,0
22-03 22:08:21,0,19,0
22-03 22:08:22,0,14,0
22-03 22:08:23,0,19,0
22-03 22:08:24,0,16,0
22-03 22:08:25,0,52,0
22-03 22:08:26,0,18,0
22-03 22:08:27,0,15,0
22-03 22:08:28,0,41,0
22-03 22:08:29,0,18,0
22-03 22:08:30,0,44,0
22-03 22:08:31,0,81,0
22-03 22:08:32,0,22,0
22-03 22:08:33,0,15,0
22-03 22:08:34,0,16,0
22-03 22:08:35,0,18,0
22-03 22:08:36,0,24,0
22-03 22:08:37,0,56,0
22-03 22:08:38,0,17,0
22-03 22:08:39,0,14,0
22-03 22:08:40,0,16,0
22-03 22:08:41,0,16,0
22-03 22:08:42,0,40,0
22-03 22:08:43,0,50,0
22-03 22:08:44,0,17,0
22-03 22:08:45,0,19,0
22-03 22:08:46,0,19,0
22-03 22:08:47,0,21,0
22-03 22:08:48,0,14,0
22-03 22:08:49,0,34,0
22-03 22:08:50,0,19,0
22-03 22:08:51,0,17,0
22-03 22:08:52,0,20,0
22-03 22:08:53,0,37,0
22-03 22:08:54,0,15,0
22-03 22:08:55,0,42,0
22-03 22:08:56,0,14,0
22-03 22:08:57,0,16,0
22-03 22:08:58,0,15,0
22-03 22:08:59,0,15,0
22-03 22:09:00,0,14,0
22-03 22:09:01,0,55,0
22-03 22:09:02,0,12,0
22-03 22:09:03,0,14,0
22-03 22:09:04,0,39,0
22-03 22:09:05,0,14,0
22-03 22:09:06,0,18,0
22-03 22:09:07,0,57,0
22-03 22:09:08,0,17,0
22-03 22:09:09,0,15,0
22-03 22:09:10,0,19,0
22-03 22:09:11,0,18,0
22-03 22:09:12,0,16,0
22-03 22:09:13,0,44,0
22-03 22:09:14,0,63,0
22-03 22:09:15,0,37,0
22-03 22:09:16,0,15,0
22-03 22:09:17,0,17,0
22-03 22:09:18,0,15,0
22-03 22:09:19,0,47,0
22-03 22:09:20,0,17,0
22-03 22:09:21,0,29,0
22-03 22:09:22,0,15,0
22-03 22:09:23,0,18,0
22-03 22:09:24,0,16,0
22-03 22:09:25,0,59,0
22-03 22:09:26,0,36,0
22-03 22:09:27,0,17,0
22-03 22:09:28,0,15,0
22-03 22:09:29,0,15,0
22-03 22:09:30,0,20,0
22-03 22:09:31,0,61,0
22-03 22:09:32,0,15,0
22-03 22:09:33,0,27,0
22-03 22:09:34,0,17,0
22-03 22:09:35,0,18,0
22-03 22:09:36,0,27,0
22-03 22:09:37,0,46,0
22-03 22:09:38,0,14,0
22-03 22:09:39,0,15,0
22-03 22:09:40,0,19,0
22-03 22:09:41,0,15,0
22-03 22:09:42,0,13,0
22-03 22:09:43,0,58,0
22-03 22:09:44,0,16,0
22-03 22:09:45,0,16,0
22-03 22:09:46,0,17,0
22-03 22:09:47,0,28,0
22-03 22:09:48,0,32,0
22-03 22:09:49,0,40,0
22-03 22:09:50,0,17,0
22-03 22:09:51,0,21,0
22-03 22:09:52,0,38,0
22-03 22:09:53,0,25,0
22-03 22:09:54,0,15,0
22-03 22:09:55,0,41,0
22-03 22:09:56,0,14,0
22-03 22:09:57,0,14,0
22-03 22:09:58,0,34,0
22-03 22:09:59,0,20,0
22-03 22:10:00,0,16,0
22-03 22:10:01,0,61,0
22-03 22:10:02,0,15,0
22-03 22:10:03,0,15,0
22-03 22:10:04,0,13,0
22-03 22:10:05,0,11,0
22-03 22:10:06,0,17,0
22-03 22:10:07,0,37,0
22-03 22:10:08,0,14,0
22-03 22:10:09,0,32,0
22-03 22:10:10,0,31,0
22-03 22:10:11,0,23,0
22-03 22:10:12,0,17,0
22-03 22:10:13,0,65,0
22-03 22:10:14,0,15,0
22-03 22:10:15,0,20,0
22-03 22:10:16,0,20,0
22-03 22:10:17,0,14,0
22-03 22:10:18,0,12,0
22-03 22:10:19,0,34,0
22-03 22:10:20,0,40,0
22-03 22:10:21,0,18,0
22-03 22:10:22,0,15,0
22-03 22:10:23,0,15,0
22-03 22:10:24,0,15,0
22-03 22:10:25,0,40,0
22-03 22:10:26,0,16,0
22-03 22:10:27,0,16,0
22-03 22:10:28,0,14,0
22-03 22:10:29,0,13,0
22-03 22:10:30,0,17,0
22-03 22:10:31,0,77,0
22-03 22:10:32,0,20,0
22-03 22:10:33,0,17,0
22-03 22:10:34,0,34,0
22-03 22:10:35,0,15,0
22-03 22:10:36,0,15,0
22-03 22:10:37,0,49,0
22-03 22:10:38,0,18,0
22-03 22:10:39,0,14,0
22-03 22:10:40,0,16,0
22-03 22:10:41,0,22,0
22-03 22:10:42,0,39,0
22-03 22:10:43,0,39,0
22-03 22:10:44,0,15,0
22-03 22:10:45,0,19,0
22-03 22:10:46,0,19,0
22-03 22:10:47,0,17,0
22-03 22:10:48,0,15,0
22-03 22:10:49,0,38,0
22-03 22:10:50,0,22,0
22-03 22:10:51,0,20,0
22-03 22:10:52,0,14,0
22-03 22:10:53,0,43,0
22-03 22:10:54,0,15,0
22-03 22:10:55,0,49,0
22-03 22:10:56,0,38,0
22-03 22:10:57,0,17,0
22-03 22:10:58,0,16,0
22-03 22:10:59,0,15,0
22-03 22:11:00,0,17,0
22-03 22:11:01,0,46,0
22-03 22:11:02,0,14,0
22-03 22:11:03,0,18,0
22-03 22:11:04,0,32,0
22-03 22:11:05,0,15,0
22-03 22:11:06,0,26,0
22-03 22:11:07,0,38,0
22-03 22:11:08,0,13,0
22-03 22:11:09,0,13,0
22-03 22:11:10,0,21,0
22-03 22:11:11,0,17,0
22-03 22:11:12,0,16,0
22-03 22:11:13,0,44,0
22-03 22:11:14,0,24,0
22-03 22:11:15,0,26,0
22-03 22:11:16,0,25,0
22-03 22:11:17,0,14,0
22-03 22:11:18,0,20,0
22-03 22:11:19,0,53,0
22-03 22:11:20,0,16,0
22-03 22:11:21,0,19,0
22-03 22:11:22,0,20,0
22-03 22:11:23,0,16,0
22-03 22:11:24,0,15,0
22-03 22:11:25,0,61,0
22-03 22:11:26,0,16,0
22-03 22:11:27,0,62,0
22-03 22:11:28,0,22,0
22-03 22:11:29,0,16,0
22-03 22:11:30,0,21,0
22-03 22:11:31,0,56,0
22-03 22:11:32,0,15,0
22-03 22:11:33,0,15,0
22-03 22:11:34,0,19,0
22-03 22:11:35,0,39,0
22-03 22:11:36,0,16,0
22-03 22:11:37,0,66,0
22-03 22:11:38,0,32,0
22-03 22:11:39,0,22,0
22-03 22:11:40,0,17,0
22-03 22:11:41,0,16,0
22-03 22:11:42,0,19,0
22-03 22:11:43,0,45,0
22-03 22:11:44,0,15,0
22-03 22:11:45,0,17,0
22-03 22:11:46,0,18,0
22-03 22:11:47,0,15,0
22-03 22:11:48,0,20,0
22-03 22:11:49,0,77,0
22-03 22:11:50,0,22,0
22-03 22:11:51,0,20,0
22-03 22:11:52,0,17,0
22-03 22:11:53,0,15,0
22-03 22:11:54,0,16,0
22-03 22:11:55,0,44,0
22-03 22:11:56,0,18,0
22-03 22:11:57,0,15,0
22-03 22:11:58,0,15,0
22-03 22:11:59,0,26,0
22-03 22:12:00,0,30,0
22-03 22:12:01,0,41,0
22-03 22:12:02,0,16,0
22-03 22:12:03,0,15,0
22-03 22:12:04,0,15,0
22-03 22:12:05,0,19,0
22-03 22:12:06,0,17,0
22-03 22:12:07,0,42,0
22-03 22:12:08,0,13,0
22-03 22:12:09,0,13,0
22-03 22:12:10,0,43,0
22-03 22:12:11,0,25,0
22-03 22:12:12,0,15,0
22-03 22:12:13,0,42,0
22-03 22:12:14,0,17,0
22-03 22:12:15,0,21,0
22-03 22:12:16,0,15,0
22-03 22:12:17,0,43,0
22-03 22:12:18,0,20,0
22-03 22:12:19,0,52,0
22-03 22:12:20,0,15,0
22-03 22:12:21,0,43,0
22-03 22:12:22,0,15,0
22-03 22:12:23,0,24,0
22-03 22:12:24,0,16,0
22-03 22:12:25,0,47,0
22-03 22:12:26,0,20,0
22-03 22:12:27,0,46,0
22-03 22:12:28,0,17,0
22-03 22:12:29,0,15,0
22-03 22:12:30,0,11,0
22-03 22:12:31,0,57,0
22-03 22:12:32,0,15,0
22-03 22:12:33,0,24,0
22-03 22:12:34,0,26,0
22-03 22:12:35,0,27,0
22-03 22:12:36,0,34,0
22-03 22:12:37,0,36,0
22-03 22:12:38,0,13,0
22-03 22:12:39,0,19,0
22-03 22:12:40,0,21,0
22-03 22:12:41,0,21,0
22-03 22:12:42,0,15,0
22-03 22:12:43,0,48,0
22-03 22:12:44,0,32,0
22-03 22:12:45,0,34,0
22-03 22:12:46,0,46,0
22-03 22:12:47,0,16,0
22-03 22:12:48,0,17,0
22-03 22:12:49,0,57,0
22-03 22:12:50,0,17,0
22-03 22:12:51,0,20,0
22-03 22:12:52,0,16,0
22-03 22:12:53,0,16,0
22-03 22:12:54,0,17,0
22-03 22:12:55,0,58,0
22-03 22:12:56,0,28,0
22-03 22:12:57,0,15,0
22-03 22:12:58,0,14,0
22-03 22:12:59,0,15,0
22-03 22:13:00,0,20,0
22-03 22:13:01,0,36,0
22-03 22:13:02,0,14,0
22-03 22:13:03,0,13,0
22-03 22:13:04,0,13,0
22-03 22:13:05,0,14,0
22-03 22:13:06,0,33,0
22-03 22:13:07,0,59,0
22-03 22:13:08,0,21,0
