"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dstat/page_vm-adv_load_net_lock_cpu.csv --page --vm-adv --load --net --lock --cpu 1 600",,,,"Date:","23 Mar 2023 14:04:41 -03"
"paging",,"advanced virtual memory",,,,,"load avg",,,"net/total",,"file locks",,,,"total cpu usage",,,,
0,0,0,0,0,0,0,1.290,1.100,1.090,5880,6968,83,12,13,82,8.966,3.238,87.049,0.747,0
0,0,0,0,0,0,0,1.290,1.100,1.090,5750,7056,83,12,13,82,10,2.840,87.037,0.123,0
0,0,0,0,0,0,0,1.270,1.100,1.090,5860,7402,83,12,13,82,9.102,2.868,88.030,0,0
0,0,0,0,0,0,0,1.270,1.100,1.090,8322,11987,83,12,13,82,9.495,3.846,86.538,0.120,0
0,0,0,0,0,0,0,1.270,1.100,1.090,17648,12111,83,12,13,82,12.500,3.676,83.578,0.245,0
0,0,0,0,0,0,0,1.270,1.100,1.090,6120,7440,83,12,13,82,9.227,4.239,86.534,0,0
0,0,0,0,0,0,0,1.270,1.100,1.090,5880,6694,83,12,13,82,10.920,3.190,85.767,0.123,0
0,0,0,0,0,0,0,1.250,1.090,1.090,23007,14183,83,12,13,82,10.161,3.717,85.998,0.124,0
0,0,0,0,0,0,0,1.250,1.090,1.090,5917,7037,83,12,13,82,11.218,4.101,84.680,0,0
0,0,0,0,0,0,0,1.250,1.090,1.090,7608,11822,83,12,13,82,10.435,3.354,86.087,0.124,0
0,0,0,0,0,0,0,1.250,1.090,1.090,21502,8534,83,12,13,82,8.526,4.019,87.089,0.365,0
0,0,0,0,0,0,0,1.250,1.090,1.090,6052,7062,83,12,13,82,9.988,3.371,86.517,0.125,0
0,0,0,0,0,0,0,1.710,1.190,1.120,5745,7662,83,12,13,82,9.732,3.406,86.861,0,0
0,0,0,0,0,0,0,1.710,1.190,1.120,6428,7483,83,12,13,82,9.780,3.667,86.430,0.122,0
0,0,0,0,0,0,0,1.710,1.190,1.120,5750,6850,83,12,13,82,10.566,3.396,86.038,0,0
0,0,0,0,0,0,0,1.710,1.190,1.120,5860,7186,83,12,13,82,10.379,3.419,86.081,0.122,0
0,0,0,0,0,0,0,1.710,1.190,1.120,5750,6968,83,12,13,82,9.594,3.444,86.839,0.123,0
0,0,0,0,0,0,0,1.570,1.170,1.110,5954,7208,83,12,13,82,9.705,3.686,86.609,0,0
0,0,0,0,0,0,0,1.570,1.170,1.110,5860,7181,83,12,13,82,9.012,3.827,87.037,0.123,0
0,0,0,0,0,0,0,1.570,1.170,1.110,6706,8768,83,12,13,82,10.253,3.257,86.490,0,0
0,0,0,0,0,0,0,1.570,1.170,1.110,39850,18878,83,12,13,82,9.722,3.283,86.869,0.126,0
0,0,0,0,0,0,0,1.570,1.170,1.110,5721,7098,83,12,13,82,9.406,3.342,87.005,0.248,0
0,0,0,0,0,0,0,1.440,1.150,1.110,5865,6713,83,12,13,82,9.305,3.598,86.973,0.124,0
0,0,0,0,0,0,0,1.440,1.150,1.110,5966,7760,83,12,13,82,9.674,4.595,85.611,0.121,0
0,0,0,0,0,0,0,1.440,1.150,1.110,6917,8128,83,12,13,82,11.700,3.695,84.606,0,0
0,0,0,0,0,0,0,1.440,1.150,1.110,5971,6850,83,12,13,82,9.753,2.840,87.284,0.123,0
0,0,0,0,0,0,0,1.440,1.150,1.110,7871,14131,83,12,13,82,9.589,2.989,87.049,0.374,0
0,0,0,0,0,0,0,1.330,1.130,1.100,7403,10416,83,12,13,82,9.212,3.758,86.909,0.121,0
0,0,0,0,0,0,0,1.330,1.130,1.100,36399,10585,83,12,13,82,9.729,3.695,86.453,0.123,0
0,0,0,0,0,0,0,1.330,1.130,1.100,6029,7332,83,12,13,82,9.670,3.672,86.659,0,0
0,0,0,0,0,0,0,1.330,1.130,1.100,17858,99507,83,12,13,82,10.184,3.926,85.767,0.123,0
0,0,0,0,0,0,0,1.330,1.130,1.100,29280,17994,84,12,13,83,12.875,5.500,81.375,0.250,0
0,0,0,0,0,0,0,1.300,1.130,1.100,17860,18642,84,12,13,83,17.450,4.332,77.599,0.619,0
0,0,0,0,0,0,0,1.300,1.130,1.100,6694,9987,84,12,13,83,9.012,4.198,86.667,0.123,0
0,0,0,0,0,0,0,1.300,1.130,1.100,6204,8141,84,12,13,83,10.049,3.676,86.029,0.245,0
0,0,0,0,0,0,0,1.300,1.130,1.100,51343,9602,84,12,13,83,13.926,3.962,81.873,0.240,0
0,0,0,0,0,0,0,1.300,1.130,1.100,5860,7299,84,12,13,83,10.161,3.222,86.493,0.124,0
0,0,0,0,0,0,0,1.440,1.160,1.110,5750,6713,84,12,13,83,10.341,4.623,84.915,0.122,0
0,0,0,0,0,0,0,1.440,1.160,1.110,5635,6992,84,12,13,83,9.693,4.417,85.890,0,0
0,0,0,0,0,0,0,1.440,1.160,1.110,6458,8450,84,12,13,83,9.915,4.595,85.369,0.121,0
0,0,0,0,0,0,0,1.440,1.160,1.110,5750,7774,84,12,13,83,8.323,3.354,88.323,0,0
0,0,0,0,0,0,0,1.440,1.160,1.110,7653,12600,84,12,13,83,10.494,4.074,85.062,0.370,0
0,0,0,0,0,0,0,1.320,1.140,1.100,21978,9446,84,12,13,83,8.913,3.541,87.546,0,0
0,0,0,0,0,0,0,1.320,1.140,1.100,5880,6850,84,12,13,83,9.046,4.768,86.064,0.122,0
0,0,0,0,0,0,0,1.320,1.140,1.100,6027,7349,84,12,13,83,8.922,3.346,87.732,0,0
0,0,0,0,0,0,0,1.320,1.140,1.100,5880,6850,84,12,13,83,10.269,3.056,86.553,0.122,0
0,0,0,0,0,0,0,1.320,1.140,1.100,5750,6850,84,12,13,83,8.813,4.162,86.903,0.122,0
0,0,0,0,0,0,0,1.220,1.120,1.100,5860,7044,84,12,13,83,9.902,3.667,86.430,0,0
0,0,0,0,0,0,0,1.220,1.120,1.100,6023,7155,84,12,13,83,9.158,5.006,85.714,0.122,0
0,0,0,0,0,0,0,1.220,1.120,1.100,6966,8247,84,12,13,83,9.429,3.102,87.469,0,0
0,0,0,0,0,0,0,1.220,1.120,1.100,6852,8017,84,12,13,83,10.110,4.263,85.505,0.122,0
0,0,0,0,0,0,0,1.220,1.120,1.100,8590,9397,84,12,13,83,10,3.951,85.556,0.494,0
0,0,0,0,0,0,0,1.120,1.100,1.090,23081,13022,84,12,13,83,10.843,4.699,84.458,0,0
0,0,0,0,0,0,0,1.120,1.100,1.090,6146,7296,84,12,13,83,9.625,4.625,85.625,0.125,0
0,0,0,0,0,0,0,1.120,1.100,1.090,5828,6956,84,12,13,83,10.291,4.237,85.351,0.121,0
0,0,0,0,0,0,0,1.120,1.100,1.090,5860,7186,84,12,13,83,9.455,3.879,86.545,0.121,0
0,0,0,0,0,0,0,1.120,1.100,1.090,10350,17929,84,12,13,83,9.729,4.064,86.084,0.123,0
0,0,0,0,0,0,0,1.110,1.100,1.090,5745,7044,84,12,13,83,8.426,2.726,88.848,0,0
0,0,0,0,0,0,0,1.110,1.100,1.090,5865,6850,84,12,13,83,9.091,4.485,86.303,0.121,0
0,0,0,0,0,0,0,1.110,1.100,1.090,6103,7450,84,12,13,83,10.086,3.690,86.224,0,0
0,0,0,0,0,0,0,1.110,1.100,1.090,5860,7402,84,12,13,83,9.768,3.419,86.691,0.122,0
0,0,0,0,0,0,0,1.110,1.100,1.090,5750,6850,84,12,13,83,11.302,3.563,84.889,0.246,0
0,0,0,0,0,0,0,1.020,1.080,1.080,6178,8142,84,12,13,83,11.138,4.237,84.504,0.121,0
0,0,0,0,0,0,0,1.020,1.080,1.080,22825,12223,84,12,13,83,10.024,3.545,86.430,0,0
0,0,0,0,0,0,0,1.020,1.080,1.080,7207,12017,84,12,13,83,8.513,3.685,87.675,0.127,0
0,0,0,0,0,0,0,1.020,1.080,1.080,5946,7181,84,12,13,83,10.583,4.518,84.899,0,0
0,0,0,0,0,0,0,1.020,1.080,1.080,5922,7314,84,12,13,83,10.391,3.178,86.064,0.367,0
0,0,0,0,0,0,0,0.940,1.070,1.080,5750,6850,83,12,13,82,10.149,2.970,86.757,0.124,0
0,0,0,0,0,0,0,0.940,1.070,1.080,6157,7094,83,12,13,82,9.406,4.208,86.386,0,0
0,0,0,0,0,0,0,0.940,1.070,1.080,6029,7592,83,12,13,82,9.622,3.654,86.602,0.122,0
0,0,0,0,0,0,0,0.940,1.070,1.080,7913,7077,83,12,13,82,9.158,2.970,87.871,0,0
0,0,0,0,0,0,0,0.940,1.070,1.080,5990,7402,83,12,13,82,9.662,3.019,87.077,0.242,0
0,0,0,0,0,0,0,0.860,1.050,1.070,5917,7037,83,12,13,82,8.787,3.837,87.252,0.124,0
0,0,0,0,0,0,0,0.860,1.050,1.070,10167,14331,83,12,13,82,10.147,3.667,86.064,0.122,0
0,0,0,0,0,0,0,0.860,1.050,1.070,22114,8546,83,12,13,82,8.842,3.985,87.049,0.125,0
0,0,0,0,0,0,0,0.860,1.050,1.070,5635,7110,83,12,13,82,8.924,3.178,87.897,0,0
0,0,0,0,0,0,0,0.860,1.050,1.070,5975,7402,83,12,13,82,9.963,3.198,86.716,0.123,0
0,0,0,0,0,0,0,0.790,1.030,1.070,5917,7037,83,12,13,82,9.606,3.695,86.576,0.123,0
0,0,0,0,0,0,0,0.790,1.030,1.070,5750,6987,83,12,13,82,9.371,3.699,86.930,0,0
0,0,0,0,0,0,0,0.790,1.030,1.070,6481,7762,83,12,13,82,8.978,3.990,86.908,0.125,0
0,0,0,0,0,0,0,0.790,1.030,1.070,5750,6987,83,12,13,82,9.622,3.289,86.967,0.122,0
0,0,0,0,0,0,0,0.790,1.030,1.070,5860,7402,83,12,13,82,9.771,3.016,87.214,0,0
0,0,0,0,0,0,0,0.970,1.060,1.080,5824,6850,83,12,13,82,9.861,3.793,86.220,0.126,0
0,0,0,0,0,0,0,0.970,1.060,1.080,5880,6973,83,12,13,82,10.111,3.699,86.067,0.123,0
0,0,0,0,0,0,0,0.970,1.060,1.080,23197,13128,83,12,13,82,9.665,4.089,86.245,0,0
0,0,0,0,0,0,0,0.970,1.060,1.080,6182,7102,83,12,13,82,10.222,2.956,86.700,0.123,0
0,0,0,0,0,0,0,0.970,1.060,1.080,19409,21084,83,12,13,82,9.777,2.847,87.376,0,0
0,0,0,0,0,0,0,0.970,1.060,1.080,8780,9541,83,12,13,82,15.290,2.836,81.751,0.123,0
0,0,0,0,0,0,0,0.970,1.060,1.080,22321,14967,83,12,13,82,9.418,3.222,87.237,0.124,0
0,0,0,0,0,0,0,0.970,1.060,1.080,7938,7880,83,12,13,82,10.599,4.115,85.162,0.125,0
0,0,0,0,0,0,0,0.970,1.060,1.080,24744,11272,83,12,13,82,9.878,3.049,87.073,0,0
0,0,0,0,0,0,0,0.970,1.060,1.080,13127,94255,83,12,13,82,9.618,3.329,87.053,0,0
0,0,0,0,0,0,0,0.980,1.060,1.080,5990,7402,83,12,13,82,9.057,3.102,87.593,0.248,0
0,0,0,0,0,0,0,0.980,1.060,1.080,6146,7296,83,12,13,82,9.634,3.780,86.463,0.122,0
0,0,0,0,0,0,0,0.980,1.060,1.080,6000,8066,83,12,13,82,9.901,3.589,86.386,0.124,0
0,0,0,0,0,0,0,0.980,1.060,1.080,22831,12125,83,12,13,82,10.429,2.945,86.503,0.123,0
0,0,0,0,0,0,0,0.980,1.060,1.080,5750,6576,83,12,13,82,8.219,2.864,88.792,0.125,0
0,0,0,0,0,0,0,0.980,1.060,1.080,5860,7539,83,12,13,82,10.125,3.375,86.375,0.125,0
0,0,0,0,0,0,0,0.980,1.060,1.080,5986,6850,83,12,13,82,10.719,3.654,85.627,0,0
0,0,0,0,0,0,0,0.980,1.060,1.080,6347,7474,83,12,13,82,9.753,3.457,86.420,0.370,0
0,0,0,0,0,0,0,0.980,1.060,1.080,7373,11402,83,12,13,82,9.422,3.141,87.312,0.126,0
0,0,0,0,0,0,0,0.980,1.060,1.080,21454,9162,83,12,13,82,10.222,2.709,87.069,0,0
0,0,0,0,0,0,0,1.060,1.070,1.080,5924,7208,83,12,13,82,8.824,2.941,88.113,0.123,0
0,0,0,0,0,0,0,1.060,1.070,1.080,7890,8775,83,12,13,82,9.113,4.187,86.576,0.123,0
0,0,0,0,0,0,0,1.060,1.070,1.080,5750,6850,83,12,13,82,8.344,2.655,88.875,0.126,0
0,0,0,0,0,0,0,1.060,1.070,1.080,7646,11839,83,12,13,82,9.951,3.071,86.855,0.123,0
0,0,0,0,0,0,0,1.060,1.070,1.080,21541,8260,83,12,13,82,9.939,3.394,86.667,0,0
0,0,0,0,0,0,0,0.970,1.060,1.080,5880,6992,83,12,13,82,9.518,3.337,87.021,0.124,0
0,0,0,0,0,0,0,0.970,1.060,1.080,6027,7589,83,12,13,82,8.900,3.708,87.392,0,0
0,0,0,0,0,0,0,0.970,1.060,1.080,6241,7587,83,12,13,82,9.535,3.301,87.042,0.122,0
0,0,0,0,0,0,0,0.970,1.060,1.080,5880,6855,83,12,13,82,9.500,2.875,87.500,0.125,0
0,0,0,0,0,0,0,0.970,1.060,1.080,6113,7592,83,12,13,82,9.553,3.102,87.345,0,0
0,0,0,0,0,0,0,0.980,1.060,1.080,5750,6987,83,12,13,82,9.137,2.538,88.198,0.127,0
0,0,0,0,0,0,0,0.980,1.060,1.080,6256,7711,83,12,13,82,9.717,3.198,86.962,0.123,0
0,0,0,0,0,0,0,0.980,1.060,1.080,5880,6992,83,12,13,82,9.291,3.790,86.797,0.122,0
0,0,0,0,0,0,0,0.980,1.060,1.080,5750,6850,83,12,13,82,8.761,2.879,88.360,0,0
0,0,0,0,0,0,0,0.980,1.060,1.080,26900,23814,83,12,13,82,10.149,3.837,85.891,0.124,0
0,0,0,0,0,0,0,0.900,1.040,1.070,6626,7305,83,12,13,82,8.561,2.730,88.586,0.124,0
0,0,0,0,0,0,0,0.900,1.040,1.070,5917,7208,83,12,13,82,9.170,4.337,86.245,0.248,0
0,0,0,0,0,0,0,0.900,1.040,1.070,6139,7526,83,12,13,82,8.739,4.120,87.141,0,0
0,0,0,0,0,0,0,0.900,1.040,1.070,5880,6992,83,12,13,82,9.125,3.125,87.625,0.125,0
0,0,0,0,0,0,0,0.900,1.040,1.070,5860,7044,83,12,13,82,9.364,3.361,87.275,0,0
0,0,0,0,0,0,0,0.990,1.050,1.070,5750,6968,83,12,13,82,8.999,2.535,88.340,0.127,0
0,0,0,0,0,0,0,0.990,1.050,1.070,5856,7208,83,12,13,82,9.280,2.930,87.790,0,0
0,0,0,0,0,0,0,0.990,1.050,1.070,7358,10372,83,12,13,82,8.535,3.567,87.771,0.127,0
0,0,0,0,0,0,0,0.990,1.050,1.070,5880,6968,83,12,13,82,8.968,3.563,87.469,0,0
0,0,0,0,0,0,0,0.990,1.050,1.070,5860,7044,83,12,13,82,9.816,3.067,86.994,0.123,0
0,0,0,0,0,0,0,1.390,1.140,1.100,23141,12750,83,12,13,82,8.872,4.563,86.439,0.127,0
0,0,0,0,0,0,0,1.390,1.140,1.100,5917,7258,83,12,13,82,9.348,3.444,87.208,0,0
0,0,0,0,0,0,0,1.390,1.140,1.100,6024,7668,83,12,13,82,9.465,4.110,86.301,0.125,0
0,0,0,0,0,0,0,1.390,1.140,1.100,5979,6890,83,12,13,82,9.594,2.706,87.577,0.123,0
0,0,0,0,0,0,0,1.390,1.140,1.100,5750,6968,83,12,13,82,9.285,3.388,87.327,0,0
0,0,0,0,0,0,0,1.280,1.120,1.100,5860,7186,83,12,13,82,9.732,2.920,87.226,0.122,0
0,0,0,0,0,0,0,1.280,1.120,1.100,6276,7296,83,12,13,82,8.365,3.295,88.086,0.253,0
0,0,0,0,0,0,0,1.280,1.120,1.100,6027,7589,83,12,13,82,8.075,3.975,87.826,0.124,0
0,0,0,0,0,0,0,1.280,1.120,1.100,5750,6992,83,12,13,82,7.481,3.367,89.152,0,0
0,0,0,0,0,0,0,1.280,1.120,1.100,5917,7037,83,12,13,82,9.023,3.337,87.515,0.124,0
0,0,0,0,0,0,0,1.420,1.150,1.110,7439,11534,83,12,13,82,8.564,3.526,87.657,0.252,0
0,0,0,0,0,0,0,1.420,1.150,1.110,21482,8338,83,12,13,82,8.867,3.202,87.685,0.246,0
0,0,0,0,0,0,0,1.420,1.150,1.110,6241,7945,83,12,13,82,9.482,3.161,87.358,0,0
0,0,0,0,0,0,0,1.420,1.150,1.110,5860,7181,83,12,13,82,8.085,3.607,88.184,0.124,0
0,0,0,0,0,0,0,1.420,1.150,1.110,5750,6992,83,12,13,82,8.271,2.882,88.847,0,0
0,0,0,0,0,0,0,1.300,1.130,1.100,6265,7231,83,12,13,82,9.512,2.503,87.860,0.125,0
0,0,0,0,0,0,0,1.300,1.130,1.100,5892,7235,83,12,13,82,8.610,3.567,87.454,0.369,0
0,0,0,0,0,0,0,1.300,1.130,1.100,5906,7510,83,12,13,82,8.864,3.496,87.391,0.250,0
0,0,0,0,0,0,0,1.300,1.130,1.100,6096,7044,83,12,13,82,8.489,3.620,87.765,0.125,0
0,0,0,0,0,0,0,1.300,1.130,1.100,7489,13554,83,12,13,82,8.897,3.133,87.970,0,0
0,0,0,0,0,0,0,1.280,1.130,1.100,5820,6968,83,12,13,82,8.978,2.868,88.030,0.125,0
0,0,0,0,0,0,0,1.280,1.130,1.100,22731,13338,83,12,13,82,9.227,2.868,87.656,0.249,0
0,0,0,0,0,0,0,1.280,1.130,1.100,7223,7816,83,12,13,82,9.360,3.325,86.823,0.493,0
0,0,0,0,0,0,0,1.280,1.130,1.100,5934,7304,83,12,13,82,8.145,3.008,88.722,0.125,0
0,0,0,0,0,0,0,1.280,1.130,1.100,42804,100100,83,12,13,82,9.560,3.396,87.044,0,0
0,0,0,0,0,0,0,1.180,1.110,1.090,5750,6850,83,12,13,82,9.236,3.079,87.562,0.123,0
0,0,0,0,0,0,0,1.180,1.110,1.090,6256,7490,83,12,13,82,9.801,2.854,87.097,0.248,0
0,0,0,0,0,0,0,1.180,1.110,1.090,5750,6987,83,12,13,82,9.789,3.717,86.245,0.248,0
0,0,0,0,0,0,0,1.180,1.110,1.090,5750,7052,83,12,13,82,7.741,3.807,88.325,0.127,0
0,0,0,0,0,0,0,1.180,1.110,1.090,5946,7424,83,12,13,82,8.466,3.190,88.221,0.123,0
0,0,0,0,0,0,0,1.080,1.090,1.090,5880,6992,83,12,13,82,9.379,2.788,87.833,0,0
0,0,0,0,0,0,0,1.080,1.090,1.090,5860,6907,83,12,13,82,8.532,3.513,87.829,0.125,0
0,0,0,0,0,0,0,1.080,1.090,1.090,21766,13438,83,12,13,82,8.040,3.015,88.945,0,0
0,0,0,0,0,0,0,1.080,1.090,1.090,7154,9362,83,12,13,82,8.625,3.125,87.875,0.375,0
0,0,0,0,0,0,0,1.080,1.090,1.090,5860,7968,83,12,13,82,9.582,3.194,87.101,0.123,0
0,0,0,0,0,0,0,1.150,1.100,1.090,6132,8017,83,12,13,82,7.955,2.904,89.141,0,0
0,0,0,0,0,0,0,1.150,1.100,1.090,6054,6850,83,12,13,82,9.642,2.719,87.515,0.124,0
0,0,0,0,0,0,0,1.150,1.100,1.090,6384,7186,83,12,13,82,8.176,4.528,87.170,0.126,0
0,0,0,0,0,0,0,1.150,1.100,1.090,15666,19100,83,12,13,82,10.843,4.217,84.819,0.120,0
0,0,0,0,0,0,0,1.150,1.100,1.090,6186,7296,83,12,13,82,8.846,2.821,88.333,0,0
0,0,0,0,0,0,0,1.140,1.100,1.090,5880,6968,83,12,13,82,9.182,2.516,88.176,0.126,0
0,0,0,0,0,0,0,1.140,1.100,1.090,5917,7316,83,12,13,82,9.314,2.819,87.868,0,0
0,0,0,0,0,0,0,1.140,1.100,1.090,6351,7781,83,12,13,82,8.375,3.750,87.500,0.375,0
0,0,0,0,0,0,0,1.140,1.100,1.090,22931,12436,83,12,13,82,9.343,3.157,87.121,0.379,0
0,0,0,0,0,0,0,1.140,1.100,1.090,6815,8109,83,12,13,82,9.677,2.730,87.469,0.124,0
0,0,0,0,0,0,0,1.050,1.080,1.080,8889,9796,83,12,13,82,9.340,2.864,87.796,0,0
0,0,0,0,0,0,0,1.050,1.080,1.080,6419,7346,83,12,13,82,8.125,2.750,89,0.125,0
0,0,0,0,0,0,0,1.050,1.080,1.080,6308,7044,83,12,13,82,8.132,3.558,88.056,0.254,0
0,0,0,0,0,0,0,1.050,1.080,1.080,5750,6850,83,12,13,82,8.458,3.234,88.060,0.249,0
0,0,0,0,0,0,0,1.050,1.080,1.080,9204,17855,83,12,13,82,9.308,3.019,87.547,0.126,0
0,0,0,0,0,0,0,0.970,1.070,1.080,5860,7304,83,12,13,82,9.136,2.593,88.148,0.123,0
0,0,0,0,0,0,0,0.970,1.070,1.080,14049,17917,83,12,13,82,8.385,3.379,88.235,0,0
0,0,0,0,0,0,0,0.970,1.070,1.080,6029,7332,83,12,13,82,8.679,3.648,87.547,0.126,0
0,0,0,0,0,0,0,0.970,1.070,1.080,6995,9689,83,12,13,82,8.739,4.744,86.392,0.125,0
0,0,0,0,0,0,0,0.970,1.070,1.080,21966,10287,83,12,13,82,9.387,3.129,87.359,0.125,0
0,0,0,0,0,0,0,0.970,1.060,1.080,5860,7044,83,12,13,82,9.410,3.388,87.202,0,0
0,0,0,0,0,0,0,0.970,1.060,1.080,5750,6850,83,12,13,82,8.540,2.723,88.614,0.124,0
0,0,0,0,0,0,0,0.970,1.060,1.080,5750,7105,83,12,13,82,7.898,3.185,88.917,0,0
0,0,0,0,0,0,0,0.970,1.060,1.080,7361,12451,83,12,13,82,8.217,3.666,87.990,0.126,0
0,0,0,0,0,0,0,0.970,1.060,1.080,5750,7129,83,12,13,82,9.023,2.882,87.845,0.251,0
0,0,0,0,0,0,0,0.970,1.060,1.080,5750,6850,83,12,13,82,8.739,2.996,88.140,0.125,0
0,0,0,0,0,0,0,0.970,1.060,1.080,6199,7212,83,12,13,82,7.955,3.283,88.763,0,0
0,0,0,0,0,0,0,0.970,1.060,1.080,6029,7474,83,12,13,82,7.673,3.465,88.738,0.124,0
