"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dstat/unix_vm-adv_fs_proc.csv --unix --vm-adv --fs --proc 1 600",,,,"Date:","22 Mar 2023 22:13:13 -03"
"unix sockets",,,,"advanced virtual memory",,,,,"filesystem",,"procs",,
56,874,54,820,0,0,0,0,0,13184,344195,3,0,8
56,874,54,820,0,0,0,0,0,13216,344233,2,0,8
56,874,54,820,0,0,0,0,0,13216,344233,0,0,0
56,874,54,820,0,0,0,0,0,13216,344233,1,0,1
56,874,54,820,0,0,0,0,0,13216,344233,5,0,0
56,874,54,820,0,0,0,0,0,13216,344278,1,0,8
56,874,54,820,0,0,0,0,0,13216,344280,2,0,8
56,874,54,820,0,0,0,0,0,13216,343162,3,0,26
56,874,54,820,0,0,0,0,0,13216,343210,1,0,1
56,874,54,820,0,0,0,0,0,13216,343210,3,0,0
56,874,54,820,0,0,0,0,0,13216,343209,3,0,8
56,874,54,820,0,0,0,0,0,13216,343141,1,0,8
56,874,54,820,0,0,0,0,0,13216,343100,4,0,0
56,874,54,820,0,0,0,0,0,13216,343099,5,0,0
56,874,54,820,0,0,0,0,0,13216,343099,1,0,0
56,874,54,820,0,0,0,0,0,13216,343127,5,0,9
56,874,54,820,0,0,0,0,0,13184,343137,0,0,8
56,874,54,820,0,0,0,0,0,13184,343136,4,0,0
56,874,54,820,0,0,0,0,0,13184,343136,1,0,24
56,874,54,820,0,0,0,0,0,13184,343136,5,0,0
56,874,54,820,0,0,0,0,0,13184,343182,1,0,8
56,874,54,820,0,0,0,0,0,13184,343186,2,0,4
56,874,54,820,0,0,0,0,0,13184,343209,1,0,8
56,888,54,834,0,0,0,0,0,13184,343366,1,0,28
56,890,54,836,0,0,0,0,0,13184,343379,0,0,8
56,890,54,836,0,0,0,0,0,13184,343392,2,0,11
56,890,54,836,0,0,0,0,0,13184,343392,1,0,0
56,890,54,836,0,0,0,0,0,13216,343435,5,0,10
56,892,54,838,0,0,0,0,0,13216,343439,6,0,0
56,890,54,836,0,0,0,0,0,13216,343463,1,0,0
56,890,54,836,0,0,0,0,0,13248,343464,1,0,16
56,890,54,836,0,0,0,0,0,13248,343474,1,0,0
56,890,54,836,0,0,0,0,0,13248,343474,5,0,8
56,890,54,836,0,0,0,0,0,13248,343473,1,0,0
56,890,54,836,0,0,0,0,0,13248,343473,5,0,0
56,890,54,836,0,0,0,0,0,13248,343520,1,0,8
56,890,54,836,0,0,0,0,0,13248,343547,1,0,0
56,890,54,836,0,0,0,0,0,13248,343548,1,0,8
56,890,54,836,0,0,0,0,0,13216,343549,3,0,13
56,890,54,836,0,0,0,0,0,13216,343548,1,0,1
56,890,54,836,0,0,0,0,0,13216,343547,2,0,8
56,890,54,836,0,0,0,0,0,13216,343547,1,0,0
56,884,54,830,0,0,0,0,0,13248,343524,2,0,9
56,874,54,820,0,0,0,0,0,13216,343466,0,0,3
56,874,54,820,0,0,0,0,0,13216,343462,1,0,13
56,874,54,820,0,0,0,0,0,13216,343470,4,0,11
56,874,54,820,0,0,0,0,0,13216,343490,1,0,0
56,874,54,820,0,0,0,0,0,13216,343413,0,0,21
56,874,54,820,0,0,0,0,0,13216,343412,0,1,0
56,874,54,820,0,0,0,0,0,13216,343411,1,0,0
56,874,54,820,0,0,0,0,0,13184,343486,0,0,8
56,874,54,820,0,0,0,0,0,13184,342366,1,0,0
56,874,54,820,0,0,0,0,0,13184,342365,2,0,12
56,874,54,820,0,0,0,0,0,13184,342375,1,0,4
56,874,54,820,0,0,0,0,0,13184,342375,1,0,0
56,874,54,820,0,0,0,0,0,13184,342374,1,0,8
56,874,54,820,0,0,0,0,0,13184,342374,1,0,0
56,874,54,820,0,0,0,0,0,13184,342445,0,0,10
56,874,54,820,0,0,0,0,0,13184,342446,1,0,0
56,874,54,820,0,0,0,0,0,13184,342446,2,0,0
56,874,54,820,0,0,0,0,0,13184,342448,1,0,34
56,874,54,820,0,0,0,0,0,13184,342488,5,0,6
56,874,54,820,0,0,0,0,0,13184,342492,2,0,8
56,874,54,820,0,0,0,0,0,13184,342494,4,0,0
56,874,54,820,0,0,0,0,0,13184,342521,1,0,1
56,874,54,820,0,0,0,0,0,13184,342560,0,0,8
56,874,54,820,0,0,0,0,0,13184,342560,3,0,0
56,874,54,820,0,0,0,0,0,13184,342560,1,0,8
56,874,54,820,0,0,0,0,0,13184,342569,2,0,0
56,874,54,820,0,0,0,0,0,13184,342569,3,0,0
56,874,54,820,0,0,0,0,0,13184,342576,3,0,4
56,874,54,820,0,0,0,0,0,13216,342599,2,0,4
56,874,54,820,0,0,0,0,0,13248,342644,2,0,8
56,874,54,820,0,0,0,0,0,13248,342644,5,0,0
56,874,54,820,0,0,0,0,0,13248,342646,3,0,0
56,874,54,820,0,0,0,0,0,13248,342646,3,0,0
56,874,54,820,0,0,0,0,0,13248,342655,1,0,9
56,874,54,820,0,0,0,0,0,13248,342656,2,0,8
56,874,54,820,0,0,0,0,0,13248,342677,1,0,0
56,874,54,820,0,0,0,0,0,13248,342682,4,0,0
56,874,54,820,0,0,0,0,0,13248,342730,1,0,0
56,874,54,820,0,0,0,0,0,13248,342730,1,0,8
56,874,54,820,0,0,0,0,0,13248,342730,2,0,8
56,874,54,820,0,0,0,0,0,13248,342677,1,0,0
56,874,54,820,0,0,0,0,0,13248,342680,1,0,0
56,874,54,820,0,0,0,0,0,13248,342702,1,0,0
56,874,54,820,0,0,0,0,0,13248,342710,2,0,8
56,874,54,820,0,0,0,0,0,13248,342754,3,0,8
56,874,54,820,0,0,0,0,0,13248,342755,1,0,2
56,874,54,820,0,0,0,0,0,13248,342754,4,0,0
56,874,54,820,0,0,0,0,0,13248,342757,1,0,11
56,874,54,820,0,0,0,0,0,13248,342762,1,0,8
56,874,54,820,0,0,0,0,0,13248,342785,1,0,8
56,874,54,820,0,0,0,0,0,13216,342790,3,0,0
56,874,54,820,0,0,0,0,0,13216,342790,3,0,0
56,874,54,820,0,0,0,0,0,13216,342836,1,0,0
56,874,54,820,0,0,0,0,0,13216,342486,7,0,8
56,874,54,820,0,0,0,0,0,13216,341715,2,0,8
56,874,54,820,0,0,0,0,0,13216,341715,2,0,0
56,874,54,820,0,0,0,0,0,13216,341750,1,0,0
56,874,54,820,0,0,0,0,0,13216,341756,1,0,0
56,874,54,820,0,0,0,0,0,13216,341753,2,0,9
56,874,54,820,0,0,0,0,0,13216,341713,4,0,8
56,874,54,820,0,0,0,0,0,13216,341715,0,0,0
56,874,54,820,0,0,0,0,0,13216,341715,1,0,0
56,874,54,820,0,0,0,0,0,13216,341713,2,0,0
56,876,54,822,0,0,0,0,0,13216,341750,1,0,8
56,874,54,820,0,0,0,0,0,13184,341722,0,0,21
56,874,54,820,0,0,0,0,0,13184,341723,1,0,0
56,874,54,820,0,0,0,0,0,13184,341724,1,0,0
56,874,54,820,0,0,0,0,0,13184,341769,0,0,0
56,874,54,820,0,0,0,0,0,13184,341768,1,0,8
56,874,54,820,0,0,0,0,0,13184,341765,7,0,8
56,874,54,820,0,0,0,0,0,13184,341788,2,0,1
56,874,54,820,0,0,0,0,0,13184,341801,0,0,0
56,874,54,820,0,0,0,0,0,13184,341804,5,0,1
56,874,54,820,0,0,0,0,0,13184,341803,1,0,8
56,874,54,820,0,0,0,0,0,13216,341856,2,0,7
56,874,54,820,0,0,0,0,0,13216,341780,1,0,1
56,874,54,820,0,0,0,0,0,13216,341782,0,0,0
56,874,54,820,0,0,0,0,0,13216,341803,2,0,0
56,874,54,820,0,0,0,0,0,13184,341828,0,0,8
56,874,54,820,0,0,0,0,0,13184,341829,0,0,0
56,874,54,820,0,0,0,0,0,13184,341830,0,0,8
56,874,54,820,0,0,0,0,0,13184,341829,3,0,0
56,874,54,820,0,0,0,0,0,13184,341874,0,0,1
56,874,54,820,0,0,0,0,0,13184,341874,1,0,8
56,874,54,820,0,0,0,0,0,13184,341898,1,0,0
56,876,54,822,0,0,0,0,0,13184,341923,0,0,8
56,876,54,822,0,0,0,0,0,13184,341934,2,0,0
56,876,54,822,0,0,0,0,0,13184,341933,1,0,0
56,876,54,822,0,0,0,0,0,13184,341926,5,0,8
56,876,54,822,0,0,0,0,0,13184,341974,4,0,0
56,876,54,822,0,0,0,0,0,13184,341968,1,0,8
56,876,54,822,0,0,0,0,0,13184,341992,1,0,0
56,876,54,822,0,0,0,0,0,13184,341996,2,0,0
56,876,54,822,0,0,0,0,0,13216,342006,1,0,8
56,876,54,822,0,0,0,0,0,13216,342005,2,0,1
56,876,54,822,0,0,0,0,0,13216,342005,1,0,8
56,876,54,822,0,0,0,0,0,13216,342006,1,0,0
56,876,54,822,0,0,0,0,0,13216,342052,3,0,0
56,876,54,822,0,0,0,0,0,13216,342013,3,0,8
56,876,54,822,0,0,0,0,0,13216,342020,1,0,0
56,876,54,822,0,0,0,0,0,13216,342019,0,0,8
56,876,54,822,0,0,0,0,0,13216,342029,1,0,0
56,876,54,822,0,0,0,0,0,13216,342028,2,0,0
56,876,54,822,0,0,0,0,0,13216,342030,0,0,8
56,876,54,822,0,0,0,0,0,13216,342076,1,0,0
56,874,54,820,0,0,0,0,0,13216,342095,1,0,8
56,874,54,820,0,0,0,0,0,13216,342100,0,0,0
56,874,54,820,0,0,0,0,0,13248,342103,0,0,9
56,874,54,820,0,0,0,0,0,13248,342110,1,0,8
56,874,54,820,0,0,0,0,0,13248,342041,1,0,0
56,874,54,820,0,0,0,0,0,13248,342042,1,0,8
56,874,54,820,0,0,0,0,0,13248,342041,2,0,0
56,874,54,820,0,0,0,0,0,13248,342111,1,0,0
56,874,54,820,0,0,0,0,0,13216,342115,7,0,8
56,874,54,820,0,0,0,0,0,13216,342116,0,0,0
56,874,54,820,0,0,0,0,0,13184,342115,0,0,8
56,874,54,820,0,0,0,0,0,13184,342135,1,0,0
56,874,54,820,0,0,0,0,0,13184,342137,3,0,0
56,876,54,822,0,0,0,0,0,13184,342140,2,0,8
56,874,54,820,0,0,0,0,0,13184,342206,2,0,1
56,874,54,820,0,0,0,0,0,13184,342211,1,0,8
56,874,54,820,0,0,0,0,0,13184,342212,1,0,0
56,874,54,820,0,0,0,0,0,13184,342211,1,0,0
56,874,54,820,0,0,0,0,0,13184,342220,1,0,8
56,874,54,820,0,0,0,0,0,13184,342220,2,0,0
56,874,54,820,0,0,0,0,0,13184,342219,1,0,8
56,874,54,820,0,0,0,0,0,13184,342243,1,0,1
56,874,54,820,0,0,0,0,0,13152,342295,6,0,0
56,874,54,820,0,0,0,0,0,13152,342297,0,0,8
56,874,54,820,0,0,0,0,0,13152,342295,2,0,0
56,874,54,820,0,0,0,0,0,13152,342296,1,0,8
56,874,54,820,0,0,0,0,0,13152,342306,1,0,1
56,874,54,820,0,0,0,0,0,13152,342309,2,0,0
56,874,54,820,0,0,0,0,0,13152,342335,2,0,4
56,874,54,820,0,0,0,0,0,13152,342382,2,0,4
56,874,54,820,0,0,0,0,0,13152,342381,1,0,8
56,874,54,820,0,0,0,0,0,13152,342320,1,0,0
56,874,54,820,0,0,0,0,0,13152,342320,1,0,0
56,874,54,820,0,0,0,0,0,13152,342330,1,0,0
56,874,54,820,0,0,0,0,0,13152,342330,2,0,8
56,874,54,820,0,0,0,0,0,13184,342353,2,0,8
56,874,54,820,0,0,0,0,0,13184,342356,3,0,0
56,874,54,820,0,0,0,0,0,13184,342358,1,0,0
56,874,54,820,0,0,0,0,0,13184,342359,0,0,1
56,874,54,820,0,0,0,0,0,13152,342358,1,0,8
56,874,54,820,0,0,0,0,0,13152,342289,1,0,8
56,874,54,820,0,0,0,0,0,13152,342300,1,0,0
56,874,54,820,0,0,0,0,0,13152,342305,1,0,0
56,874,54,820,0,0,0,0,0,13152,342328,1,0,0
56,874,54,820,0,0,0,0,0,13152,342373,2,0,8
56,874,54,820,0,0,0,0,0,13152,342328,2,0,8
56,874,54,820,0,0,0,0,0,13152,342327,2,0,0
56,874,54,820,0,0,0,0,0,13152,342328,2,0,0
56,874,54,820,0,0,0,0,0,13152,342337,1,0,0
56,874,54,820,0,0,0,0,0,13152,342349,2,0,8
56,874,54,820,0,0,0,0,0,13152,342376,1,0,8
56,874,54,820,0,0,0,0,0,13152,342330,1,0,1
56,874,54,820,0,0,0,0,0,13184,342376,0,0,0
56,874,54,820,0,0,0,0,0,13184,342376,1,0,0
56,874,54,820,0,0,0,0,0,13184,342376,1,0,8
56,874,54,820,0,0,0,0,0,13184,342376,0,0,8
56,874,54,820,0,0,0,0,0,13184,342386,0,0,0
56,874,54,820,0,0,0,0,0,13184,342413,0,0,0
56,874,54,820,0,0,0,0,0,13184,342413,1,0,0
56,874,54,820,0,0,0,0,0,13184,342458,1,0,8
56,874,54,820,0,0,0,0,0,13184,342413,2,0,8
56,874,54,820,0,0,0,0,0,13184,342412,2,0,0
56,874,54,820,0,0,0,0,0,13184,342416,1,0,10
56,874,54,820,0,0,0,0,0,13184,342416,1,0,1
56,874,54,820,0,0,0,0,0,13184,342451,1,0,8
56,874,54,820,0,0,0,0,0,13184,342451,0,0,8
56,874,54,820,0,0,0,0,0,13184,342405,1,0,0
56,874,54,820,0,0,0,0,0,13184,342451,0,0,0
56,874,54,820,0,0,0,0,0,13184,342450,0,0,0
56,874,54,820,0,0,0,0,0,13184,342451,0,0,8
56,874,54,820,0,0,0,0,0,13184,342391,1,0,8
56,874,54,820,0,0,0,0,0,13184,342429,0,0,0
56,874,54,820,0,0,0,0,0,13184,342429,2,0,0
56,874,54,820,0,0,0,0,0,13184,342429,1,0,0
56,874,54,820,0,0,0,0,0,13184,342360,5,0,8
56,874,54,820,0,0,0,0,0,13184,342360,2,0,9
56,874,54,820,0,0,0,0,0,13184,342360,0,0,0
56,874,54,820,0,0,0,0,0,13184,342360,1,0,0
56,874,54,820,0,0,0,0,0,13152,342388,0,0,0
56,874,54,820,0,0,0,0,0,13152,342401,1,0,8
56,874,54,820,0,0,0,0,0,13152,342402,2,0,8
56,874,54,820,0,0,0,0,0,13152,342357,1,0,0
56,874,54,820,0,0,0,0,0,13152,342400,0,0,0
56,874,54,820,0,0,0,0,0,13152,342401,1,0,0
56,874,54,820,0,0,0,0,0,13152,342398,5,0,8
56,874,54,820,0,0,0,0,0,13152,342434,1,0,7
56,874,54,820,0,0,0,0,0,13120,342446,1,0,1
56,874,54,820,0,0,0,0,0,13120,342448,1,0,1
56,874,54,820,0,0,0,0,0,13120,342447,1,0,0
56,874,54,820,0,0,0,0,0,13152,342448,4,0,8
56,874,54,820,0,0,0,0,0,13152,342447,2,0,0
56,874,54,820,0,0,0,0,0,13152,342447,0,1,8
56,874,54,820,0,0,0,0,0,13152,342474,0,0,0
56,874,54,820,0,0,0,0,0,13152,342475,1,0,0
56,874,54,820,0,0,0,0,0,13152,342486,2,0,8
56,874,54,820,0,0,0,0,0,13152,342486,2,0,0
56,874,54,820,0,0,0,0,0,13152,342485,2,0,8
56,874,54,820,0,0,0,0,0,13184,342484,2,0,0
56,874,54,820,0,0,0,0,0,13184,342485,1,0,0
56,874,54,820,0,0,0,0,0,13152,342512,1,0,8
56,874,54,820,0,0,0,0,0,13152,342513,3,0,1
56,874,54,820,0,0,0,0,0,13152,342521,0,0,8
56,874,54,820,0,0,0,0,0,13152,342522,1,0,0
56,874,54,820,0,0,0,0,0,13152,342522,3,0,0
56,874,54,820,0,0,0,0,0,13152,342522,2,0,8
56,874,54,820,0,0,0,0,0,13152,342524,0,0,0
56,874,54,820,0,0,0,0,0,13152,342551,1,0,8
56,874,54,820,0,0,0,0,0,13152,342550,1,0,0
56,874,54,820,0,0,0,0,0,13152,341430,1,0,0
56,874,54,820,0,0,0,0,0,13152,341440,2,0,8
56,874,54,820,0,0,0,0,0,13152,341372,0,0,0
56,874,54,820,0,0,0,0,0,13152,341372,0,0,8
56,874,54,820,0,0,0,0,0,13152,341331,2,0,1
56,876,54,822,0,0,0,0,0,13152,341368,0,0,0
56,876,54,822,0,0,0,0,0,13152,341368,3,0,8
56,876,54,822,0,0,0,0,0,13152,341367,5,0,0
56,874,54,820,0,0,0,0,0,13152,341373,0,0,8
56,874,54,820,0,0,0,0,0,13152,341374,1,0,0
56,874,54,820,0,0,0,0,0,13152,341374,1,0,0
56,874,54,820,0,0,0,0,0,13152,341417,4,0,8
56,874,54,820,0,0,0,0,0,13152,341447,1,0,0
56,874,54,820,0,0,0,0,0,13152,341447,0,0,8
56,874,54,820,0,0,0,0,0,13152,341449,1,0,8
56,874,54,820,0,0,0,0,0,13152,341448,1,0,0
56,874,54,820,0,0,0,0,0,13152,341466,4,0,9
56,874,54,820,0,0,0,0,0,13152,341467,3,0,0
56,874,54,820,0,0,0,0,0,13152,341465,1,0,8
56,874,54,820,0,0,0,0,0,13184,341539,1,0,0
56,874,54,820,0,0,0,0,0,13184,341540,2,0,0
56,874,54,820,0,0,0,0,0,13184,341540,0,0,8
56,874,54,820,0,0,0,0,0,13184,341557,2,0,0
56,874,54,820,0,0,0,0,0,13184,341560,1,0,8
56,874,54,820,0,0,0,0,0,13184,341560,1,0,0
56,874,54,820,0,0,0,0,0,13184,341562,2,0,0
56,874,54,820,0,0,0,0,0,13216,341628,3,0,8
56,874,54,820,0,0,0,0,0,13216,341630,2,0,0
56,874,54,820,0,0,0,0,0,13216,341629,1,0,9
56,874,54,820,0,0,0,0,0,13216,341628,0,0,0
56,874,54,820,0,0,0,0,0,13216,341631,1,0,0
56,876,54,822,0,0,0,0,0,13216,341650,2,0,7
56,874,54,820,0,0,0,0,0,13216,341640,2,0,1
56,874,54,820,0,0,0,0,0,13216,341667,0,0,8
56,874,54,820,0,0,0,0,0,13216,341712,2,0,0
56,874,54,820,0,0,0,0,0,13216,341713,3,0,0
56,874,54,820,0,0,0,0,0,13216,341714,3,0,0
56,874,54,820,0,0,0,0,0,13216,341686,1,0,8
56,874,54,820,0,0,0,0,0,13216,341694,1,0,8
56,874,54,820,0,0,0,0,0,13216,341696,0,0,0
56,874,54,820,0,0,0,0,0,13216,341724,1,0,0
56,874,54,820,0,0,0,0,0,13216,341770,1,0,1
56,874,54,820,0,0,0,0,0,13216,341769,2,0,8
56,874,54,820,0,0,0,0,0,13216,341769,4,0,8
56,874,54,820,0,0,0,0,0,13216,341741,1,0,0
56,874,54,820,0,0,0,0,0,13216,341682,3,0,0
56,874,54,820,0,0,0,0,0,13216,341692,1,0,0
56,874,54,820,0,0,0,0,0,13216,341719,1,0,8
56,874,54,820,0,0,0,0,0,13216,341720,3,0,8
56,874,54,820,0,0,0,0,0,13216,341765,1,0,0
56,874,54,820,0,0,0,0,0,13216,341766,0,0,0
56,874,54,820,0,0,0,0,0,13216,341697,1,0,0
56,874,54,820,0,0,0,0,0,13216,341698,1,0,8
56,874,54,820,0,0,0,0,0,13216,341716,2,0,9
