"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dstat/zones.csv --time --zones 1 600",,,,"Date:","23 Mar 2023 13:54:36 -03"
"system","zones memory",,,
23-03 13:55:21,159767,3141,499244,22688
23-03 13:55:22,159767,3141,499146,22688
23-03 13:55:23,159767,3141,499525,22688
23-03 13:55:24,159767,3141,497751,22688
23-03 13:55:25,159767,3141,503670,22688
23-03 13:55:26,159767,3141,504221,22688
23-03 13:55:27,159767,3141,503979,22688
23-03 13:55:28,159767,3141,503810,22688
23-03 13:55:29,159767,3141,501973,22688
23-03 13:55:30,159767,3141,507671,22688
23-03 13:55:31,159767,3141,506019,22688
23-03 13:55:32,159767,3141,505107,22688
23-03 13:55:33,159767,3141,505866,22688
23-03 13:55:34,159767,3141,506139,22688
23-03 13:55:35,159767,3141,473837,22688
23-03 13:55:36,159767,3141,472098,22688
23-03 13:55:37,159767,3141,472256,22688
23-03 13:55:38,159767,3141,472046,22688
23-03 13:55:39,159767,3141,467926,22688
23-03 13:55:40,159767,3141,467975,22688
23-03 13:55:41,159767,3141,468227,22688
23-03 13:55:42,159767,3141,480982,22688
23-03 13:55:43,159767,3141,480778,22688
23-03 13:55:44,159767,3141,480485,22688
23-03 13:55:45,159767,3141,481205,22688
23-03 13:55:46,159767,3141,480487,22688
23-03 13:55:47,159767,3141,476357,22688
23-03 13:55:48,159767,3141,484710,22688
23-03 13:55:49,159767,3141,481664,22688
23-03 13:55:50,159767,3141,482702,22688
23-03 13:55:51,159767,3141,482362,22688
23-03 13:55:52,159767,3141,484027,22688
23-03 13:55:53,159767,3141,484188,22688
23-03 13:55:54,159767,3141,487162,22688
23-03 13:55:55,159767,3141,488799,22688
23-03 13:55:56,159767,3141,483022,22688
23-03 13:55:57,159767,3141,495040,22688
23-03 13:55:58,159767,3141,494836,22688
23-03 13:55:59,159767,3141,494110,22688
23-03 13:56:00,159767,3141,493879,22688
23-03 13:56:01,159767,3141,493522,22688
23-03 13:56:02,159767,3141,495164,22688
23-03 13:56:03,159767,3141,505282,22688
23-03 13:56:04,159767,3141,505270,22688
23-03 13:56:05,159767,3141,505042,22688
23-03 13:56:06,159767,3141,504321,22688
23-03 13:56:07,159767,3141,505188,22688
23-03 13:56:08,159767,3141,505472,22688
23-03 13:56:09,159767,3141,503122,22688
23-03 13:56:10,159767,3141,503412,22688
23-03 13:56:11,159767,3141,513279,22688
23-03 13:56:12,159767,3141,512854,22688
23-03 13:56:13,159767,3141,482254,22688
23-03 13:56:14,159767,3141,481964,22688
23-03 13:56:15,159767,3141,481736,22688
23-03 13:56:16,159767,3141,481442,22688
23-03 13:56:17,159767,3141,476045,22688
23-03 13:56:18,159767,3141,475877,22688
23-03 13:56:19,159767,3141,477682,22688
23-03 13:56:20,159767,3141,479223,22688
23-03 13:56:21,159767,3141,478923,22688
23-03 13:56:22,159767,3141,478573,22688
23-03 13:56:23,159767,3141,478345,22688
23-03 13:56:24,159767,3141,473578,22688
23-03 13:56:25,159767,3141,473347,22688
23-03 13:56:26,159767,3141,472927,22688
23-03 13:56:27,159767,3141,473107,22688
23-03 13:56:28,159767,3141,473013,22688
23-03 13:56:29,159767,3141,472853,22688
23-03 13:56:30,159767,3141,472816,22688
23-03 13:56:31,159767,3141,480838,22688
23-03 13:56:32,159767,3141,477156,22688
23-03 13:56:33,159767,3141,476693,22688
23-03 13:56:34,159767,3141,484340,22688
23-03 13:56:35,159767,3141,484112,22688
23-03 13:56:36,159767,3141,484014,22688
23-03 13:56:37,159767,3141,483784,22688
23-03 13:56:38,159767,3141,483521,22688
23-03 13:56:39,159767,3141,484320,22688
23-03 13:56:40,159767,3141,495825,22688
23-03 13:56:41,159767,3141,495678,22688
23-03 13:56:42,159767,3141,495720,22688
23-03 13:56:43,159767,3141,495569,22688
23-03 13:56:44,159767,3141,495408,22688
23-03 13:56:45,159767,3141,512385,22688
23-03 13:56:46,159767,3141,512096,22688
23-03 13:56:47,159767,3141,513840,22688
23-03 13:56:48,159767,3141,515144,22688
23-03 13:56:49,159767,3141,514608,22688
23-03 13:56:50,159767,3141,486314,22688
23-03 13:56:51,159767,3141,487250,22688
23-03 13:56:52,159767,3141,487141,22688
23-03 13:56:53,159767,3141,486979,22688
23-03 13:56:54,159767,3141,482281,22688
23-03 13:56:55,159767,3141,482371,22688
23-03 13:56:56,159767,3141,482032,22688
23-03 13:56:57,159767,3141,481983,22688
23-03 13:56:58,159767,3141,495879,22688
23-03 13:56:59,159767,3141,495782,22688
23-03 13:57:00,159767,3141,495484,22688
23-03 13:57:01,159767,3141,495128,22688
23-03 13:57:02,159767,3141,489983,22688
23-03 13:57:03,159767,3141,490109,22688
23-03 13:57:04,159767,3141,489801,22688
23-03 13:57:05,159767,3141,489980,22688
23-03 13:57:06,159767,3141,489756,22688
23-03 13:57:07,159767,3141,489658,22688
23-03 13:57:08,159767,3141,489812,22688
23-03 13:57:09,159767,3141,486736,22688
23-03 13:57:10,159767,3141,486009,22688
23-03 13:57:11,159767,3141,489754,22688
23-03 13:57:12,159767,3141,489662,22688
23-03 13:57:13,159767,3141,489130,22688
23-03 13:57:14,159767,3141,488902,22688
23-03 13:57:15,159767,3141,488562,22688
23-03 13:57:16,159767,3141,488613,22688
23-03 13:57:17,159767,3141,488995,22688
23-03 13:57:18,159767,3141,488648,22688
23-03 13:57:19,159767,3141,492384,22688
23-03 13:57:20,159767,3141,493620,22688
23-03 13:57:21,159767,3141,493326,22688
23-03 13:57:22,159767,3141,493164,22688
23-03 13:57:23,159767,3141,493380,22688
23-03 13:57:24,159767,3141,492927,22688
23-03 13:57:25,159767,3141,492522,22688
23-03 13:57:26,159767,3141,491981,22688
23-03 13:57:27,159767,3141,492342,22688
23-03 13:57:28,159767,3141,468017,22688
23-03 13:57:29,159767,3141,467583,22688
23-03 13:57:30,159767,3141,466978,22688
23-03 13:57:31,159767,3141,466797,22688
23-03 13:57:32,159767,3141,463927,22688
23-03 13:57:33,159767,3141,463388,22688
23-03 13:57:34,159767,3141,463670,22688
23-03 13:57:35,159767,3141,463604,22688
23-03 13:57:36,159767,3141,463385,22688
23-03 13:57:37,159767,3141,463225,22688
23-03 13:57:38,159767,3141,464006,22688
23-03 13:57:39,159767,3141,468814,22688
23-03 13:57:40,159767,3141,472561,22688
23-03 13:57:41,159767,3141,472331,22688
23-03 13:57:42,159767,3141,466503,22688
23-03 13:57:43,159767,3141,466518,22688
23-03 13:57:44,159767,3141,471806,22688
23-03 13:57:45,159767,3141,471267,22688
23-03 13:57:46,159767,3141,471044,22688
23-03 13:57:47,159767,3141,495049,22688
23-03 13:57:48,159767,3141,492077,22688
23-03 13:57:49,159767,3141,492313,22688
23-03 13:57:50,159767,3141,492276,22688
23-03 13:57:51,159767,3141,492113,22688
23-03 13:57:52,159767,3141,516991,22688
23-03 13:57:53,159767,3141,516751,22688
23-03 13:57:54,159767,3141,517975,22688
23-03 13:57:55,159767,3141,518038,22688
23-03 13:57:56,159767,3141,518551,22688
23-03 13:57:57,159767,3141,518226,22688
23-03 13:57:58,159767,3141,518450,22688
23-03 13:57:59,159767,3141,516817,22688
23-03 13:58:00,159767,3141,516495,22688
23-03 13:58:01,159767,3141,516002,22688
23-03 13:58:02,159767,3141,512466,22688
23-03 13:58:03,159767,3141,507003,22688
23-03 13:58:04,159767,3141,505982,22688
23-03 13:58:05,159767,3141,505498,22688
23-03 13:58:06,159767,3141,505167,22688
23-03 13:58:07,159767,3141,504564,22688
23-03 13:58:08,159767,3141,504409,22688
23-03 13:58:09,159767,3141,501230,22688
23-03 13:58:10,159767,3141,500933,22688
23-03 13:58:11,159767,3141,500833,22688
23-03 13:58:12,159767,3141,501058,22688
23-03 13:58:13,159767,3141,516497,22688
23-03 13:58:14,159767,3141,516301,22688
23-03 13:58:15,159767,3141,521965,22688
23-03 13:58:16,159767,3141,522529,22688
23-03 13:58:17,159767,3141,517528,22688
23-03 13:58:18,159767,3141,521595,22688
23-03 13:58:19,159767,3141,518677,22688
23-03 13:58:20,159767,3141,516340,22688
23-03 13:58:21,159767,3141,522993,22688
23-03 13:58:22,159767,3141,528791,22688
23-03 13:58:23,159767,3141,528603,22688
23-03 13:58:24,159767,3141,522954,22688
23-03 13:58:25,159767,3141,522234,22688
23-03 13:58:26,159767,3141,523648,22688
23-03 13:58:27,159767,3141,522912,22688
23-03 13:58:28,159767,3141,519562,22688
23-03 13:58:29,159767,3141,521799,22688
23-03 13:58:30,159767,3141,525422,22688
23-03 13:58:31,159767,3141,525816,22688
23-03 13:58:32,159767,3141,519664,22688
23-03 13:58:33,159767,3141,522381,22688
23-03 13:58:34,159767,3141,522549,22688
23-03 13:58:35,159767,3141,522117,22688
23-03 13:58:36,159767,3141,529790,22688
23-03 13:58:37,159767,3141,529232,22688
23-03 13:58:38,159767,3141,528871,22688
23-03 13:58:39,159767,3141,527080,22688
23-03 13:58:40,159767,3141,524805,22688
23-03 13:58:41,159767,3141,525150,22688
23-03 13:58:42,159767,3141,524678,22688
23-03 13:58:43,159767,3141,519062,22688
23-03 13:58:44,159767,3141,492613,22688
23-03 13:58:45,159767,3141,492145,22688
23-03 13:58:46,159767,3141,491858,22688
23-03 13:58:47,159767,3141,485573,22688
23-03 13:58:48,159767,3141,484596,22688
23-03 13:58:49,159767,3141,484301,22688
23-03 13:58:50,159767,3141,478715,22688
23-03 13:58:51,159767,3141,479777,22688
23-03 13:58:52,159767,3141,479354,22688
23-03 13:58:53,159767,3141,484683,22688
23-03 13:58:54,159767,3141,479546,22688
23-03 13:58:55,159767,3141,478814,22688
23-03 13:58:56,159767,3141,478100,22688
23-03 13:58:57,159767,3141,479073,22688
23-03 13:58:58,159767,3141,481352,22688
23-03 13:58:59,159767,3141,480836,22688
23-03 13:59:00,159767,3141,480764,22688
23-03 13:59:01,159767,3141,480806,22688
23-03 13:59:02,159767,3141,478884,22688
23-03 13:59:03,159767,3141,478472,22688
23-03 13:59:04,159767,3141,470992,22688
23-03 13:59:05,159767,3141,470950,22688
23-03 13:59:06,159767,3141,474950,22688
23-03 13:59:07,159767,3141,474772,22688
23-03 13:59:08,159767,3141,474607,22688
23-03 13:59:09,159767,3141,471182,22688
23-03 13:59:10,159767,3141,468807,22688
23-03 13:59:11,159767,3141,470054,22688
23-03 13:59:12,159767,3141,480750,22688
23-03 13:59:13,159767,3141,480161,22688
23-03 13:59:14,159767,3141,479993,22688
23-03 13:59:15,159767,3141,484884,22688
23-03 13:59:16,159767,3141,484239,22688
23-03 13:59:17,159767,3141,481115,22688
23-03 13:59:18,159767,3141,480345,22688
23-03 13:59:19,159767,3141,480170,22688
23-03 13:59:20,159767,3141,473331,22688
23-03 13:59:21,159767,3141,488791,22688
23-03 13:59:22,159767,3141,494495,22688
23-03 13:59:23,159767,3141,493706,22688
23-03 13:59:24,159767,3141,490946,22688
23-03 13:59:25,159767,3141,489821,22688
23-03 13:59:26,159767,3141,490281,22688
23-03 13:59:27,159767,3141,492174,22688
23-03 13:59:28,159767,3141,491706,22688
23-03 13:59:29,159767,3141,506825,22688
23-03 13:59:30,159767,3141,506747,22688
23-03 13:59:31,159767,3141,506550,22688
23-03 13:59:32,159767,3141,503242,22688
23-03 13:59:33,159767,3141,502974,22688
23-03 13:59:34,159767,3141,502566,22688
23-03 13:59:35,159767,3141,502408,22688
23-03 13:59:36,159767,3141,504034,22688
23-03 13:59:37,159767,3141,505444,22688
23-03 13:59:38,159767,3141,505178,22688
23-03 13:59:39,159767,3141,515734,22688
23-03 13:59:40,159767,3141,518289,22688
23-03 13:59:41,159767,3141,518066,22688
23-03 13:59:42,159767,3141,518171,22688
23-03 13:59:43,159767,3141,519859,22688
23-03 13:59:44,159767,3141,533069,22688
23-03 13:59:45,159767,3141,533027,22688
23-03 13:59:46,159767,3141,532860,22688
23-03 13:59:47,159767,3141,530360,22688
23-03 13:59:48,159767,3141,529943,22688
23-03 13:59:49,159767,3141,533269,22688
23-03 13:59:50,159767,3141,528265,22688
23-03 13:59:51,159767,3141,528310,22688
23-03 13:59:52,159767,3141,531882,22688
23-03 13:59:53,159767,3141,531717,22688
23-03 13:59:54,159767,3141,535933,22688
23-03 13:59:55,159767,3141,530300,22688
23-03 13:59:56,159767,3141,532038,22688
23-03 13:59:57,159767,3141,532753,22688
23-03 13:59:58,159767,3141,532406,22688
23-03 13:59:59,159767,3141,499557,22688
23-03 14:00:00,159767,3141,499569,22688
23-03 14:00:01,159767,3141,498978,22688
23-03 14:00:02,159767,3141,500349,22688
23-03 14:00:03,159767,3141,500321,22688
23-03 14:00:04,159767,3141,499956,22688
23-03 14:00:05,159767,3141,499917,22688
23-03 14:00:06,159767,3141,499493,22688
23-03 14:00:07,159767,3141,499223,22688
23-03 14:00:08,159767,3141,498228,22688
23-03 14:00:09,159767,3141,491195,22688
23-03 14:00:10,159767,3141,490618,22688
23-03 14:00:11,159767,3141,491355,22688
23-03 14:00:12,159767,3141,490935,22688
23-03 14:00:13,159767,3141,490842,22688
23-03 14:00:14,159767,3141,495928,22688
23-03 14:00:15,159767,3141,497883,22688
23-03 14:00:16,159767,3141,497727,22688
23-03 14:00:17,159767,3141,498102,22688
23-03 14:00:18,159767,3141,498845,22688
23-03 14:00:19,159767,3141,498706,22688
23-03 14:00:20,159767,3141,493074,22688
23-03 14:00:21,159767,3141,493595,22688
23-03 14:00:22,159767,3141,497025,22688
23-03 14:00:23,159767,3141,496550,22688
23-03 14:00:24,159767,3141,504952,22688
23-03 14:00:25,159767,3141,500394,22688
23-03 14:00:26,159767,3141,528767,22688
23-03 14:00:27,159767,3141,533640,22688
23-03 14:00:28,159767,3141,533491,22688
23-03 14:00:29,159767,3141,540237,22688
23-03 14:00:30,159767,3141,541567,22688
23-03 14:00:31,159767,3141,541380,22688
23-03 14:00:32,159767,3141,538287,22688
23-03 14:00:33,159767,3141,538110,22688
23-03 14:00:34,159767,3141,538292,22688
23-03 14:00:35,159767,3141,538067,22688
23-03 14:00:36,159767,3141,538103,22688
23-03 14:00:37,159767,3141,501524,22688
23-03 14:00:38,159767,3141,500541,22688
23-03 14:00:39,159767,3141,499939,22688
23-03 14:00:40,159767,3141,499130,22688
23-03 14:00:41,159767,3141,498534,22688
23-03 14:00:42,159767,3141,498122,22688
23-03 14:00:43,159767,3141,499177,22688
23-03 14:00:44,159767,3141,504978,22688
23-03 14:00:45,159767,3141,504644,22688
23-03 14:00:46,159767,3141,504756,22688
23-03 14:00:47,159767,3141,498921,22688
23-03 14:00:48,159767,3141,498032,22688
23-03 14:00:49,159767,3141,492437,22688
23-03 14:00:50,159767,3141,494672,22688
23-03 14:00:51,159767,3141,494080,22688
23-03 14:00:52,159767,3141,494922,22688
23-03 14:00:53,159767,3141,499863,22688
23-03 14:00:54,159767,3141,503505,22688
23-03 14:00:55,159767,3141,505150,22688
23-03 14:00:56,159767,3141,497569,22688
23-03 14:00:57,159767,3141,526537,22688
23-03 14:00:58,159767,3141,525618,22688
23-03 14:00:59,159767,3141,524649,22688
23-03 14:01:00,159767,3141,524296,22688
23-03 14:01:01,159767,3141,523954,22688
23-03 14:01:02,159767,3141,520270,22688
23-03 14:01:03,159767,3141,520113,22688
23-03 14:01:04,159767,3141,520147,22688
23-03 14:01:05,159767,3141,528298,22688
23-03 14:01:06,159767,3141,528380,22688
23-03 14:01:07,159767,3141,528281,22688
23-03 14:01:08,159767,3141,528235,22688
23-03 14:01:09,159767,3141,528142,22688
23-03 14:01:10,159767,3141,524125,22688
23-03 14:01:11,159767,3141,525983,22688
23-03 14:01:12,159767,3141,525430,22688
23-03 14:01:13,159767,3141,525150,22688
23-03 14:01:14,159767,3141,487932,22688
23-03 14:01:15,159767,3141,487123,22688
23-03 14:01:16,159767,3141,486955,22688
23-03 14:01:17,159767,3141,480921,22688
23-03 14:01:18,159767,3141,480955,22688
23-03 14:01:19,159767,3141,482642,22688
23-03 14:01:20,159767,3141,476923,22688
23-03 14:01:21,159767,3141,476566,22688
23-03 14:01:22,159767,3141,481293,22688
23-03 14:01:23,159767,3141,481214,22688
23-03 14:01:24,159767,3141,480624,22688
23-03 14:01:25,159767,3141,476480,22688
23-03 14:01:26,159767,3141,482467,22688
23-03 14:01:27,159767,3141,482121,22688
23-03 14:01:28,159767,3141,482079,22688
23-03 14:01:29,159767,3141,487210,22688
23-03 14:01:30,159767,3141,487486,22688
23-03 14:01:31,159767,3141,487204,22688
23-03 14:01:32,159767,3141,489064,22688
23-03 14:01:33,159767,3141,489030,22688
23-03 14:01:34,159767,3141,488578,22688
23-03 14:01:35,159767,3141,488428,22688
23-03 14:01:36,159767,3141,488379,22688
23-03 14:01:37,159767,3141,488288,22688
23-03 14:01:38,159767,3141,488365,22688
23-03 14:01:39,159767,3141,520554,22688
23-03 14:01:40,159767,3141,514846,22688
23-03 14:01:41,159767,3141,514493,22688
23-03 14:01:42,159767,3141,514772,22688
23-03 14:01:43,159767,3141,534458,22688
23-03 14:01:44,159767,3141,534515,22688
23-03 14:01:45,159767,3141,533936,22688
23-03 14:01:46,159767,3141,534432,22688
23-03 14:01:47,159767,3141,532838,22688
23-03 14:01:48,159767,3141,532568,22688
23-03 14:01:49,159767,3141,529853,22688
23-03 14:01:50,159767,3141,522513,22688
23-03 14:01:51,159767,3141,522457,22688
23-03 14:01:52,159767,3141,490928,22688
23-03 14:01:53,159767,3141,494481,22688
23-03 14:01:54,159767,3141,494270,22688
23-03 14:01:55,159767,3141,489873,22688
23-03 14:01:56,159767,3141,490417,22688
23-03 14:01:57,159767,3141,490311,22688
23-03 14:01:58,159767,3141,490679,22688
23-03 14:01:59,159767,3141,492105,22688
23-03 14:02:00,159767,3141,491973,22688
23-03 14:02:01,159767,3141,491816,22688
23-03 14:02:02,159767,3141,490685,22688
23-03 14:02:03,159767,3141,490518,22688
23-03 14:02:04,159767,3141,486276,22688
23-03 14:02:05,159767,3141,485766,22688
23-03 14:02:06,159767,3141,485668,22688
23-03 14:02:07,159767,3141,489476,22688
23-03 14:02:08,159767,3141,493124,22688
23-03 14:02:09,159767,3141,493338,22688
23-03 14:02:10,159767,3141,491117,22688
23-03 14:02:11,159767,3141,530508,22688
23-03 14:02:12,159767,3141,530794,22688
23-03 14:02:13,159767,3141,530616,22688
23-03 14:02:14,159767,3141,530450,22688
23-03 14:02:15,159767,3141,530262,22688
23-03 14:02:16,159767,3141,530006,22688
23-03 14:02:17,159767,3141,528651,22688
23-03 14:02:18,159767,3141,529433,22688
23-03 14:02:19,159767,3141,534021,22688
23-03 14:02:20,159767,3141,530636,22688
23-03 14:02:21,159767,3141,530616,22688
23-03 14:02:22,159767,3141,540032,22688
23-03 14:02:23,159767,3141,539381,22688
23-03 14:02:24,159767,3141,539221,22688
23-03 14:02:25,159767,3141,532150,22688
23-03 14:02:26,159767,3141,534910,22688
23-03 14:02:27,159767,3141,535718,22688
23-03 14:02:28,159767,3141,537486,22688
23-03 14:02:29,159767,3141,537130,22688
23-03 14:02:30,159767,3141,503779,22688
23-03 14:02:31,159767,3141,503491,22688
23-03 14:02:32,159767,3141,496771,22688
23-03 14:02:33,159767,3141,496673,22688
23-03 14:02:34,159767,3141,496323,22688
23-03 14:02:35,159767,3141,496277,22688
23-03 14:02:36,159767,3141,497219,22688
23-03 14:02:37,159767,3141,497057,22688
23-03 14:02:38,159767,3141,497264,22688
23-03 14:02:39,159767,3141,497537,22688
23-03 14:02:40,159767,3141,497961,22688
23-03 14:02:41,159767,3141,497478,22688
23-03 14:02:42,159767,3141,497058,22688
23-03 14:02:43,159767,3141,496890,22688
23-03 14:02:44,159767,3141,496660,22688
23-03 14:02:45,159767,3141,496485,22688
23-03 14:02:46,159767,3141,495820,22688
23-03 14:02:47,159767,3141,490927,22688
23-03 14:02:48,159767,3141,491251,22688
23-03 14:02:49,159767,3141,491122,22688
23-03 14:02:50,159767,3141,496983,22688
23-03 14:02:51,159767,3141,496188,22688
23-03 14:02:52,159767,3141,501950,22688
23-03 14:02:53,159767,3141,501662,22688
23-03 14:02:54,159767,3141,501494,22688
23-03 14:02:55,159767,3141,496990,22688
23-03 14:02:56,159767,3141,503436,22688
23-03 14:02:57,159767,3141,503387,22688
23-03 14:02:58,159767,3141,506319,22688
23-03 14:02:59,159767,3141,506225,22688
23-03 14:03:00,159767,3141,506023,22688
23-03 14:03:01,159767,3141,513671,22688
23-03 14:03:02,159767,3141,521688,22688
23-03 14:03:03,159767,3141,521208,22688
23-03 14:03:04,159767,3141,521047,22688
23-03 14:03:05,159767,3141,520820,22688
23-03 14:03:06,159767,3141,520214,22688
23-03 14:03:07,159767,3141,522214,22688
23-03 14:03:08,159767,3141,488280,22688
23-03 14:03:09,159767,3141,488168,22688
23-03 14:03:10,159767,3141,485805,22688
23-03 14:03:11,159767,3141,485575,22688
23-03 14:03:12,159767,3141,484901,22688
23-03 14:03:13,159767,3141,484677,22688
23-03 14:03:14,159767,3141,484513,22688
23-03 14:03:15,159767,3141,503520,22688
23-03 14:03:16,159767,3141,502859,22688
23-03 14:03:17,159767,3141,525609,22688
23-03 14:03:18,159767,3141,525553,22688
23-03 14:03:19,159767,3141,525378,22688
23-03 14:03:20,159767,3141,518967,22688
23-03 14:03:21,159767,3141,518547,22688
23-03 14:03:22,159767,3141,522232,22688
23-03 14:03:23,159767,3141,533769,22688
23-03 14:03:24,159767,3141,533601,22688
23-03 14:03:25,159767,3141,531624,22688
23-03 14:03:26,159767,3141,531133,22688
23-03 14:03:27,159767,3141,531777,22688
23-03 14:03:28,159767,3141,531450,22688
23-03 14:03:29,159767,3141,531039,22688
23-03 14:03:30,159767,3141,531210,22688
23-03 14:03:31,159767,3141,531632,22688
23-03 14:03:32,159767,3141,526550,22688
23-03 14:03:33,159767,3141,526321,22688
23-03 14:03:34,159767,3141,525841,22688
23-03 14:03:35,159767,3141,525736,22688
23-03 14:03:36,159767,3141,534163,22688
23-03 14:03:37,159767,3141,528216,22688
23-03 14:03:38,159767,3141,528200,22688
23-03 14:03:39,159767,3141,527972,22688
23-03 14:03:40,159767,3141,527930,22688
23-03 14:03:41,159767,3141,527712,22688
23-03 14:03:42,159767,3141,527161,22688
23-03 14:03:43,159767,3141,527047,22688
23-03 14:03:44,159767,3141,529226,22688
23-03 14:03:45,159767,3141,491146,22688
23-03 14:03:46,159767,3141,490695,22688
23-03 14:03:47,159767,3141,494310,22688
23-03 14:03:48,159767,3141,494449,22688
23-03 14:03:49,159767,3141,494162,22688
23-03 14:03:50,159767,3141,487466,22688
23-03 14:03:51,159767,3141,487246,22688
23-03 14:03:52,159767,3141,490930,22688
23-03 14:03:53,159767,3141,490846,22688
23-03 14:03:54,159767,3141,494056,22688
23-03 14:03:55,159767,3141,493112,22688
23-03 14:03:56,159767,3141,490076,22688
23-03 14:03:57,159767,3141,490086,22688
23-03 14:03:58,159767,3141,506271,22688
23-03 14:03:59,159767,3141,531146,22688
23-03 14:04:00,159767,3141,536911,22688
23-03 14:04:01,159767,3141,537153,22688
23-03 14:04:02,159767,3141,536617,22688
23-03 14:04:03,159767,3141,536007,22688
23-03 14:04:04,159767,3141,535912,22688
23-03 14:04:05,159767,3141,535684,22688
23-03 14:04:06,159767,3141,535594,22688
23-03 14:04:07,159767,3141,535407,22688
23-03 14:04:08,159767,3141,535369,22688
23-03 14:04:09,159767,3141,535256,22688
23-03 14:04:10,159767,3141,532436,22688
23-03 14:04:11,159767,3141,532271,22688
23-03 14:04:12,159767,3141,531847,22688
23-03 14:04:13,159767,3141,540517,22688
23-03 14:04:14,159767,3141,540231,22688
23-03 14:04:15,159767,3141,540120,22688
23-03 14:04:16,159767,3141,539950,22688
23-03 14:04:17,159767,3141,536852,22688
23-03 14:04:18,159767,3141,536017,22688
23-03 14:04:19,159767,3141,535093,22688
23-03 14:04:20,159767,3141,530013,22688
23-03 14:04:21,159767,3141,529345,22688
23-03 14:04:22,159767,3141,535811,22688
23-03 14:04:23,159767,3141,503348,22688
23-03 14:04:24,159767,3141,503178,22688
23-03 14:04:25,159767,3141,496776,22688
23-03 14:04:26,159767,3141,495927,22688
23-03 14:04:27,159767,3141,495024,22688
23-03 14:04:28,159767,3141,494604,22688
23-03 14:04:29,159767,3141,494359,22688
23-03 14:04:30,159767,3141,494756,22688
23-03 14:04:31,159767,3141,494701,22688
23-03 14:04:32,159767,3141,490663,22688
23-03 14:04:33,159767,3141,489934,22688
23-03 14:04:34,159767,3141,489706,22688
23-03 14:04:35,159767,3141,511293,22688
