"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dstat/unix_disk_net_aio_vm-adv_udp.csv --unix --disk --net --aio --vm-adv --udp 1 600",,,,"Date:","22 Mar 2023 22:13:13 -03"
"unix sockets",,,,"dsk/total",,"net/total",,"async","advanced virtual memory",,,,,"udp",
56,874,54,820,0,0,0,0,0,0,0,0,0,0,17,7
56,874,54,820,0,0,0,0,0,0,0,0,0,0,17,7
56,874,54,820,0,0,245,365,0,0,0,0,0,0,17,7
56,874,54,820,0,0,16495,6193,0,0,0,0,0,0,17,7
56,874,54,820,16384,3784704,995,292,0,0,0,0,0,0,17,7
56,874,54,820,0,0,194,0,0,0,0,0,0,0,17,7
56,874,54,820,0,0,0,0,0,0,0,0,0,0,17,7
56,874,54,820,0,0,0,0,0,0,0,0,0,0,17,7
56,874,54,820,0,0,167,358,0,0,0,0,0,0,17,7
56,874,54,820,24576,4677632,0,0,0,0,0,0,0,0,17,7
56,874,54,820,0,0,0,0,0,0,0,0,0,0,17,7
56,874,54,820,0,0,1249,3192,0,0,0,0,0,0,17,7
56,874,54,820,0,0,28651,3146,0,0,0,0,0,0,17,7
56,874,54,820,0,0,82,358,0,0,0,0,0,0,17,7
56,874,54,820,0,2039808,18400,5854,0,0,0,0,0,0,17,7
56,874,54,820,0,0,876,126,0,0,0,0,0,0,17,7
56,874,54,820,0,0,0,0,0,0,0,0,0,0,17,7
56,874,54,820,0,0,167,187,0,0,0,0,0,0,17,7
56,874,54,820,0,0,167,545,0,0,0,0,0,0,17,7
56,874,54,820,8192,7168000,0,0,0,0,0,0,0,0,17,7
56,874,54,820,0,0,0,0,0,0,0,0,0,0,17,7
56,874,54,820,0,0,0,0,0,0,0,0,0,0,17,7
56,874,54,820,0,0,167,259,0,0,0,0,0,0,17,7
56,874,54,820,0,0,229,545,0,0,0,0,0,0,17,7
56,874,54,820,0,4341760,0,0,0,0,0,0,0,0,17,7
56,874,54,820,0,0,16427,5814,0,0,0,0,0,0,17,7
56,874,54,820,0,0,1399,126,0,0,0,0,0,0,17,7
56,888,54,834,0,655360,18097,9789,0,0,0,0,0,0,17,8
56,890,54,836,0,6635520,14759,13080,0,0,0,0,0,0,17,9
56,890,54,836,0,5668864,1538,2920,0,0,0,0,0,0,17,9
56,890,54,836,0,0,344,460,0,0,0,0,0,0,17,9
56,890,54,836,0,3964928,44843,2422,0,0,0,0,0,0,17,9
56,892,54,838,0,0,167,187,0,0,0,0,0,0,17,9
56,890,54,836,0,0,78,106,0,0,0,0,0,0,17,9
56,890,54,836,0,2097152,0,0,0,0,0,0,0,0,17,9
56,890,54,836,0,0,0,0,0,0,0,0,0,0,17,9
56,890,54,836,0,0,17261,5940,0,0,0,0,0,0,17,9
56,890,54,836,0,1220608,424,0,0,0,0,0,0,0,17,9
56,890,54,836,0,0,167,187,0,0,0,0,0,0,17,9
56,890,54,836,0,0,0,0,0,0,0,0,0,0,17,9
56,890,54,836,0,3629056,0,0,0,0,0,0,0,0,17,9
56,890,54,836,0,0,70,0,0,0,0,0,0,0,17,9
56,890,54,836,0,827392,253,365,0,0,0,0,0,0,17,9
56,890,54,836,0,0,693,430,0,0,0,0,0,0,17,9
56,890,54,836,0,0,0,0,0,0,0,0,0,0,17,9
56,890,54,836,0,1646592,0,0,0,0,0,0,0,0,17,9
56,884,54,830,0,0,298,1150,0,0,0,0,0,0,17,9
56,874,54,820,0,589824,15739,4159,0,0,0,0,0,0,17,9
56,874,54,820,0,0,1549,729,0,0,0,0,0,0,17,9
56,874,54,820,0,1138688,0,0,0,0,0,0,0,0,17,9
56,874,54,820,0,3407872,0,0,0,0,0,0,0,0,17,9
56,874,54,820,0,0,0,0,0,0,0,0,0,0,17,9
56,874,54,820,0,909312,0,0,0,0,0,0,0,0,17,9
56,874,54,820,0,0,0,0,0,0,0,0,0,0,17,9
56,874,54,820,0,0,56,432,0,0,0,0,0,0,17,9
56,874,54,820,0,5390336,167,187,0,0,0,0,0,0,17,9
56,874,54,820,0,0,0,0,0,0,0,0,0,0,17,9
56,874,54,820,0,2023424,0,0,0,0,0,0,0,0,17,8
56,874,54,820,0,147456,16515,5835,0,0,0,0,0,0,17,8
56,874,54,820,0,0,995,292,0,0,0,0,0,0,17,8
56,874,54,820,0,1851392,0,358,0,0,0,0,0,0,17,7
56,874,54,820,0,0,0,0,0,0,0,0,0,0,17,7
56,874,54,820,0,0,591,259,0,0,0,0,0,0,17,7
56,874,54,820,0,581632,229,187,0,0,0,0,0,0,17,7
56,874,54,820,0,0,0,0,0,0,0,0,0,0,17,7
56,874,54,820,0,4481024,0,358,0,0,0,0,0,0,17,7
56,874,54,820,0,0,0,0,0,0,0,0,0,0,17,7
56,874,54,820,0,0,0,0,0,0,0,0,0,0,17,7
56,874,54,820,0,409600,0,0,0,0,0,0,0,0,17,7
56,874,54,820,0,0,18196,6877,0,0,0,0,0,0,17,7
56,874,54,820,0,2187264,86,358,0,0,0,0,0,0,17,7
56,874,54,820,0,0,110,130,0,0,0,0,0,0,17,7
56,874,54,820,0,0,0,0,0,0,0,0,0,0,17,7
56,874,54,820,0,655360,82,0,0,0,0,0,0,0,17,7
56,874,54,820,0,0,28238,6362,0,0,0,0,0,0,17,7
56,874,54,820,0,1449984,0,358,0,0,0,0,0,0,17,7
56,874,54,820,0,0,6055,200,0,0,0,0,0,0,17,7
56,874,54,820,0,0,209,187,0,0,0,0,0,0,17,7
56,874,54,820,0,0,334,374,0,0,0,0,0,0,17,7
56,874,54,820,0,409600,344,1150,0,0,0,0,0,0,17,7
56,874,54,820,0,0,12467,3762,0,0,0,0,0,0,17,7
56,874,54,820,0,3784704,0,528,0,0,0,0,0,0,17,7
56,874,54,820,0,0,7325,1577,0,0,0,0,0,0,17,7
56,874,54,820,0,0,229,187,0,0,0,0,0,0,17,7
56,874,54,820,0,0,0,0,0,0,0,0,0,0,17,7
56,874,54,820,0,638976,46,0,0,0,0,0,0,0,17,7
56,874,54,820,0,3235840,0,358,0,0,0,0,0,0,17,7
56,874,54,820,0,0,1480,590,0,0,0,0,0,0,17,7
56,874,54,820,0,0,0,0,0,0,0,0,0,0,17,7
56,874,54,820,0,0,167,187,0,0,0,0,0,0,17,7
56,874,54,820,0,0,0,0,0,0,0,0,0,0,17,7
56,874,54,820,0,4014080,82,358,0,0,0,0,0,0,17,7
56,874,54,820,0,0,1659,4592,0,0,0,0,0,0,17,7
56,874,54,820,0,0,15928,1702,0,0,0,0,0,0,17,7
56,874,54,820,0,0,258,294,0,0,0,0,0,0,17,7
56,874,54,820,0,0,0,0,0,0,0,0,0,0,17,7
56,874,54,820,0,4014080,0,0,0,0,0,0,0,0,17,7
56,874,54,820,0,0,240,358,0,0,0,0,0,0,17,7
56,874,54,820,0,0,167,187,0,0,0,0,0,0,17,7
56,874,54,820,0,0,78,106,0,0,0,0,0,0,17,7
56,874,54,820,0,0,0,0,0,0,0,0,0,0,17,7
56,874,54,820,0,4890624,70,0,0,0,0,0,0,0,17,7
56,874,54,820,0,2048000,167,617,0,0,0,0,0,0,17,7
56,874,54,820,0,0,1970,4677,0,0,0,0,0,0,17,7
56,874,54,820,0,0,15562,1410,0,0,0,0,0,0,17,7
56,874,54,820,0,0,167,187,0,0,0,0,0,0,17,7
56,874,54,820,0,3391488,0,0,0,0,0,0,0,0,17,7
56,874,54,820,0,0,0,358,0,0,0,0,0,0,17,7
56,874,54,820,0,753664,0,0,0,0,0,0,0,0,17,7
56,874,54,820,0,0,0,0,0,0,0,0,0,0,17,7
56,876,54,822,0,0,0,0,0,0,0,0,0,0,17,7
56,874,54,820,0,499712,0,920,0,0,0,0,0,0,20,7
56,874,54,820,0,0,868,1524,0,0,0,0,0,0,20,7
56,874,54,820,0,0,226,1404,0,0,0,0,0,0,20,7
56,874,54,820,0,622592,15817,5850,0,0,0,0,0,0,20,7
56,874,54,820,0,0,1500,998,0,0,0,0,0,0,20,7
56,874,54,820,24576,3244032,0,0,0,0,0,0,0,0,17,7
56,874,54,820,0,0,167,187,0,0,0,0,0,0,17,7
56,874,54,820,0,0,167,545,0,0,0,0,0,0,17,7
56,874,54,820,0,0,8505,11085,0,0,0,0,0,0,17,7
56,874,54,820,0,475136,0,0,0,0,0,0,0,0,17,7
56,874,54,820,0,0,0,0,0,0,0,0,0,0,17,7
56,874,54,820,16384,6397952,334,446,0,0,0,0,0,0,17,7
56,874,54,820,0,0,229,545,0,0,0,0,0,0,17,7
56,874,54,820,0,0,0,0,0,0,0,0,0,0,17,7
56,874,54,820,0,745472,16579,5814,0,0,0,0,0,0,17,7
56,874,54,820,0,0,1043,313,0,0,0,0,0,0,17,7
56,874,54,820,8192,1802240,0,0,0,0,0,0,0,0,17,7
56,874,54,820,0,0,167,358,0,0,0,0,0,0,17,7
56,874,54,820,0,630784,0,0,0,0,0,0,0,0,17,7
56,874,54,820,0,0,0,0,0,0,0,0,0,0,17,7
56,874,54,820,0,0,0,0,0,0,0,0,0,0,17,7
56,876,54,822,0,2080768,842,656,0,0,0,0,0,0,17,7
56,876,54,822,0,0,82,206,0,0,0,0,0,0,17,7
56,876,54,822,0,0,167,545,0,0,0,0,0,0,17,7
56,876,54,822,0,417792,0,206,0,0,0,0,0,0,17,7
56,876,54,822,0,0,50408,17972,0,0,0,0,0,0,17,7
56,876,54,822,0,4538368,15807,982,0,0,0,0,0,0,17,7
56,876,54,822,0,0,167,187,0,0,0,0,0,0,17,7
56,876,54,822,0,0,167,751,0,0,0,0,0,0,17,7
56,876,54,822,0,0,0,0,0,0,0,0,0,0,17,7
56,876,54,822,0,720896,0,0,0,0,0,0,0,0,17,7
56,876,54,822,8192,1523712,167,259,0,0,0,0,0,0,17,7
56,876,54,822,0,0,229,187,0,0,0,0,0,0,17,7
56,876,54,822,0,0,0,358,0,0,0,0,0,0,17,7
56,876,54,822,0,0,0,0,0,0,0,0,0,0,17,7
56,876,54,822,0,663552,298,1707,0,0,0,0,0,0,17,7
56,876,54,822,24576,2457600,17163,4193,0,0,0,0,0,0,17,7
56,876,54,822,0,0,523,206,0,0,0,0,0,0,17,7
56,876,54,822,0,0,175,358,0,0,0,0,0,0,17,7
56,876,54,822,0,0,0,0,0,0,0,0,0,0,17,7
56,876,54,822,0,417792,0,0,0,0,0,0,0,0,17,7
56,874,54,820,16384,3547136,0,0,0,0,0,0,0,0,17,7
56,874,54,820,0,0,0,0,0,0,0,0,0,0,17,7
56,874,54,820,0,0,0,0,0,0,0,0,0,0,17,7
56,874,54,820,0,0,0,358,0,0,0,0,0,0,17,7
56,874,54,820,0,753664,298,1150,0,0,0,0,0,0,17,7
56,874,54,820,0,3563520,18064,8059,0,0,0,0,0,0,17,7
56,874,54,820,0,0,16213,3544,0,0,0,0,0,0,17,7
56,874,54,820,0,0,0,0,0,0,0,0,0,0,17,7
56,874,54,820,0,0,0,0,0,0,0,0,0,0,17,7
56,874,54,820,0,0,70,0,0,0,0,0,0,0,17,7
56,874,54,820,0,3932160,817,743,0,0,0,0,0,0,17,7
56,874,54,820,0,0,311,187,0,0,0,0,0,0,17,7
56,874,54,820,0,0,0,0,0,0,0,0,0,0,17,7
56,876,54,822,0,0,548,559,0,0,0,0,0,0,17,7
56,874,54,820,0,0,512,445,0,0,0,0,0,0,17,7
56,874,54,820,0,0,0,0,0,0,0,0,0,0,17,7
56,874,54,820,0,3006464,1249,3192,0,0,0,0,0,0,17,7
56,874,54,820,0,0,15972,2668,0,0,0,0,0,0,17,7
56,874,54,820,0,0,0,0,0,0,0,0,0,0,17,7
56,874,54,820,0,0,167,187,0,0,0,0,0,0,17,7
56,874,54,820,0,0,0,0,0,0,0,0,0,0,17,7
56,874,54,820,0,2809856,2148,2380,0,0,0,0,0,0,17,7
56,874,54,820,0,0,0,0,0,0,0,0,0,0,17,7
56,874,54,820,0,0,0,0,0,0,0,0,0,0,17,7
56,874,54,820,0,0,0,0,0,0,0,0,0,0,17,7
56,874,54,820,0,0,56,74,0,0,0,0,0,0,17,7
56,874,54,820,0,4087808,315,625,0,0,0,0,0,0,17,7
56,874,54,820,0,0,1502,3485,0,0,0,0,0,0,17,7
56,874,54,820,0,0,16012,2748,0,0,0,0,0,0,17,7
56,874,54,820,0,0,0,358,0,0,0,0,0,0,17,7
56,874,54,820,0,0,167,259,0,0,0,0,0,0,17,7
56,874,54,820,0,3956736,229,187,0,0,0,0,0,0,17,7
56,874,54,820,0,0,586,603,0,0,0,0,0,0,17,7
56,874,54,820,0,0,80,40,0,0,0,0,0,0,17,7
56,874,54,820,0,0,0,0,0,0,0,0,0,0,17,7
56,874,54,820,0,0,424,358,0,0,0,0,0,0,17,7
56,874,54,820,0,1212416,0,0,0,0,0,0,0,0,17,7
56,874,54,820,0,0,0,0,0,0,0,0,0,0,17,7
56,874,54,820,0,0,1249,3192,0,0,0,0,0,0,17,7
56,874,54,820,0,0,15972,2668,0,0,0,0,0,0,17,7
56,874,54,820,0,0,0,358,0,0,0,0,0,0,17,7
56,874,54,820,0,5980160,82,0,0,0,0,0,0,0,17,7
56,874,54,820,0,0,0,0,0,0,0,0,0,0,17,7
56,874,54,820,0,0,0,0,0,0,0,0,0,0,17,7
56,874,54,820,0,0,0,0,0,0,0,0,0,0,17,7
56,874,54,820,0,0,16625,5754,0,0,0,0,0,0,17,7
56,874,54,820,0,4022272,15353,1169,0,0,0,0,0,0,17,7
56,874,54,820,0,0,0,0,0,0,0,0,0,0,17,7
56,874,54,820,0,0,0,0,0,0,0,0,0,0,17,7
56,874,54,820,0,0,1416,3379,0,0,0,0,0,0,17,7
56,874,54,820,0,0,16181,2967,0,0,0,0,0,0,17,7
56,874,54,820,0,876544,229,545,0,0,0,0,0,0,17,7
56,874,54,820,0,0,0,0,0,0,0,0,0,0,17,7
56,874,54,820,0,0,0,0,0,0,0,0,0,0,17,7
56,874,54,820,0,0,46,0,0,0,0,0,0,0,17,7
56,874,54,820,0,0,46,0,0,0,0,0,0,0,17,7
56,874,54,820,0,0,0,358,0,0,0,0,0,0,17,7
56,874,54,820,0,5054464,569,0,0,0,0,0,0,0,17,7
56,874,54,820,0,0,175,0,0,0,0,0,0,0,17,7
56,874,54,820,0,0,0,0,0,0,0,0,0,0,17,7
56,874,54,820,0,0,2043,4490,0,0,0,0,0,0,17,7
56,874,54,820,0,0,10964,610,0,0,0,0,0,0,17,7
56,874,54,820,0,4620288,7158,1318,0,0,0,0,0,0,17,7
56,874,54,820,0,98304,0,0,0,0,0,0,0,0,17,7
56,874,54,820,0,401408,167,187,0,0,0,0,0,0,17,7
56,874,54,820,0,0,0,0,0,0,0,0,0,0,17,7
56,874,54,820,0,0,167,187,0,0,0,0,0,0,17,7
56,874,54,820,0,3473408,0,358,0,0,0,0,0,0,17,7
56,874,54,820,0,0,0,0,0,0,0,0,0,0,17,7
56,874,54,820,0,0,70,0,0,0,0,0,0,0,17,7
56,874,54,820,0,581632,427,511,0,0,0,0,0,0,17,7
56,874,54,820,0,0,759,430,0,0,0,0,0,0,17,7
56,874,54,820,0,761856,1377,3656,0,0,0,0,0,0,17,7
56,874,54,820,0,0,16052,2748,0,0,0,0,0,0,17,7
56,874,54,820,0,0,0,0,0,0,0,0,0,0,17,7
56,874,54,820,0,778240,0,0,0,0,0,0,0,0,17,7
56,874,54,820,0,0,0,0,0,0,0,0,0,0,17,7
56,874,54,820,16384,4956160,0,358,0,0,0,0,0,0,17,7
56,874,54,820,0,0,78,106,0,0,0,0,0,0,17,7
56,874,54,820,0,0,0,920,0,0,0,0,0,0,20,7
56,874,54,820,0,0,0,920,0,0,0,0,0,0,20,7
56,874,54,820,0,425984,0,920,0,0,0,0,0,0,20,7
56,874,54,820,16384,3751936,0,1278,0,0,0,0,0,0,20,7
56,874,54,820,0,0,1249,3192,0,0,0,0,0,0,20,7
56,874,54,820,0,0,16012,2748,0,0,0,0,0,0,17,7
56,874,54,820,0,0,424,0,0,0,0,0,0,0,17,7
56,874,54,820,0,761856,223,261,0,0,0,0,0,0,17,7
56,874,54,820,0,1490944,0,0,0,0,0,0,0,0,17,7
56,874,54,820,0,0,0,358,0,0,0,0,0,0,17,7
56,874,54,820,0,0,0,0,0,0,0,0,0,0,17,7
56,874,54,820,0,0,167,259,0,0,0,0,0,0,17,7
56,874,54,820,0,589824,229,187,0,0,0,0,0,0,17,7
56,874,54,820,0,3268608,0,0,0,0,0,0,0,0,17,7
56,874,54,820,0,0,194,358,0,0,0,0,0,0,17,7
56,874,54,820,0,0,1249,3192,0,0,0,0,0,0,17,7
56,874,54,820,0,0,16252,2748,0,0,0,0,0,0,17,7
56,874,54,820,0,0,167,0,0,0,0,0,0,0,17,7
56,874,54,820,0,942080,0,0,0,0,0,0,0,0,17,7
56,874,54,820,0,3653632,0,358,0,0,0,0,0,0,17,7
56,874,54,820,0,0,0,0,0,0,0,0,0,0,17,7
56,874,54,820,0,0,0,0,0,0,0,0,0,0,17,7
56,874,54,820,0,0,82,0,0,0,0,0,0,0,17,7
56,874,54,820,0,0,0,0,0,0,0,0,0,0,17,7
56,874,54,820,0,1908736,0,358,0,0,0,0,0,0,17,7
56,874,54,820,0,0,0,0,0,0,0,0,0,0,17,7
56,874,54,820,0,0,1249,3192,0,0,0,0,0,0,17,7
56,874,54,820,0,0,45249,9147,0,0,0,0,0,0,17,7
56,874,54,820,0,0,0,0,0,0,0,0,0,0,17,7
56,874,54,820,0,4055040,3649,120,0,0,0,0,0,0,17,7
56,874,54,820,0,0,0,358,0,0,0,0,0,0,17,7
56,874,54,820,0,0,984,930,0,0,0,0,0,0,17,7
56,874,54,820,0,0,229,187,0,0,0,0,0,0,17,7
56,874,54,820,0,0,0,0,0,0,0,0,0,0,17,7
56,876,54,822,0,6938624,814,2749,0,0,0,0,0,0,17,7
56,876,54,822,0,0,8004,3464,0,0,0,0,0,0,17,7
56,876,54,822,0,0,0,0,0,0,0,0,0,0,17,7
56,874,54,820,0,0,22980,6951,0,0,0,0,0,0,17,7
56,874,54,820,0,0,1444,1217,0,0,0,0,0,0,17,7
56,874,54,820,8192,2301952,854,106,0,0,0,0,0,0,17,7
56,874,54,820,0,0,175,0,0,0,0,0,0,0,17,7
