"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dstat/unix_disk_sys_udp_cpu_ipc_load_lock_vm_io_raw_mem.csv --unix --disk --sys --udp --cpu --ipc --load --lock --vm --io --raw --mem 1 600",,,,"Date:","22 Mar 2023 22:13:13 -03"
"unix sockets",,,,"dsk/total",,"system",,"udp",,"total cpu usage",,,,,"sysv ipc",,,"load avg",,,"file locks",,,,"virtual memory",,,,"io/total",,"raw","memory usage",,,
56,874,54,820,0,0,921,2560,17,7,2.879,1.377,95.620,0.125,0,0,0,6,0.440,2.030,2.870,56,12,10,58,0,1702,2136,3090,0,0,0,3232116736,2124787712,194371584,10569990144
56,874,54,820,0,0,751,1901,17,7,1.633,1.005,97.362,0,0,0,0,6,0.440,2.030,2.870,56,12,10,58,0,24,142,418,0,0,0,3230842880,2125824000,194371584,10570227712
56,876,54,822,0,0,1164,1706,17,7,3.149,0.882,95.844,0.126,0,0,0,6,0.440,2.030,2.870,56,12,10,58,0,5198,5993,1258,0,0,0,3244503040,2111127552,194371584,10571264000
56,874,54,820,0,0,620,1112,17,7,0.878,0.878,97.992,0.251,0,0,0,6,0.440,2.030,2.870,56,12,10,58,0,38,110,121,0,0,0,3244244992,2111385600,194371584,10571264000
56,874,54,820,0,0,898,2361,17,7,1.761,1.509,96.478,0.252,0,0,0,6,0.400,1.990,2.850,56,12,10,58,0,1304,1364,1353,0,0,0,3244466176,2111164416,194371584,10571329536
56,874,54,820,0,409600,950,2391,17,7,2.372,1.748,95.131,0.749,0,0,0,6,0.400,1.990,2.850,56,12,10,58,0,2002,1841,1810,0,16,0,3244355584,2111176704,194379776,10571419648
56,874,54,820,0,0,576,958,17,7,2.020,0.758,97.222,0,0,0,0,6,0.400,1.990,2.850,56,12,10,58,0,324,66,109,0,0,0,3244601344,2110918656,194379776,10571366400
56,874,54,820,0,0,652,1440,17,7,2.256,1.003,96.617,0.125,0,0,0,6,0.400,1.990,2.850,56,12,10,58,0,1112,1503,415,0,0,0,3244285952,2110918656,194379776,10571681792
56,874,54,820,0,0,717,1282,17,7,1.005,0.628,98.241,0.126,0,0,0,6,0.400,1.990,2.850,56,12,10,58,0,7,218,84,0,0,0,3244277760,2110689280,194379776,10572443648
56,874,54,820,0,598016,854,2686,17,7,1.639,1.135,97.100,0.126,0,0,0,6,0.370,1.960,2.840,56,12,10,58,0,6484,7368,2327,0,34,0,3259236352,2095726592,194396160,10572165120
56,874,54,820,0,0,959,3218,17,7,2.366,1.743,95.766,0.125,0,0,0,6,0.370,1.960,2.840,56,12,10,58,0,1771,1854,3799,0,0,0,3258630144,2095292416,194396160,10572947456
56,874,54,820,0,9617408,903,1893,17,7,1.646,1.266,96.962,0.127,0,0,0,6,0.370,1.960,2.840,56,12,10,58,0,3,1258,1604,0,588,0,3258261504,2095648768,194396160,10572959744
56,874,54,820,0,0,689,1787,17,7,1.255,1.004,97.616,0.125,0,0,0,6,0.370,1.960,2.840,56,12,10,58,0,7,193,1382,0,0,0,3258507264,2095403008,194396160,10572959744
56,874,54,820,0,0,686,1175,17,7,1.627,0.876,97.497,0,0,0,0,6,0.370,1.960,2.840,56,12,10,58,0,130,219,202,0,0,0,3258417152,2095403008,194396160,10573049856
56,874,54,820,0,0,880,2722,17,7,3.262,1.255,95.358,0.125,0,0,0,6,0.340,1.930,2.820,56,12,10,58,0,2328,2401,1598,0,0,0,3259392000,2093879296,194396160,10573598720
56,874,54,820,0,745472,814,2210,17,7,1.754,1.128,96.992,0.125,0,0,0,6,0.340,1.930,2.820,56,12,10,58,0,1271,1462,1589,0,16,0,3259367424,2093879296,194404352,10573615104
56,874,54,820,0,0,647,1080,17,7,1.258,1.006,97.736,0,0,0,0,6,0.340,1.930,2.820,56,12,10,58,0,31,97,244,0,0,0,3260112896,2093137920,194404352,10573611008
56,874,54,820,0,0,756,1484,17,7,1.515,1.010,97.348,0.126,0,0,0,6,0.340,1.930,2.820,56,12,10,58,0,3392,4115,2999,0,0,0,3263209472,2089017344,194404352,10574635008
56,874,54,820,0,0,682,1365,17,7,1.511,0.756,97.733,0,0,0,0,6,0.340,1.930,2.820,56,12,10,58,0,326,236,100,0,0,0,3263180800,2089033728,194404352,10575171584
56,874,54,820,0,0,928,2376,17,7,1.763,1.637,96.348,0.252,0,0,0,6,0.390,1.910,2.810,56,12,10,58,0,1321,1658,1496,0,0,0,3263942656,2088259584,194404352,10576031744
56,874,54,820,0,409600,1003,21037,17,7,3.141,1.508,94.849,0.503,0,0,0,6,0.390,1.910,2.810,56,12,10,58,0,3222,4905,4569,0,28,0,3265363968,2086735872,194412544,10574802944
56,874,54,820,0,0,705,1471,17,7,3.034,1.011,95.828,0.126,0,0,0,6,0.390,1.910,2.810,56,12,10,58,0,482,863,837,0,0,0,3264450560,2086993920,194412544,10575409152
56,874,54,820,0,0,660,1032,17,7,1.258,0.629,98.113,0,0,0,0,6,0.390,1.910,2.810,56,12,10,58,0,347,116,85,0,0,0,3264450560,2086993920,194412544,10575409152
56,874,54,820,0,0,732,1917,17,7,1.255,1.004,97.616,0.125,0,0,0,6,0.390,1.910,2.810,56,12,10,58,0,22,160,351,0,0,0,3264438272,2086993920,194412544,10575421440
56,874,54,820,0,0,923,2784,17,7,1.509,1.258,97.107,0.126,0,0,0,6,0.520,1.910,2.810,56,12,10,58,0,2047,2886,5069,0,0,0,3252191232,2099236864,194412544,10575425536
56,874,54,820,0,0,741,2304,17,7,1.378,1.253,97.118,0.251,0,0,0,6,0.520,1.910,2.810,56,12,10,58,0,1299,1701,2444,0,0,0,3250614272,2099793920,194416640,10576441344
56,874,54,820,0,540672,626,1056,17,7,1.633,1.005,97.111,0.251,0,0,0,6,0.520,1.910,2.810,56,12,10,58,0,321,91,150,0,30,0,3250847744,2099552256,194420736,10576445440
56,874,54,820,0,0,570,980,17,7,1.384,0.629,97.862,0.126,0,0,0,6,0.520,1.910,2.810,56,12,10,58,0,3,74,70,0,0,0,3250843648,2099552256,194420736,10576449536
56,874,54,820,0,0,866,1620,17,7,3.634,1.003,95.363,0,0,0,0,6,0.520,1.910,2.810,56,12,10,58,0,2250,2864,1911,0,0,0,3250421760,2099322880,194420736,10577559552
56,874,54,820,0,0,874,2415,17,7,2.278,1.139,96.456,0.127,0,0,0,6,0.560,1.900,2.800,56,12,10,58,0,1624,1509,1643,0,0,0,3250094080,2099646464,194420736,10577104896
56,874,54,820,0,0,752,2142,17,7,1.132,1.132,97.484,0.252,0,0,0,6,0.560,1.900,2.800,56,12,10,58,0,1594,1348,1342,0,0,0,3249803264,2099937280,194420736,10577104896
56,874,54,820,0,245760,630,1046,17,7,1.006,1.006,97.233,0.755,0,0,0,6,0.560,1.900,2.800,56,12,10,58,0,28,174,299,0,24,0,3250425856,2099949568,194428928,10576396288
56,874,54,820,32768,12394496,993,2619,17,7,1.387,1.135,97.226,0.252,0,0,0,6,0.560,1.900,2.800,56,12,10,58,0,5010,7622,2678,8,632,0,3267121152,2082217984,194445312,10577481728
56,874,54,820,0,0,790,1381,17,7,1.513,1.261,97.226,0,0,0,0,6,0.560,1.900,2.800,56,12,10,58,0,25,124,1339,0,0,0,3263954944,2085367808,194445312,10577502208
56,874,54,820,0,0,780,2273,17,7,1.259,0.756,97.859,0.126,0,0,0,6,0.600,1.880,2.790,56,12,10,58,0,1747,1467,1424,0,0,0,3264401408,2084913152,194445312,10577510400
56,874,54,820,0,1048576,1121,4843,17,7,3.802,1.901,94.170,0.127,0,0,0,6,0.600,1.880,2.790,56,12,10,58,0,4661,4924,2504,0,30,0,3265613824,2083131392,194465792,10578059264
56,874,54,820,0,0,760,1952,17,7,1.382,0.754,97.864,0,0,0,0,6,0.600,1.880,2.790,56,12,10,58,0,171,350,568,0,0,0,3266027520,2082627584,194465792,10578149376
56,874,54,820,0,0,664,1126,17,7,1.759,1.131,96.985,0.126,0,0,0,6,0.600,1.880,2.790,56,12,10,58,0,23,61,80,0,0,0,3266011136,2082627584,194465792,10578165760
56,874,54,820,0,0,662,1168,17,7,1.637,0.756,97.607,0,0,0,0,6,0.600,1.880,2.790,56,12,10,58,0,252,217,99,0,0,0,3266527232,2082111488,194465792,10578690048
56,874,54,820,0,0,807,2678,17,7,1.506,1.129,97.240,0.125,0,0,0,6,0.630,1.870,2.780,56,12,10,58,0,5013,6007,2249,0,0,0,3279126528,2068692992,194465792,10578984960
56,874,54,820,0,368640,728,1286,17,7,1.761,1.258,96.478,0.503,0,0,0,6,0.630,1.870,2.780,56,12,10,58,0,39,204,7917,0,16,0,3259891712,2094555136,194473984,10572533760
56,874,54,820,0,0,814,2139,17,7,1.770,1.264,96.966,0,0,0,0,6,0.630,1.870,2.780,56,12,10,58,0,1298,1382,1423,0,0,0,3260526592,2094055424,194473984,10572398592
56,874,54,820,0,1417216,725,1509,17,7,2.506,1.128,96.241,0.125,0,0,0,6,0.630,1.870,2.780,56,12,10,58,0,1206,1235,2986,0,44,0,3252617216,2101641216,194486272,10572709888
56,874,54,820,0,344064,725,1347,17,7,2.261,0.754,96.734,0.251,0,0,0,6,0.630,1.870,2.780,56,12,10,58,0,302,378,144,0,36,0,3252523008,2101387264,194502656,10573041664
56,874,54,820,0,0,764,2277,17,7,1.389,1.010,97.601,0,0,0,0,6,0.660,1.850,2.770,56,12,10,58,0,1297,1372,1366,0,0,0,3253006336,2100883456,194502656,10573062144
56,874,54,820,0,0,605,1061,17,7,1.765,0.504,97.604,0.126,0,0,0,6,0.660,1.850,2.770,56,12,10,58,0,21,61,80,0,0,0,3253264384,2100625408,194502656,10573062144
56,874,54,820,0,0,823,2326,17,7,1.380,1.255,97.365,0,0,0,0,6,0.660,1.850,2.770,56,12,10,58,0,1564,1383,1349,0,0,0,3253981184,2099908608,194502656,10573062144
56,874,54,820,0,0,908,2419,17,7,2.904,1.263,95.581,0.253,0,0,0,6,0.660,1.850,2.770,56,12,10,58,0,5337,6593,3420,0,0,0,3267903488,2084958208,194502656,10574356480
56,874,54,820,0,327680,740,1449,17,7,2.005,0.752,96.867,0.376,0,0,0,6,0.660,1.850,2.770,56,12,10,58,0,10,395,131,0,26,0,3269189632,2083667968,194506752,10575413248
56,874,54,820,0,0,979,2807,17,7,3.531,1.261,95.208,0,0,0,0,6,0.690,1.840,2.760,56,12,10,58,0,1949,2300,2651,0,0,0,3267551232,2084737024,194506752,10575708160
56,874,54,820,0,0,571,905,17,7,1.627,0.876,97.372,0.125,0,0,0,6,0.690,1.840,2.760,56,12,10,58,0,451,295,342,0,0,0,3267014656,2085269504,194506752,10574647296
56,874,54,820,0,0,803,2287,17,7,1.259,1.259,97.481,0,0,0,0,6,0.690,1.840,2.760,56,12,10,58,0,1342,1390,1363,0,0,0,3267141632,2085052416,194506752,10574753792
56,874,54,820,0,0,661,1106,17,7,1.261,0.883,97.730,0.126,0,0,0,6,0.690,1.840,2.760,56,12,10,58,0,30,118,87,0,0,0,3267371008,2084823040,194506752,10574753792
56,874,54,820,0,0,654,1149,17,7,1.380,1.004,97.365,0.251,0,0,0,6,0.690,1.840,2.760,56,12,10,58,0,24,105,119,0,0,0,3267354624,2084823040,194506752,10574770176
56,874,54,820,0,278528,1015,2465,17,7,2.250,1.625,95.375,0.750,0,0,0,6,0.790,1.840,2.750,56,12,10,58,0,4391,4799,12158,0,16,0,3233120256,2119045120,194514944,10574774272
56,874,54,820,0,0,656,1376,17,7,1.648,0.887,97.465,0,0,0,0,6,0.790,1.840,2.750,56,12,10,58,0,2158,2512,184,0,0,0,3236691968,2114449408,194514944,10575798272
56,874,54,820,0,0,950,2791,17,7,3.153,0.883,95.839,0.126,0,0,0,6,0.790,1.840,2.750,56,12,10,58,0,1626,2014,2005,0,0,0,3237138432,2113736704,194514944,10576064512
56,874,54,820,0,0,549,969,17,7,0.878,1.004,98.118,0,0,0,0,6,0.790,1.840,2.750,56,12,10,58,0,25,262,1794,0,0,0,3229564928,2121003008,194514944,10576961536
56,874,54,820,0,0,1094,20901,17,7,2.893,1.509,95.472,0.126,0,0,0,6,0.790,1.840,2.750,56,12,10,58,0,691,2056,1715,0,0,0,3231150080,2119208960,194514944,10576637952
56,874,54,820,0,524288,886,2402,17,7,1.646,1.013,96.582,0.759,0,0,0,6,0.810,1.830,2.740,56,12,10,58,0,1367,1430,2178,0,40,0,3232944128,2117406720,194523136,10576580608
56,874,54,820,0,0,518,916,17,7,1.129,0.878,97.867,0.125,0,0,0,6,0.810,1.830,2.740,56,12,10,58,0,4,110,111,0,0,0,3233189888,2117160960,194523136,10576515072
56,874,54,820,0,196608,1045,6769,17,7,2.276,1.264,96.460,0,0,0,0,6,0.810,1.830,2.740,56,12,10,58,0,1301,2757,1712,0,16,0,3229184000,2116902912,194523136,10580844544,
56,874,54,820,0,0,957,4763,17,7,3.250,1.250,95.375,0.125,0,0,0,6,0.810,1.830,2.740,56,12,10,58,0,5459,8864,1527,0,0,0,3255812096,2089304064,194523136,10590457856
56,874,54,820,0,98304,907,2007,17,7,3.026,0.883,96.091,0,0,0,0,6,0.810,1.830,2.740,56,12,10,58,0,1071,1865,457,0,4,0,3261181952,2083381248,194523136,10592342016
56,874,54,820,0,540672,931,2505,17,7,2.003,1.126,96.621,0.250,0,0,0,6,0.740,1.800,2.730,56,12,10,58,0,1322,1473,2484,0,40,0,3258454016,2086096896,194531328,10592587776
56,874,54,820,0,0,1001,6781,17,7,3.023,1.763,95.214,0,0,0,0,6,0.740,1.800,2.730,56,12,10,58,0,4315,3644,3944,0,0,0,3260178432,2084372480,194531328,10591256576
56,874,54,820,0,0,948,2492,17,7,2.244,1.995,95.636,0.125,0,0,0,6,0.740,1.800,2.730,56,12,10,58,0,1985,1704,1748,0,0,0,3261251584,2083868672,194531328,10590937088
56,874,54,820,0,0,623,1157,17,7,1.761,0.881,97.358,0,0,0,0,6,0.740,1.800,2.730,56,12,10,58,0,96,65,56,0,0,0,3261480960,2083639296,194531328,10590937088
56,874,54,820,8192,5210112,1183,2795,17,7,2.270,0.757,96.217,0.757,0,0,0,6,0.740,1.800,2.730,56,12,10,58,0,631,1196,1176,2,636,0,3259912192,2085203968,194535424,10590937088
56,874,54,820,0,0,1162,3620,17,7,3.513,1.631,94.856,0,0,0,0,6,0.680,1.770,2.710,56,12,10,58,0,4929,5251,6332,0,0,0,3260854272,2085339136,194535424,10590380032
56,874,54,820,0,770048,1168,2391,17,7,3.165,1.266,95.443,0.127,0,0,0,6,0.680,1.770,2.710,56,12,10,58,0,3335,4029,4801,0,30,0,3256725504,2087866368,194547712,10592235520
56,874,54,820,0,0,1090,3539,17,7,3.145,1.761,94.969,0.126,0,0,0,6,0.680,1.770,2.710,56,12,10,58,0,2385,1981,1982,0,0,0,3256930304,2087649280,194547712,10592247808
56,874,54,820,0,0,1037,4625,17,7,2.375,1.500,96.125,0,0,0,0,6,0.680,1.770,2.710,56,12,10,58,0,2624,2131,2133,0,0,0,3257036800,2087534592,194547712,10592256000
56,874,54,820,0,0,1243,2817,17,7,4.483,2.242,93.151,0.125,0,0,0,6,0.680,1.770,2.710,56,12,10,58,0,63,246,762,0,0,0,3256131584,2088341504,194547712,10591567872
56,874,54,820,0,3383296,1149,3434,17,7,3.161,1.770,94.943,0.126,0,0,0,6,0.630,1.740,2.700,56,12,10,58,0,1547,1841,2799,0,44,0,3251564544,2092908544,194547712,10591567872
56,874,54,820,0,557056,1055,2536,17,7,3.396,2.013,94.465,0.126,0,0,0,6,0.630,1.740,2.700,56,12,10,58,0,80,427,4458,0,28,0,3241861120,2102583296,194555904,10591588352
56,874,54,820,0,0,1043,2712,17,7,2.897,1.385,95.718,0,0,0,0,6,0.630,1.740,2.700,56,12,10,58,0,1505,1613,2079,0,0,0,3238150144,2106294272,194555904,10591522816
56,874,54,820,0,0,1058,2271,17,7,4.035,1.387,94.451,0.126,0,0,0,6,0.630,1.740,2.700,56,12,10,58,0,7554,8465,4868,0,0,0,3249307648,2093551616,194555904,10593107968
56,876,54,822,0,0,946,1771,17,7,2.015,1.008,96.977,0,0,0,0,6,0.630,1.740,2.700,56,12,10,58,0,1315,1021,564,0,0,0,3251073024,2091786240,194555904,10594942976
56,874,54,820,0,2048000,1245,3240,17,7,3.287,1.643,94.943,0.126,0,0,0,6,0.580,1.710,2.680,56,12,10,58,0,1974,2306,2251,0,32,0,3253121024,2089721856,194555904,10593910784
56,874,54,820,0,0,1091,6133,17,7,2.399,1.641,95.833,0.126,0,0,0,6,0.580,1.710,2.680,56,12,10,58,0,3326,2771,2781,0,0,0,3253809152,2089013248,194555904,10594455552
56,874,54,820,0,622592,1193,3130,17,7,3.254,1.877,94.743,0.125,0,0,0,6,0.580,1.710,2.680,56,12,10,58,0,1310,1553,2131,0,16,0,3252387840,2090270720,194564096,10594086912
56,874,54,820,0,0,1192,2501,17,7,4.750,1.875,93.375,0,0,0,0,6,0.580,1.710,2.680,56,12,10,58,0,274,202,370,0,0,0,3251531776,2091118592,194564096,10593308672
56,874,54,820,0,0,1154,2592,17,7,3.764,2.384,93.726,0.125,0,0,0,6,0.580,1.710,2.680,56,12,10,58,0,81,186,298,0,0,0,3251220480,2091413504,194564096,10593058816
56,874,54,820,0,1294336,1099,3201,17,7,3.919,1.643,94.311,0.126,0,0,0,6,0.610,1.700,2.670,56,12,10,58,0,2540,3148,3567,0,26,0,3247230976,2094845952,194564096,10593357824
56,874,54,820,0,0,922,1681,17,7,1.884,1.005,97.111,0,0,0,0,6,0.610,1.700,2.670,56,12,10,58,0,5501,6584,2522,0,0,0,3255091200,2085949440,194564096,10594394112
56,874,54,820,0,0,1191,3192,17,7,2.868,2.244,94.763,0.125,0,0,0,6,0.610,1.700,2.670,56,12,10,58,0,1530,1542,1424,0,0,0,3255779328,2085257216,194564096,10594664448
56,874,54,820,0,450560,886,1866,17,7,2.642,1.258,95.975,0.126,0,0,0,6,0.610,1.700,2.670,56,12,10,58,0,71,254,2656,0,14,0,3253866496,2093813760,194572288,10588270592
56,874,54,820,0,0,1307,2907,17,7,4.906,1.635,93.333,0.126,0,0,0,6,0.610,1.700,2.670,56,12,10,58,0,558,753,537,0,0,0,3254730752,2092879872,194572288,10587942912
56,874,54,820,0,3563520,1089,2423,17,7,3.890,1.255,94.856,0,0,0,0,6,0.560,1.670,2.660,56,12,10,58,0,636,1173,1700,0,64,0,3255730176,2091876352,194572288,10587947008
56,874,54,820,0,0,1033,2794,17,7,3.258,1.128,95.489,0.125,0,0,0,6,0.560,1.670,2.660,56,12,10,58,0,937,980,1050,0,0,0,3255836672,2091769856,194572288,10588213248
56,874,54,820,0,0,1544,4916,17,7,6.524,2.886,90.590,0,0,0,0,6,0.560,1.670,2.660,56,12,10,58,0,2111,2726,4005,0,0,0,3247677440,2099367936,194572288,10590081024
56,874,54,820,0,0,1193,2746,17,7,4.545,1.894,93.434,0.126,0,0,0,6,0.560,1.670,2.660,56,12,10,58,0,5296,6451,1297,0,0,0,3266641920,2079358976,194580480,10589786112
56,874,54,820,0,1875968,1184,2840,17,7,5.290,1.637,92.947,0.126,0,0,0,6,0.560,1.670,2.660,56,12,10,58,0,40,435,645,0,18,0,3267555328,2078433280,194584576,10589552640
56,874,54,820,0,3309568,918,1937,17,7,2.652,1.263,95.960,0.126,0,0,0,6,0.520,1.640,2.640,56,12,10,58,0,385,776,614,0,46,0,3268337664,2077642752,194584576,10590019584
56,874,54,820,8192,0,1654,17722,17,7,4.609,2.433,92.958,0,0,0,0,6,0.520,1.640,2.640,56,12,10,58,1,4301,5516,4637,2,0,0,3268190208,2077773824,194584576,10590035968
56,874,54,820,0,0,1344,10513,17,7,4.255,2.253,93.367,0.125,0,0,0,6,0.520,1.640,2.640,56,12,10,58,0,1275,1428,1587,0,0,0,3267624960,2078130176,194584576,10589720576
56,874,54,820,0,688128,643,1223,17,7,1.252,1.252,97.372,0.125,0,0,0,6,0.520,1.640,2.640,56,12,10,58,0,27,162,190,0,56,0,3267608576,2078130176,194600960,10589720576
56,874,54,820,0,0,866,1858,17,7,3.518,1.005,95.477,0,0,0,0,6,0.520,1.640,2.640,56,12,10,58,0,1241,1437,7305,0,0,0,3241644032,2103570432,194600960,10590244864
56,874,54,820,0,1015808,752,1490,17,7,1.639,0.883,97.352,0.126,0,0,0,6,0.480,1.610,2.630,56,12,10,58,0,114,380,281,0,156,0,3242389504,2102779904,194600960,10590748672
56,874,54,820,0,0,1471,3138,17,7,2.635,1.129,96.110,0.125,0,0,0,6,0.480,1.610,2.630,56,12,10,58,0,6870,7873,10370,0,0,0,3238608896,2105516032,194600960,10591793152
56,874,54,820,0,0,1048,2733,17,7,2.384,1.631,95.985,0,0,0,0,6,0.480,1.610,2.630,56,12,10,58,0,2244,1789,1969,0,0,0,3238920192,2105851904,194600960,10591145984
56,874,54,820,0,0,967,2250,17,7,1.899,1.266,96.709,0.127,0,0,0,6,0.480,1.610,2.630,56,12,10,58,0,404,492,362,0,0,0,3239813120,2104958976,194600960,10591412224
56,874,54,820,0,712704,1043,1597,17,7,4.887,1.504,93.484,0.125,0,0,0,6,0.480,1.610,2.630,56,12,10,58,0,1275,2218,2098,0,22,0,3236274176,2108407808,194613248,10591490048
56,874,54,820,0,6275072,1051,2204,17,7,1.635,1.132,97.107,0.126,0,0,0,6,0.440,1.580,2.620,56,12,10,58,0,269,1196,1182,0,396,0,3234738176,2109927424,194613248,10591764480
56,874,54,820,0,0,1305,6467,17,7,5.514,2.130,92.356,0,0,0,0,6,0.440,1.580,2.620,56,12,10,58,0,4913,5081,5479,0,0,0,3233153024,2110939136,194613248,10592862208
56,874,54,820,0,0,887,2520,17,7,1.877,1.377,96.621,0.125,0,0,0,6,0.440,1.580,2.620,56,12,10,58,0,1569,1380,1367,0,0,0,3233607680,2110484480,194613248,10592862208
56,874,54,820,0,0,1036,2560,17,7,2.648,1.892,95.460,0,0,0,0,6,0.440,1.580,2.620,56,12,10,58,0,5136,6207,6585,0,0,0,3224752128,2118307840,194613248,10592845824
56,874,54,820,0,786432,786,1433,17,7,1.256,0.879,97.739,0.126,0,0,0,6,0.440,1.580,2.620,56,12,10,58,0,9,182,204,0,28,0,3224739840,2118307840,194621440,10592849920
56,874,54,820,0,4349952,1209,7353,17,7,4.135,1.003,94.737,0.125,0,0,0,6,0.480,1.580,2.610,56,12,10,58,0,26,1687,1214,0,300,0,3224489984,2117808128,194621440,10594844672
56,874,54,820,0,0,856,2358,17,7,2.665,1.015,96.193,0.127,0,0,0,6,0.480,1.580,2.610,56,12,10,58,0,1796,1622,1731,0,0,0,3224469504,2117828608,194621440,10594045952
56,874,54,820,0,0,772,2210,17,7,1.631,1.129,97.240,0,0,0,0,6,0.480,1.580,2.610,56,12,10,58,0,1345,1349,1343,0,0,0,3225591808,2116616192,194621440,10593886208
56,874,54,820,0,0,872,1753,20,7,3.904,0.882,95.088,0.126,0,0,0,6,0.480,1.580,2.610,56,12,10,58,0,811,1559,1108,0,0,0,3225702400,2115940352,194621440,10594983936
56,874,54,820,0,0,849,2066,20,7,2.125,1,96.750,0.125,0,0,0,6,0.480,1.580,2.610,56,12,10,58,0,56,127,152,0,0,0,3225903104,2115719168,194621440,10594996224
56,874,54,820,0,1851392,749,1331,20,7,2.146,0.884,96.591,0.379,0,0,0,6,0.440,1.550,2.590,56,12,10,58,0,253,495,5247,0,52,0,3212324864,2129289216,194629632,10594471936
56,874,54,820,0,0,1032,2968,20,7,2.018,1.387,96.595,0,0,0,0,6,0.440,1.550,2.590,56,12,10,58,0,7141,7862,2392,0,0,0,3234553856,2105892864,194629632,10595373056
56,874,54,820,0,0,910,2593,20,7,1.884,1.005,96.985,0.126,0,0,0,6,0.440,1.550,2.590,56,12,10,58,0,1274,1653,2344,0,0,0,3230420992,2110025728,194629632,10596163584
56,874,54,820,0,0,688,1323,17,7,2.008,1.004,96.989,0,0,0,0,6,0.440,1.550,2.590,56,12,10,58,0,24,324,1600,0,0,0,3231920128,2108522496,194629632,10595901440
