"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dstat/tcp_fs_mem_vm_swap_socket_net_zones_aio.csv --tcp --fs --mem --vm --swap --socket --net --zones --aio 1 600",,,,"Date:","23 Mar 2023 14:04:41 -03"
"tcp sockets",,,,,"filesystem",,"memory usage",,,,"virtual memory",,,,"swap",,"sockets",,,,,"net/total",,"zones memory",,,,"async"
7,20,0,10,1,14048,182333,5026402304,2689269760,798265344,7902515200,0,268,585,817,108527616,914878464,1210,24,34,0,0,5856,6850,159767,3141,493465,22688,0
7,20,0,10,1,14016,182317,5053079552,2662588416,798269440,7899230208,0,7161,8719,2763,108527616,914878464,1210,24,34,0,0,7871,14131,159767,3141,486951,22688,0
7,20,0,9,1,14016,182325,5048209408,2667450368,798273536,7895945216,0,294,816,2629,108527616,914878464,1210,24,34,0,0,7403,10416,159767,3141,488138,22688,0
7,20,0,9,1,14016,182326,5047754752,2667864064,798273536,7895986176,0,2615,3245,3699,108527616,914878464,1210,24,34,0,0,36399,10585,159767,3141,488239,22688,0
7,20,0,9,1,14080,182326,5007200256,2708312064,798273536,7887040512,0,344,642,9104,108527616,914878464,1210,24,34,0,0,6029,7332,159767,3141,498114,22688,0
7,19,1,9,2,14112,182330,5025247232,2690338816,798273536,7887298560,0,7210,9582,4939,108527616,914878464,1212,25,34,0,0,17858,99507,159767,3141,493726,22688,0
7,20,0,10,1,14080,182482,5052772352,2662559744,798285824,7894056960,0,24772,26173,14513,108527616,914878464,1226,24,34,0,0,29395,17994,159767,3141,486944,22688,0
7,20,0,10,1,14048,182484,5085810688,2628689920,798511104,7893270528,0,35730,41125,34755,108527616,914878464,1227,24,34,0,0,17860,18642,159767,3141,478612,22688,0
7,20,0,10,1,14048,182486,5074444288,2640584704,798511104,7893344256,0,6095,8952,14893,108527616,914878464,1227,24,34,0,0,6579,10124,159767,3141,481579,22688,0
7,20,0,10,1,14080,182507,5072285696,2642620416,798539776,7894020096,0,1766,2846,2415,108527616,914878464,1227,24,34,0,0,6204,8004,159767,3141,482076,22688,0
7,20,0,10,1,14080,182507,5083238400,2631446528,798625792,7893348352,0,24506,27113,26317,108527616,914878464,1227,24,34,0,0,51343,9739,159767,3141,479348,22688,0
7,20,0,9,1,14048,182507,5082009600,2632675328,798633984,7892869120,0,239,865,1246,108527616,914878464,1227,24,34,0,0,5860,7162,159767,3141,479648,22688,0
7,20,0,9,1,14080,182519,5062406144,2652176384,798633984,7892905984,0,1852,2091,7091,108527616,914878464,1227,24,34,0,0,5750,6713,159767,3141,484409,22688,0
7,20,0,8,1,14112,182515,5065347072,2649100288,798633984,7892516864,0,8211,10115,8701,108527616,914878464,1227,24,34,0,0,5750,6992,159767,3141,483658,22688,0
7,20,0,8,1,14112,182518,5065977856,2648469504,798633984,7892516864,0,646,1112,837,108527616,914878464,1230,24,37,0,0,6343,8450,159767,3141,483504,22688,0
7,20,0,8,1,14176,182520,5066928128,2647511040,798633984,7892656128,0,155,653,546,108527616,914878464,1230,24,37,0,0,5750,7774,159767,3141,483270,22688,0
7,20,0,9,1,14144,181422,4933636096,2786123776,798650368,7887843328,0,605,2191,35411,108527616,914878464,1230,24,37,0,0,7653,12600,159767,3141,517111,22688,0
7,20,0,9,1,14112,181420,4935249920,2784600064,798650368,7887622144,0,82,523,515,108527616,914878464,1230,24,37,0,0,21978,9583,159767,3141,516739,22688,0
7,20,0,9,1,14144,181423,4934606848,2785239040,798650368,7887101952,0,1970,2513,2749,108527616,914878464,1230,24,37,0,0,5880,6713,159767,3141,516895,22688,0
7,20,0,9,1,14112,181426,4933672960,2786168832,798650368,7887171584,0,1796,2249,2297,108527616,914878464,1227,24,34,0,0,6027,7349,159767,3141,517122,22688,0
7,20,0,9,1,14112,181426,4932513792,2787090432,798650368,7887409152,0,3860,5583,6654,108527616,914878464,1227,24,34,0,0,5880,6850,159767,3141,517347,22688,0
7,20,0,9,1,14080,181426,4933812224,2785792000,798662656,7887396864,0,240,2424,2320,108527616,914878464,1227,24,34,0,0,5750,6987,159767,3141,517030,22688,0
7,20,0,9,1,14080,181426,4935057408,2784534528,798662656,7887867904,0,46,625,502,108527616,914878464,1227,24,34,0,0,5860,7044,159767,3141,516723,22688,0
7,20,0,9,1,14112,181436,4936757248,2782814208,798662656,7887872000,0,1604,2132,2603,108527616,914878464,1227,24,34,0,0,6023,7155,159767,3141,516303,22688,0
7,20,0,9,1,14080,181436,4937633792,2781888512,798662656,7887462400,0,1371,1944,2265,108527616,914878464,1227,24,34,0,0,6966,8110,159767,3141,516077,22688,0
7,20,0,8,1,14048,181367,4920668160,2798845952,798662656,7885475840,0,1481,1810,4238,108527616,914878464,1221,24,34,0,0,6852,8017,159767,3141,520217,22688,0
7,20,0,8,1,14016,181366,4918079488,2801426432,798670848,7884910592,0,1473,2822,2832,108527616,914878464,1221,24,34,0,0,8590,9534,159767,3141,520847,22688,0
7,20,0,9,1,14016,182437,5054578688,2659762176,798670848,7890075648,0,39991,61671,25041,108527616,914878464,1221,24,34,0,0,23081,12885,159767,3141,486261,22688,0
7,20,0,9,1,14016,182437,5030572032,2683760640,798670848,7890608128,0,6578,8847,15916,108527616,914878464,1221,24,34,0,0,6146,7296,159767,3141,492120,22688,0
7,20,0,9,1,14048,182381,5026869248,2687315968,798683136,7888814080,0,1483,2268,5095,108527616,914878464,1217,24,34,0,0,5828,6956,159767,3141,492988,22688,0
7,20,0,9,1,14048,182390,5028020224,2686164992,798683136,7887925248,0,155,644,626,108527616,914878464,1217,24,34,0,0,5860,7186,159767,3141,492707,22688,0
7,20,0,9,1,14048,182390,5050826752,2663305216,798699520,7888162816,0,7998,9187,2003,108527616,914878464,1217,24,34,0,0,10350,17929,159767,3141,487126,22688,0
7,20,0,9,1,14048,182389,5050646528,2663452672,798703616,7887908864,0,69,1546,1578,108527616,914878464,1217,24,34,0,0,5860,7044,159767,3141,487162,22688,0
7,20,0,9,1,14080,182389,5031940096,2682146816,798703616,7887921152,0,1428,1871,7343,108527616,914878464,1217,24,34,0,0,5750,6850,159767,3141,491726,22688,0
7,20,0,9,1,14112,182340,5033816064,2680438784,798703616,7888343040,0,1466,2191,2784,108527616,914878464,1216,24,34,0,0,6103,7450,159767,3141,491309,22688,0
7,20,0,8,1,14080,182339,5052919808,2661429248,798703616,7888248832,0,5869,7580,3014,108527616,914878464,1215,24,34,0,0,5860,7539,159767,3141,486668,22688,0
7,20,0,8,1,14080,182337,5041930240,2672181248,798744576,7887855616,0,1324,2050,6507,108527616,914878464,1215,24,34,0,0,5750,6850,159767,3141,489293,22688,0
7,19,1,8,2,14048,182347,5009424384,2704678912,798744576,7887147008,0,444,1489,9892,108527616,914878464,1216,25,34,0,0,6178,8142,159767,3141,497227,22688,0
7,20,0,9,1,14048,182346,5009141760,2704912384,798744576,7887196160,0,1640,2236,2290,108527616,914878464,1215,24,34,0,0,22825,12086,159767,3141,497284,22688,0
7,20,0,9,1,14016,182348,5008650240,2705403904,798744576,7887851520,0,1403,2636,2424,108527616,914878464,1214,24,34,0,0,7207,12154,159767,3141,497404,22688,0
7,20,0,9,1,14016,182263,4988669952,2725371904,798744576,7885737984,0,194,592,5620,108527616,914878464,1206,24,34,0,0,5946,7044,159767,3141,502279,22688,0
7,20,0,9,1,14016,182260,4989407232,2724630528,798752768,7884582912,0,298,723,847,108527616,914878464,1206,24,34,0,0,5922,7314,159767,3141,502098,22688,0
7,20,0,9,1,13984,182224,4983533568,2731995136,798752768,7883091968,0,205,804,2791,108527616,914878464,1206,24,34,0,0,5750,6850,159767,3141,503896,22688,0
7,20,0,8,1,14048,182270,4989587456,2724241408,798752768,7884791808,0,7145,8719,3426,108527616,914878464,1206,24,34,0,0,6157,7094,159767,3141,502003,22688,0
7,20,0,8,1,14048,182291,4977541120,2736140288,798752768,7885004800,0,2120,2862,6361,108527616,914878464,1206,24,34,0,0,6029,7592,159767,3141,504908,22688,0
7,20,0,7,1,14016,182292,4980088832,2733547520,798752768,7885574144,0,137,643,773,108527616,914878464,1206,24,34,0,0,7913,7077,159767,3141,504275,22688,0
7,20,0,7,1,13984,182291,4979449856,2734186496,798752768,7885508608,0,663,1073,724,108527616,914878464,1206,24,34,0,0,5990,7402,159767,3141,504431,22688,0
7,20,0,7,1,13984,182290,4979552256,2734059520,798760960,7885000704,0,42,1175,1317,108527616,914878464,1206,24,34,0,0,5917,7037,159767,3141,504400,22688,0
7,20,0,8,1,14016,182291,4979785728,2733826048,798760960,7884767232,0,1616,2645,2748,108527616,914878464,1206,24,34,0,0,10167,14468,159767,3141,504343,22688,0
7,20,0,8,1,13984,182302,4980953088,2732560384,798765056,7885225984,0,1692,2218,2375,108527616,914878464,1206,24,34,0,0,22114,8409,159767,3141,504034,22688,0
7,20,0,8,1,14016,182302,4868136960,2845462528,798765056,7885139968,0,5853,7661,35051,108527616,914878464,1206,24,34,0,0,5750,7247,159767,3141,531598,22688,0
7,20,0,8,1,14016,182312,4867485696,2845896704,798765056,7885815808,0,213,802,763,108527616,914878464,1206,24,34,0,0,5860,7265,159767,3141,531704,22688,0
7,20,0,8,1,14016,182311,4868603904,2844733440,798765056,7885795328,0,81,978,1045,108527616,914878464,1206,24,34,0,0,5917,7174,159767,3141,531420,22688,0
7,20,0,8,1,13984,182310,4869222400,2844110848,798765056,7885275136,0,1482,1862,1995,108527616,914878464,1206,24,34,0,0,5750,6850,159767,3141,531268,22688,0
7,20,0,8,1,13984,181201,4862054400,2856591360,798773248,7880019968,0,1534,2243,5502,108527616,914878464,1206,24,34,0,0,6481,7899,159767,3141,534315,22688,0
7,20,0,8,1,13984,181201,4862730240,2856075264,798773248,7879864320,0,67,505,480,108527616,914878464,1206,24,34,0,0,5750,6850,159767,3141,534189,22688,0
7,20,0,6,1,13984,181201,4862443520,2856230912,798773248,7880454144,0,1072,1490,891,108527616,914878464,1206,24,34,0,0,5860,7402,159767,3141,534227,22688,0
7,20,0,6,1,13984,181211,4835819520,2882760704,798773248,7880548352,0,276,1954,10677,108527616,914878464,1206,24,34,0,0,5824,6850,159767,3141,543041,22688,0
7,20,0,6,1,14016,181220,4840648704,2877652992,798789632,7880282112,0,8513,10641,5689,108527616,914878464,1206,24,34,0,0,5880,6973,159767,3141,539457,22688,0
7,20,0,7,1,14048,181221,4840726528,2877640704,798789632,7880282112,0,1355,1995,1941,108527616,914878464,1206,24,34,0,0,23197,13128,159767,3141,539454,22688,0
7,18,0,7,2,13984,181220,4840779776,2877575168,798789632,7880294400,0,61,513,908,108527616,914878464,1205,23,34,0,0,6182,7102,159767,3141,539438,22688,0
7,18,0,7,2,13984,181219,4862545920,2855804928,798789632,7880232960,0,8300,9615,2339,108527616,914878464,1205,23,34,0,0,19409,21084,159767,3141,534123,22688,0
7,18,0,7,2,13984,181220,4856946688,2861400064,798789632,7880994816,0,2097,3858,2554,108527616,914878464,1205,23,34,0,0,8895,9541,159767,3141,535489,22688,0
7,18,0,8,2,14016,181220,4858896384,2859450368,798789632,7880761344,0,1365,2010,2491,108527616,914878464,1205,23,34,0,0,22206,15104,159767,3141,535013,22688,0
7,18,0,7,2,15520,182285,4919853056,2798477312,798793728,7880314880,0,22315,42433,28487,108527616,914878464,1205,23,34,0,0,8053,7743,159767,3141,519371,22688,0
7,18,0,7,2,14016,182347,5003276288,2708217856,798793728,7887151104,0,24950,28110,2486,108527616,914878464,1206,23,34,0,0,24629,11409,159767,3141,498091,22688,0
7,18,0,6,2,14016,182300,5006209024,2706780160,798793728,7885590528,0,409,1382,1894,108527616,914878464,1206,23,34,0,0,13127,94255,159767,3141,497740,22688,0
7,18,0,6,2,13984,182301,5009227776,2703753216,798793728,7885664256,0,32,1197,1174,108527616,914878464,1206,23,34,0,0,5990,7402,159767,3141,497001,22688,0
7,18,0,6,2,13952,182242,5011488768,2701787136,798793728,7885893632,0,1960,2468,4033,108527616,914878464,1206,23,34,0,0,6146,7296,159767,3141,496521,22688,0
7,16,0,6,3,13952,182240,4997328896,2715918336,798822400,7885627392,0,1490,2368,6005,108527616,914878464,1206,23,34,0,0,6000,8126,159767,3141,499971,22688,0
7,18,0,7,2,13952,182242,4998180864,2715062272,798838784,7885357056,0,298,871,625,108527616,914878464,1206,23,34,0,0,22831,11928,159767,3141,499762,22688,0
7,18,0,7,2,13952,182241,4997218304,2716000256,798846976,7885307904,0,80,591,1304,108527616,914878464,1206,23,34,0,0,5750,6850,159767,3141,499991,22688,0
7,18,0,7,2,14016,182266,4996976640,2716119040,798846976,7885430784,1,1695,2019,1989,108527616,914878464,1208,23,34,0,0,5860,7402,159767,3141,500020,22688,0
7,18,0,7,2,13984,182307,4990087168,2721366016,798846976,7887597568,0,6462,8252,7665,108527616,914878464,1206,23,34,0,0,5986,6713,159767,3141,501301,22688,0
7,18,0,7,2,13984,182262,4992651264,2720190464,798883840,7886237696,0,1334,2213,2600,108527616,914878464,1206,23,34,0,0,6347,7474,159767,3141,501014,22688,0
7,20,0,7,1,13984,182263,4993863680,2718998528,798883840,7885692928,0,41,551,663,108527616,914878464,1207,24,34,0,0,7373,11402,159767,3141,500723,22688,0
7,20,0,7,1,13984,182251,4994277376,2718597120,798883840,7885615104,0,1062,1465,1375,108527616,914878464,1207,24,34,0,0,21454,9162,159767,3141,500625,22688,0
7,20,0,7,1,14048,182251,4994715648,2718150656,798883840,7885623296,0,212,505,516,108527616,914878464,1207,24,34,0,0,5924,7208,159767,3141,500516,22688,0
7,20,0,6,1,14016,182258,4995846144,2717007872,798896128,7885688832,0,1251,2960,2693,108527616,914878464,1207,24,34,0,0,8005,8775,159767,3141,500237,22688,0
7,20,0,6,1,14016,182282,4996849664,2715840512,798896128,7886376960,0,2117,2955,2783,108527616,914878464,1207,24,34,0,0,5750,6850,159767,3141,499952,22688,0
7,20,0,7,1,14048,182283,5013663744,2699018240,798904320,7886376960,0,6223,7672,2324,108527616,914878464,1207,24,34,0,0,7646,11839,159767,3141,495845,22688,0
7,20,0,7,1,14016,182281,5014605824,2697838592,798904320,7886024704,0,295,598,682,108527616,914878464,1207,24,34,0,0,21426,8539,159767,3141,495557,22688,0
7,20,0,7,1,13984,182281,5015293952,2697150464,798904320,7886024704,0,37,484,469,108527616,914878464,1207,24,34,0,0,5880,6713,159767,3141,495389,22688,0
7,20,0,7,1,14016,182280,5014892544,2697547776,798904320,7886094336,0,147,1150,2052,108527616,914878464,1207,24,34,0,0,6027,7726,159767,3141,495361,22688,0
7,20,0,7,1,14048,182281,5016039424,2696396800,798904320,7886098432,0,2624,3286,3198,108527616,914878464,1207,24,34,0,0,6241,7587,159767,3141,495205,22688,0
7,20,0,7,1,14016,182282,5017509888,2694922240,798904320,7886626816,0,209,623,510,108527616,914878464,1207,24,34,0,0,5880,6992,159767,3141,494845,22688,0
7,20,0,7,1,14016,182291,5016231936,2696175616,798916608,7886573568,0,786,1352,1661,108527616,914878464,1207,24,34,0,0,6113,7455,159767,3141,495151,22688,0
7,20,0,7,1,14016,182300,5016383488,2695979008,798916608,7886094336,0,487,964,796,108527616,914878464,1207,24,34,0,0,5750,6850,159767,3141,495103,22688,0
7,20,0,6,1,14048,182301,5028061184,2683977728,798928896,7886471168,0,3122,5005,2338,108527616,914878464,1207,24,34,0,0,6256,7711,159767,3141,492173,22688,0
