"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dstat/zones_cpu_disk_swap_unix_tcp_sys_int_lock.csv --zones --cpu --disk --swap --unix --tcp --sys --int --lock 1 600",,,,"Date:","23 Mar 2023 14:04:41 -03"
"zones memory",,,,"total cpu usage",,,,,"dsk/total",,"swap",,"unix sockets",,,,"tcp sockets",,,,,"system",,"interrupts",,,"file locks",,,
159767,3141,506570,22688,8.978,3.367,87.531,0.125,0,0,0,108527616,914878464,56,981,55,926,7,18,0,6,2,2671,5832,0,149,0,83,12,13,82
159767,3141,504159,22688,8.040,4.020,87.814,0.126,0,0,1777664,108527616,914878464,56,981,55,926,7,17,1,7,2,2776,6915,0,158,0,83,12,13,82
159767,3141,503788,22688,9.512,3.254,87.234,0,0,0,0,108527616,914878464,56,981,55,926,7,18,0,8,2,2780,7847,0,165,0,83,12,13,82
159767,3141,503699,22688,7.905,3.011,88.959,0.125,0,0,0,108527616,914878464,56,981,55,926,7,18,0,7,2,2520,6835,0,120,0,83,12,13,82
159767,3141,504037,22688,9.375,2.875,87.625,0.125,0,0,10387456,108527616,914878464,56,981,55,926,7,18,0,7,2,3878,10101,0,117,0,83,12,13,82
159767,3141,505979,22688,9.215,3.238,87.547,0,0,0,0,108527616,914878464,56,981,55,926,7,18,0,7,2,2596,6180,0,121,0,83,12,13,82
159767,3141,508566,22688,8.145,3.258,88.471,0.125,0,0,1556480,108527616,914878464,56,981,55,926,7,18,0,7,2,2461,5746,0,159,0,83,12,13,82
159767,3141,508289,22688,8.920,2.764,88.317,0,0,0,0,108527616,914878464,56,981,55,926,7,18,0,6,2,2713,7035,0,120,0,83,12,13,82
159767,3141,508187,22688,9.080,3.483,87.189,0.249,0,0,204800,108527616,914878464,56,981,55,926,7,18,0,6,2,2660,6911,0,122,0,83,12,13,82
159767,3141,509926,22688,8.105,3.491,88.279,0.125,0,0,1097728,108527616,914878464,56,981,55,926,7,18,0,6,2,2582,6029,0,124,0,83,12,13,82
159767,3141,508396,22688,9.114,2.871,87.890,0.125,0,0,4194304,108527616,914878464,56,981,55,926,7,18,0,7,2,2637,6006,0,152,0,83,12,13,82
159767,3141,504956,22688,9.789,4.213,85.874,0.124,0,0,425984,108527616,914878464,56,981,55,926,7,18,0,7,2,3472,35931,0,113,0,83,12,13,82
159767,3141,503785,22688,10.260,4.079,85.538,0.124,0,98304,0,108527616,914878464,56,981,55,926,7,18,0,8,2,2905,11196,0,176,0,83,12,13,82
159767,3141,498440,22688,9.363,3.121,87.516,0,0,0,0,108527616,914878464,56,981,55,926,7,18,0,8,2,2691,7459,0,121,0,83,12,13,82
159767,3141,504490,22688,8.365,2.747,88.764,0.125,0,0,0,108527616,914878464,56,981,55,926,7,18,0,8,2,2480,5614,0,117,0,83,12,13,82
159767,3141,503891,22688,9.181,2.730,88.089,0,0,0,5136384,108527616,914878464,56,981,55,926,7,18,0,8,2,2690,6211,0,120,0,83,12,13,82
159767,3141,503714,22688,9.215,2.740,87.920,0.125,0,0,2719744,108527616,914878464,56,981,55,926,7,18,0,8,2,2643,5802,0,123,0,83,12,13,82
159767,3141,503294,22688,9.035,3.465,87.376,0.124,0,0,0,108527616,914878464,56,981,55,926,7,18,0,8,2,2636,6863,0,114,0,83,12,13,82
159767,3141,502933,22688,9,2.500,88.500,0,0,0,0,108527616,914878464,56,981,55,926,7,18,0,8,2,2515,6792,0,158,0,83,12,13,82
159767,3141,502877,22688,9.741,2.343,87.793,0.123,0,0,0,108527616,914878464,56,981,55,926,7,18,0,7,2,2450,5601,0,114,0,83,12,13,82
159767,3141,499187,22688,10.025,3.589,86.262,0.124,0,0,5070848,108527616,914878464,56,981,55,926,7,18,0,7,2,2840,6662,0,119,0,83,12,13,82
159767,3141,498952,22688,9.181,3.226,87.593,0,0,0,0,108527616,914878464,56,983,55,928,7,18,1,7,2,2442,5644,0,116,0,83,12,13,82
159767,3141,498714,22688,9.441,2.733,87.702,0.124,0,0,0,108527616,914878464,56,983,55,928,7,18,1,7,2,2601,6810,0,113,0,83,12,13,82
159767,3141,498433,22688,8.842,3.736,87.422,0,0,0,0,108527616,914878464,56,983,55,928,7,18,1,8,2,2629,7797,0,145,0,83,12,13,82
159767,3141,498341,22688,9.938,2.857,86.957,0.248,0,0,0,108527616,914878464,56,983,55,928,7,18,1,8,2,2566,5770,0,154,0,83,12,13,82
159767,3141,498310,22688,9.506,2.840,86.914,0.741,0,0,4849664,108527616,914878464,56,983,55,928,7,18,1,8,2,2503,5833,0,119,0,83,12,13,82
159767,3141,498142,22688,9.889,2.719,87.392,0,0,0,0,108527616,914878464,56,983,55,928,7,18,1,8,2,2505,5650,0,119,0,83,12,13,82
159767,3141,499286,22688,8.750,3,88.125,0.125,0,0,0,108527616,914878464,56,983,55,928,7,18,1,8,2,2588,7030,0,116,0,83,12,13,82
159767,3141,499606,22688,9.352,3.367,87.282,0,0,0,0,108527616,914878464,56,983,55,928,7,18,1,8,2,2647,7326,0,122,0,83,12,13,82
159767,3141,499386,22688,8.417,2.387,89.070,0.126,0,0,0,108527616,914878464,56,983,55,928,7,18,1,8,2,2397,5546,0,119,0,83,12,13,82
159767,3141,498782,22688,10.801,2.791,85.680,0.728,0,0,4931584,108527616,914878464,56,983,55,928,7,18,1,7,2,2681,6100,0,154,0,83,12,13,82
159767,3141,492944,22688,9.630,3.086,87.160,0.123,0,0,0,108527616,914878464,56,983,55,928,7,18,1,7,2,2559,6124,0,139,0,83,12,13,82
159767,3141,492906,22688,8.260,3.254,88.486,0,0,0,0,108527616,914878464,56,983,55,928,7,18,1,7,2,2586,6730,0,120,0,83,12,13,82
159767,3141,492877,22688,10.837,3.571,85.468,0.123,0,0,0,108527616,914878464,56,985,55,929,7,19,2,8,1,2842,8576,0,138,0,83,12,13,82
159767,3141,496493,22688,9.383,3.210,87.160,0.247,0,0,0,108527616,914878464,56,983,55,928,7,20,1,8,1,2615,6159,0,147,0,83,12,13,82
159767,3141,500506,22688,9.170,3.222,86.865,0.743,0,0,843776,108527616,914878464,56,983,55,928,7,20,1,8,1,2651,6251,0,116,0,83,12,13,82
159767,3141,500160,22688,9.852,2.833,87.192,0.123,0,0,0,108527616,914878464,56,983,55,928,7,20,1,8,1,2583,5707,0,156,0,83,12,13,82
159767,3141,500582,22688,9.506,3.086,87.407,0,0,0,0,108527616,914878464,56,983,55,928,7,20,1,8,1,2492,6782,0,119,0,83,12,13,82
159767,3141,500382,22688,8.990,3.818,87.069,0.123,0,0,0,108527616,914878464,56,985,55,930,7,22,1,8,1,2685,7176,0,131,0,83,12,13,82
159767,3141,500953,22688,12.270,3.558,83.926,0.245,0,0,712704,108527616,914878464,56,983,55,928,7,20,1,8,1,2644,5956,0,137,0,83,12,13,82
159767,3141,509711,22688,10.147,4.156,85.697,0,0,0,4022272,108527616,914878464,56,983,55,928,7,20,1,7,1,2583,6018,0,116,0,83,12,13,82
159767,3141,509335,22688,10.565,3.317,85.995,0.123,0,0,1556480,108527616,914878464,56,981,55,926,7,20,0,7,1,2559,5629,0,115,0,83,12,13,82
159767,3141,513045,22688,10.050,3.722,86.104,0.124,0,0,0,108527616,914878464,56,981,55,926,7,20,0,8,1,2817,8145,0,183,0,83,12,13,82
159767,3141,512053,22688,11.192,3.893,84.915,0,0,0,0,108527616,914878464,56,981,55,926,7,20,0,8,1,2670,7243,0,121,0,83,12,13,82
159767,3141,511909,22688,10.234,3.576,86.067,0.123,0,0,0,108527616,914878464,56,981,55,926,7,20,0,9,1,2566,6457,0,138,0,83,12,13,82
159767,3141,511560,22688,8.426,3.841,87.361,0.372,0,0,14696448,108527616,914878464,56,981,55,926,7,20,0,9,1,2969,9181,0,126,0,83,12,13,82
159767,3141,511612,22688,10.074,3.440,86.364,0.123,0,0,1703936,108527616,914878464,56,981,55,926,7,20,0,9,1,2457,5635,0,120,0,83,12,13,82
159767,3141,511500,22688,9.512,3.415,87.073,0,0,0,0,108527616,914878464,56,981,55,926,7,20,0,9,1,2654,6870,0,124,0,83,12,13,82
159767,3141,510975,22688,10.429,3.681,85.767,0.123,0,0,0,108527616,914878464,56,981,55,926,7,20,0,9,1,2598,6754,0,156,0,83,12,13,82
159767,3141,506082,22688,10.612,3.371,86.017,0,0,0,0,108527616,914878464,56,981,55,926,7,20,0,9,1,3287,35366,0,115,0,83,12,13,82
159767,3141,504921,22688,10.172,3.799,85.907,0.123,0,0,0,108527616,914878464,56,981,55,926,7,20,0,8,1,2611,6362,0,118,0,83,12,13,82
159767,3141,504284,22688,9.606,3.202,87.069,0.123,0,0,7831552,108527616,914878464,56,981,55,926,7,20,0,8,1,2633,5932,0,115,0,83,12,13,82
159767,3141,504054,22688,9.317,3.602,87.081,0,0,0,0,108527616,914878464,56,981,55,926,7,20,0,8,1,2666,6648,0,114,0,83,12,13,82
159767,3141,503747,22688,9.180,3.672,87.026,0.122,0,0,0,108527616,914878464,56,981,55,926,7,20,0,8,1,2619,6894,0,119,0,83,12,13,82
159767,3141,503541,22688,10,3.333,86.667,0,0,0,0,108527616,914878464,56,981,55,926,7,19,1,8,2,2631,6616,0,166,0,83,12,13,82
159767,3141,503337,22688,10.272,3.342,86.262,0.124,0,0,0,108527616,914878464,56,981,55,926,7,20,0,10,1,2617,6601,0,165,0,83,12,13,82
159767,3141,503314,22688,9.102,3.321,87.208,0.369,0,0,4276224,108527616,914878464,56,981,55,926,7,20,0,10,1,2585,6369,0,117,0,83,12,13,82
159767,3141,503319,22688,9.618,3.699,86.683,0,0,0,0,108527616,914878464,56,981,55,926,7,20,0,10,1,2484,6287,0,116,0,83,12,13,82
159767,3141,498098,22688,9.425,4.651,85.802,0.122,0,0,0,108527616,914878464,56,981,55,926,7,20,0,10,1,2696,7823,0,122,0,83,12,13,82
159767,3141,493633,22688,11.700,3.695,84.606,0,0,0,0,108527616,914878464,56,985,55,930,7,20,0,10,1,2977,7659,0,130,0,83,12,13,82
159767,3141,493465,22688,9.840,2.706,87.331,0.123,0,0,0,108527616,914878464,56,985,55,930,7,20,0,10,1,2597,5935,0,156,0,83,12,13,82
159767,3141,486951,22688,9.877,2.963,86.790,0.370,0,0,4964352,108527616,914878464,56,985,55,930,7,20,0,10,1,2713,6286,0,128,0,83,12,13,82
159767,3141,488078,22688,9.080,3.804,86.994,0.123,0,0,106496,108527616,914878464,56,985,55,930,7,20,0,9,1,2521,6556,0,132,0,83,12,13,82
159767,3141,488239,22688,9.158,3.713,87.005,0.124,0,0,0,108527616,914878464,56,985,55,930,7,20,0,9,1,2636,8052,0,136,0,83,12,13,82
159767,3141,497889,22688,9.914,3.672,86.414,0,0,0,0,108527616,914878464,56,985,55,930,7,20,0,9,1,2494,5584,0,118,0,83,12,13,82
159767,3141,493730,22688,9.864,3.822,86.190,0.123,0,0,0,108527616,914878464,56,985,55,930,7,19,1,9,2,2710,7167,0,153,0,83,12,13,82
159767,3141,485333,22688,13.252,5.767,80.736,0.245,0,0,5169152,108527616,914878464,56,999,55,944,7,20,0,10,1,3842,16327,0,198,0,84,12,13,83
159767,3141,480302,22688,17.488,4.064,77.833,0.616,0,0,9904128,108527616,914878464,56,999,55,944,7,20,0,10,1,9821,12505,0,157,0,84,12,13,83
159767,3141,481333,22688,8.798,4.213,86.865,0.124,0,0,0,108527616,914878464,56,999,55,944,7,20,0,10,1,2841,8622,0,132,0,84,12,13,83
159767,3141,481876,22688,9.914,3.672,86.169,0.245,0,0,843776,108527616,914878464,56,999,55,944,7,20,0,10,1,2709,6250,0,125,0,84,12,13,83
159767,3141,479505,22688,13.990,4.136,81.630,0.243,0,0,3424256,108527616,914878464,56,999,55,944,7,20,0,10,1,4185,9298,0,148,0,84,12,13,83
159767,3141,484656,22688,10.623,3.175,86.081,0.122,0,0,524288,108527616,914878464,56,999,55,944,7,20,0,9,1,2458,5753,0,114,0,84,12,13,83
159767,3141,484409,22688,10.207,4.617,85.055,0.122,0,0,0,108527616,914878464,56,999,55,944,7,20,0,9,1,2762,8134,0,159,0,84,12,13,83
159767,3141,483658,22688,9.705,4.300,85.995,0,0,0,0,108527616,914878464,56,999,55,944,7,20,0,8,1,2950,8771,0,115,0,84,12,13,83
159767,3141,483504,22688,9.634,4.634,85.610,0.122,0,0,0,108527616,914878464,56,999,55,944,7,20,0,8,1,2503,5633,0,121,0,84,12,13,83
159767,3141,483270,22688,8.529,3.461,88.010,0,0,0,0,108527616,914878464,56,999,55,944,7,20,0,8,1,2562,5705,0,116,0,84,12,13,83
159767,3141,516999,22688,10.494,3.827,85.309,0.370,0,8192,7143424,108527616,914878464,56,999,55,944,7,20,0,9,1,2745,6981,0,138,0,84,12,13,83
159767,3141,516739,22688,9.080,3.804,87.117,0,0,0,0,108527616,914878464,56,999,55,944,7,20,0,9,1,2449,5569,0,123,0,84,12,13,83
159767,3141,516770,22688,8.466,4.663,86.748,0.123,0,0,0,108527616,914878464,56,999,55,944,7,20,0,9,1,2693,8087,0,149,0,84,12,13,83
159767,3141,517512,22688,9.559,3.431,87.010,0,0,16384,0,108527616,914878464,56,999,55,944,7,20,0,9,1,2510,5742,0,120,0,84,12,13,83
159767,3141,517287,22688,9.804,3.064,87.010,0.123,0,0,0,108527616,914878464,56,999,55,944,7,20,0,9,1,2651,6189,0,118,0,84,12,13,83
159767,3141,517030,22688,9.225,4.059,86.593,0.123,0,0,14811136,108527616,914878464,56,999,55,944,7,20,0,9,1,3897,10952,0,114,0,84,12,13,83
159767,3141,516723,22688,9.670,3.794,86.536,0,0,0,0,108527616,914878464,56,999,55,944,7,20,0,9,1,2519,5554,0,115,0,84,12,13,83
159767,3141,516368,22688,9.291,4.890,85.697,0.122,0,0,0,108527616,914878464,56,999,55,944,7,20,0,9,1,2647,7605,0,120,0,84,12,13,83
159767,3141,516157,22688,9.302,3.427,87.271,0,0,0,0,108527616,914878464,56,999,55,944,7,20,0,9,1,2507,5859,0,170,0,84,12,13,83
159767,3141,520217,22688,10.307,3.926,85.644,0.123,0,0,0,108527616,914878464,56,993,55,938,7,20,0,8,1,2665,6616,0,123,0,84,12,13,83
159767,3141,520761,22688,10.147,4.156,85.208,0.489,0,0,2736128,108527616,914878464,56,993,55,938,7,20,0,8,1,2617,6065,0,123,0,84,12,13,83
159767,3141,486201,22688,10.247,4.444,85.309,0,0,0,0,108527616,914878464,56,993,55,938,7,20,0,9,1,3470,36739,0,142,0,84,12,13,83
159767,3141,492120,22688,10.501,4.640,84.737,0.122,0,0,1138688,108527616,914878464,56,993,55,938,7,20,0,9,1,2639,7101,0,119,0,84,12,13,83
159767,3141,492915,22688,9.693,4.294,85.890,0.123,0,0,2539520,108527616,914878464,56,989,55,934,7,20,0,9,1,2708,6999,0,119,0,84,12,13,83
159767,3141,492707,22688,9.235,4.010,86.634,0.122,0,0,0,108527616,914878464,56,989,55,934,7,20,0,9,1,2575,5726,0,147,0,84,12,13,83
159767,3141,487126,22688,9.780,3.790,86.308,0.122,0,0,335872,108527616,914878464,56,989,55,934,7,20,0,9,1,2651,6374,0,137,0,84,12,13,83
159767,3141,487229,22688,8.479,2.743,88.778,0,0,8192,8355840,108527616,914878464,56,989,55,934,7,20,0,9,1,2631,5976,0,116,0,84,12,13,83
159767,3141,491600,22688,9.113,4.617,86.148,0.122,0,0,0,108527616,914878464,56,989,55,934,7,20,0,9,1,2571,6762,0,111,0,84,12,13,83
159767,3141,491309,22688,10.207,3.767,86.027,0,0,0,0,108527616,914878464,56,989,55,934,7,20,0,9,1,2548,6937,0,116,0,84,12,13,83
159767,3141,486668,22688,9.494,3.206,87.176,0.123,0,0,0,108527616,914878464,56,989,55,934,7,20,0,8,1,2496,6029,0,116,0,84,12,13,83
159767,3141,489293,22688,11.411,3.558,84.785,0.245,0,0,1155072,108527616,914878464,56,989,55,934,7,20,0,8,1,3475,6318,0,142,0,84,12,13,83
159767,3141,497490,22688,11.394,4.242,84.242,0.121,0,0,4538368,108527616,914878464,56,989,55,934,7,19,1,8,2,3242,7447,0,125,0,84,12,13,83
159767,3141,497168,22688,9.729,3.695,86.576,0,0,0,0,108527616,914878464,56,989,55,934,7,20,0,9,1,2581,6952,0,141,0,84,12,13,83
159767,3141,497352,22688,9.259,3.827,86.790,0.123,0,0,0,108527616,914878464,56,989,55,934,7,20,0,9,1,2557,6961,0,119,0,84,12,13,83
159767,3141,502156,22688,10.024,4.401,85.575,0,0,0,0,108527616,914878464,56,981,55,926,7,20,0,9,1,2599,5924,0,119,0,84,12,13,83
159767,3141,502228,22688,10.366,3.171,86.098,0.366,0,0,647168,108527616,914878464,56,981,55,926,7,20,0,9,1,2510,5630,0,118,0,84,12,13,83
159767,3141,503946,22688,10.404,3.060,86.414,0.122,0,0,516096,108527616,914878464,56,981,55,926,7,20,0,9,1,2461,5879,0,157,0,83,12,13,82
159767,3141,502003,22688,9.559,4.167,86.275,0,0,0,0,108527616,914878464,56,981,55,926,7,20,0,8,1,2602,7250,0,119,0,83,12,13,82
159767,3141,504458,22688,9.294,3.470,87.113,0.124,0,0,0,108527616,914878464,56,981,55,926,7,20,0,8,1,2633,7310,0,116,0,83,12,13,82
159767,3141,504275,22688,8.968,3.071,87.961,0,0,0,0,108527616,914878464,56,981,55,926,7,20,0,7,1,2363,5630,0,118,0,83,12,13,82
159767,3141,504497,22688,9.459,2.948,87.346,0.246,0,0,761856,108527616,914878464,56,981,55,926,7,20,0,7,1,2563,5826,0,119,0,83,12,13,82
159767,3141,504400,22688,8.913,3.907,87.057,0.122,0,0,4825088,108527616,914878464,56,981,55,926,7,20,0,7,1,2473,5709,0,121,0,83,12,13,82
159767,3141,504220,22688,10.307,3.558,86.012,0.123,0,0,0,108527616,914878464,56,981,55,926,7,20,0,8,1,2743,7935,0,187,0,83,12,13,82
159767,3141,504034,22688,8.733,3.936,87.208,0.123,0,0,466944,108527616,914878464,56,981,55,926,7,20,0,8,1,2468,6980,0,126,0,83,12,13,82
159767,3141,531598,22688,9.147,3.337,87.515,0,0,0,0,108527616,914878464,56,981,55,926,7,20,0,8,1,2481,6122,0,116,0,83,12,13,82
159767,3141,531774,22688,10.061,3.313,86.503,0.123,0,0,0,108527616,914878464,56,981,55,926,7,20,0,8,1,2513,5642,0,121,0,83,12,13,82
159767,3141,531247,22688,9.606,3.695,86.576,0.123,0,0,3899392,108527616,914878464,56,981,55,926,7,20,0,8,1,2487,5685,0,113,0,83,12,13,82
159767,3141,531268,22688,9.394,3.708,86.897,0,0,0,0,108527616,914878464,56,981,55,926,7,20,0,8,1,2669,6921,0,112,0,83,12,13,82
159767,3141,534269,22688,8.696,3.851,87.329,0.124,0,0,819200,108527616,914878464,56,981,55,926,7,20,0,8,1,2656,6888,0,163,0,83,12,13,82
159767,3141,534073,22688,9.658,3.301,86.919,0.122,0,0,0,108527616,914878464,56,981,55,926,7,20,0,8,1,2457,5515,0,116,0,83,12,13,82
159767,3141,534232,22688,9.618,2.959,87.423,0,0,0,0,108527616,914878464,56,981,55,926,7,20,0,6,1,2535,5816,0,121,0,83,12,13,82
159767,3141,543236,22688,10.260,3.832,85.785,0.124,0,0,10518528,108527616,914878464,56,981,55,926,7,20,0,6,1,3761,10238,0,115,0,83,12,13,82
159767,3141,539457,22688,9.877,3.704,86.296,0.123,0,0,2588672,108527616,914878464,56,981,55,926,7,20,0,6,1,2645,7448,0,118,0,83,12,13,82
159767,3141,539454,22688,10,4.074,85.926,0,0,0,0,108527616,914878464,56,981,55,926,7,20,0,7,1,2701,7658,0,140,0,83,12,13,82
159767,3141,539438,22688,10.086,3.075,86.716,0.123,0,0,0,108527616,914878464,56,981,55,926,7,18,0,7,2,2488,5694,0,161,0,83,12,13,82
159767,3141,534001,22688,9.714,2.615,87.671,0,0,0,0,108527616,914878464,56,981,55,926,7,18,0,7,2,2651,6281,0,145,0,83,12,13,82
159767,3141,535306,22688,14.901,2.833,82.143,0.123,0,0,5087232,108527616,914878464,56,981,55,926,7,18,0,7,2,2931,6205,0,129,0,83,12,13,82
159767,3141,535013,22688,9.789,3.470,86.617,0.124,0,0,327680,108527616,914878464,56,981,55,926,7,18,0,8,2,2770,7748,0,147,0,83,12,13,82
159767,3141,503309,22688,10.604,3.822,85.450,0.123,0,0,0,108527616,914878464,56,981,55,926,7,18,0,7,2,3636,37265,0,121,0,83,12,13,82
159767,3141,498028,22688,9.729,3.202,87.069,0,0,0,0,108527616,914878464,56,981,55,926,7,18,0,7,2,2639,6196,0,129,0,83,12,13,82
159767,3141,497740,22688,9.406,3.218,87.376,0,0,0,0,108527616,914878464,56,981,55,926,7,18,0,6,2,2560,5863,0,164,0,83,12,13,82
159767,3141,496831,22688,9.348,3.198,87.208,0.246,0,0,5521408,108527616,914878464,56,981,55,926,7,18,0,6,2,2575,5809,0,122,0,83,12,13,82
159767,3141,496986,22688,9.483,3.818,86.576,0.123,0,0,3530752,108527616,914878464,56,981,55,926,7,18,0,6,2,2709,6988,0,123,0,83,12,13,82
159767,3141,500041,22688,9.789,3.594,86.493,0.124,0,0,172032,108527616,914878464,56,981,55,926,7,17,1,6,3,2694,7739,0,117,0,83,12,13,82
159767,3141,499762,22688,10.269,2.934,86.675,0.122,0,0,221184,108527616,914878464,56,981,55,926,7,18,0,7,2,2583,5945,0,137,0,83,12,13,82
159767,3141,499994,22688,8.489,2.747,88.639,0.125,0,0,221184,108527616,914878464,56,981,55,926,7,18,0,7,2,2448,5663,0,115,0,83,12,13,82
159767,3141,499970,22688,10.727,3.699,85.450,0.123,0,0,180224,108527616,914878464,56,981,55,926,7,18,0,7,2,2601,8030,0,158,0,83,12,13,82
159767,3141,501121,22688,10.404,3.550,86.047,0,0,0,0,108527616,914878464,56,981,55,926,7,18,0,7,2,2799,7311,0,120,0,83,12,13,82
159767,3141,501014,22688,9.901,3.342,86.386,0.371,0,0,2285568,108527616,914878464,56,981,55,926,7,18,0,7,2,2805,7381,0,121,0,83,12,13,82
159767,3141,500723,22688,9.753,3.210,86.914,0.123,0,0,0,108527616,914878464,56,981,55,926,7,20,0,7,1,2490,6486,0,130,0,83,12,13,82
159767,3141,500625,22688,9.777,2.599,87.624,0,0,0,0,108527616,914878464,56,981,55,926,7,20,0,7,1,2585,5849,0,130,0,83,12,13,82
159767,3141,500516,22688,8.550,2.850,88.476,0.124,0,0,0,108527616,914878464,56,981,55,926,7,20,0,7,1,2444,5555,0,114,0,83,12,13,82
159767,3141,500237,22688,8.755,4.316,86.806,0.123,0,0,4653056,108527616,914878464,56,981,55,926,7,20,0,6,1,2769,7245,0,167,0,83,12,13,82
159767,3141,499952,22688,8.706,2.612,88.557,0.124,0,0,0,108527616,914878464,56,981,55,926,7,20,0,6,1,2611,7204,0,114,0,83,12,13,82
159767,3141,495845,22688,9.988,3.206,86.683,0.123,0,0,352256,108527616,914878464,56,981,55,926,7,20,0,7,1,2570,7133,0,128,0,83,12,13,82
159767,3141,495557,22688,10.086,3.444,86.470,0,0,0,0,108527616,914878464,56,981,55,926,7,20,0,7,1,2551,5631,0,129,0,83,12,13,82
159767,3141,495389,22688,9.436,3.431,87.010,0.123,0,0,0,108527616,914878464,56,981,55,926,7,20,0,7,1,2450,5512,0,115,0,83,12,13,82
159767,3141,495235,22688,8.728,3.491,87.781,0,0,0,4325376,108527616,914878464,56,981,55,926,7,20,0,7,1,2669,6752,0,116,0,83,12,13,82
159767,3141,494960,22688,9.741,3.329,86.806,0.123,0,0,0,108527616,914878464,56,981,55,926,7,20,0,7,1,2611,6937,0,142,0,83,12,13,82
159767,3141,494845,22688,9.665,2.850,87.361,0.124,0,0,630784,108527616,914878464,56,981,55,926,7,20,0,7,1,2485,5679,0,115,0,83,12,13,82
159767,3141,495151,22688,9.565,3.106,87.329,0,0,0,0,108527616,914878464,56,981,55,926,7,20,0,7,1,2492,5656,0,121,0,83,12,13,82
159767,3141,495103,22688,9.613,2.497,87.765,0.125,0,0,0,108527616,914878464,56,983,55,928,7,20,0,7,1,2433,5581,0,114,0,83,12,13,82
159767,3141,492166,22688,9.114,3.371,87.391,0.125,0,0,1236992,108527616,914878464,56,981,55,926,7,20,0,6,1,2664,6852,0,126,0,83,12,13,82
159767,3141,493947,22688,9.001,3.576,87.300,0.123,0,0,0,108527616,914878464,56,981,55,926,7,20,0,6,1,2529,7335,0,114,0,83,12,13,82
159767,3141,493725,22688,9.248,3.083,87.670,0,0,0,0,108527616,914878464,56,981,55,926,7,20,0,6,1,2547,5723,0,142,0,83,12,13,82
159767,3141,489745,22688,9.939,3.681,86.258,0.123,0,0,204800,108527616,914878464,56,981,55,926,7,20,0,7,1,2622,6924,0,162,0,83,12,13,82
159767,3141,489759,22688,8.717,2.864,88.294,0.125,0,0,0,108527616,914878464,56,981,55,926,7,20,0,7,1,2392,5533,0,117,0,83,12,13,82
159767,3141,492171,22688,8.978,4.364,86.409,0.249,0,0,34324480,108527616,914878464,56,981,55,926,7,20,0,7,1,4325,12130,0,119,0,83,12,13,82
159767,3141,541090,22688,8.593,3.985,87.422,0,0,0,0,108527616,914878464,56,981,55,926,7,20,0,7,1,2672,8089,0,113,0,83,12,13,82
159767,3141,540268,22688,9.225,3.075,87.577,0.123,0,0,0,108527616,914878464,56,981,55,926,7,20,0,7,1,2690,6129,0,118,0,83,12,13,82
159767,3141,539913,22688,9.282,3.342,87.376,0,0,0,3022848,108527616,914878464,56,981,55,926,7,20,0,7,1,2560,5674,0,148,0,83,12,13,82
