"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dstat/swap.csv --time --swap 1 600",,,,"Date:","23 Mar 2023 13:54:36 -03"
"system","swap",
23-03 13:55:29,108527616,914878464
23-03 13:55:30,108527616,914878464
23-03 13:55:31,108527616,914878464
23-03 13:55:32,108527616,914878464
23-03 13:55:33,108527616,914878464
23-03 13:55:34,108527616,914878464
23-03 13:55:35,108527616,914878464
23-03 13:55:36,108527616,914878464
23-03 13:55:37,108527616,914878464
23-03 13:55:38,108527616,914878464
23-03 13:55:39,108527616,914878464
23-03 13:55:40,108527616,914878464
23-03 13:55:41,108527616,914878464
23-03 13:55:42,108527616,914878464
23-03 13:55:43,108527616,914878464
23-03 13:55:44,108527616,914878464
23-03 13:55:45,108527616,914878464
23-03 13:55:46,108527616,914878464
23-03 13:55:47,108527616,914878464
23-03 13:55:48,108527616,914878464
23-03 13:55:49,108527616,914878464
23-03 13:55:50,108527616,914878464
23-03 13:55:51,108527616,914878464
23-03 13:55:52,108527616,914878464
23-03 13:55:53,108527616,914878464
23-03 13:55:54,108527616,914878464
23-03 13:55:55,108527616,914878464
23-03 13:55:56,108527616,914878464
23-03 13:55:57,108527616,914878464
23-03 13:55:58,108527616,914878464
23-03 13:55:59,108527616,914878464
23-03 13:56:00,108527616,914878464
23-03 13:56:01,108527616,914878464
23-03 13:56:02,108527616,914878464
23-03 13:56:03,108527616,914878464
23-03 13:56:04,108527616,914878464
23-03 13:56:05,108527616,914878464
23-03 13:56:06,108527616,914878464
23-03 13:56:07,108527616,914878464
23-03 13:56:08,108527616,914878464
23-03 13:56:09,108527616,914878464
23-03 13:56:10,108527616,914878464
23-03 13:56:11,108527616,914878464
23-03 13:56:12,108527616,914878464
23-03 13:56:13,108527616,914878464
23-03 13:56:14,108527616,914878464
23-03 13:56:15,108527616,914878464
23-03 13:56:16,108527616,914878464
23-03 13:56:17,108527616,914878464
23-03 13:56:18,108527616,914878464
23-03 13:56:19,108527616,914878464
23-03 13:56:20,108527616,914878464
23-03 13:56:21,108527616,914878464
23-03 13:56:22,108527616,914878464
23-03 13:56:23,108527616,914878464
23-03 13:56:24,108527616,914878464
23-03 13:56:25,108527616,914878464
23-03 13:56:26,108527616,914878464
23-03 13:56:27,108527616,914878464
23-03 13:56:28,108527616,914878464
23-03 13:56:29,108527616,914878464
23-03 13:56:30,108527616,914878464
23-03 13:56:31,108527616,914878464
23-03 13:56:32,108527616,914878464
23-03 13:56:33,108527616,914878464
23-03 13:56:34,108527616,914878464
23-03 13:56:35,108527616,914878464
23-03 13:56:36,108527616,914878464
23-03 13:56:37,108527616,914878464
23-03 13:56:38,108527616,914878464
23-03 13:56:39,108527616,914878464
23-03 13:56:40,108527616,914878464
23-03 13:56:41,108527616,914878464
23-03 13:56:42,108527616,914878464
23-03 13:56:43,108527616,914878464
23-03 13:56:44,108527616,914878464
23-03 13:56:45,108527616,914878464
23-03 13:56:46,108527616,914878464
23-03 13:56:47,108527616,914878464
23-03 13:56:48,108527616,914878464
23-03 13:56:49,108527616,914878464
23-03 13:56:50,108527616,914878464
23-03 13:56:51,108527616,914878464
23-03 13:56:52,108527616,914878464
23-03 13:56:53,108527616,914878464
23-03 13:56:54,108527616,914878464
23-03 13:56:55,108527616,914878464
23-03 13:56:56,108527616,914878464
23-03 13:56:57,108527616,914878464
23-03 13:56:58,108527616,914878464
23-03 13:56:59,108527616,914878464
23-03 13:57:00,108527616,914878464
23-03 13:57:01,108527616,914878464
23-03 13:57:02,108527616,914878464
23-03 13:57:03,108527616,914878464
23-03 13:57:04,108527616,914878464
23-03 13:57:05,108527616,914878464
23-03 13:57:06,108527616,914878464
23-03 13:57:07,108527616,914878464
23-03 13:57:08,108527616,914878464
23-03 13:57:09,108527616,914878464
23-03 13:57:10,108527616,914878464
23-03 13:57:11,108527616,914878464
23-03 13:57:12,108527616,914878464
23-03 13:57:13,108527616,914878464
23-03 13:57:14,108527616,914878464
23-03 13:57:15,108527616,914878464
23-03 13:57:16,108527616,914878464
23-03 13:57:17,108527616,914878464
23-03 13:57:18,108527616,914878464
23-03 13:57:19,108527616,914878464
23-03 13:57:20,108527616,914878464
23-03 13:57:21,108527616,914878464
23-03 13:57:22,108527616,914878464
23-03 13:57:23,108527616,914878464
23-03 13:57:24,108527616,914878464
23-03 13:57:25,108527616,914878464
23-03 13:57:26,108527616,914878464
23-03 13:57:27,108527616,914878464
23-03 13:57:28,108527616,914878464
23-03 13:57:29,108527616,914878464
23-03 13:57:30,108527616,914878464
23-03 13:57:31,108527616,914878464
23-03 13:57:32,108527616,914878464
23-03 13:57:33,108527616,914878464
23-03 13:57:34,108527616,914878464
23-03 13:57:35,108527616,914878464
23-03 13:57:36,108527616,914878464
23-03 13:57:37,108527616,914878464
23-03 13:57:38,108527616,914878464
23-03 13:57:39,108527616,914878464
23-03 13:57:40,108527616,914878464
23-03 13:57:41,108527616,914878464
23-03 13:57:42,108527616,914878464
23-03 13:57:43,108527616,914878464
23-03 13:57:44,108527616,914878464
23-03 13:57:45,108527616,914878464
23-03 13:57:46,108527616,914878464
23-03 13:57:47,108527616,914878464
23-03 13:57:48,108527616,914878464
23-03 13:57:49,108527616,914878464
23-03 13:57:50,108527616,914878464
23-03 13:57:51,108527616,914878464
23-03 13:57:52,108527616,914878464
23-03 13:57:53,108527616,914878464
23-03 13:57:54,108527616,914878464
23-03 13:57:55,108527616,914878464
23-03 13:57:56,108527616,914878464
23-03 13:57:57,108527616,914878464
23-03 13:57:58,108527616,914878464
23-03 13:57:59,108527616,914878464
23-03 13:58:00,108527616,914878464
23-03 13:58:01,108527616,914878464
23-03 13:58:02,108527616,914878464
23-03 13:58:03,108527616,914878464
23-03 13:58:04,108527616,914878464
23-03 13:58:05,108527616,914878464
23-03 13:58:06,108527616,914878464
23-03 13:58:07,108527616,914878464
23-03 13:58:08,108527616,914878464
23-03 13:58:09,108527616,914878464
23-03 13:58:10,108527616,914878464
23-03 13:58:11,108527616,914878464
23-03 13:58:12,108527616,914878464
23-03 13:58:13,108527616,914878464
23-03 13:58:14,108527616,914878464
23-03 13:58:15,108527616,914878464
23-03 13:58:16,108527616,914878464
23-03 13:58:17,108527616,914878464
23-03 13:58:18,108527616,914878464
23-03 13:58:19,108527616,914878464
23-03 13:58:20,108527616,914878464
23-03 13:58:21,108527616,914878464
23-03 13:58:22,108527616,914878464
23-03 13:58:23,108527616,914878464
23-03 13:58:24,108527616,914878464
23-03 13:58:25,108527616,914878464
23-03 13:58:26,108527616,914878464
23-03 13:58:27,108527616,914878464
23-03 13:58:28,108527616,914878464
23-03 13:58:29,108527616,914878464
23-03 13:58:30,108527616,914878464
23-03 13:58:31,108527616,914878464
23-03 13:58:32,108527616,914878464
23-03 13:58:33,108527616,914878464
23-03 13:58:34,108527616,914878464
23-03 13:58:35,108527616,914878464
23-03 13:58:36,108527616,914878464
23-03 13:58:37,108527616,914878464
23-03 13:58:38,108527616,914878464
23-03 13:58:39,108527616,914878464
23-03 13:58:40,108527616,914878464
23-03 13:58:41,108527616,914878464
23-03 13:58:42,108527616,914878464
23-03 13:58:43,108527616,914878464
23-03 13:58:44,108527616,914878464
23-03 13:58:45,108527616,914878464
23-03 13:58:46,108527616,914878464
23-03 13:58:47,108527616,914878464
23-03 13:58:48,108527616,914878464
23-03 13:58:49,108527616,914878464
23-03 13:58:50,108527616,914878464
23-03 13:58:51,108527616,914878464
23-03 13:58:52,108527616,914878464
23-03 13:58:53,108527616,914878464
23-03 13:58:54,108527616,914878464
23-03 13:58:55,108527616,914878464
23-03 13:58:56,108527616,914878464
23-03 13:58:57,108527616,914878464
23-03 13:58:58,108527616,914878464
23-03 13:58:59,108527616,914878464
23-03 13:59:00,108527616,914878464
23-03 13:59:01,108527616,914878464
23-03 13:59:02,108527616,914878464
23-03 13:59:03,108527616,914878464
23-03 13:59:04,108527616,914878464
23-03 13:59:05,108527616,914878464
23-03 13:59:06,108527616,914878464
23-03 13:59:07,108527616,914878464
23-03 13:59:08,108527616,914878464
23-03 13:59:09,108527616,914878464
23-03 13:59:10,108527616,914878464
23-03 13:59:11,108527616,914878464
23-03 13:59:12,108527616,914878464
23-03 13:59:13,108527616,914878464
23-03 13:59:14,108527616,914878464
23-03 13:59:15,108527616,914878464
23-03 13:59:16,108527616,914878464
23-03 13:59:17,108527616,914878464
23-03 13:59:18,108527616,914878464
23-03 13:59:19,108527616,914878464
23-03 13:59:20,108527616,914878464
23-03 13:59:21,108527616,914878464
23-03 13:59:22,108527616,914878464
23-03 13:59:23,108527616,914878464
23-03 13:59:24,108527616,914878464
23-03 13:59:25,108527616,914878464
23-03 13:59:26,108527616,914878464
23-03 13:59:27,108527616,914878464
23-03 13:59:28,108527616,914878464
23-03 13:59:29,108527616,914878464
23-03 13:59:30,108527616,914878464
23-03 13:59:31,108527616,914878464
23-03 13:59:32,108527616,914878464
23-03 13:59:33,108527616,914878464
23-03 13:59:34,108527616,914878464
23-03 13:59:35,108527616,914878464
23-03 13:59:36,108527616,914878464
23-03 13:59:37,108527616,914878464
23-03 13:59:38,108527616,914878464
23-03 13:59:39,108527616,914878464
23-03 13:59:40,108527616,914878464
23-03 13:59:41,108527616,914878464
23-03 13:59:42,108527616,914878464
23-03 13:59:43,108527616,914878464
23-03 13:59:44,108527616,914878464
23-03 13:59:45,108527616,914878464
23-03 13:59:46,108527616,914878464
23-03 13:59:47,108527616,914878464
23-03 13:59:48,108527616,914878464
23-03 13:59:49,108527616,914878464
23-03 13:59:50,108527616,914878464
23-03 13:59:51,108527616,914878464
23-03 13:59:52,108527616,914878464
23-03 13:59:53,108527616,914878464
23-03 13:59:54,108527616,914878464
23-03 13:59:55,108527616,914878464
23-03 13:59:56,108527616,914878464
23-03 13:59:57,108527616,914878464
23-03 13:59:58,108527616,914878464
23-03 13:59:59,108527616,914878464
23-03 14:00:00,108527616,914878464
23-03 14:00:01,108527616,914878464
23-03 14:00:02,108527616,914878464
23-03 14:00:03,108527616,914878464
23-03 14:00:04,108527616,914878464
23-03 14:00:05,108527616,914878464
23-03 14:00:06,108527616,914878464
23-03 14:00:07,108527616,914878464
23-03 14:00:08,108527616,914878464
23-03 14:00:09,108527616,914878464
23-03 14:00:10,108527616,914878464
23-03 14:00:11,108527616,914878464
23-03 14:00:12,108527616,914878464
23-03 14:00:13,108527616,914878464
23-03 14:00:14,108527616,914878464
23-03 14:00:15,108527616,914878464
23-03 14:00:16,108527616,914878464
23-03 14:00:17,108527616,914878464
23-03 14:00:18,108527616,914878464
23-03 14:00:19,108527616,914878464
23-03 14:00:20,108527616,914878464
23-03 14:00:21,108527616,914878464
23-03 14:00:22,108527616,914878464
23-03 14:00:23,108527616,914878464
23-03 14:00:24,108527616,914878464
23-03 14:00:25,108527616,914878464
23-03 14:00:26,108527616,914878464
23-03 14:00:27,108527616,914878464
23-03 14:00:28,108527616,914878464
23-03 14:00:29,108527616,914878464
23-03 14:00:30,108527616,914878464
23-03 14:00:31,108527616,914878464
23-03 14:00:32,108527616,914878464
23-03 14:00:33,108527616,914878464
23-03 14:00:34,108527616,914878464
23-03 14:00:35,108527616,914878464
23-03 14:00:36,108527616,914878464
23-03 14:00:37,108527616,914878464
23-03 14:00:38,108527616,914878464
23-03 14:00:39,108527616,914878464
23-03 14:00:40,108527616,914878464
23-03 14:00:41,108527616,914878464
23-03 14:00:42,108527616,914878464
23-03 14:00:43,108527616,914878464
23-03 14:00:44,108527616,914878464
23-03 14:00:45,108527616,914878464
23-03 14:00:46,108527616,914878464
23-03 14:00:47,108527616,914878464
23-03 14:00:48,108527616,914878464
23-03 14:00:49,108527616,914878464
23-03 14:00:50,108527616,914878464
23-03 14:00:51,108527616,914878464
23-03 14:00:52,108527616,914878464
23-03 14:00:53,108527616,914878464
23-03 14:00:54,108527616,914878464
23-03 14:00:55,108527616,914878464
23-03 14:00:56,108527616,914878464
23-03 14:00:57,108527616,914878464
23-03 14:00:58,108527616,914878464
23-03 14:00:59,108527616,914878464
23-03 14:01:00,108527616,914878464
23-03 14:01:01,108527616,914878464
23-03 14:01:02,108527616,914878464
23-03 14:01:03,108527616,914878464
23-03 14:01:04,108527616,914878464
23-03 14:01:05,108527616,914878464
23-03 14:01:06,108527616,914878464
23-03 14:01:07,108527616,914878464
23-03 14:01:08,108527616,914878464
23-03 14:01:09,108527616,914878464
23-03 14:01:10,108527616,914878464
23-03 14:01:11,108527616,914878464
23-03 14:01:12,108527616,914878464
23-03 14:01:13,108527616,914878464
23-03 14:01:14,108527616,914878464
23-03 14:01:15,108527616,914878464
23-03 14:01:16,108527616,914878464
23-03 14:01:17,108527616,914878464
23-03 14:01:18,108527616,914878464
23-03 14:01:19,108527616,914878464
23-03 14:01:20,108527616,914878464
23-03 14:01:21,108527616,914878464
23-03 14:01:22,108527616,914878464
23-03 14:01:23,108527616,914878464
23-03 14:01:24,108527616,914878464
23-03 14:01:25,108527616,914878464
23-03 14:01:26,108527616,914878464
23-03 14:01:27,108527616,914878464
23-03 14:01:28,108527616,914878464
23-03 14:01:29,108527616,914878464
23-03 14:01:30,108527616,914878464
23-03 14:01:31,108527616,914878464
23-03 14:01:32,108527616,914878464
23-03 14:01:33,108527616,914878464
23-03 14:01:34,108527616,914878464
23-03 14:01:35,108527616,914878464
23-03 14:01:36,108527616,914878464
23-03 14:01:37,108527616,914878464
23-03 14:01:38,108527616,914878464
23-03 14:01:39,108527616,914878464
23-03 14:01:40,108527616,914878464
23-03 14:01:41,108527616,914878464
23-03 14:01:42,108527616,914878464
23-03 14:01:43,108527616,914878464
23-03 14:01:44,108527616,914878464
23-03 14:01:45,108527616,914878464
23-03 14:01:46,108527616,914878464
23-03 14:01:47,108527616,914878464
23-03 14:01:48,108527616,914878464
23-03 14:01:49,108527616,914878464
23-03 14:01:50,108527616,914878464
23-03 14:01:51,108527616,914878464
23-03 14:01:52,108527616,914878464
23-03 14:01:53,108527616,914878464
23-03 14:01:54,108527616,914878464
23-03 14:01:55,108527616,914878464
23-03 14:01:56,108527616,914878464
23-03 14:01:57,108527616,914878464
23-03 14:01:58,108527616,914878464
23-03 14:01:59,108527616,914878464
23-03 14:02:00,108527616,914878464
23-03 14:02:01,108527616,914878464
23-03 14:02:02,108527616,914878464
23-03 14:02:03,108527616,914878464
23-03 14:02:04,108527616,914878464
23-03 14:02:05,108527616,914878464
23-03 14:02:06,108527616,914878464
23-03 14:02:07,108527616,914878464
23-03 14:02:08,108527616,914878464
23-03 14:02:09,108527616,914878464
23-03 14:02:10,108527616,914878464
23-03 14:02:11,108527616,914878464
23-03 14:02:12,108527616,914878464
23-03 14:02:13,108527616,914878464
23-03 14:02:14,108527616,914878464
23-03 14:02:15,108527616,914878464
23-03 14:02:16,108527616,914878464
23-03 14:02:17,108527616,914878464
23-03 14:02:18,108527616,914878464
23-03 14:02:19,108527616,914878464
23-03 14:02:20,108527616,914878464
23-03 14:02:21,108527616,914878464
23-03 14:02:22,108527616,914878464
23-03 14:02:23,108527616,914878464
23-03 14:02:24,108527616,914878464
23-03 14:02:25,108527616,914878464
23-03 14:02:26,108527616,914878464
23-03 14:02:27,108527616,914878464
23-03 14:02:28,108527616,914878464
23-03 14:02:29,108527616,914878464
23-03 14:02:30,108527616,914878464
23-03 14:02:31,108527616,914878464
23-03 14:02:32,108527616,914878464
23-03 14:02:33,108527616,914878464
23-03 14:02:34,108527616,914878464
23-03 14:02:35,108527616,914878464
23-03 14:02:36,108527616,914878464
23-03 14:02:37,108527616,914878464
23-03 14:02:38,108527616,914878464
23-03 14:02:39,108527616,914878464
23-03 14:02:40,108527616,914878464
23-03 14:02:41,108527616,914878464
23-03 14:02:42,108527616,914878464
23-03 14:02:43,108527616,914878464
23-03 14:02:44,108527616,914878464
23-03 14:02:45,108527616,914878464
23-03 14:02:46,108527616,914878464
23-03 14:02:47,108527616,914878464
23-03 14:02:48,108527616,914878464
23-03 14:02:49,108527616,914878464
23-03 14:02:50,108527616,914878464
23-03 14:02:51,108527616,914878464
23-03 14:02:52,108527616,914878464
23-03 14:02:53,108527616,914878464
23-03 14:02:54,108527616,914878464
23-03 14:02:55,108527616,914878464
23-03 14:02:56,108527616,914878464
23-03 14:02:57,108527616,914878464
23-03 14:02:58,108527616,914878464
23-03 14:02:59,108527616,914878464
23-03 14:03:00,108527616,914878464
23-03 14:03:01,108527616,914878464
23-03 14:03:02,108527616,914878464
23-03 14:03:03,108527616,914878464
23-03 14:03:04,108527616,914878464
23-03 14:03:05,108527616,914878464
23-03 14:03:06,108527616,914878464
23-03 14:03:07,108527616,914878464
23-03 14:03:08,108527616,914878464
23-03 14:03:09,108527616,914878464
23-03 14:03:10,108527616,914878464
23-03 14:03:11,108527616,914878464
23-03 14:03:12,108527616,914878464
23-03 14:03:13,108527616,914878464
23-03 14:03:14,108527616,914878464
23-03 14:03:15,108527616,914878464
23-03 14:03:16,108527616,914878464
23-03 14:03:17,108527616,914878464
23-03 14:03:18,108527616,914878464
23-03 14:03:19,108527616,914878464
23-03 14:03:20,108527616,914878464
23-03 14:03:21,108527616,914878464
23-03 14:03:22,108527616,914878464
23-03 14:03:23,108527616,914878464
23-03 14:03:24,108527616,914878464
23-03 14:03:25,108527616,914878464
23-03 14:03:26,108527616,914878464
23-03 14:03:27,108527616,914878464
23-03 14:03:28,108527616,914878464
23-03 14:03:29,108527616,914878464
23-03 14:03:30,108527616,914878464
23-03 14:03:31,108527616,914878464
23-03 14:03:32,108527616,914878464
23-03 14:03:33,108527616,914878464
23-03 14:03:34,108527616,914878464
23-03 14:03:35,108527616,914878464
23-03 14:03:36,108527616,914878464
23-03 14:03:37,108527616,914878464
23-03 14:03:38,108527616,914878464
23-03 14:03:39,108527616,914878464
23-03 14:03:40,108527616,914878464
23-03 14:03:41,108527616,914878464
23-03 14:03:42,108527616,914878464
23-03 14:03:43,108527616,914878464
23-03 14:03:44,108527616,914878464
23-03 14:03:45,108527616,914878464
23-03 14:03:46,108527616,914878464
23-03 14:03:47,108527616,914878464
23-03 14:03:48,108527616,914878464
23-03 14:03:49,108527616,914878464
23-03 14:03:50,108527616,914878464
23-03 14:03:51,108527616,914878464
23-03 14:03:52,108527616,914878464
23-03 14:03:53,108527616,914878464
23-03 14:03:54,108527616,914878464
23-03 14:03:55,108527616,914878464
23-03 14:03:56,108527616,914878464
23-03 14:03:57,108527616,914878464
23-03 14:03:58,108527616,914878464
23-03 14:03:59,108527616,914878464
23-03 14:04:00,108527616,914878464
23-03 14:04:01,108527616,914878464
23-03 14:04:02,108527616,914878464
23-03 14:04:03,108527616,914878464
23-03 14:04:04,108527616,914878464
23-03 14:04:05,108527616,914878464
23-03 14:04:06,108527616,914878464
23-03 14:04:07,108527616,914878464
23-03 14:04:08,108527616,914878464
23-03 14:04:09,108527616,914878464
23-03 14:04:10,108527616,914878464
23-03 14:04:11,108527616,914878464
23-03 14:04:12,108527616,914878464
23-03 14:04:13,108527616,914878464
23-03 14:04:14,108527616,914878464
23-03 14:04:15,108527616,914878464
23-03 14:04:16,108527616,914878464
23-03 14:04:17,108527616,914878464
23-03 14:04:18,108527616,914878464
23-03 14:04:19,108527616,914878464
23-03 14:04:20,108527616,914878464
23-03 14:04:21,108527616,914878464
23-03 14:04:22,108527616,914878464
23-03 14:04:23,108527616,914878464
23-03 14:04:24,108527616,914878464
23-03 14:04:25,108527616,914878464
23-03 14:04:26,108527616,914878464
23-03 14:04:27,108527616,914878464
23-03 14:04:28,108527616,914878464
23-03 14:04:29,108527616,914878464
23-03 14:04:30,108527616,914878464
23-03 14:04:31,108527616,914878464
23-03 14:04:32,108527616,914878464
23-03 14:04:33,108527616,914878464
23-03 14:04:34,108527616,914878464
23-03 14:04:35,108527616,914878464
