"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dstat/proc.csv --time --proc 1 600",,,,"Date:","22 Mar 2023 22:03:09 -03"
"system","procs",,
22-03 22:04:42,0,0,0
22-03 22:04:43,2,0,8
22-03 22:04:44,2,0,0
22-03 22:04:45,0,0,0
22-03 22:04:46,1,0,9
22-03 22:04:47,0,1,0
22-03 22:04:48,1,0,8
22-03 22:04:49,2,0,0
22-03 22:04:50,2,1,0
22-03 22:04:51,1,0,8
22-03 22:04:52,1,0,0
22-03 22:04:53,3,0,8
22-03 22:04:54,1,0,0
22-03 22:04:55,1,0,0
22-03 22:04:56,2,0,8
22-03 22:04:57,1,0,0
22-03 22:04:58,0,0,9
22-03 22:04:59,0,1,0
22-03 22:05:00,1,0,0
22-03 22:05:01,0,1,8
22-03 22:05:02,1,0,11
22-03 22:05:03,0,1,8
22-03 22:05:04,0,0,0
22-03 22:05:05,2,0,0
22-03 22:05:06,2,0,8
22-03 22:05:07,0,0,0
22-03 22:05:08,1,0,8
22-03 22:05:09,2,0,0
22-03 22:05:10,2,0,0
22-03 22:05:11,1,0,9
22-03 22:05:12,0,0,0
22-03 22:05:13,2,0,8
22-03 22:05:14,1,0,0
22-03 22:05:15,2,0,0
22-03 22:05:16,3,0,8
22-03 22:05:17,1,0,0
22-03 22:05:18,1,0,8
22-03 22:05:19,2,0,0
22-03 22:05:20,2,0,0
22-03 22:05:21,0,1,8
22-03 22:05:22,1,0,0
22-03 22:05:23,0,0,9
22-03 22:05:24,0,1,0
22-03 22:05:25,0,0,0
22-03 22:05:26,1,0,4
22-03 22:05:27,2,0,4
22-03 22:05:28,1,0,8
22-03 22:05:29,1,0,0
22-03 22:05:30,0,0,0
22-03 22:05:31,0,1,0
22-03 22:05:32,1,0,8
22-03 22:05:33,1,0,8
22-03 22:05:34,1,0,0
22-03 22:05:35,1,0,1
22-03 22:05:36,1,0,0
22-03 22:05:37,0,1,8
22-03 22:05:38,1,0,8
22-03 22:05:39,0,1,0
22-03 22:05:40,0,1,0
22-03 22:05:41,1,0,0
22-03 22:05:42,2,0,8
22-03 22:05:43,1,0,8
22-03 22:05:44,0,0,0
22-03 22:05:45,1,0,0
22-03 22:05:46,0,0,0
22-03 22:05:47,1,0,9
22-03 22:05:48,1,0,4
22-03 22:05:49,1,0,4
22-03 22:05:50,0,0,0
22-03 22:05:51,1,0,0
22-03 22:05:52,3,0,8
22-03 22:05:53,3,0,0
22-03 22:05:54,2,0,8
22-03 22:05:55,2,0,0
22-03 22:05:56,2,0,31
22-03 22:05:57,1,0,8
22-03 22:05:58,0,0,0
22-03 22:05:59,0,0,8
22-03 22:06:00,1,0,1
22-03 22:06:01,1,0,0
22-03 22:06:02,1,0,16
22-03 22:06:03,3,0,0
22-03 22:06:04,1,0,8
22-03 22:06:05,1,0,0
22-03 22:06:06,2,0,0
22-03 22:06:07,1,0,8
22-03 22:06:08,2,0,0
22-03 22:06:09,3,0,8
22-03 22:06:10,2,0,0
22-03 22:06:11,1,0,0
22-03 22:06:12,2,0,9
22-03 22:06:13,1,0,0
22-03 22:06:14,0,0,8
22-03 22:06:15,3,0,0
22-03 22:06:16,2,0,0
22-03 22:06:17,2,0,8
22-03 22:06:18,0,1,0
22-03 22:06:19,2,0,8
22-03 22:06:20,1,0,0
22-03 22:06:21,1,0,0
22-03 22:06:22,3,0,8
22-03 22:06:23,3,0,0
22-03 22:06:24,2,0,9
22-03 22:06:25,1,0,0
22-03 22:06:26,0,0,1
22-03 22:06:27,1,0,8
22-03 22:06:28,1,0,0
22-03 22:06:29,0,0,8
22-03 22:06:30,2,0,0
22-03 22:06:31,0,0,0
22-03 22:06:32,4,0,8
22-03 22:06:33,2,0,0
22-03 22:06:34,0,0,8
22-03 22:06:35,0,1,0
22-03 22:06:36,0,0,1
22-03 22:06:37,1,0,8
22-03 22:06:38,1,0,0
22-03 22:06:39,1,0,8
22-03 22:06:40,1,0,0
22-03 22:06:41,0,0,0
22-03 22:06:42,1,0,8
22-03 22:06:43,0,1,0
22-03 22:06:44,0,0,8
22-03 22:06:45,2,0,0
22-03 22:06:46,1,0,0
22-03 22:06:47,0,0,8
22-03 22:06:48,2,0,0
22-03 22:06:49,0,0,9
22-03 22:06:50,0,0,0
22-03 22:06:51,1,0,0
22-03 22:06:52,2,0,8
22-03 22:06:53,1,0,0
22-03 22:06:54,3,0,8
22-03 22:06:55,1,0,0
22-03 22:06:56,2,0,0
22-03 22:06:57,0,1,8
22-03 22:06:58,1,0,0
22-03 22:06:59,0,0,8
22-03 22:07:00,1,0,0
22-03 22:07:01,1,0,1
22-03 22:07:02,2,0,15
22-03 22:07:03,1,0,1
22-03 22:07:04,2,0,8
22-03 22:07:05,3,0,0
22-03 22:07:06,0,0,0
22-03 22:07:07,0,0,0
22-03 22:07:08,2,0,8
22-03 22:07:09,2,0,8
22-03 22:07:10,0,0,0
22-03 22:07:11,2,0,0
22-03 22:07:12,2,0,0
22-03 22:07:13,2,0,9
22-03 22:07:14,2,0,8
22-03 22:07:15,1,0,0
22-03 22:07:16,3,0,0
22-03 22:07:17,2,0,0
22-03 22:07:18,0,0,8
22-03 22:07:19,2,0,8
22-03 22:07:20,1,0,0
22-03 22:07:21,3,0,0
22-03 22:07:22,1,1,0
22-03 22:07:23,0,1,8
22-03 22:07:24,0,1,8
22-03 22:07:25,1,0,1
22-03 22:07:26,2,0,0
22-03 22:07:27,2,0,1
22-03 22:07:28,2,0,8
22-03 22:07:29,0,1,8
22-03 22:07:30,2,0,0
22-03 22:07:31,0,0,0
22-03 22:07:32,3,0,0
22-03 22:07:33,2,0,8
22-03 22:07:34,1,1,4
22-03 22:07:35,1,0,4
22-03 22:07:36,0,0,0
22-03 22:07:37,2,0,0
22-03 22:07:38,2,0,9
22-03 22:07:39,3,0,0
22-03 22:07:40,1,0,8
22-03 22:07:41,0,0,0
22-03 22:07:42,0,0,0
22-03 22:07:43,1,0,8
22-03 22:07:44,1,0,0
22-03 22:07:45,1,0,8
22-03 22:07:46,1,0,0
22-03 22:07:47,1,0,0
22-03 22:07:48,2,0,8
22-03 22:07:49,0,0,0
22-03 22:07:50,3,0,9
22-03 22:07:51,0,0,0
22-03 22:07:52,1,0,0
22-03 22:07:53,0,0,8
22-03 22:07:54,1,0,0
22-03 22:07:55,3,0,8
22-03 22:07:56,1,1,0
22-03 22:07:57,1,0,0
22-03 22:07:58,1,0,8
22-03 22:07:59,0,0,0
22-03 22:08:00,0,0,8
22-03 22:08:01,0,0,0
22-03 22:08:02,0,0,9
22-03 22:08:03,1,0,8
22-03 22:08:04,1,0,0
22-03 22:08:05,1,0,8
22-03 22:08:06,1,0,0
22-03 22:08:07,2,0,0
22-03 22:08:08,0,0,8
22-03 22:08:09,1,0,0
22-03 22:08:10,1,0,8
22-03 22:08:11,2,0,0
22-03 22:08:12,1,0,0
22-03 22:08:13,2,0,8
22-03 22:08:14,1,0,1
22-03 22:08:15,2,0,8
22-03 22:08:16,1,0,0
22-03 22:08:17,1,0,0
22-03 22:08:18,1,0,8
22-03 22:08:19,1,1,0
22-03 22:08:20,1,0,8
22-03 22:08:21,1,0,0
22-03 22:08:22,2,0,0
22-03 22:08:23,2,0,8
22-03 22:08:24,1,2,0
22-03 22:08:25,1,0,8
22-03 22:08:26,1,0,0
22-03 22:08:27,2,0,1
22-03 22:08:28,0,1,8
22-03 22:08:29,3,0,0
22-03 22:08:30,2,0,8
22-03 22:08:31,1,0,0
22-03 22:08:32,3,0,0
22-03 22:08:33,2,0,4
22-03 22:08:34,2,0,4
22-03 22:08:35,1,0,8
22-03 22:08:36,1,0,0
22-03 22:08:37,0,0,0
22-03 22:08:38,1,0,0
22-03 22:08:39,2,0,9
22-03 22:08:40,1,0,8
22-03 22:08:41,2,0,0
22-03 22:08:42,2,0,0
22-03 22:08:43,2,0,0
22-03 22:08:44,1,0,8
22-03 22:08:45,2,0,8
22-03 22:08:46,0,0,0
22-03 22:08:47,1,1,0
22-03 22:08:48,3,0,0
22-03 22:08:49,0,0,8
22-03 22:08:50,0,0,8
22-03 22:08:51,1,0,1
22-03 22:08:52,0,0,0
22-03 22:08:53,3,0,0
22-03 22:08:54,2,0,8
22-03 22:08:55,3,0,8
22-03 22:08:56,1,0,0
22-03 22:08:57,0,0,2
22-03 22:08:58,1,0,0
22-03 22:08:59,1,0,8
22-03 22:09:00,3,0,8
22-03 22:09:01,0,1,0
22-03 22:09:02,2,0,8
22-03 22:09:03,1,0,1
22-03 22:09:04,2,0,8
22-03 22:09:05,1,0,8
22-03 22:09:06,1,1,0
22-03 22:09:07,0,0,0
22-03 22:09:08,0,0,0
22-03 22:09:09,0,0,8
22-03 22:09:10,1,0,8
22-03 22:09:11,1,0,0
22-03 22:09:12,0,0,0
22-03 22:09:13,0,0,0
22-03 22:09:14,1,0,8
22-03 22:09:15,0,1,8
22-03 22:09:16,2,0,1
22-03 22:09:17,0,1,0
22-03 22:09:18,0,0,0
22-03 22:09:19,3,0,8
22-03 22:09:20,3,0,4
22-03 22:09:21,2,0,4
22-03 22:09:22,0,1,0
22-03 22:09:23,1,0,0
22-03 22:09:24,1,0,8
22-03 22:09:25,1,0,0
22-03 22:09:26,0,1,8
22-03 22:09:27,3,0,0
22-03 22:09:28,1,0,1
22-03 22:09:29,1,1,8
22-03 22:09:30,1,0,0
22-03 22:09:31,2,0,8
22-03 22:09:32,2,0,0
22-03 22:09:33,1,0,0
22-03 22:09:34,2,0,8
22-03 22:09:35,2,0,0
22-03 22:09:36,1,0,8
22-03 22:09:37,2,0,0
22-03 22:09:38,1,0,0
22-03 22:09:39,2,0,8
22-03 22:09:40,1,0,1
22-03 22:09:41,3,0,8
22-03 22:09:42,2,0,0
22-03 22:09:43,2,0,0
22-03 22:09:44,1,0,8
22-03 22:09:45,2,0,0
22-03 22:09:46,1,0,8
22-03 22:09:47,2,0,0
22-03 22:09:48,2,0,0
22-03 22:09:49,3,0,8
22-03 22:09:50,1,0,0
22-03 22:09:51,1,0,8
22-03 22:09:52,0,0,1
22-03 22:09:53,1,0,0
22-03 22:09:54,2,0,8
22-03 22:09:55,1,0,0
22-03 22:09:56,1,0,8
22-03 22:09:57,1,0,0
22-03 22:09:58,2,0,0
22-03 22:09:59,3,0,8
22-03 22:10:00,0,0,0
22-03 22:10:01,1,0,8
22-03 22:10:02,1,0,8
22-03 22:10:03,1,0,0
22-03 22:10:04,0,1,8
22-03 22:10:05,0,0,1
22-03 22:10:06,1,0,8
22-03 22:10:07,1,0,0
22-03 22:10:08,2,0,0
22-03 22:10:09,1,1,8
22-03 22:10:10,1,1,0
22-03 22:10:11,3,0,8
22-03 22:10:12,1,0,0
22-03 22:10:13,1,0,0
22-03 22:10:14,0,1,0
22-03 22:10:15,2,0,8
22-03 22:10:16,1,0,8
22-03 22:10:17,3,0,1
22-03 22:10:18,0,0,0
22-03 22:10:19,2,0,0
22-03 22:10:20,0,0,8
22-03 22:10:21,2,0,8
22-03 22:10:22,1,0,0
22-03 22:10:23,2,0,0
22-03 22:10:24,1,0,0
22-03 22:10:25,1,0,8
22-03 22:10:26,1,0,8
22-03 22:10:27,4,0,0
22-03 22:10:28,1,0,0
22-03 22:10:29,2,0,1
22-03 22:10:30,3,0,8
22-03 22:10:31,2,0,8
22-03 22:10:32,3,0,0
22-03 22:10:33,1,0,0
22-03 22:10:34,2,0,0
22-03 22:10:35,3,0,8
22-03 22:10:36,0,0,8
22-03 22:10:37,1,0,0
22-03 22:10:38,2,0,0
22-03 22:10:39,1,0,0
22-03 22:10:40,1,0,8
22-03 22:10:41,1,0,9
22-03 22:10:42,0,0,0
22-03 22:10:43,3,0,0
22-03 22:10:44,3,0,0
22-03 22:10:45,2,0,8
22-03 22:10:46,0,0,8
22-03 22:10:47,0,0,0
22-03 22:10:48,1,0,0
22-03 22:10:49,1,0,0
22-03 22:10:50,2,0,8
22-03 22:10:51,0,1,8
22-03 22:10:52,0,1,0
22-03 22:10:53,2,0,0
22-03 22:10:54,2,0,1
22-03 22:10:55,3,0,8
22-03 22:10:56,2,1,37
22-03 22:10:57,0,1,3
22-03 22:10:58,1,0,0
22-03 22:10:59,1,0,0
22-03 22:11:00,1,0,8
22-03 22:11:01,2,0,1
22-03 22:11:02,1,0,15
22-03 22:11:03,2,0,0
22-03 22:11:04,2,0,0
22-03 22:11:05,1,0,8
22-03 22:11:06,1,0,1
22-03 22:11:07,2,0,8
22-03 22:11:08,2,0,0
22-03 22:11:09,1,0,0
22-03 22:11:10,0,0,8
22-03 22:11:11,0,0,0
22-03 22:11:12,1,0,8
22-03 22:11:13,2,0,0
22-03 22:11:14,1,0,0
22-03 22:11:15,1,0,8
22-03 22:11:16,0,1,0
22-03 22:11:17,2,0,8
22-03 22:11:18,1,0,1
22-03 22:11:19,0,0,0
22-03 22:11:20,2,0,8
22-03 22:11:21,0,0,0
22-03 22:11:22,2,0,8
22-03 22:11:23,2,0,0
22-03 22:11:24,2,0,0
22-03 22:11:25,2,0,8
22-03 22:11:26,2,0,0
22-03 22:11:27,2,0,8
22-03 22:11:28,3,0,0
22-03 22:11:29,1,0,0
22-03 22:11:30,0,0,10
22-03 22:11:31,3,0,0
22-03 22:11:32,0,1,8
22-03 22:11:33,0,1,0
22-03 22:11:34,3,0,0
22-03 22:11:35,1,0,8
22-03 22:11:36,3,0,0
22-03 22:11:37,1,0,8
22-03 22:11:38,2,0,0
22-03 22:11:39,1,0,0
22-03 22:11:40,1,0,8
22-03 22:11:41,1,0,0
22-03 22:11:42,1,0,8
22-03 22:11:43,2,0,1
22-03 22:11:44,3,0,0
22-03 22:11:45,0,1,8
22-03 22:11:46,1,0,0
22-03 22:11:47,2,1,8
22-03 22:11:48,0,1,0
22-03 22:11:49,2,0,0
22-03 22:11:50,4,0,3
22-03 22:11:51,3,0,5
22-03 22:11:52,1,0,8
22-03 22:11:53,0,1,0
22-03 22:11:54,1,0,0
22-03 22:11:55,0,0,1
22-03 22:11:56,1,0,8
22-03 22:11:57,0,0,8
22-03 22:11:58,2,0,0
22-03 22:11:59,1,1,0
22-03 22:12:00,2,0,0
22-03 22:12:01,0,0,8
22-03 22:12:02,0,0,16
22-03 22:12:03,0,1,0
22-03 22:12:04,1,0,0
22-03 22:12:05,1,0,0
22-03 22:12:06,2,0,8
22-03 22:12:07,2,0,9
22-03 22:12:08,2,0,0
22-03 22:12:09,2,0,0
22-03 22:12:10,3,0,0
22-03 22:12:11,2,0,8
22-03 22:12:12,1,0,8
22-03 22:12:13,2,0,0
22-03 22:12:14,2,0,0
22-03 22:12:15,2,0,0
22-03 22:12:16,2,0,8
22-03 22:12:17,1,1,8
22-03 22:12:18,1,0,0
22-03 22:12:19,1,0,1
22-03 22:12:20,0,1,0
22-03 22:12:21,0,1,8
22-03 22:12:22,2,0,8
22-03 22:12:23,3,0,0
22-03 22:12:24,2,0,0
22-03 22:12:25,0,1,0
22-03 22:12:26,0,1,8
22-03 22:12:27,1,0,9
22-03 22:12:28,0,0,0
22-03 22:12:29,1,0,0
22-03 22:12:30,0,0,0
22-03 22:12:31,0,0,8
22-03 22:12:32,0,1,9
22-03 22:12:33,1,0,0
22-03 22:12:34,0,0,0
22-03 22:12:35,2,0,0
22-03 22:12:36,2,0,8
22-03 22:12:37,3,0,4
22-03 22:12:38,1,0,4
22-03 22:12:39,0,0,0
22-03 22:12:40,2,0,0
22-03 22:12:41,1,0,8
22-03 22:12:42,2,0,0
22-03 22:12:43,4,0,8
22-03 22:12:44,5,0,1
22-03 22:12:45,1,0,0
22-03 22:12:46,3,0,8
22-03 22:12:47,1,0,0
22-03 22:12:48,2,0,8
22-03 22:12:49,2,0,0
22-03 22:12:50,4,0,0
22-03 22:12:51,2,0,8
22-03 22:12:52,0,0,0
22-03 22:12:53,1,0,8
22-03 22:12:54,0,0,0
22-03 22:12:55,3,0,0
22-03 22:12:56,1,0,9
22-03 22:12:57,1,0,0
22-03 22:12:58,2,0,8
22-03 22:12:59,2,0,0
22-03 22:13:00,1,0,0
22-03 22:13:01,1,0,8
22-03 22:13:02,4,1,8
22-03 22:13:03,0,1,8
22-03 22:13:04,2,0,0
22-03 22:13:05,1,0,0
22-03 22:13:06,2,0,8
22-03 22:13:07,0,0,0
22-03 22:13:08,2,0,9
