"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dstat/load.csv --time --load 1 600",,,,"Date:","22 Mar 2023 22:03:08 -03"
"system","load avg",,
22-03 22:04:44,12.750,10.330,4.880
22-03 22:04:45,11.730,10.160,4.860
22-03 22:04:46,11.730,10.160,4.860
22-03 22:04:47,11.730,10.160,4.860
22-03 22:04:48,11.730,10.160,4.860
22-03 22:04:49,11.730,10.160,4.860
22-03 22:04:50,10.790,9.990,4.830
22-03 22:04:51,10.790,9.990,4.830
22-03 22:04:52,10.790,9.990,4.830
22-03 22:04:53,10.790,9.990,4.830
22-03 22:04:54,10.790,9.990,4.830
22-03 22:04:55,9.920,9.820,4.800
22-03 22:04:56,9.920,9.820,4.800
22-03 22:04:57,9.920,9.820,4.800
22-03 22:04:58,9.920,9.820,4.800
22-03 22:04:59,9.920,9.820,4.800
22-03 22:05:00,9.130,9.660,4.780
22-03 22:05:01,9.130,9.660,4.780
22-03 22:05:02,9.130,9.660,4.780
22-03 22:05:03,9.130,9.660,4.780
22-03 22:05:04,9.130,9.660,4.780
22-03 22:05:05,8.400,9.500,4.750
22-03 22:05:06,8.400,9.500,4.750
22-03 22:05:07,8.400,9.500,4.750
22-03 22:05:08,8.400,9.500,4.750
22-03 22:05:09,8.400,9.500,4.750
22-03 22:05:10,7.720,9.340,4.730
22-03 22:05:11,7.720,9.340,4.730
22-03 22:05:12,7.720,9.340,4.730
22-03 22:05:13,7.720,9.340,4.730
22-03 22:05:14,7.720,9.340,4.730
22-03 22:05:15,7.100,9.190,4.700
22-03 22:05:16,7.100,9.190,4.700
22-03 22:05:17,7.100,9.190,4.700
22-03 22:05:18,7.100,9.190,4.700
22-03 22:05:19,7.100,9.190,4.700
22-03 22:05:20,6.540,9.030,4.680
22-03 22:05:21,6.540,9.030,4.680
22-03 22:05:22,6.540,9.030,4.680
22-03 22:05:23,6.540,9.030,4.680
22-03 22:05:24,6.540,9.030,4.680
22-03 22:05:25,6.010,8.880,4.650
22-03 22:05:26,6.010,8.880,4.650
22-03 22:05:27,6.010,8.880,4.650
22-03 22:05:28,6.010,8.880,4.650
22-03 22:05:29,6.010,8.880,4.650
22-03 22:05:30,5.610,8.750,4.630
22-03 22:05:31,5.610,8.750,4.630
22-03 22:05:32,5.610,8.750,4.630
22-03 22:05:33,5.610,8.750,4.630
22-03 22:05:34,5.610,8.750,4.630
22-03 22:05:35,5.160,8.610,4.610
22-03 22:05:36,5.160,8.610,4.610
22-03 22:05:37,5.160,8.610,4.610
22-03 22:05:38,5.160,8.610,4.610
22-03 22:05:39,5.160,8.610,4.610
22-03 22:05:40,4.750,8.460,4.580
22-03 22:05:41,4.750,8.460,4.580
22-03 22:05:42,4.750,8.460,4.580
22-03 22:05:43,4.750,8.460,4.580
22-03 22:05:44,4.750,8.460,4.580
22-03 22:05:45,4.370,8.320,4.560
22-03 22:05:46,4.370,8.320,4.560
22-03 22:05:47,4.370,8.320,4.560
22-03 22:05:48,4.370,8.320,4.560
22-03 22:05:49,4.370,8.320,4.560
22-03 22:05:50,4.020,8.180,4.530
22-03 22:05:51,4.020,8.180,4.530
22-03 22:05:52,4.020,8.180,4.530
22-03 22:05:53,4.020,8.180,4.530
22-03 22:05:54,4.020,8.180,4.530
22-03 22:05:55,3.850,8.080,4.520
22-03 22:05:56,3.850,8.080,4.520
22-03 22:05:57,3.850,8.080,4.520
22-03 22:05:58,3.850,8.080,4.520
22-03 22:05:59,3.850,8.080,4.520
22-03 22:06:00,3.550,7.950,4.490
22-03 22:06:01,3.550,7.950,4.490
22-03 22:06:02,3.550,7.950,4.490
22-03 22:06:03,3.550,7.950,4.490
22-03 22:06:04,3.550,7.950,4.490
22-03 22:06:05,3.260,7.810,4.470
22-03 22:06:06,3.260,7.810,4.470
22-03 22:06:07,3.260,7.810,4.470
22-03 22:06:08,3.260,7.810,4.470
22-03 22:06:09,3.260,7.810,4.470
22-03 22:06:10,3,7.680,4.440
22-03 22:06:11,3,7.680,4.440
22-03 22:06:12,3,7.680,4.440
22-03 22:06:13,3,7.680,4.440
22-03 22:06:14,3,7.680,4.440
22-03 22:06:15,2.760,7.560,4.420
22-03 22:06:16,2.760,7.560,4.420
22-03 22:06:17,2.760,7.560,4.420
22-03 22:06:18,2.760,7.560,4.420
22-03 22:06:19,2.760,7.560,4.420
22-03 22:06:20,2.540,7.430,4.400
22-03 22:06:21,2.540,7.430,4.400
22-03 22:06:22,2.540,7.430,4.400
22-03 22:06:23,2.540,7.430,4.400
22-03 22:06:24,2.540,7.430,4.400
22-03 22:06:25,2.330,7.310,4.370
22-03 22:06:26,2.330,7.310,4.370
22-03 22:06:27,2.330,7.310,4.370
22-03 22:06:28,2.330,7.310,4.370
22-03 22:06:29,2.330,7.310,4.370
22-03 22:06:30,2.230,7.200,4.350
22-03 22:06:31,2.230,7.200,4.350
22-03 22:06:32,2.230,7.200,4.350
22-03 22:06:33,2.230,7.200,4.350
22-03 22:06:34,2.230,7.200,4.350
22-03 22:06:35,2.050,7.080,4.330
22-03 22:06:36,2.050,7.080,4.330
22-03 22:06:37,2.050,7.080,4.330
22-03 22:06:38,2.050,7.080,4.330
22-03 22:06:39,2.050,7.080,4.330
22-03 22:06:40,1.880,6.970,4.310
22-03 22:06:41,1.880,6.970,4.310
22-03 22:06:42,1.880,6.970,4.310
22-03 22:06:43,1.880,6.970,4.310
22-03 22:06:44,1.880,6.970,4.310
22-03 22:06:45,1.730,6.850,4.280
22-03 22:06:46,1.730,6.850,4.280
22-03 22:06:47,1.730,6.850,4.280
22-03 22:06:48,1.730,6.850,4.280
22-03 22:06:49,1.730,6.850,4.280
22-03 22:06:50,1.590,6.740,4.260
22-03 22:06:51,1.590,6.740,4.260
22-03 22:06:52,1.590,6.740,4.260
22-03 22:06:53,1.590,6.740,4.260
22-03 22:06:54,1.590,6.740,4.260
22-03 22:06:55,1.470,6.620,4.240
22-03 22:06:56,1.470,6.620,4.240
22-03 22:06:57,1.470,6.620,4.240
22-03 22:06:58,1.470,6.620,4.240
22-03 22:06:59,1.470,6.620,4.240
22-03 22:07:00,1.350,6.510,4.210
22-03 22:07:01,1.350,6.510,4.210
22-03 22:07:02,1.350,6.510,4.210
22-03 22:07:03,1.350,6.510,4.210
22-03 22:07:04,1.350,6.510,4.210
22-03 22:07:05,1.240,6.410,4.190
22-03 22:07:06,1.240,6.410,4.190
22-03 22:07:07,1.240,6.410,4.190
22-03 22:07:08,1.240,6.410,4.190
22-03 22:07:09,1.240,6.410,4.190
22-03 22:07:10,1.140,6.300,4.170
22-03 22:07:11,1.140,6.300,4.170
22-03 22:07:12,1.140,6.300,4.170
22-03 22:07:13,1.140,6.300,4.170
22-03 22:07:14,1.140,6.300,4.170
22-03 22:07:15,1.050,6.190,4.150
22-03 22:07:16,1.050,6.190,4.150
22-03 22:07:17,1.050,6.190,4.150
22-03 22:07:18,1.050,6.190,4.150
22-03 22:07:19,1.050,6.190,4.150
22-03 22:07:20,0.960,6.090,4.120
22-03 22:07:21,0.960,6.090,4.120
22-03 22:07:22,0.960,6.090,4.120
22-03 22:07:23,0.960,6.090,4.120
22-03 22:07:24,0.960,6.090,4.120
22-03 22:07:25,0.890,5.990,4.100
22-03 22:07:26,0.890,5.990,4.100
22-03 22:07:27,0.890,5.990,4.100
22-03 22:07:28,0.890,5.990,4.100
22-03 22:07:29,0.890,5.990,4.100
22-03 22:07:30,0.820,5.890,4.080
22-03 22:07:31,0.820,5.890,4.080
22-03 22:07:32,0.820,5.890,4.080
22-03 22:07:33,0.820,5.890,4.080
22-03 22:07:34,0.820,5.890,4.080
22-03 22:07:35,0.750,5.790,4.060
22-03 22:07:36,0.750,5.790,4.060
22-03 22:07:37,0.750,5.790,4.060
22-03 22:07:38,0.750,5.790,4.060
22-03 22:07:39,0.750,5.790,4.060
22-03 22:07:40,0.690,5.700,4.030
22-03 22:07:41,0.690,5.700,4.030
22-03 22:07:42,0.690,5.700,4.030
22-03 22:07:43,0.690,5.700,4.030
22-03 22:07:44,0.690,5.700,4.030
22-03 22:07:45,0.630,5.600,4.010
22-03 22:07:46,0.630,5.600,4.010
22-03 22:07:47,0.630,5.600,4.010
22-03 22:07:48,0.630,5.600,4.010
22-03 22:07:49,0.630,5.600,4.010
22-03 22:07:50,0.580,5.510,3.990
22-03 22:07:51,0.580,5.510,3.990
22-03 22:07:52,0.580,5.510,3.990
22-03 22:07:53,0.580,5.510,3.990
22-03 22:07:54,0.580,5.510,3.990
22-03 22:07:55,0.540,5.420,3.970
22-03 22:07:56,0.540,5.420,3.970
22-03 22:07:57,0.540,5.420,3.970
22-03 22:07:58,0.540,5.420,3.970
22-03 22:07:59,0.540,5.420,3.970
22-03 22:08:00,0.490,5.330,3.950
22-03 22:08:01,0.490,5.330,3.950
22-03 22:08:02,0.490,5.330,3.950
22-03 22:08:03,0.490,5.330,3.950
22-03 22:08:04,0.490,5.330,3.950
22-03 22:08:05,0.450,5.240,3.930
22-03 22:08:06,0.450,5.240,3.930
22-03 22:08:07,0.450,5.240,3.930
22-03 22:08:08,0.450,5.240,3.930
22-03 22:08:09,0.450,5.240,3.930
22-03 22:08:10,0.500,5.170,3.910
22-03 22:08:11,0.500,5.170,3.910
22-03 22:08:12,0.500,5.170,3.910
22-03 22:08:13,0.500,5.170,3.910
22-03 22:08:14,0.500,5.170,3.910
22-03 22:08:15,0.460,5.080,3.890
22-03 22:08:16,0.460,5.080,3.890
22-03 22:08:17,0.460,5.080,3.890
22-03 22:08:18,0.460,5.080,3.890
22-03 22:08:19,0.460,5.080,3.890
22-03 22:08:20,0.420,5,3.870
22-03 22:08:21,0.420,5,3.870
22-03 22:08:22,0.420,5,3.870
22-03 22:08:23,0.420,5,3.870
22-03 22:08:24,0.420,5,3.870
22-03 22:08:25,0.390,4.910,3.850
22-03 22:08:26,0.390,4.910,3.850
22-03 22:08:27,0.390,4.910,3.850
22-03 22:08:28,0.390,4.910,3.850
22-03 22:08:29,0.390,4.910,3.850
22-03 22:08:30,0.360,4.830,3.830
22-03 22:08:31,0.360,4.830,3.830
22-03 22:08:32,0.360,4.830,3.830
22-03 22:08:33,0.360,4.830,3.830
22-03 22:08:34,0.360,4.830,3.830
22-03 22:08:35,0.330,4.750,3.800
22-03 22:08:36,0.330,4.750,3.800
22-03 22:08:37,0.330,4.750,3.800
22-03 22:08:38,0.330,4.750,3.800
22-03 22:08:39,0.330,4.750,3.800
22-03 22:08:40,0.300,4.670,3.780
22-03 22:08:41,0.300,4.670,3.780
22-03 22:08:42,0.300,4.670,3.780
22-03 22:08:43,0.300,4.670,3.780
22-03 22:08:44,0.300,4.670,3.780
22-03 22:08:45,0.280,4.590,3.760
22-03 22:08:46,0.280,4.590,3.760
22-03 22:08:47,0.280,4.590,3.760
22-03 22:08:48,0.280,4.590,3.760
22-03 22:08:49,0.280,4.590,3.760
22-03 22:08:50,0.250,4.520,3.740
22-03 22:08:51,0.250,4.520,3.740
22-03 22:08:52,0.250,4.520,3.740
22-03 22:08:53,0.250,4.520,3.740
22-03 22:08:54,0.250,4.520,3.740
22-03 22:08:55,0.230,4.440,3.720
22-03 22:08:56,0.230,4.440,3.720
22-03 22:08:57,0.230,4.440,3.720
22-03 22:08:58,0.230,4.440,3.720
22-03 22:08:59,0.230,4.440,3.720
22-03 22:09:00,0.210,4.370,3.700
22-03 22:09:01,0.210,4.370,3.700
22-03 22:09:02,0.210,4.370,3.700
22-03 22:09:03,0.210,4.370,3.700
22-03 22:09:04,0.210,4.370,3.700
22-03 22:09:05,0.200,4.290,3.680
22-03 22:09:06,0.200,4.290,3.680
22-03 22:09:07,0.200,4.290,3.680
22-03 22:09:08,0.200,4.290,3.680
22-03 22:09:09,0.200,4.290,3.680
22-03 22:09:10,0.180,4.220,3.660
22-03 22:09:11,0.180,4.220,3.660
22-03 22:09:12,0.180,4.220,3.660
22-03 22:09:13,0.180,4.220,3.660
22-03 22:09:14,0.180,4.220,3.660
22-03 22:09:15,0.250,4.170,3.650
22-03 22:09:16,0.250,4.170,3.650
22-03 22:09:17,0.250,4.170,3.650
22-03 22:09:18,0.250,4.170,3.650
22-03 22:09:19,0.250,4.170,3.650
22-03 22:09:20,0.230,4.100,3.630
22-03 22:09:21,0.230,4.100,3.630
22-03 22:09:22,0.230,4.100,3.630
22-03 22:09:23,0.230,4.100,3.630
22-03 22:09:24,0.230,4.100,3.630
22-03 22:09:25,0.210,4.030,3.610
22-03 22:09:26,0.210,4.030,3.610
22-03 22:09:27,0.210,4.030,3.610
22-03 22:09:28,0.210,4.030,3.610
22-03 22:09:29,0.210,4.030,3.610
22-03 22:09:30,0.190,3.960,3.590
22-03 22:09:31,0.190,3.960,3.590
22-03 22:09:32,0.190,3.960,3.590
22-03 22:09:33,0.190,3.960,3.590
22-03 22:09:34,0.190,3.960,3.590
22-03 22:09:35,0.170,3.900,3.570
22-03 22:09:36,0.170,3.900,3.570
22-03 22:09:37,0.170,3.900,3.570
22-03 22:09:38,0.170,3.900,3.570
22-03 22:09:39,0.170,3.900,3.570
22-03 22:09:40,0.160,3.830,3.550
22-03 22:09:41,0.160,3.830,3.550
22-03 22:09:42,0.160,3.830,3.550
22-03 22:09:43,0.160,3.830,3.550
22-03 22:09:44,0.160,3.830,3.550
22-03 22:09:45,0.150,3.770,3.530
22-03 22:09:46,0.150,3.770,3.530
22-03 22:09:47,0.150,3.770,3.530
22-03 22:09:48,0.150,3.770,3.530
22-03 22:09:49,0.150,3.770,3.530
22-03 22:09:50,0.140,3.710,3.510
22-03 22:09:51,0.140,3.710,3.510
22-03 22:09:52,0.140,3.710,3.510
22-03 22:09:53,0.140,3.710,3.510
22-03 22:09:54,0.140,3.710,3.510
22-03 22:09:55,0.120,3.640,3.490
22-03 22:09:56,0.120,3.640,3.490
22-03 22:09:57,0.120,3.640,3.490
22-03 22:09:58,0.120,3.640,3.490
22-03 22:09:59,0.120,3.640,3.490
22-03 22:10:00,0.110,3.580,3.470
22-03 22:10:01,0.110,3.580,3.470
22-03 22:10:02,0.110,3.580,3.470
22-03 22:10:03,0.110,3.580,3.470
22-03 22:10:04,0.110,3.580,3.470
22-03 22:10:05,0.100,3.520,3.450
22-03 22:10:06,0.100,3.520,3.450
22-03 22:10:07,0.100,3.520,3.450
22-03 22:10:08,0.100,3.520,3.450
22-03 22:10:09,0.100,3.520,3.450
22-03 22:10:10,0.100,3.470,3.430
22-03 22:10:11,0.100,3.470,3.430
22-03 22:10:12,0.100,3.470,3.430
22-03 22:10:13,0.100,3.470,3.430
22-03 22:10:14,0.100,3.470,3.430
22-03 22:10:15,0.090,3.410,3.420
22-03 22:10:16,0.090,3.410,3.420
22-03 22:10:17,0.090,3.410,3.420
22-03 22:10:18,0.090,3.410,3.420
22-03 22:10:19,0.090,3.410,3.420
22-03 22:10:20,0.080,3.350,3.400
22-03 22:10:21,0.080,3.350,3.400
22-03 22:10:22,0.080,3.350,3.400
22-03 22:10:23,0.080,3.350,3.400
22-03 22:10:24,0.080,3.350,3.400
22-03 22:10:25,0.070,3.300,3.380
22-03 22:10:26,0.070,3.300,3.380
22-03 22:10:27,0.070,3.300,3.380
22-03 22:10:28,0.070,3.300,3.380
22-03 22:10:29,0.070,3.300,3.380
22-03 22:10:30,0.070,3.240,3.360
22-03 22:10:31,0.070,3.240,3.360
22-03 22:10:32,0.070,3.240,3.360
22-03 22:10:33,0.070,3.240,3.360
22-03 22:10:34,0.070,3.240,3.360
22-03 22:10:35,0.060,3.190,3.340
22-03 22:10:36,0.060,3.190,3.340
22-03 22:10:37,0.060,3.190,3.340
22-03 22:10:38,0.060,3.190,3.340
22-03 22:10:39,0.060,3.190,3.340
22-03 22:10:40,0.140,3.150,3.330
22-03 22:10:41,0.140,3.150,3.330
22-03 22:10:42,0.140,3.150,3.330
22-03 22:10:43,0.140,3.150,3.330
22-03 22:10:44,0.140,3.150,3.330
22-03 22:10:45,0.140,3.150,3.330
22-03 22:10:46,0.130,3.100,3.310
22-03 22:10:47,0.130,3.100,3.310
22-03 22:10:48,0.130,3.100,3.310
22-03 22:10:49,0.130,3.100,3.310
22-03 22:10:50,0.130,3.100,3.310
22-03 22:10:51,0.200,3.060,3.300
22-03 22:10:52,0.200,3.060,3.300
22-03 22:10:53,0.200,3.060,3.300
22-03 22:10:54,0.200,3.060,3.300
22-03 22:10:55,0.200,3.060,3.300
22-03 22:10:56,0.340,3.040,3.290
22-03 22:10:57,0.340,3.040,3.290
22-03 22:10:58,0.340,3.040,3.290
22-03 22:10:59,0.340,3.040,3.290
22-03 22:11:00,0.340,3.040,3.290
22-03 22:11:01,0.390,3.010,3.280
22-03 22:11:02,0.390,3.010,3.280
22-03 22:11:03,0.390,3.010,3.280
22-03 22:11:04,0.390,3.010,3.280
22-03 22:11:05,0.390,3.010,3.280
22-03 22:11:06,0.440,2.980,3.270
22-03 22:11:07,0.440,2.980,3.270
22-03 22:11:08,0.440,2.980,3.270
22-03 22:11:09,0.440,2.980,3.270
22-03 22:11:10,0.440,2.980,3.270
22-03 22:11:11,0.490,2.940,3.250
22-03 22:11:12,0.490,2.940,3.250
22-03 22:11:13,0.490,2.940,3.250
22-03 22:11:14,0.490,2.940,3.250
22-03 22:11:15,0.490,2.940,3.250
22-03 22:11:16,0.530,2.910,3.240
22-03 22:11:17,0.530,2.910,3.240
22-03 22:11:18,0.530,2.910,3.240
22-03 22:11:19,0.530,2.910,3.240
22-03 22:11:20,0.530,2.910,3.240
22-03 22:11:21,0.490,2.860,3.220
22-03 22:11:22,0.490,2.860,3.220
22-03 22:11:23,0.490,2.860,3.220
22-03 22:11:24,0.490,2.860,3.220
22-03 22:11:25,0.490,2.860,3.220
22-03 22:11:26,0.610,2.850,3.220
22-03 22:11:27,0.610,2.850,3.220
22-03 22:11:28,0.610,2.850,3.220
22-03 22:11:29,0.610,2.850,3.220
22-03 22:11:30,0.610,2.850,3.220
22-03 22:11:31,0.560,2.800,3.200
22-03 22:11:32,0.560,2.800,3.200
22-03 22:11:33,0.560,2.800,3.200
22-03 22:11:34,0.560,2.800,3.200
22-03 22:11:35,0.560,2.800,3.200
22-03 22:11:36,0.510,2.750,3.180
22-03 22:11:37,0.510,2.750,3.180
22-03 22:11:38,0.510,2.750,3.180
22-03 22:11:39,0.510,2.750,3.180
22-03 22:11:40,0.510,2.750,3.180
22-03 22:11:41,0.470,2.710,3.160
22-03 22:11:42,0.470,2.710,3.160
22-03 22:11:43,0.470,2.710,3.160
22-03 22:11:44,0.470,2.710,3.160
22-03 22:11:45,0.470,2.710,3.160
22-03 22:11:46,0.520,2.680,3.150
22-03 22:11:47,0.520,2.680,3.150
22-03 22:11:48,0.520,2.680,3.150
22-03 22:11:49,0.520,2.680,3.150
22-03 22:11:50,0.520,2.680,3.150
22-03 22:11:51,0.470,2.630,3.140
22-03 22:11:52,0.470,2.630,3.140
22-03 22:11:53,0.470,2.630,3.140
22-03 22:11:54,0.470,2.630,3.140
22-03 22:11:55,0.470,2.630,3.140
22-03 22:11:56,0.440,2.590,3.120
22-03 22:11:57,0.440,2.590,3.120
22-03 22:11:58,0.440,2.590,3.120
22-03 22:11:59,0.440,2.590,3.120
22-03 22:12:00,0.440,2.590,3.120
22-03 22:12:01,0.400,2.550,3.100
22-03 22:12:02,0.400,2.550,3.100
22-03 22:12:03,0.400,2.550,3.100
22-03 22:12:04,0.400,2.550,3.100
22-03 22:12:05,0.400,2.550,3.100
22-03 22:12:06,0.370,2.500,3.080
22-03 22:12:07,0.370,2.500,3.080
22-03 22:12:08,0.370,2.500,3.080
22-03 22:12:09,0.370,2.500,3.080
22-03 22:12:10,0.370,2.500,3.080
22-03 22:12:11,0.340,2.460,3.070
22-03 22:12:12,0.340,2.460,3.070
22-03 22:12:13,0.340,2.460,3.070
22-03 22:12:14,0.340,2.460,3.070
22-03 22:12:15,0.340,2.460,3.070
22-03 22:12:16,0.310,2.420,3.050
22-03 22:12:17,0.310,2.420,3.050
22-03 22:12:18,0.310,2.420,3.050
22-03 22:12:19,0.310,2.420,3.050
22-03 22:12:20,0.310,2.420,3.050
22-03 22:12:21,0.290,2.380,3.040
22-03 22:12:22,0.290,2.380,3.040
22-03 22:12:23,0.290,2.380,3.040
22-03 22:12:24,0.290,2.380,3.040
22-03 22:12:25,0.290,2.380,3.040
22-03 22:12:26,0.340,2.360,3.020
22-03 22:12:27,0.340,2.360,3.020
22-03 22:12:28,0.340,2.360,3.020
22-03 22:12:29,0.340,2.360,3.020
22-03 22:12:30,0.340,2.360,3.020
22-03 22:12:31,0.320,2.320,3.010
22-03 22:12:32,0.320,2.320,3.010
22-03 22:12:33,0.320,2.320,3.010
22-03 22:12:34,0.320,2.320,3.010
22-03 22:12:35,0.320,2.320,3.010
22-03 22:12:36,0.450,2.310,3
22-03 22:12:37,0.450,2.310,3
22-03 22:12:38,0.450,2.310,3
22-03 22:12:39,0.450,2.310,3
22-03 22:12:40,0.450,2.310,3
22-03 22:12:41,0.500,2.290,2.990
22-03 22:12:42,0.500,2.290,2.990
22-03 22:12:43,0.500,2.290,2.990
22-03 22:12:44,0.500,2.290,2.990
22-03 22:12:45,0.500,2.290,2.990
22-03 22:12:46,0.540,2.270,2.980
22-03 22:12:47,0.540,2.270,2.980
22-03 22:12:48,0.540,2.270,2.980
22-03 22:12:49,0.540,2.270,2.980
22-03 22:12:50,0.540,2.270,2.980
22-03 22:12:51,0.650,2.260,2.970
22-03 22:12:52,0.650,2.260,2.970
22-03 22:12:53,0.650,2.260,2.970
22-03 22:12:54,0.650,2.260,2.970
22-03 22:12:55,0.650,2.260,2.970
22-03 22:12:56,0.600,2.230,2.960
22-03 22:12:57,0.600,2.230,2.960
22-03 22:12:58,0.600,2.230,2.960
22-03 22:12:59,0.600,2.230,2.960
22-03 22:13:00,0.600,2.230,2.960
22-03 22:13:01,0.550,2.190,2.940
22-03 22:13:02,0.550,2.190,2.940
22-03 22:13:03,0.550,2.190,2.940
22-03 22:13:04,0.550,2.190,2.940
22-03 22:13:05,0.550,2.190,2.940
22-03 22:13:06,0.510,2.150,2.930
22-03 22:13:07,0.510,2.150,2.930
