"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dstat/sys.csv --time --sys 1 600",,,,"Date:","23 Mar 2023 13:54:36 -03"
"system","system",
23-03 13:57:53,2597,6294
23-03 13:57:54,2681,6244
23-03 13:57:55,2562,5894
23-03 13:57:56,2574,5932
23-03 13:57:57,2786,7165
23-03 13:57:58,2757,10345
23-03 13:57:59,4166,11096
23-03 13:58:00,3359,17241
23-03 13:58:01,3002,10175
23-03 13:58:02,3059,11928
23-03 13:58:03,3328,14629
23-03 13:58:04,3140,8994
23-03 13:58:05,2547,5818
23-03 13:58:06,4238,35604
23-03 13:58:07,2884,7303
23-03 13:58:08,2625,6995
23-03 13:58:09,2763,6589
23-03 13:58:10,2682,6363
23-03 13:58:11,2605,6155
23-03 13:58:12,2713,7158
23-03 13:58:13,2755,7123
23-03 13:58:14,2597,5927
23-03 13:58:15,2792,7096
23-03 13:58:16,2589,5901
23-03 13:58:17,2651,7384
23-03 13:58:18,2741,7063
23-03 13:58:19,2675,5988
23-03 13:58:20,2832,6517
23-03 13:58:21,2555,5958
23-03 13:58:22,2667,7891
23-03 13:58:23,2702,7159
23-03 13:58:24,2602,6169
23-03 13:58:25,2728,6907
23-03 13:58:26,2602,5921
23-03 13:58:27,2577,6969
23-03 13:58:28,2740,7009
23-03 13:58:29,2568,5813
23-03 13:58:30,2702,6132
23-03 13:58:31,2583,5714
23-03 13:58:32,2783,8568
23-03 13:58:33,2641,6878
23-03 13:58:34,2525,5878
23-03 13:58:35,2709,6164
23-03 13:58:36,2620,6648
23-03 13:58:37,2715,7089
23-03 13:58:38,2713,7436
23-03 13:58:39,2679,6786
23-03 13:58:40,4123,11684
23-03 13:58:41,2613,5690
23-03 13:58:42,2680,6951
23-03 13:58:43,3391,13644
23-03 13:58:44,3139,29677
23-03 13:58:45,2602,5844
23-03 13:58:46,2572,5610
23-03 13:58:47,2771,8475
23-03 13:58:48,2769,7603
23-03 13:58:49,2667,6281
23-03 13:58:50,2629,6408
23-03 13:58:51,2574,5745
23-03 13:58:52,2649,6661
23-03 13:58:53,2804,7269
23-03 13:58:54,2675,6396
23-03 13:58:55,2634,5937
23-03 13:58:56,2708,6184
23-03 13:58:57,2562,6462
23-03 13:58:58,2832,8420
23-03 13:58:59,2631,5831
23-03 13:59:00,2694,5896
23-03 13:59:01,2591,6034
23-03 13:59:02,2753,8486
23-03 13:59:03,2703,8186
23-03 13:59:04,2609,5897
23-03 13:59:05,2539,5774
23-03 13:59:06,2714,7303
23-03 13:59:07,2479,5744
23-03 13:59:08,2861,9049
23-03 13:59:09,2669,6416
23-03 13:59:10,2728,6012
23-03 13:59:11,2775,6564
23-03 13:59:12,2495,5793
23-03 13:59:13,2712,8033
23-03 13:59:14,2520,5933
23-03 13:59:15,2548,5759
23-03 13:59:16,3735,10605
23-03 13:59:17,2555,6404
23-03 13:59:18,2754,8314
23-03 13:59:19,2688,6802
23-03 13:59:20,2541,6028
23-03 13:59:21,3705,34823
23-03 13:59:22,2497,5632
23-03 13:59:23,2731,7921
23-03 13:59:24,2647,6519
23-03 13:59:25,2648,5835
23-03 13:59:26,3014,6108
23-03 13:59:27,2618,5917
23-03 13:59:28,2603,7012
23-03 13:59:29,2755,7798
23-03 13:59:30,2587,5916
23-03 13:59:31,2627,6131
23-03 13:59:32,2508,6154
23-03 13:59:33,2677,7356
23-03 13:59:34,2756,7017
23-03 13:59:35,2593,5851
23-03 13:59:36,2690,6190
23-03 13:59:37,2695,5903
23-03 13:59:38,2698,7203
23-03 13:59:39,2654,7502
23-03 13:59:40,2781,7647
23-03 13:59:41,2684,5844
23-03 13:59:42,2766,6336
23-03 13:59:43,2756,7857
23-03 13:59:44,2761,7236
23-03 13:59:45,2521,5868
23-03 13:59:46,2532,5673
23-03 13:59:47,2880,6850
23-03 13:59:48,2638,6830
23-03 13:59:49,2681,7189
23-03 13:59:50,2574,6001
23-03 13:59:51,2653,6737
23-03 13:59:52,3983,10719
23-03 13:59:53,2664,6993
23-03 13:59:54,2710,7273
23-03 13:59:55,2593,6134
23-03 13:59:56,2621,5941
23-03 13:59:57,2515,6211
23-03 13:59:58,2728,6935
23-03 13:59:59,3727,37393
23-03 14:00:00,2613,5839
23-03 14:00:01,2729,7633
23-03 14:00:02,3470,17704
23-03 14:00:03,2577,6974
23-03 14:00:04,2594,7022
23-03 14:00:05,2448,5800
23-03 14:00:06,2723,5844
23-03 14:00:07,2957,6430
23-03 14:00:08,2711,7730
23-03 14:00:09,2723,7411
23-03 14:00:10,2795,6429
23-03 14:00:11,3460,7844
23-03 14:00:12,3602,8678
23-03 14:00:13,3498,9077
23-03 14:00:14,3586,8743
23-03 14:00:15,6187,8069
23-03 14:00:16,3915,7626
23-03 14:00:17,3552,8236
23-03 14:00:18,3427,8672
23-03 14:00:19,3659,8841
23-03 14:00:20,3485,7761
23-03 14:00:21,3473,7690
23-03 14:00:22,3585,7684
23-03 14:00:23,3699,9314
23-03 14:00:24,3702,9963
23-03 14:00:25,3626,8354
23-03 14:00:26,3410,7670
23-03 14:00:27,3456,7898
23-03 14:00:28,3578,7992
23-03 14:00:29,4191,12520
23-03 14:00:30,3859,8125
23-03 14:00:31,3055,6008
23-03 14:00:32,2639,6164
23-03 14:00:33,4016,11866
23-03 14:00:34,2719,8349
23-03 14:00:35,2507,5812
23-03 14:00:36,2473,5713
23-03 14:00:37,3795,35403
23-03 14:00:38,2628,6181
23-03 14:00:39,2953,8546
23-03 14:00:40,2679,6438
23-03 14:00:41,2529,5944
23-03 14:00:42,2507,5815
23-03 14:00:43,2752,7750
23-03 14:00:44,2864,9277
23-03 14:00:45,2601,5751
23-03 14:00:46,2531,5703
23-03 14:00:47,2689,6992
23-03 14:00:48,2648,6146
23-03 14:00:49,3395,10845
23-03 14:00:50,2586,6368
23-03 14:00:51,2561,5962
23-03 14:00:52,2465,5837
23-03 14:00:53,2573,5837
23-03 14:00:54,2714,8204
23-03 14:00:55,2680,7333
23-03 14:00:56,4019,17421
23-03 14:00:57,2604,5801
23-03 14:00:58,2674,6754
23-03 14:00:59,2728,7687
23-03 14:01:00,2749,6923
23-03 14:01:01,2767,8237
23-03 14:01:02,2672,6272
23-03 14:01:03,2498,5690
23-03 14:01:04,2646,7363
23-03 14:01:05,2809,7803
23-03 14:01:06,2527,5893
23-03 14:01:07,2560,5754
23-03 14:01:08,2495,5847
23-03 14:01:09,4012,11708
23-03 14:01:10,2757,7329
23-03 14:01:11,2558,6872
23-03 14:01:12,2629,5749
23-03 14:01:13,2569,5947
23-03 14:01:14,3453,37001
23-03 14:01:15,2568,7004
23-03 14:01:16,2530,6549
23-03 14:01:17,2622,6219
23-03 14:01:18,2494,5663
23-03 14:01:19,2779,7831
23-03 14:01:20,2625,7260
23-03 14:01:21,2546,5825
23-03 14:01:22,2485,5782
23-03 14:01:23,2566,5787
23-03 14:01:24,2665,7247
23-03 14:01:25,2703,7729
23-03 14:01:26,3142,6843
23-03 14:01:27,2640,6741
23-03 14:01:28,2557,5891
23-03 14:01:29,2729,7093
23-03 14:01:30,2649,6928
23-03 14:01:31,2438,5799
23-03 14:01:32,2545,6155
23-03 14:01:33,2572,5752
23-03 14:01:34,2774,7492
23-03 14:01:35,2560,6988
23-03 14:01:36,2495,5753
23-03 14:01:37,2557,6621
23-03 14:01:38,2681,5949
23-03 14:01:39,2924,7346
23-03 14:01:40,2733,7417
23-03 14:01:41,2466,5838
23-03 14:01:42,2514,5829
23-03 14:01:43,2916,6293
23-03 14:01:44,2642,6895
23-03 14:01:45,3989,11793
23-03 14:01:46,2528,5882
23-03 14:01:47,2595,6231
23-03 14:01:48,2610,6592
23-03 14:01:49,2886,7888
23-03 14:01:50,2739,7975
23-03 14:01:51,2494,6031
23-03 14:01:52,3437,36105
23-03 14:01:53,2644,5836
23-03 14:01:54,2636,5960
23-03 14:01:55,2862,8592
23-03 14:01:56,2546,5862
23-03 14:01:57,2676,6146
23-03 14:01:58,2407,5913
23-03 14:01:59,2718,6675
23-03 14:02:00,2806,8751
23-03 14:02:01,2725,7960
23-03 14:02:02,2593,6293
23-03 14:02:03,2481,5772
23-03 14:02:04,2631,6216
23-03 14:02:05,2801,8654
23-03 14:02:06,2476,5598
23-03 14:02:07,2705,5883
23-03 14:02:08,2621,6035
23-03 14:02:09,2639,6738
23-03 14:02:10,3019,9591
23-03 14:02:11,2484,5772
23-03 14:02:12,2487,5727
23-03 14:02:13,2507,5892
23-03 14:02:14,2519,5781
23-03 14:02:15,2684,8304
23-03 14:02:16,2480,5726
23-03 14:02:17,2592,6265
23-03 14:02:18,2422,5763
23-03 14:02:19,2564,5976
23-03 14:02:20,2881,9628
23-03 14:02:21,2640,5922
23-03 14:02:22,2496,5743
23-03 14:02:23,2519,5838
23-03 14:02:24,2577,5837
23-03 14:02:25,2998,10608
23-03 14:02:26,2728,6710
23-03 14:02:27,2515,5812
23-03 14:02:28,2483,5993
23-03 14:02:29,2471,5808
23-03 14:02:30,3633,37109
23-03 14:02:31,2738,7978
23-03 14:02:32,2602,6510
23-03 14:02:33,2555,5964
23-03 14:02:34,2644,6038
23-03 14:02:35,2753,7368
23-03 14:02:36,2663,7231
23-03 14:02:37,2565,5856
23-03 14:02:38,2587,5811
23-03 14:02:39,2629,5912
23-03 14:02:40,2754,7549
23-03 14:02:41,2736,7242
23-03 14:02:42,2661,6631
23-03 14:02:43,2477,5791
23-03 14:02:44,2560,5968
23-03 14:02:45,2623,7032
23-03 14:02:46,2763,7707
23-03 14:02:47,2578,6298
23-03 14:02:48,2457,5651
23-03 14:02:49,2587,5912
23-03 14:02:50,2757,7973
23-03 14:02:51,2679,7238
23-03 14:02:52,2631,6633
23-03 14:02:53,2446,5782
23-03 14:02:54,2598,5837
23-03 14:02:55,2887,7358
23-03 14:02:56,2664,7038
23-03 14:02:57,2515,5925
23-03 14:02:58,2565,5744
23-03 14:02:59,2561,5941
23-03 14:03:00,2764,7075
23-03 14:03:01,4280,14170
23-03 14:03:02,2639,6205
23-03 14:03:03,2685,7127
23-03 14:03:04,2548,5797
23-03 14:03:05,2670,7086
23-03 14:03:06,2568,7031
23-03 14:03:07,3060,10486
23-03 14:03:08,2623,31914
23-03 14:03:09,2469,5756
23-03 14:03:10,2660,7397
23-03 14:03:11,2697,7271
23-03 14:03:12,2717,6555
23-03 14:03:13,2582,5711
23-03 14:03:14,2600,6654
23-03 14:03:15,2696,7153
23-03 14:03:16,2510,6916
23-03 14:03:17,2960,6421
23-03 14:03:18,2349,5600
23-03 14:03:19,2533,5886
23-03 14:03:20,2703,7173
23-03 14:03:21,2595,6924
23-03 14:03:22,2745,7048
23-03 14:03:23,2491,5729
23-03 14:03:24,2567,6755
23-03 14:03:25,2663,7487
23-03 14:03:26,2584,6880
23-03 14:03:27,2604,6026
23-03 14:03:28,2495,5697
23-03 14:03:29,2587,5838
23-03 14:03:30,2621,6936
23-03 14:03:31,2731,7216
23-03 14:03:32,2604,6276
23-03 14:03:33,2507,5763
23-03 14:03:34,2532,5821
23-03 14:03:35,2975,7418
23-03 14:03:36,2692,7450
23-03 14:03:37,2651,6040
23-03 14:03:38,2646,6166
23-03 14:03:39,2558,5781
23-03 14:03:40,2477,6191
23-03 14:03:41,2668,8258
23-03 14:03:42,4019,10879
23-03 14:03:43,2402,5810
23-03 14:03:44,2481,5718
23-03 14:03:45,3461,35640
23-03 14:03:46,2722,9359
23-03 14:03:47,2758,6620
23-03 14:03:48,2519,5699
23-03 14:03:49,2549,5804
23-03 14:03:50,2611,6792
23-03 14:03:51,2723,8451
23-03 14:03:52,2576,5750
23-03 14:03:53,2693,5970
23-03 14:03:54,2622,5990
23-03 14:03:55,2657,6249
23-03 14:03:56,2888,8239
23-03 14:03:57,2764,7211
23-03 14:03:58,2611,5893
23-03 14:03:59,2539,5881
23-03 14:04:00,2475,5771
23-03 14:04:01,2754,9493
23-03 14:04:02,2558,7362
23-03 14:04:03,2469,5909
23-03 14:04:04,2577,5829
23-03 14:04:05,2473,5728
23-03 14:04:06,2615,7017
23-03 14:04:07,2681,7915
23-03 14:04:08,2626,5935
23-03 14:04:09,2589,5873
23-03 14:04:10,2568,6229
23-03 14:04:11,2612,6970
23-03 14:04:12,2519,6950
23-03 14:04:13,2559,6258
23-03 14:04:14,2505,5754
23-03 14:04:15,2506,5809
23-03 14:04:16,2550,6878
23-03 14:04:17,2743,7451
23-03 14:04:18,4004,11630
23-03 14:04:19,2590,5995
23-03 14:04:20,2603,6323
23-03 14:04:21,2672,7049
23-03 14:04:22,2647,6932
23-03 14:04:23,3514,35949
23-03 14:04:24,2428,5830
23-03 14:04:25,2600,6222
23-03 14:04:26,2646,7066
23-03 14:04:27,2674,7014
23-03 14:04:28,2734,6975
23-03 14:04:29,2572,5789
23-03 14:04:30,2582,5830
23-03 14:04:31,2737,7263
23-03 14:04:32,2696,7365
23-03 14:04:33,2652,6513
23-03 14:04:34,2597,5861
23-03 14:04:35,2512,5966
