"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dstat/mem_lock_vm_vm-adv_raw_int_disk_udp.csv --mem --lock --vm --vm-adv --raw --int --disk --udp 1 600",,,,"Date:","23 Mar 2023 14:04:41 -03"
"memory usage",,,,"file locks",,,,"virtual memory",,,,"advanced virtual memory",,,,,"raw","interrupts",,,"dsk/total",,"udp",
5014474752,2701672448,798228480,7882784768,83,12,13,82,0,1074,1734,3170,0,0,0,0,0,0,0,147,0,0,0,25,15
4997697536,2718109696,798228480,7883190272,83,12,13,82,0,1069,2860,7278,0,0,0,0,0,0,0,115,0,0,843776,25,15
4999077888,2716692480,798228480,7883751424,83,12,13,82,0,420,796,855,0,0,0,0,0,0,0,157,0,0,0,25,15
4997332992,2718420992,798228480,7883436032,83,12,13,82,0,1331,1862,2335,0,0,0,0,0,0,0,118,0,0,0,25,15
4998152192,2717601792,798228480,7883177984,83,12,13,82,0,1320,1900,2021,0,0,0,0,0,0,0,132,0,0,0,25,15
4995796992,2719940608,798240768,7883415552,83,12,13,82,0,477,2449,3795,0,0,0,0,0,0,0,137,0,0,712704,25,14
4965249024,2755813376,798240768,7877922816,83,12,13,82,0,256,1418,12640,0,0,0,0,0,0,0,116,0,0,4022272,25,14
4966817792,2754273280,798248960,7877873664,83,12,13,82,0,412,1076,721,0,0,0,0,0,0,0,115,0,0,1556480,25,14
4951576576,2769469440,798248960,7878443008,83,12,13,82,0,1626,2226,5231,0,0,0,0,0,0,0,183,0,0,0,25,14
4955529216,2765406208,798248960,7878221824,83,12,13,82,0,7062,8856,6608,0,0,0,0,0,0,0,121,0,0,0,25,14
4956078080,2764816384,798248960,7878004736,83,12,13,82,0,289,597,606,0,0,0,0,0,0,0,138,0,0,0,25,14
4957507584,2763386880,798248960,7878070272,83,12,13,82,0,61,2469,2857,0,0,0,0,0,0,0,126,0,0,14696448,25,14
4957462528,2763599872,798253056,7878074368,83,12,13,82,0,192,846,931,0,0,0,0,0,0,0,120,0,0,1703936,25,14
4958175232,2762883072,798253056,7878279168,83,12,13,82,0,1366,2021,1879,0,0,0,0,0,0,0,124,0,0,0,25,14
4960055296,2760990720,798253056,7878549504,83,12,13,82,0,2034,2380,1886,0,0,0,0,0,0,0,155,0,0,0,25,14
4974907392,2740948992,798253056,7883472896,83,12,13,82,0,39334,61137,55589,0,0,0,0,0,0,0,116,0,0,0,25,14
4979662848,2736193536,798253056,7883280384,83,12,13,82,0,6620,8344,5794,0,0,0,0,0,0,0,118,0,0,0,25,14
4982124544,2733584384,798261248,7883419648,83,12,13,82,0,208,1634,1728,0,0,0,0,0,0,0,115,0,0,7831552,25,14
4983054336,2732642304,798261248,7883431936,83,12,13,82,0,1572,1872,1967,0,0,0,0,0,0,0,114,0,0,0,25,14
4984311808,2731384832,798261248,7883632640,83,12,13,82,0,1314,2010,2122,0,0,0,0,0,0,0,119,0,0,0,25,14
4985147392,2730541056,798261248,7883898880,83,12,13,82,0,731,4999,4754,0,0,0,0,0,0,0,166,0,0,0,25,14
4985978880,2729705472,798261248,7883702272,83,12,13,82,0,247,770,2345,0,0,0,0,0,0,0,165,0,0,0,25,14
4986028032,2729611264,798265344,7883485184,83,12,13,82,0,444,1251,1541,0,0,0,0,0,0,0,117,0,0,4276224,25,14
4985909248,2729631744,798265344,7883583488,83,12,13,82,0,244,680,633,0,0,0,0,0,0,0,115,0,0,0,25,14
5007327232,2708246528,798265344,7883550720,83,12,13,82,0,7870,9774,4392,0,0,0,0,0,0,0,123,0,0,0,25,14
5025714176,2689957888,798265344,7902478336,83,12,13,82,0,8404,12325,3809,0,0,0,0,0,0,0,130,0,0,0,25,14
5026402304,2689269760,798265344,7902248960,83,12,13,82,0,269,555,886,0,0,0,0,0,0,0,154,0,0,0,25,14
5053079552,2662588416,798269440,7899230208,83,12,13,82,0,7161,8714,2642,0,0,0,0,0,0,0,128,0,0,4964352,25,14
5048455168,2667204608,798273536,7895945216,83,12,13,82,0,294,826,2623,0,0,0,0,0,0,0,134,0,0,106496,25,14
5047754752,2667864064,798273536,7895986176,83,12,13,82,0,2613,3240,3695,0,0,0,0,0,0,0,135,0,0,0,25,14
5008121856,2707390464,798273536,7887306752,83,12,13,82,0,344,798,9118,0,0,0,0,0,0,0,119,0,0,0,25,14
5025230848,2690355200,798273536,7887298560,83,12,13,82,0,7208,9455,4951,0,0,0,0,0,0,0,153,0,0,0,25,15
5059371008,2655961088,798285824,7893524480,84,12,13,83,0,30720,32466,19321,0,0,0,0,0,0,0,198,0,0,5169152,25,16
5079146496,2635354112,798511104,7893270528,84,12,13,83,0,32842,38164,37056,0,0,0,0,0,0,0,157,0,0,9904128,25,17
5075451904,2639577088,798511104,7894142976,84,12,13,83,0,3039,5860,7800,0,0,0,0,0,0,0,130,0,0,0,25,17
5073104896,2641801216,798539776,7894020096,84,12,13,83,0,1764,2601,2387,0,0,0,0,0,0,0,126,0,0,843776,25,17
5082595328,2632089600,798625792,7892615168,84,12,13,83,0,24517,27225,26567,0,0,0,0,0,0,0,148,0,0,3424256,25,17
5061496832,2653188096,798633984,7892869120,84,12,13,83,0,237,772,6027,0,0,0,0,0,0,0,115,0,0,524288,25,17
5062406144,2652176384,798633984,7892639744,84,12,13,83,0,1842,2040,2168,0,0,0,0,0,0,0,159,0,0,0,25,17
5065347072,2649100288,798633984,7892516864,84,12,13,83,0,8217,10133,8648,0,0,0,0,0,0,0,114,0,0,0,25,17
5065977856,2648469504,798633984,7892516864,84,12,13,83,0,647,1160,822,0,0,0,0,0,0,0,121,0,0,0,28,17
5066928128,2647511040,798633984,7892656128,84,12,13,83,0,156,596,488,0,0,0,0,0,0,0,117,0,0,0,28,17
4934094848,2785665024,798650368,7887843328,84,12,13,83,0,605,2192,35453,0,0,0,0,0,0,0,137,0,8192,7143424,28,17
4935249920,2784600064,798650368,7887355904,84,12,13,83,0,80,525,609,0,0,0,0,0,0,0,123,0,0,0,28,17
4935118848,2784727040,798650368,7887101952,84,12,13,83,0,2644,3306,3612,0,0,0,0,0,0,0,150,0,0,0,28,17
4933672960,2787766272,798650368,7885574144,84,12,13,83,0,1117,1455,1728,0,0,0,0,0,0,0,119,0,16384,0,25,17
4932759552,2786844672,798650368,7887409152,84,12,13,83,0,3963,5591,6241,0,0,0,0,0,0,0,119,0,0,0,25,17
4933812224,2785792000,798662656,7887396864,84,12,13,83,0,140,2402,2311,0,0,0,0,0,0,0,114,0,0,14811136,25,17
4935057408,2784534528,798662656,7887867904,84,12,13,83,0,48,633,491,0,0,0,0,0,0,0,115,0,0,0,25,17
4936491008,2783080448,798662656,7887605760,84,12,13,83,0,2723,3196,3832,0,0,0,0,0,0,0,120,0,0,0,25,17
4937306112,2782216192,798662656,7887462400,84,12,13,83,0,340,883,1044,0,0,0,0,0,0,0,169,0,0,0,25,17
4920668160,2798845952,798662656,7885475840,84,12,13,83,0,1391,1807,4250,0,0,0,0,0,0,0,124,0,0,0,25,17
4918431744,2801074176,798670848,7884910592,84,12,13,83,0,1477,2831,2819,0,0,0,0,0,0,0,122,0,0,2736128,25,17
5054816256,2659516416,798670848,7890350080,84,12,13,83,0,39984,61797,25044,0,0,0,0,0,0,0,143,0,0,0,25,17
5030572032,2683760640,798670848,7890608128,84,12,13,83,0,6666,8704,15925,0,0,0,0,0,0,0,119,0,0,1138688,25,17
5027168256,2687016960,798683136,7888281600,84,12,13,83,0,1395,2288,5225,0,0,0,0,0,0,0,119,0,0,2539520,25,17
5028020224,2686164992,798683136,7887925248,84,12,13,83,0,155,628,485,0,0,0,0,0,0,0,147,0,0,0,25,17
5050572800,2663305216,798699520,7888150528,84,12,13,83,0,7997,9189,2014,0,0,0,0,0,0,0,136,0,0,335872,25,17
5050372096,2663727104,798703616,7887908864,84,12,13,83,0,163,1555,1587,0,0,0,0,0,0,0,116,0,8192,8355840,25,17
5032456192,2681630720,798703616,7888187392,84,12,13,83,0,1335,2000,7328,0,0,0,0,0,0,0,111,0,0,0,25,17
5033816064,2680438784,798703616,7888343040,84,12,13,83,0,1466,2057,2781,0,0,0,0,0,0,0,117,0,0,0,25,16
5052919808,2661429248,798703616,7887716352,84,12,13,83,0,5872,7586,3167,0,0,0,0,0,0,0,116,0,0,0,25,15
5041930240,2672181248,798744576,7887855616,84,12,13,83,0,1331,2048,6369,0,0,0,0,0,0,0,142,0,0,1155072,25,15
5008347136,2705756160,798744576,7887147008,84,12,13,83,0,736,1821,10321,0,0,0,0,0,0,0,125,0,0,4538368,25,15
5009616896,2704437248,798744576,7887196160,84,12,13,83,0,1338,1906,1880,0,0,0,0,0,0,0,140,0,0,0,25,15
5008863232,2705190912,798744576,7887851520,84,12,13,83,0,1404,2630,2395,0,0,0,0,0,0,0,119,0,0,0,25,14
4989173760,2724868096,798744576,7885205504,84,12,13,83,0,192,579,5785,0,0,0,0,0,0,0,119,0,0,0,25,14
4988874752,2725163008,798752768,7884582912,84,12,13,83,0,298,736,700,0,0,0,0,0,0,0,118,0,0,647168,25,14
4983447552,2732199936,798752768,7882973184,83,12,13,82,0,205,796,2762,0,0,0,0,0,0,0,158,0,0,516096,25,14
4989587456,2724241408,798752768,7884791808,83,12,13,82,0,7147,8721,3431,0,0,0,0,0,0,0,118,0,0,0,25,14
4979113984,2734297088,798752768,7885541376,83,12,13,82,0,2119,3000,6365,0,0,0,0,0,0,0,117,0,0,0,25,14
4980088832,2733547520,798752768,7885574144,83,12,13,82,0,139,509,780,0,0,0,0,0,0,0,117,0,0,0,25,14
4979179520,2734456832,798760960,7885234176,83,12,13,82,0,663,1170,937,0,0,0,0,0,0,0,119,0,0,761856,25,14
4979552256,2734059520,798760960,7885000704,83,12,13,82,0,39,1071,1085,0,0,0,0,0,0,0,121,0,0,4825088,25,15
4980289536,2733322240,798760960,7884767232,83,12,13,82,0,1616,2693,2764,0,0,0,0,0,0,0,187,0,0,0,25,14
4980953088,2732560384,798765056,7885225984,83,12,13,82,0,1692,2180,2367,0,0,0,0,0,0,0,127,0,0,466944,25,14
4868136960,2845462528,798765056,7885406208,83,12,13,82,0,5853,7788,35066,0,0,0,0,0,0,0,116,0,0,0,25,14
4867198976,2846183424,798765056,7885815808,83,12,13,82,0,219,677,762,0,0,0,0,0,0,0,121,0,0,0,25,14
4869308416,2844024832,798765056,7885533184,83,12,13,82,0,76,968,1150,0,0,0,0,0,0,0,113,0,0,3899392,25,14
4869222400,2844110848,798765056,7885275136,83,12,13,82,0,1480,1881,1873,0,0,0,0,0,0,0,112,0,0,0,25,14
4862242816,2856402944,798773248,7880019968,83,12,13,82,0,1534,2223,5499,0,0,0,0,0,0,0,163,0,0,819200,25,14
4863205376,2855600128,798773248,7879864320,83,12,13,82,0,68,506,495,0,0,0,0,0,0,0,114,0,0,0,25,14
4862423040,2856251392,798773248,7880454144,83,12,13,82,0,1071,1487,871,0,0,0,0,0,0,0,122,0,0,0,25,14
4825448448,2893131776,798773248,7880282112,83,12,13,82,0,277,1969,12955,0,0,0,0,0,0,0,116,0,0,10518528,25,14
4840648704,2877652992,798789632,7880282112,83,12,13,82,0,8512,10658,3428,0,0,0,0,0,0,0,118,0,0,2588672,25,14
4840726528,2877640704,798789632,7880282112,83,12,13,82,0,1357,1967,1929,0,0,0,0,0,0,0,140,0,0,0,25,14
4840779776,2877575168,798789632,7880294400,83,12,13,82,0,62,516,922,0,0,0,0,0,0,0,161,0,0,0,25,14
4863045632,2855305216,798789632,7880499200,83,12,13,82,0,8298,9748,2334,0,0,0,0,0,0,0,145,0,0,0,25,14
4857696256,2860650496,798789632,7880994816,83,12,13,82,0,2104,3734,2550,0,0,0,0,0,0,0,128,0,0,5087232,25,14
4858896384,2859450368,798793728,7880491008,83,12,13,82,0,1357,2058,2667,0,0,0,0,0,0,0,148,0,0,327680,25,14
4988739584,2729590784,798793728,7880314880,83,12,13,82,0,39621,60102,28789,0,0,0,0,0,0,0,121,0,0,0,25,14
5003309056,2707959808,798793728,7887376384,83,12,13,82,0,7650,10388,2023,0,0,0,0,0,0,0,129,0,0,0,25,15
5006209024,2706780160,798793728,7885590528,83,12,13,82,0,403,1398,1880,0,0,0,0,0,0,0,164,0,0,0,25,15
5009924096,2703056896,798793728,7885930496,83,12,13,82,0,33,1308,1173,0,0,0,0,0,0,0,122,0,0,5521408,25,15
5009584128,2703691776,798806016,7885881344,83,12,13,82,0,1975,2782,4724,0,0,0,0,0,0,0,127,0,0,3530752,25,15
4997042176,2716205056,798822400,7885627392,83,12,13,82,0,1486,2002,5389,0,0,0,0,0,0,0,116,0,0,172032,25,15
4998180864,2715062272,798838784,7885357056,83,12,13,82,0,286,790,560,0,0,0,0,0,0,0,133,0,0,221184,25,15
4997201920,2716012544,798846976,7885312000,83,12,13,82,0,80,593,1291,0,0,0,0,0,0,0,116,0,0,221184,25,15
4997177344,2715914240,798846976,7885434880,83,12,13,82,1,1703,2036,2042,0,0,0,0,0,0,0,158,0,0,180224,25,15
4990824448,2720628736,798846976,7887597568,83,12,13,82,0,6455,8262,7626,0,0,0,0,0,0,0,119,0,0,0,25,15
4992651264,2720190464,798883840,7885971456,83,12,13,82,0,1335,2182,2711,0,0,0,0,0,0,0,122,0,0,2285568,25,15
4993863680,2718998528,798883840,7885692928,83,12,13,82,0,39,548,549,0,0,0,0,0,0,0,130,0,0,0,25,15
4994277376,2718597120,798883840,7885615104,83,12,13,82,0,1069,1469,1380,0,0,0,0,0,0,0,129,0,0,0,25,15
4994715648,2718150656,798883840,7885623296,83,12,13,82,0,210,534,505,0,0,0,0,0,0,0,115,0,0,0,25,15
4995846144,2717007872,798896128,7885955072,83,12,13,82,0,1390,3185,3021,0,0,0,0,0,0,0,166,0,0,4653056,25,15
4996849664,2715840512,798896128,7886376960,83,12,13,82,0,1975,2706,2451,0,0,0,0,0,0,0,115,0,0,0,25,15
5013663744,2699018240,798904320,7885844480,83,12,13,82,0,6228,7669,2509,0,0,0,0,0,0,0,128,0,0,352256,25,15
5014605824,2697838592,798904320,7886024704,83,12,13,82,0,288,596,494,0,0,0,0,0,0,0,129,0,0,0,25,15
5015293952,2697150464,798904320,7886024704,83,12,13,82,0,37,482,467,0,0,0,0,0,0,0,114,0,0,0,25,15
5015920640,2696519680,798904320,7886094336,83,12,13,82,0,1366,2474,3365,0,0,0,0,0,0,0,116,0,0,4325376,25,15
5017042944,2695393280,798904320,7886364672,83,12,13,82,0,1415,2098,1901,0,0,0,0,0,0,0,143,0,0,0,25,15
5017497600,2694922240,798916608,7886626816,83,12,13,82,0,199,570,590,0,0,0,0,0,0,0,115,0,0,630784,25,15
5016231936,2696175616,798916608,7886307328,83,12,13,82,0,786,1273,1699,0,0,0,0,0,0,0,121,0,0,0,25,15
5016383488,2695979008,798916608,7886094336,83,12,13,82,0,488,995,682,0,0,0,0,0,0,0,114,0,0,0,25,15
5028089856,2683949056,798928896,7886471168,83,12,13,82,0,3328,5121,2474,0,0,0,0,0,0,0,125,0,0,1236992,25,15
5020880896,2691244032,798928896,7886385152,83,12,13,82,0,2566,3087,6337,0,0,0,0,0,0,0,114,0,0,0,25,15
5021790208,2690334720,798928896,7886843904,83,12,13,82,0,33,640,872,0,0,0,0,0,0,0,143,0,0,0,25,15
5038080000,2674032640,798937088,7886581760,83,12,13,82,0,7526,9036,4945,0,0,0,0,0,0,0,162,0,0,204800,25,15
5038014464,2674089984,798937088,7886331904,83,12,13,82,0,349,606,596,0,0,0,0,0,0,0,117,0,0,0,25,15
5028130816,2683969536,798937088,7886401536,83,12,13,82,0,619,5199,7714,0,0,0,0,0,0,0,118,0,0,34324480,25,15
4833034240,2884341760,798937088,7881125888,83,12,13,82,0,2704,3603,51665,0,0,0,0,0,0,0,113,0,0,0,25,14
4836491264,2880974848,798937088,7881232384,83,12,13,82,0,5674,7478,4751,0,0,0,0,0,0,0,119,0,0,0,25,14
4837777408,2879520768,798949376,7881646080,83,12,13,82,0,720,1515,1173,0,0,0,0,0,0,0,148,0,0,3022848,25,14
4839739392,2877542400,798949376,7881396224,83,12,13,82,0,198,500,653,0,0,0,0,0,0,0,116,0,0,0,25,14
4830593024,2886684672,798949376,7881207808,83,12,13,82,0,264,922,2485,0,0,0,0,0,0,0,118,0,0,696320,25,14
4833042432,2884231168,798949376,7881211904,83,12,13,82,0,3065,4187,3914,0,0,0,0,0,0,0,127,0,0,0,25,14
4834193408,2883031040,798949376,7881195520,83,12,13,82,0,287,738,540,0,0,0,0,0,0,0,116,0,0,0,25,14
4835160064,2882056192,798957568,7881728000,83,12,13,82,0,317,884,863,0,0,0,0,0,0,0,119,0,0,385024,25,14
4977786880,2734260224,798957568,7886954496,83,12,13,82,0,39636,61327,23946,0,0,0,0,0,0,0,174,0,0,0,25,14
4980797440,2733092864,798957568,7884845056,83,12,13,82,0,132,690,1221,0,0,0,0,0,0,0,122,0,0,0,25,14
4983123968,2730827776,798973952,7884509184,83,12,13,82,0,2694,3649,3562,0,0,0,0,0,0,0,118,0,0,2457600,25,14
4983869440,2730082304,798973952,7884443648,83,12,13,82,0,631,609,675,0,0,0,0,0,0,0,118,0,0,0,25,14
4984778752,2729164800,798973952,7884451840,83,12,13,82,0,649,1086,708,0,0,0,0,0,0,0,114,0,0,0,25,14
4986806272,2727129088,798973952,7885856768,83,12,13,82,0,174,1041,636,0,0,0,0,0,0,0,118,0,0,0,25,14
4987170816,2726727680,798990336,7886118912,83,12,13,82,0,474,992,1886,0,0,0,0,0,0,0,157,0,0,385024,25,14
4987551744,2726326272,798990336,7884541952,83,12,13,82,0,2821,3273,3718,0,0,0,0,0,0,0,116,0,0,0,25,14
4984606720,2730766336,798990336,7883005952,83,12,13,82,0,73,592,4180,0,0,0,0,0,0,0,116,0,0,0,25,14
4984823808,2730647552,798990336,7882907648,83,12,13,82,0,159,589,563,0,0,0,0,0,0,0,118,0,0,0,25,14
4984958976,2730500096,798990336,7882919936,83,12,13,82,0,111,590,756,0,0,0,0,0,0,0,134,0,0,0,25,14
4985356288,2730094592,799002624,7883505664,83,12,13,82,0,193,682,582,0,0,0,0,0,0,0,126,0,0,475136,25,14
4978610176,2736713728,799002624,7883100160,83,12,13,82,0,3250,3957,5720,0,0,0,0,0,0,0,165,0,0,0,25,14
4979179520,2736103424,799002624,7883083776,83,12,13,82,0,193,773,990,0,0,0,0,0,0,0,116,0,0,0,25,14
4979789824,2735493120,799002624,7883083776,83,12,13,82,0,1499,1924,969,0,0,0,0,0,0,0,115,0,0,0,25,14
4979740672,2735538176,799002624,7883153408,83,12,13,82,0,5704,5911,4775,0,0,0,0,0,0,0,115,0,0,0,25,14
4980998144,2734186496,799006720,7883509760,83,12,13,82,0,35,673,533,0,0,0,0,0,0,0,120,0,0,417792,25,14
4987219968,2729517056,799006720,7882215424,83,12,13,82,0,1348,4432,4818,0,0,0,0,0,0,0,123,0,0,20652032,25,14
4967550976,2749317120,799006720,7881551872,83,12,13,82,0,1343,1899,6356,0,0,0,0,0,0,0,156,0,0,0,25,14
4988997632,2727866368,799006720,7881498624,83,12,13,82,0,6781,7559,1225,0,0,0,0,0,0,0,128,0,0,0,25,14
4988477440,2728345600,799006720,7881539584,83,12,13,82,0,243,674,573,0,0,0,0,0,0,0,116,0,0,0,25,14
4989362176,2727444480,799019008,7881609216,83,12,13,82,0,45,813,811,0,0,0,0,0,0,0,152,0,0,1933312,25,14
4966240256,2750554112,799019008,7881887744,83,12,13,82,0,1378,2020,7701,0,0,0,0,0,0,0,121,0,0,0,25,14
4966068224,2750623744,799019008,7882182656,83,12,13,82,0,1690,2099,1892,0,0,0,0,0,0,0,122,0,0,0,25,14
4969529344,2748899328,799019008,7879946240,83,12,13,82,0,1040,2068,2148,0,0,0,0,0,0,0,204,0,0,0,25,14
4970917888,2747502592,799019008,7879995392,83,12,13,82,0,35,492,479,0,0,0,0,0,0,0,116,0,0,0,25,14
4971040768,2747330560,799031296,7880032256,83,12,13,82,0,64,566,2398,0,0,0,0,0,0,0,122,0,0,466944,25,14
4971122688,2747224064,799031296,7880056832,83,12,13,82,1,1913,1995,2151,0,0,0,0,0,0,0,112,0,8192,0,25,14
4970827776,2747514880,799031296,7880261632,83,12,13,82,0,1370,2081,2100,0,0,0,0,0,0,0,116,0,0,0,25,14
4967571456,2756087808,799039488,7875194880,83,12,13,82,0,191,673,2484,0,0,0,0,0,0,0,116,0,0,253952,25,14
4967149568,2756567040,799039488,7874871296,83,12,13,82,0,2355,2663,2597,0,0,0,0,0,0,0,152,0,0,0,25,14
4966699008,2757017600,799039488,7874678784,83,12,13,82,0,222,596,764,0,0,0,0,0,0,0,120,0,0,0,25,14
4966871040,2758590464,799039488,7872933888,83,12,13,82,0,1348,1880,2311,0,0,0,0,0,0,0,136,0,0,0,28,14
4967329792,2758086656,799039488,7872913408,83,12,13,82,0,1320,1871,1850,0,0,0,0,0,0,0,124,0,0,0,28,14
4966764544,2758627328,799051776,7873449984,83,12,13,82,0,1415,2223,1581,0,0,0,0,0,0,0,115,0,0,1605632,28,14
4966805504,2758582272,799051776,7873253376,83,12,13,82,0,199,499,642,0,0,0,0,0,0,0,119,0,0,0,28,14
4930101248,2795548672,799051776,7872733184,83,12,13,82,0,1023,1587,10430,0,0,0,0,0,0,0,146,0,0,0,28,14
4929605632,2797748224,799072256,7871229952,83,12,13,82,0,2050,3376,3507,0,0,0,0,0,0,0,120,0,0,6578176,25,15
