"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dstat/mem.csv --time --mem 1 600",,,,"Date:","23 Mar 2023 13:54:36 -03"
"system","memory usage",,,
23-03 13:57:30,5075464192,2580779008,796545024,7944404992
23-03 13:57:31,5076283392,2580037632,796545024,7944327168
23-03 13:57:32,5087883264,2568282112,796545024,7944413184
23-03 13:57:33,5090082816,2566074368,796553216,7945986048
23-03 13:57:34,5088870400,2567229440,796561408,7944835072
23-03 13:57:35,5089132544,2566959104,796561408,7944601600
23-03 13:57:36,5089931264,2566062080,796561408,7944568832
23-03 13:57:37,5090582528,2565406720,796561408,7944638464
23-03 13:57:38,5089869824,2568605696,796561408,7942152192
23-03 13:57:39,5069631488,2588803072,796573696,7942115328
23-03 13:57:40,5054631936,2603646976,796573696,7942795264
23-03 13:57:41,5055569920,2602704896,796573696,7942598656
23-03 13:57:42,5079437312,2578833408,796573696,7942344704
23-03 13:57:43,5079281664,2578894848,796573696,7942373376
23-03 13:57:44,5057622016,2600554496,796577792,7942369280
23-03 13:57:45,5059821568,2598346752,796577792,7942443008
23-03 13:57:46,5063225344,2597433344,796577792,7940153344
23-03 13:57:47,4964753408,2695757824,796577792,7940624384
23-03 13:57:48,4972953600,2687426560,796577792,7940554752
23-03 13:57:49,4975595520,2684780544,796577792,7940300800
23-03 13:57:50,4975972352,2684399616,796577792,7940173824
23-03 13:57:51,4976545792,2683731968,796577792,7940268032
23-03 13:57:52,4877672448,2785099776,796577792,7937839104
23-03 13:57:53,4877922304,2784837632,796577792,7938117632
23-03 13:57:54,4871290880,2789867520,796577792,7939911680
23-03 13:57:55,4872650752,2789920768,796590080,7938285568
23-03 13:57:56,4876468224,2791845888,796602368,7932272640
23-03 13:57:57,4877725696,2790690816,796618752,7932153856
23-03 13:57:58,4876443648,2791854080,796618752,7932207104
23-03 13:57:59,4886134784,2784641024,796618752,7929794560
23-03 13:58:00,4887150592,2783600640,796622848,7930339328
23-03 13:58:01,4889161728,2781581312,796631040,7930081280
23-03 13:58:02,4903444480,2767097856,796631040,7930032128
23-03 13:58:03,4925808640,2744721408,796631040,7929782272
23-03 13:58:04,4929953792,2740539392,796659712,7930314752
23-03 13:58:05,4931923968,2738556928,796659712,7930327040
23-03 13:58:06,4930789376,2737057792,796659712,7933227008
23-03 13:58:07,4933115904,2734731264,796659712,7932960768
23-03 13:58:08,4933746688,2734096384,796659712,7932432384
23-03 13:58:09,4944732160,2724401152,796667904,7931076608
23-03 13:58:10,4947775488,2719858688,796667904,7932575744
23-03 13:58:11,4948226048,2719408128,796667904,7932637184
23-03 13:58:12,4947263488,2720370688,796667904,7932571648
23-03 13:58:13,4886171648,2783866880,796667904,7930699776
23-03 13:58:14,4887248896,2782806016,796676096,7930732544
23-03 13:58:15,4864036864,2806005760,796676096,7930212352
23-03 13:58:16,4863016960,2808315904,796676096,7928864768
23-03 13:58:17,4882018304,2787831808,796676096,7930347520
23-03 13:58:18,4881620992,2788229120,796676096,7930413056
23-03 13:58:19,4877283328,2792538112,796688384,7930429440
23-03 13:58:20,4889317376,2782965760,796700672,7928414208
23-03 13:58:21,4861968384,2810216448,796700672,7928246272
23-03 13:58:22,4862918656,2809266176,796700672,7928053760
23-03 13:58:23,4838854656,2833195008,796700672,7928188928
23-03 13:58:24,4858896384,2813153280,796700672,7928123392
23-03 13:58:25,4864794624,2807107584,796704768,7928332288
23-03 13:58:26,4865765376,2806132736,796704768,7928336384
23-03 13:58:27,4862009344,2809884672,796704768,7928864768
23-03 13:58:28,4878016512,2796163072,796704768,7925932032
23-03 13:58:29,4878454784,2795716608,796704768,7925948416
23-03 13:58:30,4870021120,2804097024,796717056,7925989376
23-03 13:58:31,4853919744,2821779456,796721152,7924338688
23-03 13:58:32,4877398016,2796580864,796721152,7926124544
23-03 13:58:33,4871700480,2807709696,796733440,7920947200
23-03 13:58:34,4873506816,2808397824,796733440,7918710784
23-03 13:58:35,4875272192,2806628352,796733440,7918387200
23-03 13:58:36,4855734272,2826072064,796733440,7918219264
23-03 13:58:37,4845760512,2836000768,796733440,7918329856
23-03 13:58:38,4847452160,2834292736,796741632,7918338048
23-03 13:58:39,4851961856,2831085568,796758016,7916953600
23-03 13:58:40,4866396160,2817638400,796790784,7916265472
23-03 13:58:41,4864974848,2819051520,796790784,7916523520
23-03 13:58:42,4866908160,2817118208,796790784,7916191744
23-03 13:58:43,4861001728,2823016448,796790784,7915941888
23-03 13:58:44,4993069056,2685779968,796790784,7921176576
23-03 13:58:45,4994973696,2683863040,796803072,7921176576
23-03 13:58:46,4997730304,2682687488,796803072,7919529984
23-03 13:58:47,5021732864,2656944128,796803072,7921860608
23-03 13:58:48,5027758080,2653401088,796811264,7920701440
23-03 13:58:49,5029412864,2651734016,796811264,7919120384
23-03 13:58:50,5052284928,2628853760,796819456,7919054848
23-03 13:58:51,5047803904,2633203712,796819456,7919251456
23-03 13:58:52,5049032704,2631974912,796819456,7919251456
23-03 13:58:53,5027676160,2653298688,796819456,7919517696
23-03 13:58:54,5038092288,2646708224,796819456,7915950080
23-03 13:58:55,5053800448,2629505024,796831744,7917166592
23-03 13:58:56,5056970752,2626334720,796831744,7916908544
23-03 13:58:57,5052469248,2630836224,796831744,7916843008
23-03 13:58:58,5055266816,2627870720,796839936,7916986368
23-03 13:58:59,5045493760,2637541376,796839936,7917154304
23-03 13:59:00,5045399552,2637504512,796839936,7917551616
23-03 13:59:01,5045231616,2637664256,796839936,7917817856
23-03 13:59:02,5055688704,2629545984,796839936,7914946560
23-03 13:59:03,5057363968,2627858432,796852224,7914954752
23-03 13:59:04,5087989760,2597220352,796852224,7914967040
23-03 13:59:05,5088116736,2597048320,796852224,7914946560
23-03 13:59:06,5071642624,2613432320,796852224,7915102208
23-03 13:59:07,5072367616,2612703232,796852224,7915892736
23-03 13:59:08,5073035264,2612027392,796860416,7915560960
23-03 13:59:09,5075107840,2612449280,796876800,7912792064
23-03 13:59:10,5097545728,2588270592,796876800,7928139776
23-03 13:59:11,5093773312,2593632256,796876800,7923339264
23-03 13:59:12,5055369216,2637434880,796876800,7917613056
23-03 13:59:13,5058023424,2634776576,796876800,7917617152
23-03 13:59:14,5058621440,2634088448,796884992,7918288896
23-03 13:59:15,5041065984,2654130176,796884992,7906807808
23-03 13:59:16,5043716096,2651480064,796884992,7906816000
23-03 13:59:17,5056110592,2638929920,796884992,7906971648
23-03 13:59:18,5058461696,2636521472,796913664,7907000320
23-03 13:59:19,5060157440,2634813440,796913664,7907012608
23-03 13:59:20,5088165888,2606800896,796913664,7907016704
23-03 13:59:21,5019705344,2670125056,796913664,7912677376
23-03 13:59:22,4996341760,2693484544,796913664,7912144896
23-03 13:59:23,5001555968,2690772992,796917760,7909646336
23-03 13:59:24,5001547776,2692370432,796917760,7908057088
23-03 13:59:25,5017825280,2674343936,796917760,7909806080
23-03 13:59:26,5015900160,2676228096,796917760,7909781504
23-03 13:59:27,5008142336,2683981824,796917760,7910051840
23-03 13:59:28,5010051072,2682064896,796930048,7910305792
23-03 13:59:29,4950261760,2744250368,796930048,7907708928
23-03 13:59:30,4950839296,2743672832,796942336,7907438592
23-03 13:59:31,4951371776,2743123968,796942336,7907454976
23-03 13:59:32,4965027840,2729316352,796942336,7907672064
23-03 13:59:33,4965724160,2728476672,796942336,7908880384
23-03 13:59:34,4967653376,2726547456,796942336,7909322752
23-03 13:59:35,4968284160,2725900288,796954624,7907995648
23-03 13:59:36,4961525760,2732560384,796954624,7907852288
23-03 13:59:37,4958244864,2738335744,796954624,7905341440
23-03 13:59:38,4958801920,2737745920,796954624,7905308672
23-03 13:59:39,4917657600,2780483584,796954624,7903948800
23-03 13:59:40,4905406464,2790682624,796966912,7906086912
23-03 13:59:41,4906303488,2790035456,796966912,7906095104
23-03 13:59:42,4905861120,2790465536,796966912,7905775616
23-03 13:59:43,4901203968,2797625344,796966912,7903080448
23-03 13:59:44,4847001600,2851733504,796966912,7903174656
23-03 13:59:45,4847308800,2851315712,796971008,7903281152
23-03 13:59:46,4849586176,2850631680,796971008,7901687808
23-03 13:59:47,4858048512,2840391680,796971008,7903989760
23-03 13:59:48,4859744256,2838683648,796971008,7903936512
23-03 13:59:49,4851417088,2852306944,796975104,7898353664
23-03 13:59:50,4872273920,2831544320,796975104,7897989120
23-03 13:59:51,4873998336,2832224256,796991488,7895633920
23-03 13:59:52,4859592704,2846625792,796991488,7895638016
23-03 13:59:53,4860268544,2845949952,796991488,7895638016
23-03 13:59:54,4861173760,2846593024,797003776,7894601728
23-03 13:59:55,4865867776,2840145920,797003776,7896088576
23-03 13:59:56,4858748928,2847264768,797020160,7895814144
23-03 13:59:57,4858310656,2850193408,797020160,7893258240
23-03 13:59:58,4859719680,2848772096,797020160,7893336064
23-03 13:59:59,4989128704,2714222592,797020160,7898460160
23-03 14:00:00,4989079552,2714271744,797020160,7898460160
23-03 14:00:01,4993052672,2711851008,797032448,7897419776
23-03 14:00:02,4985634816,2717466624,797032448,7898951680
23-03 14:00:03,4985745408,2717351936,797032448,7898697728
23-03 14:00:04,4987240448,2715856896,797032448,7898632192
23-03 14:00:05,4990197760,2715410432,797032448,7896121344
23-03 14:00:06,4991635456,2713960448,797044736,7896186880
23-03 14:00:07,4992647168,2712854528,797044736,7896547328
23-03 14:00:08,4996571136,2708779008,797044736,7896891392
23-03 14:00:09,4998021120,2707324928,797044736,7896694784
23-03 14:00:10,5029122048,2674475008,797044736,7910055936
23-03 14:00:11,5027082240,2680627200,797048832,7902728192
23-03 14:00:12,5028798464,2678906880,797048832,7902535680
23-03 14:00:13,5029175296,2678525952,797048832,7902539776
23-03 14:00:14,5011714048,2695897088,797048832,7903162368
23-03 14:00:15,5000200192,2707365888,797048832,7894736896
23-03 14:00:16,5000822784,2706726912,797061120,7894208512
23-03 14:00:17,4999446528,2707959808,797061120,7894360064
23-03 14:00:18,4998356992,2711552000,797061120,7891857408
23-03 14:00:19,4999163904,2710736896,797069312,7891791872
23-03 14:00:20,5022232576,2687668224,797069312,7891857408
23-03 14:00:21,5020086272,2689802240,797081600,7892381696
23-03 14:00:22,5006159872,2703593472,797081600,7892250624
23-03 14:00:23,5007847424,2701905920,797081600,7891992576
23-03 14:00:24,4974284800,2737070080,797081600,7890391040
23-03 14:00:25,4991950848,2717650944,797081600,7892144128
23-03 14:00:26,4878000128,2834096128,797089792,7889641472
23-03 14:00:27,4863590400,2853826560,797089792,7884787712
23-03 14:00:28,4864106496,2853445632,797089792,7884709888
23-03 14:00:29,4836184064,2881093632,797306880,7884242944
23-03 14:00:30,4830961664,2886295552,797306880,7884279808
23-03 14:00:31,4831735808,2885513216,797310976,7884218368
23-03 14:00:32,4844244992,2872860672,797310976,7884427264
23-03 14:00:33,4847468544,2872135680,797310976,7881916416
23-03 14:00:34,4846460928,2873139200,797310976,7882121216
23-03 14:00:35,4847640576,2871959552,797310976,7882444800
23-03 14:00:36,4847443968,2872107008,797315072,7881900032
23-03 14:00:37,4992139264,2722279424,797315072,7887032320
23-03 14:00:38,4996157440,2718253056,797315072,7887106048
23-03 14:00:39,5000523776,2716274688,797315072,7884718080
23-03 14:00:40,5003792384,2712977408,797315072,7884746752
23-03 14:00:41,5006721024,2710032384,797327360,7885209600
23-03 14:00:42,5008408576,2708344832,797327360,7884943360
23-03 14:00:43,5001478144,2712666112,797327360,7887360000
23-03 14:00:44,4977606656,2736427008,797343744,7887454208
23-03 14:00:45,4978487296,2735542272,797343744,7887458304
23-03 14:00:46,4981026816,2735517696,797343744,7884943360
23-03 14:00:47,5004783616,2711617536,797343744,7885086720
23-03 14:00:48,5008424960,2707976192,797343744,7885545472
23-03 14:00:49,5031313408,2685059072,797347840,7902371840
23-03 14:00:50,5022068736,2694213632,797347840,7902007296
23-03 14:00:51,5024464896,2691788800,797368320,7899242496
23-03 14:00:52,5020921856,2695237632,797368320,7896190976
23-03 14:00:53,5000683520,2715475968,797368320,7896059904
23-03 14:00:54,4986859520,2730897408,797368320,7885484032
23-03 14:00:55,4989853696,2728673280,797368320,7884972032
23-03 14:00:56,5012398080,2706079744,797380608,7892205568
23-03 14:00:57,4893704192,2824732672,797380608,7892246528
23-03 14:00:58,4897464320,2820968448,797380608,7892316160
23-03 14:00:59,4901326848,2816999424,797380608,7891587072
23-03 14:01:00,4902768640,2815553536,797380608,7891521536
23-03 14:01:01,4906663936,2814152704,797388800,7889334272
23-03 14:01:02,4921475072,2799063040,797388800,7889854464
23-03 14:01:03,4922109952,2798419968,797388800,7889530880
23-03 14:01:04,4921679872,2798804992,797392896,7889379328
23-03 14:01:05,4894015488,2831945728,797392896,7883923456
23-03 14:01:06,4893663232,2832281600,797405184,7883927552
23-03 14:01:07,4893978624,2831876096,797405184,7884017664
23-03 14:01:08,4894138368,2831945728,797409280,7884238848
23-03 14:01:09,4894773248,2831306752,797409280,7883784192
23-03 14:01:10,4911083520,2814853120,797409280,7883927552
23-03 14:01:11,4903424000,2822463488,797409280,7881416704
23-03 14:01:12,4905689088,2820198400,797409280,7881482240
23-03 14:01:13,4906594304,2819280896,797421568,7881482240
23-03 14:01:14,5050404864,2675380224,797421568,7881572352
23-03 14:01:15,5057429504,2663292928,797421568,7887077376
23-03 14:01:16,5058113536,2662604800,797421568,7886880768
23-03 14:01:17,5082656768,2637889536,797421568,7886794752
23-03 14:01:18,5082472448,2638028800,797433856,7886827520
23-03 14:01:19,5075550208,2644938752,797446144,7884468224
23-03 14:01:20,5098975232,2621513728,797446144,7884468224
23-03 14:01:21,5100179456,2620309504,797446144,7884734464
23-03 14:01:22,5080977408,2639413248,797446144,7885025280
23-03 14:01:23,5081292800,2639089664,797446144,7884767232
23-03 14:01:24,5085310976,2636673024,797454336,7882964992
23-03 14:01:25,5100412928,2619699200,797462528,7884828672
23-03 14:01:26,5075845120,2644221952,797511680,7881314304
23-03 14:01:27,5077291008,2642804736,797511680,7879520256
23-03 14:01:28,5077463040,2642632704,797511680,7880044544
23-03 14:01:29,5056159744,2663927808,797511680,7879520256
23-03 14:01:30,5055213568,2664779776,797511680,7879622656
23-03 14:01:31,5056364544,2663624704,797515776,7879622656
23-03 14:01:32,5048561664,2671243264,797515776,7879806976
23-03 14:01:33,5048696832,2671104000,797515776,7879745536
23-03 14:01:34,5050544128,2669252608,797515776,7880798208
23-03 14:01:35,5051146240,2668638208,797515776,7880601600
23-03 14:01:36,5051334656,2668437504,797528064,7879761920
23-03 14:01:37,5051609088,2668064768,797528064,7879860224
23-03 14:01:38,5051285504,2668380160,797528064,7879933952
23-03 14:01:39,4920991744,2800226304,797536256,7878373376
23-03 14:01:40,4942630912,2776846336,797536256,7880048640
23-03 14:01:41,4943806464,2775658496,797548544,7880314880
23-03 14:01:42,4943175680,2776543232,797548544,7880384512
23-03 14:01:43,4867993600,2857177088,797548544,7874342912
23-03 14:01:44,4867751936,2857410560,797548544,7874416640
23-03 14:01:45,4870033408,2855038976,797548544,7874506752
23-03 14:01:46,4869296128,2857316352,797564928,7872950272
23-03 14:01:47,4874334208,2850541568,797564928,7874686976
23-03 14:01:48,4875436032,2849435648,797564928,7874891776
23-03 14:01:49,4886040576,2838831104,797564928,7875149824
23-03 14:01:50,4916391936,2808479744,797564928,7875014656
23-03 14:01:51,4916826112,2808020992,797585408,7874760704
23-03 14:01:52,5040836608,2678878208,797585408,7879761920
23-03 14:01:53,5026238464,2693431296,797585408,7879872512
23-03 14:01:54,5027094528,2692567040,797593600,7879872512
23-03 14:01:55,5044723712,2674786304,797593600,7880224768
23-03 14:01:56,5042724864,2676785152,797605888,7881535488
23-03 14:01:57,5043154944,2676350976,797605888,7881388032
23-03 14:01:58,5041647616,2677858304,797605888,7879950336
23-03 14:01:59,5040848896,2678640640,797614080,7879958528
23-03 14:02:00,5035880448,2683416576,797614080,7880146944
23-03 14:02:01,5036769280,2682515456,797614080,7880224768
23-03 14:02:02,5041225728,2677882880,797646848,7880892416
23-03 14:02:03,5041651712,2677456896,797655040,7880552448
23-03 14:02:04,5059268608,2659823616,797663232,7880368128
23-03 14:02:05,5061353472,2657734656,797663232,7880372224
23-03 14:02:06,5061750784,2657333248,797663232,7880310784
23-03 14:02:07,5046018048,2672930816,797663232,7880445952
23-03 14:02:08,5031075840,2687873024,797663232,7881011200
23-03 14:02:09,5031788544,2688749568,797667328,7879442432
23-03 14:02:10,5039104000,2679652352,797667328,7880957952
23-03 14:02:11,4877500416,2841255936,797667328,7880699904
23-03 14:02:12,4876587008,2842169344,797667328,7880699904
23-03 14:02:13,4877316096,2841440256,797667328,7880699904
23-03 14:02:14,4877942784,2840760320,797675520,7880744960
23-03 14:02:15,4878614528,2839990272,797675520,7881109504
23-03 14:02:16,4881305600,2838941696,797675520,7879725056
23-03 14:02:17,4885073920,2833391616,797675520,7880974336
23-03 14:02:18,4884398080,2836594688,797683712,7878381568
23-03 14:02:19,4865605632,2855387136,797683712,7878447104
23-03 14:02:20,4885147648,2841305088,797683712,7872999424
23-03 14:02:21,4884967424,2841440256,797687808,7872974848
23-03 14:02:22,4846399488,2880008192,797687808,7873630208
23-03 14:02:23,4848963584,2877341696,797687808,7873466368
23-03 14:02:24,4849614848,2876686336,797687808,7873212416
