"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dstat/vm_net_int_load_io_vm-adv_unix_udp_swap_fs.csv --vm --net --int --load --io --vm-adv --unix --udp --swap --fs 1 600",,,,"Date:","22 Mar 2023 22:13:13 -03"
"virtual memory",,,,"net/total",,"interrupts",,,"load avg",,,"io/total",,"advanced virtual memory",,,,,"unix sockets",,,,"udp",,"swap",,"filesystem",
0,302,361,128,237,259,0,18,0,0.630,1.870,2.780,0,36,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13184,344461
0,1297,1372,1366,229,187,0,17,0,0.660,1.850,2.770,0,0,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13184,344461
0,21,78,96,167,187,0,15,0,0.660,1.850,2.770,0,0,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13184,344461
0,1564,1383,1349,0,0,0,43,0,0.660,1.850,2.770,0,0,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13152,344461
0,5337,6567,3393,15817,5309,0,34,0,0.660,1.850,2.770,0,0,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13184,344509
0,10,394,134,1404,631,0,21,0,0.660,1.850,2.770,0,26,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13152,344510
0,1949,2328,2675,0,0,0,15,0,0.690,1.840,2.760,0,0,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13120,344536
0,451,294,342,0,358,0,13,0,0.690,1.840,2.760,0,0,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13120,344544
0,1342,1390,1363,0,0,0,14,0,0.690,1.840,2.760,0,0,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13120,344545
0,30,118,87,56,74,0,40,0,0.690,1.840,2.760,0,0,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13120,344545
0,24,81,95,0,0,0,14,0,0.690,1.840,2.760,0,0,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13120,344545
0,1859,2062,11954,167,187,0,19,0,0.790,1.840,2.750,0,16,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13152,344586
0,4690,5246,385,0,0,0,14,0,0.790,1.840,2.750,0,0,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13120,344591
0,1626,2041,2032,0,358,0,15,0,0.790,1.840,2.750,0,0,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13120,344619
0,25,238,1770,0,0,0,12,0,0.790,1.840,2.750,0,0,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13120,344621
0,691,2080,1739,13007,5100,0,62,0,0.790,1.840,2.750,0,0,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13120,344640
0,1367,1430,2178,5031,1631,0,28,0,0.810,1.830,2.740,0,40,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13120,344639
0,4,62,78,0,0,0,15,0,0.810,1.830,2.740,0,0,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13120,344638
0,1301,2946,1873,0,358,0,17,0,0.810,1.830,2.740,0,16,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13120,344639
0,5459,8735,1415,0,0,0,14,0,0.810,1.830,2.740,0,0,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13152,344698
0,1071,1853,441,334,446,0,18,0,0.810,1.830,2.740,0,4,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13152,344728
0,1322,1477,2486,229,187,0,38,0,0.740,1.800,2.730,0,40,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13152,344728
0,4315,3640,3942,0,0,0,13,0,0.740,1.800,2.730,0,0,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13184,344736
0,1985,1674,1719,0,358,0,15,0,0.740,1.800,2.730,0,0,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13184,344668
0,96,95,85,0,0,0,15,0,0.740,1.800,2.730,0,0,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13184,344668
0,631,1198,1179,240,0,0,17,0,0.740,1.800,2.730,2,636,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13184,344668
0,2953,2503,2731,1619,4490,0,22,0,0.680,1.770,2.710,0,0,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13152,344633
0,5311,6775,8399,15797,1410,0,58,0,0.680,1.770,2.710,0,30,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13152,344667
0,2385,1981,1982,1328,3550,0,23,0,0.680,1.770,2.710,0,0,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13152,344668
0,2624,2126,2128,30349,3014,0,31,0,0.680,1.770,2.710,0,0,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13152,344668
0,63,246,763,128,106,0,18,0,0.680,1.770,2.710,0,0,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13152,344677
0,1547,1829,2786,82,0,0,15,0,0.630,1.740,2.700,0,44,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13152,344676
0,80,444,4475,213,187,0,18,0,0.630,1.740,2.700,0,28,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13152,344676
0,1505,1593,2059,167,187,0,39,0,0.630,1.740,2.700,0,0,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13152,344675
0,7554,8465,4868,0,358,0,15,0,0.630,1.740,2.700,0,0,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13152,344749
0,1315,1042,584,124,106,0,18,0,0.630,1.740,2.700,0,0,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13152,344751
0,1974,2305,2251,167,187,0,18,0,0.580,1.710,2.680,0,32,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13152,344750
0,3326,2771,2781,1619,4490,0,29,0,0.580,1.710,2.680,0,0,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13152,344764
0,1293,1512,2103,15602,1324,0,27,0,0.580,1.710,2.680,0,16,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13152,344762
0,291,230,384,0,358,0,36,0,0.580,1.710,2.680,0,0,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13152,344761
0,81,183,297,866,446,0,25,0,0.580,1.710,2.680,0,0,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13152,344760
0,2690,3304,3927,0,0,0,15,0,0.610,1.700,2.670,0,26,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13152,344788
0,5351,6429,2162,0,0,0,16,0,0.610,1.700,2.670,0,0,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13152,344834
0,1530,1557,1439,13926,6872,0,45,0,0.610,1.700,2.670,0,0,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13152,344836
0,71,229,2632,163,619,0,20,0,0.610,1.700,2.670,0,14,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13152,343716
0,558,777,560,0,0,0,33,0,0.610,1.700,2.670,0,0,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13152,343726
0,633,1044,1574,0,0,0,15,0,0.560,1.670,2.660,0,64,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13152,343731
0,940,1090,1157,0,0,0,16,0,0.560,1.670,2.660,0,0,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13152,343727
0,2111,2729,4008,1701,4552,0,31,0,0.560,1.670,2.660,0,0,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13152,343756
0,5294,6451,1299,15602,1768,0,31,0,0.560,1.670,2.660,0,0,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13152,343800
0,42,447,655,0,0,0,16,0,0.560,1.670,2.660,0,18,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13152,343800
0,385,756,595,0,0,0,34,0,0.520,1.640,2.640,0,46,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13152,343800
1,4299,5483,4630,0,0,0,16,0,0.520,1.640,2.640,2,0,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13184,343817
0,1277,1461,1594,0,0,0,14,0,0.520,1.640,2.640,0,0,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13184,343819
0,27,171,198,0,0,0,15,0,0.520,1.640,2.640,0,56,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13184,343819
0,1173,1391,7274,0,358,0,17,0,0.520,1.640,2.640,0,0,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13184,343847
0,182,442,328,167,187,0,18,0,0.480,1.610,2.630,0,156,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13184,343847
0,6870,7853,10350,0,0,0,32,0,0.480,1.610,2.630,0,0,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13184,343893
0,2244,1804,1984,0,0,0,13,0,0.480,1.610,2.630,0,0,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13184,343825
0,403,471,343,1659,4490,0,31,0,0.480,1.610,2.630,0,0,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13184,343827
0,1276,2244,2122,15799,1941,0,31,0,0.480,1.610,2.630,0,22,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13184,343963
0,269,1201,1185,311,187,0,20,0,0.440,1.580,2.620,0,396,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13184,343963
0,4913,5050,5449,0,0,0,15,0,0.440,1.580,2.620,0,0,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13184,343983
0,1569,1380,1369,0,0,0,36,0,0.440,1.580,2.620,0,0,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13152,343978
0,5136,6234,6610,16045,6010,0,36,0,0.440,1.580,2.620,0,0,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13152,344025
0,9,181,204,2147,2012,0,32,0,0.440,1.580,2.620,0,28,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13152,344024
0,26,1661,1188,0,0,0,13,0,0.480,1.580,2.610,0,300,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13152,344029
0,1796,1649,1757,0,0,0,16,0,0.480,1.580,2.610,0,0,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13152,344037
0,1345,1352,1348,0,0,0,15,0,0.480,1.580,2.610,0,0,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13152,344037
0,811,1531,1079,0,920,0,31,0,0.480,1.580,2.610,0,0,0,0,0,0,0,56,874,54,820,20,7,1835008,1021571072,13152,344068
0,56,147,174,16401,7086,0,40,0,0.480,1.580,2.610,0,0,0,0,0,0,0,56,874,54,820,20,7,1835008,1021571072,13152,344069
0,253,499,5252,2974,3514,0,25,0,0.440,1.550,2.590,0,52,0,0,0,0,0,56,874,54,820,20,7,1835008,1021571072,13152,344069
0,7141,7862,2389,425,1907,0,18,0,0.440,1.550,2.590,0,0,0,0,0,0,0,56,874,54,820,20,7,1835008,1021571072,13184,344113
0,1274,1653,2344,0,0,0,15,0,0.440,1.550,2.590,0,0,0,0,0,0,0,56,874,54,820,20,7,1835008,1021571072,13184,344114
0,24,324,1600,0,0,0,15,0,0.440,1.550,2.590,0,0,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13184,344112
0,639,510,434,326,106,0,40,0,0.440,1.550,2.590,0,0,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13184,344122
0,1061,1734,871,167,545,0,18,0,0.410,1.520,2.580,0,28,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13184,344150
0,1299,1797,1906,167,187,0,18,0,0.410,1.520,2.580,0,52,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13184,344150
0,1291,1361,1381,0,0,0,15,0,0.410,1.520,2.580,0,0,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13184,344150
0,5886,6993,1357,0,0,0,14,0,0.410,1.520,2.580,0,0,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13184,344196
0,72,104,467,245,365,0,18,0,0.410,1.520,2.580,0,0,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13184,344195
0,34,321,426,16614,6359,0,61,0,0.380,1.500,2.560,0,0,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13184,344196
0,1315,1853,2223,876,126,0,19,0,0.380,1.500,2.560,4,116,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13184,344195
0,3180,3658,3684,194,0,0,16,0,0.380,1.500,2.560,0,0,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13216,344233
0,395,246,216,0,0,0,15,0,0.380,1.500,2.560,0,0,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13216,344233
0,6,225,352,0,0,0,14,0,0.380,1.500,2.560,0,0,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13216,344233
0,23,81,98,167,358,0,15,0,0.350,1.470,2.550,0,0,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13216,344233
0,2290,3997,2850,0,0,0,53,0,0.350,1.470,2.550,6,244,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13216,344278
0,1349,1444,1645,0,0,0,14,0,0.350,1.470,2.550,0,0,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13216,344280
0,4332,3811,5489,1249,3192,0,22,0,0.350,1.470,2.550,0,0,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13216,343162
0,2702,4337,5070,28651,3146,0,37,0,0.350,1.470,2.550,0,0,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13216,343210
0,254,85,79,82,358,0,16,0,0.320,1.450,2.540,0,0,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13216,343210
0,1360,1696,1690,18400,5854,0,34,0,0.320,1.450,2.540,0,40,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13216,343209
0,1378,1462,1596,876,126,0,36,0,0.320,1.450,2.540,0,0,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13216,343141
0,6003,7164,4444,0,0,0,15,0,0.320,1.450,2.540,0,0,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13216,343100
0,250,348,359,167,187,0,16,0,0.320,1.450,2.540,0,0,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13216,343099
0,467,245,214,167,545,0,17,0,0.290,1.420,2.520,0,0,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13216,343099
0,2096,3276,4893,0,0,0,15,0,0.290,1.420,2.520,2,466,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13216,343127
0,2067,2228,2650,0,0,0,14,0,0.290,1.420,2.520,0,0,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13184,343137
0,396,535,518,0,0,0,50,0,0.290,1.420,2.520,0,0,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13184,343136
0,3485,2743,2732,167,259,0,14,0,0.290,1.420,2.520,0,0,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13184,343136
0,5,78,73,229,545,0,17,0,0.270,1.400,2.510,0,0,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13184,343136
0,6596,8301,6020,0,0,0,16,0,0.270,1.400,2.510,0,198,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13184,343182
0,1276,1498,1514,17303,5940,0,39,0,0.270,1.400,2.510,0,0,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13184,343181
0,1773,1218,2484,698,0,0,21,0,0.270,1.400,2.510,0,0,0,0,0,0,0,56,874,54,820,17,7,1835008,1021571072,13184,343209
0,12980,12737,3802,20593,10346,0,84,0,0.270,1.400,2.510,0,54,0,0,0,0,0,56,888,54,834,17,8,1835008,1021571072,13184,343366
0,36437,40546,32485,12088,12523,0,66,0,0.250,1.380,2.500,0,256,0,0,0,0,0,56,890,54,836,17,9,1835008,1021571072,13184,343379
0,12080,16545,15881,1538,3035,0,33,0,0.250,1.380,2.500,0,366,0,0,0,0,0,56,890,54,836,17,9,1835008,1021571072,13184,343392
0,998,941,1253,344,345,0,22,0,0.250,1.380,2.500,0,0,0,0,0,0,0,56,890,54,836,17,9,1835008,1021571072,13184,343399
0,31290,34255,32882,44843,2422,0,40,0,0.250,1.380,2.500,0,210,0,0,0,0,0,56,890,54,836,17,9,1835008,1021571072,13216,343435
0,26,150,196,167,187,0,19,0,0.250,1.380,2.500,0,0,0,0,0,0,0,56,892,54,838,17,9,1835008,1021571072,13216,343439
0,1466,1886,2176,78,106,0,42,0,0.230,1.350,2.480,0,0,0,0,0,0,0,56,890,54,836,17,9,1835008,1021571072,13216,343464
0,2857,2846,3311,0,0,0,15,0,0.230,1.350,2.480,0,32,0,0,0,0,0,56,890,54,836,17,9,1835008,1021571072,13248,343464
0,205,313,338,80,956,0,14,0,0.230,1.350,2.480,0,0,0,0,0,0,0,56,890,54,836,17,12,1835008,1021571072,13248,343475
0,1298,1434,1459,17181,4984,0,43,0,0.230,1.350,2.480,0,0,0,0,0,0,0,56,890,54,836,17,9,1835008,1021571072,13248,343474
0,225,552,4953,424,0,0,20,0,0.230,1.350,2.480,0,46,0,0,0,0,0,56,890,54,836,17,9,1835008,1021571072,13248,343473
0,247,123,293,167,187,0,17,0,0.210,1.330,2.470,0,0,0,0,0,0,0,56,890,54,836,17,9,1835008,1021571072,13248,343474
0,6824,7997,5239,0,0,0,38,0,0.210,1.330,2.470,0,0,0,0,0,0,0,56,890,54,836,17,9,1835008,1021571072,13248,343520
0,287,1130,1765,0,0,0,15,0,0.210,1.330,2.470,0,70,0,0,0,0,0,56,890,54,836,17,9,1835008,1021571072,13248,343547
0,1278,1398,1379,70,0,0,17,0,0.210,1.330,2.470,0,0,0,0,0,0,0,56,890,54,836,17,9,1835008,1021571072,13248,343548
0,2866,2294,2726,253,365,0,21,0,0.210,1.330,2.470,0,50,0,0,0,0,0,56,890,54,836,17,9,1835008,1021571072,13216,343549
0,362,314,553,693,430,0,18,0,0.190,1.310,2.450,0,0,0,0,0,0,0,56,890,54,836,17,9,1835008,1021571072,13216,343548
0,1472,1619,1658,0,0,0,14,0,0.190,1.310,2.450,0,0,0,0,0,0,0,56,890,54,836,17,9,1835008,1021571072,13216,343547
0,185,509,477,0,0,0,48,0,0.190,1.310,2.450,0,26,0,0,0,0,0,56,890,54,836,17,9,1835008,1021571072,13216,343547
