"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dstat/socket.csv --time --socket 1 600",,,,"Date:","23 Mar 2023 13:54:36 -03"
"system","sockets",,,,
23-03 13:55:36,1204,26,33,0,0
23-03 13:55:37,1204,26,33,0,0
23-03 13:55:38,1204,26,33,0,0
23-03 13:55:39,1204,26,33,0,0
23-03 13:55:40,1204,26,33,0,0
23-03 13:55:41,1204,26,33,0,0
23-03 13:55:42,1205,26,33,0,0
23-03 13:55:43,1204,26,33,0,0
23-03 13:55:44,1203,26,33,0,0
23-03 13:55:45,1205,26,33,0,0
23-03 13:55:46,1203,26,33,0,0
23-03 13:55:47,1203,26,33,0,0
23-03 13:55:48,1203,26,33,0,0
23-03 13:55:49,1207,26,33,0,0
23-03 13:55:50,1207,26,33,0,0
23-03 13:55:51,1207,26,33,0,0
23-03 13:55:52,1207,26,33,0,0
23-03 13:55:53,1207,26,33,0,0
23-03 13:55:54,1208,26,33,0,0
23-03 13:55:55,1208,26,33,0,0
23-03 13:55:56,1225,26,33,0,0
23-03 13:55:57,1226,26,33,0,0
23-03 13:55:58,1224,26,33,0,0
23-03 13:55:59,1225,26,33,0,0
23-03 13:56:00,1228,26,36,0,0
23-03 13:56:01,1228,26,36,0,0
23-03 13:56:02,1228,26,36,0,0
23-03 13:56:03,1228,26,36,0,0
23-03 13:56:04,1228,26,36,0,0
23-03 13:56:05,1225,26,33,0,0
23-03 13:56:06,1225,26,33,0,0
23-03 13:56:07,1225,26,33,0,0
23-03 13:56:08,1225,26,33,0,0
23-03 13:56:09,1225,26,33,0,0
23-03 13:56:10,1225,26,33,0,0
23-03 13:56:11,1209,26,33,0,0
23-03 13:56:12,1209,26,33,0,0
23-03 13:56:13,1209,26,33,0,0
23-03 13:56:14,1209,26,33,0,0
23-03 13:56:15,1209,26,33,0,0
23-03 13:56:16,1209,26,33,0,0
23-03 13:56:17,1209,26,33,0,0
23-03 13:56:18,1209,26,33,0,0
23-03 13:56:19,1205,26,33,0,0
23-03 13:56:20,1205,26,33,0,0
23-03 13:56:21,1205,26,33,0,0
23-03 13:56:22,1205,26,33,0,0
23-03 13:56:23,1204,26,33,0,0
23-03 13:56:24,1204,26,33,0,0
23-03 13:56:25,1203,26,33,0,0
23-03 13:56:26,1203,26,33,0,0
23-03 13:56:27,1204,26,33,0,0
23-03 13:56:28,1202,26,33,0,0
23-03 13:56:29,1202,26,33,0,0
23-03 13:56:30,1202,26,33,0,0
23-03 13:56:31,1202,26,33,0,0
23-03 13:56:32,1202,26,33,0,0
23-03 13:56:33,1202,26,33,0,0
23-03 13:56:34,1202,26,33,0,0
23-03 13:56:35,1202,26,33,0,0
23-03 13:56:36,1202,26,33,0,0
23-03 13:56:37,1204,25,33,0,0
23-03 13:56:38,1201,25,33,0,0
23-03 13:56:39,1201,25,33,0,0
23-03 13:56:40,1201,25,33,0,0
23-03 13:56:41,1201,25,33,0,0
23-03 13:56:42,1201,25,33,0,0
23-03 13:56:43,1201,25,33,0,0
23-03 13:56:44,1201,25,33,0,0
23-03 13:56:45,1201,25,33,0,0
23-03 13:56:46,1201,25,33,0,0
23-03 13:56:47,1201,25,33,0,0
23-03 13:56:48,1201,25,33,0,0
23-03 13:56:49,1201,25,33,0,0
23-03 13:56:50,1201,25,33,0,0
23-03 13:56:51,1201,25,33,0,0
23-03 13:56:52,1201,25,33,0,0
23-03 13:56:53,1201,25,33,0,0
23-03 13:56:54,1202,25,33,0,0
23-03 13:56:55,1202,25,33,0,0
23-03 13:56:56,1202,25,33,0,0
23-03 13:56:57,1203,25,33,0,0
23-03 13:56:58,1202,25,33,0,0
23-03 13:56:59,1202,25,33,0,0
23-03 13:57:00,1202,25,33,0,0
23-03 13:57:01,1202,25,33,0,0
23-03 13:57:02,1202,25,33,0,0
23-03 13:57:03,1202,25,33,0,0
23-03 13:57:04,1202,25,33,0,0
23-03 13:57:05,1202,25,33,0,0
23-03 13:57:06,1202,25,33,0,0
23-03 13:57:07,1202,25,33,0,0
23-03 13:57:08,1202,25,33,0,0
23-03 13:57:09,1202,25,33,0,0
23-03 13:57:10,1202,25,33,0,0
23-03 13:57:11,1202,25,33,0,0
23-03 13:57:12,1202,25,33,0,0
23-03 13:57:13,1202,25,33,0,0
23-03 13:57:14,1202,25,33,0,0
23-03 13:57:15,1202,25,33,0,0
23-03 13:57:16,1202,25,33,0,0
23-03 13:57:17,1202,25,33,0,0
23-03 13:57:18,1202,25,33,0,0
23-03 13:57:19,1202,25,33,0,0
23-03 13:57:20,1202,25,33,0,0
23-03 13:57:21,1202,25,33,0,0
23-03 13:57:22,1202,25,33,0,0
23-03 13:57:23,1201,25,33,0,0
23-03 13:57:24,1201,25,33,0,0
23-03 13:57:25,1201,25,33,0,0
23-03 13:57:26,1201,25,33,0,0
23-03 13:57:27,1202,25,33,0,0
23-03 13:57:28,1201,25,33,0,0
23-03 13:57:29,1201,25,33,0,0
23-03 13:57:30,1201,25,33,0,0
23-03 13:57:31,1201,25,33,0,0
23-03 13:57:32,1201,25,33,0,0
23-03 13:57:33,1201,25,33,0,0
23-03 13:57:34,1201,25,33,0,0
23-03 13:57:35,1201,25,33,0,0
23-03 13:57:36,1201,25,33,0,0
23-03 13:57:37,1201,25,33,0,0
23-03 13:57:38,1201,25,33,0,0
23-03 13:57:39,1201,25,33,0,0
23-03 13:57:40,1201,25,33,0,0
23-03 13:57:41,1201,25,33,0,0
23-03 13:57:42,1201,25,33,0,0
23-03 13:57:43,1201,25,33,0,0
23-03 13:57:44,1201,25,33,0,0
23-03 13:57:45,1201,25,33,0,0
23-03 13:57:46,1201,25,33,0,0
23-03 13:57:47,1201,25,33,0,0
23-03 13:57:48,1201,25,33,0,0
23-03 13:57:49,1201,25,33,0,0
23-03 13:57:50,1201,25,33,0,0
23-03 13:57:51,1201,25,33,0,0
23-03 13:57:52,1201,25,33,0,0
23-03 13:57:53,1201,25,33,0,0
23-03 13:57:54,1201,25,33,0,0
23-03 13:57:55,1201,25,33,0,0
23-03 13:57:56,1201,25,33,0,0
23-03 13:57:57,1202,25,33,0,0
23-03 13:57:58,1199,20,36,0,0
23-03 13:57:59,1202,19,41,0,0
23-03 13:58:00,1205,19,41,0,0
23-03 13:58:01,1211,18,43,0,0
23-03 13:58:02,1214,18,43,0,0
23-03 13:58:03,1215,18,42,0,0
23-03 13:58:04,1214,22,37,0,0
23-03 13:58:05,1210,22,37,0,0
23-03 13:58:06,1210,22,37,0,0
23-03 13:58:07,1210,22,37,0,0
23-03 13:58:08,1207,22,34,0,0
23-03 13:58:09,1207,22,34,0,0
23-03 13:58:10,1208,23,34,0,0
23-03 13:58:11,1206,23,36,0,0
23-03 13:58:12,1207,22,36,0,0
23-03 13:58:13,1206,22,36,0,0
23-03 13:58:14,1206,22,36,0,0
23-03 13:58:15,1204,22,34,0,0
23-03 13:58:16,1206,22,34,0,0
23-03 13:58:17,1203,22,34,0,0
23-03 13:58:18,1203,22,34,0,0
23-03 13:58:19,1203,22,34,0,0
23-03 13:58:20,1204,23,34,0,0
23-03 13:58:21,1208,22,37,0,0
23-03 13:58:22,1205,24,34,0,0
23-03 13:58:23,1205,24,34,0,0
23-03 13:58:24,1205,24,34,0,0
23-03 13:58:25,1205,24,34,0,0
23-03 13:58:26,1205,24,34,0,0
23-03 13:58:27,1206,24,34,0,0
23-03 13:58:28,1205,24,34,0,0
23-03 13:58:29,1205,24,34,0,0
23-03 13:58:30,1205,24,34,0,0
23-03 13:58:31,1205,24,34,0,0
23-03 13:58:32,1206,25,34,0,0
23-03 13:58:33,1206,25,34,0,0
23-03 13:58:34,1206,25,34,0,0
23-03 13:58:35,1206,25,34,0,0
23-03 13:58:36,1206,25,34,0,0
23-03 13:58:37,1207,26,34,0,0
23-03 13:58:38,1206,25,34,0,0
23-03 13:58:39,1208,25,34,0,0
23-03 13:58:40,1208,25,34,0,0
23-03 13:58:41,1208,25,34,0,0
23-03 13:58:42,1209,25,34,0,0
23-03 13:58:43,1210,27,34,0,0
23-03 13:58:44,1210,27,34,0,0
23-03 13:58:45,1210,27,34,0,0
23-03 13:58:46,1209,26,34,0,0
23-03 13:58:47,1209,26,34,0,0
23-03 13:58:48,1211,28,34,0,0
23-03 13:58:49,1211,28,34,0,0
23-03 13:58:50,1211,28,34,0,0
23-03 13:58:51,1211,28,34,0,0
23-03 13:58:52,1211,28,34,0,0
23-03 13:58:53,1214,29,34,0,0
23-03 13:58:54,1211,28,34,0,0
23-03 13:58:55,1211,28,34,0,0
23-03 13:58:56,1211,28,34,0,0
23-03 13:58:57,1211,28,34,0,0
23-03 13:58:58,1211,28,34,0,0
23-03 13:58:59,1211,28,34,0,0
23-03 13:59:00,1211,28,34,0,0
23-03 13:59:01,1211,28,34,0,0
23-03 13:59:02,1211,28,34,0,0
23-03 13:59:03,1211,28,34,0,0
23-03 13:59:04,1211,28,34,0,0
23-03 13:59:05,1211,28,34,0,0
23-03 13:59:06,1212,29,34,0,0
23-03 13:59:07,1212,29,34,0,0
23-03 13:59:08,1212,29,34,0,0
23-03 13:59:09,1211,29,34,0,0
23-03 13:59:10,1211,29,34,0,0
23-03 13:59:11,1211,29,34,0,0
23-03 13:59:12,1212,29,34,0,0
23-03 13:59:13,1211,29,34,0,0
23-03 13:59:14,1211,29,34,0,0
23-03 13:59:15,1211,29,34,0,0
23-03 13:59:16,1211,29,34,0,0
23-03 13:59:17,1211,29,34,0,0
23-03 13:59:18,1211,29,34,0,0
23-03 13:59:19,1211,29,34,0,0
23-03 13:59:20,1211,29,34,0,0
23-03 13:59:21,1211,29,34,0,0
23-03 13:59:22,1211,29,34,0,0
23-03 13:59:23,1211,29,34,0,0
23-03 13:59:24,1211,29,34,0,0
23-03 13:59:25,1211,29,34,0,0
23-03 13:59:26,1211,29,34,0,0
23-03 13:59:27,1211,28,34,0,0
23-03 13:59:28,1210,28,34,0,0
23-03 13:59:29,1210,28,34,0,0
23-03 13:59:30,1210,28,34,0,0
23-03 13:59:31,1210,28,34,0,0
23-03 13:59:32,1210,28,34,0,0
23-03 13:59:33,1210,28,34,0,0
23-03 13:59:34,1210,28,34,0,0
23-03 13:59:35,1210,28,34,0,0
23-03 13:59:36,1211,29,34,0,0
23-03 13:59:37,1211,29,34,0,0
23-03 13:59:38,1210,28,34,0,0
23-03 13:59:39,1210,28,34,0,0
23-03 13:59:40,1211,29,34,0,0
23-03 13:59:41,1211,29,34,0,0
23-03 13:59:42,1212,29,34,0,0
23-03 13:59:43,1212,30,34,0,0
23-03 13:59:44,1211,29,34,0,0
23-03 13:59:45,1211,29,34,0,0
23-03 13:59:46,1211,29,34,0,0
23-03 13:59:47,1211,29,34,0,0
23-03 13:59:48,1211,29,34,0,0
23-03 13:59:49,1211,29,34,0,0
23-03 13:59:50,1211,29,34,0,0
23-03 13:59:51,1211,29,34,0,0
23-03 13:59:52,1211,29,34,0,0
23-03 13:59:53,1211,29,34,0,0
23-03 13:59:54,1211,29,34,0,0
23-03 13:59:55,1211,29,34,0,0
23-03 13:59:56,1211,29,34,0,0
23-03 13:59:57,1212,29,34,0,0
23-03 13:59:58,1211,29,34,0,0
23-03 13:59:59,1211,29,34,0,0
23-03 14:00:00,1211,29,34,0,0
23-03 14:00:01,1211,29,34,0,0
23-03 14:00:02,1211,29,34,0,0
23-03 14:00:03,1214,29,37,0,0
23-03 14:00:04,1214,29,37,0,0
23-03 14:00:05,1214,29,37,0,0
23-03 14:00:06,1213,28,37,0,0
23-03 14:00:07,1213,28,37,0,0
23-03 14:00:08,1210,28,34,0,0
23-03 14:00:09,1210,28,34,0,0
23-03 14:00:10,1213,29,34,0,0
23-03 14:00:11,1213,29,34,0,0
23-03 14:00:12,1214,29,34,0,0
23-03 14:00:13,1213,29,34,0,0
23-03 14:00:14,1213,29,34,0,0
23-03 14:00:15,1213,29,34,0,0
23-03 14:00:16,1213,29,34,0,0
23-03 14:00:17,1213,29,34,0,0
23-03 14:00:18,1213,29,34,0,0
23-03 14:00:19,1213,29,34,0,0
23-03 14:00:20,1212,28,34,0,0
23-03 14:00:21,1212,28,34,0,0
23-03 14:00:22,1212,28,34,0,0
23-03 14:00:23,1212,28,34,0,0
23-03 14:00:24,1216,30,34,0,0
23-03 14:00:25,1216,30,34,0,0
23-03 14:00:26,1215,29,34,0,0
23-03 14:00:27,1216,29,34,0,0
23-03 14:00:28,1211,27,34,0,0
23-03 14:00:29,1211,27,34,0,0
23-03 14:00:30,1208,26,34,0,0
23-03 14:00:31,1208,26,34,0,0
23-03 14:00:32,1208,26,34,0,0
23-03 14:00:33,1208,26,34,0,0
23-03 14:00:34,1208,26,34,0,0
23-03 14:00:35,1208,26,34,0,0
23-03 14:00:36,1208,26,34,0,0
23-03 14:00:37,1208,26,34,0,0
23-03 14:00:38,1208,26,34,0,0
23-03 14:00:39,1208,26,34,0,0
23-03 14:00:40,1208,26,34,0,0
23-03 14:00:41,1208,26,34,0,0
23-03 14:00:42,1209,26,34,0,0
23-03 14:00:43,1208,26,34,0,0
23-03 14:00:44,1208,26,34,0,0
23-03 14:00:45,1208,26,34,0,0
23-03 14:00:46,1208,26,34,0,0
23-03 14:00:47,1208,26,34,0,0
23-03 14:00:48,1208,26,34,0,0
23-03 14:00:49,1212,26,34,0,0
23-03 14:00:50,1212,26,34,0,0
23-03 14:00:51,1212,26,34,0,0
23-03 14:00:52,1212,26,34,0,0
23-03 14:00:53,1212,26,34,0,0
23-03 14:00:54,1213,26,34,0,0
23-03 14:00:55,1213,26,34,0,0
23-03 14:00:56,1228,26,34,0,0
23-03 14:00:57,1229,26,34,0,0
23-03 14:00:58,1228,26,34,0,0
23-03 14:00:59,1227,25,34,0,0
23-03 14:01:00,1227,25,34,0,0
23-03 14:01:01,1227,25,34,0,0
23-03 14:01:02,1227,25,34,0,0
23-03 14:01:03,1227,25,34,0,0
23-03 14:01:04,1227,25,34,0,0
23-03 14:01:05,1228,26,34,0,0
23-03 14:01:06,1227,25,34,0,0
23-03 14:01:07,1227,25,34,0,0
23-03 14:01:08,1227,25,34,0,0
23-03 14:01:09,1227,25,34,0,0
23-03 14:01:10,1227,25,34,0,0
23-03 14:01:11,1221,25,34,0,0
23-03 14:01:12,1222,25,34,0,0
23-03 14:01:13,1221,25,34,0,0
23-03 14:01:14,1221,25,34,0,0
23-03 14:01:15,1221,25,34,0,0
23-03 14:01:16,1221,25,34,0,0
23-03 14:01:17,1221,25,34,0,0
23-03 14:01:18,1221,25,34,0,0
23-03 14:01:19,1217,25,34,0,0
23-03 14:01:20,1217,25,34,0,0
23-03 14:01:21,1217,25,34,0,0
23-03 14:01:22,1217,25,34,0,0
23-03 14:01:23,1216,25,34,0,0
23-03 14:01:24,1216,25,34,0,0
23-03 14:01:25,1215,25,34,0,0
23-03 14:01:26,1206,24,34,0,0
23-03 14:01:27,1207,24,34,0,0
23-03 14:01:28,1206,24,34,0,0
23-03 14:01:29,1206,24,34,0,0
23-03 14:01:30,1206,24,34,0,0
23-03 14:01:31,1206,24,34,0,0
23-03 14:01:32,1206,24,34,0,0
23-03 14:01:33,1206,24,34,0,0
23-03 14:01:34,1206,24,34,0,0
23-03 14:01:35,1206,24,34,0,0
23-03 14:01:36,1205,23,34,0,0
23-03 14:01:37,1209,24,34,0,0
23-03 14:01:38,1205,23,34,0,0
23-03 14:01:39,1205,23,34,0,0
23-03 14:01:40,1205,23,34,0,0
23-03 14:01:41,1205,23,34,0,0
23-03 14:01:42,1206,23,34,0,0
23-03 14:01:43,1205,23,34,0,0
23-03 14:01:44,1205,23,34,0,0
23-03 14:01:45,1205,23,34,0,0
23-03 14:01:46,1205,23,34,0,0
23-03 14:01:47,1205,23,34,0,0
23-03 14:01:48,1205,23,34,0,0
23-03 14:01:49,1206,23,34,0,0
23-03 14:01:50,1206,23,34,0,0
23-03 14:01:51,1206,23,34,0,0
23-03 14:01:52,1206,23,34,0,0
23-03 14:01:53,1206,23,34,0,0
23-03 14:01:54,1207,23,34,0,0
23-03 14:01:55,1207,23,34,0,0
23-03 14:01:56,1207,23,34,0,0
23-03 14:01:57,1208,23,34,0,0
23-03 14:01:58,1207,23,34,0,0
23-03 14:01:59,1207,23,34,0,0
23-03 14:02:00,1207,23,34,0,0
23-03 14:02:01,1207,23,34,0,0
23-03 14:02:02,1207,23,34,0,0
23-03 14:02:03,1210,23,37,0,0
23-03 14:02:04,1210,23,37,0,0
23-03 14:02:05,1210,23,37,0,0
23-03 14:02:06,1210,23,37,0,0
23-03 14:02:07,1210,23,37,0,0
23-03 14:02:08,1207,23,34,0,0
23-03 14:02:09,1208,24,34,0,0
23-03 14:02:10,1207,23,34,0,0
23-03 14:02:11,1207,23,34,0,0
23-03 14:02:12,1208,23,34,0,0
23-03 14:02:13,1207,23,34,0,0
23-03 14:02:14,1207,23,34,0,0
23-03 14:02:15,1207,23,34,0,0
23-03 14:02:16,1207,23,34,0,0
23-03 14:02:17,1207,23,34,0,0
23-03 14:02:18,1206,23,34,0,0
23-03 14:02:19,1206,23,34,0,0
23-03 14:02:20,1206,23,34,0,0
23-03 14:02:21,1206,23,34,0,0
23-03 14:02:22,1206,23,34,0,0
23-03 14:02:23,1205,23,34,0,0
23-03 14:02:24,1205,23,34,0,0
23-03 14:02:25,1205,23,34,0,0
23-03 14:02:26,1205,23,34,0,0
23-03 14:02:27,1206,23,34,0,0
23-03 14:02:28,1207,23,34,0,0
23-03 14:02:29,1205,23,34,0,0
23-03 14:02:30,1205,23,34,0,0
23-03 14:02:31,1205,23,34,0,0
23-03 14:02:32,1205,23,34,0,0
23-03 14:02:33,1205,23,34,0,0
23-03 14:02:34,1205,23,34,0,0
23-03 14:02:35,1205,23,34,0,0
23-03 14:02:36,1205,23,34,0,0
23-03 14:02:37,1205,23,34,0,0
23-03 14:02:38,1205,23,34,0,0
23-03 14:02:39,1205,23,34,0,0
23-03 14:02:40,1205,23,34,0,0
23-03 14:02:41,1207,22,37,0,0
23-03 14:02:42,1206,23,34,0,0
23-03 14:02:43,1205,23,34,0,0
23-03 14:02:44,1205,23,34,0,0
23-03 14:02:45,1205,23,34,0,0
23-03 14:02:46,1205,23,34,0,0
23-03 14:02:47,1205,23,34,0,0
23-03 14:02:48,1205,23,34,0,0
23-03 14:02:49,1205,23,34,0,0
23-03 14:02:50,1205,23,34,0,0
23-03 14:02:51,1205,23,34,0,0
23-03 14:02:52,1205,23,34,0,0
23-03 14:02:53,1205,23,34,0,0
23-03 14:02:54,1205,23,34,0,0
23-03 14:02:55,1205,23,34,0,0
23-03 14:02:56,1205,23,34,0,0
23-03 14:02:57,1206,23,34,0,0
23-03 14:02:58,1205,23,34,0,0
23-03 14:02:59,1205,23,34,0,0
23-03 14:03:00,1205,23,34,0,0
23-03 14:03:01,1205,23,34,0,0
23-03 14:03:02,1205,23,34,0,0
23-03 14:03:03,1205,23,34,0,0
23-03 14:03:04,1205,23,34,0,0
23-03 14:03:05,1205,23,34,0,0
23-03 14:03:06,1205,23,34,0,0
23-03 14:03:07,1205,23,34,0,0
23-03 14:03:08,1205,23,34,0,0
23-03 14:03:09,1205,23,34,0,0
23-03 14:03:10,1205,23,34,0,0
23-03 14:03:11,1206,23,34,0,0
23-03 14:03:12,1207,23,34,0,0
23-03 14:03:13,1206,23,34,0,0
23-03 14:03:14,1206,23,34,0,0
23-03 14:03:15,1208,23,34,0,0
23-03 14:03:16,1206,23,34,0,0
23-03 14:03:17,1206,23,34,0,0
23-03 14:03:18,1206,23,34,0,0
23-03 14:03:19,1206,23,34,0,0
23-03 14:03:20,1206,23,34,0,0
23-03 14:03:21,1206,23,34,0,0
23-03 14:03:22,1207,24,34,0,0
23-03 14:03:23,1207,24,34,0,0
23-03 14:03:24,1207,24,34,0,0
23-03 14:03:25,1207,24,34,0,0
23-03 14:03:26,1207,24,34,0,0
23-03 14:03:27,1208,24,34,0,0
23-03 14:03:28,1207,24,34,0,0
23-03 14:03:29,1207,24,34,0,0
23-03 14:03:30,1207,24,34,0,0
23-03 14:03:31,1207,24,34,0,0
23-03 14:03:32,1207,24,34,0,0
23-03 14:03:33,1207,24,34,0,0
23-03 14:03:34,1207,24,34,0,0
23-03 14:03:35,1208,24,34,0,0
23-03 14:03:36,1208,24,34,0,0
23-03 14:03:37,1208,24,34,0,0
23-03 14:03:38,1208,24,34,0,0
23-03 14:03:39,1208,24,34,0,0
23-03 14:03:40,1208,24,34,0,0
23-03 14:03:41,1207,24,34,0,0
23-03 14:03:42,1208,24,34,0,0
23-03 14:03:43,1207,24,34,0,0
23-03 14:03:44,1207,24,34,0,0
23-03 14:03:45,1207,24,34,0,0
23-03 14:03:46,1207,24,34,0,0
23-03 14:03:47,1207,24,34,0,0
23-03 14:03:48,1207,24,34,0,0
23-03 14:03:49,1207,24,34,0,0
23-03 14:03:50,1208,25,34,0,0
23-03 14:03:51,1207,24,34,0,0
23-03 14:03:52,1207,24,34,0,0
23-03 14:03:53,1210,25,34,0,0
23-03 14:03:54,1207,24,34,0,0
23-03 14:03:55,1207,24,34,0,0
23-03 14:03:56,1207,24,34,0,0
23-03 14:03:57,1207,24,34,0,0
23-03 14:03:58,1207,24,34,0,0
23-03 14:03:59,1207,24,34,0,0
23-03 14:04:00,1207,24,34,0,0
23-03 14:04:01,1207,24,34,0,0
23-03 14:04:02,1207,24,34,0,0
23-03 14:04:03,1210,24,37,0,0
23-03 14:04:04,1210,24,37,0,0
23-03 14:04:05,1210,24,37,0,0
23-03 14:04:06,1210,24,37,0,0
23-03 14:04:07,1210,24,37,0,0
23-03 14:04:08,1206,24,34,0,0
23-03 14:04:09,1206,24,34,0,0
23-03 14:04:10,1206,24,34,0,0
23-03 14:04:11,1206,24,34,0,0
23-03 14:04:12,1206,24,34,0,0
23-03 14:04:13,1206,24,34,0,0
23-03 14:04:14,1206,24,34,0,0
23-03 14:04:15,1206,24,34,0,0
23-03 14:04:16,1206,24,34,0,0
23-03 14:04:17,1206,24,34,0,0
23-03 14:04:18,1206,24,34,0,0
23-03 14:04:19,1206,24,34,0,0
23-03 14:04:20,1206,24,34,0,0
23-03 14:04:21,1206,24,34,0,0
23-03 14:04:22,1206,24,34,0,0
23-03 14:04:23,1206,24,34,0,0
23-03 14:04:24,1206,24,34,0,0
23-03 14:04:25,1206,24,34,0,0
23-03 14:04:26,1206,24,34,0,0
23-03 14:04:27,1205,23,34,0,0
23-03 14:04:28,1205,23,34,0,0
23-03 14:04:29,1205,23,34,0,0
23-03 14:04:30,1205,23,34,0,0
23-03 14:04:31,1205,23,34,0,0
23-03 14:04:32,1205,23,34,0,0
23-03 14:04:33,1205,23,34,0,0
23-03 14:04:34,1205,23,34,0,0
23-03 14:04:35,1205,23,34,0,0
