"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dstat/zones_udp_unix_io_cpu_load_int.csv --zones --udp --unix --io --cpu --load --int 1 600",,,,"Date:","23 Mar 2023 14:04:41 -03"
"zones memory",,,,"udp",,"unix sockets",,,,"io/total",,"total cpu usage",,,,,"load avg",,,"interrupts",,
159767,3141,483504,22688,28,17,56,999,55,944,0,0,9.878,4.634,85.366,0.122,0,1.440,1.160,1.110,0,122,0
159767,3141,483270,22688,28,17,56,999,55,944,0,0,8.416,3.465,88.119,0,0,1.440,1.160,1.110,0,115,0
159767,3141,517111,22688,28,17,56,999,55,944,2,264,10.370,3.951,85.309,0.370,0,1.440,1.160,1.110,0,132,0
159767,3141,516739,22688,28,17,56,999,55,944,0,0,8.946,3.554,87.500,0,0,1.320,1.140,1.100,0,130,0
159767,3141,516770,22688,28,17,56,999,55,944,0,0,8.990,4.803,86.084,0.123,0,1.320,1.140,1.100,0,149,0
159767,3141,517512,22688,25,17,56,999,55,944,4,0,9.158,3.419,87.424,0,0,1.320,1.140,1.100,0,121,0
159767,3141,517287,22688,25,17,56,999,55,944,0,0,9.963,2.952,86.962,0.123,0,1.320,1.140,1.100,0,117,0
159767,3141,517030,22688,25,17,56,999,55,944,0,1946,9.046,4.279,86.553,0.122,0,1.320,1.140,1.100,0,115,0
159767,3141,516723,22688,25,17,56,999,55,944,0,0,9.890,3.785,86.325,0,0,1.220,1.120,1.100,0,115,0
159767,3141,516368,22688,25,17,56,999,55,944,0,0,9.080,4.785,86.012,0.123,0,1.220,1.120,1.100,0,120,0
159767,3141,516077,22688,25,17,56,999,55,944,0,0,9.459,3.317,87.224,0,0,1.220,1.120,1.100,0,169,0
159767,3141,520217,22688,25,17,56,993,55,938,0,0,10.147,4.034,85.697,0.122,0,1.220,1.120,1.100,0,124,0
159767,3141,520761,22688,25,17,56,993,55,938,0,290,10.256,4.151,85.104,0.488,0,1.220,1.120,1.100,0,122,0
159767,3141,486201,22688,25,17,56,993,55,938,0,0,10.174,4.591,85.236,0,0,1.120,1.100,1.090,0,141,0
159767,3141,492120,22688,25,17,56,993,55,938,0,8,10.584,4.623,84.672,0.122,0,1.120,1.100,1.090,0,120,0
159767,3141,492988,22688,25,17,56,989,55,934,0,54,9.693,4.172,86.012,0.123,0,1.120,1.100,1.090,0,119,0
159767,3141,492707,22688,25,17,56,989,55,934,0,0,9.379,3.898,86.602,0.122,0,1.120,1.100,1.090,0,145,0
159767,3141,487126,22688,25,17,56,989,55,934,0,48,9.681,4.044,86.152,0.123,0,1.120,1.100,1.090,0,139,0
159767,3141,487162,22688,25,17,56,989,55,934,2,542,8.447,2.733,88.820,0,0,1.110,1.100,1.090,0,115,0
159767,3141,491600,22688,25,17,56,989,55,934,0,0,9.024,4.512,86.341,0.122,0,1.110,1.100,1.090,0,112,0
159767,3141,491309,22688,25,16,56,989,55,934,0,0,10.207,3.767,86.027,0,0,1.110,1.100,1.090,0,116,0
159767,3141,486668,22688,25,15,56,989,55,934,0,0,9.693,3.313,86.871,0.123,0,1.110,1.100,1.090,0,116,0
159767,3141,489293,22688,25,15,56,989,55,934,0,94,11.330,3.571,84.852,0.246,0,1.110,1.100,1.090,0,143,0
159767,3141,497490,22688,25,15,56,989,55,934,0,232,11.179,4.253,84.447,0.122,0,1.020,1.080,1.080,0,124,0
159767,3141,497284,22688,25,15,56,989,55,934,0,0,9.951,3.563,86.486,0,0,1.020,1.080,1.080,0,140,0
159767,3141,497344,22688,25,14,56,989,55,934,0,0,9.214,3.808,86.855,0.123,0,1.020,1.080,1.080,0,120,0
159767,3141,502279,22688,25,14,56,981,55,926,0,0,9.902,4.401,85.697,0,0,1.020,1.080,1.080,0,119,0
159767,3141,502228,22688,25,14,56,981,55,926,0,14,10.404,3.182,86.047,0.367,0,1.020,1.080,1.080,0,117,0
159767,3141,503946,22688,25,14,56,981,55,926,0,26,10.256,3.053,86.569,0.122,0,0.940,1.070,1.080,0,159,0
159767,3141,502003,22688,25,14,56,981,55,926,0,0,9.902,4.279,85.819,0,0,0.940,1.070,1.080,0,119,0
159767,3141,504908,22688,25,14,56,981,55,926,0,0,9.282,3.465,87.129,0.124,0,0.940,1.070,1.080,0,116,0
159767,3141,504275,22688,25,14,56,981,55,926,0,0,9.023,3.090,87.886,0,0,0.940,1.070,1.080,0,117,0
159767,3141,504497,22688,25,14,56,981,55,926,0,32,9.459,2.948,87.346,0.246,0,0.940,1.070,1.080,0,120,0
159767,3141,504332,22688,25,14,56,981,55,926,0,174,8.924,3.790,87.164,0.122,0,0.860,1.050,1.070,0,117,0
159767,3141,504343,22688,25,14,56,981,55,926,0,0,10.172,3.676,86.029,0.123,0,0.860,1.050,1.070,0,183,0
159767,3141,504034,22688,25,14,56,981,55,926,0,30,8.744,3.941,87.192,0.123,0,0.860,1.050,1.070,0,133,0
159767,3141,531598,22688,25,14,56,981,55,926,0,0,9.080,3.190,87.730,0,0,0.860,1.050,1.070,0,117,0
159767,3141,531704,22688,25,14,56,981,55,926,0,0,10.086,3.198,86.593,0.123,0,0.860,1.050,1.070,0,120,0
159767,3141,531247,22688,25,14,56,981,55,926,0,38,9.571,3.926,86.380,0.123,0,0.790,1.030,1.070,0,114,0
159767,3141,531268,22688,25,14,56,981,55,926,0,0,9.215,3.487,87.298,0,0,0.790,1.030,1.070,0,112,0
159767,3141,534315,22688,25,14,56,981,55,926,0,22,9.057,3.970,86.849,0.124,0,0.790,1.030,1.070,0,162,0
159767,3141,534189,22688,25,14,56,981,55,926,0,0,9.559,3.309,87.010,0.123,0,0.790,1.030,1.070,0,116,0
159767,3141,534227,22688,25,14,56,981,55,926,0,0,9.494,2.836,87.670,0,0,0.790,1.030,1.070,0,119,0
159767,3141,543041,22688,25,14,56,981,55,926,0,1546,10.222,3.941,85.714,0.123,0,0.970,1.060,1.080,0,118,0
159767,3141,539457,22688,25,14,56,981,55,926,0,28,10.025,3.713,86.139,0.124,0,0.970,1.060,1.080,0,117,0
159767,3141,539454,22688,25,14,56,981,55,926,0,0,9.840,4.059,86.101,0,0,0.970,1.060,1.080,0,140,0
159767,3141,539438,22688,25,14,56,981,55,926,0,0,10.332,3.075,86.470,0.123,0,0.970,1.060,1.080,0,161,0
159767,3141,534127,22688,25,14,56,981,55,926,0,0,9.488,2.747,87.765,0,0,0.970,1.060,1.080,0,144,0
159767,3141,535306,22688,25,14,56,981,55,926,0,310,15.242,2.850,81.784,0.124,0,0.970,1.060,1.080,0,131,0
159767,3141,535013,22688,25,14,56,981,55,926,0,18,9.559,3.309,87.010,0.123,0,0.970,1.060,1.080,0,147,0
159767,3141,508535,22688,25,14,56,981,55,926,0,0,10.572,3.980,85.323,0.124,0,0.970,1.060,1.080,0,119,0
159767,3141,498028,22688,25,15,56,981,55,926,0,0,9.741,3.083,87.176,0,0,0.970,1.060,1.080,0,129,0
159767,3141,497740,22688,25,15,56,981,55,926,0,0,9.705,3.317,86.978,0,0,0.970,1.060,1.080,0,164,0
159767,3141,496957,22688,25,15,56,981,55,926,0,286,9.046,3.098,87.608,0.248,0,0.980,1.060,1.080,0,123,0
159767,3141,496986,22688,25,15,56,981,55,926,0,36,9.582,3.808,86.486,0.123,0,0.980,1.060,1.080,0,122,0
159767,3141,499971,22688,25,15,56,981,55,926,0,32,10.012,3.585,86.279,0.124,0,0.980,1.060,1.080,0,118,0
159767,3141,499762,22688,25,15,56,981,55,926,0,40,10.294,2.941,86.642,0.123,0,0.980,1.060,1.080,0,137,0
159767,3141,499994,22688,25,15,56,981,55,926,0,14,8.240,2.871,88.764,0.125,0,0.980,1.060,1.080,0,115,0
159767,3141,499970,22688,25,15,56,981,55,926,0,4,10.784,3.431,85.662,0.123,0,0.980,1.060,1.080,0,159,0
159767,3141,501238,22688,25,15,56,981,55,926,0,0,10.209,3.567,86.224,0,0,0.980,1.060,1.080,0,118,0
159767,3141,501014,22688,25,15,56,981,55,926,0,350,9.840,3.567,86.224,0.369,0,0.980,1.060,1.080,0,121,0
159767,3141,500723,22688,25,15,56,981,55,926,0,0,9.901,3.094,86.881,0.124,0,0.980,1.060,1.080,0,133,0
159767,3141,500625,22688,25,15,56,981,55,926,0,0,9.938,2.733,87.329,0,0,0.980,1.060,1.080,0,128,0
159767,3141,500516,22688,25,15,56,981,55,926,0,0,8.540,2.847,88.490,0.124,0,1.060,1.070,1.080,0,114,0
159767,3141,500237,22688,25,15,56,981,55,926,0,106,9.012,4.198,86.667,0.123,0,1.060,1.070,1.080,0,166,0
159767,3141,499952,22688,25,15,56,981,55,926,0,0,8.582,2.612,88.682,0.124,0,1.060,1.070,1.080,0,115,0
159767,3141,495845,22688,25,15,56,981,55,926,0,24,9.852,3.202,86.823,0.123,0,1.060,1.070,1.080,0,128,0
159767,3141,495557,22688,25,15,56,981,55,926,0,0,10.049,3.309,86.642,0,0,1.060,1.070,1.080,0,129,0
159767,3141,495389,22688,25,15,56,981,55,926,0,0,9.459,3.440,86.978,0.123,0,0.970,1.060,1.080,0,116,0
159767,3141,495235,22688,25,15,56,981,55,926,0,74,8.728,3.616,87.656,0,0,0.970,1.060,1.080,0,115,0
159767,3141,494960,22688,25,15,56,981,55,926,0,0,9.582,3.194,87.101,0.123,0,0.970,1.060,1.080,0,143,0
159767,3141,494845,22688,25,15,56,981,55,926,0,20,9.677,2.978,87.221,0.124,0,0.970,1.060,1.080,0,115,0
159767,3141,495151,22688,25,15,56,981,55,926,0,0,9.565,3.106,87.329,0,0,0.970,1.060,1.080,0,120,0
159767,3141,495103,22688,25,15,56,981,55,926,0,0,9.500,2.500,87.875,0.125,0,0.980,1.060,1.080,0,116,0
159767,3141,492166,22688,25,15,56,981,55,926,0,56,9.148,3.258,87.469,0.125,0,0.980,1.060,1.080,0,124,0
159767,3141,493947,22688,25,15,56,981,55,926,0,0,9.271,3.832,86.774,0.124,0,0.980,1.060,1.080,0,114,0
159767,3141,493725,22688,25,15,56,981,55,926,0,0,8.957,2.945,88.098,0,0,0.980,1.060,1.080,0,142,0
159767,3141,489677,22688,25,15,56,981,55,926,0,30,10.111,3.699,86.067,0.123,0,0.980,1.060,1.080,0,162,0
159767,3141,489693,22688,25,15,56,981,55,926,0,0,8.674,2.850,88.352,0.124,0,0.900,1.040,1.070,0,119,0
159767,3141,492287,22688,25,15,56,981,55,926,0,2716,9.204,4.353,86.194,0.249,0,0.900,1.040,1.070,0,118,0
159767,3141,535360,22688,25,14,56,981,55,926,0,0,8.521,4.010,87.469,0,0,0.900,1.040,1.070,0,111,0
159767,3141,540380,22688,25,14,56,981,55,926,0,0,9.225,3.198,87.454,0.123,0,0.900,1.040,1.070,0,119,0
159767,3141,539913,22688,25,14,56,981,55,926,0,50,9.147,3.337,87.515,0,0,0.900,1.040,1.070,0,147,0
159767,3141,539549,22688,25,14,56,981,55,926,0,0,9.271,2.719,87.886,0.124,0,0.990,1.050,1.070,0,118,0
159767,3141,541662,22688,25,14,56,981,55,926,0,4,9.114,2.497,88.390,0,0,0.990,1.050,1.070,0,117,0
159767,3141,541063,22688,25,14,56,981,55,926,0,0,8.668,3.769,87.437,0.126,0,0.990,1.050,1.070,0,127,0
159767,3141,540770,22688,25,14,56,981,55,926,0,0,8.878,3.576,87.546,0,0,0.990,1.050,1.070,0,117,0
159767,3141,540532,22688,25,14,56,981,55,926,0,22,9.613,2.871,87.391,0.125,0,0.990,1.050,1.070,0,119,0
159767,3141,504449,22688,25,14,56,981,55,926,0,0,9.158,4.703,86.015,0.124,0,1.390,1.140,1.100,0,173,0
159767,3141,504164,22688,25,14,56,981,55,926,0,0,9.471,3.567,86.962,0,0,1.390,1.140,1.100,0,123,0
159767,3141,503611,22688,25,14,56,981,55,926,0,40,9.363,3.995,86.517,0.125,0,1.390,1.140,1.100,0,117,0
159767,3141,503429,22688,25,14,56,981,55,926,0,0,9.518,2.843,87.515,0.124,0,1.390,1.140,1.100,0,118,0
159767,3141,503205,22688,25,14,56,981,55,926,0,0,9.889,3.214,86.897,0,0,1.390,1.140,1.100,0,116,0
159767,3141,503086,22688,25,14,56,981,55,926,0,0,8.933,2.978,87.965,0.124,0,1.280,1.120,1.100,0,116,0
159767,3141,502610,22688,25,14,56,981,55,926,0,40,8.853,3.242,87.656,0.249,0,1.280,1.120,1.100,0,158,0
159767,3141,502512,22688,25,14,56,981,55,926,0,0,7.683,4.030,88.161,0.126,0,1.280,1.120,1.100,0,116,0
159767,3141,503638,22688,25,14,56,981,55,926,0,0,7.587,3.358,89.055,0,0,1.280,1.120,1.100,0,115,0
159767,3141,503567,22688,25,14,56,981,55,926,0,0,8.922,3.346,87.608,0.124,0,1.280,1.120,1.100,0,118,0
159767,3141,503527,22688,25,14,56,981,55,926,0,0,8.933,3.474,87.345,0.248,0,1.420,1.150,1.110,0,135,0
159767,3141,503432,22688,25,14,56,981,55,926,0,18,8.614,3.246,87.890,0.250,0,1.420,1.150,1.110,0,126,0
159767,3141,505093,22688,25,14,56,981,55,926,0,0,9.536,3.262,87.202,0,0,1.420,1.150,1.110,0,165,0
159767,3141,504899,22688,25,14,56,981,55,926,0,0,8.508,3.453,87.916,0.123,0,1.420,1.150,1.110,0,115,0
159767,3141,504876,22688,25,14,56,981,55,926,0,0,7.692,3.026,89.281,0,0,1.420,1.150,1.110,0,114,0
159767,3141,504761,22688,25,14,56,981,55,926,0,0,9.850,2.494,87.531,0.125,0,1.300,1.130,1.100,0,117,0
159767,3141,504621,22688,25,14,56,981,55,926,0,22,8.437,3.598,87.469,0.496,0,1.300,1.130,1.100,0,120,0
159767,3141,503291,22688,25,14,56,981,55,926,0,2714,8.853,3.491,87.531,0.125,0,1.300,1.130,1.100,0,122,0
159767,3141,508055,22688,25,14,56,981,55,926,0,0,8.614,3.620,87.640,0.125,0,1.300,1.130,1.100,0,157,0
159767,3141,502885,22688,25,14,56,981,55,926,0,0,8.989,3.121,87.890,0,0,1.300,1.130,1.100,0,128,0
159767,3141,503005,22688,25,14,56,981,55,926,0,0,9.057,3.102,87.717,0.124,0,1.280,1.130,1.100,0,116,0
159767,3141,502718,22688,25,14,56,981,55,926,0,0,9.034,2.760,87.829,0.376,0,1.280,1.130,1.100,0,151,0
159767,3141,508427,22688,25,14,56,981,55,926,0,16,9.193,3.106,87.329,0.373,0,1.280,1.130,1.100,0,121,0
159767,3141,508444,22688,25,14,56,981,55,926,0,0,7.945,3.026,88.903,0.126,0,1.280,1.130,1.100,0,123,0
159767,3141,507828,22688,25,14,56,981,55,926,0,0,9.826,3.483,86.692,0,0,1.280,1.130,1.100,0,204,0
159767,3141,507682,22688,25,14,56,981,55,926,0,0,9.158,2.970,87.748,0.124,0,1.180,1.110,1.090,0,116,0
159767,3141,507640,22688,25,14,56,981,55,926,0,0,9.726,2.868,87.157,0.249,0,1.180,1.110,1.090,0,119,0
159767,3141,507614,22688,25,14,56,981,55,926,2,10,9.753,3.704,86.296,0.247,0,1.180,1.110,1.090,0,115,0
159767,3141,507801,22688,25,14,56,981,55,926,0,0,8.250,3.875,87.750,0.125,0,1.180,1.110,1.090,0,116,0
159767,3141,509778,22688,25,14,56,981,55,926,0,18,7.779,3.137,88.959,0.125,0,1.180,1.110,1.090,0,116,0
159767,3141,509895,22688,25,14,56,981,55,926,0,0,9.572,2.771,87.657,0,0,1.080,1.090,1.090,0,150,0
159767,3141,510005,22688,25,17,56,981,55,926,0,0,8.900,3.708,87.268,0.124,0,1.080,1.090,1.090,0,122,0
159767,3141,510389,22688,28,14,56,981,55,926,0,0,7.838,2.781,89.381,0,0,1.080,1.090,1.090,0,135,0
159767,3141,510266,22688,28,14,56,981,55,926,0,0,9.012,3.333,87.284,0.370,0,1.080,1.090,1.090,0,126,0
159767,3141,510391,22688,28,14,56,981,55,926,0,24,9.136,3.004,87.735,0.125,0,1.080,1.090,1.090,0,115,0
159767,3141,510257,22688,28,14,56,981,55,926,0,0,8.145,2.882,88.972,0,0,1.150,1.100,1.090,0,116,0
159767,3141,519345,22688,28,14,56,981,55,926,0,0,9.465,2.740,87.671,0.125,0,1.150,1.100,1.090,0,148,0
159767,3141,519899,22688,25,23,56,981,55,926,0,704,8.030,4.517,87.327,0.125,0,1.150,1.100,1.090,0,116,0
159767,3141,490471,22688,25,15,56,981,55,926,0,0,10.481,4.069,85.327,0.123,0,1.150,1.100,1.090,0,150,0
159767,3141,490063,22688,25,15,56,981,55,926,0,0,9.488,3.121,87.391,0,0,1.150,1.100,1.090,0,121,0
