"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dstat/io_zones_net_ipc.csv --io --zones --net --ipc 1 600",,,,"Date:","22 Mar 2023 22:13:13 -03"
"io/total",,"zones memory",,,,"net/total",,"sysv ipc",,
0,156,315892,3141,194154,22176,167,187,0,0,6
0,0,315892,3141,194822,22176,0,0,0,0,6
0,0,315892,3141,194904,22176,0,0,0,0,6
0,0,315892,3141,194686,22176,1659,4490,0,0,6
0,22,315892,3141,195528,22176,15799,1941,0,0,6
0,396,315892,3141,195899,22176,311,187,0,0,6
0,0,315892,3141,196146,22176,0,0,0,0,6
0,0,315892,3141,196035,22176,0,0,0,0,6
0,0,315892,3141,197945,22176,16045,6010,0,0,6
0,28,315892,3141,197945,22176,2147,2012,0,0,6
0,300,315892,3141,197823,22176,0,0,0,0,6
0,0,315892,3141,197828,22176,0,0,0,0,6
0,0,315892,3141,197532,22176,0,0,0,0,6
0,0,315892,3141,197367,22176,0,920,0,0,6
0,0,315892,3141,197313,22176,16401,7086,0,0,6
0,52,315892,3141,200626,22176,2974,3514,0,0,6
0,0,315892,3141,194914,22176,425,1907,0,0,6
0,0,315892,3141,195923,22176,0,0,0,0,6
0,0,315892,3141,195556,22176,0,0,0,0,6
0,0,315892,3141,195556,22176,326,106,0,0,6
0,28,315892,3141,195559,22176,167,545,0,0,6
0,52,315892,3141,195324,22176,167,187,0,0,6
0,0,315892,3141,195271,22176,0,0,0,0,6
0,0,315892,3141,191683,22176,0,0,0,0,6
0,0,315892,3141,191697,22176,245,365,0,0,6
0,0,315892,3141,191604,22176,16614,6359,0,0,6
4,116,315892,3141,191244,22176,876,126,0,0,6
0,0,315892,3141,192141,22176,194,0,0,0,6
0,0,315892,3141,192060,22176,0,0,0,0,6
0,0,315892,3141,191951,22176,0,0,0,0,6
0,0,315892,3141,191951,22176,167,358,0,0,6
6,244,315892,3141,190462,22176,0,0,0,0,6
0,0,315892,3141,190340,22176,0,0,0,0,6
0,0,315892,3141,191251,22176,1249,3192,0,0,6
0,0,315892,3141,193243,22176,28651,3146,0,0,6
0,0,315892,3141,193243,22176,82,358,0,0,6
0,40,315892,3141,193142,22176,18400,5854,0,0,6
0,0,315892,3141,193096,22176,876,126,0,0,6
0,0,315892,3141,189717,22176,0,0,0,0,6
0,0,315892,3141,189657,22176,167,187,0,0,6
0,0,315892,3141,189622,22176,167,545,0,0,6
2,466,315892,3141,191677,22176,0,0,0,0,6
0,0,315892,3141,192246,22176,0,0,0,0,6
0,0,315892,3141,192120,22176,0,0,0,0,6
0,0,315892,3141,192189,22176,167,259,0,0,6
0,0,315892,3141,192063,22176,229,545,0,0,6
0,198,315892,3141,190063,22176,0,0,0,0,6
0,0,315892,3141,189948,22176,17303,5940,0,0,6
0,0,315892,3141,190093,22176,698,0,0,0,6
0,54,315892,3141,185956,22176,20775,10346,0,0,6
0,256,316137,3141,176252,22176,11906,12523,0,0,6
0,366,316156,3141,173423,22176,1538,3035,0,0,6
0,0,316156,3141,173630,22176,344,345,0,0,6
0,210,316156,3141,170764,22176,44843,2422,0,0,6
0,0,316156,3141,170755,22176,167,187,0,0,6
0,0,316156,3141,171170,22176,78,106,0,0,6
0,32,316156,3141,171327,22176,0,0,0,0,6
0,0,316156,3141,171535,22176,80,956,0,0,6
0,0,316156,3141,171663,22176,17181,4984,0,0,6
0,46,316156,3141,176217,22176,424,0,0,0,6
0,0,316156,3141,176465,22176,167,187,0,0,6
0,0,316156,3141,172852,22176,0,0,0,0,6
0,70,316156,3141,174264,22176,0,0,0,0,6
0,0,316156,3141,174083,22176,70,0,0,0,6
0,50,316156,3141,174790,22176,253,365,0,0,6
0,0,316156,3141,174671,22176,693,430,0,0,6
0,0,316156,3141,174671,22176,0,0,0,0,6
0,26,316156,3141,174889,22176,0,0,0,0,6
0,0,316156,3141,175213,22176,298,1707,0,0,6
0,14,316156,3141,183127,22176,15739,3602,0,0,6
0,0,316156,3141,182695,22176,1549,729,0,0,6
0,22,316156,3141,182646,22176,0,0,0,0,6
0,54,316156,3141,182540,22176,0,0,0,0,6
0,0,316156,3141,182491,22176,0,0,0,0,6
0,16,316156,3141,182423,22176,0,0,0,0,6
0,0,316156,3141,182486,22176,0,0,0,0,6
0,0,316156,3141,177513,22176,56,432,0,0,6
0,462,316156,3141,180372,22176,167,187,0,0,6
0,0,316156,3141,180186,22176,0,0,0,0,6
0,100,316156,3141,179888,22176,0,0,0,0,6
0,30,316156,3141,179888,22176,16634,6001,0,0,6
0,0,316156,3141,179832,22176,876,126,0,0,6
0,142,316156,3141,179587,22176,0,358,0,0,6
0,0,316156,3141,183708,22176,0,0,0,0,6
0,0,316156,3141,183715,22176,591,259,0,0,6
0,44,316156,3141,183498,22176,229,187,0,0,6
0,0,316156,3141,183122,22176,0,0,0,0,6
0,268,316156,3141,183098,22176,0,358,0,0,6
0,0,316156,3141,182851,22176,0,0,0,0,6
0,0,316156,3141,182741,22176,0,0,0,0,6
0,22,316156,3141,183308,22176,0,0,0,0,6
0,0,316156,3141,185095,22176,18196,6877,0,0,6
0,32,316156,3141,184909,22176,86,358,0,0,6
0,0,316156,3141,184664,22176,110,130,0,0,6
0,0,316156,3141,184664,22176,0,0,0,0,6
0,34,316156,3141,184664,22176,82,0,0,0,6
0,0,316156,3141,184291,22176,28238,6362,0,0,6
0,42,316156,3141,185144,22176,0,358,0,0,6
0,0,316156,3141,188020,22176,6055,200,0,0,6
0,0,316156,3141,187701,22176,209,187,0,0,6
0,0,316156,3141,187203,22176,334,374,0,0,6
0,20,316156,3141,187204,22176,384,1707,0,0,6
0,0,316156,3141,187113,22176,12427,3205,0,0,6
0,44,316156,3141,187020,22176,0,528,0,0,6
0,0,316156,3141,187370,22176,7325,1577,0,0,6
0,0,316156,3141,187313,22176,229,187,0,0,6
0,0,316156,3141,181715,22176,0,0,0,0,6
0,40,316156,3141,181468,22176,46,0,0,0,6
0,54,316156,3141,181788,22176,0,358,0,0,6
0,0,316156,3141,189230,22176,1480,590,0,0,6
0,0,316156,3141,189236,22176,0,0,0,0,6
0,0,316156,3141,188798,22176,167,187,0,0,6
0,0,316156,3141,192464,22176,0,0,0,0,6
0,436,316156,3141,191477,22176,82,358,0,0,6
0,0,316156,3141,191264,22176,1659,4592,0,0,6
0,0,316156,3141,191155,22176,15928,1702,0,0,6
0,0,316156,3141,191104,22176,258,294,0,0,6
0,0,316156,3141,191238,22176,0,0,0,0,6
0,92,316156,3141,191321,22176,0,0,0,0,6
0,0,316156,3141,191261,22176,240,358,0,0,6
0,0,316156,3141,191201,22176,167,187,0,0,6
0,0,316156,3141,186327,22176,78,106,0,0,6
0,0,316156,3141,191028,22176,0,0,0,0,6
0,392,316156,3141,190588,22176,70,0,0,0,6
0,30,316156,3141,190554,22176,167,617,0,0,6
0,0,316156,3141,189861,22176,12934,4849,0,0,6
0,0,316156,3141,189861,22176,4598,1238,0,0,6
0,0,316156,3141,189813,22176,167,187,0,0,6
0,36,316156,3141,187637,22176,0,0,0,0,6
0,40,316156,3141,187345,22176,0,358,0,0,6
0,0,316156,3141,187349,22176,0,0,0,0,6
0,0,316156,3141,187683,22176,0,0,0,0,6
0,0,316156,3141,190530,22176,0,0,0,0,6
0,24,316156,3141,191053,22176,0,920,0,0,6
0,0,316156,3141,190993,22176,868,1524,0,0,6
0,0,316156,3141,190561,22176,226,1404,0,0,6
0,18,316156,3141,189498,22176,15817,5850,0,0,6
0,0,316156,3141,189514,22176,1500,998,0,0,6
6,64,316156,3141,188874,22176,0,0,0,0,6
0,0,316156,3141,188569,22176,167,187,0,0,6
0,0,316156,3141,188509,22176,167,545,0,0,6
0,0,316156,3141,188575,22176,8505,11085,0,0,6
0,40,316156,3141,188463,22176,0,0,0,0,6
4,386,316156,3141,182819,22176,0,0,0,0,6
0,0,316156,3141,182642,22176,334,446,0,0,6
0,0,316156,3141,182582,22176,229,545,0,0,6
0,0,316156,3141,182904,22176,0,0,0,0,6
0,40,316156,3141,186518,22176,16579,5814,0,0,6
0,0,316156,3141,186333,22176,1043,313,0,0,6
2,82,316156,3141,186271,22176,0,0,0,0,6
0,0,316156,3141,186035,22176,167,358,0,0,6
0,48,316156,3141,185308,22176,0,0,0,0,6
0,0,316156,3141,185202,22176,0,0,0,0,6
0,0,316156,3141,185398,22176,0,0,0,0,6
0,30,316156,3141,185603,22176,842,656,0,0,6
0,0,316156,3141,185480,22176,82,206,0,0,6
0,0,316156,3141,185298,22176,167,545,0,0,6
0,38,316156,3141,185123,22176,0,206,0,0,6
0,0,316156,3141,187211,22176,50408,18058,0,0,6
0,284,316156,3141,186859,22176,15807,896,0,0,6
0,0,316156,3141,188380,22176,167,187,0,0,6
0,0,316156,3141,188128,22176,167,751,0,0,6
0,26,316156,3141,188075,22176,0,0,0,0,6
0,0,316156,3141,188764,22176,0,0,0,0,6
2,42,316156,3141,188610,22176,167,259,0,0,6
0,0,316156,3141,188433,22176,229,187,0,0,6
0,0,316156,3141,184678,22176,0,358,0,0,6
0,0,316156,3141,185320,22176,0,0,0,0,6
0,40,316156,3141,185277,22176,298,1707,0,0,6
6,114,316156,3141,184816,22176,17163,4193,0,0,6
0,0,316156,3141,184847,22176,523,206,0,0,6
0,0,316156,3141,184757,22176,175,358,0,0,6
0,0,316156,3141,184717,22176,0,0,0,0,6
0,26,316156,3141,182306,22176,0,0,0,0,6
4,98,316156,3141,191682,22176,0,0,0,0,6
0,0,316156,3141,191450,22176,0,0,0,0,6
0,0,316156,3141,191079,22176,0,358,0,0,6
0,0,316156,3141,190827,22176,0,0,0,0,6
0,16,316156,3141,190708,22176,298,1707,0,0,6
0,324,316156,3141,190922,22176,18138,8191,0,0,6
0,0,316156,3141,190674,22176,16139,2855,0,0,6
0,0,316156,3141,191311,22176,0,0,0,0,6
0,0,316156,3141,191066,22176,0,0,0,0,6
0,0,316156,3141,191017,22176,70,0,0,0,6
0,126,316156,3141,190908,22176,817,743,0,0,6
0,0,316156,3141,192127,22176,311,187,0,0,6
0,0,316156,3141,191630,22176,0,0,0,0,6
0,0,316156,3141,191511,22176,548,559,0,0,6
0,0,316156,3141,187429,22176,512,445,0,0,6
0,0,316156,3141,187228,22176,0,0,0,0,6
0,128,316156,3141,186856,22176,1249,3192,0,0,6
0,0,316156,3141,188563,22176,15972,2668,0,0,6
0,0,316156,3141,188438,22176,0,0,0,0,6
0,0,316156,3141,187944,22176,167,187,0,0,6
0,0,316156,3141,187947,22176,0,0,0,0,6
0,318,316156,3141,193133,22176,2148,2380,0,0,6
0,0,316156,3141,191810,22176,0,0,0,0,6
0,0,316156,3141,191439,22176,0,0,0,0,6
0,0,316156,3141,191442,22176,0,0,0,0,6
0,0,316156,3141,191386,22176,56,74,0,0,6
0,160,316156,3141,191277,22176,315,625,0,0,6
0,0,316156,3141,191217,22176,1502,3485,0,0,6
0,0,316156,3141,191236,22176,16012,2748,0,0,6
0,0,316156,3141,186321,22176,0,358,0,0,6
0,0,316156,3141,188349,22176,167,259,0,0,6
0,146,316156,3141,188490,22176,229,187,0,0,6
0,0,316156,3141,188374,22176,586,603,0,0,6
0,0,316156,3141,189450,22176,80,40,0,0,6
0,0,316156,3141,189530,22176,0,0,0,0,6
0,0,316156,3141,189605,22176,424,358,0,0,6
0,142,316156,3141,189556,22176,0,0,0,0,6
0,0,316156,3141,188757,22176,0,0,0,0,6
0,0,316156,3141,188897,22176,1249,3192,0,0,6
0,0,316156,3141,188666,22176,15972,2668,0,0,6
0,0,316156,3141,188787,22176,0,358,0,0,6
0,370,316156,3141,189439,22176,82,0,0,0,6
0,0,316156,3141,194663,22176,0,0,0,0,6
0,0,316156,3141,194450,22176,0,0,0,0,6
0,0,316156,3141,189669,22176,0,0,0,0,6
0,0,316156,3141,189364,22176,16625,5754,0,0,6
0,98,316156,3141,189188,22176,15353,1169,0,0,6
0,0,316156,3141,189578,22176,0,0,0,0,6
0,0,316156,3141,190089,22176,0,0,0,0,6
0,0,316156,3141,189640,22176,1786,3505,0,0,6
0,0,316156,3141,189471,22176,15811,2841,0,0,6
0,38,316156,3141,189351,22176,229,545,0,0,6
0,0,316156,3141,188003,22176,0,0,0,0,6
0,0,316156,3141,188022,22176,0,0,0,0,6
0,0,316156,3141,187901,22176,46,0,0,0,6
0,0,316156,3141,187992,22176,46,0,0,0,6
0,24,316156,3141,189257,22176,0,358,0,0,6
0,352,316156,3141,188865,22176,569,0,0,0,6
0,0,316156,3141,188930,22176,175,0,0,0,6
0,0,316156,3141,185467,22176,0,0,0,0,6
0,0,316156,3141,185404,22176,2043,4490,0,0,6
0,0,316156,3141,185292,22176,10964,610,0,0,6
0,202,316156,3141,185298,22176,7158,1318,0,0,6
0,14,316156,3141,185885,22176,0,0,0,0,6
0,46,316156,3141,185770,22176,167,187,0,0,6
0,0,316156,3141,185701,22176,0,0,0,0,6
0,0,316156,3141,185389,22176,167,545,0,0,6
0,42,316156,3141,182385,22176,0,0,0,0,6
0,0,316156,3141,182385,22176,0,0,0,0,6
0,0,316156,3141,182270,22176,70,0,0,0,6
0,12,316156,3141,187759,22176,427,511,0,0,6
0,0,316156,3141,186973,22176,759,430,0,0,6
0,116,316156,3141,187371,22176,1417,3656,0,0,6
0,0,316156,3141,187123,22176,16012,2748,0,0,6
0,0,316156,3141,182681,22176,0,0,0,0,6
0,40,316156,3141,182694,22176,0,0,0,0,6
0,0,316156,3141,182710,22176,0,0,0,0,6
4,316,316156,3141,182876,22176,0,358,0,0,6
0,0,316156,3141,183248,22176,78,106,0,0,6
0,0,316156,3141,183381,22176,0,920,0,0,6
0,0,316156,3141,183211,22176,0,920,0,0,6
0,20,316156,3141,183529,22176,0,920,0,0,6
4,76,316156,3141,184417,22176,0,1278,0,0,6
0,0,316156,3141,184355,22176,1249,3192,0,0,6
0,0,316156,3141,184232,22176,16012,2748,0,0,6
0,0,316156,3141,183927,22176,424,0,0,0,6
0,16,316156,3141,182678,22176,223,261,0,0,6
0,28,316156,3141,182749,22176,0,358,0,0,6
0,0,316156,3141,182762,22176,0,0,0,0,6
0,0,316156,3141,181635,22176,0,0,0,0,6
0,0,316156,3141,181509,22176,167,259,0,0,6
0,10,316156,3141,181265,22176,229,187,0,0,6
0,278,316156,3141,181219,22176,0,0,0,0,6
0,0,316156,3141,181096,22176,194,358,0,0,6
0,0,316156,3141,180977,22176,1249,3192,0,0,6
0,0,316156,3141,180977,22176,16252,2748,0,0,6
0,0,316156,3141,180733,22176,167,0,0,0,6
0,172,316156,3141,178327,22176,0,0,0,0,6
0,0,316156,3141,178261,22176,0,358,0,0,6
0,0,316156,3141,182357,22176,0,0,0,0,6
0,0,316156,3141,182235,22176,0,0,0,0,6
0,0,316156,3141,182116,22176,82,0,0,0,6
0,0,316156,3141,182116,22176,0,0,0,0,6
0,70,316156,3141,181807,22176,0,358,0,0,6
0,0,316156,3141,181328,22176,0,0,0,0,6
0,0,316156,3141,181275,22176,1249,3192,0,0,6
0,0,316156,3141,183304,22176,45249,9147,0,0,6
0,0,316156,3141,183314,22176,0,0,0,0,6
0,152,316156,3141,185970,22176,3649,120,0,0,6
0,0,316156,3141,186255,22176,0,358,0,0,6
0,0,316156,3141,186239,22176,984,930,0,0,6
0,0,316156,3141,186246,22176,229,187,0,0,6
0,0,316156,3141,183006,22176,0,0,0,0,6
0,362,316156,3141,182443,22176,814,2749,0,0,6
0,0,316156,3141,182134,22176,8004,3464,0,0,6
0,0,316156,3141,182134,22176,0,0,0,0,6
0,0,316156,3141,182336,22176,22980,6951,0,0,6
0,0,316156,3141,182273,22176,1611,1217,0,0,6
2,96,316156,3141,182409,22176,687,106,0,0,6
0,0,316156,3141,180467,22176,175,358,0,0,6
0,0,316156,3141,180467,22176,0,0,0,0,6
0,0,316156,3141,180345,22176,0,0,0,0,6
0,0,316156,3141,181556,22176,0,0,0,0,6
6,134,316156,3141,181753,22176,78,106,0,0,6
0,0,316156,3141,183588,22176,0,0,0,0,6
0,0,316156,3141,183465,22176,0,358,0,0,6
0,0,316156,3141,183217,22176,167,187,0,0,6
0,0,316156,3141,182593,22176,15817,5309,0,0,6
2,82,316156,3141,182160,22176,1404,631,0,0,6
0,0,316156,3141,181908,22176,70,0,0,0,6
0,0,316156,3141,181848,22176,167,617,0,0,6
0,44,316156,3141,182674,22176,478,374,0,0,6
0,0,316156,3141,182618,22176,0,0,0,0,6
0,294,316156,3141,183068,22176,385,1955,0,0,6
0,0,316156,3141,182564,22176,16783,4851,0,0,6
0,0,316156,3141,182129,22176,424,358,0,0,6
0,32,316156,3141,182069,22176,226,126,0,0,6
0,0,316156,3141,182468,22176,0,0,0,0,6
0,48,316156,3141,182306,22176,16345,5648,0,0,6
0,0,316156,3141,182136,22176,876,252,0,0,6
0,0,316156,3141,181966,22176,0,0,0,0,6
0,0,316156,3141,181866,22176,0,0,0,0,6
0,18,316156,3141,179870,22176,0,0,0,0,6
0,0,316156,3141,179821,22176,0,0,0,0,6
0,80,316156,3141,179522,22176,0,0,0,0,6
0,0,316156,3141,179978,22176,240,0,0,0,6
0,0,316156,3141,179810,22176,167,187,0,0,6
0,22,316156,3141,179764,22176,56,74,0,0,6
0,0,316156,3141,182562,22176,0,0,0,0,6
0,252,316156,3141,178028,22176,12943,4742,0,0,6
0,0,316156,3141,178099,22176,3041,573,0,0,6
0,0,316156,3141,178036,22176,1633,1071,0,0,6
0,40,316156,3141,179259,22176,0,0,0,0,6
0,0,316156,3141,181300,22176,0,0,0,0,6
0,152,316156,3141,181170,22176,0,0,0,0,6
0,0,316156,3141,182194,22176,0,0,0,0,6
0,0,316156,3141,181652,22176,0,358,0,0,6
0,0,316156,3141,176241,22176,0,0,0,0,6
0,18,316156,3141,175999,22176,0,0,0,0,6
4,68,316156,3141,176132,22176,0,0,0,0,6
0,0,316156,3141,175889,22176,868,246,0,0,6
0,0,316156,3141,179330,22176,15981,5309,0,0,6
0,0,316156,3141,181105,22176,1364,1136,0,0,6
0,32,316156,3141,180861,22176,253,106,0,0,6
2,26,316156,3141,177024,22176,0,0,0,0,6
0,0,316156,3141,176984,22176,0,0,0,0,6
0,0,316156,3141,177123,22176,167,187,0,0,6
0,0,316156,3141,176942,22176,0,358,0,0,6
0,0,316156,3141,177087,22176,15895,5122,0,0,6
6,338,316156,3141,182859,22176,13739,1362,0,0,6
0,0,316156,3141,182810,22176,3502,379,0,0,6
0,0,316156,3141,182787,22176,229,187,0,0,6
0,0,316156,3141,178708,22176,16433,6107,0,0,6
0,0,316156,3141,178663,22176,995,292,0,0,6
2,166,316156,3141,178616,22176,0,0,0,0,6
0,24,316156,3141,176464,22176,4382,3450,0,0,6
0,0,316156,3141,175904,22176,1551,689,0,0,6
0,0,316156,3141,175592,22176,0,0,0,0,6
0,0,316156,3141,175920,22176,0,358,0,0,6
0,50,316156,3141,175300,22176,523,0,0,0,6
0,18,316156,3141,174863,22176,175,0,0,0,6
0,0,316156,3141,174551,22176,46,0,0,0,6
0,0,316156,3141,174501,22176,0,0,0,0,6
0,0,316156,3141,175764,22176,17309,6536,0,0,6
0,0,316156,3141,175645,22176,0,0,0,0,6
0,382,316156,3141,174963,22176,650,484,0,0,6
0,0,316156,3141,174969,22176,167,187,0,0,6
0,0,316156,3141,171517,22176,0,0,0,0,6
0,0,316156,3141,171521,22176,0,358,0,0,6
0,0,316156,3141,171521,22176,70,0,0,0,6
0,82,316156,3141,171728,22176,0,259,0,0,6
0,0,316156,3141,177792,22176,478,187,0,0,6
0,0,316156,3141,177878,22176,167,187,0,0,6
0,0,316156,3141,182433,22176,298,1707,0,0,6
0,0,316156,3141,178284,22176,16923,4511,0,0,6
0,150,316156,3141,177928,22176,240,0,0,0,6
0,42,316156,3141,177805,22176,0,0,0,0,6
0,0,316156,3141,178444,22176,0,0,0,0,6
0,10,316156,3141,178139,22176,1249,3192,0,0,6
0,0,316156,3141,177960,22176,15898,4704,0,0,6
0,26,316156,3141,178031,22176,0,920,0,0,6
0,24,316156,3141,179813,22176,2108,4100,0,0,6
0,0,316156,3141,176757,22176,0,920,0,0,6
0,0,316156,3141,176757,22176,0,0,0,0,6
0,0,316156,3141,176949,22176,1249,3550,0,0,6
0,396,316156,3141,178316,22176,15972,2748,0,0,6
0,28,316156,3141,178260,22176,167,187,0,0,6
0,0,316156,3141,178298,22176,0,0,0,0,6
0,0,316156,3141,178457,22176,253,293,0,0,6
0,0,316156,3141,179066,22176,56,432,0,0,6
0,156,316156,3141,178722,22176,424,259,0,0,6
0,20,316156,3141,178248,22176,396,187,0,0,6
0,0,316156,3141,177890,22176,0,0,0,0,6
0,0,316156,3141,177784,22176,272,106,0,0,6
0,0,316156,3141,177850,22176,0,358,0,0,6
0,274,316156,3141,177645,22176,1249,3192,0,0,6
0,20,316156,3141,177576,22176,16099,2668,0,0,6
0,0,316156,3141,174082,22176,522,320,0,0,6
0,40,316156,3141,177823,22176,0,114,0,0,6
0,0,316156,3141,177761,22176,0,0,0,0,6
0,42,316156,3141,177855,22176,0,472,0,0,6
0,0,316156,3141,177751,22176,82,0,0,0,6
0,0,316156,3141,179864,22176,0,0,0,0,6
0,26,316156,3141,179572,22176,0,0,0,0,6
